k,start,end
1,1998-10-26,1999-05-07
1,2002-10-17,2003-03-20
1,2021-10-26,2022-06-03
2,1954-12-08,1955-06-23
2,1959-09-15,1960-01-27
2,2014-05-21,2014-12-05
3,1983-03-29,1983-10-14
3,2012-09-11,2013-03-22
3,2021-10-26,2022-06-03
4,1962-12-12,1963-06-28
5,1960-09-28,1961-03-17
5,1966-12-09,1967-06-30
5,1967-09-06,1968-01-26
5,1972-12-13,1973-06-20
5,1974-09-18,1975-03-21
5,1975-10-22,1976-05-14
5,1976-12-14,1977-06-24
5,1979-09-26,1980-03-21
5,1983-03-29,1983-10-14
5,1990-12-20,1991-06-21
5,1994-11-10,1995-06-02
5,1998-10-26,1999-05-07
5,2002-10-17,2003-03-20
5,2005-10-18,2006-05-11
5,2013-10-22,2014-05-09
5,2019-01-16,2019-06-28
6,1954-05-06,1954-11-19
6,1974-02-13,1974-07-25
6,1974-09-18,1975-03-21
6,1979-03-07,1979-09-21
7,1982-03-24,1982-06-25
7,1982-09-08,1982-11-12
7,1982-11-24,1983-01-20
7,1984-05-24,1984-11-16
7,2010-12-16,2011-07-08
8,1954-05-06,1954-11-19
8,1954-12-08,1955-06-23
8,1956-09-27,1957-03-15
8,1957-03-20,1957-08-29
8,1993-09-29,1994-04-15
8,1995-06-21,1995-12-08
8,2008-09-16,2009-03-27
10,1983-10-26,1984-05-04
10,1998-10-26,1999-05-07
10,2001-08-29,2002-03-21
10,2013-10-22,2014-05-09
10,2021-10-26,2022-06-03
11,1954-12-08,1955-06-23
12,1954-05-06,1954-11-19
12,1965-10-19,1966-05-06
12,1970-09-16,1971-02-12
12,1972-12-13,1973-06-20
12,1999-06-08,1999-12-03
12,2013-04-17,2013-09-03
12,2013-10-22,2014-05-09
12,2019-01-16,2019-06-28
14,2018-06-06,2018-12-14
15,2017-10-24,2018-05-18
16,1954-05-06,1954-11-19
16,1958-12-09,1959-06-25
16,1992-02-12,1992-07-22
16,1998-10-26,1999-05-07
16,2006-05-19,2006-12-01
16,2009-10-27,2010-05-21
16,2014-05-21,2014-12-05
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
17,1954-12-08,1955-06-23
17,1957-10-15,1958-05-09
17,1960-02-10,1960-07-01
17,1972-12-13,1973-06-20
17,1974-02-13,1974-07-25
17,1974-09-18,1975-03-21
17,1989-11-15,1990-05-31
17,1990-12-20,1991-06-21
17,1991-09-03,1992-01-24
18,1995-06-21,1995-12-08
19,1956-09-27,1957-03-15
19,1998-10-26,1999-05-07
19,1999-06-08,1999-12-03
20,1987-09-09,1988-03-11
22,1954-12-08,1955-06-23
22,2002-10-17,2003-03-20
23,1990-12-20,1991-06-21
23,2018-06-06,2018-12-14
25,1956-02-02,1956-07-07
