"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","freien","welle","freien","wörter","urheber","diäten","parteien","urheber","schwaben","zimmer","bibliothek","brennbuch","untersuchungsausschüsse","veb","ausschüsse","ausschüsse","bauer","einreichung","ausbildungshilfe","makler","sports","besoldungsvereinheitlichungs","salzgitter","herr","fahne","mittlerorganisationen","herr","kulturpolitik","künstler","kulturpolitik","reiseveranstalter","kulturpolitik","schulen","zigeuner","ausland","gmbh","notars","notare","kölnbonn","flughafen","verlader","kreditvermittler","aufgezeigt","kalkulation","anklageschrift","ded","chemikalie","sicherheitsmassnahmen","würzburger","oberjettenberg","pater","kategorie","gashochdruckleitung","welle","kulturarbeit","stiftung","staatsziel","öffentlichrechtlichen","wismut","films","wismut","walfang","dat","welle","ard","rundfunk","welle","rundfunk","medien","welle","film","naumann","stiftung","stiftungen","stiftung","kulturpolitik","stiftung","welle","kultur","kultur","film","welle","welle","kultur","kultur","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","kultur","welle","kultur","musik","kultur","netzneutralität","digitale","kultur","welle","kultur","kulturgut","kultur","digitalen","kultur","welle","uploadfilter","kultur","kultur","kultur","meinungsfreiheit","kultur"
"2","berliner","berliner","berliner","berliner","berliner","berliner","berliner","zone","berliner","zone","berliner","kühn","kirche","kirchen","gemeinde","rundfunkanstalten","prinzip","forschungsanstalt","wahlkreise","abgeordneten","bundestages","künstler","arbeitsbedingungen","räume","brese","bibliothek","arbeitsbedingungen","nva","parlamentsreform","arbeit","würzburg","herr","einspruch","wurst","sport","mandel","sauer","kollege","bitte","kulturpolitik","wangen","auswärtigen","publizisten","auswärtigen","massentourismus","kultur","kulturpolitik","ausland","nationalhymne","ausland","notare","notars","flughafens","meisterprüfung","ursprungskennzeichnung","petitionsausschuss","wieweit","informationen","panik","köhler","ded","entwicklungshelfer","würzburg","kirchholz","mayer","vorkommnisse","ca","ostdeutschen","czaja","salzgitter","ddr","anstalten","loest","wismut","hörfunk","iwc","de","auslandssender","stoiber","dat","zdf","öffentlichrechtlichen","internet","film","stiftung","kultur","stiftungen","stiftung","film","stiftung","kulturpolitik","kirch","staatsministerin","welle","kultur","kultur","kultur","baukultur","medien","bibliothek","baukultur","künstler","enquetekommission","kultur","medien","staatsziel","stiftung","stiftung","künstler","digitalisierung","polen","leistungsschutzrecht","kultur","kultur","digitale","bauhaus","verwertungsgesellschaften","kultur","kulturelle","künstler","welle","kultur","kultur","medien","internet","plattformen","plattformen","telegram"
"3","berlins","notopfer","berlins","berlins","notopfer","zone","berlins","berliner","fernsehen","berliner","rundfunk","fernsehen","kühn","rundfunk","jugendhilfe","fernsehprogramm","staat","empfangen","urheberrecht","bundestagsabgeordneten","gradl","urheberrecht","bundestages","dorn","sitz","bundeshauptstadt","chancengleichheit","zivilverteidigung","parlament","parlament","arbeit","zwischenfrage","bauer","erbschaftsteuer","beipflichten","offentlichkeit","krone","benannt","gestatten","kollege","jäger","kommission","urlaub","picard","weine","ostdeutschen","ausland","deutschen","stiftung","versicherungsnehmer","notar","notar","flughafen","befähigungsnachweis","funktionen","teilzahlungsbanken","stimmte","industriezweige","definition","entwicklungshelfer","munitionsdepots","else","umwelttag","landbeschaffungsgesetz","rupert","routinemässige","verlegung","bundesrundfunkanstalten","ostdeutschen","umweltunion","umweltschutz","werbung","zdf","privaten","nationalen","fledermäuse","un","sendungen","ministerpräsident","stoiber","sendungen","medienbericht","inhalte","stiftung","börnsen","medien","naumann","rundfunk","kultur","kultur","film","nidarümelin","kulturpolitik","sprache","berliner","kulturpolitik","deutsche","kulturpolitik","nooke","nationalbibliothek","welle","kulturwirtschaft","kulturpolitik","elser","film","stiftung","versöhnung","frequenzen","kultur","filme","verlage","kulturellen","internet","digitalen","digitalen","digitalen","digitalen","urheber","film","künstlerinnen","digitale","buchpreisbindung","meinungsfreiheit","rundfunk","plattformen","internet","digitalen","medien"
"4","kriegsgefangenen","berlins","gesamtdeutsche","kriegsverurteilten","berlins","berlins","stadt","gefangenen","rundfunkanstalten","sed","fernsehen","werbung","fernmeldewesen","rundfunkanstalten","gemeinden","rundfunk","verbände","mitmenschen","urheberrechts","hauses","burgbacher","urhebers","parteien","verwaltung","verwaltung","abfindungsbrenner","promille","sozialgerichtsgesetz","untersuchungsausschuss","redezeit","abgeordneten","hermsdorf","volksentscheids","büchner","dsb","legende","gruppenmacht","bitte","sauer","fragezeichen","journalist","aussenpolitik","künstlerischen","auswärtige","einzahlungen","auswärtige","rahmenplan","kulturpolitik","schulen","steuerberater","indonesien","notarkammern","automobilindustrie","rettungsboote","bundesgrenzschutz","häfele","perspektive","dargestellt","angeschuldigten","mitarbeiterkonferenz","köhler","strathmann","kröninger","verlegung","späth","bwaffenkonvention","leitung","deutschlandfunk","ostdeutsche","welle","gesetzesvorbehalt","rundfunk","stiftung","öffentlichrechtlichen","hörfunks","wale","ick","rundfunkanstalten","rundfunkanstalten","herr","herr","wilhelm","stiftung","öffentlichrechtlichen","filmförderungsgesetz","beauftragter","welle","medien","zentren","museumsinsel","kultur","staatsminister","film","deutsche","staatsministerin","staatsministerin","barthel","breitenkultur","gebäude","bücher","stiftung","künstlersozialversicherung","kulturelle","auslandsschulen","börnsen","kulturpolitik","vertreibung","kunst","polen","access","digitale","urheberrecht","künstler","internet","breitbandausbau","digitale","digitalisierung","film","filme","digitale","digitalen","buch","digitalen","öffentlichrechtlichen","youtube","digitalen","pressefreiheit","welle"
"5","bundesrepublik","sowjetzone","zone","gefangenen","stiftung","viermächtestatus","brandt","drüben","anstalten","sowjetzonalen","drüben","programm","kirchen","bundesinnenminister","staat","gesellschaft","könen","päckchen","wahlkreis","unabhängigkeit","bundestagsvorstand","werke","bürohauses","frehsee","bundesratsminister","untergebracht","souverän","wetzel","ausschusssitzungen","fragestunde","büro","bundestages","baden","werbungskosten","mandel","peter","jemandem","ministerien","herr","elbe","sauer","kulturelle","kunst","amt","bürokratisierung","auswärtigen","auswärtigen","schulen","zigeunerkinder","haftung","mandanten","notaren","staatssekretär","kölnbonn","geehrter","einwirkungsmöglichkeiten","gefährlich","privatisierung","friedensbewegung","luuk","weltjugendfestspiele","zivilluftfahrt","landbeschaffungsgesetz","symbol","jahn","hinausgehen","unglück","kulturarbeit","dslbank","ddr","wismut","rundfunkanstalten","ard","deutschlandfunk","welle","norwegen","is","deutsche","öffentlichrechtlichen","informationstechnologien","rundfunk","hansotto","titzestecher","rundfunk","filmförderungsgesetzes","stiftungen","kultur","naumann","lammert","bund","nidarümelin","kultur","christina","kulturstiftung","filmwirtschaft","sprache","hauptstadt","staatsministerin","berliner","künstler","neumann","kulturellen","musik","filme","kulturpolitik","medien","enquetekommission","bäume","charta","open","kultur","kreativwirtschaft","telekom","digitalisierung","internet","digitalisierung","bildungspolitik","buchpreisbindung","kunst","kunst","facebook","bücher","urheberrecht","internet","medien","meinungsfreiheit","netz","digitalen"
"6","sowjetzone","stadt","sowjetisch","kriegsgefangenen","aufbauplan","gefangenen","sitz","entlassen","programm","sowjetzone","sowjetischen","heck","heck","programm","verbände","sender","kräfte","zusammenlegung","wilhelmshaven","bezüge","parteiengesetz","verwertungsgesellschaften","zimmer","hochhaus","polnische","frankfurt","angaben","sitz","redezeit","ausschuss","bundestages","parlamentarische","gültigkeit","kahnackermann","bundessportplan","ging","bundesminister","beirat","brückenschlag","herr","japan","ausland","künstlern","enquetekommission","urlaub","sauer","auslandsschulen","auswärtigen","kulturellen","transparenz","schäden","bundesnotarordnung","pressemitteilung","kommentare","reeder","sozialausschüsse","taktisch","alternativer","regie","grundsätze","indien","angerechnet","forst","standortübungsplatzes","katholischen","wohlfahrtsverbände","damm","staatsferne","aufsicht","umweltrahmengesetz","lebensgrundlagen","zdf","substanzerhaltung","beanstandet","ard","walfangs","wi","auslandsrundfunk","zdf","ministerpräsident","kollege","medien","laermann","sender","filmförderung","angelegenheiten","stiftungsrecht","kultur","bund","museum","stiftungen","architektur","medien","barthel","deutschen","künstler","deutschen","bildungspolitik","schon","deutsche","bundesstiftung","kulturelle","kulturwirtschaft","film","griefahn","denkmal","vertriebenen","vertreibung","kinos","reformation","internet","urheber","kreativwirtschaft","kunst","digitalisierung","provenienzforschung","kulturelle","internet","kulturellen","urheberrecht","digitalisierung","digitale","richtlinie","meinungsfreiheit","news","medien","medien","kunst"
"7","deutschen","heimkehrer","bundesrepublik","schmidtwittmack","kulturbesitz","heimkehrer","bonn","sitz","rundfunk","sowjetischen","berlins","rundfunkanstalten","rundfunkanstalten","evangelischen","träger","rundfunks","fuchs","rundfunk","neueinteilung","aufwandsentschädigung","räume","geräte","deutschen","untergebracht","archiv","neubau","sitz","herr","geschäftsordnung","plenum","ausschüssen","schluss","wulff","verehrten","rundfunkgebühren","september","leber","rechtswidrig","pullachcomment","personalreserve","journalisten","mittlerorganisationen","tourismus","gemeinschaftsordnung","bausparkassen","kulturellen","auswärtige","bundesrepublik","auswärtige","beschränkter","wahl","frucht","kartellamt","wilms","zuständigen","koalitionspapier","beglückwünsche","munde","wohle","meinungsdruck","ronneburger","dabei","erklärung","umwelt","biedenkopf","ereignisse","zukommt","nöbel","holding","neumann","umweltrahmengesetz","ard","kultur","rias","sanierungsarbeiten","kommerziellen","nich","journalisten","edmund","öffentlichrechtlichen","sitz","öffentlichrechtliche","netz","kulturpolitik","filmförderungsanstalt","michael","lammert","öffentlichrechtlichen","naumann","einrichtungen","staatsminister","landesbank","kunst","deutsch","neumann","deutsche","palast","stiftung","kulturpolitik","kunst","bildungspolitik","vielfalt","kulturellen","washingtoner","medienkompetenz","ermordeten","steinbach","versöhnung","digitalisierung","welterbestätten","urheberrecht","film","digitale","breitbandausbau","agenda","leistungsschutzrecht","kulturellen","urheberrecht","bildungspolitik","kultur","nutzer","digitalen","internet","digitalen","fake","netz","kultur","internet"
"8","bundesregierung","kriegsgefangenen","sowjetischen","senat","hauptstadt","gesamtdeutsche","hauptstadt","rundfunkanstalten","bundesgebiet","bundesgebiet","ostberlin","anstalt","evangelischen","kirche","gesellschaft","anstalten","sack","reichstages","hannover","vorlage","bürohaus","schutzfrist","künstler","dienstag","landwirt","menschen","abstimmungen","vortrag","arbeit","gremien","zwischenbescheid","krawall","littera","herr","schweigens","neuregelungsgesetz","regierung","zögern","legt","quadratmeter","begleitung","kulturellen","kulturellen","wittgenstein","zollverwaltung","ausland","deutschen","konsularvertrag","auslandsmüdigkeit","gesellschafter","aktiver","kulturpolitik","din","ablegung","bundesgrenzschutzes","kämpfen","bundesversammlung","polizei","luther","gesellschafter","regelmässig","luftfahrtunternehmen","umweltverbände","pöppl","bayerischen","gestatten","benutzen","birma","ostdeutscher","staatsvertrag","dörfler","gebührenerhöhung","sender","fernsehanstalten","rias","kinderarbeit","se","blank","rundfunk","medien","wort","mainz","bismarck","filmförderungsanstalt","krüger","kulturpolitik","michael","lammert","soziokultur","terrors","rock","lammert","künstler","nooke","staatsoper","deutschen","hansjoachim","auswärtige","geschäftsstelle","neumann","deutsche","urheber","neumann","georg","filme","rundfunk","bdv","kinos","werke","digitalen","digitalen","filme","freien","grütters","künstler","kultur","auswärtige","verwertungsgesellschaften","filmförderung","werke","internet","literatur","plattformen","öffentlichrechtliche","kunst","daten","journalisten","plattformen"
"9","sowjetischen","sowjetischen","besetzten","deutschlands","bundesgebiet","zonengrenze","gesamtdeutsche","stadt","werbefernsehen","zonengrenze","romantik","rundfunk","fernsehen","rundfunks","kirche","freien","appellieren","eingetragenen","urhebers","altersversorgung","rutschke","kirchen","tierschutzes","raumkommission","dorn","eisbrecher","statistiken","kontrollratsgesetzes","parlaments","dr","unbekannten","ausgezeichneter","praktikanten","befristung","minister","dübber","bitte","bundesfinanzminister","salzgitter","ausstellung","kollege","kultur","reiseveranstalter","wohnungseigentumsgesetz","kulturpolitik","kulturarbeit","stiftung","amt","rundfunk","verschmelzung","güterabwägung","serie","konzeptionell","handwerksordnung","sondergesetz","gutverdienende","dienstag","perspektive","kunst","kriterien","bzga","entwicklungsdienst","landbeschaffungsgesetzes","herr","ort","bauwerk","gleise","innerdeutsche","nöbel","kuratorium","staatsvertrag","stiftung","haschke","förderung","films","moratoriums","ok","verheugen","glotz","ik","medien","privaten","informations","urheber","rechtsextreme","welle","kulturpolitik","otto","warentest","künstler","julian","schloss","kulturellen","englisch","christina","bildungspolitik","sprache","christina","eichstädtbohlig","palast","goetheinstitut","konvention","kreativwirtschaft","spiele","rundfunk","bildungspolitik","flucht","kulturelle","heimatvertriebenen","kulturellen","mediendatenbank","internet","urheberrecht","kulturpolitik","künstlersozialversicherung","museen","grütters","netzneutralität","internet","ausstellungsvergütung","plattformen","internet","digitale","igf","nutzer","digitale","internet","digitale"
"10","ostzone","gesamtdeutsche","sowjetzone","wohnsitz","sowjetischen","notopfer","lufthansa","mannheim","werbung","gesamtdeutsche","zone","fernsehprogramm","bund","fernsehens","könen","fernsehen","mittwoch","irgendeiner","werke","böhm","vorstand","hersteller","gesamtverantwortung","arbeit","bundestages","brennen","brese","kreiswehrersatzamt","öffentlich","geschäftsordnung","vermerk","parlaments","würzburg","arbeitsprogramms","christlicher","koalition","wohnsiedlungen","sauer","kollege","sauer","portugal","auswärtige","reisen","ausland","überfluss","ostdeutsche","adenauer","stiftung","deutsche","zinsgewinne","lunge","hilfesuchenden","funktionen","seeberufsgenossenschaft","umsätze","apel","kohlgenscher","gremien","präsidenten","entwicklungspolitischen","verbitte","luftverkehrsgesellschaften","umwelttages","leberwurst","irischen","untergeordneter","vordringlichen","ostdeutsche","teilprivatisierung","satzung","stiftung","privaten","ernst","filmwirtschaft","sender","moratorium","charta","rundfunk","anstalten","de","ministerpräsident","sonntagwolgast","uta","künstler","meinungsfreiheit","stiftung","staatsminister","stiftungsrecht","staatsminister","nidarümelin","bund","deutschen","urheber","deutschen","oper","nooke","otto","musik","inzwischen","staatsziel","staatsminister","staatsoper","kunst","medien","staatsminister","öffentlichrechtlichen","stiftungsrat","bund","vertreibung","medienkompetenz","leistungsschutzrecht","künstler","enquetekommission","staatsministerin","kunst","kunst","netzneutralität","kreativen","welle","künstlern","medien","vielfalt","netz","kunst","facebook","facebook","presse","meinungsfreiheit"
"11","westen","senat","notopfer","zone","senat","drüben","neumann","sowjetisch","kühn","drüben","bundesgebiet","programme","anstalten","werbung","einrichtungen","einrichtungen","hilfe","hieran","künstler","dm","hauses","rechte","haase","brese","pf","stoffbesitzer","minderheit","vernünftig","fragestunde","herr","bundesrechnungshofes","nachher","eckdaten","sachgerecht","kooperationsfibel","dm","lüchowdannenberg","ollesch","demokratie","ausland","berufsmässig","schulzevorberg","ausland","beamten","fixieren","vertriebenen","pfeifer","deutsche","zigeuner","versicherungsunternehmen","ureigensten","fehlbeträge","beanstanden","stuhl","puncto","kunden","einbringen","schritt","grüne","geschäftsleitung","mannheim","chemikalie","sitze","bürgerinnen","gelegt","ausfuhrgenehmigungen","täusche","vertriebenen","vertriebenen","kulturkonferenz","gesetzgebungsauftrag","werbezeiten","kulturellen","petitionsrechts","zdf","walarten","mi","globalfinanzierung","öffentlichrechtliche","kollege","bayern","schulen","iukdg","filmförderung","fernsehen","hansjoachim","otto","kuratorium","kulturpolitik","lammert","museum","mitte","urheberrecht","kulturpolitik","films","künstlerinnen","abriss","hansjoachim","jahre","bibliotheken","museen","urheberrecht","künstler","schulen","neumann","verfassung","polen","film","künstlerinnen","film","musikförderung","digitalisierung","künstlerinnen","bundesnetzagentur","künstlersozialkasse","medien","internet","kulturellen","digitalen","internet","kunst","buchhandlungen","kreativen","digitalministerium","digitale","kolonialen","nutzer","kulturpolitik"
"12","bevölkerung","zone","bundesgebiet","heimkehrer","bevölkerung","sowjetischen","rundfunkanstalten","häftlinge","rundfunks","werbung","werbung","bundesinnenminister","macht","fernsehprogramm","barzel","empfangen","weltanschauung","melde","niedersachsen","tagegeldpauschale","spenden","komponisten","sitz","ausschüsse","staatssekretär","donau","ehrenamt","unbenommen","plenum","gewiss","start","öffentliches","broschüre","vermittlung","sportförderung","stehen","populären","erscheinungen","unterschlägt","auswärtigen","korrespondenten","enquetekommission","förderung","künstlerischen","winzer","bericht","begegnungsschulen","meisterschaften","programme","dm","geschädigte","beschwerden","stufenweise","gesetzesnovelle","kreditvermittler","gutverdienenden","wahrgenommen","friedliche","enge","helfer","herr","geschäften","böhm","verden","dringendes","schwarzwald","zwischenfrage","anstalten","schlesien","deutschlandfunk","delitzsch","rundfunkgebühren","rundfunkanstalten","rundfunkanstalten","distanz","walfangkommission","ook","zensur","wdr","welle","rundfunkrat","internet","informationsgesellschaft","videowirtschaft","internet","otto","organisationen","stifter","bundes","bibliotheken","künstler","berliner","stiftung","staatsministerin","bund","christina","berliner","bundesstiftung","zustimmung","jochimsen","auswärtige","börnsen","börnsen","jugendschutz","vielfalt","auswärtige","kulturelle","kulturtourismus","immateriellen","antrag","polnischen","kulturelle","kreativen","cebit","megabit","google","digitale","digitalen","urheber","welle","bundesnetzagentur","monopolkommission","nutzer","welle","digitalen","jugendschutz","daten","act"
"13","stadt","deutschlands","hilfe","sowjetzone","bundeszuschusses","entlassen","sender","bundesrepublik","kulturhoheit","besatzungszone","sender","januar","rundfunks","anstalten","selbstverwaltung","staat","trägern","verein","ostfriesland","demokratie","arbeitsräume","werk","jährliche","raumbedarf","halte","aufforderung","untersuchungsausschüssen","kandidaten","mende","madagaskar","werke","geheissen","herr","sachgerechte","sportbundes","möglich","sperrmassnahmen","bezeichnung","leiters","grünwald","unverkennbar","sprache","gastronomie","verneinen","mitarbeiter","breitenarbeit","lehrer","gemischten","programm","wirtschaftsprüfer","informationspolitik","mehr","freitag","fluggesellschaften","sick","ausgeben","hüsch","nennt","gedreht","privaten","verknüpfung","fach","herr","immer","badenwürttembergischen","mehrwertsteuersatzes","fahrzeuge","gremien","aktionsprogramm","bundesrundfunkanstalten","umweltunion","baum","grundversorgung","unbefriedigende","gmbh","jagd","wat","anstalt","privaten","edmund","öffentlichrechtlichen","filmförderung","jugendschutz","urheberrecht","rechtsextremer","kunst","stiegler","hansjoachim","berliner","bundes","lammert","expertenkommission","welle","fusion","stiftung","deutsch","vielfalt","griefahn","konzept","fusion","deutschen","publizisten","staatsziel","computerspielen","winnenden","werbung","kulturpolitik","flucht","vertriebenen","digitale","medienvielfalt","kulturpolitik","digitalen","netzneutralität","dörmann","bauhauses","medien","kulturgüter","kreativen","nutzer","daten","digitalisierung","urheberrechtsrichtlinie","netz","inhalte","kunst","film","desinformation"
