"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","dienst","wiedergutmachung","personalrat","wiedergutmachung","wiedergutmachung","öffentlichen","volkswagenwerk","stiftung","unternehmungen","privatisierung","konzentration","niedersachsen","reichsbank","vermögensbildung","unternehmen","unternehmen","unternehmen","luitpoldhütte","berufsausbildung","privatisierung","privatisierung","bundesschatzminister","berufsausbildung","bundesschatzminister","handwerksordnung","salzgitter","pick","bundesschatzminister","dienstkleidung","atü","textil","weine","verbraucher","absatzfonds","bausparkassen","vertretung","seeschiffahrt","vertretung","vertretung","elbe","schröder","agb","klage","grenzkommission","allmächt","preisempfehlung","transsexuellen","bürgschaft","minderheit","darlehensanteil","öffentlichkeitsarbeit","ausstellung","bundesrechnungshof","verwaltungsverfahrensrechts","schwarzschilling","beschäftigungshaushalts","parteien","parteien","parteien","kleinert","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","mitglieder","untersuchungsausschuss","untersuchungsausschuss","schäuble","bundesrechnungshof","untersuchungsausschuss","untersuchungsausschuss","rüstungsexporte","bnd","kontrolle","israel","verfassungsschutz","untersuchungsausschuss","untersuchungsausschuss","schmidbauer","untersuchungsausschuss","deutschlandstiftung","mauss","staatsminister","sekten","enquetekommission","akten","untersuchungsausschuss","kohl","cdu","untersuchungsausschuss","akten","untersuchungsausschuss","untersuchungsausschuss","akten","untersuchungsausschuss","to","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","journalisten","journalisten","ströbele","libyen","de","untersuchungsausschuss","untersuchungsausschuss","hanschristian","saudiarabien","saudiarabien","waffen","waffen","vertrag","waffen","rüstungsexporte","saudiarabien","waffen","waffen","waffen","waffen","waffen","infvertrag","saudiarabien","waffen","atomwaffen","vertrag","abrüstung","nukleare"
"2","öffentlichen","öffentlichen","dienst","beamten","beamten","aufsichtsrat","volkswagenwerk","aktien","eigentum","unternehmen","aktien","unternehmen","eigentum","unternehmen","reichsbank","aktionär","mittelständischen","gesellschaften","unternehmen","gewerbeordnung","bundesschatzminister","veba","dollinger","bezeichnungen","berufsausbildung","berufsausbildung","bundesschatzminister","aufenthaltserlaubnis","schmücker","ausdrücklich","kohlensäuredruck","van","weinwirtschaft","thessaloniki","cma","öffentlichrechtlichen","vertretungen","seeleute","ständigen","reith","grenzkommission","gutachten","klauseln","helmut","elbe","eid","klose","kampfgruppen","schlecht","vornamen","braunstützer","regierungssprecher","weirich","rechnungshof","verwaltung","kommende","dringlichen","parteienfinanzierung","untersuchungsausschuss","spenden","bundesrechnungshof","zimmermann","flick","verhaltensregeln","bundestages","akten","journalisten","gansel","libyen","gansel","gansel","irak","stavenhagen","schiff","untersuchungsausschuss","dienste","untersuchungsausschusses","koko","staatsminister","ddr","untersuchungsausschuss","staatsminister","mauss","psychogruppen","untersuchungsausschuss","pkk","kiep","untersuchungsausschuss","akten","cdu","stasiunterlagengesetz","cdu","möllemann","untersuchungsausschuss","akten","tež","untersuchungsausschusses","informationsfreiheit","untersuchungsausschusses","kontrollgremium","untersuchungsausschuss","aufklärung","journalisten","sachverständigenrat","dat","ströbele","ströbele","ströbele","waffen","rüstungsgütern","saudiarabien","saudiarabien","waffen","saudiarabien","waffen","waffen","saudiarabien","staatsleistungen","waffe","jemen","rüstungsexporte","saudiarabien","rüstungsexporte","saudiarabien","nuklearen","atomwaffen","freiheitspolitik","abrüstung"
"3","beamte","beamten","legion","öffentlichen","öffentlichen","mitbestimmung","aktien","eigentum","volkswagenwerk","aktien","unternehmungen","aktien","unternehmen","eigentum","unternehmen","deist","unternehmungen","sprechstellen","dollinger","berufsausbildungsgesetz","veba","aktien","bunker","handwerk","volkswagenwerk","ausdrücke","mitbestimmung","freizügigkeit","preussenelektra","quatsch","schaumweinsteuer","herr","bezeichnungen","van","absatzförderung","kreiswehrersatzämter","wiener","orgass","vertretungen","seeleute","schröder","elbe","schröder","art","elbeabschnitt","herr","stückgut","grenzkommission","carstens","ausschussminderheit","schlecht","wahleinsprüche","altreifen","rechnungsprüfungsausschuss","filmförderungsgesetz","verhaltensregeln","gegangen","untersuchungsausschuss","flick","amnestie","parteien","tiedge","parlamentarischen","öffentlichkeit","untersuchungsausschuss","center","bundesrechnungshof","libyen","kontrolle","firmen","firmen","exporte","irak","waffen","koko","deponie","rüstungsexporte","ddr","bnd","brunner","ziesel","schmidbauer","herrn","staatsminister","akten","kontrolle","aufklärung","cdu","hessischen","landowsky","behörde","kohl","müntefering","na","hirsch","za","einsetzung","untersuchungsausschusses","beweisaufnahme","parlamentarischen","bnd","minderheitenrechte","ermächtigung","skandal","un","akten","untersuchungsausschusses","untersuchungsausschuss","rüstungsexporte","kriegswaffen","rüstungsexporte","munition","saudiarabien","rüstungsexporte","saudiarabien","rüstungsexporte","mexiko","gabriel","gabriel","abrüstung","abrüstung","waffen","vertrag","rüstungsexporte","abrüstung","abrüstung","rüstungsexporte","nuklearen"
"4","dienst","dienstes","condor","dienststelle","dienstes","verfolgten","unternehmungen","dienst","unternehmen","bundesschatzminister","unternehmen","gesellschaft","privatisierung","aktionäre","schmücker","aktionäre","kreditgarantiegemeinschaften","aktie","bayreuth","wirtschaft","preussag","bundesschatzminister","veba","handwerksordnung","gasturbine","pflasterer","kollege","handelskammer","üstra","zusatzfrage","guss","dr","deutschen","ott","absatzfondsgesetzes","vorzeitig","ständigen","brt","gegenseitigkeit","ständigen","gutachten","lüneburg","antrag","grundgesetzes","besatzungsmächte","worten","grenzkommission","vornamen","treuarbeit","operation","bürgschaft","rühl","ausstellungen","bemerkungen","rechtsbereinigung","gehälter","herr","rechnungsprüfungsausschuss","spenden","untersuchungsausschuss","spenden","kontrollkommission","parteien","parlaments","gremium","firmen","untersuchungsausschüsse","firmen","firmen","untersuchungsausschusses","bundesregierung","illegalen","waffen","bericht","schalck","akten","akten","schalckgolodkowski","untersuchungsausschuss","romberg","bohl","bernd","herr","scientology","arbeit","gremium","cdu","koch","hessen","berliner","kohl","korruption","fdp","mitteldeutsche","kohl","na","akten","informationsfreiheitsgesetz","informationsfreiheitsgesetz","journalisten","kontrollgremium","ströbele","untersuchungsausschuss","sachverständigenrates","is","kontrolle","de","geschäftsordnung","geliefert","waffen","streumunition","rüstungsexporte","att","indien","export","badawi","kleinwaffen","saudiarabien","waffenrecht","rüstungsexporte","saudiarabien","vertrag","jemen","jemen","start","atomwaffenverbotsvertrag","vertrag","atomwaffen"
"5","regelung","angestellten","dienstes","wiedergutmachung","gewerkschaften","mitbestimmungsgesetz","betätigung","privatisierung","hellwig","deist","aktie","unternehmungen","deist","volksaktie","ergebnisbeteiligung","eigentum","handwerk","schuhindustrie","aigner","entwurf","dollinger","vebaaktien","redliche","ausbildung","dieselaggregate","fortbildung","privatisierung","kollege","entwicklungshelfergesetz","autor","staatssekretär","delden","waffen","untersuchungsausschuss","ernährungswirtschaft","mende","befreiungen","reeder","ständige","reeder","agb","geschäftsführer","streitwert","ausserplanmässige","lüneburg","bilder","unbegrenzte","bundesmarine","beton","meinecke","beton","wahlprüfungsausschuss","darmstadt","bundesrechnungshofes","bereinigung","mitglied","offenheit","flick","schröder","parteienfinanzierung","bundesrechnungshofes","parlamentarischen","kontrollkommission","parlamentarischen","untersuchungsausschusses","hdw","mitglieder","bundesregierung","ermittlungen","südafrika","südafrika","gansel","israel","bundesrechnungshofes","kommerzielle","pkk","schmidbauer","untersuchungsausschusses","raethjen","untersuchungsausschusses","bundeskanzler","bundeskanzler","kolumbien","enquetekommission","untersuchungsausschusses","gauckbehörde","ströbele","aufklärung","koch","untersuchungsausschusses","cdu","parteien","untersuchungsausschusses","staatsanwaltschaft","staatsanwaltschaft","zo","visaausschuss","einsetzung","sachstandsbericht","elmasri","kontrolle","gremium","bundestagspräsidenten","journalisten","ok","nachrichtendienste","hanschristian","vorgänge","rüstungsgütern","bnd","rüstungsgütern","kriegswaffen","munition","export","exporte","grundsätze","rüstungsexporte","sigmar","abrüstung","saudiarabien","nuklearen","abrüstung","infvertrag","bundesregierung","bundesregierung","nuklearen","bundesregierung","waffen"
"6","dienstes","beamte","beamten","bediensteten","verfolgten","eisen","unternehmen","öffentlichen","aktien","gesellschaften","eigentum","gesellschaften","volkswagenwerk","konzentration","konzentration","hauptversammlung","ansiedlung","vermögen","unternehmens","berufsausbildungsgesetzes","volkswagenwerk","handwerk","volkswagenwerk","handwerks","mitbestimmung","berufsausbildungsgesetz","besitz","gültigkeitsdauer","verkehrswert","strauss","angemeldet","fliegt","spätlese","griechenland","verplombung","geschäften","diplomatische","flotte","anbindung","opposition","grenze","herr","mündliche","rechtslage","schröder","grundgesetz","allenthalben","auflösung","monierbau","staatshaftungsrecht","monierbau","wehren","störfälle","rechnungshofes","stationierungsstreitkräfte","umsatzsteuerpräferenzen","verhindern","untersuchungsausschusses","akten","partei","untersuchungsausschuss","untersuchungsausschusses","spenden","parlament","vizepräsidenten","document","untersuchungsausschussgesetz","kreditanstalt","rechnungshof","hdw","kiel","firmen","untersuchungsausschuss","staatsminister","koordinierung","schönberg","bachmaier","mfs","bernd","heym","sekten","kolumbien","schmidbauer","anhänger","zwischenbericht","dienste","staatsanwaltschaft","zeugen","kohl","parteiengesetz","aufarbeitung","staatsanwaltschaft","koch","bischofferode","kanzleramt","je","kohl","wiefelspütz","zeugen","aufklärung","ströbele","pressefreiheit","pressefreiheit","firma","ströbele","untersuchungsausschusses","parlamentarische","kollege","panzer","exporte","kriegswaffen","export","waffenhandel","rüstungsgütern","brasilien","kleinwaffen","jemen","kirchen","schusswaffen","gabriel","jemen","nukleare","waffen","usa","nukleare","nukleare","usa","usa"
"7","gesetz","bediensteten","öffentlichen","gewerkschaften","dienst","arbeitsdirektor","beamten","kurlbaum","unternehmungen","privatisierung","atzenroth","eigentum","aktien","deist","liquidation","aufsichtsrat","schmücker","kapitalgesellschaften","sorten","ausbildung","bilder","stimmrecht","kollege","wirtschaft","gasturbinen","schulhoff","gegenseitigkeit","ersatzdienst","druckfehler","dr","steuerpflichtiger","abschluss","australien","ausgestellt","zmp","zivilen","diplomaten","handelsflotte","ostberlin","schiffen","lüneburg","meter","interessen","haushaltsrechtsreform","staatssekretär","verfassungsverstoss","überbewertung","herr","emstek","schlecht","welttextilabkommen","risiko","antrag","rechnungshofs","parlament","damen","damalige","schäuble","parteienfinanzierung","spender","marburg","bundesinnenminister","untersuchungsausschusses","untersuchungsausschusses","parlamentarischen","südafrika","zeugnisverweigerungsrecht","jordanien","beteiligung","kiel","waffen","untersuchungsausschuss","bundesregierung","januar","untersuchungsausschusses","kontrollkommission","export","bericht","bundesnachrichtendienst","informiert","tätigkeit","herrn","spanischen","handlungsempfehlungen","mfs","ströbele","merkel","schmidt","hessische","kohl","merkel","akten","cdu","kalikaliwerk","untersuchungsausschusses","juni","gast","gehb","akten","bnd","bundesnachrichtendienst","untersuchungsausschuss","untersuchungsausschusses","bnd","wi","bagdad","kollege","kontrolle","bundessicherheitsrat","export","munition","waffenrecht","kleinwaffen","willsch","genehmigungen","rüstungsgütern","katar","kriegswaffen","munition","streumunition","atomwaffen","rüstungsexporte","usa","vertrag","vertrag","nato","waffen","teilhabe"
"8","angestellten","beamtenschaft","beamte","arbeitsgerichte","beamte","kohle","privatisierung","blank","publizität","publizität","preussag","mitbestimmung","reichsbank","unternehmungen","aktionäre","aktiengesellschaft","freiberuflich","eigentum","saatgut","handwerk","aktien","kurlbaum","klassischen","berufsausbildungsgesetz","diebäcker","keramiker","schmücker","frage","ehemann","schmid","entweder","staatssekretär","weingesetz","messe","befristung","flexibel","diplomatischen","enquete","franke","presseerklärung","rechtsstandpunkt","wirtschaftsleben","opposition","kreditanstalt","grenze","einwandfreie","gott","reichstagsgebäude","banken","bundeswirtschaftsminister","fdpbundestagsfraktion","bundesratsvorschlag","berichtes","esters","verwaltungsverfahrensgesetzes","wirtschaftsausschuss","amerikanischen","schily","kleinert","flick","mitglieder","bundesrechnungshof","parlament","offenlegung","kontrollkommission","bohl","parlament","export","rabta","staatsanwaltschaft","untersuchungsausschusses","möllemann","lutz","bundesrechnungshof","schalckgolodkowski","bad","rüstungsexport","köppe","willy","einsetzung","psychogruppen","herr","firma","herr","handlungsempfehlungen","aufklärung","schreiber","hessen","sitten","kiep","spenden","spenden","partei","akte","bundeskanzleramt","rěč","interview","korruption","montag","nachrichtendienste","geheimdienste","opposition","kollege","beamten","en","hanschristian","untersuchungsauftrag","offenkundig","kriegswaffen","rüstungsexporte","barthel","panzer","waffenhandelsvertrag","kriegswaffen","bundessicherheitsrates","waffenexporte","gabriel","van","rüstungsexporte","sigmar","bundesregierung","jemen","abrüstung","maas","teilhabe","teilhabe","the","nato"
"9","personen","arbeiter","verfolgten","dienst","streitigkeiten","entschädigungsbehörden","industrie","eigentümer","aktie","eigentum","volksaktie","aktiengesellschaften","aktionäre","aktien","gesellschaftspolitik","unternehmens","wohnsiedlungen","lohnsteuerjahresausgleich","gesellschaften","industrie","kurlbaum","teilprivatisierung","herr","schulhoff","arbeitslosigkeit","handwerk","nebenbetriebe","üble","optik","kollege","rationaler","landtagswahlen","illegalen","bochum","eintragungsgrenze","erteilen","übereinkommen","schiffen","abelein","hansestadt","niedersächsischen","lüneburgcomment","vertragspartners","unabweisbar","staatshandelsländer","ausserplanmässigen","elbe","handbuch","zusage","machtfragen","banken","resultiert","aktionismus","dezember","insolvenzrecht","unklar","npd","grünen","steuergeheimnis","klasen","parlament","verfassungsschutz","brauchitsch","vorgang","schily","oberfinanzdirektion","rechnungsprüfungsausschuss","lieferung","staatsanwaltschaft","stoltenberg","staatsanwaltschaft","bericht","illegalen","rechnungsprüfungsausschuss","arabischen","behörde","öffentlichkeit","schalck","bundeskanzler","august","schmidbauer","bnd","kollege","bernd","treuhandanstalt","aufarbeitung","untersuchungsausschusses","schäuble","aufklärung","aufklärung","untersuchungsausschuss","parteiengesetz","wiefelspütz","verschwunden","behörde","serbske","erteile","geschäftsordnungsausschuss","erlasse","ströbele","pressefreiheit","parlamentarischen","geheimnisverrat","ströbele","schultz","gremium","vorgänge","parlamentarischen","exporte","sonstigen","lindner","rüstungsindustrie","waffenlieferungen","rüstungsexporten","rüstungsexporten","export","genehmigung","waffenexporte","waffengesetz","exporte","rüstungsexporten","nuklearen","nato","genehmigungen","new","saudiarabien","rüstungsexportpolitik","staatspolitischer"
"10","wiedergutmachung","anwärter","dienstzeit","dienstes","wiedergutmachungsausschuss","hauptversammlung","veräusserung","matzner","arbeitnehmer","aktie","lindrath","arbeitnehmer","unternehmungen","anteilseigner","bundeskartellamtes","gesellschaften","konzentration","poststellen","bundesschatzminister","schmücker","stiftung","dollinger","ratsam","kammern","sitzgelegenheiten","bezeichnungen","viag","ehegesetz","eh","mietwucher","index","werktage","weinen","delden","aufsichtsrat","bzw","beziehungen","vertretung","bundeskanzleramt","ostberlin","arndt","niedersächsischen","verbraucherverbänden","schröder","herr","rückendeckung","nachbarländer","gegengeschlecht","juli","tariffähigkeit","sammlungen","einsprüche","ddr","bundesrechnungshofs","büro","besteht","bürger","rechnungshof","untersuchungsausschusses","staatsanwaltschaft","flick","journalisten","schily","wolfgramm","parlamentarische","ofd","bundestages","wiederaufbau","gansel","bundesregierung","bundesrechnungshof","illegale","schalckgolodkowski","kontrollkommission","mfs","aufklärung","kontrolle","akten","plutonium","informationen","besondere","bohl","auswärtigen","gruppierungen","psychogruppen","unterlagen","million","helmut","merkel","merkel","berliner","ströbele","affäre","bundeskanzleramt","wiefelspütz","behörde","schleuserbanden","informationen","neuwahlen","untersuchungsausschusses","parlamentarischen","herr","hanschristian","schultz","nachrichtendienste","informationen","mythos","hartmann","lindner","geliefert","att","exporte","weltweit","transparenz","gabriel","genehmigungen","van","kleinwaffen","rüstungskontrolle","rüstungskontrolle","infvertrag","usa","peenewerft","rüstungsexporten","usa","rüstungskontrolle","waffenlieferungen","rheinmetall"
"11","art","personalvertretungen","angehörigen","personalvertretung","bediensteten","obergesellschaft","volkswagenwerks","beamten","gesetzentwurf","gesellschaft","streuung","rücklagen","anteilseigner","aktie","eigentum","grossunternehmen","wieninger","gesellschaft","bundesdienststellen","novellierung","unternehmen","unternehmen","freiheiten","berufe","handwerks","begriff","abzuschaffen","industrie","diekmann","herr","mühlen","stufenweisen","zivilbevölkerung","staatssekretär","aufgaben","verbraucher","ständige","deutschen","rahmenpläne","seeschiffahrt","lauenburg","dokumente","rechtsverhältnisse","wiederaufbau","ausgeweitet","weltbild","vehemenz","geschlechts","schmitz","beton","kredite","metz","zwecke","borkum","präsidenten","ehre","hafen","spenden","firma","parteispenden","rechnungshof","rechnungshof","parlaments","einkünfte","wolfgramm","kiel","material","beteiligung","bundesrechnungshofs","waffen","mbb","bundesregierung","kanzleramt","firma","israelischen","geheimdienste","firmen","arbeit","bundesnachrichtendienstes","behauptungen","friedrich","kolumbianischen","behauptungen","scientologyorganisation","religiöse","cia","kohl","spenden","bundesbeauftragten","bankgesellschaft","parteiengesetz","müntefering","kohl","bände","benneter","unentgeltlich","einhalt","betriebs","klaeden","informationen","pkgr","untersuchungsausschusses","akten","aufklärung","korruption","kontrollgremium","einsetzung","informiert","bahrain","ströbele","waffenrecht","bundesregierung","vertrages","genehmigung","genehmigung","exporte","aken","rüstungsexporte","brugger","export","geliefert","welt","bundesregierung","waffensysteme","waffen","usa","aussen","stationiert"
"12","grundgesetzes","besoldung","anrechnung","verwaltung","pflichten","gewerkschaften","aufsichtsrat","volksaktie","vermögen","howaldtwerke","beteiligungen","aktionäre","wirtschaft","barzel","burgbacher","aktiengesellschaften","kapitalgesellschaften","impuls","ag","lehrlinge","grossbanken","burgbacher","richtigstellung","kassel","lücke","mundartliche","aufpassen","gekommenen","bewältigt","scheel","weitergegangen","besoldet","auslese","absolut","transportmittel","nein","vorrechte","listen","deutschen","mehrstaatigkeit","ddr","hansestadt","lüneburg","ausserplanmässigen","abgeordneter","vorbringen","nahost","geehrter","staatssekretär","juli","bundesrechnungshof","bundesbank","zeit","präsidenten","sprache","monaten","schonen","fraktion","parteispenden","öffentlichkeit","esters","spenden","zimmermann","gremium","grünen","schily","presse","untersuchungsausschuss","chef","bohl","lieferung","waffen","rüstungsexporte","bundesregierung","akten","mfs","informationen","unterlagen","bundeskanzleramt","kontrolle","akten","such","beck","herrn","aufklärung","kontrollgremium","geflossen","demokratie","gauckbehörde","schmidt","parteien","register","aufzuklären","originalakten","unterlagen","we","kollege","spannungsverhältnis","termin","pkgr","aufklärung","volker","biokraftstoffstrategie","bundesregierung","een","hartmann","parlamentarischen","de","hartmann","lieferung","rüstungsgüter","rüstungsgütern","heym","ausfuhr","abkommen","rüstungsgüter","gewehre","ablösung","rheinmetall","ausfuhr","nukleare","rüstungskontrolle","rüstungsexporten","geliefert","nato","waffen","maas","militär"
"13","beamtenrecht","regelung","spanien","sabel","gesetz","beamten","atzenroth","arbeitnehmer","rechtsform","rücklagen","volksaktien","aktionär","stiftung","aktiengesellschaften","eigentumspolitik","aktionärs","business","anteile","arbeitsplätze","folger","burgbacher","viag","vizekanzler","arbeitslosigkeit","schmücker","preispolitische","möchte","hochschullehrer","sorgen","beschworen","erstattet","natürliche","konsumverzicht","daten","transitverkehr","erfüllen","missionen","schiffahrtspolitik","schmittvockenhausen","meter","vereinbarungen","bundesregierungen","gutachten","bundesverfassungsgericht","sogenannten","verfahren","neuseeland","kleine","unternehmens","emstek","bundesbürgschaft","dürften","minuten","öffentlichkeitsarbeit","stationierungsstreitkräften","haushalts","erst","bericht","kontrolle","glotz","gremium","einsetzung","parlamentarische","mitglieder","parlaments","staatsanwaltschaft","parlamentarischen","entscheidung","bundesregierung","kontrolle","akten","rüstungsexporten","kontrolle","irak","ddr","israel","bundesregierung","ausschuss","libyen","herr","aufgaben","schoene","fuldner","religionsfreiheit","konflikte","kollege","kollege","untersuchungsausschusses","untersuchungsausschuss","spenden","stasi","partei","parteien","ersatzband","herrn","hausmeister","herren","bürsch","scholz","geheimdienste","untersuchungsausschusses","de","informiert","pressefreiheit","för","geheimdienste","kollegin","unterweser","rüstungsexporten","rüstungsexporten","verbot","lindner","ratifizieren","rüstungsexportpolitik","genehmigt","finckhkrämer","badawi","aken","aufbewahrung","uran","welt","mittelstreckenraketen","atomwaffen","abrüstung","krieg","nuklearwaffen","atomwaffen","katar"
"14","ansprüche","gehobenen","vockenhausen","mitbestimmung","beamtenrecht","paritätisch","hand","unternehmungen","öffentlichen","hellwig","hand","atzenroth","burgbacher","gesellschaft","tochtergesellschaften","unternehmensrecht","konkrete","aktien","bundesfinanzverwaltung","anfrage","bundeseigenen","vwprivatisierung","beseitigen","lehrlinge","ausbildung","handwerks","verkauft","zusatzfrage","plätze","dringlichkeitsstufe","nachträglich","vizepräsident","illegale","aufsichtspflicht","flensburg","vorschlag","gegenseitigkeit","reedern","verhandlungsergebnis","bundesrepublik","londoner","vertretung","druckschriften","bundeshaushaltsordnung","müller","bundesverfassungsgericht","einleuchten","meinecke","baesweiler","geschlecht","gewährleistungen","deutsche","konkret","cruise","grolsheim","klare","beschliesst","kleinert","staatsanwaltschaft","parlamentarischen","parlaments","hellenbroich","mitglieder","herr","parlament","untersuchungsausschusses","langner","stoltenberg","haussmann","oberfinanzdirektion","libyen","seiters","staatsminister","godewind","bnd","untersuchungsausschuss","staatsanwaltschaft","öffentlichkeit","august","bericht","herrn","kollege","mentzingen","kollege","scientology","nachrichtendienste","pfahls","parteien","partei","ströbele","stasiunterlagengesetzes","untersuchungsausschusses","merkel","schriftgut","steinmeier","ma","wort","herr","königshaus","mitarbeiter","kontrollgremiums","kontrolle","ermittlungen","petra","spraak","stadler","lebenslauf","cducsufraktion","lieferung","bundessicherheitsrat","kleinwaffen","barthel","panzer","bundessicherheitsrates","aken","genehmigung","export","genehmigung","agnieszka","rüstungsexportpolitik","genehmigt","atomwaffen","export","rüstungsexportpolitik","rüstungskontrolle","welt","rüstungsexporten","natostaaten"
"15","beamtenschaft","angehörigen","nationalsozialismus","personalrats","personen","aktionäre","beamtenrecht","volkswagenwerks","deist","private","gesellschaften","kurlbaum","jahn","aktienrechtsreform","gesellschaften","publizität","garantiekasse","tatsache","kunststoffrohren","jugendlichen","zonenrandgebiete","handwerksordnung","vorgenommen","industrie","amtswohnung","tatsächlich","unternehmen","mitbestimmung","weitere","black","schön","kollege","staatssekretär","geschäften","eintragung","gesagt","bundesregierung","schiffahrtspolitischen","beziehungen","schattenboxen","bundesregierungen","kollegen","vertragspartei","karlsruhe","schon","schröder","herr","böhm","ag","kurzdebatte","mannesmann","zusatzfrage","lebenswichtig","bundesbahnvorstand","verwaltungsvollzug","auftakt","aufgelöst","öffentlichkeit","einnahmen","karl","öffentlichkeit","parlament","gremium","bundestages","kontrolle","öffentlichkeit","verfahren","chef","unternehmen","lieferung","rabta","export","rüstungsexport","pkk","firmen","tätigkeit","kriegswaffen","verfassungsschutz","kontrollkommission","aufgeklärt","stasiunterlagengesetz","gansel","botschaft","schily","ddrvermögen","bericht","leisler","parteiengesetz","merz","diepgen","parteiengesetzes","schreiber","stadler","registratorin","aussenstellen","kaster","überprüfen","je","untersuchungsausschussgesetzes","aufgeklärt","stadler","kontrollgremium","kontrolle","untersuchungsausschuss","platt","geschäftsordnung","nešković","profite","aken","aken","export","rüstungsexporten","staaten","rüstungsexportbericht","bundessicherheitsrat","keul","genehmigt","brugger","besitz","vertrag","usa","nato","rüstungsgüter","rüstungsgüter","atomare","rüstungsexporte","katar","waffenlieferungen"
"16","beamtenrechtsausschuss","eignung","grundgesetzes","personalversammlung","nationalsozialistischen","mitbestimmungsrecht","handelskammern","unternehmen","hand","gewinne","bleiss","unternehmens","öffentliche","aktiengesellschaft","golddiskontbank","aktienrecht","gesellschaften","kapital","flächen","februar","eigentumspolitik","ausgabekurs","zuletzt","ausbilder","landesliste","gewerbe","antragsteller","verkauft","grundlinie","geschichtslosigkeit","enders","dorn","verbraucher","missbräuche","fonds","ausschuss","verordnung","verbindung","pieser","willkürliche","din","grenzkommission","unwirksamkeit","missbilligungsantrag","kleine","sei","verbrochen","region","nordrheinwestfalen","banken","gewerbebetrieb","gefühl","ober","pershing","bericht","ausstellung","klassen","demokratie","grünen","offergeld","wolfgramm","boenisch","vorgang","kontrolle","einsetzung","parlament","kontrolle","bundestages","rüstungsexport","libyen","licht","waffenexporte","firma","firmen","zeugen","antiquitäten","rüstungsgütern","koordinierung","gansel","aufklärung","bundesbeauftragten","chef","informiert","burkhard","angelika","parlamentarisches","koffer","herrn","schweiz","partei","stasiunterlagenbehörde","kiep","geschäftsordnungsausschuss","tr","burkhard","kollegen","landgerichts","dezember","herren","nachrichtendiensten","akten","journalistinnen","biodiesel","bdb","bi","regierung","weitere","beratung","liefern","van","lämmel","rüstungsexportpolitik","katar","waffenexporte","drittstaaten","rüstungsexporten","koch","jemen","nichtverbreitung","welt","rüstungskontrolle","bundesregierung","krieg","grundsätze","sicherheitspolitik","staaten","krieg","sicherheitspolitik"
