"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herrn","bundeskanzler","john","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","nachrichten","presse","presse","anstalten","presse","sender","zeitungen","presse","presse","zeitungen","bildung","presse","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","journalisten","chef","steiner","guillaume","chef","schlei","bölling","öffentlichkeitsarbeit","abgeordneter","urteil","laabs","öffentlichkeitsarbeit","haase","franz","bundesrechnungshof","presse","kontrollkommission","libanon","libanon","beamten","meer","gelassenheit","sport","npd","olympischen","sport","büchner","sport","sport","sport","vereine","parteien","sport","parteien","parteien","sport","parteien","heuer","sport","doping","parteien","grundgesetz","sport","abgeordneten","häfner","überhangmandate","sport","wahlkreise","beamten","parteien","bannmeile","sport","beamten","wahlkreise","vereine","engagement","sport","sport","leipzig","raumfahrt","raumfahrt","sport","petitionsausschuss","schulsport","petitionen","sport","sport","sport","sport","sport","sport","sport","spielhallen","sport","sport","sport","sport","sport","petitionen","sport","sport","petition","sport","schwimmen","sport","sport","petitionen","ehrenamt","thw","petitionen","petitionen","sport"
"2","bundeskanzler","auswärtigen","herrn","herrn","herrn","herrn","herrn","orden","herrn","bundeskanzlers","bundeskanzlers","amt","bundeskanzlers","urteil","bundeskanzlers","bundeskanzlers","bulletin","presse","fernsehen","zeugnisverweigerungsrecht","fernsehen","bundespressechef","presse","südtirol","zeitungen","zeitungen","presse","bundeszentrale","journalisten","pressefreiheit","öffentlichkeitsarbeit","ahlers","aufgaben","presse","ahlers","aufgaben","presse","bundeskanzleramtes","staatssekretärin","ehmke","bölling","staatssekretärin","abgeordneter","bölling","anzeigen","abgeordneter","bundeszentrale","bölling","bundeskanzleramt","mad","oberlandesgericht","merex","untersuchungsausschuss","bnd","israel","kabinettsbeschluss","klein","verwirrung","büchner","dkp","spiele","sports","heizkostenverordnung","film","sportler","sauter","gutachten","sport","vereine","vereine","pds","pds","kommission","gysi","ddr","sport","verfassungskommission","verfassung","sportbericht","diäten","abgeordneten","reformkommission","sportförderung","wahlrecht","versorgungsrücklage","bannmeile","wahlrecht","doping","wahlrecht","krefeld","vereinen","sport","engagements","grossveranstaltungen","olympischen","sport","tempelhof","sports","petitionsrecht","sport","sport","doping","petitionen","petitionen","sports","petitionsausschuss","sportanlagen","petitionsausschuss","lärm","petitionen","olympischen","nada","olympischen","sotschi","petitionsausschuss","doping","doping","petitionsausschuss","sports","petitionen","athleten","petitionsausschuss","petitionsausschuss","stiftung","stiftung","petition","sport","bevölkerungsschutz"
"3","herr","herrn","bundesinnenminister","herr","herr","bundeskanzlers","kühn","farben","bundeskanzlers","stephan","adenauer","bundeskanzlers","adenauer","karlsruhe","urteil","fernsehen","adenauer","sendung","anstalten","film","presse","hase","anstalten","fernsehen","fernsehen","fernsehen","diehl","politische","bildung","ehmke","bundeskanzleramtes","presse","besondere","informationsamtes","presse","besondere","ravens","grabert","guillaume","bundeskanzleramt","schlei","frau","schüler","urteil","bayerischen","öffentlichkeitsarbeit","veröffentlichung","staatssekretär","staatssekretär","josef","köln","chef","meinike","beamten","israelischen","liberalen","minister","könnten","sports","begegnung","sport","vereine","sportbeziehungen","filmförderung","dkp","büchner","sport","vereine","hersfeld","spielregeln","volkskammer","gysi","pds","ddr","heuer","heuer","heuer","ddr","sports","verkleinerung","diätenerhöhung","wahlkreise","conradi","verkleinerung","marschewski","präsidium","demokratie","olympischen","wahlrechts","wahlkreiskommission","enquetekommission","enquetekommission","bürgerinnen","enquetekommission","bewerbung","sportförderung","ehrenamtlich","vereine","petitionen","sprintstudie","petitionsausschuss","sportler","petitionsausschuss","petitionsausschuss","engagement","petitionen","sports","petitionen","sport","petitionsausschuss","spiele","engagement","sportler","olympischen","sport","petitionen","sportler","petitionen","vereine","petitionsausschuss","verein","petitionen","gemeinnützigkeit","engagement","petition","petitionsausschuss","petitionsausschuss","katastrophenschutz"
"4","bundesregierung","herr","herr","presse","presse","bundesregierung","presse","brief","zeitung","herrn","bundespräsidenten","presse","rasner","bundeskanzlers","dienstgeschäfte","eckardt","bundeskanzlers","journalisten","film","journalisten","rundfunk","informationsamt","rundfunk","gegenseitigkeit","zeitschriften","güntherkommission","bundespressechef","bildungsarbeit","sänger","bundespressechef","aufgaben","öffentlichkeitsarbeit","presse","chef","besondere","dienstes","verordnung","presse","schlei","chef","bundeskanzleramtes","bölling","staatssekretär","abgeordneter","staatssekretär","haase","urteil","urteil","vertraulichkeit","strauss","haase","vorgänge","untersuchungsausschusses","lahnstein","palästinenser","zone","professor","richtlinien","olympischen","zweimal","ruhrgebiet","sportvereine","osteuropäischen","fernsehen","sports","jugendschutz","gemeinnützigkeit","spenden","sports","sport","wahl","pdslinke","ullmann","pdslinke","sports","ddr","parteienfinanzierung","verfassungskommission","spitzensport","stiftungen","conradi","überhangmandaten","sports","rechtschreibung","volksentscheid","geschäftsordnung","parteien","sports","friese","friese","ehrenamtlich","sports","spitzensports","sports","spiele","oecd","berufsgenossenschaften","sportförderung","petition","sportunterricht","petenten","engagement","parr","petition","petitionsausschuss","sports","lärm","petition","frauenfussball","petition","sportler","ehrenamt","sports","sportler","petition","sports","sports","doping","fans","petition","athletinnen","esport","feuerwehren","games","helferinnen","sport","petition","bbk"
"5","sei","bundesregierung","presse","bundeskanzlers","bundesregierung","kühn","herr","herrn","herr","fonds","amt","brief","amt","brief","chef","brief","demokratischen","regierung","zeitungen","fernsehen","rundfunkanstalten","anzeigen","fernsehen","italienischen","kommission","schulzevorberg","bundeszentrale","schulzevorberg","rundfunk","presse","bundeskanzleramt","informationsamtes","journalisten","staatssekretär","chef","bundesminister","chef","ehmke","bundeskanzler","schlei","schüler","bundeskanzler","bundesbank","herr","herr","rechnungsprüfungsausschuss","untersuchungsausschuss","presse","herr","untersuchungsausschuss","bundesrechnungshofs","unterlagen","parlamentarischen","bundeskanzleramt","schäfer","dokumentation","israelische","bewerbung","sportler","durften","olympische","gemeinnützigkeit","beratungsstellen","kino","sportbericht","athleten","sportvereine","chancenausgleich","gemeinnützigen","willensbildung","wahlrecht","liste","ddr","kommission","gysi","uwejens","gysi","sport","pds","entschädigung","diäten","wahlrecht","bezüge","reformkommission","beamte","bannmeilenregelung","volksbegehren","spitzensport","belle","wahlkreis","sport","engagements","wettkampf","olympischen","rostock","sports","engagement","tempelhof","baumann","sports","parr","ehrenamtlich","petition","olympischen","bürgerschaftliches","altersgrenzen","sportpolitik","sports","fussball","anliegen","ukraine","petitionen","sportgrossveranstaltungen","sportlerinnen","bürgerinnen","olympischen","antidopinggesetz","petenten","genossenschaften","sport","spiele","gemeinnützigkeit","petition","petitionen","helfer","stiftung","stiftung","zivilschutz"
"6","gesagt","bundeskanzlers","verfassungsschutz","amt","öffentlichkeit","presse","bundeskanzlers","hakenkreuz","minister","kühn","herrn","parlamentarischen","herrn","erler","adenauer","regierung","brief","gesamtdeutsche","martin","selbstkontrolle","deutschlandfunk","film","fernsehsender","rundfunk","rundfunk","kommission","fernsehen","politischen","raffert","zeitungen","presse","aufgaben","herr","herr","informationsamtes","pressereferat","wechmar","informationsamtes","ehmke","nollau","staatssekretärin","staatssekretär","broschüre","staatssekretär","bölling","rechnungshof","presse","wahlplattform","schüler","dienste","bundesrechnungshofes","verkehrswert","parlamentarische","bundesnachrichtendienstes","israels","kühbacher","siemens","verbrechens","zimmermann","abteilung","bewerbung","spilker","lübeck","abgabe","verfassungsschutzes","doping","gutachtens","parteienfinanzierung","vereinen","spiele","gysi","bündnis","gysi","liste","sportstätten","liste","ddr","kommission","parteien","parlament","rechtsstellungskommission","verkleinerung","beamten","überhangmandate","dienst","demokratie","bannmeilenregelung","sportler","dienst","marschewski","übungsleiterpauschale","bürgerschaftlichen","ehrenamtlich","riegert","sport","center","flughafen","sportvereine","ausschussdienst","schulsports","petitionsausschusses","engagements","staatsvertrag","petenten","bürgerschaftlichen","petition","bewerbung","petenten","wohngebieten","spielhallen","sportlerinnen","ehrenamtlich","petitionen","homophobie","doping","sportler","integrität","sport","athleten","sportausschuss","vereine","athleten","invictus","petition","bevölkerungsschutz","petenten","gemeinnützigkeit","ahrtal"
"7","auswärtigen","amt","bundeskanzler","bundesregierung","minister","herr","brief","auszeichnungen","brief","lenz","brief","herrn","presse","bundesverfassungsgericht","bonner","brandt","kommentar","broschüre","rundfunk","beschlagnahme","ard","anzeige","empfangen","presse","film","rundfunk","informationsamt","moersch","berichterstattung","wörner","besondere","chef","überlagert","abgeordneter","aufgaben","presse","herr","göbel","wienand","bölling","bundeskanzler","wochenschauen","herr","urteils","altenheime","presse","beilage","abgeordneter","kassel","nachrichtendienste","merex","bundesrechnungshof","kontrolle","libanesischen","israelische","bilden","rechtlicher","pardon","sportbericht","karl","spielen","sportanlagen","speyer","geiger","vereine","filme","vereinen","wahlkampfkostenerstattung","bad","stiftungen","fünfprozentklausel","ddr","gregor","uwejens","uwejens","gysi","uwejens","grundgesetzes","leistungssport","einkünfte","entschädigung","häfner","nebentätigkeiten","abgeordneten","volksbegehren","parteienfinanzierung","plebiszite","riegert","diäten","sport","onlinewahlen","bürgerschaftliches","goldenen","spitzensport","sports","for","schönefeld","schönefeld","winkler","wende","spielsucht","stiftungen","petenten","sports","dosb","fussball","olympischen","sportpolitik","baunutzungsverordnung","petenten","sports","sports","doping","spiele","petitionsausschusses","spiele","mutlu","dopingopfer","sportanlagen","petenten","petition","olympics","games","ehrenamtlichen","ehrenamtlichen","petitionsausschusses","organisationen","rheinlandpfalz"
"8","regierung","regierung","innenminister","bundesinnenminister","bulletin","sozialistischen","regierung","schwarzweissrot","schreiben","brief","demokratie","adenauer","sozialdemokraten","adenauer","gewaltakt","urteil","bedenkliche","darstellung","zeitung","rundfunk","blumenfeld","rundfunk","rundfunkanstalten","drüben","films","bundespressechef","öffentlichkeitsarbeit","presse","pressekommission","information","ahlers","besondere","öffentlichkeitsarbeit","journalisten","herr","funcke","korrespondenten","staatssekretär","zeugen","bnd","presse","wochenschau","öffentlichkeitsarbeit","stücklen","professor","herr","lutze","bundeskanzleramt","schröder","untersuchungsausschusses","sitzungsprotokoll","legal","rauschenbach","israel","plo","beamte","israel","rat","tillmann","olympischen","sportler","gemeinnützigen","renger","films","sportlerinitiative","videokassetten","kommission","gemeinnützigen","parteien","dominanz","sperrklausel","sports","sed","gregor","gregor","pdslinke","gregor","sed","uwejens","kommission","stiftungen","verhältniswahl","dienst","übergangsgeld","demokratie","wiefelspütz","wahleinsprüche","sportausschuss","wahlkreise","kemper","beamten","vereine","hansjoachim","breitensport","ioc","auskunftsaustausch","sport","projekte","petitionsrechts","olympischen","eingaben","ehrenamt","schulsport","petitionsausschusses","engagements","ehrenamtlichen","wohngebieten","kinderlärm","kinderlärm","spieler","london","vereine","ringen","paralympischen","bürger","petition","nada","bürger","olympischen","schwimmunterricht","seehofer","special","freifunk","petitionsausschuss","gemeinnützigkeit","ehrenamtlichen","sportstätten","flutkatastrophe"
"9","bundeskanzlers","amts","öffentlichkeit","auswärtigen","bundeskanzlers","studentenbundes","bundesinnenminister","kommission","anfrage","presse","journalisten","donnerstag","demokratie","donnerstag","manifest","regierungserklärung","elf","bundeskanzler","zoglmann","pressefreiheit","öffentlichrechtlichen","zeitungen","bundespost","eckardt","hofmann","informationsamt","staatssekretär","raffert","zeitungen","propaganda","hörmann","herr","bundeskanzleramtes","ehmke","bundeskanzlers","schulzevorberg","ddr","wechmar","untersuchungsausschuss","presse","informationsamtes","ehmke","broschüren","anzeigen","stücklen","bundesverfassungsgerichts","spionagefall","papier","grabert","material","presse","kassel","einsetzung","palästinenser","israelis","bundesarchivs","leiter","herr","begegnungen","vorwärtsstrategie","angeles","vereinen","antragstellenden","filmwirtschaft","olympischen","sportler","sportvereinen","sockelbetrag","spenden","olympischen","ddr","heuer","vermögen","bündnis","pdslinke","sports","verfassung","heuer","breitensport","parlamentsreform","verfassung","konsens","übergangsgeld","demokratie","rücklage","wahlrecht","wahlrechts","dopingbekämpfung","sport","krefelder","ehrenamt","ehrenamtlich","bürger","leipzig","eröffnungsspiel","raumfahrtpolitik","flughafengesellschaft","ehrenamtlich","bürger","schüler","sportwetten","sports","sports","bürger","sportler","doping","breitensport","bürger","anwohner","glücksspiel","sportgrossveranstaltungen","petitionsausschuss","sportlerinnen","sports","trainiert","petitionsausschuss","fussball","anliegen","genossenschaft","athleten","schickt","petition","abgabenordnung","sport","ehrenamt","ehrenamt","vereinen","katastrophenhilfe"
"10","hätte","rede","maier","öffentlichkeit","parlament","brief","majonica","bundesinnenminister","antwort","titel","kanzlers","präsidenten","globke","ministerpräsidenten","facharzt","amt","bürgermeister","selbstkontrolle","werbefernsehen","information","welle","titel","fernsehprogramm","bundespressechef","coburg","sendungen","rundfunk","antwort","becher","anzeige","kanzleramt","anzeige","bundesminister","bundesregierung","dr","presserat","informationsamtes","funcke","frau","bundeskanzler","öffentlichkeitsarbeit","sicherheitsrisiko","jaeger","bundesverfassungsgerichts","öffentlichkeitsarbeit","bundesverfassungsgericht","geheim","haase","presse","lockheed","staatssicherheit","bakteriologischer","sendung","bundesnachrichtendienst","mainz","vertreibungsverbrechen","eingriff","ungeachtet","sportvereine","öffentlichen","ausrichtung","kassel","sportler","filmtheater","verfassungsschutz","synagoge","übungsleiterpauschale","büchner","opel","vereinen","vermögen","riege","gruppe","ullmann","liste","gregor","spenden","föderalismus","ddr","parlaments","bezüge","schmidt","kommunen","sprache","versorgungsreformgesetz","funktionsfähigkeit","parlamentarischen","breitensport","parteien","sportler","riegert","engagieren","schily","vereine","olympia","mars","esa","fussballweltmeisterschaft","hammelsprung","turin","monopol","nada","engagement","bürgerinnen","ehrenamtlich","vereine","anwohner","petitionsrecht","aussenbereich","petitionsausschusses","paralympischen","sportförderung","petition","hitzlsperger","olympia","bewerbung","dfb","dopingopferhilfegesetz","rechtsform","schwimmbäder","integrität","vereine","umwelthilfe","invictus","thwgesetz","thw","vereine","ehrenamtlichen"
"11","presse","presse","schröder","richtlinien","anfrage","minister","bundesregierung","herr","presse","adenauer","demokratischen","bundespräsident","brief","brandt","eigenschaft","zeitung","name","notstandsregelung","tageszeitungen","presserechts","werbung","selbstkontrolle","rundfunks","hase","rundfunkanstalten","journalisten","politische","zeitungen","zeitung","herr","windelen","information","dr","zusatzfrage","abgeordneter","herrn","bundeskanzler","herr","untersuchungsausschusses","guillaumes","frau","bundeskanzlers","stern","presse","bundeskanzlers","bölling","bölling","schröder","bundeskanzleramtes","akten","verzeichnet","zeitung","reinhold","kontrollkommission","libanesen","geboten","ehrlichkeit","keinesfalls","sportausschuss","kandidiert","komitee","sportler","addieren","kinos","spitzensportler","olympischen","gemeinnützigen","vollmer","sportvereine","dsb","chancengleichheit","ullmann","bündnis","pds","sportanlagen","trainer","kommission","präambel","gysi","häfner","eylmann","bundesverfassungsgericht","sportsicherung","rechtschreibreform","parlaments","kollege","barthel","sportstätten","versorgungsempfänger","wahlkreisen","psychogruppen","sportler","sportförderung","sportler","eröffnungsfeier","fairen","unfallversicherung","bbi","berichtsjahr","parr","petition","bürgerschaftlichen","sportwetten","sportler","spitzensport","ehrenamtlich","spiele","petitionsausschusses","fluglärm","eingaben","münchen","ehrenamtlichen","petitionsausschuss","engagement","eingaben","sportlerinnen","fans","petitionsausschusses","doping","dlrg","grundgesetz","verein","petenten","ehrenamtlich","hilfswerk","bürgerinnen","ehrenamt","thw"
"12","erklärung","hätte","schmidtwittmack","parlament","regierung","parlament","zeitung","bundeskanzlers","bundesminister","wrasmann","union","öffentlichkeit","parlament","gmbh","geschrieben","herrn","erworben","verdacht","illustrierten","films","arndt","anzeigenaktion","kronach","verbreitung","filme","hase","bildung","benda","tageszeitungen","journalisten","politischen","bundesminister","unosatzung","herrn","bundesminister","präsidenten","staatssekretär","ravens","schäuble","informationsamtes","bnd","guillaume","schlei","haase","chef","untersuchungsausschuss","haase","bundespresseamt","abgeordneter","untersuchungen","steuergeldern","bundeskanzleramtes","nachrichtendienste","vorgänge","arabischen","ungeachtet","könne","entscheidungen","pädagogen","koalition","sommerspiele","sportbundes","dkp","videowirtschaft","friedensstafette","sauer","kassette","vereinen","sportbericht","verein","parlament","ehemaligen","wolfgang","parteien","pds","goldenen","grundgesetz","pds","kollege","verfassung","parlament","ausgleichsmandate","breitensport","schmidt","wahlen","obergrenze","kollege","spitzensports","stadler","radfahren","beamtenversorgung","bürger","behindertensport","sportliche","fussballweltmeisterschaft","olympischen","raumfahrtpolitik","sportlichen","bürgerinnen","fdpantrag","sports","parr","detlef","ioc","petitionen","vereinen","sportler","anliegen","baugesetzbuch","glücksspielsucht","vergabe","übungsleiterpauschale","spiele","nada","ausschuss","athleten","sportanlagen","dosb","verein","engagement","bundes","athletinnen","spiele","gemeinnützigkeit","engagement","mitzeichnungen","katastrophenschutz","schwöre"
"13","rede","antwort","innern","menzel","amt","artikel","minister","minister","bundesregierung","material","erhard","parlament","erler","altmeier","regierung","darstellung","öffentlich","inanspruchnahme","funk","freiheit","kommission","weinstein","hase","austausch","kronach","rundfunkanstalten","zeitschriften","zeitschriften","moersch","kanzleramt","propaganda","anschlag","herrn","bundeskanzler","staatssekretär","dr","freiherr","staatsanwaltschaft","presse","verfassungsschutz","staatssekretär","akten","anzeigen","verfassungsgericht","öffentlichkeit","staatssekretär","ministerialdirektor","bolling","zusatzfrage","althammer","lahnstein","tage","christine","unifil","kontrolle","lambsdorffpapier","dienstbezüge","denken","sportpolitik","mainz","los","schmidhuber","kollege","privaten","sportvereine","sports","vereinfachung","sports","olympiastützpunkte","urteil","partei","grüne","pdslinke","sed","sed","kampf","pdslinke","gysi","spitzensports","schmidt","solms","abgeordneten","abgeordneten","abgeordnete","körper","teilfinanzierung","stercken","plan","wahlhelfer","wahlkreisreform","briefwahl","ehrenamt","sportstätten","sportbericht","spielen","ariane","bürgerschaftlich","engagement","gleichgültigkeit","zimmermann","petitionsrecht","engagieren","bürgerinnen","petitionsrecht","olympischen","petitionsausschusses","umgebung","beschwerden","spielsucht","vereine","eishockeyweltmeisterschaft","ehrenamtliche","ioc","olympische","beschwerden","antidopinggesetz","fairness","petent","sportvereine","korte","ministerien","wm","petitionsausschusses","zivilgesellschaft","vvnbda","organisationen","ausschusses","petition"
"14","minister","auswärtige","amt","bundespresse","fälle","studentenbund","sozialistischen","wrasmann","parlaments","gericht","bundespräsident","theodor","bundespräsidenten","bundesregierung","regierungserklärung","erler","information","volk","sendung","funk","werbesendungen","werbung","hofmann","zeitschriften","bamberg","verlage","schulzevorberg","fernsehen","fernsehen","staatssekretär","informationspolitik","propaganda","bundeskanzlers","bundeskanzlers","anzeigen","pressestelle","bundeskanzleramtes","anzeige","vertrauensmännergremium","bundesnachrichtendienst","herr","bundeskanzleramt","werbeagentur","informationsamt","zusatzfrage","lüneburg","staatssekretär","kanzleramt","material","mitarbeiter","finanzkontrolle","laut","wdr","präsidenten","mainzcomment","neben","katze","waffen","speyer","bonn","ruhrgebiets","sportbund","kontakte","filmförderungsanstalt","büchner","salzgitter","sports","sportvereine","vereinsförderungsgesetz","opel","sport","gregor","wahl","dr","ullmann","spitzensport","jahn","uwejens","sportausschuss","abgeordnete","abgeordnete","bundestagswahl","stiftungen","bürgerinnen","versorgung","vizepräsidenten","volksinitiative","schulsport","beamte","beamten","engagements","riegert","vereine","sportarten","paralympics","steuerwettbewerbs","nüsslein","jahr","massenpetitionen","sportarten","detlef","bürgerschaftliches","eingaben","spitzensport","parr","petenten","breitensports","petitionswesen","sports","sports","ioc","petition","sportverbände","sporthilfe","anliegen","sportbericht","sportlern","sportler","sportanlagenlärmschutzverordnung","bürgerinnen","sportanlagen","olympischen","engagement","ehrenamtskarte","katastrophenschutz","petitionsrecht","nordrheinwestfalen","rennwett"
"15","dr","worden","mann","innenminister","bundesinnenminister","bundesinnenminister","dr","bundesregierung","bundestages","arndt","partei","steht","regierung","eckardt","august","bulletin","geschrieben","brief","ard","sänger","wochenschau","fernsehprogramm","bundespressechef","gerstenmaier","meinungsfreiheit","verleger","meinungsfreiheit","huys","benda","politische","herr","bundespresseamt","personalakten","pressefreiheit","zusatzfrage","bundesnachrichtendienst","bundesregierung","abgeordneter","zeuge","untersuchungsausschuss","waffengeschäften","öffentlichkeitsarbeit","dr","publikationen","essel","verfassungsgericht","journalisten","bundesverfassungsgerichts","blötz","riedl","rechnungshof","sofort","ddr","unzutreffend","reddemann","eingriff","klargelegt","stehe","sportförderung","darin","sportstätten","klein","aufbau","filmförderungsgesetz","friedensinitiative","klein","spenden","sachverständigenkommission","gemeinnützigkeit","spender","gesamtdeutschen","volkskammer","heuer","höll","kommission","ullmann","ullmann","vogel","sed","demokratie","schmidt","parlament","übergangsgelder","conradi","häfner","transparenz","befriedeten","sportlerinnen","demokratie","oberfranken","volksentscheid","vereinen","ehrenamt","goldenen","hinsken","global","bürgerschaftliches","freiwilligen","millionen","reden","anbieter","vereine","bewegung","bewerbung","petitionsrecht","diskriminierung","ehrenamtlichen","massenpetitionen","privilegierung","verein","homosexualität","doping","sportausschuss","spielen","olympischen","fifa","spitzensport","petitionswesen","vereinen","dosb","vereinen","games","vereine","engagierten","helfern","sports","rheinlandpfalz","athleten"
"16","parlament","minister","material","äusserungen","zeitung","majonica","arbeitsgemeinschaft","innenminister","regierung","informationsamt","kanzler","herr","guinea","gericht","parlament","information","berichtet","wirklichkeit","medien","modellentwurf","sender","zeitschriften","khz","sendungen","journalisten","zeitschriften","wochenschau","herr","meinungsfreiheit","bildzeitung","bundesnachrichtendienst","bundeskanzleramtes","zeitungen","besondere","disler","briefe","bundeskanzleramt","freiherr","vogel","bundesnachrichtendienstes","bundeskanzleramt","herr","frau","spiegel","anzeige","parlament","alternativempfehlungen","herr","informationsfreiheit","freitag","vergleichs","amtspflichtverletzung","presse","parlamentarischen","truppen","veröffentlichung","vorlag","versprochen","april","negativen","sports","renger","chemischen","fernsehanstalten","spitzensport","spitzensport","ehrenamtliche","vereinfachung","baunutzungsverordnung","olympische","gruppe","gruppe","massenorganisationen","proletariats","einigungsvertrag","ioc","liste","parteien","riegert","arbeit","bundesverfassungsgericht","bundestag","gehälter","kultusminister","parlamentarische","spenden","plebiszitärer","sportbericht","kemper","körper","versorgungsrücklage","ehrenamtliche","vereinen","spiele","olympiabewerbung","and","versichert","parr","leuchtturm","eigentlich","staatliche","dopingbekämpfung","spielsucht","öffentliche","verein","arbeit","kompetenz","autonomie","mädchen","arbeit","spielen","bürgerschaftliches","vergabe","athleten","sportförderung","organisierten","athleten","bürgerinnen","sportler","bürger","initiativen","sports","anerkennung","engagieren","abgabenordnung","bürger","petenten","katastrophe"
"17","erklärt","parlament","menzel","fragen","auswärtigen","zeitung","politische","schwarzrotgold","präsidenten","herr","kandidatur","demokratie","donnerstag","arndt","sozialdemokraten","geschäftsführer","deutsche","gross","publikationsmittel","medien","berlin","stammberger","kommission","italienische","sänger","meinungsfreiheit","scheel","kaiserstuhl","politische","steffen","raffert","anzeigen","ahlers","welle","herrn","bnd","briefwechsel","herrn","wechmar","staatssekretärin","bundesnachrichtendienstes","chef","staatssekretärin","schäfer","akten","rechnungshofes","deutschpolnischen","lepsius","veröffentlichung","pensky","parlament","pauschalen","vorgänge","libanesen","konflikt","gerster","bahro","entworfen","amling","hamburg","nok","lebenswerten","forschungsstelle","gemeinnützigen","betreuung","gemeinnützigen","broschüre","schatzmeister","übungsleiterpauschale","büchner","gruppierungen","bundesverfassungsgericht","volkskammer","sport","vereine","mischnick","schulz","art","gregor","massstab","erhöhung","system","dr","bundestages","volke","staatssekretäre","claus","spiele","versorgungsrechtsreform","riegert","bürgerschaftlichen","sportausschuss","binding","fussballweltmeisterschaft","stadt","forum","mars","fussball","angeklungen","werte","wettmonopol","gesetzentwurf","prävention","sportlerinnen","vereine","fans","petition","ausschussdienstes","spieler","sportausschuss","fussballeuropameisterschaft","engagements","olympische","winterspiele","ausschussdienstes","spitzensport","sportlerinnen","gedopt","datei","athletinnen","engagieren","anliegen","bevölkerungsschutz","anerkennung","anerkennung","engagement","bürgerinnen","ehrenamt"
"18","öffentlichkeit","sei","verfassungsschutzamt","regierung","öffentlich","jugend","informationen","präsidenten","erklärt","eckardt","vorgänge","propaganda","parlamentarischen","demokratie","jüngere","lemmer","angewiesen","gewählten","öffentlichrechtlichen","schweigen","hess","glaube","deutschlandfunks","italien","hase","film","information","unabhängigkeit","pullach","schmid","information","rechten","anfrage","aufgaben","wagner","frau","pressefreiheit","frau","chef","bundeskanzleramtes","abgeordneter","funcke","haase","mitarbeiter","presse","spiegel","schulbuchempfehlungen","friedmann","journalisten","diensten","titel","personalpolitik","gemeinnützigkeit","mitarbeiter","hilfslieferungen","aktive","rüstungsgüter","gedenktag","spiele","institution","sportboykott","breitensport","sports","spielfilmen","spiele","spiele","sachverständigenkommission","partei","spender","entzieht","wahlgesetz","parteien","blockparteien","riege","parteien","sportstätten","dr","gregor","heuer","pds","scheckkartenformat","parteien","häfner","parlament","schlussbericht","bundestages","beamten","antidopingagentur","besoldung","wahlkreiseinteilung","volksinitiative","engagierten","engagement","vereinen","schily","kriminelle","versicherungsschutz","sportausschuss","email","bestellt","bürger","gesellschaft","riegert","sportförderung","detlef","eingaben","gesellschaft","eingaben","vergnügungsstätten","petitionsrecht","austragung","vereinen","sportarten","fussball","jugend","sportlichen","dezibel","ddrdopingopfer","engagement","schwimmbad","liebe","bewerbung","freifunkinitiativen","vereine","ehrenamtlich","petentin","ausschuss","spitzensport"
