"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","einzelplan","einzelplan","einzelplan","einzelplan","verwaltung","einzelplan","bonn","tit","aufgaben","tit","haushaltsausschuss","tit","einzelplan","tit","entwicklungsländer","radioaktivität","luft","butter","verbraucher","werbung","verbraucher","selbstschutz","kurlbaumbeyer","unesco","orchester","brennbuch","einwohnern","sachkundenachweis","uhr","eid","tor","intelligenz","amerikahäuser","spareinlagen","lohn","vertraulichen","kreditinstitute","querelles","investitionsteuer","badenwürttembergischen","übereinkommen","trauerbeflaggung","rico","schwarzarbeit","rohstoffabkommen","schwarzarbeit","stiftung","vietnam","künstler","künstler","künstler","petitionsausschuss","flüchtlinge","flüchtlinge","kommission","petitionsausschuss","konvention","petitionsausschuss","petitionsausschuss","petition","petition","petition","petitionen","petition","petitionsausschuss","petition","petitionsausschuss","petition","bundesrechnungshof","petition","petitionsausschuss","sport","bundesrechnungshof","berlin","sport","petitionsausschuss","dat","sport","sport","petitionsausschuss","petitionen","petitionen","sport","welle","dat","naumann","petitionen","sport","film","forschung","stammzellen","stammzellen","film","sport","klonen","enquetekommission","stammzellen","sport","petitionsausschuss","schulsport","petitionen","sport","sport","stammzellen","sport","sport","sport","sport","spielhallen","sport","sport","sport","sport","sport","petitionen","sport","sport","petition","sport","schwimmen","cannabis","sport","petitionen","invictus","petition","cannabis","petitionen","sport"
"2","haushalt","tit","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","bundesgrenzschutz","planstellen","einzelplan","ministerium","haushaltsausschuss","tit","kap","tit","kap","ausbaustufe","luft","bechert","bevölkerungsschutz","werbung","verbraucher","beyer","hübner","schmücker","orchester","zirndorf","bibliothek","herr","kurorte","weiden","schwöre","bindung","herr","schwächsten","gesetzlicher","gehaltskonten","mandel","däublergmelin","grass","herr","länger","patentübereinkommen","mhp","krebsforschung","brauerbund","erfindungen","kultur","konrad","flüchtlinge","petitionsausschuss","publizisten","publizisten","künstler","eichhörnchen","baustellen","volksbund","seeschiffahrt","zeichnung","petitionen","konvention","schiffe","petitionsausschuss","petenten","petitionsausschuss","petitionsausschuss","petitionen","petenten","petenten","petitionsausschuss","petitionsausschuss","zusatzprotokolle","petitionen","petitionsausschuss","rechnungsprüfungsausschuss","föderalismuskommission","film","petenten","de","welle","ard","petitionen","petitionsausschuss","petitionsausschuss","petitionsausschuss","petitionen","de","medien","petitionsausschuss","petitionen","pid","stammzellen","forschung","forschung","sport","petitionsausschuss","film","petitionsausschuss","forschung","patientenverfügung","petitionsrecht","sport","petitionsausschuss","doping","petitionen","forschung","sports","petitionen","sportanlagen","petitionen","sport","cannabis","olympischen","nada","genossenschaften","sotschi","petitionsausschuss","institut","ezigaretten","petitionen","sports","petitionen","drogen","petitionsausschuss","petitionsausschuss","games","gemeinnützigkeit","petitionen","vereine","sanktionsdurchsetzungsgesetz"
"3","haushaltsausschuss","haushaltsausschuss","haushalt","tit","ministerien","haushaltsausschuss","institut","amt","haushaltsausschuss","kap","kap","haushaltsausschuss","haushaltsausschuss","einzelplan","amt","ministerium","bevölkerung","tit","wahlkreise","beyer","frau","werbung","frau","entwicklungshilfe","bibliothek","kuratorium","organisation","unertl","vohenstrauss","helfe","bmz","einleiten","kreutzmann","kündigungsfrist","kreditinstitute","erläuterungen","datenübertragung","zirndorf","iraklion","herr","patentamt","indizes","puerto","baukonjunktur","fund","ostdeutschen","adenauers","vertreibung","petitionsausschusses","olympischen","künstlersozialabgabe","publizisten","lobt","anamur","neumann","handelsflotte","grunenberg","petition","petition","grunenberg","petitionen","petitionsausschuss","petition","mainz","petitionsausschusses","jugendschutz","petition","petenten","petition","massnahmenkatalog","bundesrechnungshof","petitionen","wolgarepublik","beschluss","sports","petitionen","berlin","petitionsausschuss","stoiber","petenten","petenten","berlin","raucher","petitionsausschuss","petitionen","beauftragter","petitionsausschusses","doping","filmförderung","pid","embryonalen","petitionsausschuss","forschung","petitionen","leipzig","petitionen","stammzellforschung","organspende","petition","sprintstudie","sport","sportler","petitionsausschuss","stammzellforschung","petitionsausschuss","petitionsausschuss","sports","petitionsausschuss","lärm","petitionsausschuss","spiele","de","olympischen","olympischen","sport","menschenrechte","eshishas","petitionsausschuss","sportanlagen","petitionsausschuss","drogenpolitik","petitionen","gemeinnützigkeit","petitionen","vvnbda","petition","petition","petition"
"4","ministerium","auswärtigen","beamten","haushalt","amt","tit","ministerium","haushaltsausschuss","bundesrechnungshofs","einzelplan","einzelplan","titel","ministerium","haushaltsausschuss","ministerium","tit","entwicklungshilfe","bevölkerung","verbrauchers","frau","lebensmitteln","flitz","stiftung","grossstädten","kurlbaumbeyer","frankfurt","fortschrittlich","fremdenverkehrs","öffentliche","wahr","öffentliche","zusatzfrage","kilogramm","altreifen","mandel","jungdemokraten","sichergestellt","lepsius","bat","ja","japanischen","staatssekretär","krebs","rico","monatsdurchschnitt","sauer","nachlass","vietnams","künstlern","hilfe","künstlersozialversicherungsgesetz","petitionen","tätigen","ministerpräsidentenkonferenz","schroeder","petition","seerechtskonvention","eingaben","zeichnung","petenten","konvention","seerechtskonvention","petenten","petenten","petenten","videokassetten","petitionsausschusses","zusatzprotokolle","petitionen","bestrahlung","petitionsausschusses","öffentlichrechtlichen","deres","ministerien","sportstätten","sport","umzug","petitionen","berlin","petitionsausschusses","petition","umzug","rauchen","rauchen","is","angelegenheiten","eingaben","olympischen","präimplantationsdiagnostik","embryonen","embryonen","sport","klonen","grossveranstaltungen","enquetekommission","sport","embryonalen","breitenkultur","petitionen","sportunterricht","ethikrat","engagement","parr","embryonalen","bürgerschaftlichen","sports","lärm","petition","fracking","petitionen","cannabis","dat","sportler","sportler","petition","doping","doping","rauchen","athleten","cannabis","alkohol","esport","petition","petition","abgabenordnung","petitionsausschuss","sport","oligarchen"
"5","tit","haushalt","bundesrechnungshofs","auswärtigen","verwaltungsreform","kap","haushaltsausschuss","auswärtigen","amt","titel","titel","einzelplan","schäfer","ministerium","verfügung","bechert","tinte","zivilen","wahlkreis","zivilen","bevölkerung","bevölkerungsschutz","postanweisungen","technischer","zeitschrift","bundeshauptstadt","norddeutschland","rechtsausschusses","beglaubigungen","gott","bundespräsidialamt","klassenkampfes","et","konten","verplombung","liberalismus","banken","herr","bitte","auswärtigen","patent","staatsoberhauptes","nairobi","staatssekretär","abschreibungsbedingungen","vertriebenen","adenauer","flüchtlingen","lattmann","sport","vermarkter","künstlersozialabgabe","falls","cap","aufnahme","petenten","zeichnen","petenten","petitionen","zeichnung","petenten","petitionen","petitionsausschusses","oberjettenberg","petition","petitionsausschuss","petitionen","petitionen","petitionsausschusses","petitionsausschuss","petenten","sports","rechnungsprüfungsausschusses","petitionsausschuss","hörfunk","doping","un","petenten","rundfunkanstalten","berlin","welle","rundfunk","sportförderung","nichtraucher","petitionsausschuss","kultur","petenten","petitionsausschuss","produzenten","menschlichen","import","enquetekommission","menschenwürde","petition","klonens","petenten","embryonen","sterben","baumann","sports","petenten","ehrenamt","olympischen","stammzelllinien","engagement","petition","olympischen","sports","frauenfussball","drogen","sportler","engagement","sports","sportlerinnen","beamten","petitionen","zigaretten","doping","fans","petition","sport","gemeinnützigkeit","invictus","petitionsausschuss","organisationen","sport","organisationen","cannabis"
"6","kap","kap","tit","ministerium","bergmeyer","bundesgrenzschutzes","bauten","kap","tätigkeit","amt","haushaltsausschusses","trossingencomment","titel","künstlerhilfe","aufgabenstellung","bevölkerung","werte","herstellungsdatum","wilhelmshaven","käufer","satzung","schutzräume","zirndorf","bezuschussung","stiftung","var","überhöht","einzelhandel","tür","leisten","prüfe","suggeriert","verschwinden","strahlenschutz","konten","landtagswahlen","herr","allemandes","gehaltskonten","wort","erfindungen","kollege","forschung","betriebsgrösse","vds","kulturarbeit","kw","asbest","petition","olympische","verwerter","anamur","kartellamt","südostasiatischen","mobiliarsicherheiten","eingaben","hamburg","schiffahrt","petenten","petitionen","zeichnung","vorbereitungskommission","massenpetitionen","petitionsausschusses","eingaben","filme","bundesrechnungshof","guernica","petenten","nuklearerklärung","eingaben","eingaben","zdf","petitionen","benjamin","eingaben","ick","petitionsausschusses","zdf","eingaben","berlin","eingaben","nichtraucher","film","ick","welle","welle","sports","enquetekommission","embryonalen","film","petitionen","verbieten","sports","olympischen","petition","erfindungen","sports","petenten","umsatzsteuersatz","petitionsausschusses","ehrenamtlich","petition","sport","dosb","fussball","sportpolitik","petenten","kinderlärm","beamten","ukraine","genossenschaften","drogen","spiele","beamtinnen","sports","jugendliche","petenten","vereine","sport","schwarzmarkt","athleten","games","sport","sport","drogen","petitionsausschuss","hauptausschuss"
"7","aufgaben","ministerium","haushaltsplan","amt","auswärtigen","planstellen","tit","ritzel","personal","ministerium","zivilen","reichshaushaltsordnung","kap","titel","beamten","kontrolle","kontrolle","lebensmittel","verbraucheraufklärung","kollegin","wilhelmshaven","zivilbevölkerung","institut","titels","berg","abfälle","vizepräsident","heilbäder","beglaubigung","bundesminister","wahr","slotosch","legitim","fragebogen","spareinlagen","nämlich","vorschlagsliste","asylbewerber","minderheit","misstrauisch","patente","herr","krebsbekämpfung","getränke","dr","silberland","leistung","genossenschaften","sport","sportler","künstlern","cap","wiederum","meisterprüfung","kakaoabkommen","petitionen","sitz","petitionsausschusses","grunenberg","volksentscheid","petitionsausschusses","petent","konvention","mainzer","berger","bundesrechnungshof","anliegen","nuklearerklärung","bga","gedenk","gedenkstätte","petition","purps","umzug","sportanlagen","petitionsausschusses","is","petition","öffentlichrechtlichen","rundfunk","petent","petitionsausschusses","petenten","öffentlichrechtlichen","un","michael","petition","spitzensport","sport","präimplantationsdiagnostik","adulten","embryonen","erziehungsbeauftragten","spitzensport","ethik","ressortforschungseinrichtungen","schweiz","enquetekommission","bürger","schulsports","eingaben","sports","petenten","embryonen","engagements","doping","kinderlärm","kinderlärm","wohngebieten","öffentlichen","sportlerinnen","ehrenamt","cannabis","paralympischen","drogen","sportler","rauchen","sport","institut","drogen","cannabiskonsum","special","abgabenordnung","ehrenamtskarte","petentin","legalisierung","transparenzregister","athleten"
"8","auswärtigen","amt","amt","beamten","ministerium","ritzel","einzelplan","aufgaben","einzelplan","aufgaben","schäfer","mittel","bundeszentrale","windelen","bewilligt","bevölkerungsschutz","trinkwasser","haltbarkeitsdauer","beyer","verpackung","vorstand","schutz","warentest","bundeswirtschaftsministerium","frau","gawi","pfalz","befähigungsnachweis","behörden","gemeindeverbände","entwurf","schlussfolgerung","petersen","beförderungsteuer","gebühren","richtung","lieferungebundenheit","däublergmelin","lohn","°o","anmeldung","patentamts","internationalen","schön","forschung","gewinnsucht","urheber","hilfe","schriftsteller","flüchtlinge","künstlersozialkasse","vermarkter","schriftsteller","flüchtlingen","freiburg","seeleute","flüchtlinge","grunenberg","petitionsausschusses","petitionsausschuss","plenum","schichtarbeit","eingaben","film","dienstag","grube","beschwerden","petitionsausschusses","rechnungshof","ratifizierung","zusatzprotokolle","petenten","stiftung","konzeptkommission","petition","petition","wi","sports","rundfunk","ausschuss","nickels","petition","petitionen","petenten","wi","gema","naumann","patentamt","films","menschenwürde","petitionsausschuss","sports","enquetekommission","riegert","spiele","ressortforschung","forscher","pid","petitionsausschusses","kunert","ethikrates","stiftungen","schulsport","stichtag","sportler","vereine","breitensport","sportpolitik","baunutzungsverordnung","petition","sports","ehrenamtlich","sportgrossveranstaltungen","de","petitionsausschusses","olympischen","sportler","anliegen","olympischen","sportausschuss","athleten","petition","petenten","gemeinnützigkeit","gemeinnützig","petenten","gemeinnützigkeit","sanktionen"
"9","ministeriums","abteilung","aufgaben","haushaltsplan","bundesrechnungshof","haushaltsausschusses","nachtragshaushaltsplan","haushaltsausschusses","kap","ausland","beamten","ritzel","psychologische","leihbüchereien","aufklärung","entwicklungshilfe","auskünfte","hausfrau","hannover","zivilverteidigung","lebensmittel","eisenerzbergbaus","paketkarten","entwicklungshelfer","zweieinhalb","sammelstelle","polizisten","speisen","verteidigungsausgaben","herr","bundesaussenminister","amtsantritt","rückendeckung","illusion","verlage","staatssekretär","baugenehmigung","haase","etwa","demonstrationen","münchen","dr","krebsforschungszentrum","volksgesundheit","anvertraut","ostdeutsche","sender","vertriebenen","publizisten","komitee","vermarktern","flüchtlinge","bewahrheitet","befähigungsnachweis","wale","schiffe","cap","härten","petitionsrecht","parlamentarismus","schiffe","material","hansen","filmförderung","petitionsrecht","synagoge","segall","ratifizierung","bundesrechnungshofs","bayerischen","bundesrechnungshofes","petitionsausschusses","rechnungshof","verlagerung","filmförderungsgesetz","ahmadis","nich","eingaben","sports","petition","berliner","petenten","petition","petition","eingaben","bundesbehörde","bürger","sportler","naumann","gentechnik","menschen","menschenwürde","wissenschaftler","olympischen","bewerbung","organe","berufsgenossenschaften","patientenverfügungen","ausschussdienst","sportarten","enquetekommission","nada","bewegung","petitionen","spitzensport","ehrenamtlichen","bewerbung","petitionsrecht","spielsucht","bonn","sportgrossveranstaltungen","petitionen","petitionen","dienst","bürger","spiele","sports","ezigarette","doping","petenten","freigabe","olympics","umwelthilfe","anerkennung","schwimmen","petitionsausschusses","vereinen","transparenzregister"
"10","ministerien","haushaltsausschusses","ministerium","haushaltsausschusses","einzelplan","amt","kap","auswärtige","verwaltung","beamten","ansatz","gutachten","heimatdienst","innern","verwaltung","frau","minister","frau","ware","bevölkerungsschutz","kollegin","ernstfall","utah","schadenbedarf","wellmann","stoffbesitzer","bibliothek","gaststätten","faktorkosten","erdgas","herr","messen","bestätigen","vermögensverteilung","geldinstitute","abgegebenen","bergbau","auswärtigen","dinge","enquete","patentrechts","naturwissenschaftlichen","patentstelle","ruhig","apo","kulturellen","schriftsteller","türkische","hilfe","künstlern","maschinensteuer","hilfe","flüchtlingen","bramsche","gräber","petitionsausschusses","seeschiffahrt","beschwerden","seerechtskonferenz","ausflaggung","seerechtskonvention","petitionsausschusses","schiffe","fernsehen","ausschuss","sauter","eingaben","segall","eingaben","notare","rechnungsprüfungsausschuss","anstalten","mahn","petenten","hörfunks","medien","konzeptkommission","medien","sportbericht","beschwerden","sport","öffentlichrechtlichen","petent","berlin","nich","oberste","bürgerinnen","enquetekommission","embryonenschutzgesetz","leben","menschlichen","renesse","ethik","petenten","forschung","petitionsrecht","patentrecht","selbstbestimmung","winkler","abweichungsmöglichkeiten","petition","bürgerschaftlichen","eingaben","embryonale","bürgerschaftliches","ehrenamtlich","spiele","petitionsausschusses","fussball","spieler","london","vereine","doping","sports","bürgerinnen","cannabis","jugendlichen","ezigaretten","datei","athleten","kontrollierte","rauchen","spiele","ehrenamt","anliegen","schwarzmarkt","sportstätten","therapie"
"11","verwaltung","amts","ressorts","kap","einrichtung","auswärtigen","ritzel","abteilung","planung","zivilen","juni","auswärtigen","merkblatt","schriften","interministeriellen","werte","verwendung","ware","neueinteilung","renger","konsumenten","wilhelmshaven","zahlkarten","sicherheitstechnischen","umwandlung","titel","landtag","gewerbe","dorf","brandt","moderne","woher","gratis","petitionen","wirtschaft","appelliere","energiepolitisches","kontingente","richters","terroristen","kreditgenossenschaft","schnelles","nachsorge","herr","preises","nachbarschaftshilfe","kulturpolitik","indochina","petitionen","künstlersozialabgabe","sport","maass","zustrom","eigens","märz","reeder","senator","sprachförderung","tiefseebergbau","dkp","erledigt","einstufung","plenum","kostheim","arbeit","petent","petent","rechtsprechung","bundesrechnungshofes","petenten","ratifizierung","rundfunk","substanz","bonn","krüger","sports","se","sportausschuss","anstalten","jahresbericht","reuter","medienbericht","bürgerbeauftragte","raucher","film","behörde","jahresbericht","stammzellen","neumann","lebens","petitionen","wissenschaft","embryonen","breitensport","medizin","sportförderung","grundlagenforschung","anfrage","internet","olympischen","ethischen","engagieren","jahresbericht","verschiebung","olympischen","petenten","ehrenamtlichen","bürgerinnen","sports","spielhallen","ioc","sports","petition","nada","trainiert","pariser","ezigarette","dopingopferhilfegesetz","sportvereine","drogenpolitik","prävention","wm","anliegen","wertschätzung","vereine","alkohol","anliegen","petitionsausschuss"
"12","angelegenheiten","haushaltsplan","bundesamt","verwaltung","beamten","aufgaben","beamte","amtes","titel","bundesgrenzschutz","bundesinnenminister","kapitel","notstandsplanung","vertriebsverbot","aufgaben","niederschläge","information","kap","verbände","lebensmittel","unabhängigkeit","bevölkerung","zeitschrift","berg","vorstand","radioaktive","ost","bäder","gibt","chemischen","helfe","veränderung","aktie","sparguthaben","transitverkehr","brötchen","frage","fürth","skandalösen","informationspolitik","herr","haase","gebühren","deutsche","einladung","bericht","kultur","flüchtlingsströme","kunst","vermarkter","schäden","petition","ratifiziert","attraktiv","insolvenzrecht","hamburger","paritätisch","reeder","vorbereitungskommission","parlaments","flagge","konvention","göhner","petitionen","petitionsrechts","jugendliche","rechnungshof","petentin","escherde","peter","rechnungshof","rundfunkanstalten","wurden","petition","vereinen","rechnungsprüfungsausschuss","ok","auslandssender","spitzensport","petent","nolting","bürgerinnen","sports","sender","petitionsausschusses","otto","petitionsrecht","petenten","deutschen","embryo","leben","embryo","wettkampf","spiele","filmwirtschaft","biopatentrichtlinie","ethischen","menschen","arbeit","bundesweite","gremium","engagements","bürger","petitionsausschuss","petitionen","menschen","goldenen","engagement","mädchen","petenten","paralympischen","un","sportlerinnen","spielen","olympia","astatus","nikotin","petitionsausschusses","sportanlagenlärmschutzverordnung","schwimmunterricht","gescheitert","athletinnen","petitionsausschusses","ehrenamtlich","aberkennung","cannabiskonsum","petenten","legalisierung"
"13","abteilung","beamten","abteilung","beamte","haushalt","kontrolle","vorwegbewilligungen","innern","ministeriums","planstellen","verfassungsschutz","amt","haushaltsausschusses","bevölkerungsschutzes","bundesinnenministerium","einzelplan","hubert","qualität","verbraucherpolitik","aufklärung","werbung","zivilen","einfluss","wohnsitz","innern","benda","kollegen","hotel","schutzes","schiller","zusatzverträgen","gott","dr","vermögenspolitik","kündigungsfrist","drängten","zusatzfrage","mäuslein","voller","künstler","kontingent","behauptet","patentübereinkommen","einschliessen","schmittvockenhausen","kulturerbe","künstler","vietnamesischen","sports","humanitäre","olympischen","frequenzmodulation","humanitären","modell","insolvenzrechts","anliegen","reeder","völlige","gezeichnet","hettling","beschwerden","lärmschutzzone","berger","kino","jahresbericht","messel","ausschuss","kriegsvölkerrecht","büdingen","dokumentationsstätte","bundesrechnungshofs","werbung","olympischen","beschlusses","öffentlichrechtlichen","arbeit","charta","doping","öffentlichrechtliche","dat","fachausschuss","hansotto","medien","rundfunk","ook","de","arbeit","menschlichen","klonen","enquêtekommission","stammzelllinien","menschlichen","klonens","sportler","rostock","sports","sport","leben","petitionsrechts","bewusstsein","petitionsrecht","parr","detlef","olympischen","ehrenamtlich","fans","sportler","autonomie","spieler","glücksspiel","münchen","petitionsausschuss","petitionsausschuss","engagement","eingaben","petitionsausschuss","jugendschutz","bürger","fussball","tempel","tabak","vereine","freifunkinitiativen","spiele","schwimmbäder","abgabe","gemeinnützigen","spitzensport"
"14","amt","ausland","kap","titel","haushaltsausschusses","fonds","vogel","ausland","beamten","verwaltung","innern","indien","windelen","beamten","aufgabe","kap","menge","herstellungsdatums","ostfriesland","elbrächter","verwaltungsrat","schutzbaugesetz","geburtsdatum","beamten","mietzins","tatbestand","kommen","gaststättengewerbe","vornehmen","bereit","bruttosozialproduktes","herren","zonenrandförderung","naturschutz","dispositionskrediten","ironisch","spareinlagen","gleichgesetzt","alexander","sozialen","zusatzfrage","übung","krebserkrankungen","zwänge","einzelnen","breitenarbeit","kulturellen","bundesregierung","sportbericht","meinecke","kunst","bahner","legt","ablegung","gräbern","fischer","anamur","senats","seerechtskonvention","npd","hamburg","krebserzeugend","peter","kastel","anliegen","eimer","rechnungsprüfungsausschuss","geste","aufträge","bundesseuchengesetz","ministerien","sportförderung","petitionsausschuss","juni","ard","petentin","beschluss","blank","wdr","bürgerinnen","schulze","wilhelm","petitionsausschusses","nichtraucherschutzgesetz","gema","dr","ausschuss","menschliche","filmwirtschaft","wissenschaft","mensch","stammzelllinien","kirchen","sportliche","verbot","klinische","stammzellgesetz","sportförderung","eingaben","anfrage","ethische","ethikrat","arbeit","adulten","petitionsrecht","stadion","engagement","petitionswesen","vergnügungsstätten","legalisierung","beamten","engagements","ringen","öffentlichen","doping","instituts","konsum","zigaretten","vereinen","jugendschutz","legalisierung","olympischen","arbeit","engagement","bürger","bürger","gemeinnützige","immobilienregister"
"15","beamten","ministeriums","haushaltsausschusses","aufgaben","unterrichtung","titel","haushaltsplan","förderung","personelle","auswärtigen","bundesamt","geheimfonds","bereitschaftspolizeien","eckardt","luft","atomwaffenversuche","worden","schutz","käufer","bundesluftschutzverband","sondermarken","kosten","mehrkosten","devisen","bunde","vizepräsident","anteil","fremde","werbung","grolsheim","schwerbeschädigte","stickstoffindustrie","presse","sogenannten","transvestiten","leistungsprinzip","pakte","sahm","kreditinstitute","fristen","patentrecht","export","rehlen","schollen","patente","währung","khz","vietnamflüchtlinge","petenten","humanitären","berichten","festzustellen","seien","handwerksordnung","stützen","duve","tiefseebergbau","deutsche","ortstermin","seerechtsübereinkommen","massenpetitionen","schichtarbeiter","petitionsrecht","kirchholz","bürger","gedenkstätte","votum","beschwerden","prüfungsrecht","ag","nuklearerklärung","spitzensport","behörde","film","fernsehanstalten","film","bonn","plan","glotz","dehnel","bürgerinnen","beschwerden","bürgerbeauftragten","bürgerinnen","nu","röttgen","nickels","patent","genetische","kind","gentechnik","import","verbot","petitionsausschusses","menschenwürde","biotechnologie","biopatentrichtlinie","patienten","letzten","schon","parlament","bürgerschaftliches","ehrenamtliche","embryo","parr","vereinen","umgebung","ausschussdienstes","antrag","schuster","eishockeyweltmeisterschaft","ehrenamtlichen","spiele","olympische","ausschuss","petition","antidopinggesetz","dosb","kinderlärm","dlrg","behauptet","fifa","ausschuss","petenten","gemeinnützigen","mitzeichnungen","attac","athletinnen"
"16","bundesministeriums","kapitel","dienst","ministerien","aufgaben","forschung","bundesrechnungshof","zivilen","auskunft","haushaltsausschusses","regierungsvorlage","haushaltsplans","einzelplans","schäfer","vielleicht","haushaltsausschuss","pro","angabe","wettbewerb","anzahlung","salmonellen","selbstschutzgesetz","wirtschaft","wellmann","archiv","kollege","langer","ministerien","hessen","gehandelt","förderungsgebiete","sitzen","frei","natur","sparer","rosa","erläuterungen","verschiedenen","verfrüht","kollege","kreditgenossenschaften","unterscheidet","heidelberg","zulagen","vergewissert","pflege","rhöndorf","meer","goetheinstituts","vertreibung","kolleginnen","künstlersozialversicherungsgesetz","drängen","geschwindigkeitsbegrenzungen","walfang","schiffbau","werften","unternehmen","nordsee","amr","nichtzeichnung","muttermilch","schiffen","filmwirtschaft","beschwerden","petitionen","erledigt","baskischen","rechnungsprüfungsausschuss","petitionen","arbeit","sportstätten","planstellen","eingaben","bou","juni","mi","dslbank","berliner","sport","sammelübersicht","mitarbeiterinnen","passivrauchen","petitionsausschusses","wat","dat","ausschussdienstes","dopingbekämpfung","embryonen","petitionsausschuss","menschenwürde","mensch","menschlicher","petitionsrecht","embryo","forschung","patente","präimplantationsdiagnostik","herzlich","verfügung","beirat","vereine","engagement","stammzellgesetz","vereine","eingaben","breitensports","olympischen","bürgergesellschaft","bundesverwaltung","konsum","übungsleiterpauschale","substanzen","dienstes","anliegen","prinzipien","liquids","petent","sportler","legalisierung","athletinnen","games","freifunk","petitionsausschusses","petitionsausschuss","konsumenten","bürgerstunde","rennwett"
"17","haushaltsausschusses","aufgaben","innern","kapitel","vereinfachung","haushaltsplan","haushaltsausschusses","personal","organisation","kontrolle","dm","beamten","heye","informationsamt","organisation","atomkernenergie","baulichen","schmittvockenhausen","illerhaus","schädlingsbekämpfungsmittel","vertreter","selbstschutzes","erhöhter","gerstenmaier","heraus","bitte","meldung","bitte","kleinen","aussergewöhnlich","empfangen","motor","interessen","angelegt","gesetzlicher","sonderfällen","frau","belehrt","betroffenen","vorwiegend","instanzen","ankündigungen","einladung","schreckensgemälde","volksdemokratischen","schriftsteller","fotografen","kreditgenossenschaften","eingaben","teilnahme","untersuchungen","künstlern","geäussert","freiheitskämpfer","fraktionen","ausflaggung","schiffahrt","auswirkungen","anliegen","bucht","tiefseebergbau","tiefseebergbau","anliegen","amöneburg","vielen","film","gutachten","erledigt","arbeit","preussag","bemerkungen","vereine","gedenkstätten","arbeit","welle","landesmedienanstalten","zwischenbericht","berlin","rundfunks","bundesstadt","asbestose","berliner","nichtraucherschutz","eingaben","ok","bundesregierung","petentinnen","sportausschuss","ethische","mensch","ethisch","indikation","embryonenschutzgesetz","biopatentrichtlinie","films","evaluierung","adulten","tod","wenden","menschen","bürger","dopingbekämpfung","sports","stichtages","konvention","heimkinder","anwohner","öffentlichen","baunvo","prävention","vergabe","sportförderung","ioc","spitzensport","sportförderung","sportlerinnen","integrität","sportler","athletinnen","dosb","abgabe","werbung","vereine","vereine","petitionsausschusses","anliegen","ausschuss","drogen"
