"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","vertrag","art","staaten","bundesrepublik","soldaten","wehrpflicht","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","verteidigung","bundeswehr","bundeswehr","bundeswehr","anerkannte","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","zivildienst","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr"
"2","schumanplan","verträge","vertrag","verträge","streitkräfte","soldaten","soldaten","soldaten","waffen","verteidigung","soldaten","strauss","verteidigung","verteidigung","strauss","verteidigung","strauss","verteidigung","bundeswehr","wehrbeauftragten","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","soldaten","soldaten","bundeswehr","weissbuch","bundeswehr","soldaten","verteidigung","soldaten","truppe","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","wörner","soldaten","leber","soldaten","leber","verteidigung","verteidigung","verteidigung","soldaten","wörner","soldaten","würzbach","soldaten","bundeswehr","streitkräfte","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten"
"3","art","bundesrepublik","bundesrepublik","art","wehrmacht","streitkräfte","wehrpflicht","waffen","verteidigung","waffen","truppe","verteidigung","zivilen","strauss","verteidigung","soldaten","soldaten","soldaten","hassel","soldaten","hassel","hassel","hassel","hassel","soldaten","schultz","soldaten","verteidigung","verteidigung","soldaten","soldaten","berkhan","verteidigung","berkhan","verteidigung","zivildienst","berkhan","soldaten","soldaten","soldaten","soldaten","soldaten","leber","wörner","verteidigung","verteidigung","soldaten","soldaten","soldaten","bremen","apel","verteidigung","soldaten","verteidigung","wehrbeauftragten","apel","verteidigung","wehrbeauftragten","kiessling","wörner","verteidigung","dienst","verteidigung","dienst","zeitsoldaten","verteidigung","ramstein","verteidigung","verteidigung","verteidigung","soldaten","verteidigung","streitkräfte","verteidigung","verteidigung","somalia","wehrpflicht","einsätze","verteidigung","einsatz","mörder","wehrpflicht","einsatz","rühe","rühe","verteidigung","scharping","scharping","scharping","verteidigung","verteidigung","scharping","einsatz","soldatinnen","wehrpflicht","wehrpflicht","soldatinnen","wehrbeauftragten","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","einsatz","soldatinnen","wehrpflicht","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","afghanistan","somalia","afghanistan","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","afghanistan","soldatinnen"
"4","bundesrepublik","montanunion","abkommen","streitkräfte","militärischen","militärischen","truppe","wehrpflichtigen","strauss","soldaten","verteidigung","soldaten","militärischen","schmidt","soldaten","erler","bundeswehr","erler","soldaten","verteidigung","soldaten","soldaten","gumbel","soldaten","schultz","soldaten","schultz","schultz","führung","berkhan","verteidigung","soldaten","truppe","soldaten","berkhan","bundeswehr","wörner","berkhan","berkhan","wehrstruktur","wehrbeauftragten","verteidigung","wörner","soldaten","nato","neutronenwaffe","führung","führung","nato","verteidigung","soldaten","wörner","verteidigung","apel","apel","verteidigung","wörner","wehrpflichtigen","general","verteidigung","wörner","wörner","wörner","verteidigung","fliegen","wörner","verteidigung","tiefflug","tiefflug","streitkräfte","wehrdienst","streitkräfte","verteidigung","stoltenberg","streitkräfte","einsatz","somalia","urteil","rühe","frieden","ehrenschutz","streitkräfte","verteidigung","eurofighter","untersuchungsausschuss","verteidigungsminister","verteidigungsminister","wehrpflicht","wehrpflicht","scharping","scharping","verteidigung","verteidigung","einsatz","soldatinnen","soldatinnen","wehrpflicht","führung","struck","einsatz","weissbuch","einsatz","wehrpflicht","einsatz","einsatz","soldatinnen","einsatz","soldatinnen","einsatz","einsatz","einsatz","einsatz","minister","einsatz","einsatz","somalia","soldatinnen","soldatinnen","soldatinnen","einsatz","einsatz","einsatz","einsatz","einsatz","einsatz","afghanistan","soldatinnen","mali"
"5","europäischen","europäischen","konvention","abkommen","freiwilligengesetz","eid","verteidigung","verteidigung","verteidigungsminister","merten","militärischen","bundesverteidigungsminister","strauss","waffen","verteidigungsausschuss","strauss","verteidigungsministerium","hassel","truppe","truppe","wienand","gumbel","soldaten","gumbel","verteidigungsausschuss","streitkräfte","adorno","verteidigungsausschuss","wehrbeauftragten","wehrbeauftragten","verteidigungsminister","klepsch","militärischen","uniform","wehrpflichtigen","verteidigung","soldaten","wörner","nato","berkhan","sanitätsoffiziere","leber","verteidigung","verteidigung","wörner","soldaten","wehrbeauftragten","wörner","möllemann","wörner","verteidigung","apel","wehrpflichtigen","wehrbeauftragten","verteidigung","wörner","dienst","würzbach","wörner","würzbach","offiziere","verteidigung","verlängerung","dienstes","würzbach","wehrbeauftragten","wehrbeauftragten","dienst","streitkräfte","wehrbeauftragten","monate","stoltenberg","stoltenberg","militärische","rühe","einsätze","einsatz","einsatz","volker","verteidigung","verteidigung","verteidigung","rose","gelöbnis","gelöbnis","scharping","streitkräfte","wehrbeauftragten","munition","wehrpflicht","verteidigungsminister","verteidigungsminister","verteidigungsminister","wehrbeauftragten","einsatz","einsatz","verteidigung","meads","einsatz","einsätze","einsatz","afghanistan","einsatz","führung","piraterie","piraterie","afghanistan","einsatz","afghanistan","afghanistan","piraterie","drohnen","einsatz","nato","afghanistan","afghanistan","einsatz","einsatz","einsatz","somalia","mali","afghanistan","mali","ministerin","mandat","einsatz","mali","mandat"
"6","behörde","behörde","vertrages","verträgen","soldat","bundeswehr","militärischen","verteidigungsminister","bundesverteidigungsminister","strauss","strauss","militärischen","merten","nato","disziplinarstrafen","nato","wehrsold","allianz","militärische","wehrbeauftragte","truppe","truppe","wienand","wienand","wehrbeauftragten","nato","berkhan","wehrpflichtigen","verteidigungsausschuss","führung","zimmermann","offiziere","nato","verteidigungsminister","wehrbeauftragten","humor","damm","horn","weissbuch","verfügungsbereitschaft","truppe","nato","wehrbeauftragten","verteidigungsminister","militärischen","verteidigungsminister","militärischen","militärischen","verteidigungsausschuss","weissbuch","tornado","wehrbeauftragten","wörner","verteidigungsminister","tornado","dienst","verteidigungsminister","verteidigung","würzbach","kiessling","würzbach","streitkräfte","wehrpflichtigen","wehrpflichtigen","alliierten","mittelmeer","scholz","wimmer","militärischen","dienst","zivildienstleistenden","zivilen","zivilen","streitkräfte","heide","verteidigung","verteidigung","adria","tiefflüge","militärischen","gelöbnis","rühe","albanien","flugzeug","streitkräfte","streitkräfte","verteidigung","verteidigung","verteidigung","standorte","einsatz","streitkräfte","soldatinnen","verteidigung","verteidigung","verteidigung","einsatz","einsatz","verteidigungsminister","wehrbeauftragten","afghanistan","wehrbeauftragten","afghanistan","afghanistan","afghanistan","afghanistan","wehrpflicht","operation","wehrpflicht","verteidigung","piraten","afghanistan","drohnen","afghanistan","leyen","einsatz","mandat","mission","mandat","mission","mandat","nato","afghanistan","dienst","mission","mali","einsatz","einsatz"
"7","verträge","staaten","art","staaten","zivilen","wehrmacht","wehrübungen","iller","soldaten","nato","bundesverteidigungsminister","jahrgänge","nato","bundesverteidigungsminister","bundesverteidigungsminister","schmückle","jungen","waffen","militärischen","hassel","verteidigungsausschuss","information","piloten","truppe","truppe","wehrpflichtigen","verteidigungsausschuss","truppe","militärischen","wehrpflichtigen","damm","pawelczyk","berkhan","schmidt","streitkräfte","vernichtung","wehrpflichtigen","streitkräfte","bündnis","wörner","nato","schmidt","truppe","generale","warschauer","waffe","wörner","apel","bülow","kampfgruppen","würzbach","verteidigungsminister","militärische","wehrpflichtigen","minister","industriepolitischen","würzbach","wehrbeauftragte","verteidigung","general","wehrbeauftragten","wehrbeauftragten","streitkräfte","verteidigungsminister","verteidigung","heistermann","verteidigungsminister","tiefflüge","alliierten","stoltenberg","streitkräfte","reduzierung","reduzierung","adria","militärische","rühe","streitkräfte","bundesverfassungsgericht","einsatz","jugoslawien","armee","einsatz","militärischen","streitkräfte","einsatz","einsatz","breuer","streitkräfte","streitkräfte","verteidigungsminister","wehrbeauftragten","soldatinnen","einsätze","bericht","mad","einsätze","einsätze","wittstock","kfor","streitkräfte","einsätze","amtshilfe","auslandseinsätze","dienst","dienst","piraten","guttenberg","streitkräfte","minister","streitkräfte","atalanta","streitkräfte","hawk","somalia","ministerin","atalanta","streitkräfte","atalanta","ramstein","afghanistan","afghanistan","mandat","mission","nato","mali","nato","taliban","afghanistan"
"8","abkommen","vertrag","verträge","vertrag","verteidigungsminister","waffen","wehrpflichtigen","atomwaffen","nato","bundesverteidigungsminister","landesverteidigung","nato","bundesverteidigungsminister","zivilen","wehrsold","verteidigungsausschuss","soldat","verteidigungsausschuss","strauss","verteidigungsausschuss","wehrbeauftragten","mitteilungen","luftwaffe","militärischen","militärischen","verteidigungsausschuss","wehrpflichtigen","streitkräfte","schultz","schultz","berkhan","verteidigungsminister","verteidigungsminister","auftrag","disziplin","zivilen","militärischen","wehrbeauftragten","wörner","wehrbeauftragten","führung","verteidigungsminister","weissbuch","nato","wehrpflichtigen","nato","wehrbeauftragte","kampfgruppen","apel","wehrbeauftragten","verteidigungsminister","würzbach","the","streitkräfte","streitkräfte","soldaten","dienstag","dienst","verteidigungsminister","mad","streitkräfte","verfassungsschutz","wehrpflicht","wörner","tiefflug","verteidigungsminister","piloten","militärischen","stoltenberg","ramstein","zivildienstes","verteidigungsausschuss","heistermann","militärischen","militärischen","streitkräfte","rühe","rühe","streitkräfte","rühe","wehrbeauftragte","militärischen","rühe","kolbow","wehrpflicht","breuer","wehrpflicht","wehrbeauftragte","nolting","schulte","einsätze","wehrbeauftragten","struck","streitkräfte","einsätze","streitkräfte","verteidigungsminister","soldatinnen","verteidigung","jung","auslandseinsätze","tornados","einsätze","wehrpflicht","führung","mandat","kunduz","guttenberg","guttenberg","zivilen","mandat","mandat","maizière","mandat","fähigkeiten","mandat","mittelmeer","operation","operation","operation","mission","sicherheit","mandat","unsere","afghanistan","wehrpflicht","reservisten","mission"
"9","staaten","evg","internationalen","truppen","staaten","verteidigung","berufssoldaten","ausrüstung","schmidt","verteidigungsausschuss","verteidigungsminister","abiturienten","landesverteidigung","soldaten","merten","militärischen","verteidigungsausschuss","nato","hopf","unteroffiziere","gumbel","bundesministerium","verteidigungsausschuss","verteidigungsausschuss","berkhan","adorno","wehrpflichtige","wehrdienst","adorno","hoogen","klepsch","zimmermann","führung","vermissten","truppe","mannheim","wehrstruktur","truppe","militärischen","bündnis","kriegsdienstverweigerer","fingerhut","militärischen","wehrpflicht","verteidigungsausschuss","waffen","generalinspekteur","wehrbeauftragten","militärischen","führung","nato","streitkräfte","kriegsdienstverweigerer","wörner","bericht","verteidigungsminister","beschaffung","heistermann","mad","wehrbeauftragten","dienst","wehrpflichtigen","wehrbeauftragten","würzbach","arbeitslosenbeihilfe","dienst","verteidigungsausschuss","verteidigungsausschuss","militärische","verteidigungsminister","dienst","standorte","personalstärkegesetz","verteidigungsminister","verteidigungsminister","bundesverfassungsgericht","wehrpflichtigen","militärischen","bundesminister","wehrpflicht","wehrpflicht","armee","militärische","verteidigung","wehrpflichtigen","rühe","beer","marienfeld","breuer","brigitte","militärischen","liegenschaftsmanagement","streitkräfte","eingaben","streitkräfte","auslandseinsätze","streitkräfte","ausbildung","zivilen","schäfer","sicherheitspolitik","einsätze","jung","innere","piraten","atalanta","mandat","atalanta","verteidigungsminister","mad","afghanistan","maizière","neuausrichtung","einsätze","drohnen","mission","nato","nato","somalia","atalanta","sea","leyen","nato","truppe","operation","mandat","mission","sondervermögen"
"10","kohle","kohle","deutschland","souveränität","bundesrepublik","armee","waffen","wehrpflicht","ausrüstung","atomaren","schmidt","erfassung","soldaten","kliesing","zivilen","monate","bundesverteidigungsminister","bundesverteidigungsminister","schallmauer","nagold","führung","uniform","starfighter","minister","petersen","militärischen","luftwaffe","berkhan","truppe","verteidigungsminister","weissbuches","wehrpflichtigen","streitkräfte","militärische","verteidigungsminister","kriegsdienstverweigerer","verteidigungsausschuss","wehrstruktur","leber","streitkräfte","bündnisses","wehrbeauftragten","verteidigungsausschuss","zivildienst","leber","sicherheit","militärische","general","bastian","apel","sicherheitspolitik","wehrpflichtigen","wehrpflichtige","dienst","wehrbeauftragte","wehrdienst","wehrpflichtigen","truppe","minister","verteidigungsminister","verteidigungsminister","tiedge","wehrgerechtigkeit","zeitsoldaten","saz","wehrpflichtigen","streitkräfte","francke","reservisten","militärischen","verteidigung","liegenschaften","kolbow","einsatz","volker","entscheidung","belet","juli","voigt","streitkräfte","wehrpflichtigen","verteidigungsminister","albanischen","verteidigungsminister","verteidigung","schulte","rühe","bericht","verteidigungsminister","bayreuth","streitkräfte","gebb","wehrpflicht","ehrbeauftragten","minister","auslandseinsätzen","struck","innere","streitkräfte","verteidigung","kongo","ehrenmal","minister","inneren","minister","wittstock","einsätze","minister","dienst","operation","somalia","einsätze","kampfdrohnen","operation","dienst","operation","einsätze","marine","leyen","streitkräfte","guardian","ausrüstung","operation","afghanistan","mittelmeer","truppe","mandat","unsere"
"11","deutschland","gemeinschaft","londoner","nato","waffen","bundesrepublik","verteidigungsminister","militärischen","atomwaffen","armee","waffen","zivilen","bechert","militärischen","personalakten","bundesverteidigungsminister","baumholder","verteidigungsminister","luftwaffe","verteidigungsminister","militärischen","pressefunk","schultz","schmidt","luftwaffe","truppe","streitkräfte","laufbahn","inneren","truppe","dienstag","haase","armee","bündnisses","führung","punkten","bündnis","nato","kriegsdienstverweigerer","nato","wörner","truppe","verteidigungspolitik","bündnis","wehrbeauftragten","streitkräfte","laabs","gesamtverteidigung","verteidigungsausgaben","bremer","tradition","luftwaffe","informationen","truppe","untersuchungsausschuss","verteidigungsausschuss","streitkräfte","streitkräfte","homosexualität","wehrpflichtigen","verteidigungsausschuss","dienstes","wehrdienst","zivilen","übergangsgebührnisse","golf","wehrbeauftragte","luftwaffe","wehrpflichtigen","gerster","wehrpflicht","zivildienstleistenden","zivile","kambodscha","colbitzletzlinger","militärische","militärische","voigt","tiefflug","armee","wehrbeauftragten","wehrbeauftragten","normalität","armee","führung","beer","sicherheitspolitik","truppe","dienst","standort","schulte","einsatz","militärischen","verteidigungsminister","struck","sicherheit","standorte","coesfeld","führung","bericht","sicherheit","wehrbeauftragte","dienst","streitkräfte","jung","operation","ausbildung","mandat","streitkräfte","atalanta","streitkräfte","verteidigung","de","streitkräfte","streitkräfte","dienst","operation","mandat","nato","franco","mittelmeer","mittelmeer","guardian","sicherheit","guardian","drohnen","sicherheit","sicherheit"
"12","schumanplans","internationalen","vereinigten","übereinkommen","freiwilligengesetzes","erler","schmidt","truppe","militärischen","atomwaffen","merten","einheiten","verteidigungsministerium","verteidigungsminister","militärischen","wehrpflichtigen","wehrpflichtigen","soldat","wehrpflichtigen","führung","luftwaffe","soldat","waffensystem","luftwaffe","wehrbeauftragte","berkhan","haase","offiziere","wehrbeauftragte","wehrdienst","verteidigungsausschuss","wehrpflichtige","zimmermann","streitkräfte","militärischen","september","streitkräfte","militärischen","streitkräfte","wehrbeauftragte","schmidt","militärische","nato","streitkräfte","streitkräfte","wehrdienst","nato","nato","beförderung","verteidigungsminister","hardthöhe","verteidigungsausschuss","waffen","würzbach","namma","militärischen","traupe","jahresbericht","wehrbeauftragten","dienst","wehrpflichtigen","minister","monate","soldat","luftwaffe","würzbach","luftwaffe","heistermann","verteidigungsminister","bundeswehrplanung","stoltenberg","verteidigungsminister","verteidigungsausschuss","streitkräften","kolbow","verheugen","verteidigungsminister","sondersitzung","nato","entscheidung","militärischen","militärische","streitkräfte","wehrpflicht","armee","einsätze","verteidigungshaushalt","armee","minister","streitkräfte","gebb","kolbow","ausrüstung","struck","wehrbeauftragten","reservisten","transformation","verteidigung","afghanistan","inneren","verteidigung","bericht","streitkräfte","zivilen","mandat","jugendoffiziere","wehrbeauftragten","piraterie","wehrbeauftragten","somalia","zivilen","zivile","einsätze","active","nato","streitkräfte","leyen","piraterie","afghanischen","med","nato","ministerin","sea","drohnen","sea","sea","minusma","nato"
"13","hohe","deutschland","vereinbarungen","beziehungen","gemeinschaft","militärische","freiwilligen","befehl","bewaffnung","militärischen","militärische","lebensjahr","verteidigungsminister","atomaren","werber","wehrpflicht","militärischen","militärischen","soldatenheime","einheiten","kliesing","kasernen","flugzeuge","berkhan","adorno","marx","jung","führung","wehrpflichtigen","wehrpflichtige","wehrgerechtigkeit","schmidt","wienand","hilfeleistung","wehrgerechtigkeit","land","entspannung","verfügungsbereitschaft","militärische","leber","streitkräfte","militärischen","verteidigungsminister","verteidigungspolitik","bündnis","militärischen","streitkräfte","innere","soldatengesetzes","nato","minister","hardthöhe","information","streitkräften","verteidigungsminister","verteidigungsministerium","minister","führung","verteidigungsausschuss","untersuchungsausschuss","berkhan","armee","militärischen","dienstzeitbelastung","piloten","verteidigungsausschuss","tiefflüge","streitkräfte","verteidigungsausschuss","zivilen","grundwehrdienstes","müller","wehrpflicht","reduzierung","wehrpflichtigen","militärischen","wittstock","entscheidung","abzug","nato","frieden","wehrbeauftragte","armee","beschaffung","trittin","militärischen","dienst","verteidigungsminister","armee","munition","nolting","führung","nachtwei","auslandseinsätze","truppe","verteidigungsminister","nato","inneren","rund","einsätzen","jung","polizei","ausbildung","verteidigung","einsätze","militärische","truppe","dienst","mandat","minister","maizière","dienst","afghanistan","mittelmeer","einsätze","nato","afghanischen","sophia","sea","eunavfor","streitkräfte","streitkräfte","dienst","mandat","dienst","mittelmeer","ortskräfte","libyen"
"14","montanunion","gemeinsamen","europäischen","auswärtigen","manöver","soldat","dienstzeit","bewaffnung","erler","landesverteidigung","verteidigungsausschuss","wehrpflichtigen","bevölkerungsschutz","atomwaffen","nato","truppe","kasernen","ausbildung","stadt","bundesverteidigungsminister","waffen","führung","nato","general","streitkräfte","munition","unteroffiziere","wehrbeauftragten","berkhan","dienst","schmidt","verteidigungsausschuss","sicherheit","manöver","militärische","öffentlichkeit","militärische","verteidigungsminister","sicherheit","mbfr","sanitätsoffizieren","verteidigungspolitik","verteidigungsausgaben","kriegsdienstverweigerer","führung","sicherheitspolitik","verteidigungsausschuss","sicherheitspolitik","sicherheitspolitik","wehrpflichtigen","gelöbnisse","wehrbeauftragte","militärs","verteidigungsausschuss","truppe","bewaffnung","apel","einberufung","dienst","verteidigungsausschuss","jungmann","verteidigungsminister","zivildienst","streitkräfte","arbeitslosigkeit","walther","nörvenich","scholz","dienst","militärische","wehrpflichtigen","militärische","nolting","schiffe","wehrbeauftragten","hauptsache","zivildienstleistenden","militärische","general","mörder","streitkräfte","führung","tirana","beer","vorfälle","verteidigungsausschuss","waffe","dienst","verteidigungsausschuss","liegenschaften","siemann","militärischen","minister","führung","auslandseinsätzen","landesverteidigung","auslandseinsätze","streitkräfte","nolting","transformation","minister","verteidigung","verteidigung","wehrbeauftragten","verteidigung","somalia","atalanta","somalia","verteidigung","maizière","see","bewaffnete","somalia","dienst","sicherheit","ausrüstung","mission","eutm","guardian","ministerin","sicherheit","verteidigung","mittelmeer","einsatzbereitschaft","sicherheit","guardian","streitkräfte","streitkräfte"
