"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","einkommen","dm","dm","dm","einkommen","splitting","kaffee","schuldscheindarlehen","umsatzsteuer","reichsbank","umsatzsteuer","kaffee","mittelstand","mehrwertsteuer","verbraucher","mehrwertsteuer","arbeitnehmer","arbeitnehmer","arbeitnehmer","finanzen","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","fremdenverkehr","finanzen","finanzen","finanzen","reischl","liter","steuerreform","steuerreform","offergeld","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","verlustrücktrag","körperschaftsteuerreform","mehrwertsteuer","erhöhung","steuerlichen","lohnsummensteuer","dm","dm","dm","sparkassen","dm","kilometerpauschale","erhöhung","erhöhung","einkommen","posser","steuerpolitik","untersuchungsausschuß","kultur","urheber","sprache","flick","kultur","plenarsaal","untersuchungsausschuß","vereine","sport","kultur","untersuchungsausschuß","kultur","sport","bnd","schiff","sport","sport","kultur","sport","sport","rundfunk","kulturpolitik","rundfunk","tod","kulturpolitik","enquetekommission","naumann","vereine","stiftungen","film","kulturpolitik","kulturpolitik","welle","kultur","kultur","film","de","welle","kultur","petitionsausschuss","kultur","kultur","sport","kultur","sport","dat","sport","kultur","kultur","welle","internet","tourismus","kultur","netzneutralität","digitale","digitalen","sport","kultur","barrierefreiheit","sport","petitionen","kultur","kultur","kultur","kultur","thw","kultur","petitionen","kultur"
"2","lastenausgleich","einkommen","einkommen","einkommen","dm","umsatzsteuer","einkommen","umsatzsteuer","seuffert","einkommen","dm","steuer","reichsbank","umsatzsteuer","seuffert","kaffeesteuer","harmonisierung","umsatzsteuer","werbung","umsatzsteuer","einkommen","vermögensbildung","dahlgrün","arbeitnehmer","steuer","ergänzungsabgabe","steuer","besteuerung","verbraucher","reischl","reischl","finanzen","steuerreform","häfele","doppelbesteuerungsabkommen","dpameldung","grundsteuer","vermögensteuer","dm","kindergeld","steuern","abgabenordnung","körperschaftsteuer","finanzausschuß","tarifreform","steuerliche","abschaffung","steuern","schäuble","steuern","mineralölsteuer","mineralölsteuer","böhme","steuerlichen","steuerliche","erhöhung","grunderwerbsteuer","gobrecht","architekten","spenden","eigentums","spenden","spenden","kunst","sport","sport","gutachten","vereine","kunst","stiftung","untersuchungsausschuß","rüstungsexporte","stavenhagen","film","untersuchungsausschuß","doping","kunst","kulturpolitik","ard","kulturpolitik","tod","öffentlichrechtlichen","menschen","kultur","film","kultur","stiftungen","sport","zentren","kultur","vereine","enquetekommission","weiss","welle","leipzig","dat","kultur","sport","gmbh","bibliothek","baukultur","kultur","sport","petitionen","de","kultur","enquetekommission","sport","künstler","kultur","sport","sport","kultur","kultur","kultur","itsicherheit","sport","kulturgut","kultur","petitionsausschuss","welle","welle","uploadfilter","tourismus","gutschein","medien","kirchen","sport"
"3","einkommen","körperschaftsteuer","steuerreform","zündwarensteuer","steuern","senkung","umsatzsteuer","verbrauchsteuern","steuern","dm","einkommen","besteuerung","steuer","steuern","vermögensteuer","ehegatten","dm","butter","einkommen","steuer","vermögensbildung","einkommen","umsatzsteuer","steuer","wein","entlastung","umsatzsteuer","fremdenverkehrs","unternehmen","steuerreform","finanzausschuß","steuerreform","benzin","unternehmen","steuerberater","beteiligungen","einheitswerte","finanzausschuß","einkommen","offergeld","kindergeld","finanzausschuß","abgabenordnung","mehrwertsteuererhöhung","dm","dm","gewerbekapitalsteuer","bagatellsteuern","besteuerung","arbeitnehmer","steuern","steuerlichen","steuern","anhebung","kreile","steuern","steuerliche","posser","flick","parteien","spenden","ausland","parteien","künstler","plenarsaals","akten","sport","libyen","sport","gansel","museum","öffentlichrechtlichen","irak","firma","film","walfang","reichstag","welle","stoiber","kultur","organentnahme","sport","hirntod","welle","handlungsempfehlungen","medien","naumann","enquetekommission","kultur","internet","sprache","engagement","medien","sprache","weiss","kultur","rechtschreibung","kulturpolitik","petitionsrecht","nationalbibliothek","petitionsausschuss","doping","enquetekommission","olympischen","sport","staatsziel","sport","frequenzen","internet","barrierefreiheit","olympischen","menschen","internet","digitalen","digitale","welle","digitalisierung","petition","behinderungen","digitalen","demokratie","sport","digitalen","stiftung","reisebüros","petitionen","petitionsausschuss","welle"
"4","steuern","steuerreform","steuern","steuer","umsatzsteuer","notopfer","steuern","freibetrag","splitting","körperschaftsteuer","krammig","seuffert","seuffert","seuffert","finanzausschuß","senkung","einkommen","besteuerung","vermögensteuer","system","anstalten","eigentum","einkommen","steuern","steuersatz","altvorräte","steuern","steuern","steuerliche","aufwendungen","konjunkturzuschlag","besteuerung","besteuerung","steuersatz","besteuerung","erbschaftsteuer","vermögensteuer","einheitswerte","finanzausschuß","finanzausschuß","einkommen","dm","steuerreform","kreile","weihnachtsfreibetrages","vermögensbildung","erhöhung","kindergeld","einkommen","steuerpaket","besteuerung","subventionsabbau","erhöhung","steuern","neubewertung","huonker","steuern","kreile","steuerlichen","kunst","parteien","kultur","kulturpolitik","sprache","sitzordnung","künstler","sportvereine","schäuble","künstler","salzgitter","gansel","illegalen","kultur","filme","sports","wache","rüstungsexporte","kultur","rundfunkanstalten","informationsgesellschaft","menschen","zivilschutz","mensch","kulturellen","scientology","beauftragter","welle","dass","ehrenamt","rauchen","film","sport","kulturpolitik","sport","kultur","welle","deutsche","breitenkultur","petition","bücher","sport","sportler","kulturpolitik","spiele","kultur","petitionen","internet","petitionsausschuss","kultur","tourismus","jugendtourismus","behinderung","sport","behinderung","internet","doping","digitalen","film","behinderung","künstler","enquetekommission","buchpreisbindung","petitionsausschuss","rundfunk","kultur","petition","branche","antidiskriminierungsstelle"
"5","bundesfinanzminister","steuern","hartmann","steuern","senkung","gewerbesteuer","mark","ehegatten","besteuerung","steuerpflichtigen","einkommensteuer","finanzausschusses","anteilseigner","anteilseigner","reichsbank","seuffert","umsatzsteuer","steuer","dm","seuffert","dm","finanzausschuß","steuern","dpf","besteuerung","umsatzsteuer","funcke","mehrwertsteuer","steuer","besteuerung","arbeitnehmer","zonenrandgebiet","heizölsteuer","einkommensteuer","prüfung","steuerlichen","erbschaftsteuer","einkommen","reform","steuer","dm","huber","besteuerung","erhöhung","einkommen","erhöhung","zonenrandgebiet","abschaffung","steuerliche","besteuerung","matthäusmaier","kilometerpauschale","mineralölsteuer","dm","steuerlichen","mehrwertsteuer","zwangsanleihe","vermögensteuer","akten","amnestie","flick","sport","goetheinstitut","kulturpolitik","sports","ofd","künstler","jordanien","vereine","hdw","südafrika","exporte","illegalen","illegalen","hörfunk","iwc","christo","kunst","zdf","vielfalt","organspende","medienbericht","leben","rechtschreibung","psychogruppen","kulturpolitik","kultur","engagement","kulturellen","geoinformationen","kultur","kirch","staatsministerin","enquetekommission","baukultur","un","rechtschreibreform","auswärtige","petitionen","künstler","petitionen","künstler","kulturelle","petitionsausschuss","un","petitionsausschuss","kulturpolitik","petitionen","kinos","digitalisierung","internet","leistungsschutzrecht","künstler","behinderungen","breitbandausbau","petitionen","doping","petitionsausschuss","film","künstlerinnen","behinderungen","petitionsausschuss","urheberrecht","medien","veranstalter","plattformen","kultur","kunst"
"6","steuer","umsatzsteuer","besteuerung","belastung","körperschaftsteuer","notopfers","gemeinden","antrag","dm","einkommensteuer","sparen","arbeitnehmern","dm","gewerbesteuer","dm","steuer","gewerbesteuer","dahlgrün","fernsehen","steuersatz","eigentumsbildung","mehrarbeit","finanzen","bundesministeriums","entlastung","steuer","besteuerung","finanzen","funcke","mehrwertsteuer","steuer","umsatzsteuer","steuerliche","hermsdorf","steuerlichen","umfall","finanzausschuß","dm","einkommensteuer","dm","offergeld","steuerreform","finanzausschuß","steuerpaket","grundfreibetrages","zonenrandgebiet","dm","steuerlichen","finanzausschuß","finanzausschuß","böhme","anhebung","steuerlichen","steuer","lohnsteuer","zwangsanleihe","einkommen","steuerlichen","steuergeheimnis","kulturpolitik","steuerpolitik","flick","brauchitsch","deutschen","sportbericht","künstlersozialversicherung","gemeinnützigkeit","bundesregierung","libyen","untersuchungsausschusses","sport","sports","museum","waffen","sportstätten","gedenkstätte","kulturellen","kulturellen","rundfunk","sport","organe","wilhelm","klonen","sekten","religiöse","stiftungen","stiftung","medien","soziokultur","raucher","stiftung","nidarümelin","kunst","deutsche","spiele","ok","ehrenamtlich","sports","außengastronomie","deutsche","welle","künstlersozialversicherung","musik","computerspiele","medien","sports","kulturelle","kunst","digitalisierung","enquetekommission","musik","nada","tourismus","menschen","digitalisierung","sports","kulturelle","behinderungen","kulturelle","tourismus","digitalen","esport","petitionen","öffentlichrechtlichen","gutscheine","minderheiten","sport","medien"
"7","vermögen","steuer","umsatzsteuer","steuerreform","bundesfinanzminister","einkommen","steuerliche","bücher","tarif","besteuerung","prämie","neuburger","kaffee","dresbach","ausfall","teesteuer","sparen","ware","verbrauchers","unternehmen","unternehmen","vermögenswirksame","arbeitgeber","grund","finanzausschuß","finanzen","finanzen","steuer","finanzausschuß","einkommensteuer","steuerlichen","lohnsteuer","bleigehalt","besteuerung","schweiz","hinterbliebenenrenten","häfele","steuern","tarif","einkommen","häfele","besteuerung","künstler","entlastungen","böhme","investitionszulage","gewerbesteuer","schäuble","steuerlichen","schäuble","erhöhung","grunderwerbsteuer","umlegung","böhme","beschäftigungsförderungsgesetzes","steuerliche","besteuerung","besteuerung","firma","künstler","begünstigung","kulturpolitik","untersuchungsausschuß","kulturarbeit","neubau","oberfinanzdirektion","gutachtens","kreditanstalt","museum","kultur","kiel","untersuchungsausschuß","untersuchungsausschuß","godewind","sportanlagen","kollwitz","verhüllung","deutsche","sports","öffentlichrechtlichen","hirntod","hansotto","organe","rauchen","konflikte","angelegenheiten","stiftungsrecht","rundfunk","engagement","außengastronomie","auslandsschulen","engagements","digitalen","kulturstiftung","olympischen","kulturpolitik","sprache","organspende","kultur","kunst","stiftung","kulturwirtschaft","kulturwirtschaft","kultur","ok","medien","kulturtourismus","enquetekommission","werke","barrierefreien","jugendreisen","engagement","enquetekommission","internet","agenda","digitalen","internet","kultur","digitalen","kunst","digitalisierung","petitionen","tourismusstrategie","engagement","reisebranche","petitionsausschuss","vereine","leitung"
"8","millionen","bundesfinanzminister","tarif","pfennig","mittleren","einkommensteuer","lindrath","miessner","steuer","bundesfinanzminister","umsatzsteuer","rücklagen","einkommen","steuer","beyer","finanzreform","steuer","steuersatz","beyer","luda","besteuerung","eppler","steuer","zinsen","mehrwertsteuer","funcke","leicht","ausland","buchführung","dm","steuerreform","einkommensteuer","gramm","steuer","steuerliche","beibehaltung","freibeträge","häfele","kindergeld","steuern","steuerlichen","schäuble","tourismus","steuern","grundfreibetrag","finanzausschuß","anhebung","steuervereinfachung","vereine","einkommensteuergesetzes","dm","steuer","anhebung","entlastung","steuererhöhungen","gobrecht","steuerlichen","steuererhöhungen","betriebsausgaben","architekten","geistigen","vereine","untersuchungsausschusses","mainz","untersuchungsausschuß","kultur","vereinen","firmen","schäuble","stoltenberg","firmen","bericht","israel","bericht","untersuchungsausschusses","käthe","kulturelle","sports","öffentlichrechtlichen","kollege","zustimmungslösung","klausdieter","organspende","enquetekommission","menschen","welle","kulturpolitik","internet","dass","nichtraucher","stiftungen","deutschen","engagement","deutschen","deutschen","wi","berufsgenossenschaften","musik","rechtsform","schulsport","petenten","kulturellen","petitionen","petition","engagement","kulturpolitik","sportanlagen","bund","netzneutralität","medienkompetenz","reisen","ehrenamt","kreativwirtschaft","tourismus","petitionsausschuss","olympischen","behinderung","petitionen","filme","kultur","teilhabe","bücher","internet","ehrenamt","branche","branche","petition","tourismus"
"9","gesetz","senkung","steuer","besteuerung","zahlen","steuersenkung","steuerzahler","dresbach","bundesfinanzminister","steuern","zahlen","börsenumsatzsteuer","steuern","kaffee","mittelstand","bundesfinanzminister","mittelstandes","dm","seuffert","besteuerung","beyer","unternehmen","freibeträge","dahlgrün","dm","finanzausschuß","gewerbesteuer","leicht","kurlbaum","lohnsteuer","einkommen","parlamentarischer","pro","spitzensteuersatz","steuervorteile","einflüsse","besteuerung","freibeträge","vorsorgeaufwendungen","finanzen","steuererhöhungen","steuer","steuerlichen","vermögensteuer","konjunkturabschlag","arbeitnehmer","kindergeld","vereinfachung","gesetzentwurf","kreile","anhebung","arbeitnehmer","arbeitnehmer","gewerbesteuer","beschäftigungsförderungsgesetz","steuerlichen","steuergeheimnis","dm","steuerlich","kulturellen","besteuerung","gemeinnützigkeit","goetheinstituts","film","geschichte","hdw","sportvereinen","gansel","kulturpolitik","kiel","untersuchungsausschusses","irak","waffen","exporte","bnd","fledermäuse","illegale","deutschen","kultur","enquetekommission","kultur","öffentlichrechtliche","zustimmungslösung","film","filmförderungsgesetzes","michael","stiegler","öffentlichrechtlichen","ehrenamtlich","arbeitsplatz","deutschen","sports","sport","großveranstaltungen","filmwirtschaft","nich","deutschen","bildungspolitik","mindeststammkapitals","staatsziel","bundesstiftung","engagement","parr","medien","wi","welterbestätten","digitale","kulturelle","künstlerinnen","sport","barrierefreiheit","behinderungen","telekom","teilhabe","petitionen","sportler","alpen","internet","verwaltung","urheberrecht","direkte","buch","meinungsfreiheit","internet","gutscheinlösung","kirchen","transparenzregister","kulturpolitik"
"10","mark","steuerlich","zahlen","körperschaftsteuer","kleinen","steuern","steuer","seuffert","einkommensteuer","ausfall","steuern","dehler","einkommensteuer","einkommensteuer","einkommen","finanzausschuß","beyer","umsatzsteuerreform","ware","verbraucher","sparen","eigentumsbildung","besteuerung","besteuerung","seuffert","leicht","entlastung","dm","leicht","ehegatten","atü","steuerliche","blei","steuern","wirtschaftsprüfer","bericht","porzner","januar","häfele","reform","kindern","offergeld","steuerliche","häfele","entlastung","böhme","einkommen","matthäusmaier","steuern","bundesrat","kraftfahrzeugsteuer","sparkassen","dm","neubewertung","böhme","besteuerung","steuer","einkommen","steuerliche","spender","amnestie","künstler","flickkonzerns","kulturellen","vereine","athleten","gemeinnützigen","wiederaufbau","sports","firmen","bundesregierung","kulturarbeit","rüstungsexporte","filmförderung","filmförderungsgesetz","norwegen","export","kulturelle","sportbericht","caesar","entnahme","ehrenamtlichen","angehörigen","öffentlichrechtlichen","börnsen","kunst","übungsleiterpauschale","doping","naumann","kulturellen","nidarümelin","bürgerschaftlichen","film","deutsch","bewerbung","sprache","zehetmair","auswärtigen","baumann","neumann","spielsucht","kulturelle","petitionsausschuss","petenten","film","petition","staatsminister","kinos","digitale","open","antrag","petitionen","behinderung","sport","künstlersozialversicherung","bsi","kulturellen","behinderung","sports","digitalisierung","digitale","deutsche","tourismus","vielfalt","tourismus","sport","stiftung","vielfalt"
"11","finanzminister","belastung","ehefrau","werkfernverkehr","zuckersteuer","gemeinden","steuerpflichtigen","steuern","körperschaftsteuer","harm","steuer","dm","atzenroth","körperschaftsteuer","gewerbesteuer","beyer","mittelständischen","hausfrau","einkommensteuer","finanzausschuß","eigentum","unternehmer","freibetrag","umsatzsteuer","antrag","gewerbesteuer","steuerpflichtigen","steuerliche","steuern","steuerliche","einkommensteuer","dm","steuer","steuerliche","außensteuergesetz","präsidenten","kraftfahrzeugsteuer","eckwerte","milliarden","steuerlichen","finanzen","steuerlichen","vermögensbildung","böhme","abschreibung","steuern","gemeinden","einkommen","anhebung","steuerliche","schäuble","erhöhung","einkommensteuergesetzes","steuerliche","steuern","verluste","bundesrat","steuerrecht","bundesfinanzhofs","klasen","steuerlichen","abgabenordnung","rechnungshof","geschichte","abriß","videokassetten","übungsleiterpauschale","export","duve","kulturpolitik","staatsanwaltschaft","kultur","rüstungsexport","illegale","hörfunks","wale","illegaler","plan","anstalten","einrichtungen","organen","zivilschutzes","sport","psychogruppen","filmförderung","hansjoachim","lammert","olympischen","filmförderung","sport","auswärtigen","bürgerschaftliches","welle","englisch","rostock","för","barthel","staatsministerin","bankgeheimnis","bibliotheken","parr","ehrenamtlich","kunst","filme","een","doping","sports","petition","immateriellen","filme","spiele","ehrenamtlich","digitale","digitalisierung","künstler","infrastrukturen","sportler","buchpreisbindung","menschen","digitale","kunst","verschlüsselung","petition","petitionen","reisen","sprache","staatsleistungen","bundes"
"12","umsatzsteuer","einkommensteuer","körperschaftsteuer","umsatzsteuer","steuerliche","zuckersteuer","steuersenkung","lindrath","steuerpflichtigen","beyer","beteiligung","aktien","besteuerung","teesteuer","steuer","steuererklärung","vermögensteuer","herstellungsdatum","verbraucheraufklärung","berufe","sparförderung","dm","lohnsteuer","kuponsteuer","bier","steuern","einführung","einkommensteuer","gewerbeertragsteuer","steuerlichen","mehrwertsteuer","steuer","steuerpflichtigen","schmidburgk","finanzausschuß","hinweisen","steuer","erbschaftsteuer","familienlastenausgleichs","steuerliche","aktiengesellschaft","steuerliche","aktie","kindergeld","weihnachtsfreibetrag","investitionszulagengesetzes","steuer","finanzausschuß","entfernungspauschale","steuerlichen","kilometerpauschale","subventionsabbaugesetz","lösungsskizze","finanzierung","bescheinigung","bürokratie","gemeinnützigkeit","erhöhung","parteispenden","november","steuerrecht","deutsch","schily","mainzer","untersuchungsausschusses","filme","untersuchungsausschuß","gemeinnützigen","gemeinnützigen","bundesregierung","libyen","illegale","museums","panzern","öffentlichrechtlichen","mahnmal","rüstungsexport","kulturförderung","öffentlichrechtliche","bibliotheken","mensch","mainz","tot","nichtraucher","filmförderungsanstalt","kulturellen","trinkgeld","kultur","kulturpolitik","trinkgelder","enquetekommission","kultur","kulturellen","deutschland","staatsoper","deutsche","sport","christina","gründung","sport","eingaben","stiftungen","olympischen","auslandsschulen","sports","vereine","medien","kulturtourismus","urheber","access","digitalen","kreativwirtschaft","antrag","gesellschaft","sport","spiele","grütters","urheber","teilhabe","petition","itsicherheit","digitalen","kreativen","petitionsausschuss","stiftung","kolonialismus","medien","branche"
"13","belastung","zahlen","neuburger","anhänger","einkommensteuer","steuer","steuerlichen","steuerliche","umsatzsteuer","kaffee","gesellschaftsteuer","gesellschaft","krammig","steuerliche","krammig","steuerlichen","einkommensteuer","einführung","anstalten","dahlgrün","steueränderungsgesetz","steuern","kurlbaumbeyer","einkommensteuergesetzes","stecker","wirtschaft","frau","umsatzsteuer","gewerbesteuer","finanzausschuß","kohlensäuredruck","steuerpflichtigen","einkommensteuergesetzes","finanzen","steuern","große","steuern","reform","steuern","steuerklassen","steuerliche","einkommen","doppelbelastung","steuerpolitik","anhebung","erleichterungen","steuern","steuerliche","progression","kindergeld","branntweinsteuer","steuerliche","pfennig","bundesrat","anhebung","dm","dm","steuern","geldbußen","flick","stern","steuerrecht","flickkonzern","duve","spitzensportler","doping","künstlersozialversicherung","büchner","kulturellen","staatsanwaltschaft","kulturellen","möllemann","firma","hafen","nationalen","sports","kriegswaffen","sportausschuß","spitzensport","zuständigkeiten","sekten","katastrophenschutz","raucher","rundfunk","sekten","otto","stifter","stiftungsrecht","enquetekommission","urheber","vereinen","medien","künstler","kulturförderung","neumann","een","engagement","weiss","ladenöffnungszeiten","jochimsen","monopol","sports","kulturellen","sports","för","fußball","kulturellen","film","sport","barrierefreie","digitale","internet","gesellschaft","agenda","behinderungen","behinderung","tourismus","doping","kunst","werke","behinderung","literatur","behinderungen","barrierefreiheit","künstler","vielfalt","organisationen","kulturelle"
"14","kleinen","ausfall","staatssekretär","senkung","steuerpflichtigen","steuerpflichtigen","miessner","splitting","steuerreform","tarif","senkung","bestimmung","jahressteuergesetz","einkommen","berufe","einkommen","berufe","lebensmittel","verbraucherpolitik","belastung","werbung","arbeitnehmern","arbeitszeit","dieselkraftstoff","schmidt","frau","grundsteuer","steuerlichen","unternehmer","einkommen","verzinsung","einkommens","gruhl","umsatzsteuer","lohn","finanzen","offergeld","besteuerung","freibeträge","häfele","kreditgenossenschaft","künstler","einkommensteuer","anhebung","degressiven","begünstigung","mehrwertsteuer","erhöhung","steuerlich","steuer","mineralölsteuererhöhung","steuern","steuer","besteuerung","arbeitnehmer","gemeinnützigkeit","wertpapiere","bundesrat","gewerbesteuer","staatsanwaltschaft","kultur","sports","kultur","ostdeutschen","olympischen","untersuchungsausschusses","kunst","untersuchungsausschuß","kulturarbeit","rabta","lieferung","anstalten","kittelmann","films","deutschen","gewaltherrschaft","kulturförderung","bundesregierung","rüstungsexporte","uelhoff","angehörigen","selbstschutz","organentnahme","sprache","endbericht","sport","vereinen","sports","lammert","digitale","deutsche","landesbank","jugendschutzes","kulturellen","films","ik","enquetekommission","vereine","petenten","buchpreisbindung","petition","vielfalt","kreativwirtschaft","washingtoner","spraak","kulturellen","neumann","ffa","urheberrecht","enquete","jugendherbergen","urheberrecht","barrierefreiheit","olympischen","künstlersozialkasse","digitale","ländlichen","urheberrecht","kulturellen","sport","medien","athleten","demokratie","petition","reiseveranstalter","tourismus","tourismus","stiftung"
"15","geschädigten","öffentlichen","einkommensteuer","hartmann","umstellung","seuffert","einkommensteuer","ausfall","zahlen","seuffert","zollsenkung","arbeitnehmer","steuervergünstigungen","kaffeesteuer","steueränderungsgesetz","steuern","kindern","seuffert","zeitungen","bundesfinanzminister","leber","leber","kraftfahrzeugsteuer","steueränderungsgesetz","altvorräte","kurlbaumbeyer","steuersatz","unternehmen","steuerreform","steuerpflichtigen","rückzahlung","sonderabschreibungen","heizöl","offergeld","offergeld","staatssekretär","einkommensteuer","einkommensteuer","besteuerung","gaddum","finanzausschuß","steuerpflichtigen","einkommen","steuerlichen","arbeitnehmer","steuer","kindergeldes","besteuerung","böhme","erhöhung","abbau","wartenberg","besteuerung","lohnsteuer","einkommensteuergesetzes","steuer","maßnahme","zwangsanleihe","zwangsanleihe","parteispenden","akten","pharmaindustrie","flickaffäre","kulturelle","denkmalschutz","untersuchungsauftrag","sports","deutschen","kollege","bohl","museums","rüstungsexporten","kulturelle","reeder","schalcks","walfangs","waffen","sendungen","wdr","grundversorgung","organtransplantation","kultur","todes","raucher","filmförderungsgesetz","kulturpolitischen","gemeinnützige","spitzensport","produzenten","stiftung","ehrenamtlich","staat","sprache","fusion","sport","auswärtige","medien","kulturellen","fußballweltmeisterschaft","deutschen","neumann","ehrenamt","künstler","film","bürgerschaftlichen","welterbekonvention","digitalen","theater","förderung","digitalen","menschen","urheber","menschen","barrieren","ländlichen","bauhaus","digitale","digitalen","digitalisierung","ausstellungsvergütung","gesellschaft","vielfalt","behinderung","sport","kunden","jugendmedienschutz","vereinen","förderung"
"16","einkommensteuer","steuerlichen","regierungsvorlage","pro","gewerblichen","mittelstand","millionen","einkommen","finanzausschuß","freibetrag","beyer","finanzausschuß","gesetz","vermögensauseinandersetzung","mittelstandes","einkommensteuer","steuern","finanzausschuß","dahlgrün","umsatzsteuerreform","vermögen","gewerkschaften","finanzämtern","bundesfinanzminister","verbraucher","besteuerung","kurlbaumbeyer","reiseverkehr","steuerpflichtigen","einkommensteuergesetzes","lohnsteuer","fremdenverkehr","rückwirkung","dm","steuerbevollmächtigten","wegen","reform","vermögen","bundesrat","wagner","reine","steuern","reform","steueränderungsgesetz","lohnsteuer","kraftfahrzeugsteuer","entlastung","kreile","matthäusmaier","böhme","umlegung","steuersatz","kindergeld","vermittlungsausschuß","finanzämter","einkommensteuer","kreile","kinder","staatsanwaltschaft","parteienfinanzierung","abgabenordnung","untersuchungsausschuß","kapitalvermögen","sport","büchner","jugendschutz","kultur","beteiligung","rabta","kulturellen","licht","firmen","bundesregierung","bnd","schalckgolodkowski","film","bachmaier","auslandssender","fernsehen","schlauch","todes","medien","sterben","titzestecher","tod","kulturförderung","trinkgelder","stiftung","stiftung","nidarümelin","kulturelle","ehrenamt","christina","sports","staatsministerin","enquetekommission","hansjoachim","kulturarbeit","abgeltungsteuer","gmbh","deutsche","engagements","spiele","sportler","en","werbung","netzpolitik","sports","engagement","kulturellen","kultur","vereine","teilhabe","sportler","kunst","digitalisierung","integrationsfirmen","kulturellen","förderung","welle","sprache","special","kunst","tourismusstrategie","reisewirtschaft","künstler","stiftungen","plattformen"
"17","milliarden","kleinen","bundesfinanzminister","millionen","belastung","bundesfinanzminister","kleinen","beyer","kleinen","finanzausschuß","verheirateten","aktiengesellschaften","schmidt","dm","steuern","verbrauchsteuern","seuffert","lohnsteuerpflichtigen","tarif","finanzen","verbraucher","arbeitgeber","leber","benzin","unternehmer","steuersatz","harmonisierung","kurlbaumbeyer","kurlbaumbeyer","arbeitnehmer","vorauszahlungen","veranlagung","steuerlichen","wirtschaft","steuerflucht","grund","vermögen","gesetzentwurf","steuerrecht","steuergesetzgebung","genossenschaftskasse","verlustrücktrags","pieroth","gewerbesteuer","nachfrage","unternehmen","investitionszulage","umsatzsteuer","sport","anhebung","mineralöl","langner","kreile","einkommensteuergesetzes","grundsteuer","kappung","investitionshilfeabgabe","steuerliche","werbungskosten","kulturelle","betriebsvermögen","untersuchungsausschusses","sondervotum","ausland","historischen","sports","häfele","sports","herr","waffen","rabta","export","bericht","bachmaier","firmen","kunst","rüstungsgütern","einrichtungen","sitzordnung","mosdorf","transplantationsmedizin","filmförderung","ärzte","nichtraucherschutzgesetz","sport","stiftung","michael","otto","soziokulturellen","museumsinsel","kulturellen","vereine","internet","kulturpolitik","oper","künstler","vielfalt","sportförderung","limited","buch","sportwetten","parr","börnsen","internet","internet","deutschen","bereich","kultureinrichtungen","enquetekommission","digitale","ländlichen","digitalisierung","olympischen","inklusion","gesellschaft","petitionsausschuss","antrag","barrieren","sportanlagen","künstlern","internet","deutschen","richtlinie","igf","bevölkerungsschutz","staatsleistungen","sportstätten","stärkung"
