"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","pferde","verkehr","bundesbahn","verkehr","bundesbahn","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","verkehr","fernmeldewesen","post","bundesbahn","verkehr","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","post","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","fremdenverkehr","werften","bundesbahn","bundesbahn","bahn","bundesbahn","bundesbahn","bundesbahn","straßen","bahn","bundespost","bundesbahn","verkehr","bahn","tourismus","bundesbahn","krause","verkehr","krause","bahn","bahn","transrapid","tourismus","bahn","post","post","bahn","bahn","bahn","bahn","tourismus","bahn","bahn","bahn","ag","bahn","bahn","bahn","maut","bahn","bahn","bahn","seeschifffahrt","flugsicherung","bahn","tourismus","bahn","bahn","bahn","bahn","bahn","stuttgart","bahn","bahn","bahn","bahn","lärmschutz","bahn","pkwmaut","maut","vw","verkehr","infrastruktur","fahren","grenzwerte","fahrverbote","bahn","bahn","bahn","mobilität","bahn","mobilität"
"2","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","straßen","straßenbau","bundesverkehrsminister","verkehr","verkehr","straßenbau","bundesverkehrsminister","verkehr","bundesbahn","verkehr","verkehr","seebohm","seebohm","bundesbahn","verkehr","bundesbahn","bundesbahn","bundesbahn","leber","börner","verkehr","börner","bundesbahn","börner","fernmeldewesen","post","fernmeldewesen","post","fernmeldewesen","post","haar","verkehr","post","post","post","bundespost","verkehr","wrede","post","haar","bundespost","bundespost","bundespost","bundespost","verkehrspolitik","bundespost","mahne","bahn","mahne","seeschiffahrt","bundespost","bremen","bahn","bremen","bundesbahn","bahn","bundespost","fremdenverkehr","autobahnen","bundesbahn","post","bahn","bundesbahn","bundesbahn","bundespost","bahn","autobahnen","verkehrspolitik","verkehr","bahnreform","transrapid","bahn","dzt","transrapid","verkehr","ag","ag","ag","ag","verkehr","transrapid","transrapid","schiene","ag","bahn","verkehr","verkehr","verkehr","stolpe","schiene","stolpe","verkehr","mertens","verkehr","schiene","bahn","tempolimit","ag","ag","meere","schiene","bahn","stuttgart","verkehr","bürgerbeteiligung","ramsauer","straßen","infrastruktur","infrastruktur","infrastruktur","verkehr","dobrindt","bundesverkehrswegeplan","dobrindt","mobilität","mobilität","fahrverbote","mobilität","verkehr","schiene","schiene","öpnv"
"3","aufgaben","berlin","müllerhermann","verkehrsfinanzgesetz","bundesverkehrsminister","bundesverkehrsminister","bundesbahn","bundesverkehrsminister","tarife","bundesverkehrsminister","bundesverkehrsminister","müllerhermann","bundesbahn","bundesverkehrsminister","müllerhermann","seebohm","seebohm","bundesbahn","dring","seebohm","seebohm","seiermann","seiermann","seebohm","seiermann","bundesbahn","börner","bundesbahn","börner","post","börner","bundesbahn","post","börner","verkehr","verkehr","bundesbahn","verkehrspolitik","fernmeldewesen","fernmeldewesen","fernmeldewesen","jung","bahn","zeittakt","bahn","verkehr","post","wrede","verkehr","straßen","verkehr","post","bundespost","mahne","bundespost","handelsflotte","post","hdw","bundespost","saarland","bundespost","bundespost","verkehrssicherheit","bundespost","verkehrssicherheit","strecke","bundesbahn","bundespost","bahn","schiene","urlaub","schiene","tempolimit","bahn","verkehrspolitik","verkehrspolitik","bahnreform","verkehrspolitik","bahn","strecke","ag","wissmann","post","verkehr","post","ag","bahn","verkehr","ag","schiene","schiene","schiene","ag","bau","bahn","verkehr","bau","maritimen","verkehr","bahn","db","verkehr","autobahnen","verkehr","tiefensee","flugsicherung","verkehr","verkehr","ag","stuttgart","tempo","schlichtungsstelle","bahn","dobrindt","lkwmaut","infrastrukturabgabe","dobrindt","infrastruktur","schiene","mobilität","luft","grenzwerte","mobilität","schiene","mobilität","bahn","scheuer","schiene"
"4","bundesregierung","aufgaben","straße","müllerhermann","fahrzeuge","fahrzeuge","kernenergie","müllerhermann","verkehr","bundespost","straßen","verkehr","straßenbau","verkehrsträger","seebohm","dring","dring","dring","bundesbahn","dring","dring","seebohm","seebohm","dring","bundesbahn","wittrock","leber","leber","bundesverkehrsminister","fernmeldewesen","post","fernmeldewesen","börner","verkehr","bundespost","fernmeldewesen","post","haar","bundesbahn","bundesbahn","bundesbahn","bahn","jung","bundespost","bundespost","post","verkehr","post","mahne","straßenbau","personennahverkehr","mahne","bundesverkehrsminister","bundesverkehrsminister","poststellen","post","bundesbahn","bundesbahn","post","bundespost","post","post","verkehr","tourismus","tempolimit","verkehr","telekommunikation","post","österreich","verkehr","verkehr","verkehr","straßen","krause","schiene","schiene","verkehr","postreform","verkehr","wissmann","transrapid","tourismus","strecke","wissmann","transrapid","schiene","schiene","strecke","verkehr","verkehr","verkehr","bodewig","bau","ag","schiene","ag","verkehr","wohnungswesen","kapitän","bau","ag","db","ag","db","db","verkehr","mobilität","elektromobilität","verkehr","elbe","ramsauer","bau","hochwasserschutz","mobilität","dobrindt","bahn","infrastruktur","bahn","bahn","bahn","öpnv","fahrzeuge","schiene","auto","bürgerbeteiligung","scheuer","mobilität","bahn"
"5","ausschuß","bundesverkehrsminister","bundesverkehrsminister","bundesverkehrsminister","schmidt","bundesanstalt","straßenbau","bundespost","dring","km","seebohm","pferden","straßen","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","seiermann","lufthansa","straßenbau","verkehrsträger","müllerhermann","dring","dring","müllerhermann","börner","münchen","straße","bundesminister","straßen","bundesbahn","bundesbahn","börner","bundesbahn","bundesbahn","leber","offergeld","fernmeldewesen","bahn","autobahnen","haar","haar","post","fernmeldewesen","nahbereich","zeittakt","bundespost","haar","verkehr","straßen","cbfunk","ruhnau","hauff","jobst","bundespost","container","deutsche","konvention","bremer","zonenrandgebiet","bundespostminister","verkehr","verkehr","straßen","post","geschwindigkeit","straße","wettbewerb","deutschen","schiene","flugsicherung","telekom","verkehrspolitik","feige","flugsicherung","bahn","verkehr","telekom","post","verkehrspolitik","verkehr","bahn","verkehr","verkehr","post","schiene","transrapid","ag","expo","db","tourismus","post","bau","lkwmaut","wohnungswesen","verkehr","bundesverkehrswegeplan","ag","bau","bau","stadtentwicklung","verkehr","ag","verkehr","tourismus","verkehr","häfen","verkehrspolitik","mobilität","schiene","ag","elbe","maritimen","hochwasser","verkehr","maut","dobrindt","fahrzeuge","stuttgart","dobrindt","verkehr","fahrverbote","luft","fahrzeuge","scheuer","scheuer","verkehr","verkehr","auto"
"6","verwaltung","verkehrs","aufgaben","bahn","aufgaben","kernenergie","zehnjahresplan","kernenergie","berufsverkehr","straßenbau","dring","ausfuhr","müllerhermann","bleiß","bleiß","straßenbau","bundesverkehrsminister","seiermann","seiermann","verkehrspolitik","bundesverkehrsminister","straße","bundesminister","bundesminister","wittrock","staatssekretär","bundesverkehrsminister","parlamentarischer","leber","leber","leber","leber","leber","mineralölsteuer","haar","lemmrich","mineralölsteuer","fluglotsen","wittrock","jung","gscheidle","verkehrspolitik","post","post","gscheidle","wrede","gscheidle","fernmeldewesen","wrede","mondscheintarif","mahne","verkehr","bahn","verkehr","merker","seeleute","zeichnung","hamburg","verkehr","postminister","dollinger","straßen","schulte","bahn","bundesbahn","bundespost","zonenrandgebiet","deutsche","verkehrspolitik","straße","fremdenverkehrs","krause","kmh","verkehrsträger","straßen","bundesverkehrswegeplan","verkehrspolitik","strecke","schiene","telekom","tourismus","bahn","transrapid","verkehrspolitik","verkehrspolitik","pallas","post","bau","strecke","db","bodewig","schweiz","verkehrspolitik","bundesverkehrswegeplan","bau","stolpe","flughafen","häfen","wohnungswesen","mobilität","netz","ostsee","db","schiene","tourismus","privatisierung","straße","schiene","maritimen","schiene","infrastruktur","schiene","ramsauer","schiene","straßen","pkwmaut","straße","fahrzeuge","maut","automobilindustrie","bahn","scheuer","grenzwerte","verkehr","ausbau","infrastruktur","fahren","infrastruktur"
"7","aufgabe","straße","schmidt","straßen","sonn","verkehrssicherheit","bundesverkehrsminister","euratom","tariferhöhung","straßen","straßenbau","bundesverkehrsminister","bleiß","seebohm","straßen","müllerhermann","fahrzeuge","straße","xiv","müllerhermann","seiermann","bundesminister","zusatzfrage","seiermann","ramms","bundesminister","verkehrspolitischen","bundesstraße","verkehrspolitik","staatssekretär","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","gemeinden","bundesbahn","kollege","staatssekretär","post","forschung","bundespost","jung","verkehr","deutschen","einführung","wrede","bahn","bahn","straßenverkehr","post","verkehr","bundespost","personennahverkehr","deutschen","hauff","deutsche","fernmeldewesen","urlaub","bundespost","eisenbahner","bahn","fläche","senfft","post","straßen","verkehr","schiene","ausbau","zonenrandgebiet","lkw","verkehrspolitik","bundesbahn","reichsbahn","verkehr","schiene","tourismus","verkehrsträger","post","telekom","lärm","donau","telematik","telekommunikation","schiene","altmann","verkehr","müntefering","tourismuswirtschaft","ag","verkehrspolitik","strecke","tourismus","donau","wohnungswesen","großmann","minister","bahnreform","schiene","stolpe","bahn","schiene","stadtentwicklung","bau","infrastruktur","privatisierung","schiene","bau","stuttgart","fahren","lärm","bau","reeder","stuttgart","infrastruktur","flughafen","schiene","straßen","schiene","automobilindustrie","verkehr","auto","automobilindustrie","städten","scheuer","automobilindustrie","lärmschutz","öpnv","ländlichen","verkehr"
"8","ministerium","bundespost","verkehrs","verkehrs","seebohm","verkehrsausschuß","km","verkehr","straße","verkehrs","müllerhermann","luftverkehrsverwaltung","zweckbindung","dring","dring","binnenschiffahrt","km","bundesverkehrsminister","straße","straße","bundesstraße","planung","schoettle","tarife","strecke","leber","deutschen","straßen","deutschen","bundesminister","saar","straßen","mineralölsteuer","lemmrich","gscheidle","müllerhermann","bundespost","seeschiffahrt","bundespost","verkehrspolitik","verkehrspolitik","gscheidle","bundespost","fernmeldewesen","antrag","fernmeldewesen","wrede","mahne","lärmschutz","mondscheintarifs","bahn","bahn","lufthansa","verkehrspolitik","verkehr","reeder","deutsche","norddeutschen","deutsche","post","deutsche","hoffie","bedarfsplan","verkehr","schleswigholstein","straßenbau","deutschen","verkehr","alpen","bundespost","post","post","fremdenverkehr","öpnv","verkehrssicherheit","straße","promillegrenze","postbank","telekom","schiene","telekommunikation","transrapid","db","schiene","wissmann","wohnungswesen","verkehr","klimmt","dass","bau","bau","staatsvertrag","stolpe","achim","wohnungswesen","bau","wohnungswesen","maritime","börnsen","verkehrsträger","investitionen","meere","verkehrssicherheit","bahnreform","flugsicherung","tonnen","ag","projekt","maritime","ramsauer","projekt","verkehr","pkwmaut","straßen","verkehr","lkwmaut","automobilindustrie","schiene","mobilität","maritimen","saubere","verkehr"," mikrogramm","infrastruktur"," kmh","a ","infrastruktur","euroticket"
"9","deutschen","bundesregierung","eisenbahn","bundespost","dring","km","eurofima","straßen","anhebung","rademacher","rademacher","bleiß","seebohm","verkehrspolitik","bundesstraßen","straßen","strecke","straßen","bundesstraße","bundesverkehrsminister","bleiß","verkehrs","herr","verkehrspolitik","bundesminister","parlamentarischer","eisenbahn","staatssekretär","verkehrs","parlamentarischer","straßenbau","lemmrich","bedarfsplan","bundespost","gebührenerhöhung","stark","verkehrspolitik","lauritzen","technologie","personennahverkehr","bundesminister","fernmeldewesen","jobst","verkehr","verkehr","km","fernmeldewesen","strecken","verkehrspolitik","fernmeldewesen","schulte","verkehrspolitik","verkehr","straßenbau","verkehrsausschuß","flagge","postminister","aufträge","deutschen","verkabelung","deutschen","lkw","ausbau","deutschen","unfälle","öpnv","deutsche","schwarzschilling","schweiz","öpnv","bahn","straße","verkehrspolitik","straßen","feige","bundesbahn","promille","verkehr","fremdenverkehr","ag","telekom","postbank","lärm","bahnreform","filialen","bau","hochwasser","hamburg","transrapid","binnenschifffahrt","lkwmaut","wohnungswesen","schiene","schiene","bundesverkehrswegeplan","häfen","db","tourismus","angelika","friedrich","euro","meer","schiene","mobilität","minister","verspätung","carsharing","ag","elbe","db","verkehr","reeder","schiene","pkwmaut","bahn","verkehr","digitale","bundesverkehrswegeplan","fahren","infrastruktur","diesel","auto","verkehr","fahren","schiene","auto","fahrzeuge","fahren"
"10","fragen","abteilung","bundesregierung","betriebsfremden","bundesverkehrsministerium","straße","zweckbindung","verkehrsträger","bundespost","fahrzeuge","km","bundesbahn","gewichte","km","zubringerstraßen","flugsicherung","straßen","karlsruhe","straßen","bleiß","herr","südbrücke","strecke","autobahn","zusatzfrage","bundesstraße","straßen","zusatzfrage","eisenbahn","herr","gebaut","verkehrsbericht","bundespost","werkfernverkehr","gebührenerhöhungen","deutschen","technologie","fernmeldewesen","verkehrsausschuß","folgekosten","technologie","zeittakt","deutsche","bundespostminister","fernmeldewesen","fahrzeuge","verkehrspolitik","vorstand","gscheidle","autobahn","straßen","fernmeldewesen","post","verkehrsminister","öffnungszeiten","schiffe","deutschen","schiffbau","verkabelung","fläche","verkehrspolitik","verkehrspolitik","autobahnen","deutsche","deutschen","post","flughäfen","weiss","straße","weiss","fremdenverkehr","bundespost","geschwindigkeit","bundesbahn","öpnv","ausbau","binnenschiffahrt","wissmann","flughäfen","telekommunikation","postfilialen","ausbau","bahnreform","tourismus","verkehrsminister","steenblock","investitionsprogramm","schiene","bau","expo","wohnungswesen","bundesverkehrswegeplan","strecke","post","tourismus","wohnungswesen","strecke","schiene","goldmann","dfs","bau","maritime","tiefensee","tiefensee","fehmarnbeltquerung","hamburg","db","straße","db","stadtentwicklung","bau","maritime","verkehrssicherheit","ber","erhalt","schiene","mobilität","vw","straßen","fahrzeuge","fahrzeuge","autos","elektrokleinstfahrzeuge","elektromobilität","planung","verkehrswende","verkehrssicherheit","ländlichen"
"11","einzelnen","post","maßnahmen","straße","feiertagen","müllerhermann","lufthansa","verkehrspolitik","müllerhermann","dring","verseuchung","straßen","lastkraftwagen","deutschen","verkehrsträger","bleiß","ausbau","fahrzeuge","vierjahresplan","straßen","verkehrspolitik","strecke","probst","zusatzfrage","staatssekretär","kollege","wittrock","herr","straße","schmittvockenhausen","bundesverkehrsminister","müllerhermann","straßen","apel","müllerhermann","frühzeitig","wittrock","personennahverkehr","hauff","bahn","deutschen","km","vehar","bahn","straßen","beschwerdestelle","deutschen","poststellen","verkehrs","km","deutsche","lemmrich","merker","strecken","sonderzüge","deutschen","tourismus","metz","jobst","deutschen","konvention","straßenbau","straßenbau","urlaub","verkehrstoten","fläche","börnsen","telekommunikation","flugsicherung","verkehrsträger","lärm","verkehrsträger","tourismus","verkehrs","bundesverkehrswegeplan","krause","postreform","postunternehmen","altmann","post","binnenschiffahrt","elbe","strecken","postgesetz","milliarden","schmidt","milliarden","milliarden","straße","mehdorn","db","ag","post","strecke","verkehrsinfrastruktur","straße","infrastruktur","port","promille","kapitalprivatisierung","infrastruktur","schiene","straßen","meere","börsengang","seen","wattenmeer","verkehrspolitik","bau","mobilität","bürger","schiffe","autobahnen","lkwmaut","verkehrsinfrastruktur","nutzerfinanzierung","straßen","mobilität","straße","radverkehr","städten","automobilindustrie","elektromobilität","öpnv","verkehrsminister","verkehrsminister","öpnv","bus"
"12","verkehr","aufgabe","verkehrsfinanzgesetz","gutachten","kraftfahrzeuge","aufgaben","forschung","nutzung","schmidt","ausbau","atomgesetz","gemeinden","fahrzeuge","verkehrs","straßenbau","verkehrsträger","straße","bundesstraße","autobahn","werkfernverkehr","bundesminister","kliesing","vizepräsident","bundesverkehrsminister","münchen","beim","verkehrspolitik","trennscheibe","bau","beim","staatssekretär","bundespost","verkehrspolitik","deutschen","herr","gebühren","herr","bundesverkehrsminister","personennahverkehr","staatssekretär","forschung","lemmrich","spies","nahbereiche","haar","ausbau","bundesverkehrsminister","fahrzeuge","fernmeldewesen","verkehrssicherheit","personennahverkehrs","deutsche","kölnbonn","milz","post","schiffahrt","cbfunk","koschnick","konvention","hamburg","hoffie","emden","hoffie","küste","raserei","deutschen","monopol","verkehrspolitik","nachtfahrverbot","post","wegener","straßen","verkehrswege","auto","bundesbahn","reichsbahn","daubertshäuser","straßen","promille","ausbau","kombinierten","donau","wettbewerb","ausbau","strecke","verkehrspolitik","dm","dm","tourismus","netz","werften","ausbau","straße","db","straße","db","verkehrsinfrastruktur","börnsen","alkoholmissbrauch","db","verkehrspolitik","netz","stadtentwicklung","finanzierungsvereinbarung","bau","fahrgäste","infrastruktur","ramsauer","stresstest","straße","maritimen","flughafen","verkehr","bundesverkehrswegeplan","bundesstraßen","autofahrer","kraftfahrtbundesamt","digitale","digitale","maritime","autos","diesel","grenzwert","autos","auto","straßen","ausbau","wissing"
"13","insbesondere","eisenbahn","rademacher","verkehrsfinanzgesetzes","maßnahmen","überladungen","müllerhermann","rademacher","bleiß","bleiß","verkehrs","ritzel","ausbau","straßenbau","verkehrspolitik","verkehrspolitik","leitplanken","straßenbau","km","verkehrs","xi","xii","straße","strecke","straßen","verkehrspolitischen","programm","kollege","imle","bundespost","bundesminister","gemeinden","lemmrich","straßenbau","bundesminister","luftverkehr","parl","bundespost","regionalen","herr","vorstand","haar","öpnv","minuten","deutschen","deutschen","deutsche","hoffie","verkehrssicherheit","bundesbahn","nahverkehr","gebührenerhöhung","autobahn","deutschen","bayern","fischer","fremdenverkehrswirtschaft","grobecker","postminister","km","verkehrsminister","saar","daubertshäuser","verkehrspolitik","kmh","deutsche","postreform","straßen","straßen","lkw","fremdenverkehrswirtschaft","ausbau","klausdieter","straße","straße","elbe","wissmann","börnsen","ag","börnsen","expo","verkehrspolitik","dürr","wettbewerb","straße","albert","straße","werften","bahnreform","transrapid","straße","verkehrspolitik","mertens","projekte","bahnreform","investitionen","maut","ag","trunkenheitsfahrten","flughäfen","tourismus","stadtentwicklung","tempolimits","netz","mobilität","elektromobilität","bau","stadt","schifffahrtsverwaltung","infrastruktur","flughafen","projekt","brandenburg","ag","lkw","bundesstraßen","lärmschutz","nahverkehr","pkwmaut","carsharing","auto","bahn","auto","kraftstoffe","fahren","autobahnen","auto","planungsbeschleunigung"
"14","länder","ausbau","seebohm","aufgaben","wissenschaftlichen","gutachten","kommission","verkehrs","seebohm","bundesverkehrsministerium","deutschen","luftverkehrs","straßenbaufinanzierungsgesetz","tarife","enquete","ausbau","bundesstraße","reisenden","ausbau","bundesminister","straßenbau","fahrzeuge","xi","verkehrs","herr","herr","müllerhermann","ramms","verkehrspolitischen","kollege","funcke","straßenbau","unternehmen","straßen","staatssekretär","ostbayerischen","hauff","deutschen","luftverkehr","nahverkehr","ktk","dollinger","folgekosten","zonenrandgebiet","übungen","staatssekretär","hoffie","strecke","lärm","kanäle","hoffie","ausbau","deutsche","post","deutschen","wieczorek","glasfaser","senat","dollinger","breitbandverkabelung","flugsicherung","km","straße","hamburg","werften","güter","grünbuch","wettbewerb","weiss","fläche","öffentlichen","telekom","telekom","mobilität","verkehrsträger","lkw","schiene","telekommunikation","telekommunikation","projekt","schiene","altmann","straßen","milliarden","ferner","strecke","müntefering","schleswigholstein","wohnungswesen","bahnreform","strecke","projekte","verkehrsinfrastruktur","straße","verkehrspolitik","verkehrsinfrastruktur","investitionen","maut","lärm","ag","straße","flughafen","kmh","infrastruktur","infrastruktur","hinterlandanbindung","projekt","verkehrssicherheit","schlichtung","hafen","schiffe","schifffahrtsverwaltung","tempolimit","brandenburg","collect","bahnreform","bahn","autos","verkehrspolitik","elbe","infrastruktur","fahren","städten","verkehrswende","bauen","ausbau","busse","verkehrspolitik"
"15","bedeutung","insbesondere","straßenverkehr","straßenverkehr","bundesanstalt","straßen","kernbrennstoffe","seebohm","schiene","bundesstraße","atomenergie","verwaltung","straße","straße","bundesfernstraßen","verbeamtung","straßenbau","vierjahresplan","bundesminister","straßenverkehr","straße","bundesstraße","xiv","börner","fahrzeuge","zusatzfrage","deutsche","beim","autobahn","strecke","kollege","verkehrspolitik","bundesfernstraßen","kollege","zusatzfrage","seeberufsgenossenschaft","straßenbau","schulte","straßen","deutschen","bundespost","herr","haar","zeittaktes","minister","bundesfernstraßen","antrag","antrag","bahn","landschaft","ländlichen","gebühren","ländlichen","personennahverkehr","bahnhöfen","duve","grunenberg","küste","paterna","schiene","unternehmen","ostfriesland","straßenverkehr","straßenbau","norddeutschen","weiss","verkehr","fernmeldewesen","luftverkehr","straßen","straße","straßenbau","bundesbahn","bundesverkehrsminister","günther","saale","postunternehmen","dagmar","wettbewerb","hamburg","wettbewerb","strecke","carstens","transrapid","altmann","bundesverkehrswegeplan","bau","dass","schmidt","dm","wettbewerb","straße","ausbau","stolpe","lkwmaut","verkehrsträger","minister","package","straßenverkehr","ostsee","sachalin","maritimen","eigentum","flugsicherung","finanzierungsvereinbarung","ausbau","verkehrsträger","bau","bundesstraßen","verkehrspolitik","ausbau","schienenbonus","straße","verkehrspolitik","wilms","finanzierung","alexander","auto","plan","güterwagen"," prozent","schiene","infrastruktur","straßen","straßen","kraftstoffe","straßen","ausbau"
"16","berliner","maßnahmen","kultusminister","eisenbahnen","ministerien","dring","wissenschaftler","unfälle","km","verkehrsausschuß","bleiß","zweckbindung","mineralölsteuer","verkehrsausschuß","zweckbindung","bundesstraßen","bahnhöfen","unfälle","planung","ausbau","straßen","bundesverkehrsminister","bundesministerium","herr","gerstenmaier","bau","bahn","straße","programm","fahrzeuge","bauen","eisenbahn","verkehrsbericht","pfennig","defizit","straßen","ländlichen","technologie","schulte","kollege","herr","deutschen","personennahverkehr","verkehrspolitik","verkehrssicherheit","straßmeir","verkehrsminister","deutschen","verkehrslärm","hoffie","schiffe","gscheidle","führungsstruktur","deutsche","staatssekretär","tübingen","seeschiffahrt","kiel","zeichnung","personennahverkehr","bremen","bremen","autobahn","norddeutschland","schiffbau","warnke","bahn","strecke","flughäfen","strecke","europa","telekommunikation","unfälle","elektrofahrzeugen","ausbau","km","bau","postgewerkschaft","ausbau","berlin","telekommunikationsgesetz","telekom","kilometer","verkehrsträger","straßenverkehr","autobahn","volksfeste","post","albert","börnsen","verkehrsträger","schmidt","straßen","verkehrsinfrastruktur","ag","maut","tourismus","verkehrsinfrastruktur","staatssekretärin","ausbau","verkehrsinfrastruktur","fischerei","bau","leistungs","reifen","schiene","minister","fluggesellschaften","wsv","badenwürttemberg","planfeststellungsverfahren","schlichtung","bau","lärmschutz","straße","euro","elektromobilität","projekt","auto","straße","schiene","infrastruktur","fahren","straße","fahrverbote","flughäfen","maut","brücken"
"17","notwendig","allerdings","berlin","straßenbau","gebiet","schmidt","gemeinden","straßenverkehr","tarifreform","übergänge","fahrzeuge","pferd","verkehrsausschuß","straßenverkehr","bundesautobahnen","bundesstraße","verkehrs","verkehrs","zweckbindung","straßenbau","strecke","neureut","staatssekretär","strecken","straßenverkehrsordnung","stadt","programms","autobahn","herr","zusatzfrage","kanal","verkehrs","straßenbau","herr","vizepräsident","straßenbau","müllerhermann","herr","verkehrssicherheit","vorstand","staatssekretär","bundespostminister","verkehrspolitik","rund","bundesfernstraßen","verkehrsausschuß","straßen","cbfunk","straßenbau","bürger","straßenbau","deutschen","nordsee","jobst","lande","ausflaggung","verkabelung","reederhilfe","vorstand","öpnv","schiene","pkw","verkehrsausschuß","fernmeldewesen","kohn","schulte","flugverkehr","straße","auto","ausbau","touristischen","feige","geschwindigkeitsbegrenzungen","herr","autobahnen","stendal","wismar","hamburg","urlaub","straße","postagenturen","carstens","schmidt","dm","öpnv","oceanic","millionen","verkehrspolitik","dm","milliarden","netz","lkwmaut","db","mertens","harmonisierung","verkehrspolitik","friedrich","beckmeyer","faße","infrastruktur","millionen","euro","hofreiter","straße","straße","stadtentwicklung","ramsauer","geißler","schlichtungsstelle","verkehrsträger","öffentlichkeitsbeteiligung","infrastruktur","ag","ausbau","brücken","kfzsteuer","reeder","leidig","infrastrukturabgabe","autos","nachrüstung","saubere","autos","radverkehr","projekte","fahren","raum","straße"
"18","angelegenheiten","gebiet","straßen","verkehrsträger","lufthansa","forschung","wissenschaftlichen","straße","verkehrsträger","seebohm","unfälle","straßenbaufinanzierungsgesetz","vierjahresplan","straßen","verkehrs","vierjahresplan","deutsche","müllerhermann","fahrzeuge","verkehrswirtschaft","kollege","xi","deutschen","deutschen","bundesstraße","bundesverkehrsminister","km","gerstenmaier","staatssekretär","deutsche","lemmrich","mineralölsteuer","km","straßenverkehrsordnung","deutschen","unternehmens","schulte","hauff","verkehrspolitik","personennahverkehrs","hauff","schulte","patentstelle","haar","beschwerdestelle","millionen","autobahn","straßenverkehrsordnung","verkehrslärmschutzgesetz","lärmschutz","autobahn","investitionen","vorstand","vorstand","strecke","bundesbahn","fremdenverkehrspolitik","bürgermeister","verkehrspolitik","deutsche","zeichnung","lärm","dollinger","fremdenverkehrswirtschaft","fremdenverkehr","straßen","kunden","verkehrsminister","tempolimit","strecken","tourismuspolitik","milliarden","post","ausbau","auto","straßen","strecke","projekt","gila","matthias","verkehrsträger","autofahrer","verkehrsausschuß","promille","deutsche","altmann","ausbau","antistauprogramm","ökosteuer","hennigsdorf","maut","binnenschifffahrt","mobilität","maut","werften","infrastruktur","straßen","flughäfen","finanzierung","straße","tiefensee","transrapid","investitionen","bau","mehdorn","projekt","elektromobilität","schlichtung","beckmeyer","fahren","flugrouten","bundesverkehrsminister","autofahrer","stuttgart","minister","leidig","volkswagen","verkehrsminister","gastel","behrens","fahren","nachrüstung","luft","ausbau","städten","straße","autobahnen","nahverkehr"
