"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundeskanzler","herr","bundeskanzler","herr","bundeskanzler","herr","bundeskanzler","herr","herr","bundeskanzler","bundeskanzler","bundeskanzler","herr","schäuble","brasilien","untersuchungsausschuß","untersuchungsausschuß","rüstungsexporte","bnd","schiff","untersuchungsausschuß","dienste","untersuchungsausschuß","untersuchungsausschuß","dzt","untersuchungsausschuß","tod","bnd","tod","rauchen","enquetekommission","zulassung","schwangerschaftsabbruch","dass","gesundheit","forschung","stammzellen","stammzellen","forschung","wale","klonen","biotechnologie","stammzellen","china","alternativmethoden","china","waffenembargo","roma","waffen","stammzellen","cannabis","waffen","studien","waffen","pid","überhangmandate","organspende","wahlrecht","ehe","ehe","lebenspartnerschaften","ehe","ehe","ehe","ehe","ehe","afd","ehe","grundgesetz","afd","demokratie","demokratie","grundgesetz","demokratie"
"2","herrn","kollege","herrn","kollege","kollege","kollege","kollege","kollege","kollege","gesagt","bundeskanzler","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kohl","kohl","zwischenfrage","kohl","bundeskanzler","bundeskanzler","bremen","zwischenfrage","bundeskanzler","bundeskanzler","bundeskanzler","herr","bundeskanzler","herr","bundeskanzler","herr","bundeskanzler","herr","bundeskanzler","vogel","herr","herr","untersuchungsausschuß","untersuchungsausschuß","libyen","herr","gansel","gansel","irak","stavenhagen","waffen","koko","verfassungsschutz","blut","koko","untersuchungsausschuß","schmidbauer","menschen","kontrolle","menschen","sekten","mer","arbeitsschutz","arzneimittel","gesundheit","dass","pid","forschung","forschung","gentechnik","sars","china","enquetekommission","forschung","patientenverfügung","tierversuche","uboote","schädigung","dresden","studie","forschung","passivrauchen","befruchtung","klinischen","ethikrat","kind","wahlrecht","entscheidung","ehe","gleichstellung","geschäftsordnung","kirchen","institut","parteien","demokratie","sponsoring","dat","demokratie","parteien","demokratie","demokratie","wahlrecht","bundestag","demokratie","bundestag"
"3","kollege","herrn","kollege","herrn","herrn","herrn","gesagt","herrn","gesagt","bundeskanzler","gesagt","gesagt","gesagt","bundeskanzler","dr","damen","güde","herren","zwischenfrage","verfassungsschutz","erler","schäfer","schiller","herren","dorn","zwischenfrage","dorn","zwischenfrage","zwischenfrage","strauß","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","bundeskanzler","kollege","bundeskanzler","zwischenfrage","zwischenfrage","carstens","kollege","bundeskanzler","zwischenfrage","bundeskanzler","zwischenfrage","kohl","bundeskanzler","kohl","strauß","strauß","bundeskanzler","zwischenfrage","strauß","zwischenfrage","zwischenfrage","neuwahlen","neuwahlen","kollege","israel","vogel","vogel","vogel","bundeskanzler","vogel","herrn","herr","bundeskanzler","gansel","libyen","untersuchungsausschusses","südafrika","illegalen","irak","januar","schalck","pkk","blutprodukte","schalckgolodkowski","seehofer","untersuchungsausschusses","organentnahme","pkk","hirntod","nichtraucher","isch","berufsgenossenschaften","vertriebsweg","enquetekommission","mifegyne","embryonen","embryonalen","enquetekommission","enquetekommission","suu","enquetekommission","forschung","stammzellforschung","aufhebung","forschung","ärzte","jemand","unesco","roma","embryonalen","befruchtung","delfine","klinische","technikfolgenabschätzung","überhangmandate","ehe","menschen","lebenspartnerschaft","staatsleistungen","abgeordneten","bundesverfassungsgerichts","menschenrechte","spenden","grundgesetz","diskriminierung","de","grundgesetz","grundgesetz","grundgesetzes","grundgesetz","wahlkreise","grundgesetz","afd","grundgesetz"
"4","sagen","gesagt","gesagt","bundeskanzler","bundeskanzler","gesagt","herrn","bundeskanzler","dr","herrn","kollege","herrn","bundeskanzler","dr","herren","herren","schloß","damen","gesagt","erler","damen","erler","erler","schiller","damen","gestatten","kollegen","dorn","kollegen","zwischenfrage","bundeskanzler","bundeskanzler","bundeskanzler","gestatten","barzel","barzel","zwischenfrage","gestatten","gestatten","zwischenfrage","zwischenfrage","zwischenfrage","bundeskanzler","kollege","bundeskanzler","gestatten","zwischenfrage","gestatten","zwischenfrage","zwischenfrage","ministerpräsident","partei","kohl","herrn","kohl","herrn","ehmke","geißler","zwischenfrage","spenden","herrn","herrn","flick","herrn","strauß","strauß","abgeordneter","bundeskanzler","firmen","brasilien","firmen","exporte","waffen","kontrolle","kommerzielle","walfang","untersuchungsausschusses","mfs","untersuchungsausschusses","pharmaindustrie","organspende","dienste","organe","enquetekommission","handlungsempfehlungen","apotheke","apotheken","patentamt","pid","stammzellen","embryonen","menschenwürde","krankheit","walfang","klonens","organe","embryonalen","organspende","kolleginnen","lieferung","strukturproblem","brücke","sinti","stammzellforschung","rauchverbot","lebendspende","registrierung","ethikrates","wahlrecht","krankheiten","biobanken","gleichstellung","lebenspartnerschaften","bundesverfassungsgericht","ehe","paare","gleichstellung","grundgesetzes","institut","npd","grundgesetzes","stiftungen","verfassung","artikel ","bundesverfassungsgericht","artikel ","bundestag","abgeordneten"
"5","gesagt","opposition","sagen","gesagt","herren","bundeskanzler","sagen","herren","herrn","kollege","herrn","dr","partei","gesagt","gesagt","bundeskanzler","herrn","minister","erler","schäfer","herren","höcherl","zwischenfrage","zwischenfrage","herren","kollegen","herrn","kollegen","herrn","herrn","herrn","herrn","gestatten","strauß","zwischenfrage","herren","gestatten","wehner","carstens","gestatten","herrn","carstens","gestatten","zwischenfrage","kollege","strauß","herrn","herrn","herrn","bundeskanzler","herrn","kohl","zwischenfrage","kollege","kollege","kollege","schmidt","zwischenfrage","kollege","partei","abgeordneter","boenisch","herrn","helmut","abgeordneter","herrn","zwischenfrage","firmen","hersfeld","firmen","kiel","untersuchungsausschuß","israel","bericht","koordinierung","kontrollkommission","schmidbauer","bundesgesundheitsamt","plutonium","horst","pvc","arzneimittel","mensch","psychogruppen","ons","arbeitsunfälle","drogenpolitik","menschlichen","krankheiten","gentechnik","import","embryonen","klonen","kyi","forschung","china","china","waffenembargos","angeklungen","jaffke","usamerikanischen","bonn","waffenrecht","stammzelllinien","künstlichen","tests","studie","tab","leben","bundesverfassungsgericht","organspender","bundesverfassungsgericht","spenden","wahl","richter","pariser","gesetzentwurf","wahl","gleichstellung","un","npd","artikel ","artikel ","wahlrecht","afd","abgeordneten","bundesverfassungsgericht","afd"
"6","möchte","sagen","kollegen","herren","parlament","herren","herren","sagen","bundeskanzler","minister","adenauer","minister","herrn","minister","herrn","gesagt","jahn","herrn","wehner","alliierten","gesagt","damen","gesagt","damen","zwischenfrage","debatte","zwischenfrage","koalition","gestatten","kollegen","gestatten","gestatten","herrn","bundeskanzler","wehner","strauß","kollegen","bundeskanzler","bundeskanzler","bundeskanzler","gestatten","gestatten","herrn","gestatten","gestatten","kollege","gestatten","zwischenfrage","gestatten","gestatten","gestatten","herrn","kollege","gestatten","herrn","schmidt","partei","ehmke","saudiarabien","kollege","zwischenfrage","kollege","schily","schmidt","bundeskanzlers","nukem","journalisten","herr","hessischen","bundesregierung","bundesregierung","firmen","untersuchungsausschuß","firma","untersuchungsausschusses","bad","rüstungsexporte","untersuchungsausschusses","blut","seehofer","hirntod","schmidbauer","klonen","raucher","au","arzneimittel","arzneimittelgesetzes","krankheiten","parr","menschlichen","gentechnik","renesse","grundlagenforschung","gentechnik","ethik","biopatentrichtlinie","embryonen","sterben","registrierung","euebene","kompliziertes","dresdner","strahlung","embryonen","krankheiten","künstlichen","drks","ethikbeirat","präimplantationsdiagnostik","stimmgewicht","entscheidungslösung","lebenspartnerschaften","lesben","minderheitenrechte","wahl","instituts","lebenspartner","richter","beck","parteien","bundesverfassungsgericht","demokratie","wahlrecht","verfassung","abgeordneten","afd","grundgesetzes","mehrheit"
"7","herren","kollegen","opposition","sagen","opposition","parlament","bundeskanzler","damen","herren","partei","dr","herren","opposition","urteil","barzel","opposition","herren","sagen","sache","untersuchungsausschuß","sagen","sagen","herren","wehner","kollegen","herrn","gesagt","schmidt","parlament","gesagt","kollegen","gesagt","gesagt","herrn","regierung","damen","barzel","herrn","herrn","herrn","kohl","herrn","carstens","herrn","strauß","bundeskanzler","kollege","wehner","ministerpräsident","franz","abgeordneter","kollege","gestatten","strauß","schmidt","partei","brandt","pazifismus","ehmke","herrn","kollege","abgeordneter","kollege","untersuchungsausschuß","vogel","kiel","gestatten","bundesregierung","rabta","hdw","untersuchungsausschusses","möllemann","illegalen","staatsminister","schalckgolodkowski","iwc","blutprodukten","seehofer","kontrolle","blut","organe","kontrollkommission","organspende","nichtraucherschutzgesetz","scientology","berufskrankheiten","mifegyne","menschliche","ärzte","menschenwürde","adulten","embryo","früherkennung","iwc","medizin","klinische","erfindungen","taiwan","gentechnologie","kollege","bringen","sinti","leukämie","stichtag","forschung","forschung","klinischer","ethische","stammzellen","vernachlässigten","organe","kirchen","parteien","grundgesetz","gleichstellung","gesetzentwurf","gleichgeschlechtliche","institut","parteien","demokratie","yücel","afd","afd","parteien","parteien","parteien","artikel ","geschäftsordnung"
"8","ja","herren","herren","ja","gesagt","sagen","damen","gesagt","sagen","sagen","partei","sagen","herren","herrn","minister","herrn","minister","gesagt","opposition","untersuchungsausschusses","minister","alliierten","gestatten","bundeskanzler","opposition","bundeskanzler","herren","herrn","schmidt","gestatten","strauß","schäfer","strauß","gesagt","gesagt","zwischenfrage","strauß","carstens","wehner","wehner","carstens","strauß","kohl","strauß","wehner","herrn","strauß","strauß","abgeordneter","herrn","kohl","gestatten","herrn","kohl","kreile","ehmke","zwischenfrage","auschwitz","schmidt","parteien","hupka","schily","abgeordneter","kohl","untersuchungsausschuß","josef","material","jordanien","ermittlungen","kiel","diestel","gansel","schalckgolodkowski","godewind","firmen","geheimdienste","waffen","medizinprodukte","aids","arzneimittelgesetz","zustimmungslösung","nachzulassung","zustimmungslösung","menschen","psychogruppen","präparat","frau","forschung","medikamentösen","embryonalen","antrag","wissenschaft","parlament","moratorium","menschenwürde","rüstungsgütern","forscher","patienten","außerhalb","branntweinmonopol","kollege","genetische","messer","embryonale","gaststätten","patienten","patienten","ethikbeirates","eltern","intersexualität","ehe","überhangmandate","demokratie","gleichstellung","bundesverfassungsgericht","lesben","lebenspartnerschaft","wahlrecht","brunner","partei","enquetekommission","bundesverfassungsgericht","bundesverfassungsgericht","grundgesetzes","bundestag","grundrechte","parteien","wahl"
"9","glaube","ja","hätte","parlament","mehrheitswahlrecht","kollegen","opposition","opposition","rede","herren","damen","damen","sagen","heinemann","hätten","rede","gesagt","zwischenfrage","herren","schmittvockenhausen","kollegen","innern","kollegen","debatte","koalition","herren","opposition","gestatten","regierung","bundeskanzler","vizepräsident","kollegen","kollegen","opposition","gestatten","gestatten","wehner","strauß","gesagt","strauß","wehner","kohl","gesagt","abgeordneter","abgeordneter","abgeordneter","wehner","kollege","wehner","abgeordneten","wehner","spd","wehner","partei","gestatten","koalition","kollege","herrn","vogel","amnestie","bundeskanzlers","zwischenfrage","spenden","bundeskanzlers","gestatten","transnuklear","presse","kreditanstalt","npd","südafrika","waffen","waffen","bundesregierung","illegalen","mfs","untersuchungsausschuß","bga","bericht","bnd","arzneimittel","entnahme","therapierichtungen","angehörigen","scientology","religiöse","tödlichen","zulassung","menschen","präimplantationsdiagnostik","präimplantationsdiagnostik","menschlichen","import","gesundheit","san","verbot","exporte","schweiz","pid","reichen","entgegengewirkt","genau","tests","krebs","verschiebung","schutz","winnenden","register","ethischen","zulassung","gleichgeschlechtliche","krankheiten","menschen","ablösung","rechte","demokratie","bundesverfassungsgericht","bundesverfassungsgericht","volksentscheid","parteiengesetz","bundesverfassungsgericht","parteien","parteienfinanzierung","parteien","wahlkreise","wahl","abgeordnete","verfassung","parlament"
"10","regierung","möchte","ausführungen","damen","regierung","damen","ja","kollegen","damen","damen","herren","zwischenfrage","damen","herren","sagen","minister","damen","hätte","minister","höcherl","zwischenfrage","herren","damen","sagen","bundeskanzler","damen","damen","mischnick","bundeskanzler","herren","gesagt","strauß","regierung","dr","herren","mehrheit","herrn","kollegen","bitte","vizepräsident","gesagt","wehner","strauß","abgeordneten","herrn","abgeordneten","abgeordneter","abgeordneter","kohl","abgeordneter","strauß","zimmermann","partei","bitte","gesagt","genscher","regierung","strauß","nahen","dregger","brandt","partei","zwischenfrage","kollege","zwischenfrage","vogel","zeugnisverweigerungsrecht","export","bad","stoltenberg","staatsanwaltschaft","bericht","rüstungsexport","bundesregierung","januar","aufklärung","bachmaier","öffentlichkeit","schmidbauer","stiftung","untersuchungsausschuß","mitarbeiter","leben","psychotherapeutengesetz","mensch","arbeitspapier","arzt","stammzellen","schwangerschaftsabbruch","leben","lebens","stammzelllinien","ethik","aung","anlage","ethische","grundlagenforschung","enquetekommission","einsetzen","ungleichheiten","schlicht","gentests","waffengesetz","kompromiss","zensus","klinischen","forschung","fragestellungen","tab","lebenspartnerschaft","organspendeausweis","beck","schwulen","lebenspartnerschaften","weltgemeinschaft","lebenspartnerschaften","teilfinanzierung","volksbegehren","lebenspartnerschaft","wi","artikel ","grundgesetzes","rechte","bundesverfassungsgericht","grundgesetz","parlament","grundrechte","deutschen"
"11","damen","bundeskanzler","damen","kollegen","damen","ja","parteien","minister","opposition","sozialdemokraten","bundespräsidenten","sei","heinemann","opposition","damen","zwischenfrage","sache","präsident","herrn","innern","partei","barzel","bundeskanzler","gesagt","gesagt","opposition","genscher","genscher","herren","regierung","regierung","dr","barzel","kollegen","kollegen","kollegen","rede","partei","schäfer","gesagt","ministerpräsident","abgeordneten","vizepräsident","schmidt","ehmke","bitte","partei","partei","kollege","josef","schmidt","abgeordneten","ministerpräsident","abgeordneter","bitte","zwischenfrage","helmut","vogel","arabischen","stoltenberg","partei","gestatten","untersuchungsausschuß","strauß","schily","franz","vogel","wiederaufbau","chef","staatsanwaltschaft","lieferung","illegale","rüstungsexporte","kontrollkommission","bnd","kontrolle","export","schalck","öffentlichkeit","romberg","organen","nachrichtendienste","tot","passivrauchen","net","apotheken","drogen","stoffe","widmannmauz","embryo","menschen","indikation","embryonen","geoinformationen","embryo","rüstungsexportbericht","patentrecht","patientenverfügungen","ethische","katrin","sonderstellung","bürgerentscheid","zensus","embryo","patienten","medizinprodukten","antrag","waffenrechts","embryo","menschen","gesetzentwurf","wahlrechts","kirchen","lebenspartnerschaft","reformierter","gleichstellung","partei","artikel","menschenrechte","ehen","rechte","islam","wahl","bundestag","grundrechte","verfassung","kirchen","verfassung"
"12","hätte","parlament","bundeskanzler","opposition","kollegen","minister","hätte","dr","ja","rede","sei","bundeskanzler","dr","damen","rede","sache","partei","morgen","damen","damen","parteien","schmittvockenhausen","wehner","kollegen","mende","gesagt","sagen","partei","damen","damen","dr","spd","dr","abgeordneten","damen","schmidt","gesagt","dr","kollegen","kollegen","herren","abgeordneter","herren","wehner","bitte","kollegen","abgeordneten","abgeordneten","partei","partei","abgeordneten","wehner","bitte","abgeordneten","spd","brandt","wähler","erlauben","abgeordneter","schmidt","kohl","strauß","brauchitsch","partei","helmut","oberfinanzdirektion","herrn","untersuchungsausschuß","hessische","herr","libyen","rüstungsexporten","staatsminister","irak","zeugen","mfs","firmen","köppe","new","hersteller","sekten","bundesnachrichtendienst","ärzte","möllemann","ma","gesundheit","methode","arzneimittel","gesundheitspolitik","lebens","stammzelllinien","embryonalen","klonens","forschung","therapeutischen","antrag","software","volksrepublik","gepflegt","manifest","bürgern","genetischen","anscheinswaffen","adulten","konsum","organspende","krankheiten","büro","stimmgewicht","intersexuellen","organ","wahl","bundesverfassungsgericht","hauptausschuss","kirche","karenzzeit","rechte","lebenspartnerschaft","gleichgeschlechtliche","grundgesetz","antrag","verfassung","menschenrechte","abgeordneten","bundestages","bundestages","abgeordneten","bürger"
"13","kollegen","glaube","möchte","ausführungen","sagen","hätte","partei","hätte","weiß","hätten","minister","getan","kollegen","sagen","partei","koalition","sagen","sache","sagen","öffentlichkeit","schoettle","nein","spd","herrn","partei","schmidt","gestatten","barzel","rede","sagen","herren","vizepräsident","sagen","sagen","sagen","herrn","sagen","vizepräsident","vogel","dr","barzel","kollegen","kollegen","kollegen","abgeordneten","gesagt","spd","spd","abgeordneten","kollege","partei","schmidt","posser","ministerpräsident","vizepräsident","helmut","gestatten","brandt","herrn","geißler","dregger","bundeskanzlers","strauß","lappas","csu","hdw","selbstrecherchiertes","lieferung","gansel","waffen","akten","bundesregierung","lutz","reeder","israel","antiquitäten","seehofer","arzneimittel","aufklärung","produkte","angehörigen","gremium","todes","sauer","menschen","menschen","drogenkonsumräumen","studie","frau","menschen","leben","schwangeren","erkrankungen","burma","therapeutische","export","ethischen","waffenembargo","gnädige","wort","emirate","daten","volkszählung","cannabis","rauchen","waffenrechts","registrierungspflicht","winnenden","medizin","negative","ethikrat","vergrößerung","lebenspartnerschaft","bundestages","sukzessivadoption","diskriminierung","einnahmen","gewählt","öffnung","grundgesetzes","partei","religion","partei","bundestages","vorschlag","wahlrecht","abgeordnete","grundgesetzes"
"14","parlament","minister","minister","gesprochen","ausführungen","rede","parlament","hätten","döring","cdu","bundeskanzlers","hätten","erler","arndt","zwischenfrage","dr","erler","gestatten","bundeskanzler","minister","sache","kollegen","debatte","gestatten","bundesinnenminister","regierung","schmidt","regierung","opposition","opposition","damen","regierung","vizepräsident","barzel","gestern","regierung","regierung","gesagt","partei","abgeordneten","abgeordneten","gesagt","abgeordneter","vizepräsident","vizepräsident","rede","ehmke","gesagt","bitte","bremer","posser","gesagt","demonstration","riedl","dr","kohl","fdp","dr","helmut","zwischenfrage","schlesier","saudiarabien","gestatten","abgeordneter","äußerungen","stoltenberg","langner","stoltenberg","haussmann","bohl","irak","israel","firmen","schiffes","ddr","akten","firma","akten","kontrollkommission","aufklärung","mensch","bundesnachrichtendienstes","raucher","angehörigen","sekten","arzt","medikamentösen","patent","bewertungsausschuss","enquêtekommission","mensch","mensch","chipkarte","japan","embryonen","ethischen","krankheiten","rüstungsexporte","floridarolf","medizin","unweigerlich","waldschlösschenbrücke","kikkstudie","stammzellgesetz","studie","waffenrecht","studienergebnisse","politikberatung","entscheidung","beck","rechtsschutz","betreuung","steuerrecht","mitglieder","gesetzentwurf","astatus","dass","menschenrechte","agg","ok","direkte","geschlecht","wahlrechtsausschlüsse","partei","partei","grundgesetzes","absatz ","bundestages"
"15","bundeskanzler","damen","ja","sage","wahlgesetz","dr","kollegen","rede","sei","demokratie","cdu","zitiert","minister","sache","sache","partei","bundesverteidigungsminister","kollegen","hätte","herren","herrn","minister","sagen","schmittvockenhausen","sagen","koalition","bundeskanzler","frage","spd","dr","cdu","opposition","debatte","stücklen","rede","spd","damen","abgeordneter","abgeordneten","abgeordneter","kollegen","ministerpräsident","bitte","bitte","spd","spd","bitte","bitte","schmidt","schmidt","bitte","bitte","rede","helmut","abgeordneter","regierung","koalition","partei","kohl","koalition","koalition","spd","parteien","gestatten","vizepräsidenten","firmen","strauß","chef","alkem","libyen","skandal","export","strauß","lieferung","lederer","bnd","bundesgesundheitsamt","ddr","blutprodukte","einsetzung","organtransplantation","hersteller","organentnahme","rauchern","religiösen","präparates","präparat","ethischen","medizin","kind","embryo","januar","ethischen","wissenschaft","tierversuche","kriegswaffen","patentierbarkeit","waffen","größerem","israel","lieferungen","ruhezeiten","daten","stichtages","passivrauchens","delfinen","arzneimittel","beirat","behinderung","oppermann","angehörigen","gleichgeschlechtlichen","bundesverfassungsgerichts","abgeordnete","lebenspartnerschaft","beck","personen","gleichgeschlechtliche","grundgesetz","rehabilitierung","menschenrechte","grundrechte","absatz ","abgeordnete","artikel ","bundesverfassungsgericht","bundestages","parteien"
"16","dinge","gesprochen","parlament","glaube","weimarer","opposition","ausführungen","sache","gestern","dr","sagen","partei","sei","partei","bundeskanzler","sagen","bundeskanzler","demokratie","dr","wehner","gestatten","benda","herrn","opposition","gestatten","genscher","parlament","bundeskanzler","genscher","kiesinger","sagen","damen","wehner","debatte","herrn","rede","opposition","opposition","strauß","rede","bitte","spd","sagen","gesagt","ministerpräsident","schmidt","rede","schmidt","parteitag","spd","kollege","vizepräsident","dr","vizepräsident","ministerpräsident","wähler","kohl","abgeordneter","erlauben","abgeordneten","präsident","abgeordneten","kohl","spd","abgeordneten","schily","beschlagnahme","bundesminister","bundesminister","lieferung","rabta","bachmaier","kanzleramt","exporte","firma","grams","akten","koordinierung","pharmaindustrie","opfer","todes","arzneimittelgesetzes","rauchen","rücksichtnahme","gemeinschaften","apothekerinnen","gesundheit","medizin","abbruch","gesundheit","menschenwürde","schwangerschaft","menschen","deutschland","ethisch","organspende","stammzellgesetz","embargo","ärzte","dass","aufgeschlagen","vaatz","untersuchung","lebens","arbeitsstättenverordnung","krankheiten","ergebnisse","deutschen","paare","paare","wahlrecht","eingetragenen","organspende","bundesverfassungsgerichts","lebenspartner","lebenspartnerschaft","grundgesetzes","gleichstellung","instituts","för","diskriminierung","partei","grundrechte","politischen","kopftuch","absatz ","staatsleistungen","entscheidung"
"17","heute","hätte","glaube","sei","wähler","bundeskanzlers","minister","hause","partei","opposition","opposition","hätte","parlament","zwischenfrage","cdu","gesprochen","wehner","hauses","gestatten","worden","spd","sache","gestern","spd","spd","spd","regierung","gesagt","debatte","barzel","opposition","herren","stoltenberg","vizepräsident","morgen","koalition","gestern","rede","damen","herren","sagen","vizepräsident","partei","spd","herren","wehner","gesagt","albrecht","ehmke","koschnick","dr","abgeordneter","damals","schmidt","bundesrat","gestatten","herrn","koalition","brandt","gestatten","ehmke","kollegen","partei","rede","kohl","ofd","untersuchungsausschusses","bundessicherheitsrat","bundeskanzler","rabta","genehmigung","waffenexporte","firma","firmen","bülow","vorgänge","rüstungsexport","kommerzielle","pkk","betroffenen","leben","chemikalien","sterben","arbeitsplatz","fend","bauberufsgenossenschaft","ru","lensing","antrag","krankheiten","ethisch","medizin","gibt","erreger","menschen","deutschland","patente","tod","hervorgeht","erlaubt","anwältin","krankheit","erkranken","forscher","gastronomie","hersteller","iqwig","wissenschaftliche","stammzellforschung","mandat","gesundheitskarte","parteien","schwule","sukzessivadoption","adoption","gleichgeschlechtliche","zuwendungen","lobbyisten","volker","vun","frauen","politischen","staatssekretäre","wahlrechtsreform","grundgesetzes","gesetzentwurf","politische","bundesverfassungsgericht"
"18","hause","hause","gesprochen","erklärt","koalition","mellies","dr","partei","debatte","ja","sache","blank","ja","schröder","kollegen","hätten","ministers","hause","kollegen","sagen","wehner","öffentlichkeit","luda","regierung","regierung","sagen","fraktion","sagen","reden","vizepräsident","barzel","rede","opposition","schäfer","opposition","partei","ja","abgeordneten","herren","bitte","rede","herren","abgeordneten","dienstag","gesagt","redner","schmidt","rede","franz","ministerpräsident","nordrheinwestfalen","helmut","brandt","wehner","abgeordneten","mischnick","abgeordneter","gestatten","waffenlieferungen","spd","gestatten","brandt","spd","brandt","saudiarabien","untersuchungsausschusses","brief","vogel","seiters","oberfinanzdirektion","unternehmen","herr","bericht","illegal","schalcks","schalckgolodkowski","informationen","ru","marschewski","blutprodukte","tot","geheimdienste","medizinischen","titzestecher","hend","ru","repnik","mensch","vertriebsweg","wissenschaft","gentests","menschlichen","menschenwürde","krankheit","antrag","ethik","adulten","rüstungsgüter","stammzellforschung","unabhängige","lothar","test","waffengesetzes","ethischen","behandlung","therapie","therapeutischen","besitz","embryonen","intersexuelle","tod","wählen","gesetzentwurf","adoption","grundgesetzes","prinzipien","parteiengesetz","bundesverfassungsgericht","bericht","en","vollverschleierung","religionsfreiheit","ehe","vorschlag","verfassung","lobbyregister","wahlwerbung","abstimmungsreihenfolge"
"19","gar","ausführungen","debatte","minister","hätte","sei","weiß","ausführungen","sache","sei","erler","opposition","hätten","rede","sei","regierung","debatte","presse","heute","herrn","schmittvockenhausen","brief","rede","barzel","herrn","geschäftsordnung","benda","damen","sagen","debatte","stoltenberg","sagen","rede","gestern","strauß","gesagt","genau","cdu","barzel","partei","spd","bitte","präsident","herren","kollegen","vizepräsident","bahr","vizepräsident","barzel","präsident","spd","parteitag","zitat","dr","ja","dr","oktober","stoltenberg","ziesel","sozialdemokraten","schmidt","geißler","abgeordneten","zwischenfrage","spd","barschel","abgeordneten","januar","brasilianischen","schaden","licht","untersuchungsausschusses","kontrolle","gansel","akten","informationen","kontrolle","gesundheit","bundesnachrichtendienst","pharmazeutischen","ärzte","parlamentarische","patienten","demenz","lebensbewältigungshilfe","patienten","schwangerschaftsabbruchs","patentamtes","erkrankungen","forscher","embryonaler","lebens","leitlinien","gentechnisch","stammzellen","rüstungsexporte","menschlichen","angehörigen","usamerikanischen","fragen","ablenken","lenk","waffe","menschlichen","drogen","substitutionsbehandlung","eudract","forschung","krankheiten","karlsruhe","spender","verfassungsgericht","eingetragene","beck","religionsgemeinschaften","schwule","artikel","bundesrichter","bundesverfassungsgericht","parteienfinanzierung","herren","antrag","recht","verhältniswahlrecht","bundestagswahl","kirchen","bürger","wahlrecht"
