"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beratung","beratung","beratung","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","drucksache","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","drucksache","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","uploadfilter","meinungsfreiheit","thw","plattformen","meinungsfreiheit","moldau"
"2","ausschuss","rufe","ausschuss","ausschuss","beratung","beratung","ausschuss","beratung","ausschuss","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","vi","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","beratung","beratung","rates","rates","rates","ausschuss","ausschuss","ausschuss","ausschuss","beratung","ausschuss","beratung","ausschuss","drucksache","drucksache","ausschuss","beratung","ausschuss","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beratung","beratung","ausschuss","beratung","ausschuss","beratung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschüsse","angenommen","richtlinie","internet","helferinnen","meinungsfreiheit","plattformen","plattformen"
"3","nr","drucksache","drucksache","beratung","drucksache","ausschuss","beratung","berichterstatter","beratung","rufe","rufe","punkt","ausschuss","ausschuss","punkt","ausschuss","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","berichterstatter","drucksache","berichterstatter","berichterstatter","berichterstatter","enthaltungen","beratung","beratung","rates","beratung","rates","beratung","verordnung","ausschuss","rates","berichterstatter","ausschuss","rates","ausschuss","verordnung","verordnung","ewg","beratung","beratung","beratung","beratung","ausschuss","beratung","ausschuss","beratung","beratung","ausschuss","drucksache","ausschuss","beratung","drucksache","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beratung","ausschuss","ausschuss","beschlussempfehlung","beratung","ausschuss","ausschuss","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beratung","ausschuss","ausschuss","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beratung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","wer","fraktion","beratung","meinungsfreiheit","igf","bevölkerungsschutz","netz","hochwasser","medien"
"4","drucksachen","gesetzes","gesetzes","berichterstatter","punkt","berichterstatter","punkt","ausschuss","überweisung","entwurfs","ausschuss","überweisung","punkt","eingebrachten","ausschusses","tagesordnung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","enthaltungen","berichterstatter","ausschuss","ausschuss","ausschuss","enthaltungen","gegenprobe","gegenprobe","tagesordnung","berichterstatter","beratung","berichterstatter","verordnung","berichterstatter","rates","berichterstatter","verordnung","ausschuss","berichterstatter","ewg","berichterstatter","ewg","comment","verordnung","berichterstatter","berichterstatter","tagesordnung","berichterstatter","berichterstatter","tagesordnung","beschlussempfehlung","entwurfs","beschlussempfehlung","aussprache","tagesordnung","beschlussempfehlung","tagesordnung","aussprache","aussprache","aussprache","aussprache","ausschuss","ausschuss","aussprache","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","ausschuss","ausschuss","beschlussempfehlung","beratung","ausschuss","beratung","beratung","beratung","stimmen","stimmt","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","antrag","gesetzentwurf","urheberrecht","plattformen","helfer","jugendmedienschutz","film","ahrtal"
"5","punkt","punkt","entwurfs","rufe","tagesordnung","punkt","tagesordnung","punkt","tagesordnung","tagesordnung","handzeichen","ausschuss","eingebrachten","tagesordnung","enthaltungen","beratung","ausschusses","tagesordnung","ausschusses","enthaltungen","enthaltungen","ausschuss","gegenprobe","ausschusses","ausschusses","enthaltungen","tagesordnung","enthaltungen","berichterstatter","ausschuss","gegenprobe","ausschuss","tagesordnung","beratung","ausschuss","ewg","rates","ewg","tagesordnung","rates","ausschuss","rates","comment","ewg","ausschuss","tagesordnung","entwurfs","berichterstatter","tagesordnung","tagesordnung","überweisungsvorschlag","tagesordnung","gesetzes","berichterstatter","beschlussempfehlung","aussprache","drucksachen","antrag","tagesordnung","tagesordnung","tagesordnung","beschlussempfehlung","aussprache","fraktion","fraktion","aussprache","beschlussempfehlung","fraktion","fraktion","fraktion","fraktion","aussprache","aussprache","drucksachen","drucksachen","eingebrachten","eingebrachten","stimmt","aussprache","enthaltungen","fraktion","gegenprobe","stimmen","stimmen","ausschuss","enthaltungen","stimmt","stimmt","stimmt","stimmt","enthaltungen","gesetzentwurf","aussprache","aussprache","aussprache","stimmt","aussprache","aussprache","enthaltungen","beschlussempfehlung","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","stimmt","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","stimmt","stimmt","wer","stimmt","wahl","stimmen","artikel","kommunikationsbericht","plattformen","jugendschutz","urheberrecht","meinungsfreiheit"
"6","gesetzes","ausschuss","punkt","punkt","gesetzes","tagesordnung","rufe","gesetzes","punkt","enthaltungen","tagesordnung","tagesordnung","rufe","gegenprobe","bericht","punkt","punkt","punkt","enthaltungen","punkt","ausschusses","gegenprobe","enthaltungen","entwurfs","enthaltungen","gegenprobe","gegenprobe","ausschuss","tagesordnung","verordnung","tagesordnung","verordnung","ausschuss","ausschuss","rates","nr","eingebrachten","beratung","eingebrachten","tagesordnung","verordnung","ewg","ausschuss","ausschuss","comment","beschlussempfehlung","tagesordnung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","haushaltsausschuss","drucksachen","eingebrachten","drucksachen","tagesordnung","gesetzes","tagesordnung","aussprache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","fraktion","fraktion","aussprache","tagesordnung","beschlussempfehlung","überweisungsvorschlag","aussprache","aussprache","drucksachen","drucksachen","drucksachen","überweisungsvorschlag","überweisungsvorschlag","aussprache","drucksachen","tagesordnungspunkt","drucksachen","fraktion","aussprache","enthaltungen","fraktion","fraktion","enthaltungen","enthaltungen","fraktion","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","fcomment","fraktion","enthaltungen","stimmt","stimmt","stimmt","stimmt","fraktion","enthaltungen","stimmt","wer","fraktion","wer","ausschuss","aussprache","beratung","beratung","beratung","beratung","stimmt","ausschuss","sitzung","fraktion","plattformen","netz","hilfswerk","facebook","kreativen","schwöre"
"7","tagesordnung","überweisung","rufe","tagesordnung","rufe","rufe","gegenprobe","ausschusses","rufe","punkt","enthaltungen","gegenprobe","tagesordnung","punkt","tagesordnung","gewünscht","tagesordnung","gewünscht","gewünscht","tagesordnung","tagesordnung","rufe","beschlossen","eingebrachten","gegenprobe","tagesordnung","ausschusses","tagesordnung","handzeichen","rates","ausschuss","berichterstatter","gegenprobe","ewg","verordnung","berichts","verordnung","überwiesen","entwurfs","ewg","berichterstatter","verordnung","berichts","beratung","berichts","entwurfs","eingebrachten","entwurfs","eingebrachten","eingebrachten","aussprache","berichterstatter","überweisungsvorschlag","tagesordnung","drucksachen","ältestenrates","berichterstatter","fraktion","ältestenrat","ältestenrat","fraktion","tagesordnung","tagesordnung","drucksachen","antrag","überweisungsvorschlag","tagesordnungspunkt","tagesordnung","überweisungsvorschlag","berichterstatter","berichterstatter","überweisungsvorschlag","eingebrachten","eingebrachten","tagesordnungspunkt","entwurfs","drucksachen","gesetzentwurf","überweisungsvorschlag","überweisungsvorschlag","gegenprobe","stimmen","enthaltungen","fraktion","angenommen","beschlussempfehlung","wer","aussprache","aussprache","wer","angenommen","stimmt","beschlussempfehlung","überweisungsvorschlag","stimmt","aussprache","enthaltungen","abgeordneten","angenommen","überweisungsvorschlag","aussprache","stimmt","enthaltungen","enthaltungen","wer","enthaltungen","wer","stimmt","enthaltungen","fraktion","wer","fraktion","fraktion","beschlussempfehlung","fraktion","fraktion","fraktion","fraktion","fraktion","fraktion","gesetzentwurf","linke","kreativen","richtlinie","youtube","medien","netz","inhalte"
"8","rufe","entwurfs","berichterstatter","ausschusses","berichterstatter","entwurfs","bitte","gewünscht","entwurfs","ausschuss","bitte","gewünscht","berichterstatter","entwurfs","berichterstatter","berichterstatter","eingebrachten","gegenprobe","rufe","berichterstatter","gegenprobe","ausschusses","punkt","punkt","drucksachen","eingebrachten","ausschuss","punkt","ausschuss","eingebrachten","enthaltungen","tagesordnung","eingebrachten","tagesordnung","tagesordnung","überwiesen","tagesordnung","berichts","gesetzes","eingebrachten","berichts","tagesordnung","beratung","berichts","überwiesen","berichts","ältestenrates","beschlossen","entwurfs","drucksachen","eingebrachten","ältestenrat","ältestenrates","aussprache","berichterstatter","entwurfs","gesetzes","ältestenrat","eingebrachten","rufe","berichterstatter","berichterstatter","tagesordnungspunkt","berichterstatter","geschäftsordnung","tagesordnung","aussprache","geschäftsordnung","tagesordnungspunkt","eingebrachten","eingebrachten","tagesordnungspunkt","tagesordnungspunkt","aussprache","überweisungsvorschlag","berichterstattung","aussprache","wer","stimmt","gegenprobe","stimmen","aussprache","aussprache","stimmt","fraktion","aussprache","aussprache","wer","wer","angenommen","wer","angenommen","wer","stimmt","gesetzentwurf","angenommen","gesetzentwurf","enthaltungen","stimmen","enthaltungen","stimmt","wer","wer","wer","überweisungsvorschlag","wer","überweisungsvorschlag","überweisungsvorschlag","wer","enthaltungen","tagesordnungspunkt","enthaltungen","enthaltungen","fraktion","stimmen","aussprache","aussprache","stimmen","überweisungsvorschlag","dagegen","wer","geschäftsordnung","internet","internets","thwgesetz","inhalte","künstlerinnen","internet"
"9","berichterstatter","aussprache","tagesordnung","entwurfs","entwurfs","gesetzes","aussprache","tagesordnung","beschlossen","überweisung","punkt","eingebrachten","bitte","gewünscht","ausschuss","eingebrachten","berichterstatter","berichterstatter","punkt","ausschusses","gewünscht","bericht","rufe","rufe","verordnung","ausschusses","eingebrachten","eingebrachten","gewünscht","punkt","handzeichen","überwiesen","gesetzes","berichterstatter","berichts","schreiben","entwurfs","berichterstatter","ausschusses","verordnung","tagesordnung","berichts","überwiesen","überwiesen","beratung","eingebrachten","comment","eingebrachten","drucksachen","entwurfs","einverstanden","gewünscht","beschlussempfehlung","ausschusses","ältestenrat","beschlussempfehlung","aussprache","geschäftsordnung","berichterstatter","gewünscht","rufe","rufe","drucksachen","tagesordnungspunkt","rufe","antrag","eingebrachten","drucksachen","drucksachen","entwurfs","tagesordnungspunkt","fraktion","entwurfs","tagesordnungspunkt","eingebrachten","überweisungsvorschlag","entwurfs","berichterstattung","drucksachen","stimmt","aussprache","enthaltungen","gegenprobe","gegenprobe","gegenprobe","stimmen","stimmen","angenommen","stimmen","aussprache","stimmen","wer","stimmen","fcomment","eingebrachten","eingebrachten","angenommen","angenommen","gesetzentwurf","stimmt","wer","gegenstimmen","aussprache","angenommen","enthaltungen","angenommen","aussprache","wer","überweisungsvorschlag","aussprache","enthaltungen","abgeordneter","empfiehlt","tagesordnungspunkt","angenommen","stimmen","stimmen","aussprache","aussprache","gesetzentwurf","drucksache","bündnis","feuerwehren","governance","helfern","internet","filmförderung","katastrophenschutz"
"10","aussprache","tagesordnung","überweisung","überweisung","überweisung","gewünscht","berichterstatter","entwurfs","gegenprobe","eingebrachten","gegenprobe","rufe","enthaltungen","gesetzes","gegenprobe","gegenprobe","entwurfs","enthaltungen","eingebrachten","gewünscht","punkt","eingebrachten","eingebrachten","gegenprobe","tagesordnung","gesetzes","rufe","entwurfs","rufe","entwurfs","gesetzes","eingebrachten","entwurfs","berichts","eingebrachten","ausschuss","gesetzes","beschlussfassung","ältestenrates","entwurfs","überwiesen","eingebrachten","berichterstatter","rat","beschlussfassung","drucksachen","überweisungsvorschlag","überweisungsvorschlag","gesetzes","ausschusses","rufe","rufe","aussprache","gewünscht","beschlossen","überweisungsvorschlag","entwurfs","ältestenrates","überweisungsvorschlag","fraktion","ältestenrat","eingebrachten","rufe","tagesordnung","antrags","rufe","tagesordnung","überweisungsvorschlag","ausschusses","aussprache","ausschusses","tagesordnung","gesetzes","fraktion","berichterstattung","aussprache","überweisungsvorschlag","eingebrachten","enthaltungen","fraktion","angenommen","änderungsantrag","überweisungsvorschlag","angenommen","stimmt","wer","fraktion","fraktion","angenommen","fraktion","gesetzentwurf","empfiehlt","fraktion","eingebrachten","überweisungsvorschlag","stimmen","stimmen","fcomment","aussprache","tagesordnungspunkt","angenommen","angenommen","angenommen","aussprache","angenommen","gegenstimmen","fcomment","angenommen","angenommen","angenommen","überweisungsvorschlag","abgeordneten","angenommen","stimmen","tagesordnungspunkt","tagesordnungspunkt","enthält","enthält","dagegen","angenommen","stimmen","zustimmen","urheberrechtsrichtlinie","medien","katastrophenschutz","trump","kinos","nutzer"
"11","drucksache","berichterstatter","aussprache","bericht","ausschusses","ausschusses","gesetzes","bericht","eingebrachten","gesetzes","wünscht","entwurfs","gegenprobe","überweisung","eingebrachten","enthaltungen","gewünscht","rufe","tagesordnung","gegenprobe","entwurfs","berichterstatter","handzeichen","enthaltungen","wünscht","entwurfs","punkt","ausschusses","eingebrachten","berichterstatter","betr","gesetzes","enthaltungen","eingebrachten","änderung","änderung","berichts","änderung","beschlossen","gesetzes","entwurfs","entwurfs","beschlussfassung","tagesordnung","berichterstatter","überweisungsvorschlag","beschlussempfehlung","rufe","schreiben","aussprache","ältestenrat","ausschusses","berichterstatter","ältestenrat","gewünscht","eingebrachten","ausschusses","beschlossen","entwurfs","überweisungsvorschlag","gewünscht","ältestenrat","berichterstatter","ausschusses","abstimmung","ältestenrat","rufe","tagesordnungspunkt","grünen","enthaltungen","gesetzes","ältestenrat","drucksachen","entwurfs","entwurfs","tagesordnungspunkt","berichterstattung","angenommen","antrags","stimmen","stimmt","angenommen","angenommen","eingebrachten","gesetzentwurf","überweisungsvorschlag","eingebrachten","stimmen","überweisungsvorschlag","stimmen","aussprache","stimmen","abgeordneten","gesetzentwurf","angenommen","gesetzentwurf","wer","wer","empfiehlt","eingebrachten","überweisungsvorschlag","abgeordneter","gegenstimmen","überweisungsvorschlag","bündnis","bündnis","enthaltungen","abgeordneter","abgeordneten","tagesordnungspunkt","abgeordneter","angenommen","dagegen","überweisungsvorschlag","aussprache","überweisungsvorschlag","tagesordnungspunkt","tagesordnungspunkt","tagesordnungspunkt","enthält","geschäftsordnung","drucksache","uploadfiltern","netzdg","internet","film","inhalte","katastrophe"
"12","entwurfs","erste","ausschusses","gewünscht","handzeichen","gegenprobe","entwurfs","gegenprobe","enthaltungen","bitte","gesetzes","beschlossen","gesetzes","rufe","gewünscht","ausschusses","gegenprobe","ausschusses","entwurfs","rufe","berichterstatter","punkt","ausschusses","wer","berichts","gewünscht","wünscht","rufe","gesetzes","betr","eingebrachten","gegenprobe","rufe","betr","gesetzes","beschlussfassung","ewg","tagesordnung","drucksachen","beschlossen","ausschusses","ausschusses","endgültigen","beschlussfassung","rechtzeitige","ausschusses","federführend","ältestenrates","ältestenrates","geschäftsordnung","ältestenrates","berichts","gewünscht","beschlossen","einverstanden","einverstanden","eingebrachten","überweisungsvorschlag","beschlossen","eingebrachten","eingebrachten","tagesordnungspunkt","ausschusses","rufe","grünen","antrags","geschäftsordnung","ausschusses","tagesordnung","ausschusses","geschäftsordnung","widerspruch","fraktion","berichterstattung","enthaltungen","gesetzes","gesetzentwurf","tagesordnungspunkt","wer","eingebrachten","überweisungsvorschlag","drucksachen","drucksachen","bündnis","empfiehlt","angenommen","angenommen","überweisungsvorschlag","fraktion","abgeordneter","eingebrachten","fraktion","überweisungsvorschlag","abgeordneten","stimmen","wer","abgeordneten","gesetzentwurf","gegenstimmen","fraktion","fcomment","abgeordneten","stimmen","abgeordneter","stimmen","empfiehlt","tagesordnungspunkt","tagesordnungspunkt","abgeordneter","überweisungsvorschlag","abgeordneten","dagegen","abgeordneter","abgeordneten","enthält","dagegen","dagegen","dagegen","angenommen","stimmen","stimmkarte","abstimmung","urheber","freies","meinungsfreiheit","uploadfilter","ahrtal","flutkatastrophe"
"13","gesetz","schliesse","erste","aussprache","gegenprobe","überweisung","überweisung","rufe","gewünscht","handzeichen","gewünscht","handzeichen","entwurfs","beschlossen","entwurfs","entwurfs","überweisung","eingebrachten","gegenprobe","eingebrachten","rufe","entwurfs","tagesordnung","drucksachen","eingebrachten","punkt","gewünscht","gesetzes","entwurfs","gewünscht","entwurfs","entwurfs","ausschusses","überwiesen","überwiesen","endgültigen","überwiesen","eingebrachten","rates","ausschusses","drucksachen","änderung","rat","endgültigen","rat","ältestenrates","gesetzes","aussprache","gemäss","gesetzes","entwurfs","aussprache","tagesordnung","berichts","ausschusses","ältestenrat","ältestenrat","gesetzes","ältestenrates","ältestenrates","ausschusses","drucksachen","beschlossen","entwurfs","überweisung","tagesordnungspunkt","ältestenrat","eröffne","berichterstatter","überweisungsvorschlag","entwurfs","entwurfs","tagesordnung","antrags","fraktion","fraktion","stimmt","ausschusses","abgeordneten","angenommen","drucksachen","überweisungsvorschlag","ausschusses","entwurfs","ausschusses","eingebrachten","tagesordnungspunkt","tagesordnungspunkt","tagesordnungspunkt","überweisungsvorschlag","fraktion","eingebrachten","gesetzentwurf","angenommen","fcomment","abgeordneten","eingebrachten","abgeordneter","wer","gesetzentwurf","stimmen","bündnisses","überweisungsvorschlag","tagesordnungspunkt","fcomment","gesetzentwurf","abgeordneten","abgeordneten","aussprache","abgeordneter","angenommen","stimmen","abgeordneten","angenommen","dagegen","angenommen","angenommen","angenommen","gesetzentwurf","empfiehlt","abgeordneter","beschlussempfehlung","inhalte","facebook","nutzer","twitter","youtube","plattform"
"14","ausschusses","einleitung","schlage","gesetzes","einstimmig","handzeichen","gewünscht","dritte","handzeichen","gegenprobe","eingebrachten","bitte","handzeichen","enthaltungen","handzeichen","rufe","aussprache","überweisung","berichterstatter","handzeichen","eingebrachten","gesetzes","berichts","tagesordnung","handzeichen","rufe","einstimmig","gewünscht","einstimmig","gesetzes","beschlossen","berichts","punkt","beschlussfassung","entwurfs","vorlage","ausschusses","vorlage","verordnung","änderung","beschlussfassung","gesetzes","betr","berichterstatter","endgültigen","verordnung","gemäss","gesetzes","überweisungsvorschlag","überweisungsvorschlag","drucksachen","unterrichtung","erste","einverstanden","haus","gewünscht","bericht","gewünscht","drucksachen","entwurfs","drucksachen","ausschusses","ältestenrat","gesetzes","überweisungsvorschlag","berichterstatter","antrag","grünen","rufe","tagesordnungspunkt","aussprache","antrags","berichterstattung","ausschusses","gesetzes","tagesordnung","angenommen","enthaltungen","eingebrachten","drucksachen","eingebrachten","grünen","stimmt","wer","drucksachen","federführendcomment","überweisungsvorschlag","abgeordneten","gesetzentwurf","abgeordneten","empfiehlt","abgeordneten","fcomment","abgeordneter","wer","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","angenommen","gesetzentwurf","überweisungsvorschlag","tagesordnungspunkt","gegenstimmen","tagesordnungspunkt","abgeordneten","abgeordneter","aussprache","tagesordnungspunkt","dagegen","aussprache","aussprache","bündnis","überweisung","bündnis","bündnis","überweisungsvorschlag","bündnis","enthält","bündnis","überweisung","stimmt","netz","subsidiaritätsklage","katastrophen","kino","netzdg","helfe"
"15","bitte","haus","einleitung","gegenprobe","aussprache","bericht","ausschusses","schriftlicher","aussprache","gewünscht","berichterstatter","enthaltungen","überweisung","ausschusses","gesetzes","überweisung","enthaltungen","bericht","verordnung","bericht","drucksachen","tagesordnung","entwurfs","gewünscht","rufe","mittelstandsfragen","drucksachen","angenommen","punkt","enthaltungen","rufe","betr","änderung","gesetzes","ewg","rat","änderung","rat","antrags","gegenprobe","änderung","drucksachen","vorlage","europäischen","tagesordnung","rufe","drucksachen","federführend","ausschusses","comment","haus","eingebrachten","ältestenrat","rufe","eingebrachten","haus","berichts","eingebrachten","rufe","berichterstatter","gesetzes","gesetzes","entwurfs","antrag","tagesordnungspunkt","drucksachen","entwurfs","ältestenrat","ältestenrates","gesetzes","antrag","gesetzes","rufe","gesetzentwurf","ausschusses","stimmt","gesetzes","fraktion","gesetzes","gesetzes","berichterstattung","ausschusses","bündnis","pds","bündnis","pds","gesetzentwurf","gesetzentwurf","eingebrachten","gesetzentwurf","tagesordnungspunkt","abgeordneter","tagesordnungspunkt","fraktion","entwurfs","empfiehlt","empfiehlt","empfiehlt","abgeordneter","wer","tagesordnungspunkt","aussprache","fcomment","abgeordneten","abgeordneter","abgeordneter","angenommen","bündnis","fcomment","stimmen","fcomment","empfiehlt","grünen","bündnis","grünen","enthält","bündnis","überweisungsvorschlag","eingebrachten","tagesordnungspunkt","beratung","gemäss","urheberrechtsreform","overblocking","richtlinie","gesperrt","katastrophenschutz","netz"
"16","erheben","wortmeldungen","betreffend","eröffne","gewünscht","aussprache","beschlossen","einleitung","gesetzes","berichterstatter","entwurfs","ausschusses","ausschusses","berichterstatter","dritte","wort","gesetzes","beschlossen","wünscht","wort","wünscht","gewünscht","wahleinspruch","berichts","wer","wünscht","angenommen","wer","wer","gegenprobe","punkt","änderung","bericht","nr","rufe","festsetzung","beschlossen","endgültigen","rufe","rufe","eingebrachten","antrags","änderung","änderung","vorlage","gesetzes","änderung","ausschusses","änderung","wort","gewünscht","beschlossen","ausschusses","wort","entwurfs","berichterstatter","gewünscht","bundestages","gesetzes","ausschusses","entwurfs","entwurfs","geschäftsordnung","berichts","beschlossen","ältestenrates","grünen","rufe","eingebrachten","grünen","änderung","beschlossen","ausschusscomment","gesetzes","angenommen","angenommen","enthaltungen","entwurfs","angenommen","entwurfs","grünen","stimmt","pds","überweisungsvorschlag","antrag","tagesordnungspunkt","entwurfs","eingebrachten","überweisung","empfiehlt","überweisungsvorschlag","ausschusses","abstimmung","wer","tagesordnungspunkt","abgeordneter","tagesordnungspunkt","eingebrachten","eingebrachten","stimmen","gegenstimmen","fcomment","abgeordneter","fcomment","grünen","dagegen","dagegen","stimmen","weiterer","abgeordneten","dagegen","tagesordnungspunkt","weiterer","dagegen","gesetzentwurf","überweisung","gesetzentwurf","eingebrachten","stimmen","grünen","schriftführer","enthält","nutzer","youtube","inhalte","nutzerinnen","künstler","meinungsbildung"
"17","gegenprobe","bitte","zweite","berichts","beschlossen","wünscht","handzeichen","aussprache","bitte","ausschusses","ausschusses","aussprache","gewünscht","aussprache","rufe","beschlossen","bericht","wort","beschlossen","beschlossen","gesetzes","wer","betr","handzeichen","punkt","wer","entwurfs","einstimmig","ausschusses","überwiesen","verordnung","nr","betr","änderung","gegenprobe","rechtzeitig","rufe","entwurfs","wünscht","überweisungsvorschlag","betr","überweisungsvorschlag","rechtzeitig","vorlage","beschlussempfehlung","beschlossen","rufe","ältestenrat","bericht","änderung","gemäss","verordnung","bericht","spaniens","berichts","ausschusses","tagesordnungspunkt","antrags","ausschusses","gesetzes","beschlossen","geschäftsordnung","eingebrachten","eingebrachten","eröffne","beschlossen","federführendcomment","antrag","enthaltungen","rufe","ausschusscomment","eingebrachten","ältestenrat","tagesordnung","stimmt","abgeordneten","fraktion","gesetzes","entwurfs","tagesordnungspunkt","ausschusses","bündnis","grünen","änderungsantrag","berichterstattung","entwurfs","pds","abgeordneter","fcomment","eingebrachten","entwurfs","aussprache","rufe","stimmen","empfiehlt","fcomment","fcomment","tagesordnungspunkt","fraktion","abgeordneten","bündnisses","empfiehlt","abgeordneten","stimmen","gegenstimmen","grünen","bündnis","antrags","empfiehlt","empfiehlt","weiterer","weiterer","drucksachen","grünen","überweisungsvorschlag","grünen","grünen","grünen","bündnis","drucksachen","stimmt","verkehr","lizenzen","inhalten","facebook","digitalen","nutzer","flut"
