"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","gemeinden","film","filmwirtschaft","anstalten","verbraucher","werbung","anstalten","aufsichtsrat","werbung","anmeldungen","wein","kommission","zeitungen","mitbestimmung","mitbestimmung","mitbestimmung","schriftsteller","mitbestimmung","arbeitnehmer","betriebsrat","absatzfonds","arbeitnehmer","arbeitnehmer","film","mitbestimmung","presse","arbeitnehmer","mitbestimmung","künstler","lenz","shb","enquetekommission","stiftung","europäischen","europäischen","olympischen","alterspräsident","plenarsaal","kontrollkommission","beratungsstelle","kriegsgräber","petitionsausschuss","fremdenverkehr","petitionsausschuss","petitionsausschuss","petition","petition","petition","petitionen","petition","plenarsaal","untersuchungsausschuss","petitionsausschuss","schäuble","petitionsausschuss","untersuchungsausschuss","untersuchungsausschuss","petitionsausschuss","bnd","petitionsausschuss","untersuchungsausschuss","deponie","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","petitionsausschuss","vulkan","sket","petitionsausschuss","banken","dat","metro","petitionsausschuss","petitionen","pid","forschung","stammzellen","stammzellen","forschung","petitionsausschuss","klonen","petitionsausschuss","stammzellen","china","schon","china","ethikrat","patientenverfügung","studie","stammzellen","cannabis","patienten","patienten","ethikrat","pid","krankheiten","organspende","beschneidung","erkrankungen","pille","sterben","sterben","ezigaretten","rauchen","forschung","cannabis","cannabis","widerspruchslösung","organspende","organspende","menschen","cannabis","sterben","impfpflicht"
"2","deutschen","berliner","berliner","berliner","berliner","berliner","berliner","zone","fernsehen","zone","berliner","kühn","kühn","rundfunkanstalten","freien","welle","westdeutschen","ortsnetze","werbung","film","fernsehen","unternehmen","schmücker","patentamt","presse","presse","arbeitsmittel","the","unternehmen","betriebsverfassungsgesetz","vermögensbildung","arbeitnehmer","mitbestimmung","arbeitnehmer","gmbh","entscheidungsfreiheit","diplomaten","filmwirtschaft","arbeitnehmer","arbeitnehmer","presse","arbeitnehmer","publizisten","bundesliste","spartakus","kommission","adenauer","parlament","eurocontrol","geschäftsordnung","geschäftsordnung","bauten","beschwerden","prowe","volksbund","petitionen","urlaub","petitionen","petition","petenten","petitionen","untersuchungsausschuss","petitionsausschuss","petitionsausschuss","petitionsausschuss","akten","petenten","libyen","petition","gansel","waffen","rüstungsexporte","irak","petenten","koko","verfassungsschutz","blut","koko","untersuchungsausschusses","untersuchungsausschuss","bremer","petitionen","petition","petitionsausschuss","de","akten","petitionen","petitionsausschuss","präimplantationsdiagnostik","stammzellen","forschung","forschung","grundlagenforschung","sars","enquetekommission","petitionen","china","patientenverfügung","blinden","aggressive","rauchen","patienten","rettungsassistenten","forschung","patienten","patientenverfügung","studien","ethikrates","kind","cannabis","menschen","betroffenen","drogen","verschreibungspflicht","sterbehilfe","menschen","sterben","ezigarette","cannabis","drogen","studie","organspende","widerspruchslösung","widerspruchslösung","werbung","menschen","suizid","impfung"
"3","volk","berlins","berlins","berlins","berlins","zone","berlins","berliner","berliner","berliner","rundfunk","fernsehen","fernmeldewesen","rundfunk","gemeinde","rundfunkanstalten","besold","hochsee","urheber","verbraucher","werbung","gesellschaften","fernsehen","arbeitsmittel","fernsehen","zeitungen","mitbestimmung","arbeitnehmer","presse","kommission","burgbacher","betriebsrat","vermögensbildung","mitbestimmung","cma","rechte","dialog","wohlrabe","aufsichtsrat","künstler","zeitungen","aufsichtsrat","unternehmen","landeslisten","msb","verfassungsreform","konrad","europäische","sport","parlament","europäischen","demokratie","untersuchungsausschuss","schulze","erp","petition","tourismus","petition","petitionen","volksentscheid","petitionsausschuss","formaldehyd","petition","petenten","petitionen","petition","petition","petition","libyen","firmen","petitionsausschuss","bericht","stavenhagen","petitionen","schalck","petitionsausschuss","untersuchungsausschusses","treuhandanstalt","plutonium","petitionen","bvs","bnd","petent","petitionen","petitionen","divag","petitionsausschusses","patentamt","embryonenschutzgesetz","pid","embryonalen","petitionsausschuss","menschenwürde","petitionen","china","petenten","forschung","aufhebung","ethisch","monopol","ethikrates","sterben","strahlung","stammzellforschung","patientenverfügung","arzt","who","ethikbeirat","patienten","open","entscheidung","eltern","cannabis","levonorgestrel","ärzte","suizid","eshishas","ezigaretten","studie","suizid","werbung","menschen","test","masern","rauchen","impfpflicht","leben","allgemeine"
"4","politik","wahlen","sowjetisch","sowjetischen","notopfer","berlins","stadt","stadt","rundfunkanstalten","sowjetzonalen","zonengrenze","werbung","heck","instrument","staat","filmindustrie","prinzip","staat","urheberrecht","presse","rundfunk","gesellschaft","kurlbaumbeyer","prüfung","film","güntherkommission","presse","of","personenhandelsgesellschaften","fusionskontrolle","gewerkschaften","betrieb","freien","angestellten","künstler","mitbestimmung","besuch","filmförderung","gewerkschaften","pressefreiheit","aufsichtsrat","gewerkschaften","arbeitnehmer","stimmzettel","hochschulen","garching","wahl","klepsch","flugsicherung","europäischen","bundestages","anamur","untersuchungsausschusses","reisen","gräber","petenten","fremdenverkehrswirtschaft","eingaben","petenten","petitionen","petenten","petenten","untersuchungsausschuss","petitionsausschusses","petitionsausschusses","center","petitionsausschusses","gansel","firmen","bundesregierung","gansel","petitionen","waffen","petition","koordinierung","pkk","treuhandanstalt","ddr","bnd","petitionsausschusses","werften","petitionsausschuss","bürgerbeauftragte","unternehmen","is","bvs","eingaben","stammzellen","embryonen","embryonen","embryonen","petitionen","klonen","petition","klonens","petition","embryonalen","waffenembargos","nachbarländern","aufhebung","gremium","genitalverstümmelung","leukämie","embryonalen","arzt","ärzte","patientinnen","patienten","leben","access","patienten","zwangsbehandlung","betreuungsbehörde","wirkstoff","suizid","tod","ärzte","menschen","hinterbliebenen","drogenpolitik","ärzte","ärztinnen","ärzte","entscheidung","werbeverbot","impfen","menschen","herbst"
"5","westdeutschland","politik","zone","zone","aufbauplan","gesamtdeutsche","brandt","wehner","rundfunk","sowjetzone","fernsehen","programm","fernsehen","programm","träger","filme","freien","besold","wettbewerb","selbstkontrolle","rundfunkanstalten","wilhelmi","rundfunk","prüfer","kommission","schulzevorberg","fernsehen","and","gewerkschaften","unternehmen","guatemala","ruf","rundfunk","einigungsstelle","arbeitnehmer","angestellten","aktiengesellschaft","filme","franke","zeitungen","gewerkschaften","unternehmen","presse","wahlrecht","schoeler","standort","verfassungsschutzbericht","gemeinschaft","parlament","komitee","parlament","cap","parlamentarischen","postverkehr","tourismus","eingaben","fremdenverkehrspolitik","bürger","untersuchungsausschuss","flick","petitionsausschusses","petitionsausschuss","petenten","untersuchungsausschuss","plenarsaals","document","petitionen","firmen","petitionsausschusses","untersuchungsausschusses","firmen","exporte","israel","eingaben","untersuchungsausschusses","dienste","blutprodukte","untersuchungsausschusses","blut","petenten","bremen","bvs","petenten","bury","ick","ag","petenten","petenten","diagnostik","menschlichen","import","embryonen","verbieten","china","ethik","enquetekommission","stammzellforschung","organspende","überwunden","professor","ethischen","menschen","krebs","stammzelllinien","krankheiten","beratung","patientenrechte","ärzte","eltern","menschen","cannabis","eingriff","substitutionsbehandlung","beratung","menschen","palliativversorgung","sterbehilfe","zigaretten","studien","legalisierung","studien","entscheidung","entscheidung","geimpft","krankheit","gentechnik","selbstbestimmung","leben"
"6","berliner","wiedervereinigung","sowjetischen","deutschlands","zone","viermächtestatus","zone","mannheim","programm","werbung","programm","heck","rundfunkanstalten","rundfunks","gesellschaft","staat","selbstverwaltung","junktim","fernsehen","preisbindung","deutschlandfunk","aktiengesellschaft","anstalten","patentamts","films","fernsehen","hersteller","unternehmen","werbung","industrie","rosenthal","gewerkschaften","sozialenquete","leitenden","absatzförderung","betriebsverfassungsgesetz","indischen","glotz","leitenden","mitbestimmung","neckarsulm","arbeitsdirektor","kunst","parlament","vds","wahlen","nachlass","europa","europäische","sport","präsidenten","parlament","beratungsstelle","ddr","pflege","petitionsausschusses","fremdenverkehrs","berger","flick","akten","formaldehyd","petitionen","flick","oberjettenberg","petenten","hdw","untersuchungsausschuss","jordanien","petitionen","waffen","südafrika","irak","untersuchungsausschuss","schiff","kommerzielle","schönberg","blutprodukten","schalckgolodkowski","such","pyrethroide","verbund","pkk","bürgerbeauftragten","transparenz","petitionsausschuss","kontrolle","petition","menschliche","embryo","embryonalen","adulten","menschenwürde","embryonen","petenten","medizin","organe","embryonen","taiwan","unberechtigt","monopolverwaltung","enquetekommission","nichtraucherschutz","erkranken","embryonen","passivrauchen","menschen","ärzte","ethische","stammzellen","drogen","krankheiten","kindes","psychische","frauen","leben","cannabis","suizid","ärzte","patientenverfügung","freiheitsentziehende","schwangerschaftsabbruch","organe","ärztinnen","impfung","leben","impfung","tod","impfen"
"7","deutsche","deutschlands","wahlen","senat","brandt","drüben","sitz","sitz","anstalten","zonengrenze","berlins","anstalt","anstalten","fernsehprogramm","verbände","fernsehen","gemeinden","fernsehens","urheberrechts","fernsehen","ard","hauptversammlung","stiftung","hersteller","säure","meinungsfreiheit","springer","betriebsverfassungsgesetz","journalisten","arbeitnehmer","eigentum","betriebsräte","betrieb","arbeitgeber","verwertungsgesellschaften","gewollt","stein","unterhaltung","angestellten","fusionskontrolle","vw","franke","gewerkschaften","bundeslisten","jusohochschulgruppen","parlament","adenauers","parlaments","sportbericht","sportler","sitzungsprotokoll","planung","rauschenbach","kontrollkommission","kriegsgräberfürsorge","kampagne","gebiete","faschismus","akten","petitionsausschuss","beschwerden","untersuchungsausschusses","petitionsausschusses","petitionen","petition","oberfinanzdirektion","anliegen","bundesregierung","eingaben","hdw","petitionen","illegalen","bundesregierung","petitionsausschusses","schalckgolodkowski","akten","rüstungsexporte","petitionsausschuss","kontrollkommission","ddr","petitionen","kontrolle","petitionen","gres","un","unternehmen","bürger","petitionsausschusses","genetische","menschenwürde","petitionsausschuss","enquetekommission","embryonenschutzgesetz","petitionsausschusses","verbot","petitionsrecht","erfindungen","patienten","vielfältig","branntweinmonopol","ethische","selbstbestimmung","kikkstudie","krankheiten","befruchtung","betroffenen","arzt","ethikbeirates","präimplantationsdiagnostik","vernachlässigten","biobanken","gesetzentwurf","patienten","erkrankungen","tod","leben","palliativmedizin","arzt","ärztliche","tempel","schwangerschaftsabbrüche","ärzte","leben","menschen","geschlecht","impfungen","entscheidung","menschen"
"8","volkes","gesamtdeutsche","deutschlands","sowjets","überleitungsgesetzes","spaltung","gesamtdeutsche","sowjetisch","kühn","bundesgebiet","eid","rundfunkanstalten","zuständigkeit","anstalten","jugendhilfe","gesellschaft","filmproduktion","glaubens","presse","beyer","presse","publizität","gesellschaft","anmeldung","gesetz","konzentration","kommission","that","menne","bericht","vermögenspolitik","entwurf","katzer","betrieb","absatzfondsgesetzes","böhme","gibt","projektförderung","unternehmen","walz","tageszeitungen","montanmitbestimmung","künstlern","kandidaten","orientierung","kandidaten","enquetekommission","wahl","luftraum","olympische","rubrik","abgeordneten","parlamentarische","beschwerden","grenznahen","berlin","müntefering","ausschuss","firma","nickels","plenum","krebserzeugend","brauchitsch","kirchholz","bundestages","unterlagen","segall","kreditanstalt","petenten","brasilien","bundesregierung","eingaben","illegalen","waffen","akten","kontrollkommission","bga","arbeit","kontrolle","ausschuss","mecklenburgvorpommern","eingaben","kontrolle","kodex","wi","cia","bürgerinnen","menschlichen","klonen","präimplantationsdiagnostik","menschlichen","renesse","stammzellen","rüstungsexportbericht","forschung","to","forscher","sterben","aufhebung","schmerzen","rauchverbot","rauchen","kinder","stichtag","rauchverbot","befruchtung","patient","arzt","medizin","forschung","medizinprodukte","jüdischen","substanzen","eingenommen","patienten","arzt","arzt","drogen","angehörigen","vorsorgevollmacht","drogen","leben","spender","impfen","verbot","impfpass","sterbehilfe","entscheidung"
"9","adenauer","sowjetischen","gesamtdeutsche","hauptstadt","hauptstadt","sowjetischen","hauptstadt","deutschlands","werbung","gesamtdeutsche","abwanderung","fernsehprogramm","bundesinnenminister","anstalt","selbstverwaltung","anstalten","staat","leistung","anstalten","medien","wettbewerb","preisbindung","warentest","prüfungsverfahren","zeitschrift","tankstellengewerbes","registrierpflicht","betriebsrat","vorstand","fernsehen","beteiligungslohn","betriebsverfassungsgesetzes","mitarbeiter","ruf","bildenden","ruf","planstellen","schwarzarbeit","montanmitbestimmung","künstlerischen","zeitungsverleger","künstler","eigentumspolitik","wahl","gewerkschaften","fdj","sozialistischen","wahlrecht","sportförderung","parlaments","parlaments","stunde","einsetzung","flucht","volksbundes","regenspurger","cap","aussiedler","gelände","untersuchungsausschuss","bürger","material","plenum","ausschuss","sitzordnung","ofd","untersuchungsausschüsse","petenten","rabta","südafrika","kiel","bundesregierung","kontrolle","bericht","mfs","bad","akten","bericht","pkk","untersuchungsausschusses","treuhandanstalt","werften","petitionsausschusses","unternehmensübernahmen","petitionsausschusses","mietverträge","ausschuss","patent","ethischen","lebens","menschen","embryo","ethikrat","robertkochinstitut","menschenwürde","tež","schweiz","volksrepublik","genehmigt","vielerlei","raucher","krankheit","kernkraftwerken","patienten","indikation","sterben","medizinischen","studien","menschen","betroffenen","organe","menschen","betreuung","danach","arzt","ärzte","menschen","alkohol","menschen","jugendschutz","menschen","jusos","menschen","impfungen","blutspende","geimpft","selbsttötung","ärztinnen"
"10","deutschlands","volk","deutschen","gesamtdeutsche","bundeszuschusses","zonengrenze","neumann","gesamtdeutsche","werbefernsehen","sed","politisch","rundfunk","rundfunks","fernsehens","kräfte","rundfunks","kommunale","reine","film","käufer","anstalt","aktionäre","rundfunkanstalten","unternehmen","rundfunk","verlage","werbung","publizität","satzung","ressorts","produktivkapital","betriebsverfassungsgesetz","sitze","gewerkschaften","gesellschaften","kollegen","bereit","verwaltungsrat","wahlverfahren","wirtschaftliche","stiftung","leitenden","künstlerischen","one","mitbestimmungsgesetzes","parlaments","europäischen","wahlkreise","maastricht","spiele","teilnahme","architektur","parlament","innerdeutschen","millionen","bürger","gaststättengewerbe","petenten","steuergeheimnis","abgeordneten","berger","petent","massenpetitionen","verfahren","bürger","firmen","beschwerden","petitionsausschuss","kontrolle","kiel","untersuchungsausschusses","petition","firmen","kontrolle","firmen","petitionen","export","mfs","aufklärung","eingaben","untersuchungsausschuss","petition","petitionsrecht","beteiligungen","nich","einfluss","jahresbericht","patentamtes","gauckbehörde","leben","petitionen","import","ethik","petitionsrecht","embryo","rüstungsgütern","grundlagenforschung","waffenembargo","spenden","dezidiert","regierung","engagement","ergebnisse","embryonale","entscheidung","leben","behandlung","fragestellungen","embryo","intersexualität","organspender","behandlung","gesundheit","psychischen","beihilfe","pille","selbstbestimmung","werbung","patienten","konsumenten","schwöre","werbung","frauen","impfpflicht","entscheidung","drogen","bundesverfassungsgericht","impfungen"
"11","amerikanischen","deutschen","freiheit","wiedervereinigung","senat","ddr","rundfunkanstalten","besetzten","bundesgebiet","sowjetischen","bundesgebiet","bundesinnenminister","programm","bundesinnenminister","wohlfahrtspflege","berlin","träger","offenen","zeitungen","schweigen","blumenfeld","urheber","institut","reischl","zeitungen","verleger","unternehmen","aufsichtsrat","fusionskontrolle","herr","spreti","regierungsentwurf","arbeitnehmern","betriebsrates","gesetz","freien","gestaffelt","wirtschaftsförderungsgesetz","bismarck","kunst","mitbestimmung","angestellten","zeitungen","wahlen","studentenschaften","wahl","staatssekretär","parteien","gemeinschaft","collet","beschlüsse","mitglied","bundes","interparlamentarischen","mitglied","gruppierungen","hotel","petitionsausschusses","untersuchungsausschusses","parlament","basf","schichtarbeit","untersuchungsausschusses","gerichtsverfahren","untersuchungsausschuss","untersuchungsausschusses","bürger","wiederaufbau","alkem","stoltenberg","staatsanwaltschaft","untersuchungsausschuss","rüstungsexport","bundesregierung","bnd","petenten","bachmaier","ausschuss","öffentlichkeit","schmidbauer","petenten","dienste","petitionsrechts","aufsichtsrat","eingaben","siegmar","petitionsrecht","ethischen","genetischen","embryo","entscheidung","mensch","behandlung","beschwerden","anlage","za","software","enquetekommission","medizin","jüngste","werbung","patientenverfügungen","nähe","verschiebung","beratung","lebendspende","registrierung","ethischen","behinderung","antrag","entscheidungslösung","spielerkarte","ärzte","rezeptpflicht","lebens","selbsttötung","zigaretten","prävention","demenz","menschen","drogenpolitik","spender","organspender","tod","konversionsbehandlungen","operationen","hilfe","vorsorge"
"12","demokratischen","spaltung","besetzten","stadt","stadt","wiedervereinigung","langwelle","berlins","iv","lemmer","arbeitsmarktlage","programme","welle","bund","sozialhilfe","films","berlin","mitglieder","verbrauchers","hersteller","verbraucher","konzern","verbraucher","verschobenen","unternehmen","tageszeitungen","rundfunk","umwandlung","gesellen","vogt","zwangssparen","katzer","gewerkschaften","rechte","amp","arbeitgeberverbände","übersendung","flotte","kapital","medienpolitik","ausländischer","mitbestimmungsgesetz","kartellnovelle","abgeordneten","dkp","beschwerdestelle","rhöndorf","direktwahl","tillmann","geschäftsordnungsausschuss","arbeit","bundestag","nachrichtendienste","reise","angelegenheit","ddr","freizeit","amtlichen","anliegen","informationen","untersuchungsausschuss","einsetzung","eingaben","präsidentin","eingaben","ikl","parlaments","export","brasilien","staatsanwaltschaft","lieferung","petitionsausschusses","rüstungsexporte","illegalen","zeugen","aufklärung","firmen","schily","schmidbauer","arbeit","hennemann","maritimen","beschwerden","petition","ook","kontrollkommission","arbeit","patente","homepage","gentechnik","mensch","menschlichen","klonens","erreger","ethisch","rüstungsexportbericht","ethischen","waffen","politischem","arzt","lebenswissenschaften","willen","rettungsassistent","leben","medizinischen","entscheidung","patientenrechtegesetz","gesundheit","zulassung","prävention","organspendeausweis","ärztlichen","krankheiten","krankheiten","palliativmedizin","hilfe","gesetzentwurf","cannabis","nichteinwilligungsfähigen","görlitzer","ärztinnen","selbstbestimmung","downsyndrom","folter","bundesärztekammer","legalisierung","suizidhilfe","ärzte"
"13","bevölkerung","sowjetzone","regierung","einheit","zweckbindung","deutschlands","chefredaktion","wyschinski","fernsehens","reiseverkehrs","sender","aufsichtsgremien","kirchen","gesellschaft","kirche","mauer","films","winter","verbraucheraufklärung","angaben","welle","reischl","rundfunks","patentamtes","mitbestimmung","journalisten","pressekonzentration","betrieb","pressekommission","journalisten","arbeitnehmer","liehr","schriftsteller","regierungsentwurf","co","leitenden","opfer","fernsehen","stauffenberg","meinungsvielfalt","unternehmens","rappe","pressekonzentration","bundestagswahlrechts","beschwerdestelle","zusammensetzung","wahlzeit","rat","griechischen","sommerspielen","demokratie","hauptstadt","abgeordneten","behinderungen","seoul","wimmer","reisen","verschwundenen","petitionsausschusses","untersuchungsausschusses","massenpetitionen","petitionsausschusses","flickkonzern","untersuchungsausschusses","arbeit","material","untersuchungsausschussgesetz","untersuchungsausschuss","hessischen","bohl","libyen","möllemann","pkk","firma","bundesregierung","untersuchungsausschuss","firma","petitionen","parlamentarischen","beschwerden","ringstorff","schiffbau","nickels","finanzmarktförderungsgesetz","untersuchungsausschuss","dienste","untersuchungsausschuss","petition","fortpflanzungsmedizin","petitionsausschuss","leben","stammzelllinien","verbot","bürgerinnen","embryonen","organspende","patentrecht","patientenverfügungen","freibetrag","tod","entscheidungen","ehrenamtlich","krankheit","sterben","medizinische","tests","klinischen","menschen","gesundheitsforschung","behinderung","medizinische","patienten","betroffenen","apotheke","hilfe","patienten","patienten","rauchens","zwangsmassnahmen","park","arzt","geschlecht","organe","organe","medizinischen","gesundheit","lebens","überlastung"
"14","regierung","bevölkerung","kalten","spaltung","landeshaushalt","gefangenen","friedensburg","hauptstadt","rundfunks","sowjetzonenregierung","statt","zuschauer","grundgesetzes","blachstein","einrichtungen","anstalt","berliner","umgestaltet","rundfunk","filmwirtschaft","werbesendungen","aktiengesellschaften","gesellschaften","patentanmeldungen","filme","film","informationsfreiheit","urheber","stiftung","ziffer","april","betriebsverfassung","arbeitgeber","betriebsverfassungsgesetz","ernährungswirtschaft","sprachen","überwachen","dgb","arbeitnehmern","verleger","verlage","blüm","mitbestimmung","wahlsystem","mitbestimmung","lenz","europawahlordnung","christdemokraten","sports","europäische","büro","neubauten","ddr","innerdeutsche","gräbern","reuter","vielfach","meininghaus","niedersächsischen","material","erledigt","überweisen","schily","frau","berger","petenten","petent","lieferung","gansel","libyen","mbb","waffen","firma","irak","schweigepflicht","behörde","schmidbauer","petenten","marschewski","petition","petitionsausschuss","petitionsausschusses","kollege","kontrolle","bvs","vizepräsident","überwiesen","zellen","medikament","kind","stammzelllinien","indikation","gesetzesfolgenabschätzung","kriegswaffen","therapeutischen","ethischen","stammzellgesetz","pid","ulla","wohl","gastronomie","rauchverbot","rettungsdienst","lebens","sterben","künstlichen","klinische","krankheit","krankheiten","studien","tod","medizinprodukten","psychischen","gesundheit","ebola","hospiz","rauchen","sterben","leid","zeulner","schwarzmarkt","schwangerschaftsabbrüche","beratung","leben","tabakwerbung","körper","autonomie","freiheit"
"15","republik","molotow","republik","mitteldeutschland","bundeszuschuss","sowjetisch","sender","stimmrecht","kulturhoheit","berlins","ritter","zweite","blachstein","kirchen","evangelischen","staates","westdeutsche","hineingenommen","verbraucherpolitik","films","öffentlichrechtlichen","bestimmung","film","patentanwälte","patentamt","filme","unfälle","to","vollversammlung","sitzung","unternehmen","parteitag","schober","arbeitnehmern","verwertungsgesellschaft","tanzen","rechtsform","deutschen","arendt","hilfsmassnahmen","unternehmen","presse","pressevielfalt","wahlgesetz","beschwerden","mandat","rollbretter","einigung","erweiterung","parlamentsreform","europäische","parlaments","jahn","anamur","walfangkommission","eingeholt","anamur","jahresbericht","esterwegen","öffentlichkeit","ministerien","lärmschutzzone","berger","petent","ausschuss","untersuchungsauftrag","untersuchungsausschusses","zusatzprotokolle","ermittlungen","petition","irak","petenten","kittelmann","dienste","waffen","geheimdienste","pkk","mitarbeiter","bundesnachrichtendienst","pyrethroiden","schiffbau","petenten","schulze","übernahmekodex","nu","mosdorf","nickels","eingaben","hüppe","enquêtekommission","lebens","embryonalen","ethischen","rüstungsexportpolitik","therapeutische","klinische","menschlichen","rüstungsexporte","ende","später","enquetekommissionen","wille","ursache","genitalverstümmelung","leben","behandlung","gesundheit","deutschen","paare","gesundheit","ethikrat","spielverordnung","substitutionstherapie","sachverständigenausschuss","angst","gesetzentwurf","leben","krankheit","opferentschädigungsgesetz","suizidprävention","alkohol","organspenden","frage","widerspruchsregelung","betroffenen","selbstbestimmung","impfpass","nebenwirkungen"
"16","wahlen","notopfer","demokratischen","sowjetisch","deutschlands","machthaber","stimmrecht","gefangenen","freitag","spaltung","gesamtdeutsche","welle","bund","werbung","kirchen","freies","film","käseverordnung","beyer","funk","preisbindung","unternehmens","deutschlandfunks","patent","weines","michelkommission","zeitschriften","grossunternehmen","eichgesetz","rundfunk","schichten","unternehmen","betriebsverfassungsgesetzes","unternehmen","aufsichtsrat","fernsehanstalten","lesung","querelles","cdu","pressekonzentration","meinungsvielfalt","kunst","klein","europawahl","basisgruppen","schlussbericht","wahltag","bürger","sportkonferenz","stunde","sport","diäten","antrag","pershing","innerdeutschen","ausschuss","angebote","oft","transitverkehr","vorgänge","vertriebenenverbände","rundfunkrat","ausschuss","göhner","parlament","kiel","parlament","beteiligung","bundesregierung","auswärtigen","petenten","illegale","kanzleramt","vorgänge","bülow","antiquitäten","kontrolle","petitionsausschusses","behörden","jahresbericht","wurde","mitarbeiter","treuhandanstalt","bank","wat","gmünd","erwägung","patentierung","enquetekommission","forscher","ethisch","parlament","menschlichen","krankheit","konvention","biopatentrichtlinie","patente","embargo","modell","meint","parlament","ärzte","zufall","patientenverfügung","künstlichen","krankheit","patientenberatung","abgeordneten","entscheidung","intersexuellen","angehörigen","religionsfreiheit","drogenpolitik","betroffenen","schmerzen","danach","jugendliche","ärzten","hinterbliebene","schwarzmarkt","ungeborenen","arzt","informationen","spenden","behandlungen","schwarzmarkt","beratung","omikron"
"17","einheit","deutsche","brandt","bundesrepublik","sowjetischen","notopfer","bonn","drüben","gesamtdeutsche","sowjetisch","westen","grundgesetzes","macht","vorlagen","partnerschaft","filmproduktion","programms","anzuhören","ware","aufklärung","arndt","aktiengesetz","sender","patenterteilungsverfahrens","schwefliger","moersch","fernsehens","umwandlungen","irland","breidbach","zulagensystem","arbeitnehmern","künstler","betriebsverfassung","künstlern","erwähnten","abenteuer","herr","unternehmens","filme","baum","arbeitnehmern","rappe","unternehmen","postgilde","culham","sozialistische","wahlkreiseinteilung","mitglieder","olympiade","alterspräsidenten","vorlesung","nachrichtendienstlicher","demokratie","interparlamentarischen","petent","dzt","rumänien","petitionsrecht","selbstverständnis","eingaben","rumpf","flickkonzerns","plenum","neubau","südafrika","bundestages","geschäft","haussmann","kontrolle","rabta","gansel","staatsanwaltschaft","export","staatsanwaltschaft","mfs","öffentlichkeit","akten","blutprodukte","wurde","untersuchungsausschusses","kontrollkommission","nolting","petenten","ausschuss","unternehmerische","wenden","menschen","paare","menschliches","embryo","petenten","mensch","forschung","stammzellen","exporte","adulten","menschen","genauso","taiwan","ethik","ehrenamt","krankheiten","menschen","behandlung","genitalverstümmelung","ärztinnen","tod","stammzellforschung","leben","organ","betreuungsrecht","substitution","lng","selbstbestimmung","palliativmedizin","hospiz","gesundheit","betreuer","substanzen","eingriff","rauchen","organspenden","spender","contergan","medizin","suizidprävention","impfregister"
