"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","abgeordneten","sitzung","immunität","geschäftsordnung","geschäftsordnung","geschäftsordnung","uhr","sonntag","geschäftsordnung","uhr","korruption","schuldscheindarlehen","reichsbank","reichsbank","reichsbank","beamten","beamten","badenwürttemberg","beamten","badenwürttemberg","innenausschuß","dienst","länder","beamten","beamten","benda","beamten","beamten","vergütungsgruppe","beamten","genscher","benda","beamten","genscher","genscher","genscher","genscher","innern","innern","sport","innern","dienst","öffentlichen","maihofer","beamten","bundeskriminalamt","verfassungsschutz","beamten","bundesinnenminister","beamten","datenschutz","nebentätigkeit","asylbewerber","ausländer","ausländer","bundesinnenminister","bundesergänzungszuweisungen","volkszählung","bundesinnenminister","datenschutz","volkszählung","dienst","polizei","auswärtigen","volkszählung","datenschutz","datenschutz","sport","ausländer","ausländer","juden","sport","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","kanther","ausländer","kanther","ausländer","staatsangehörigkeit","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","marschewski","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","brandenburger","staatsangehörigkeit","sicherheit","sicherheit","integration","bundespolizei","integration","datenschutz","datenschutz","daten","integration","flüchtlinge","staatsangehörigkeit","datenschutz","datenschutz","deutschland","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","migration","migration","migration","grenze","deutschland","deutschland","menschen"
"2","sitzung","abgeordneten","abgeordneten","uhr","uhr","sitzung","einzelhandel","uhr","minuten","tagesordnung","arbeitszeit","börsenumsatzsteuer","beamten","anteilseigner","beamtin","weihnachtsgeld","dienst","baden","grundgesetzes","baden","beamten","beamten","bundeskriminalamt","dienst","dienst","dienstes","dienst","verbrechensbekämpfung","beamten","dienst","beamten","verbrechensbekämpfung","dienstes","innern","innern","mandel","innern","genscher","genscher","sports","bundesgrenzschutz","sport","dienst","verfassungsschutz","nachrichtendienste","höcherl","dienst","sicherheitsbehörden","baum","verfassungsschutzbericht","bundesbeauftragten","asylbewerber","kontrollkommission","integration","asylbewerber","innenpolitik","finanzausgleich","bundesinnenminister","film","kultur","datenschutz","auswärtigen","daten","dienst","verfassungsschutz","volkszählung","datenschutzbeauftragten","datenschutz","schäuble","verfassungsschutz","schäuble","akten","akten","schengener","flüchtlinge","ausländer","ausländer","ausländern","ausländer","innenminister","verwaltung","ausländer","flüchtlinge","kanther","ausländer","integration","zuwanderung","asyl","npd","zuwanderung","schily","sicherheit","schily","zuwanderungsgesetz","bundesinnenminister","zuwanderung","bundesinnenminister","schily","schily","schäuble","terrorismus","schäuble","schäuble","datenschutz","daten","daten","datenschutz","daten","zuwanderung","daten","daten","flüchtlinge","flüchtlinge","snowden","flüchtlingen","flüchtlingen","menschen","integration","integration","menschen","familiennachzug","migranten","staatsangehörigkeit","flüchtlinge","integration","griechenland","migration","geflüchteten"
"3","geschäftsordnung","uhr","sitzung","sitzung","tagesordnung","uhr","geschäftsordnung","stunden","uhr","sitzung","dienst","dehler","anteilseigner","beamten","abfindung","vorschuß","harmonisierungsnovelle","landes","architekten","art","rechtsausschuß","gräber","beamten","dienstes","gscheidle","innern","brück","innenausschuß","ii","dienstes","innern","innern","genscher","dorn","bundesgrenzschutzes","innern","dkp","sports","dienstes","innern","bundesgrenzschutzes","oldenburg","dienstes","traube","spartakus","innern","beamten","datenschutz","beamten","polizei","datenschutzes","beamten","bundesamt","ausländischen","datenschutz","beamten","länder","innenminister","ausländer","kunst","daten","dienstes","bürger","innenminister","daten","center","zimmermann","zimmermann","beamten","schäuble","sport","köppe","stasi","asylrecht","asylrecht","asylrecht","bürgerkriegsflüchtlinge","staatsangehörigkeit","staatsangehörigkeit","ausländer","kanther","flüchtlinge","marschewski","ausländer","aussiedler","staatsbürgerschaft","ausländer","marschewski","zuwanderung","integration","sicherheit","schily","bosbach","ausländer","sicherheit","bundesinnenminister","sicherheit","tor","bundesinnenminister","kontrollgremium","sicherheitsbehörden","flüchtlinge","integration","daten","schäuble","polizei","integration","bundespolizei","daten","integration","integration","residenzpflicht","integration","daten","deutschland","menschen","integration","menschen","menschen","zuwanderung","migration","pakt","flüchtlinge","migranten","griechenland","griechischen","migranten","ukraine"
"4","tagesordnung","geschäftsordnung","uhr","bundestages","sitzung","ältestenrat","sitzung","sitzung","redezeit","geschäftsordnung","öffentlichen","bundesbank","innenausschuß","dienst","wyler","dienstes","dienstes","bevölkerung","grundgesetz","grundgesetzes","beamte","besoldung","gscheidle","öffentlichen","innenausschuß","polizei","neugliederung","dienstes","besoldungsgruppe","öffentlichen","beamte","genscher","besoldung","innenausschuß","bundesgrenzschutz","polizei","dienst","bund","dienst","dienst","polizei","maihofer","mandat","polizei","shb","maihofer","öffentlichen","bundesinnenminister","innern","bundesgrenzschutz","spranger","dienst","asylrecht","ausländern","asylverfahren","dienst","finanzausgleichs","daten","zimmermann","personalausweis","bürger","zimmermann","datenschutz","dienstes","bürger","datenschutzbeauftragten","baumann","innern","staatsangehörigkeit","ausländern","innern","unterlagen","asylbewerber","asylverfahren","asyl","asyl","asylbewerber","einbürgerung","abschiebung","flüchtlinge","staatsangehörigkeit","innenminister","innenminister","staatsbürgerschaft","zuwanderung","schily","tampere","card","marschewski","flüchtlinge","bundesinnenminister","beckstein","sicherheit","integration","kaplan","schily","integration","sicherheitsbehörden","untersuchungsausschuss","untersuchungsausschuss","antiterrordatei","innenminister","sicherheit","terrorismus","integration","sicherheit","vorratsdatenspeicherung","datenschutz","deutschland","sicherheitsbehörden","zuwanderung","sicherheitsbehörden","zuwanderer","nsa","staatsangehörigkeit","deutschland","flüchtlingen","flüchtlingen","flüchtlingen","afghanistan","menschen","flüchtlinge","integration","menschen","deutschland","migration","asyl","polen"
"5","immunität","bundestages","genehmigung","abgeordneten","abgeordneten","tagesordnung","samstagnachmittag","rasner","grundgesetzergänzung","damen","bundesbeamtengesetzes","kapitalverkehrsteuergesetzes","kühlthau","kühlthau","kühlthau","dienst","gscheidle","land","besoldung","beamten","bundesverfassungsgericht","öffentlichen","dienst","länder","dienstes","dienst","schmittvockenhausen","polizei","besoldungsneuregelungsgesetz","genscher","öffentlichen","bundeskriminalamt","beamte","länder","polizei","besoldungsvereinheitlichungs","beamten","sportförderung","dkp","maihofer","vereinigungen","öffentlichen","beamten","terrorismus","terroristen","polizei","dregger","baum","bgs","bundesinnenminister","innern","innern","asyl","ausländerpolitik","einbürgerung","dienstes","ergänzungszuweisungen","datenschutz","innenminister","ausländer","schäfer","verfassungsschutz","verfassungsschutz","polizei","sportler","zimmermann","daten","ausländer","schengener","innern","akten","schäuble","aufarbeitung","asyl","ausländer","staatsangehörigkeit","abschiebung","ausländerbeauftragten","flüchtlinge","sonntagwolgast","reform","sonntagwolgast","kanther","flüchtlinge","integration","ausländer","bundesinnenminister","ausländer","dass","schily","marschewski","inneren","zuwanderungsgesetz","schily","bundesgrenzschutz","flughafen","terrorismus","strobl","integration","terrorismus","datei","winkler","bundesinnenminister","schäuble","bka","grundrechte","abkommen","staatsangehörigkeit","datenschutz","migranten","deutschland","asylbewerber","aufenthaltsgesetz","vorratsdatenspeicherung","menschen","asylbewerber","deutschland","herkunftsstaaten","land","deutschland","bamf","bamf","menschen","deutschland","flüchtlinge","moria","ausländerzentralregister","registrierung"
"6","antrag","immunität","dr","finanzvorlagen","sonntage","petitionen","zeitungen","tagesordnung","tagesordnung","beamten","beamten","finanzausschuß","anhebung","liquidation","dienst","weihnachtsgeldes","besoldung","neugliederung","architekt","rechtsausschuß","weihnachtsgeldes","grundgesetzes","innenausschuß","innenausschuß","beamtenschaft","brennbuch","stufe","schmittvockenhausen","schmittvockenhausen","wagner","dienstes","sofortprogramm","wagner","minister","sicherheit","grundordnung","länder","länder","polizei","bund","beamten","schaumburglippe","gehobenen","terroristen","dienst","bundesinnenminister","verfassungstreue","polizei","datenschutz","asylbewerber","tätigkeitsbericht","bundesinnenminister","untersuchungsausschuß","türken","ausländerfeindlichkeit","ausländer","horizontalen","flüchtlingskommissar","volkszählung","ausweis","dienstes","beamten","sicherheit","auswärtige","zimmermann","daten","ausländer","innenminister","polizei","datenschutz","dienst","gerster","ausländer","flüchtlinge","asylrechts","flüchtlinge","ausländerinnen","polizei","innenminister","verwaltung","sonntagwolgast","schmalzjacobsen","staatsangehörigkeit","rassismus","innenminister","doppelte","flüchtlinge","rüttgers","innenminister","ausländischer","innenminister","integration","integration","staatsangehörigkeit","innenminister","integration","npd","bundesinnenminister","innenminister","innenminister","ströbele","sicherheit","sicherheitsbehörden","integrationspolitik","sicherheit","kontrolle","griechenland","onlinedurchsuchung","flüchtlingen","sicherheit","migration","stiftung","datenschutz","staatsbürgerschaft","asylbewerber","asyl","migration","einstufung","staatsbürgerschaft","familiennachzug","land","menschen","deutschland","miri","migranten","migranten","migrationspolitik","flüchtlinge"
"7","uhr","tagesordnung","tagesordnung","deckung","sonntag","rasner","meyerronnenberg","arbeitswoche","präsidenten","zollverwaltung","schmitt","finanzausschusses","dienst","ehemaligen","matzner","zahlung","versorgungsempfänger","kopf","beamtenrechts","neugliederung","dienst","innenausschuß","ländern","beamte","ländern","angestellten","innenausschuß","dienst","beamte","beamte","dorn","polizei","gehobenen","nienberge","länder","dkp","polizei","sport","bundes","öffentlichen","wahlrecht","dkp","angehörigen","bundesinnenminister","innern","innenminister","bewerber","innenminister","spranger","mad","sicherheitsbehörden","beamte","flüchtlinge","baum","asylrecht","beamte","ausländer","ausländer","ausländerpolitik","kulturpolitik","beamten","volkszählung","zevis","zimmermann","schmidtbott","document","datenverarbeitung","volkszählung","sport","gerster","daten","verfassungsschutz","gerster","zuwanderung","zuwanderung","schengener","jelpke","schmalzjacobsen","ausländergesetzes","asylbewerber","marschewski","marschewski","integration","integration","spätaussiedler","zuwanderung","innenminister","deutschland","gewalt","rechtsextremismus","integration","vereinigungen","strobl","terrorismus","umzug","innenminister","zuwanderungsgesetz","terrorismus","stadler","nachrichtendienste","polizei","migration","innenminister","migranten","innenminister","integration","sicherheit","migranten","zwangsheirat","deutschland","flüchtlinge","integration","staatsangehörigkeit","staatsangehörigkeit","optionspflicht","bnd","asylverfahren","sicheren","deutschland","abschiebungen","zuwanderung","familiennachzug","asylbewerber","staatsangehörigkeit","griechischen","flüchtlinge","staatsbürgerschaft","migration"
"8","ausschuß","genehmigung","geschäftsordnung","tagesordnung","bundestages","eröffnet","samstag","arbeitszeit","sitzung","fraktion","bundesverwaltung","februar","iv","einfachen","beamten","ortsklasse","brück","badischen","landes","volksbegehren","höcherl","beamtenbesoldung","brück","berufsunteroffiziere","besoldung","beamte","verbesserungen","besoldungsgruppe","tarifverhandlungen","schäfer","ministerium","beamten","dienst","gewaltverbrechen","gewalt","länder","bund","minister","beamten","bewerber","terroristischen","bewerber","abgeordneten","innenminister","teilzeitbeschäftigung","schleyer","dkp","innenausschuß","bundesgrenzschutzes","spranger","polizei","baum","untersuchungsausschusses","asylbewerber","ausländern","hirsch","förderabgabe","bericht","datenschutz","künstler","zimmermann","bundesinnenminister","hirsch","kulturarbeit","hirsch","hirsch","wahlrecht","polizei","innern","verfassungsschutzes","dienste","stasi","ausländerfeindlichkeit","ausländer","politisch","zuwanderung","innenminister","ausländergesetz","asylbewerber","einbürgerung","öffentlichen","ausländern","özdemir","bundesinnenminister","einwanderungsland","staatsangehörigkeitsrecht","rüttgers","green","schily","gewalt","ausländer","terroristische","terrorismus","deutschland","digitalfunk","daten","koschyk","datenschutz","datei","elmasri","bnd","pass","integrationsplan","zuwanderung","terrorismus","europol","flüchtlinge","integrationskurse","veit","flüchtlinge","mayer","deutschland","flüchtlingen","deutschland","migration","mayer","asyl","land","abschiebungen","einwanderungsgesetz","integration","seehofer","asyl","heimat","menschen","inseln","menschen","geflüchtete"
"9","ausschusses","abstimmung","bundestages","antrag","übergang","bundestages","angestellten","geschäftsordnung","begrenzung","woche","bediensteten","schuldscheine","tarifklasse","vermögensauseinandersetzung","liquidation","bundesbesoldungsgesetzes","bundesbesoldungsgesetzes","rechtsausschuß","gscheidle","schäfer","dienstes","dienstes","huyn","besoldung","miessner","bundesgrenzschutz","volksbegehren","besoldungsneuregelungsgesetz","amtsbezeichnung","antrag","abteilung","dorn","richterbesoldung","ländern","innenminister","innere","sicherheit","baum","länder","bundesinnenminister","länder","niedersachsen","innenausschuß","wohnung","untersuchungsausschuß","terrorismus","grundordnung","datenschutzes","bundesgrenzschutz","daten","bundesbeauftragte","polizei","verfolgung","gerster","asyl","asylrechts","zimmermann","innenausschuß","filme","hirsch","mikrozensus","polizei","innenausschuß","kulturpolitik","gesetze","speicherung","verfassungsschutz","akten","penner","daten","hirsch","aufarbeitung","köppe","genfer","seiters","asylrechts","ulla","bgs","innern","ausländergesetzes","schmalzjacobsen","cornelie","staatsbürgerschaft","sonntagwolgast","marschewski","kinder","integration","schily","bundesinnenminister","deutschland","bosbach","polizei","bundesinnenminister","grindel","integration","luftsicherheitsgesetz","sicherheitsbehörden","stadler","beweisaufnahme","bundesinnenminister","geheimdienste","bundesinnenminister","polizei","innenminister","migranten","schäuble","innenminister","zuwanderung","vorratsdatenspeicherung","datenschutz","datenschutzes","bundespolizei","daten","edward","beck","einwanderung","kommunen","innenminister","staatsangehörigkeit","einwanderung","migranten","land","einwanderung","abschiebung","grenzen","menschen","schutz","integration"
"10","punkt","drucksache","strafverfahren","finanzvorlage","petitionen","herren","sonntag","sonntagsarbeit","hauses","heute","stunden","geschäfte","mai","innenausschuß","lindenberg","überleitung","bundesinnenminister","entscheidung","badenwürttemberg","grundgesetzänderung","badenwürttemberg","badenwürttemberg","besoldungsreform","jahn","länder","gscheidle","besoldungsneuregelungsgesetzes","dorn","angestellten","innern","innenministerium","kriminalpolizei","laufbahn","bundeskriminalamt","beamten","bundesregierung","verfassungsschutz","bundes","bundesinnenminister","polizei","vereinigung","grundordnung","beamte","dienst","mitglieder","spranger","kommunisten","beamte","daten","datenschutzes","dienstes","ausländer","parlamentarische","dregger","schöfberger","innenminister","bund","hohen","ausländischen","fälschungssicheren","innenausschuß","tiedge","zimmermann","volkszählung","boykott","datenschutzbeauftragte","bundesdatenschutzbeauftragten","waffenschmidt","einbürgerung","schengener","öffentlichen","sports","mitarbeiter","asylrechts","verfolgte","politisch","bgs","lebenden","schmalzjacobsen","schmalzjacobsen","integration","rückkehr","ausländern","rechtschreibung","flüchtlinge","bundesinnenminister","jelpke","dass","menschen","dass","verfassungsschutz","terrorismus","innern","beck","zuwanderungsgesetz","datenschutz","innenminister","befriedeten","visapolitik","integration","journalisten","innern","stokar","bka","flüchtlinge","sicherheitsbehörden","bürgerrechte","ausländer","wolff","onlinedurchsuchung","flughafenverfahren","daten","wolff","optionspflicht","asylbewerberleistungsgesetz","zuwanderung","kommen","asylverfahren","schutz","migration","subsidiär","flüchtlingen","zuwanderung","personen","migration","lesbos","ausländerzentralregisters","deutschland"
"11","dr","schließe","ausschusses","immunität","antrag","damen","verbraucher","stundenwoche","herren","gesetz","kabinett","täuschung","innenausschusses","dienstes","beschluß","weihnachten","bundesbeamten","beamten","bundesverfassungsgericht","verfassungsänderung","weihnachtszuwendungen","rechtsausschuß","besoldungsordnung","fortbildung","beamte","beamten","öffentlichen","öffentlichen","volksentscheid","besoldungsrückstandes","dienst","dienst","öffentlichen","öffentlichen","bundesinnenminister","sicherheit","bundes","dienstes","organisationen","dkp","bundes","innern","sonderausschuß","innern","maihofer","bund","regelanfrage","sicherheit","innenausschuß","baum","bundesinnenminister","öffentlichen","zirndorf","spranger","länder","ausländerpolitik","bremen","zimmermann","beamten","ausweises","datenschutzbeauftragten","datenschutz","dienst","hirsch","dkp","innern","polizei","daten","datenschutz","hirsch","innenausschuß","staatssicherheit","bundesinnenminister","flüchtlingskonvention","asylverfahren","verfolgte","ausländergesetzes","staatsbürgerschaft","schengener","asylrecht","ausländern","integration","bürgerkriegsflüchtlinge","menschen","härte","einbürgerung","flüchtlingen","menschen","extremismus","familienbericht","zuwanderungsgesetz","uhl","deutschland","kemper","stokar","kontrollen","polizei","neonazis","koschyk","stadler","schäuble","datenschutz","inneren","winkler","staatsangehörigkeit","thw","piltz","deutschland","integration","innenminister","stiftung","innenminister","bleiberechtsregelung","usa","asyl","nsa","maizière","asyl","migration","flüchtlingen","asylverfahren","deutschland","abschiebung","seehofer","inseln","fachkräfteeinwanderungsgesetz","flüchtlinge","aufnahme"
"12","bundestages","schreiben","morgen","minuten","genehmigung","beratung","ladenschluß","atomgesetzes","sonnabend","minuten","eilers","neuburger","beamtenbesoldung","seume","überleitung","versorgungsempfänger","einfachen","grundgesetzes","art","abstimmung","parteiengesetz","ländern","steuerschwachen","überleitung","brück","ämter","dienstes","kriminalpolizei","bat","berger","ruhestand","öffentlichen","innern","dienstes","innere","öffentlichen","beamte","dienst","sicherheit","länder","aktivitäten","verfassungstreue","entschädigung","dienstes","terrorismus","sicherheit","dienstes","innern","statistik","bundesgrenzschutzes","datenschutzbeauftragten","asylrecht","fellner","datenschutz","integration","innern","finanzkraft","kommissar","kunst","zimmermann","volkszählungsurteil","auswärtige","ströbele","daten","waffenschmidt","verfassungsschutz","bundesinnenminister","datenschutzbeauftragten","ausländern","gesetz","sportstätten","dienst","schäuble","abkommen","asylbewerbern","einbürgerung","asylverfahren","ulla","sonntagwolgast","ausländern","flüchtlinge","ausländergesetzes","sonntagwolgast","bgs","ausländern","gesellschaft","menschen","flüchtlinge","polizei","ausländer","innere","deutschland","innenminister","strobl","zuwanderung","burgbacher","stokar","polizei","visa","innern","integration","lanka","terrorismus","böhmer","zuwanderung","terrorismus","swiftabkommen","deutsch","griechenland","türkei","willkommenskultur","asylbewerberleistungsgesetz","sprache","überwachung","maizière","nachrichtendienste","land","asylbewerber","einbürgerung","abgeschoben","afd","herkunftsstaaten","migranten","migrationspolitik","asylsystem","integration","illegale","schutz"
"13","herrn","gemäß","odenthal","beratung","weihnachten","abend","regelung","sonntags","sonntag","rasner","ausgleichszulage","wertpapiersteuer","schmitt","bundesregierung","bundesregierung","schmittvockenhausen","besoldungserhöhungsgesetz","art","lehrerbesoldung","dienst","schmittvockenhausen","überleitung","ergänzungszuweisungen","artzinger","öffentlichen","länder","länder","besoldung","köppler","bundesinnenminister","schäfer","dienstes","innenausschuß","polizei","bgs","besoldungsrechts","inneren","evers","bundesgrenzschutz","badenwürttemberg","kriminalität","sports","berger","verfassungsschutzes","msb","dregger","verfassung","bund","statistischen","untersuchungsausschuß","datenverarbeitung","dienstlichen","unbegründet","hirsch","ausländerbehörden","baum","datenschutz","hartling","ausländern","daten","dienst","innenausschuß","kulturpolitik","sicherheitsbehörden","datenschutz","innenausschuß","innern","hirsch","daten","ausländerrecht","gerster","öffentlichen","archive","schäuble","asylkompromiß","sicheren","flüchtlingen","ausländerzentralregister","vietnam","bürgerkriegsflüchtlinge","einbürgerung","zurückkehren","lebenden","özdemir","beamten","westerwelle","asylrecht","aufenthaltsrecht","ausländer","bundesinnenminister","stadler","september","ausländer","bosbach","bundeskriminalamt","bosbach","innere","versammlungsrecht","fischer","fußballweltmeisterschaft","innenminister","migranten","piltz","piltz","bundesinnenminister","migranten","staatsangehörigkeit","maizière","migranten","integrationskurse","notz","zuwanderung","menschen","datenschutz","zuwanderung","unterbringung","asylbewerber","deutschland","leben","land","grenzen","asyl","duldung","zuwanderung","staatsangehörigkeit","aufnahme","merkel","ukrainischen"
"14","hauses","berufe","wahlprüfung","hauses","ausschusses","herr","verkauf","atomgesetz","bundestages","herren","personalvertretungsgesetzes","besteuerung","reichsbankanteile","ortszuschlag","anteilseigner","beamtenschaft","bund","bundesverfassungsgericht","dienstes","doppelversorgung","entwurf","bundesbeamten","bundeskriminalamtes","besoldungsgruppe","stufe","schmittvockenhausen","besoldungsneuregelungsgesetz","lehrer","innern","besoldungsrückstand","benda","schneider","bundeskriminalamt","kompetenz","inneren","feinde","bundesgrenzschutz","beamten","umweltbundesamt","grundordnung","maihofer","bundesgrenzschutz","rechtsstellung","bundeskriminalamt","untersuchungsausschusses","bekämpfung","einstellungsbehörden","bundesbeauftragten","beamte","datenschutz","verfassungsschutz","nebentätigkeiten","nachrichtendienste","innern","hirsch","regenspurger","ausländern","besuch","schäfer","ausländern","volkszählungsgesetz","ausland","goetheinstitut","sicherheit","verfassung","dienst","ausländern","gerster","gerster","dienstes","mitarbeiter","innern","sed","schengen","genfer","polen","innern","integration","kroatien","bundesinnenminister","dienst","innern","zuwanderung","marschewski","ausländerpolitik","paß","asyl","bundesinnenminister","integration","beck","dass","zuwanderungsgesetz","koschyk","asyl","terrorismus","binninger","inneren","wiefelspütz","zuwanderung","polizei","untersuchungsausschuss","polizei","uhl","bundesinnenminister","bundeskriminalamt","kriminalität","maizière","demail","ausländerbehörden","abkommen","piltz","behörden","hartfrid","geheimdienste","herkunftsstaaten","beck","müssen","sichere","asylbewerber","integration","seehofer","asylverfahren","staatsbürgerschaft","integration","geflüchteten","westbalkanregelung","bilder","ukrainische"
"15","berichterstatter","antrag","löhr","genehmigung","sonntagen","dr","unternehmer","grundgesetzänderung","unterbreche","geschlossen","angehörigen","bank","ausgangspunkt","mittleren","golddiskontbank","strukturelle","änderung","urteil","innenausschuß","land","gscheidle","gscheidle","dienstes","unteroffiziere","bund","parlamentarischer","beamtenschaft","innenausschusses","iii","erhöhung","ressorts","bundesregierung","zulagen","beamten","waffen","internen","verbrechensbekämpfung","zentralstelle","wahlkreiskommission","bewerbers","innenausschuß","bewerbers","gerster","grohnde","polizei","polizeilichen","beamte","inneren","dienst","innenausschuß","daten","bötsch","ausländerbehörden","februar","bundesamt","ausländerfeindlichkeit","ländern","innern","richtlinien","datenverarbeitung","vertriebenenverbände","hirsch","personalausweis","ausland","innenminister","akten","datenschutzbeauftragte","asylbewerber","nöbel","innenausschuß","verfassungsschutz","sed","flüchtlinge","grundgesetzänderung","deutschland","asylkompromiß","ausländern","ausländerinnen","bürgerkriegsflüchtlinge","staat","aussiedler","flüchtlingen","jelpke","innenminister","ausländerrecht","staatsangehörigkeitsrechts","asylbewerber","asylrecht","einwanderung","menschen","deutschland","terroristen","bevölkerung","bundesinnenminister","koschyk","terrorismus","ausländer","wunsiedel","zuwanderungsgesetz","grindel","informationen","grindel","wahlrecht","deutschland","bkagesetz","nachrichtendienste","migranten","sicherheit","italien","türkischen","hartfrid","asylrecht","ausländer","bürger","unterbringung","integration","schutz","marokko","abschiebung","punktesystem","deutschland","zuwanderung","fachkräfteeinwanderungsgesetz","geflüchtete","seehofer","grenzen","integration","kommunen"
"16","bitte","ausschuß","bundestag","drucksache","bundestag","fraktionen","einkaufen","woche","mommer","stunden","wochenende","bankgewerbes","ortszuschlag","reichsnährstandes","verbesserungen","beamte","beamte","filbinger","entscheidung","bundesverfassungsgericht","art","art","bundesinnenminister","strukturellen","zulage","angestellte","süsterhenn","verbesserungen","bewährungsaufstieg","spillecke","bundesgrenzschutz","beamte","liedtke","innenminister","dienst","monatsdurchschnitt","kpd","ausländer","minister","sportförderung","dienstes","beamten","mitglieder","beamten","bürgerinitiativen","terroristen","innenminister","dienst","riedl","erhard","dienst","dienstes","asylverfahren","beamten","bühling","miltner","beamten","schäfer","integration","personalausweises","statistischen","innenminister","volkszählungsurteil","terrorismus","volkszählungsgesetz","polizei","innenminister","beamten","ausländerpolitik","dienst","datenschutz","mitarbeiter","polizei","hirsch","flüchtlingskonvention","grundgesetzes","sonntagwolgast","jelpke","abgeschoben","cornelie","abschiebung","rückführung","asylbewerber","doppelte","staatsbürgerschaft","innenminister","kanther","ausländergesetzes","land","erwin","inneren","innenminister","sicherheitsbehörden","ausländerrecht","dass","polizei","stadler","sicherheit","sicherheitsbehörden","schily","nachrichtendienste","sri","innere","sicherheit","nachrichtendienste","piltz","innenpolitik","abkommen","innern","korte","hochqualifizierten","flüchtlingen","staatsbürgerschaft","untersuchungsausschuss","freizügigkeit","migration","flüchtling","asylpaket","bleibeperspektive","beck","schutz","migrationspakt","geflüchtete","afd","einwanderung","seehofer","staatsangehörigkeit","flucht"
"17","herren","berichterstatter","herren","petitionen","wuermeling","vizepräsidenten","arbeitszeit","herren","stunden","präsident","geschenke","kapitalverkehrsteuergesetz","lindenberg","tarifklasse","beamtengruppen","bundesbeamten","schmittvockenhausen","abstimmung","berufsbeamtentums","innenausschuß","einziehen","miessner","finanzausgleich","brück","innenausschusses","öffentlichen","baden","bundeskriminalamt","innenausschusses","tarifverhandlungen","einstweiligen","schäfer","ruhestand","personenkennzeichens","verbrechensbekämpfung","schicksalsfrage","partei","ländern","berger","sportkonferenz","wahlkreiseinteilung","mitgliedschaft","innern","bekämpfung","kontrolle","beamten","baum","spranger","datenschutzes","nachrichtendienste","baum","bediensteten","arbeitserlaubnis","ausländischer","baum","kühbacher","verteilung","ausländerpolitik","innern","bundesbeauftragten","aussiedler","bundesamt","kontrollkommission","ströbele","verfassungsschutzes","gespeichert","ausländerrecht","spranger","wahlrecht","mainz","jüdischen","mfs","hoyerswerda","grundgesetzes","innenminister","verfolgten","einbürgerung","migranten","abschiebehaft","staatsbürgerschaft","cornelie","bökel","schmalzjacobsen","asylbewerberleistungsgesetz","versorgungsrücklage","menschen","europol","einwanderung","bundesgrenzschutz","innenausschuss","terroristen","vereinigung","bundesgrenzschutz","rahmenbeschluss","bka","zuwanderungsgesetz","bgs","innenminister","einbürgerung","bnd","kontrollgremium","jelpke","pkk","grindel","uhl","polizisten","asylverfahren","innern","kilic","wolff","kilic","aufenthaltsrecht","bleiberecht","flüchtlingen","roma","staatsangehörigkeit","verfahren","migration","asylverfahren","mayer","herkunftsstaaten","integration","personen","geflüchteten","außengrenzen","einwanderung","flucht","krieg"
