"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","bitte","umdruck","abstimmung","umdruck","umdruck","bitte","gegenprobe","gegenprobe","umdruck","bitte","gegenprobe","antrag","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","antrag","änderungsantrag","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","peter","heinrich","gemeinnützigkeit","ehrenamt","thw","stiftung","stiftung","bevölkerungsschutz"
"2","gegenprobe","gegenprobe","umdruck","bitte","gegenprobe","gegenprobe","bitte","gegenprobe","enthaltungen","umdruck","handzeichen","gegenprobe","handzeichen","gegenprobe","umdruck","gegenprobe","umdruck","gegenprobe","antrag","gegenprobe","antrag","änderungsantrag","enthaltungen","antrag","antrag","änderungsantrag","umdruck","antrag","frau","frau","umdruck","umdruck","umdruck","frau","frau","frau","frau","frau","frau","abgeordnete","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","abgeordnete","frau","frau","frau","frau","eid","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","wolfgang","peter","peter","wolfgang","peter","erteile","peter","peter","peter","peter","peter","michael","peter","peter","peter","peter","peter","peter","michael","michael","michael","michael","michael","michael","michael","thomas","michael","thomas","michael","thomas","thomas","michael","hansjoachim","albani","feuerwehren","stiftung","stiftung","thw","gemeinnützigkeit","spiegel"
"3","hand","enthaltungen","ziffer","gegenprobe","enthaltungen","änderungsantrag","gegenprobe","handzeichen","umdruck","handzeichen","bitte","umdruck","umdruck","umdruck","handzeichen","antrag","enthaltungen","änderungsantrag","gegenprobe","antrag","gegenprobe","gegenprobe","antrag","änderungsantrag","änderungsantrag","gegenprobe","antrag","umdruck","gegenprobe","gegenprobe","antrag","antrag","antrag","gegenprobe","abgeordnete","schmidt","abgeordnete","abgeordnete","berliner","frau","abgeordnete","berliner","nr","müller","abgeordnete","berliner","abgeordnete","abgeordnete","abgeordnete","abgeordnete","frau","müller","müller","abgeordnete","berliner","schwöre","müller","wahl","enthaltungen","müller","müller","abstimmung","müller","müller","müller","müller","berliner","berliner","müller","enthaltungen","müller","müller","müller","peter","peter","klaus","peter","peter","peter","peter","peter","peter","peter","peter","peter","wolfgang","klaus","klaus","peter","wolfgang","wolfgang","klaus","klaus","peter","michael","michael","michael","wolfgang","michael","wahlgang","michael","michael","michael","michael","michael","michael","thomas","peter","thomas","thomas","thomas","thomas","thomas","michael","thomas","michael","thomas","michael","michael","thomas","hilde","brigitte","eib","engagement","helferinnen","ehrenamt","organisationen","ahrtal"
"4","erheben","abstimmung","gegenprobe","handzeichen","handzeichen","handzeichen","handzeichen","umdruck","handzeichen","bitte","gegenprobe","handzeichen","bitte","handzeichen","enthaltungen","handzeichen","änderungsantrag","antrag","ziffer","bitte","änderungsantrag","handzeichen","änderungsantrag","wer","wer","umdruck","gegenprobe","frau","umdruck","enthaltungen","änderungsantrag","frau","gegenprobe","änderungsantrag","umdruck","berliner","berliner","müller","müller","einzelplan","dring","abgeordnete","berliner","berliner","berliner","abgeordnete","berliner","berliner","müller","müller","eid","abgeordnete","berliner","berliner","abgeordnete","bundesminister","abgeordnete","stimmen","abstimmung","abstimmung","berliner","müller","abstimmung","abstimmung","stimmen","jung","müller","müller","abstimmung","müller","enthaltungen","schmidt","einzelplan","klaus","klaus","peter","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","peter","peter","klaus","klaus","klaus","peter","michael","wolfgang","wolfgang","wolfgang","klaus","klaus","wolfgang","peter","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","thomas","peter","peter","peter","peter","peter","matthias","matthias","matthias","matthias","matthias","matthias","matthias","klauspeter","frank","freifunk","ehrenamtlichen","bevölkerungsschutz","engagement","hochwasser","bbk"
"5","antrag","umdruck","antrag","ziffer","umdruck","ziffer","ziffer","enthaltungen","bitte","enthaltungen","wer","ziffer","antrag","enthaltungen","antrag","änderungsantrag","antrag","handzeichen","änderungsantrag","handzeichen","handzeichen","ziffer","umdruck","abstimmung","gegenprobe","enthaltungen","enthaltungen","gegenprobe","handzeichen","umdruck","abstimmung","abgeordnete","änderungsantrag","antrag","gegenprobe","müller","müller","berliner","schmidt","wort","müller","müller","müller","abgeordnete","müller","müller","müller","müller","röhner","abstimmung","bundesminister","schmidt","wünscht","abstimmung","schroeder","helfe","freiherr","schriftführer","wünscht","abgeordnete","wünscht","abgeordnete","abgeordnete","abgeordnete","jung","abstimmung","enthaltungen","abgeordnete","fischer","abstimmung","schmidt","fischer","abstimmung","horst","horst","horst","jürgen","jürgen","dieter","dieter","dieter","dieter","dieter","dieter","dieter","norbert","norbert","norbert","norbert","norbert","norbert","norbert","wolfgang","wort","klaus","klaus","wolfgang","michael","klaus","wolfgang","klaus","klaus","andreas","andreas","andreas","klaus","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","andreas","andreas","andreas","andreas","andreas","andreas","peter","nina","andreas","peenewerft","ehrenamtlich","helfer","ehrenamtlichen","ehrenamt","katastrophenschutz"
"6","abstimmung","antrag","abstimmung","abstimmung","wer","wer","änderungsantrag","wer","abstimmung","antrag","antrag","antrag","ziffer","bitte","bitte","wer","ziffer","enthaltungen","wer","zuzustimmen","bitte","wer","handzeichen","gegenprobe","handzeichen","wer","wer","abstimmung","antrag","handzeichen","abgeordnete","bitte","handzeichen","abgeordnete","antrag","abgeordnete","schmidt","abstimmung","abgeordnete","müller","zusatzfrage","freiherr","abgeordnete","schmidt","schmidt","enthaltungen","abstimmung","abstimmung","köhler","freiherr","schwöre","abstimmung","schmidt","müller","kunz","frau","berliner","abgeordnete","handzeichen","graf","abstimmung","lohmann","enthaltungen","drucksache","fischer","drucksache","abstimmung","abstimmung","abgeordnete","einzelplan","stimmt","abgeordneten","dring","rudolf","jürgen","jürgen","horst","horst","manfred","norbert","manfred","norbert","norbert","manfred","hermann","dieter","dieter","rainer","hans","rainer","manfred","manfred","ulrich","michael","ulrich","erteile","uwe","erteile","erteile","wahl","andreas","thomas","christian","klaus","christian","thomas","christian","christian","christian","klaus","norbert","norbert","klaus","stefan","christian","stefan","stefan","christian","stefan","andreas","hanswerner","josef","abgabenordnung","ehrenamtskarte","ehrenamtlichen","bevölkerungsschutz","katastrophenschutz","thw"
"7","angenommen","angenommen","mehrheit","wer","bitte","bitte","antrag","antrag","antrag","ziffer","änderungsantrag","wünscht","enthaltungen","ziffer","wer","enthaltungen","wer","wer","handzeichen","änderungsantrag","enthaltungen","antrag","bitte","bitte","bitte","handzeichen","handzeichen","änderungsantrag","enthaltungen","bitte","frau","handzeichen","abstimmung","abstimmung","abstimmung","umdruck","abstimmung","wolf","freiherr","berliner","berliner","dring","dring","jahn","abstimmung","gegenprobe","schmidt","schmidt","jenninger","schröder","stimmen","berliner","freiherr","schmidt","neumann","glückwunsch","fischer","bundesminister","zuzustimmen","wünscht","enthaltungen","berliner","dring","enthaltungen","abstimmung","enthaltungen","abgeordnete","fischer","schmidt","wer","drucksache","zwischenfrage","schmidt","jürgen","gerhard","ulrich","rudolf","manfred","norbert","manfred","norbert","manfred","manfred","norbert","norbert","rainer","christian","manfred","dieter","christian","schmidt","schmidt","georg","klaus","georg","rainer","ulrich","rolf","friedrich","thomas","christian","andreas","thomas","christian","klaus","christian","klaus","klaus","klaus","christian","christian","klaus","ulrich","martin","stefan","martin","martin","stefan","martin","stefan","christoph","johannes","umwelthilfe","engagierten","ehrenamt","organisationen","stiftungen","zivilschutz"
"8","ziffer","handzeichen","zuzustimmen","enthaltungen","ziffer","abstimmung","abstimmung","ziffer","wer","wünscht","ziffer","zuzustimmen","wer","wer","ziffer","ziffer","handzeichen","bitte","enthaltungen","wer","wer","bitte","angenommen","handzeichen","anlage","zuzustimmen","bitte","handzeichen","änderungsantrag","antrag","bitte","gegenprobe","abgeordnete","umdruck","änderungsantrag","abstimmung","schriftführer","ritz","dring","abgeordneter","münchen","schmidt","freiherr","abstimmung","wort","handzeichen","berger","jahn","schröder","röhner","helfe","fischer","enthaltungen","fischer","freiherr","wahr","schmidt","eid","ausschußfassung","freiherr","zuzustimmen","drucksache","drucksache","fischer","jahn","fischer","jung","graf","voigt","fischer","fischer","eid","fischer","gerhard","ulrich","gerhard","ulrich","ulrich","horst","hermann","rudolf","rudolf","gerhard","hermann","manfred","manfred","manfred","hans","rainer","hans","hans","christian","jürgen","georg","rainer","volker","andreas","volker","jürgen","schriftführer","müller","müller","klaus","norbert","thomas","andreas","frank","johannes","frank","johannes","johannes","johannes","manfred","carsten","martin","peter","christian","martin","christian","christian","petry","thomas","bevölkerungsschutz","organisationen","gemeinnützigkeit","gemeinnützigkeit","gemeinnützigen","rheinlandpfalz"
"9","nr","mehrheit","enthaltungen","änderungsantrag","angenommen","enthaltungen","wer","wünscht","angenommen","zuzustimmen","enthaltungen","wer","änderungsantrag","änderungsantrag","zuzustimmen","bitte","angenommen","angenommen","angenommen","wünscht","abstimmung","enthaltungen","wer","enthaltungen","zuzustimmen","wünscht","angenommen","ziffer","wer","änderungsantrag","gegenprobe","änderungsantrag","frau","schmidt","wünscht","münchencomment","stimmkarten","berger","haase","zusatzfrage","schmidt","haase","wittmann","schröder","klein","schmidt","handzeichen","berger","waffenschmidt","laufs","glückwunsch","wimmer","abgeordnete","graf","freiburg","abgeordnete","wimmer","bitte","bitte","sauter","handzeichen","fischer","sauter","schmidt","dring","link","fischer","fuchs","graf","schmidt","wer","abgeordnete","friedrich","hans","rudolf","rudolf","otto","rudolf","enthaltungen","horst","hermann","hermann","hermann","horst","horst","hans","hans","georg","bernd","manfred","rainer","rainer","rolf","friedrich","rolf","rolf","georg","uwe","müller","klaus","thomas","christian","müller","thomas","norbert","norbert","joachim","manfred","johannes","stefan","frank","christian","norbert","christian","peter","christian","peter","norbert","peter","norbert","frank","huber","einsatzmedaille","zivilgesellschaft","hilfswerk","zivilgesellschaft","gemeinnützige","flutkatastrophe"
"10","umdruck","hand","wer","antrag","zuzustimmen","antrag","enthaltungen","abstimmung","zustimmen","änderungsantrag","wünscht","enthaltungen","angenommen","zuzustimmen","wünscht","zustimmen","bitte","ziffer","gebe","ziffer","zuzustimmen","angenommen","abstimmung","entschließungsantrag","siehe","bitte","abstimmung","enthaltungen","ziffer","wer","berliner","abstimmung","bitte","berliner","berliner","becker","becker","schmidt","jahn","abgeordneten","freiherr","abstimmung","abstimmung","hauser","weber","abstimmung","gegenprobe","schröder","abstimmung","gerstein","schriftführer","klein","fischer","wimmer","bugl","herzlichen","abstimmung","stimmkarte","berliner","fischer","drucksache","gestimmt","werner","schäfer","münchencomment","graf","schmidt","voigt","drucksache","voigt","abstimmung","süssmuth","neumann","ulrich","werner","hans","norbert","joachim","stimmen","gerhard","gerhard","rolf","rolf","hans","werner","müller","müller","schmidt","ulrich","dieter","michael","dieter","friedrich","christoph","jürgen","hans","jürgen","friedrich","hans","andreas","uwe","rolf","rolf","müller","ulrich","uwe","manfred","martin","martin","harald","stefan","stefan","stefan","norbert","wolfgang","ulrich","gabriele","ulrich","ulrich","gabriele","braun","gesine","freifunkinitiativen","pd","contergan","ehrenamtlich","nordrheinwestfalen","anne"
"11","enthaltungen","erheben","hand","wünscht","änderungsantrag","gewünscht","ziffern","angenommen","gewünscht","wer","zuzustimmen","angenommen","zuzustimmen","wünscht","änderungsantrag","abstimmung","abstimmung","zuzustimmen","bitte","enthaltungen","frau","nr","zuzustimmen","zuzustimmen","ziffer","angenommen","siehe","wer","bitte","abgeordnete","einzelplan","einzelplan","wünscht","wünscht","zuzustimmen","hamburgcomment","dring","schröder","abstimmung","becker","wort","hauser","schäfer","vogel","bad","nr","schröder","berlincomment","freiherr","schmidt","berliner","graf","abstimmung","gestimmt","lenzer","gott","münchencomment","stimmkarten","müller","jahn","bitte","wünscht","schmidt","dring","becker","dring","graf","timm","link","abgeordnete","stimmen","gestatten","frhr","manfred","dieter","dieter","manfred","werner","rudolf","günter","horst","horst","günter","werner","jürgen","bernd","michael","angelika","manfred","schmidt","dieter","hans","uwe","werner","uwe","ulrich","rainer","ulrich","georg","norbert","rolf","norbert","jürgen","rainer","rolf","rolf","johannes","werner","norbert","manfred","klaus","ulrich","christian","gabriele","ulrich","carsten","sabine","gabriele","gabriele","ulrich","högl","christine","feuerwehr","ehrenamtliche","thwgesetz","profit","attac","ehrenamtlichen"
"12","mehrheit","herren","angenommen","zuzustimmen","antrag","angenommen","angenommen","änderungsantrag","ziffer","angenommen","angenommen","änderungsantrag","wünscht","angenommen","angenommen","einzelplan","zustimmen","wünscht","abstimmung","angenommen","wünscht","zuzustimmen","stimmen","ziffer","enthaltungen","präsident","wünscht","bitte","angenommen","berliner","wort","siehe","zuzustimmen","handzeichen","schmidt","antrag","wort","freiherr","schröder","stimmzettel","wittmann","schröder","rehlen","klein","jahn","wünscht","enthaltungen","klein","sick","büllesheim","wahr","freiherr","wer","nein","wort","danke","drucksache","schwöre","gegenstimmen","dring","abgeordnete","dring","münchencomment","blunck","link","hauser","münchencomment","jung","vogel","vogel","entschließungsantrag","dring","otto","hermann","joachim","joachim","dieter","norbert","günter","rudolf","rolf","günter","horst","rudolf","günter","christian","rainer","friedrich","georg","michael","ulrich","angelika","rainer","rainer","müller","uwe","rolf","georg","schmidt","wort","rainer","uwe","rainer","karl","uwe","ulrich","patrick","karin","matthias","patrick","manfred","sabine","johannes","wolfgang","norbert","markus","norbert","sabine","sabine","martin","franz","gädechens","ehrenamtlich","bürgerschaftliches","helfern","vereinen","engagement","stiftung"
"13","zuzustimmen","zustimmen","erheben","mehrheit","wünscht","zustimmen","wünscht","zuzustimmen","änderungsantrag","rufe","abstimmung","abstimmung","zustimmen","zustimmen","zustimmen","angenommen","abs","abstimmung","zustimmen","abstimmung","angenommen","wünscht","wünscht","einzelplan","wünscht","siehe","wort","wort","berliner","abstimmung","abgelehnt","berliner","wer","enthaltungen","wort","berger","hauser","zusatzfrage","hauser","dring","becker","wolf","schmidt","wimmer","carstens","bitte","berlincomment","schäfer","hasinger","schreiben","gott","schröder","schröder","jung","länderquote","schwenk","nein","wort","änderungsantrag","schmidt","gestimmt","sauter","fischer","wittmann","börnsen","sauer","timm","enthaltungen","sauer","stimmt","grünenbündnis","schwöre","weng","otto","hermann","norbert","gerhard","gerhard","rolf","bernd","günter","gerhard","rudolf","bernd","rolf","günter","georg","volker","angelika","monika","christian","joachim","werner","ulrich","friedrich","friedrich","thomas","rainer","rainer","schriftführerinnen","norbert","rainer","ulrich","rolf","rainer","hans","norbert","karl","stephan","ingrid","ulrich","manfred","patrick","alexander","gabriele","gabriele","ulrich","markus","norbert","kerstin","alexander","trittin","engagement","feuerwehr","engagement","drk","betroffenen","engagement"
