"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","handwerk","bauern","zonenrandgebiet","sontra","betriebe","ha","betriebe","handwerk","ziebell","bauwirtschaft","zonenrandgebiet","betriebe","betriebe","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","bundesbahn","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","börner","post","bundesbahn","verkehr","bundesbahn","verkehr","fernmeldewesen","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","bundespost","bundesbahn","bundesbahn","bundesbahn","bahn","bundesbahn","bundesbahn","bundesbahn","strassen","bahn","bundespost","bundesbahn","verkehr","bahn","bundespost","bundesbahn","autobahnen","verkehrspolitik","verkehr","bahn","bahn","transrapid","bahn","bahn","post","post","bahn","bahn","bahn","bahn","schiene","bahn","bahn","bahn","ag","bahn","bahn","verkehr","maut","bahn","bahn","verkehr","verkehr","verkehr","bahn","verkehr","bahn","bahn","bahn","bahn","verkehr","stuttgart","bahn","verkehr","bahn","ramsauer","lärmschutz","bahn","pkwmaut","maut","verkehr","verkehr","infrastruktur","fahren","mobilität","fahrverbote","bahn","bahn","bahn","mobilität","bahn","mobilität"
"2","land","land","zonenrandgebieten","eschwege","arbeitskräfte","betriebe","handwerks","ausgleichsstock","betriebe","winterbau","zonenrandgebieten","weihnachtsgratifikation","schleswigholstein","bundesanstalt","müllerhermann","müllerhermann","verkehr","müllerhermann","verkehr","verkehr","verkehr","verkehr","verkehr","verkehr","bundesbahn","börner","verkehr","börner","verkehr","post","fernmeldewesen","post","fernmeldewesen","post","fernmeldewesen","post","haar","verkehr","fernmeldewesen","verkehr","post","bundespost","verkehr","zeittakt","bahn","haar","bundespost","bundespost","bundespost","post","verkehrspolitik","bundespost","bundespost","bahn","bundespost","post","post","bundespost","bahn","bundespost","bundesbahn","bahn","bundespost","bundespost","autobahnen","bundesbahn","post","bahn","bundesbahn","bundesbahn","telekom","bahn","krause","verkehr","krause","verkehrspolitik","transrapid","bahn","verkehr","strecke","verkehr","ag","ag","verkehr","post","verkehr","bahn","transrapid","ag","verkehr","verkehr","verkehr","verkehr","bahn","verkehr","schiene","verkehr","bahn","wohnungswesen","flugsicherung","ag","bahn","tempolimit","verkehr","ag","verkehr","bahn","bahn","stuttgart","bahn","bürgerbeteiligung","bahn","strassen","infrastruktur","infrastruktur","infrastruktur","vw","dobrindt","bundesverkehrswegeplan","dobrindt","grenzwerte","mobilität","fahrverbote","mobilität","scheuer","bahn","schiene","öpnv"
"3","antrag","betriebe","betriebe","betriebe","betrieb","bauern","schleswigholstein","betriebe","betrieb","grad","zonenrandgebiete","wirtschaftsförderung","betrieb","verkehrsträger","bleiss","binnenschiffahrt","bundesverkehrsminister","verkehrs","dring","verkehrsträger","seebohm","südbrücke","seebohm","seebohm","leber","bundesbahn","börner","bundesbahn","börner","fernmeldewesen","post","bundesbahn","post","verkehr","verkehr","lemmrich","bundesbahn","verkehrspolitik","post","post","fernmeldewesen","post","bahn","bundespost","post","verkehr","verkehr","post","verkehr","strassen","bundespost","post","bundesverkehrsminister","bundesverkehrsminister","mahne","milz","bundesbahn","post","bundespost","post","bundespost","bundespost","verkehr","post","bundesbahn","verkehr","bundesbahn","bundespost","bahn","schiene","tourismus","verkehr","tempolimit","bahn","verkehrspolitik","bahnreform","bahnreform","verkehrspolitik","verkehrspolitik","transrapid","ag","wissmann","post","ag","ag","schiene","transrapid","verkehr","verkehr","schiene","bahn","bau","bau","bau","schiene","verkehr","bau","bau","bau","bau","schiene","bau","verkehr","db","verkehr","bau","schiene","verkehr","verkehr","bau","tempo","bau","bahn","verkehr","lkwmaut","infrastrukturabgabe","infrastruktur","infrastruktur","schiene","mobilität","öpnv","fahrzeuge","mobilität","schiene","bürgerbeteiligung","schiene","mobilität","schiene"
"4","handwerks","siedler","zonenrandgebiete","arndt","betrieben","land","handwerk","mittelstand","beschaffung","bauherren","betriebe","marktanteil","trave","zonenrandgebiet","verkehrsträger","verkehr","tarife","kreuzungen","waldkirch","verkehrspolitik","müllerhermann","strasse","dring","dring","börner","leber","leber","leber","bundesverkehrsminister","börner","börner","fernmeldewesen","börner","fernmeldewesen","bundespost","verkehr","post","haar","bundesbahn","bundesbahn","bundesbahn","verkehr","fernmeldewesen","post","bundespost","bundespost","post","verkehr","mahne","strassenbau","verkehr","hauff","mahne","verkehr","poststellen","bundesbahn","postminister","paterna","post","bundespostminister","post","post","verkehrssicherheit","bahn","verkehr","strecke","wettbewerb","post","österreich","verkehr","post","schiene","verkehr","krause","schiene","verkehr","verkehr","verkehr","schiene","verkehr","transrapid","verkehr","strecke","post","transrapid","transrapid","ag","strecke","schiene","ag","schiene","schiene","ag","wohnungswesen","bahn","ag","wohnungswesen","wohnungswesen","öpp","stadtentwicklung","verkehr","stadtentwicklung","autobahnen","ag","bau","flugsicherung","bau","schiene","ag","stuttgart","ramsauer","verkehr","ramsauer","mobilität","maut","bahn","dobrindt","bahn","dobrindt","verkehr","fahrverbote","grenzwerte","schiene","auto","verkehr","scheuer","fahren","bahn"
"5","landwirtschaft","antrag","massnahmen","arbeitskräfte","eisernen","lüneburger","handwerker","mittelständischen","bauern","betriebe","junghans","abwanderung","lübeck","verkehr","verkehrspolitik","verkehrsträger","müllerhermann","verkehr","strassenbau","müllerhermann","bleiss","seebohm","deutschen","müllerhermann","ramms","münchen","strasse","bundesminister","leber","bundesbahn","bundesbahn","leber","bundesbahn","bundesbahn","leber","fernmeldewesen","mineralölsteuer","fluglotsen","autobahnen","haar","haar","bahn","jung","einführung","zeittakt","post","bahn","wrede","strassen","mondscheintarifs","ruhnau","mahne","jobst","mahne","deutsche","deutsche","cbfunk","verkehrspolitik","zonenrandgebiet","postminister","verkehr","hoffie","post","verkehr","verkehrssicherheit","post","telekommunikation","deutschen","schiene","flugsicherung","bahn","verkehrspolitik","kmh","flugsicherung","strassen","schiene","post","post","lärm","wissmann","bahn","telekommunikation","verkehr","wissmann","schiene","bau","verkehr","bau","db","strecke","bau","wohnungswesen","wohnungswesen","ag","stolpe","bau","stolpe","stolpe","bahn","bahn","db","ag","ag","bau","db","stadtentwicklung","stadtentwicklung","elektromobilität","bau","stadtentwicklung","verkehr","schlichtungsstelle","pkwmaut","dobrindt","dobrindt","dobrindt","fahrzeuge","stuttgart","bahn","auto","luft","luft","grenzwerte","automobilindustrie","kmh","verkehr","ländlichen","auto"
"6","bauern","landwirtschaft","brökelschen","betrieb","mittelstandes","zonenrandgebiet","mittelbetriebe","handwerks","mittelstand","winter","zonenrandgebiets","beschäftigten","hafen","bleiss","eisenmann","bleiss","bahn","lufthansa","strassen","seeschiffahrt","dring","verkehrs","strasse","verkehrspolitik","strecke","verkehrspolitischen","bundesverkehrsminister","strassen","strassen","leber","leber","börner","leber","gemeinden","haar","strassenverkehr","verkehrspolitik","bahn","verkehrsausschuss","bundespost","gscheidle","verkehrspolitik","deutschen","nahbereich","gscheidle","bahn","fernmeldewesen","fernmeldewesen","post","mondscheintarif","personennahverkehr","verkehr","bahn","bundespost","merker","lufthansa","deutschen","rawe","deutsche","bahn","deutsche","verkehr","strassen","strassen","geschwindigkeit","bundespost","deutschen","deutsche","alpen","verkehrspolitik","strasse","reichsbahn","feige","verkehrsträger","bahn","bundesverkehrswegeplan","telekom","postreform","ag","ag","telematik","bahn","schiene","verkehrspolitik","verkehrspolitik","ag","post","klimmt","bau","db","post","bodewig","stolpe","grossmann","bau","bundesverkehrswegeplan","ag","schiene","mertens","friedrich","bau","db","stadtentwicklung","stadtentwicklung","tiefensee","privatisierung","ag","mobilität","lärm","ramsauer","flughafen","stuttgart","verkehr","schiene","verkehr","pkwmaut","digitale","fahrzeuge","verkehr","bahn","bahn","scheuer","fahrzeuge","scheuer","fahren","kraftstoffe","auto","euroticket"
"7","betriebe","bayern","hilfsmassnahmen","hessischen","aufträge","vilshofen","bäuerlichen","gewerbliche","handwerk","exportwirtschaft","bundesdurchschnitt","massnahmen","vierjahresplan","arbeitslosenversicherung","binnenschiffahrt","verkehrspolitik","wettbewerb","binnenschiffahrt","seebohm","bundesverkehrsminister","bundesverkehrsminister","dring","seiermann","tarife","strassenverkehrsordnung","wittrock","verkehrspolitischen","trennscheibe","verkehrspolitik","deutsche","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","lemmrich","bundesbahn","bahn","fernmeldewesen","lauritzen","wittrock","jung","verkehrspolitik","gscheidle","post","wrede","antrag","fernmeldewesen","gscheidle","mahne","lärmschutz","verkehr","schulte","bahn","verkehr","verkehrspolitik","deutschen","fernmeldewesen","deutsche","dienste","verkehr","verkabelung","deutschen","senfft","schulte","verkehrspolitik","tempolimit","öpnv","verkehr","verkehr","verkehrspolitik","strasse","kretkowski","krause","strassen","öpnv","verkehrssicherheit","krause","binnenschiffahrt","strecke","promille","informationsgesellschaft","telekommunikation","transrapid","transrapid","postgesetz","wissmann","schmidt","bau","ag","wohnungswesen","netz","bodewig","schweiz","lkwmaut","bundesverkehrswegeplan","wohnungswesen","wohnungswesen","flughafen","maut","lippold","schiene","stadtentwicklung","grossmann","bau","schiene","stadtentwicklung","elektromobilität","mobilität","projekt","schiene","ag","projekt","stadtentwicklung","bau","pkwmaut","strassen","strassen","kraftfahrtbundesamt","digitale","mobilität","automobilindustrie","automobilindustrie","städten","elektromobilität","elektromobilität","mobilität","auto","verkehr","infrastruktur"
"8","bayern","bekämpfung","hilfe","belegschaft","zuge","stadt","betrieb","klein","ausschreibungen","bauarbeiter","zonengrenze","zonenrandgebiet","linienverkehr","verkehrspolitik","verkehrspolitischen","bundesverkehrsminister","eurocontrol","rademacher","bleiss","dring","verkehrspolitik","waiblingen","tarife","bundesverkehrsminister","seiermann","bundesstrasse","strassen","bundesstrasse","verkehrs","kollege","saar","lemmrich","mineralölsteuer","bundespost","gscheidle","bundesminister","technologie","post","technologie","verkehrspolitik","jung","jung","bundespost","fernmeldewesen","verkehr","strassen","verkehrspolitik","strecken","verkehrspolitik","cbfunk","bahn","personennahverkehr","post","verkehrsminister","verkehrsausschuss","elias","glasfaser","verkehrsminister","eisenbahner","fläche","paterna","lkw","bedarfsplan","deutsche","verkehrstoten","deutsche","deutsche","schwarzschilling","lkw","öpnv","breitbandverkabelung","post","verkehrspolitik","schiene","bundesverkehrswegeplan","bundesbahn","promille","telekom","flughäfen","post","postfilialen","postbank","db","altmann","verkehr","verkehrspolitik","investitionsprogramm","wohnungswesen","strecke","bau","wohnungswesen","staatsvertrag","strecke","schiene","strasse","bahnreform","schiene","mertens","thüringen","verkehrsträger","netz","hofreiter","db","privatisierung","grossmann","kasparick","verkehrspolitik","bau","stadtentwicklung","mücke","bau","schiene","tempolimit","strassen","schiene","verkehr","strasse","vw","maut","infrastruktur","diesel","verkehr","scheuer","verkehr","strassen","infrastruktur","scheuer","verkehr"
"9","stadt","betrieben","land","land","förderung","schleswigholstein","vergabe","bäuerlichen","richtlinien","arbeitslosenversicherung","massnahmen","betrieb","abwanderung","arbeitsvermittlung","verkehr","dienstag","verkehrs","seeschiffahrt","vierjahresplan","bleiss","strassen","nievenheim","seibert","deutschen","wittrock","deutschen","deutschen","strasse","müllerhermann","staatssekretär","saarland","gemeinden","bedarfsplan","mineralölsteuer","gebührenerhöhung","deutsche","bundespost","personennahverkehr","hauff","personennahverkehr","deutschen","zeittakt","personennahverkehr","bundespostminister","fernmeldewesen","antrag","haar","antrag","verkehrs","km","strassen","verkehrspolitik","lufthansa","hauff","sonderzüge","deutschen","fernmeldewesen","dienstkleidung","verkabelung","ausbau","fläche","verkehrspolitik","strassenbau","fernmeldewesen","unfälle","strassenbau","flughäfen","zonenrandgebiet","nachtfahrverbot","bundespost","autobahnen","bundespost","geschwindigkeit","strassen","feige","verkehrsträger","promillegrenze","postbank","wissmann","schiene","telekom","ausbau","wettbewerb","schiene","filialen","bundesverkehrswegeplan","strasse","bundesdruckerei","scheffler","mehdorn","lkwmaut","bundesverkehrswegeplan","verkehrspolitik","post","bundesverkehrswegeplan","strasse","tempelhof","verkehrsinfrastruktur","friedrich","mobilität","investitionen","achim","hofreiter","grossmann","schiene","verspätung","strasse","fahren","db","schiene","bürger","flughafen","schiene","flughafen","bahn","lkwmaut","schiene","bundesverkehrswegeplan","digitale","elbe","saubere","auto","mikrogramm","fahren","lärmschutz","kilometer","infrastruktur","fahren"
"10","gebiet","betrieb","frau","raum","handwerks","arbeitskräfte","aufträge","hof","vierzehn","kälte","gebieten","arbeitsamtsbezirk","antrag","binnenschiffahrt","enquete","seeschiffahrt","bleiss","wracks","bundesverkehrsminister","seebohm","strassenbau","bundesverkehrsminister","bundesverkehrsminister","verkehrs","strassen","kollege","eisenbahn","kollege","deutschen","bundespost","strassenbau","müllerhermann","lemmrich","apel","gebührenerhöhungen","fläche","hauff","schulte","bundespost","folgekosten","bundesminister","fernmeldewesen","verkehrspolitik","nahbereiche","verkehrssicherheit","fahrzeuge","deutschen","strassenverkehr","lärm","fernmeldewesen","mahne","ausbau","deutschen","strassenbau","fertigstellung","kreditgewerbe","cbfunker","verkabelung","deutschen","personennahverkehr","dollinger","strassenbau","autobahnen","strassenbau","strassenverkehr","fläche","börnsen","wettbewerb","strasse","post","sanfter","strasse","verkehrswege","bundesbahn","öpnv","elbe","postreform","postunternehmen","post","donau","wettbewerb","carstens","bahnreform","wettbewerb","strasse","müntefering","schmidt","schiene","transrapid","bahnreform","hilsberg","ag","post","strecke","verkehrsinfrastruktur","stolpe","db","schmidt","vogel","dfs","infrastruktur","schiene","verkehrssicherheit","bahnreform","achim","fahrgäste","stuttgart","stadtentwicklung","stresstest","db","infrastruktur","projekt","autobahnen","brandenburg","digitale","schiene","automobilindustrie","automobilindustrie","strassen","fahrzeuge","städten","diesel","verkehr","kraftstoffe","schiene","öpnv","verkehrssicherheit","ländlichen"
"11","bayerischen","stadt","eisernen","landesregierung","gemeinde","schicht","klein","schleswigholstein","seit","kindergeldgesetz","kulturelle","räumlichen","regling","schiene","verkehrsausschuss","ramms","bahnsteigsperren","eisenbahnen","verkehrs","wettbewerb","bahn","deutschen","deutsche","börner","bundesverkehrsminister","bundesverkehrsminister","verkehrspolitik","autobahn","strasse","bundesminister","gebaut","bundespost","bundespost","strassenbau","müllerhermann","luftverkehr","herr","bundesverkehrsminister","personennahverkehr","bahn","bundespost","km","haar","bahn","verkehrsminister","km","bundesverkehrsminister","deutsche","bahn","autobahn","deutsche","lemmrich","deutsche","post","strecke","hauff","medienpolitik","strassenbau","paterna","öpnv","verkehrspolitik","strassen","ausbau","schwarzschilling","kmh","strasse","zonenrandgebiet","telekommunikation","flugsicherung","verkehrsträger","schiene","ausbau","telekom","verkehrs","bundesbahn","strasse","wettbewerb","aktiengesellschaften","telekom","telekom","expo","altmann","lärm","bahnreform","österreich","strasse","müntefering","hamburg","strasse","transrapid","db","hilsberg","schiene","mertens","minister","db","maut","grossmann","strassenverkehr","kasparick","verkehrspolitik","flughafen","tiefensee","finanzierungsvereinbarung","flugsicherung","tonnen","carsharing","ag","bundesstrassen","mobilität","flugrouten","bundesverkehrsminister","verkehrssicherheit","lkwmaut","bundesstrassen","bahnreform","volkswagen","schiene","fahren","radverkehr","fahrzeuge","autos","elektrokleinstfahrzeuge","strasse","verkehrsminister","verkehrswende","fahrzeuge","bus"
"12","gebiete","salzgitter","gemeinden","hessische","mittelständischen","eis","glasmeyer","brauereien","wahlperiode","bauaufgaben","beschäftigten","kapitalintensiven","vertiefung","verwaltungsrat","bundesanstalt","bundesanstalt","dring","deutschen","uhr","werkfernverkehr","berufsverkehr","hansing","bahn","bahn","deutschen","bundesminister","müllerhermann","ramms","eisenbahn","parlamentarischer","bundespost","verkehrsbericht","strassen","werkfernverkehr","bundesminister","vorfinanziert","staatssekretär","fernmeldewesen","verkehrspolitik","nahverkehr","ktk","dollinger","km","verkehr","beschwerdestelle","beschwerdestelle","antrag","poststellen","verkehrssicherheit","landschaft","waffenschmidt","gebührenerhöhung","merker","deutschen","ausbau","beenden","schwarzschilling","km","postminister","km","verkehrsminister","km","hoffie","senfft","deutschen","deutschen","postreform","unternehmen","strassen","strecke","telekommunikation","verkehrsträger","bundesbahn","auto","strasse","ausbau","verkehrspolitik","hamburg","telekommunikation","telekommunikation","binnenschiffahrt","donau","strecken","transrapid","schmidt","ibrügger","strecke","post","verkehrspolitik","binnenschifffahrt","stephan","verkehrspolitik","strasse","achim","bahnreform","verkehrsinfrastruktur","gleicke","ausbau","angelika","kapitalprivatisierung","strasse","strecke","schiene","hofreiter","fehmarnbeltquerung","ag","db","strasse","schlichtung","jan","planfeststellungsverfahren","ferlemann","infrastruktur","ag","erhalt","nutzerfinanzierung","alexander","mobilität","strasse","carsharing","verkehr","automobilindustrie","grenzwert","infrastruktur","planung","verkehrsminister","öpnv","planungsbeschleunigung"
