"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundeskanzler","auswärtigen","john","auswärtigen","amt","auswärtigen","bonn","amt","amt","amt","beamten","amtes","amt","konvention","amt","film","filmwirtschaft","besold","fernsehen","presse","anstalten","hase","presse","gesamtdeutsche","presse","presse","diehl","bundeszentrale","presse","ahlers","ehmke","ahlers","presse","ahlers","presse","presse","journalisten","chef","steiner","guillaume","chef","bölling","bölling","öffentlichkeitsarbeit","bayerischen","urteil","urteil","öffentlichkeitsarbeit","bundeskanzleramt","strauss","bundesrechnungshof","illegalen","kontrollkommission","bundesrechnungshof","bergbauunternehmen","petitionsausschuss","de","petitionsausschuss","de","ded","sparkassen","gmbh","banken","kulturarbeit","sport","sport","vereine","parteien","sport","parteien","parteien","sport","landeszentralbanken","föderalismuskommission","sport","doping","berlin","sport","banken","banken","kulturpolitik","rundfunk","sport","banken","film","naumann","stiftungen","stiftungen","film","kulturpolitik","kulturpolitik","welle","kultur","kultur","film","de","welle","ro","grundmandatsklausel","kultur","kultur","sport","kultur","olympischen","sport","sport","kultur","kultur","welle","kultur","sport","kultur","kultur","kultur","kultur","sport","kultur","kulturgut","sport","künstler","kultur","welle","kultur","kultur","kultur","kultur","kultur","kultur"
"2","ministerium","amt","verfassungsschutz","amt","auswärtigen","kontrolle","bundesbauten","auswärtigen","auswärtigen","fonds","amt","auswärtigen","beamten","eckardt","kontrolle","kontrolle","berlin","automatisierung","presse","zeugnisverweigerungsrecht","fernsehen","bundespressechef","anstalten","zeitungen","zeitungen","zeitungen","bundespressechef","zeitungen","ausschusssitzungen","pressefreiheit","presse","presse","öffentlichkeitsarbeit","informationsamtes","ahlers","journalisten","presse","grabert","guillaume","ehmke","bölling","wochenschauen","schüler","urteil","herr","öffentlichkeitsarbeit","bölling","bölling","bayerischen","franz","bundesrechnungshofes","illegale","parlamentarischen","rechnungshof","ddr","petition","la","co","la","china","banken","amp","einzelhandel","beteiligungssondervermögen","sportbericht","tierversuche","gutachten","sport","vereine","dienstleistungsabend","wahlrecht","öffentlichrechtlichen","bundesbank","bundesbank","film","sport","umzug","welle","sport","guernica","auswärtige","amateurfunk","medien","welle","börnsen","medien","naumann","sport","zentren","kultur","sprache","sport","staatsministerin","welle","leipzig","dat","kultur","sport","wahlkreise","künstler","sport","kultur","sport","sport","kultur","kultur","sport","sport","künstler","digitalisierung","olympischen","sport","sport","digitale","künstler","welle","sport","film","kultur","kunst","welle","kultur","uploadfilter","rundfunk","künstler","medien","medien","welle"
"3","herrn","ministerium","presse","ministerium","presse","amt","bonner","ausland","referenten","titel","korruption","titel","auswärtigen","bundespressechef","organisation","eckardt","berliner","bislang","zeitungen","film","presse","presse","fernsehen","gesamtdeutschen","zeitschriften","bundespressechef","presse","presse","journalisten","presse","öffentlichkeitsarbeit","informationsamtes","ahlers","presse","informationsamtes","journalist","chef","bundeskanzleramtes","zeugen","chef","bundeskanzleramtes","wochenschau","staatssekretär","bölling","abgeordneter","abgeordneter","presse","staatssekretär","jablonski","mad","rechnungsprüfungsausschuss","merex","parlamentarische","rechnungsprüfungsausschuss","parlamentarischen","eingaben","et","gmbh","un","volksrepublik","eigenkapital","richtlinie","wettbewerb","ostdeutschen","sports","einzelhandel","gemeinnützigkeit","vereine","sports","vereine","fünfprozentklausel","sports","parteien","verlagerung","sports","bundeszentrale","konzeptkommission","kulturpolitik","ard","rundfunk","kultur","funkamateure","internet","unternehmen","altersvorsorge","kultur","welle","internet","kultur","internet","film","sports","kulturpolitik","sport","kultur","kultur","rechtschreibung","kultur","direkt","kunst","welle","doping","enquetekommission","spiele","medien","staatsziel","enquetekommission","frequenzen","kultur","enquetekommission","musik","leistungsschutzrecht","künstler","sotschi","künstlersozialversicherung","doping","verwertungsgesellschaften","kultur","kulturelle","künstlerinnen","sprache","sport","meinungsfreiheit","medien","gemeinnützigkeit","plattformen","sport","medien"
"4","auswärtigen","bundeskanzler","bundesinnenminister","beamten","bundeskanzlers","ausland","provisorium","amtes","bonn","tit","titel","amts","auswärtige","bundesrechnungshofs","bundespressechef","filmindustrie","westdeutschen","kontrolle","anstalten","journalisten","rundfunk","anzeigen","rundfunk","drüben","kommission","schulzevorberg","zeitungen","diehl","öffentlichkeit","ehmke","ahlers","chef","rücktritt","chef","chef","öffentlichkeitsarbeit","wechmar","presse","wienand","bundeskanzleramt","schüler","akten","abgeordneter","abgeordneter","bundesrechnungshof","bayerischen","geheim","urteil","transitwege","josef","alterspräsident","öffentlichkeitsarbeit","untersuchungsausschuss","beratungsstelle","aussage","petenten","les","petition","monde","köhler","kreditinstitute","co","uwg","vermögensbeteiligungsgesetz","olympischen","athleten","sport","spenden","opel","opel","sperrklausel","gysi","kommission","film","hörfunk","banken","bonn","sports","girokonto","berlin","welle","medienbericht","sportförderung","bury","filmförderung","beauftragter","kiep","rundfunk","soziokultur","museumsinsel","kultur","deutschen","medien","sprache","olympischen","un","deutsche","fm","fünfprozenthürde","staatsziel","neumann","künstler","kulturpolitik","computerspiele","film","sports","kulturelle","kunst","kinos","sport","spiele","nada","kreativwirtschaft","sport","sport","sports","bildungspolitik","urheber","sports","kultur","deutsch","buchpreisbindung","urheberrecht","öffentlichrechtlichen","medien","kunst","plattformen","sport"
"5","beamten","amts","innern","amts","innern","fonds","presse","beziehungen","kahnackermann","kontrolle","fonds","innern","schmitt","beamten","eckardt","filme","besold","zweckbestimmung","film","pressefreiheit","rundfunkanstalten","informationsamt","haag","gegenseitigkeit","fernsehen","güntherkommission","staatssekretär","bundespressechef","berichterstattung","bundespressechef","bundeskanzleramtes","öffentlichkeitsarbeit","ehmke","staatssekretär","broschüre","ahlers","informationsamtes","informationsamtes","untersuchungsausschuss","presse","presse","staatssekretär","bundesbank","bundesverfassungsgericht","anzeigen","bölling","wahltag","papier","ddr","untersuchungsausschuss","bundesrechnungshofs","unterlagen","untersuchungsausschusses","schulze","vorsitzenden","ddr","le","amp","beklagten","sparkassen","kwgnovelle","banken","fusionskontrolle","mittelständischen","büchner","olympischen","sportvereine","parteienfinanzierung","gemeinnützigen","dienstleistungsabends","wahl","anstalten","landeszentralbank","landeszentralbanken","sportstätten","versicherungen","juni","kultur","stoiber","kulturpolitik","mittlerorganisationen","umzug","inhalte","transparenz","filmförderungsgesetz","angelegenheiten","stiftung","medien","naumann","bibliotheken","auslandsschulen","nidarümelin","kunst","deutsche","spiele","welle","rechtschreibreform","un","direktmandate","schulsport","goetheinstitut","sportler","kulturelle","kultur","börnsen","kulturpolitik","kulturpolitik","kulturelle","digitalisierung","filme","internet","urheberrecht","internet","kunst","kunst","sportler","doping","buchpreisbindung","filme","urheberrecht","kunst","esport","richtlinie","games","kunst","kolonialismus","meinungsfreiheit","kunst"
"6","minister","beamten","amt","presse","bulletin","minister","herrn","auswärtige","minister","auswärtigen","auswärtigen","beamten","amts","amt","bundesbeauftragten","filmwirtschaft","kontrolle","film","werbung","selbstkontrolle","deutschlandfunk","film","rundfunkanstalten","hase","film","kommission","informationsamt","moersch","information","wörner","bundeskanzleramt","anzeige","bundeskanzleramtes","journalisten","anzeigen","erkenntnisse","verordnung","göbel","ehmke","nollau","informationsamtes","ehmke","broschüre","anzeigen","bölling","broschüre","bayerischen","wahlplattform","unterrichtet","dienste","rechnungshof","presse","beschwerden","bundesrechnungshofes","schwantagformel","regenspurger","que","petitionen","renationalisierung","eigenkapital","kreditwirtschaft","kapitalgesellschaften","ladenschlusszeiten","feten","sportvereine","doping","dienstleistungsabend","chancenausgleich","vereinen","sport","sport","rundfunk","zentralbankrat","landeszentralbank","bundesbank","film","zwischenbericht","dslbank","berlin","berliner","kulturarbeit","wilhelm","iukdg","anleger","filmförderungsgesetzes","welle","broschüre","doping","filmförderung","urheber","stiftung","kultur","künstler","kulturstiftung","filmwirtschaft","is","sprache","io","fünfprozentklausel","sport","auswärtige","kulturwirtschaft","musik","auslandsschulen","sports","medien","staatsminister","kinos","werke","medienkompetenz","sportler","kulturellen","olympischen","grütters","künstlersozialkasse","olympischen","kulturelle","urheberrecht","film","welle","deutsche","buch","gemeinnützigkeit","invictus","künstlerinnen","meinungsfreiheit","sportstätten","plattformen"
"7","amt","auswärtige","maier","minister","ministerium","innern","auswärtigen","minister","erschwerungen","beamten","innern","tit","vockenhausen","bundespresse","aufgabenstellung","informationsamt","films","vermutlich","rundfunk","berliner","ard","anzeige","forschungsanstalt","mitteldeutschland","rundfunk","hase","bundeszentrale","bildung","pressekommission","staatssekretär","information","ehmke","information","abgeordneter","bundesregierung","wem","freiherr","wechmar","vertrauensmännergremium","bnd","schlei","schlei","öffentlichkeitsarbeit","herr","staatssekretär","bundesverfassungsgerichts","journalisten","bundeskanzleramt","presse","untersuchungsausschusses","staatssicherheit","kontrolle","öffentlichkeit","rechnungshofes","formale","anliegen","qui","petenten","le","pakistan","eigenkapitals","kg","klettpassage","bausparen","verbraucher","ladenschlussgesetz","vereinen","wahlkampfkostenerstattung","ladenöffnungszeiten","olympischen","gysi","werbung","pds","umzug","sportanlagen","sports","berlinbonngesetz","berlin","bury","öffentlichrechtlichen","goetheinstitut","öffentlichrechtlichen","netz","gres","filmförderungsanstalt","michael","stiftungsrecht","olympischen","kulturpolitik","sport","auswärtigen","staatsminister","kulturellen","grossveranstaltungen","deutschen","ok","deutschen","kt","kultur","neumann","bildungspolitik","künstlersozialversicherung","kulturwirtschaft","filme","filme","aupairs","kulturtourismus","bund","künstlerinnen","reformation","verlage","kreativwirtschaft","urheberrecht","sportler","medien","spiele","kulturellen","verwertungsgesellschaften","bildungspolitik","werke","sport","bücher","internet","öffentlichrechtliche","vvnbda","kolonialen","gemeinnützigkeit","kulturpolitik"
"8","regierung","ausland","schmidtwittmack","innern","minister","bundesinnenminister","vortrag","abteilung","deutschland","eckardt","kontrolle","haushaltsausschusses","bereitschaftspolizeien","kontrolle","kenntnisse","bundespressechef","filmproduktion","westdeutschen","zeitung","beschlagnahme","werbung","anzeigenaktion","sender","rundfunk","films","fernsehen","fernsehen","politische","öffentlich","anzeige","journalisten","anzeigen","chef","bundesregierung","staatssekretär","artikel","bundeskanzleramt","staatssekretär","untersuchungsausschusses","bölling","bnd","guillaume","broschüren","presse","staatsministerium","rechnungsprüfungsausschuss","veröffentlichung","abgeordneter","schröder","nachrichtendienste","presse","arbeitnehmerüberlassung","beratungsstelle","bundeskanzleramt","vorfälle","innerdeutsche","en","kg","mensch","kreditinstitute","öffentlichrechtlichen","bilanzrichtliniegesetz","verbraucher","unternehmen","spitzensport","flughafen","gutachtens","tierschutz","einzelhandel","willensbildung","gruppierungen","sportförderung","vermögen","kommission","nationalen","konzentration","ministerien","banken","rundfunkanstalten","auswärtige","ausland","hansotto","mayer","deutschen","hgb","behörde","kultur","öffentlichrechtlichen","staatsminister","verlage","nidarümelin","sportler","film","deutschen","bewerbung","kulturpolitik","barthel","en","gewählte","fusion","kulturpolitik","kulturellen","kulturellen","film","kulturpolitik","werbung","medien","film","immateriellen","enquete","digitale","urheber","sportler","olympischen","urheberrecht","bauhaus","sportler","doping","kunst","künstlern","kulturelle","deutsche","kreativen","internet","kulturelle","jugendschutz","journalisten","desinformation"
"9","ministerien","minister","schröder","amtes","beamten","ministerium","bundeshauptstadt","kontrolle","beamten","kühn","tit","kontrolle","kontrolle","auswärtigen","auswärtige","bundesprüfstelle","filme","bloss","martin","rundfunk","blumenfeld","zeitschrift","journalist","verlagsgesellschaft","mitteldeutschland","diehl","rundfunk","kuratorium","zeitungen","herr","fernsehen","broschüre","redaktion","herr","abgeordneter","veröffentlicht","korrespondenten","ehmke","schäuble","guillaumes","staatssekretär","bundeskanzler","herr","urteils","staatsregierung","bundesverfassungsgericht","dokumentation","bundespresseamt","transitabkommens","lockheed","sitzungsprotokoll","vorgänge","rauschenbach","ddr","böhm","pachtzins","nous","eingaben","deutschen","banken","köhler","vierte","uwgnovelle","fonds","vereine","sports","gmbh","büchner","ostdeutschen","herr","chancengleichheit","rundfunkanstalten","unabhängigen","verlagert","filmförderungsgesetz","landesmedienanstalten","region","bury","öffentlichrechtlichen","bundesstadt","goetheinstitute","öffentlichrechtliche","informationsgesellschaft","bank","krüger","bundesbehörde","stiegler","mayer","produzenten","stiftung","stiftungen","tv","plan","deutsch","neumann","wi","hansjoachim","le","einziehen","börnsen","deutschen","konvention","kunst","medien","rundfunk","fussball","sports","sports","digitale","internet","digitalen","digitalisierung","digitale","sportlerinnen","digitalen","sportlerinnen","grütters","kreativen","kulturellen","ausstellungsvergütung","medien","athleten","invictus","sport","journalisten","netz","organisationen","vielfalt"
"10","fragen","herrn","bundesamt","dienststelle","kontrolle","abteilung","amt","kulturabteilung","bulletin","informationsamt","schäfer","bücher","haushaltsausschusses","vergleichsverfahren","auswärtigen","bundespresse","westdeutschland","künftig","öffentlichrechtlichen","journalist","berlin","staatssekretär","irland","zone","drüben","informationsamt","zeitschriften","staatssekretär","sänger","kanzleramt","informationspolitik","information","exemplare","zusatzfrage","herr","frau","ddr","freiherr","staatssekretärin","bundesnachrichtendienst","öffentlichkeitsarbeit","journalisten","stern","staatssekretär","öffentlichkeitsarbeit","rechnungshof","herr","schröder","hennig","mitarbeiter","merex","verführt","sendung","postverkehr","vorgänge","petent","dans","beschwerden","weiterhin","entwicklungshelfer","haftungszuschlag","hgb","schwenk","ostdeutsche","sportorganisationen","büchner","amp","tierversuche","dienstleistungsabend","dsb","pds","breitensport","wahl","leipzig","hörfunks","rundfunk","neubauten","deutsche","bank","caesar","banken","mainz","laermann","unternehmensübernahmen","internet","beauftragte","kulturpolitik","sports","lammert","bücher","auswärtige","sportausschuss","christina","englisch","staatsoper","sprache","berufsgenossenschaften","ite","wählerstimmen","künstlerinnen","museen","nada","kreativwirtschaft","washingtoner","griefahn","rundfunk","sportanlagen","ffa","sport","kulturellen","sports","sports","künstlerinnen","internet","künstlerinnen","bewerbung","urheberrecht","kunst","athleten","sport","künstler","gemeinnützigkeit","plattformen","kunst","news","sport","film","deutsche"
"11","bundesregierung","staatssekretär","material","beamte","ministerien","amts","adk","amts","ritzel","presse","schmitt","indien","beamte","informationsamt","verwaltung","staatssekretär","berlinhilfe","herr","gebühren","neumann","welle","obersuhl","telefonseelsorge","bundespressechef","gesamtdeutschen","film","öffentlichkeitsarbeit","zeitschriften","diehl","journalisten","ressorts","publikationen","zeitung","pressefreiheit","journalisten","richtung","pressefreiheit","staatsanwaltschaft","presse","informationsamtes","waffengeschäften","bundeskanzleramt","jaeger","schäfer","geschädigt","presse","wahlzeit","presse","informationsfreiheit","material","präsidenten","amtspflichtverletzung","kontrolle","prowe","tätigkeit","reuter","ce","härten","ereignisses","gesellschafter","konsolidierung","kapitalgesellschaft","einzelhändler","beteiligungen","moral","tierversuchen","co","gemeinnützigen","olympiastützpunkte","lebensmittelhandel","wahlgesetz","sportstätten","direktorium","beschluss","öffentlichrechtlichen","fernsehen","beschluss","sportausschuss","zdf","kultur","kulturnation","internet","sports","öffentlichrechtlichen","sport","deutschen","staatsminister","spitzensport","soziokulturellen","digitale","deutschen","internet","deutschen","kulturpolitik","rostock","nich","zehetmair","se","partei","bernd","bernd","sports","künstler","sports","medienkompetenz","kulturellen","kulturellen","kulturtourismus","urheber","digitalen","urheberrecht","filme","enquetekommission","kulturpolitik","kulturpolitik","athleten","medien","museen","welle","athleten","rundfunk","olympics","urheber","igf","nutzer","museen","öffentlichrechtlichen","künstler"
"12","ministeriums","handbuch","beamten","ausland","herrn","bundeskanzlers","bundeskanzleramt","kahnackermann","deutschen","aufgaben","beamte","geheimfonds","wirtschaftlichkeit","bundesrechnungshofes","privaten","filmproduktion","film","ausländischer","werbefernsehen","fernsehen","anstalt","zeitungen","deutschlandfunks","zeitungsaustausch","zeitschrift","meinungsfreiheit","schulzevorberg","herr","zeitung","zeitungen","herr","abgeordneter","bundesregierung","welle","information","anfertigen","bundeskanzleramtes","anzeige","schlei","untersuchungsausschuss","bundeskanzleramt","chef","zusatzfrage","bundesverfassungsgerichts","koch","rechnungshofes","chef","kanzleramt","geflüchtet","linde","bayerischen","ausländerbeschäftigung","einsetzung","bemerkungen","angemessenen","ministerien","une","gesellschaftsform","melken","kriterien","kreditgenossenschaften","aufbau","liberalisierung","produktivkapital","verbraucherinnen","ladenschlussgesetzes","dienstleistungsabends","sockelbetrag","vereinsförderungsgesetz","nachfragemacht","wahlvertrag","zdf","währungspolitik","beschlusses","films","medien","ältestenrates","doping","rundfunk","pforzheim","sport","medien","tauss","film","unternehmen","internet","lammert","stiftungsrecht","kulturellen","nidarümelin","rock","deutsche","stiftung","nooke","staatsministerin","för","schüler","rp","drei","kulturpolitik","kulturgut","kulturelle","börnsen","sportler","dosb","doping","digitale","kulturellen","urheberrecht","welterbestätten","sportlerinnen","kulturelle","kreativen","digitalen","digitale","sportbericht","bibliotheken","filme","filmförderung","sportausschuss","vielfalt","special","uploadfiltern","welle","abgabenordnung","film","künstlerinnen","journalisten"
"13","herr","ministeriums","innenminister","ministerien","öffentlichkeit","bundeskanzler","minister","bonn","tätigkeit","ausland","juni","presse","aufgaben","kalender","beschädigten","schoettle","türkei","kollege","funk","aussageverweigerungsrecht","öffentlichrechtlichen","verlag","rundfunks","zonenrandgebiet","journalisten","tageszeitungen","politische","zeitung","rundfunk","information","kanzleramtes","staatssekretär","journalisten","broschüre","publikationen","bundespresse","bundesregierung","anzeigen","zeuge","verfassungsschutz","bundesnachrichtendienstes","herr","dr","verfassungsgericht","anzeigenserie","herr","publikationen","haase","festgenommen","akten","friedmann","beschäftigung","mitarbeiter","behinderungen","zusteht","ministerium","pour","skinheads","unsichtbare","chinesischen","haftsummenzuschlag","abschnitt","handel","mittelstandspolitik","sportpolitik","spitzensport","erleichterungen","vereinen","ostdeutsche","spiele","partei","schäuble","neugliederung","zentralbank","sportausschuss","depotstimmrecht","umzugs","auslandssender","kreditinstitute","bürgermeister","deutsche","amateurfunker","girokonto","aktionäre","filme","autoren","schreiber","kultur","medien","auswärtige","deutsche","paytv","welle","fusion","berliner","to","sport","to","medien","enquetekommission","kunst","vielfalt","spiele","jugendschutz","vielfalt","presse","neumann","neumann","ddb","digitale","kultur","film","sports","spiele","staatsministerin","provenienzforschung","sports","verlage","fans","bibliotheken","humboldt","literatur","urheberrechtsrichtlinie","meinungsfreiheit","fake","inhalte","kulturelle","journalismus"
"14","bundeskanzlers","dienstes","auswärtigen","aufgaben","bundesregierung","herrn","ministerium","brecht","ausland","ministerium","verfassungsschutz","aufgaben","meyer","goldmünzen","stehenlassen","schatzministerium","iven","gäste","zoglmann","medien","zeitungen","königin","fernsehens","fernsehen","meinungsfreiheit","bericht","scheel","informationsamt","tageszeitungen","propaganda","informationen","reddemann","dokumentation","zeitungen","bundespresseamt","chef","löwenthal","funcke","bundeskanzleramt","bundesnachrichtendienstes","carstens","bolling","anzeigen","haase","schüler","entlastung","einstweilige","vermerk","bundeskanzleramtes","riedl","rechnungshofes","tage","antrag","beschwerden","bericht","arbeit","nos","de","studentenschaften","luuk","ded","biener","schroeder","handel","spitzensportler","ladenschlusszeiten","übungsleiterpauschale","tierschutzgesetzes","spenden","stiftungen","sportstätten","ard","zentralbank","bonn","krüger","meinungsvielfalt","berliner","sendungen","sports","sport","kulturhaushalt","journalisten","jugendschutz","kodex","medien","staatsministers","leisler","sportler","bund","medien","internet","riegert","sport","kulturförderung","films","auswärtigen","neumann","ko","erfolgswert","medien","griefahn","börnsen","olympischen","filmerbe","verlage","öffentlichrechtlichen","internet","theater","deutsche","film","musikförderung","künstler","digitalen","staatsministerin","wlan","kultur","urheber","kulturellen","urheber","medien","verständigung","vielfalt","kunst","grütters","künstlern","grütters","pressefreiheit","schwöre"
"15","ausschuss","abteilung","bundeskanzlers","bundeskanzlers","organisation","verwaltung","berichte","auslandsmissionen","umfragen","beamte","haushaltsausschusses","personen","ministerium","titel","programme","parlament","entwicklungsfonds","vorgeschlagen","sänger","berlinhilfegesetzes","arndt","mitteilungsblatt","of","deutschlands","hase","journalisten","meinungsfreiheit","journalisten","parlament","bahr","herrn","landtagswahlen","jugendoffizier","schreibtischtäter","bevölkerung","informationsamtes","arbeitsmöglichkeiten","abgeordneter","verdacht","schlei","bundeskanzler","merex","werbeagentur","informationsamt","bundesrechnungshofs","rechnungsprüfung","bundesverfassungsgericht","herr","personen","april","vorgänge","streng","postverkehr","zentrale","antragstellung","betroffenen","il","remer","et","ceausescu","kreditwesen","buchführung","kleinen","vermögensbildung","verbraucherpolitik","internationalen","sportvereinen","sports","parteien","einzelhandels","listenverbindungen","spitzensport","organisationen","filme","fernsehanstalten","gwb","baukommission","beteiligungen","sparkassen","städtepartnerschaft","sendungen","sport","mediendienstestaatsvertrag","finanzmarktförderungsgesetz","mayer","bundesregierung","medien","naumann","fernsehen","preussischer","julian","german","kulturelle","barthel","sport","een","griefahn","at","erringen","kulturstiftung","kulturelle","staatsoper","neumann","ioc","staatsminister","bildungspolitik","bibliothek","kulturförderung","kunst","barrierefreiheit","leistungsschutzrecht","internet","künstlern","digitalisierung","publizisten","antidopinggesetz","kulturpolitik","kulturgüter","olympischen","kulturförderung","deutschen","medien","games","rundfunks","internet","jugendmedienschutz","urheberrecht","künstlerinnen"
"16","angelegenheiten","dienststelle","herrn","bundespresse","unterrichtung","presse","informationsamt","bert","weiss","amtes","beamtenschaft","vertritt","kuratorium","fonds","vollzieht","ausland","bundesgebiet","berlin","ard","information","rechnungsprüfung","redakteure","gäste","austausch","sänger","verlage","springer","fernsehen","meinungsfreiheit","öffentlichkeitsarbeit","propaganda","herr","publikationen","anzeigen","zusatzfrage","untersteht","akkreditiert","journalisten","bundeskanzler","bundeskanzleramtes","herr","zusatzfrage","haase","klage","zusatzfrage","staatssekretär","prüfungsmitteilungen","mitarbeiterin","festnahme","althammer","bundeskanzleramt","gedrängt","unterrichten","rechnungshofs","vogel","kreditwesen","je","anliegen","darstellte","reise","bankenaufsicht","vierten","kreditnehmer","vermögensbeteiligungsgesetzes","leistungssport","dieburg","handel","tierschutzes","sportbericht","einkauf","volkskammer","leistungssport","vereinigungen","länder","fernsehen","beteiligungen","kultur","verheugen","kammern","umzug","berliner","filmförderung","kommunen","aktie","schlauch","frankfurt","europarat","stiftung","neumann","sportler","popmusik","doping","sprache","sprachen","christina","deutsche","medien","ar","bundeswahlgesetz","folgerecht","urheber","medien","staatsziel","spielen","kinos","auswärtige","digitalen","filmförderung","bibliothek","audiodeskription","mediendatenbank","kreativen","sportgrossveranstaltungen","medien","kulturelle","fifa","staatsministerin","national","sportanlagen","dosb","staatsministerin","buchhandlungen","artikel","vielfalt","desinformation","rundfunk","journalismus","internet"
"17","staatssekretär","aufgaben","öffentlichkeit","parlament","ministeriums","kulturabteilung","innern","rom","presse","publikationen","bundesinnenminister","amt","antrag","rechnungsprüfungsausschuss","beamten","films","gradl","relationen","medien","films","kommission","ostkunde","bundespressechef","fragen","schulzevorberg","verleger","propaganda","sendungen","fragestunde","bildzeitung","broschüre","schwarze","antwort","publikationen","personalrat","stellt","leiter","bundeskanzleramt","wechmar","untersuchungsausschusses","akten","brandt","wohlrabe","staatspraxis","chef","staatsregierung","ministerialdirektor","friedmann","rieck","urteil","vergleichs","bundestagsabgeordneter","brasilien","innerdeutsche","dringenden","umfangreiche","pas","rechtsextremistischen","division","rumänien","genussscheinkapital","bilanz","saarlouis","huonker","pilotprojekt","spiele","einzelhandel","sportvereine","sportvereine","einzelhandel","wahltermin","neuen","bundesbankorganisation","neuordnung","sender","blank","bonner","otto","sportbericht","goetheinstitut","auswärtigen","medienpolitik","kiper","beteiligungen","videowirtschaft","öffentlichrechtlichen","pfahls","mosdorf","sport","auswärtigen","staatsminister","sportlerinnen","deutsche","staatsministerin","oper","ik","kulturellen","är","fünf","urheberrecht","musik","urheber","künstlerinnen","computerspielen","urhg","verfassung","olympischen","denkmalschutz","börnsen","medien","ukraine","sportförderung","ausstellungsvergütung","netzpolitik","grütters","leistungsschutzrecht","auswärtige","sport","kino","journalistinnen","athleten","deutschen","freifunk","journalisten","vielfalt","öffentlichrechtlichen","kulturschaffenden","meinungsfreiheit"
"18","parlament","dienst","amtes","bundeskanzler","schröder","regierung","bundespresse","bibliothek","ungeachtet","innern","bundesamt","verwendung","umdruck","kalenders","bundesinnenministerium","unterausschuss","gesund","vorkehrungen","publikationsmittel","funk","sender","berlin","wirtschaft","eckardt","filme","zeitschriften","nannen","öffentlichkeitsarbeit","moersch","berichterstattung","abteilungen","journalisten","ankündigungseffekte","anzeige","anzeige","staatssekretär","vertretung","zusatzfrage","chef","bundeskanzler","jaeger","öffentlichkeit","auflage","publikationen","urteil","anzeigen","informationsamt","information","blötz","arbeit","duve","beschäftigungsverhältnisse","nachrichtendienste","gerster","unterrichtet","berichtet","ne","schmidbauer","mandats","entwicklungspolitik","inland","stiegler","geistig","kleinen","dieburg","betreuung","abend","ostdeutschen","gemeinnützigkeit","vereinen","wahlgebiet","parteien","sekretariat","institutionen","filme","ioc","vollendung","rundfunkanstalten","versicherungen","hauptstadt","auslandsschulen","amateurfunkdienst","digitale","rundfunk","rössel","oberste","michael","informationsgesellschaft","stiftung","informationsgesellschaft","künstler","dopingopfer","amt","sports","hansjoachim","auswärtige","ehrenamtlich","ra","bundestages","sprintstudie","medien","goetheinstitut","handlungsempfehlungen","peking","sportler","schutz","netzpolitik","staatsminister","kulturgüter","werke","digitalisierung","bildungspolitik","kunst","kulturelle","störerhaftung","dosb","kreativen","künstler","kinos","athletinnen","forum","kunst","abgabenordnung","fake","meinungsfreiheit","künstler","novelle","telegram"
