"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","bundesregierung","bundesregierung","bundesregierung","bundesregierung","bundesregierung","bundesregierung","bundesregierung","vorlage","entwurf","entwurf","entwurf","entwurf","entwurf","vorlage","bundesregierung","entwurf","entwurf","bundesregierung","entwurf","entwurf","bundesregierung","bundesregierung","bundesregierung","entwurf","gesetzentwurf","registrierpflicht","skandal","parlamentsreform","falk","schaden","biosphäre","schwarzarbeit","makler","haushaltssteigerung","landtagswahlen","preisbindung","film","verbraucher","presse","presse","presse","verbraucher","wettbewerbs","unternehmen","unternehmen","zonenrandgebiet","unternehmen","unternehmen","unternehmen","unternehmen","schwarzarbeit","wettbewerb","unternehmen","unternehmen","stahlindustrie","unternehmen","stahlindustrie","stahlindustrie","saarland","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","werften","kohle","kohle","rheinhausen","nordrheinwestfalen","kohle","nordrheinwestfalen","region","steinkohle","steinkohle","mecklenburgvorpommern","stahlindustrie","stahlindustrie","stahlindustrie","eko","kur","raumfahrtindustrie","vulkan","sket","bergleute","schröder","schröder","pallas","hochwasser","werften","schleswigholstein","ostsee","werften","donau","börnsen","wale","werften","häfen","raumfahrt","maritimen","seeschifffahrt","ostsee","bruttoprinzip","ostsee","fischerei","meere","ostsee","meere","wattenmeer","wale","maritimen","elbe","reeder","reeder","hochwasserschutz","saudiarabien","ebola","saudiarabien","waffen","waffen","waffen","maritimen","rüstungsexporte","rüstungsexporte","saudiarabien","rüstungsexporte","werften","rüstungsexporte","maritimen","antidiskriminierungsstelle"
"2","antrag","ausschuss","ausschuss","ausschuss","gesetzentwurf","übereinkommen","gesetzentwurf","bundestag","bundesregierung","bundesregierung","vorlage","vorlage","vorlage","gesetzentwurf","gesetzentwurf","entwurf","bundesregierung","bundesregierung","entwurf","bundesregierung","bundesregierung","entwurf","sachverständigen","entwurf","regierung","entwurf","vorlage","variablen","ordnungsgemässe","wirtschaftsgut","erlassene","volkswirt","herr","antragsteller","aufrufe","vorstellungen","marktwirtschaft","wohlrabe","wettbewerb","pressefreiheit","zeitungen","fusionskontrolle","verbraucherpolitik","verbraucher","mittelstand","forschungs","unternehmen","pressefusionskontrolle","wettbewerb","berufe","hauser","unternehmen","unternehmen","regionalen","wettbewerb","unternehmen","grundig","werften","wolfram","bremen","saarland","landesregierung","landesregierung","hamburg","stahlindustrie","rheinhausen","nordrheinwestfalen","kohle","nordrheinwestfalen","kohle","ministerpräsident","möllemann","region","werften","bremen","bischofferode","stahl","eisenhüttenstadt","branche","luft","bremer","bvs","boote","niedersachsen","lukaschenko","steenblock","bayern","schleswigholstein","börnsen","börnsen","börnsen","variante","ostsee","walfang","ostsee","raumfahrt","küstenwache","häfen","goldmann","kleinwale","seeschifffahrt","meere","msc","fischerei","maritimen","akkreditierungsstelle","wattenmeeres","walfang","maritime","kormoran","elbe","maritimen","hochwasser","rüstungsexporte","rüstungsexporte","liberia","mexiko","gabriel","zoll","maritime","waffen","waffen","rüstungsexporte","waffen","lobbyregister","rüstungsexportpolitik","maritime","leitung"
"3","bundesregierung","bundestag","bundestag","antrag","ausschuss","gesetzentwurf","entwurf","gesetzentwurf","gesetzentwurf","vorlage","bundesregierung","bundesregierung","gesetzentwurf","bundesregierung","entwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","grundsätze","parlaments","damen","gesetzentwurf","blumenfeld","betonte","geschafft","blieb","bauer","preissenkungen","hochzinspolitik","anrechnen","kilogramm","gnade","besoldungsgruppe","herren","unternehmen","verbraucher","bundeskartellamt","zeitungen","agb","zusagen","mittelstandspolitik","bundeskartellamt","kleinen","zonenrandgebiet","wettbewerb","programm","kleinen","selbständigen","gemeinschaftsaufgabe","mittleren","schwarzarbeit","mittleren","selbständigen","saar","montanmitbestimmung","bremen","lambsdorff","stahlindustrie","regionen","arbeitsplätze","schleswigholstein","ibbenbüren","arbeitsplätze","nordrheinwestfalen","ruhrgebiet","ruhrgebiet","steinkohle","saarland","saarland","nordrheinwestfalen","wilhelmshaven","möllemann","egkommission","kali","urbaniak","bekleidungsindustrie","flughafenunternehmen","dasa","bvs","werften","beteiligungen","preussag","belarus","börnsen","hilfen","ostsee","bayern","werften","seeämter","vilshofen","küste","iwc","mecklenburgvorpommern","schiffe","esa","maritime","börnsen","schweinswale","alkohol","maritime","walfang","meer","maritime","delfine","weltnaturerbe","walfangs","elbe","kriegswaffen","maritimen","schiffe","flut","export","liberia","waffen","kleinwaffen","aken","waffe","waffen","rüstungsexporten","saudiarabien","jemen","genehmigungen","amthor","meier","seelotsen","diskriminierung"
"4","regierung","antrag","hause","bundestag","bundestag","gesetz","bundestag","bundestages","entwurf","apotheke","gesetzentwurf","gesetzentwurf","gesetz","vorlage","gesetz","bundestag","vorzulegen","wurde","gesetzgebenden","bundestagsfraktion","sachverständigen","beratungen","entwurf","finanzvorschau","norddeutschen","bundesregierung","cbm","bühnen","würzburg","begriffs","flugzeug","schutzgemeinschaften","beteiligten","titeln","kurz","verliess","wettbewerb","marktwirtschaft","unternehmen","journalisten","kreditinstitute","höfeordnung","mittelstand","unternehmen","mittleren","mittleren","mittleren","zonenrandgebiet","wettbewerbs","freien","wirtschaft","hauser","schwandorf","mittelständische","warnke","springer","wettbewerb","unternehmen","reuschenbach","unternehmen","regionalpolitik","krupp","arbeitsplätze","landesregierung","stahl","stahlindustrie","regionen","stahlindustrie","jahrhundertvertrag","landesregierung","nordrheinwestfalen","energiepolitik","möllemann","verbundlösung","stahlunternehmen","textil","subventionen","textil","heilbädern","raumfahrt","werften","schiffbau","vorstand","stahl","dutyfree","oceanic","schäden","pallas","küstenschutz","korea","ostsee","straubing","schiffe","japan","börnsen","spiegel","galileo","organspende","kapitän","nord","gebraucht","meer","population","meerespolitik","rüstungsexportbericht","delfinen","liebing","walschutz","konferenz","fischerei","schiffe","maritime","elbe","rüstungsgütern","epidemie","maritime","reeder","van","waffenrecht","rüstungsexporte","geliefert","jemen","waffen","rüstungsgüter","philipp","doppelnamen","seeleute","antidiskriminierung"
"5","bundestag","vorlage","gesetzentwurf","übereinkommen","gesetz","ausschüsse","ausschuss","verabschieden","dezember","gesetzentwurf","termin","anregungen","bundesregierung","gesetz","bundesregierung","vorlage","vorlage","grundsätze","beratungen","vorlage","beratungen","verabschiedung","arbeitsgruppe","sozialdemokratische","vorlage","vorsieht","niedersächsischen","gerüchte","sozusagen","regierungsvorlage","anfügen","quelle","alternative","gesetzentwurf","einfluss","müssen","verbraucher","filmwirtschaft","marktwirtschaft","wirtschaftliche","stiftung","unternehmen","unternehmen","mittleren","berufe","investitionszulage","investitionszulage","existenzgründungen","diag","gmbh","arbeitsplätze","regionalen","mittelständischen","schlecht","stahlindustrie","bundeswirtschaftsminister","wirtschaftsstruktur","subventionen","jochimsen","fusion","stahlindustrie","bremen","niedersachsen","arbeitsplätze","bangemann","arbeitsplätze","belegschaft","landesregierung","saarland","steinkohle","bergbau","bergbau","bergbau","region","stahl","brüssel","sozialpläne","riva","marokkanischen","eurofighter","bremen","maritimen","hauptschulabschluss","salzgitter","beschluss","werften","börnsen","steenblock","region","koreanischen","schiffbau","schifffahrt","öl","ess","schiffbau","organe","küste","port","trunkenheitsfahrten","beifänge","biermann","maritimen","fischfang","maritime","werften","eigentumsfreiheit","unescoweltnaturerbe","kommerziellen","meere","kormoranmanagement","bord","flagge","thw","waffen","ebolaepidemie","rüstungsexporte","maritime","kriegswaffen","schusswaffen","häfen","saudiarabien","genehmigt","peenewerft","rüstungsexporten","schiffe","genehmigt","werften","lehmann"
"6","nr","fraktion","antrag","gesetzentwurf","entwurf","bundestag","vorzulegen","novelle","wasserhaushaltsgesetz","arzneimittelgesetz","gesetz","novelle","vorgelegt","notstand","petenten","gesetz","bundestag","hohen","oktober","grundsätze","sozialdemokratische","juni","schliesslich","ermächtigungen","bundesregierung","verbessert","gesetzentwurf","unangemessene","schaden","gerüchte","volkswirt","gerüchte","eintragung","wirtschaft","herr","bedeutete","missbrauchsaufsicht","filmförderung","werbung","fusionskontrolle","klein","bundeskartellamt","aktionsprogramm","hauser","mittelstandspolitik","mittelständischen","verbraucher","wettbewerb","mittleren","diag","mittleren","wirtschaft","lohnveredelung","unternehmens","erp","kohlepolitik","skarpelissperk","graf","nordrheinwestfalen","arbeitsplätze","arbeitsplätze","wuppermann","saarland","schleswigholstein","steinkohle","bremen","arbeitsplätze","arbeitsplätze","bergleute","bergbau","saarlandes","kohle","bremen","nordrheinwestfalen","brüssel","bekleidungsindustrie","brüssel","skarpelissperk","textil","stoiber","verbund","magdeburg","werften","niedersächsischen","dutyfreehandel","schleswigholstein","hilfe","küstenschutz","gemeinschaftsaufgabe","schleswigholstein","goldmann","saale","pallas","rüstungsexportbericht","schiffe","börnsen","nüsslein","package","alkoholmissbrauch","fischerei","konvention","fischerei","wissenschaftlichen","ostsee","rüstungsexporte","häfen","wattenmeerkonferenz","iwc","wilhelmshaven","exporte","maritime","seeleute","schäden","kriegswaffen","ärzte","grundsätze","rüstungsexporte","kleinwaffen","ble","schiffe","jemen","rüstungsindustrie","maritime","rüstungsexportpolitik","schiffbau","genehmigungen","see","bundes"
"7","gesetz","gesetzentwurf","drucksache","kabinett","vorlage","april","vorgelegt","juni","bundestag","bundestag","materie","regierungsvorlage","bestimmungen","regierungsvorlage","verabschiedung","ohnehin","bundestages","gesetzgebenden","regierungserklärung","parlaments","fünftens","sachverständigen","mehrere","damen","gewichtigen","vorgelegten","finanzverfassung","ritual","wuppertal","worden","benutzung","mangel","einbruch","scheu","europäische","friedenspolitik","fusionskontrolle","wettbewerb","kartellamt","walz","verbraucher","banken","wettbewerb","kreditinstitute","mittelständischen","mittlere","fusionskontrolle","berlin","gewinne","mittelstand","mittelstand","kleinen","freien","meisterprüfung","wirtschaftsausschuss","wirtschaftsminister","unternehmens","lambsdorff","arbedsaarstahl","georgsmarienhütte","unternehmen","stahlindustrie","küste","küste","nordrheinwestfalen","landesregierung","stahl","steinkohle","bergbau","kohlepolitik","lafontaine","bundeswirtschaftsminister","kohle","erbitterten","krise","fusion","lemwerder","stahlindustrie","bekleidungsindustrie","airbus","mecklenburgvorpommern","maritime","armeen","bvs","niedersachsen","schiff","badenwürttemberg","börnsen","küste","goldmann","maritime","elbe","havariekommando","meere","korea","weltraum","havariekommando","börnsen","schiff","ascobans","theorie","grünbuch","japanischen","meeres","munitionsaltlasten","eigentum","antrag","japan","kormoran","rüstungsgütern","schiffen","bord","deiche","willsch","helfer","maritimen","van","waffenexporte","biowaffen","werften","genehmigt","deutsche","rüstungsexporten","rüstungsindustrie","maritime","export","schiffe","besetzung"
"8","fraktion","hause","bereits","vorlage","beratungen","entwurf","jahres","vorlage","bundeswasserstrassen","bundesbaugesetzes","verzögerung","arzneimittelgesetz","verabschiedung","rechtsverordnung","beratungen","vorbereitung","öffentlichkeit","entwurfs","gesetz","beratungen","übergang","wechsel","preise","parlaments","vorsieht","werk","rechtzeitig","preispolitischen","sprengstoff","fraktion","schwerwiegenden","parlamentarischer","münzen","erlaubnis","ausgedruckt","wahl","wirtschaft","filme","aral","einlagensicherung","zeitungsverleger","klein","mittelständischen","mittelstandspolitik","hauser","kleinen","kleinen","betriebe","arbeitsplätze","wirtschaft","mittelständischen","warnke","wirtschaftsstruktur","mittelständischen","landesregierung","lambsdorff","markt","hdw","bundeswirtschaftsminister","wolfram","jochimsen","saarland","land","kohle","werften","bangemann","landesregierung","kohlepfennig","kohlepolitik","land","stettin","jahrhundertvertrag","braunkohle","stralsund","steinkohle","reuschenbach","bundeswirtschaftsminister","ekostahl","fag","arbeitsplätze","treuhandanstalt","anpassungsgeld","mittelfeld","landesregierung","preussag","küste","süddeutschland","korea","handlungsbedarf","ostseeraum","maritimen","goldmann","havarie","gabriele","china","seehäfen","raumfahrtpolitik","schleswigholstein","promille","see","kollege","meerespolitik","wale","meeresschutz","häfen","akkreditierung","sylt","agadir","schiffe","fischer","see","häfen","helfern","transparenz","leone","rüstungsgütern","aken","jagd","munition","streumunition","rüstungsgüter","rheinmetall","maritimen","grundsätze","mecklenburgvorpommern","müllermeier","la","besetzen"
"9","hohen","gesetz","beratungen","hauses","september","bundesrat","gesetzentwürfe","namens","lebensmittelrecht","materie","vorgelegt","gesetz","bundesrat","ausnahmezustand","gesetzesvorlage","beschwerde","unterbreitet","bmz","sachverständigen","behauptet","parlaments","ausschussberatungen","beratungen","unsere","sichert","beraten","händler","liberalisierung","transaktionen","wehner","unbekannt","hankel","grosser","erbschaftsteuer","wohin","mitte","kartellnovelle","unternehmen","preise","medienpolitik","tageszeitungen","zeitungen","marktwirtschaft","wettbewerb","wettbewerb","investitionszulagengesetzes","mittlere","tankstellen","loewe","pieroth","insolvenzen","wirtschaftsstruktur","regionen","lohnveredelung","regionalen","lammert","ministererlaubnis","bremer","saarland","kohle","strukturpolitik","region","strukturschwachen","nordrheinwestfalen","regionen","stahl","stahlindustrie","saarland","lafontaine","energiepolitik","gerstein","saarland","bergleute","landesregierung","stahlkrise","arbeitsplätze","wirtschaftsminister","textilindustrie","bundesstiftung","dolores","hennemann","bergleute","denen","schultze","arbeitsplätze","schiffbau","schleswigholstein","schiffbau","klar","küste","küste","fasse","bönstrup","island","prestige","maritimen","mars","küste","fahrerlaubnis","abkommen","entsprechen","wale","japans","tags","schiffe","wale","nordsee","kommerzielle","reeder","fischarten","offshorewindenergie","see","sachsen","rüstungsexportbericht","guinea","schiffe","gabriel","rüstungsexporte","seefischereigesetzes","koordinator","genehmigungen","aussenwirtschaftsverordnung","export","exporte","maritimen","bundesregierung","bord","beauftragte"
"10","hause","ausschüsse","entwurf","zugeleitet","verzögerung","hohen","juni","hohen","gesetz","apothekengesetz","zugeleitet","gutachten","hauses","september","lesung","notstand","gesetzentwürfe","bundestagsfraktion","zurückgebliebenen","möglich","legende","kompetenzen","verabschiedung","verabschiedung","sachlichen","genscher","käme","extrem","hebung","bezweifle","zutreffen","peinlich","herren","störung","heyen","gestatten","preisempfehlung","glotz","wettbewerbs","klein","grosskredite","presseunternehmen","mittelstandsbericht","fusionskontrolle","mittlere","warnke","unlauteren","markt","wirtschaft","hauser","förderung","gemeinschaftsaufgabe","mittelständische","rettung","werbung","ag","fusion","stahl","unternehmen","saarlandes","regionalen","emden","niedersächsischen","rau","konsens","steinkohle","strukturwandel","ruhrgebietskonferenz","subventionen","einert","interesse","subventionen","kohlerunde","lösung","subventionen","stahl","rexrodt","region","kronberg","industrie","ag","schwanhold","st","voestalpine","gerhard","havarie","katastrophe","landesregierung","bund","ostseeregion","mecklenburgvorpommern","raumordnungsverfahren","see","walfangs","kadetrinne","winkel","see","steenblock","promillegrenze","verbreitungsgebiet","euro","häfen","quoten","maritimen","munition","unterwasserlärm","dänemark","meer","saudiarabien","artenschutz","flüsse","schiff","flüssen","genehmigung","sierra","genehmigungen","genehmigung","sigmar","waffengesetz","beckmeyer","rüstungsgütern","rüstungsexporten","bundesregierung","saudiarabien","werft","namensrecht","lotsen","ads"
"11","drucksache","zeit","fraktionen","vorgelegt","antrag","vorgelegt","april","vorzulegen","ausschuss","bundesverfassungsgerichts","reform","vorgelegt","vorbereitung","frist","neuordnung","parlaments","sozialdemokratische","regierungsvorlage","lesung","wurde","damen","entwürfe","vorstellungen","bundestagsfraktion","spdfraktion","temperatur","hessen","selbstverwaltung","vermögensverlust","urne","fortzusetzen","wahlkämpfe","presseerklärung","lizenz","einheit","gemacht","wirtschaftsordnung","wirtschaftsausschuss","wirtschaft","daten","daten","meinungsvielfalt","verbrauchers","insolvenzen","kleine","forschung","wettbewerbs","wirtschaft","ludwig","mittleren","ludwig","wettbewerb","formen","millionen","händler","entscheidung","hoffmann","bundesregierung","stahlunternehmen","europäischen","bremen","müller","häfen","norden","subventionen","regionen","duisburg","stahl","energiepolitik","jahrhundertvertrages","thüringen","jung","subventionen","rostock","reuschenbach","ag","krise","brüssel","arbeitsplätze","branche","ringstorff","steinkohlenbergbau","hessischen","niedersächsische","stahl","nordsee","bodensee","expertenkommission","löschen","pallas","staatssekretärin","varianten","häfen","kriegswaffen","küste","toten","ariane","nordsee","betrunken","meere","weniger","werften","postgesetz","meeren","rostock","fischerei","exporte","quoten","branche","schifffahrt","seeleute","schiffen","solidarität","rüstungsexporten","who","reeder","katar","saudiarabien","biowaffenübereinkommen","gabriel","drittländer","rüstungsexportpolitik","jemenkrieg","bundesregierung","lobbyismus","immer","rüstungsexportpolitik","leitungsstelle"
