"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","tagesordnung","sitzung","sitzung","sitzung","uhr","geschäftsordnung","uhr","tagesordnung","geschäftsordnung","tagesordnung","präsident","wochenschau","herren","beamten","herr","kommission","kriegsopfer","beamten","beamten","beamten","dienst","beamten","bundeskriminalamt","beamten","beamten","dienstes","dienst","beamten","zivilverteidigung","dienst","genscher","benda","beamten","genscher","genscher","genscher","genscher","genscher","genscher","dienst","bundesgrenzschutz","dienst","dienstes","terrorismus","terrorismus","terrorismus","dienst","beamten","baum","polizei","polizei","nebentätigkeit","asylbewerber","ausländer","ausländer","bundesinnenminister","ausländern","volkszählung","sport","kultur","volkszählung","sport","polizei","flüchtlinge","volkszählung","datenschutz","datenschutz","ausländer","ausländer","ausländer","juden","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","kanther","ausländer","kanther","ausländer","staatsangehörigkeit","ausländer","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","marschewski","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","sicherheit","sicherheitsbehörden","untersuchungsausschuss","untersuchungsausschuss","terrorismus","integration","schäuble","integration","daten","daten","daten","daten","flüchtlinge","staatsangehörigkeit","datenschutz","datenschutz","daten","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","afghanistan","familiennachzug","migration","flüchtlinge","flüchtlinge","grenze","griechenland","migration","menschen"
"2","sitzung","uhr","uhr","uhr","sitzung","tagesordnung","sitzung","uhr","uhr","präsident","geschäftsordnung","präsident","herr","antrag","antrag","weihnachtsgeld","kriegsopferversorgung","dienst","kriegsopfer","dienst","beamten","dienst","beamten","dienstes","gscheidle","beamten","schmittvockenhausen","verbrechensbekämpfung","beamten","beamten","innern","innern","dienstes","innern","bundesgrenzschutz","mandel","innern","innern","innern","öffentlichen","bundesgrenzschutzes","öffentlichen","dienst","maihofer","terroristen","terroristen","verfassungsschutz","baum","bundesinnenminister","beamten","spranger","beamten","polizei","integration","asylbewerber","beamten","ausländer","bundesinnenminister","bundesinnenminister","datenschutz","sport","zimmermann","daten","polizei","daten","zimmermann","ausländer","zimmermann","aussiedler","verfassungsschutz","diestel","unterlagen","akten","schengener","asylrecht","asylrecht","ausländer","ausländern","ausländer","ausländer","sonntagwolgast","ausländer","flüchtlinge","ausländer","kanther","integration","zuwanderung","asyl","npd","zuwanderung","schily","schily","schily","zuwanderungsgesetz","bundesinnenminister","bundesinnenminister","schily","schily","staatsangehörigkeit","kontrollgremium","sicherheit","schäuble","integration","datenschutz","datenschutz","datenschutz","datenschutz","integration","daten","migranten","daten","flüchtlinge","integration","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","flüchtlinge","migration","flüchtlinge","menschen","migration","integration","migranten","deutschland","moldau"
"3","nr","tagesordnung","tagesordnung","geschäftsordnung","geschäftsordnung","sitzung","geschäftsordnung","sitzung","tagesordnung","uhr","herr","beirat","damen","kühlthau","ausschuss","beamten","harmonisierungsnovelle","dienstes","kommission","dienstes","dienstes","öffentlichen","gscheidle","öffentlichen","dienst","öffentlichen","beamten","dienstes","vergütungsgruppe","dienstes","beamten","genscher","besoldung","dienst","sicherheit","innern","dkp","öffentlichen","dienst","polizei","polizei","maihofer","öffentlichen","terroristen","beamten","bundeskriminalamt","beamten","sicherheitsbehörden","beamten","verfassungsschutzbericht","dienst","dienst","bundesamt","ausländern","asylverfahren","hirsch","beamten","daten","zimmermann","personalausweis","datenschutz","verfassungsschutz","datenschutz","zimmermann","verfassungsschutz","volkszählung","zimmermann","datenschutz","schäuble","ausländern","dienste","köppe","asylbewerber","asylrecht","flüchtlinge","asyl","asylbewerber","staatsangehörigkeit","abschiebung","innenminister","staatsangehörigkeit","flüchtlinge","innenminister","kanther","aussiedler","staatsbürgerschaft","ausländer","marschewski","zuwanderung","gewalt","bundesinnenminister","vereinigungen","bosbach","ausländer","sicherheit","schily","bundesinnenminister","datenschutz","schily","schäuble","sicherheitsbehörden","winkler","bundespolizei","daten","schäuble","polizei","integration","datenschutz","zuwanderung","daten","zuwanderung","residenzpflicht","flüchtlinge","flüchtlingen","deutschland","menschen","flüchtlingen","menschen","menschen","menschen","flüchtlinge","pakt","migration","migranten","flüchtlinge","menschen","asyl","geflüchteten"
"4","uhr","bundestages","morgen","tagesordnung","tagesordnung","uhr","einzelhandel","geschäftsordnung","präsident","geschäftsordnung","tagesordnung","herr","beamten","dienst","verbesserungen","vorschuss","beamten","erhöhung","dienstes","doppelversorgung","schmittvockenhausen","dienstes","dienst","schmittvockenhausen","innenausschuss","angestellten","innenausschuss","innenausschuss","ii","genscher","öffentlichen","polizei","dienst","öffentlichen","innern","neuregelungsgesetz","dienst","dienst","dienstes","bewerber","innern","bewerber","beamten","verfassungsschutz","terroristischen","schleyer","öffentlichen","polizei","bgs","bundesgrenzschutz","bundesinnenminister","asylbewerber","asyl","ausländischen","einbürgerung","beamte","ausländerpolitik","ausländer","ausländer","kunst","daten","bundesinnenminister","bürger","innenminister","bürger","datenschutzbeauftragten","datenschutzbeauftragten","aussiedler","staatsangehörigkeit","schäuble","hirsch","aufarbeitung","aufarbeitung","asylverfahren","asyl","ausländer","bürgerkriegsflüchtlinge","einbürgerung","staatsangehörigkeit","flüchtlinge","integration","innenminister","marschewski","staatsbürgerschaft","zuwanderung","schily","bundesinnenminister","deutschland","marschewski","deutschland","sicherheit","sicherheit","zuwanderungsgesetz","integration","innenminister","zuwanderung","terrorismus","terrorismus","bundesinnenminister","sicherheit","datei","flüchtlinge","sicherheit","schäuble","bka","kontrolle","abkommen","bundespolizei","deutschland","integration","deutschland","stiftung","deutschland","staatsangehörigkeit","staatsangehörigkeit","deutschland","integration","flüchtlingen","flüchtlingen","zuwanderung","menschen","migranten","staatsangehörigkeit","menschen","migranten","flüchtlinge","menschen","ukraine"
"5","drucksache","drucksache","bundestages","bundestages","sonntag","ältestenrat","samstagnachmittag","rasner","fraktion","herr","ältestenrat","uhr","präsident","einfachen","präsident","antrag","gscheidle","wuermeling","gscheidle","dorn","beamte","besoldung","innenausschuss","beamte","miessner","benda","neugliederung","dienst","köppler","öffentlichen","dienst","verbrechensbekämpfung","innern","dorn","bundesgrenzschutzes","staates","beamten","dienstes","polizei","innern","beamten","dkp","gehobenen","traube","polizei","höcherl","verfassungstreue","bundesinnenminister","innern","bundesinnenminister","baum","polizei","asylrecht","türken","asylrecht","dienst","verfassungsschutz","polizei","film","ausländer","zimmermann","volkszählung","verfassungsschutz","asyl","sportler","daten","baumann","innern","schengener","innern","such","verfassungsschutz","stasi","flüchtlinge","ausländer","staatsangehörigkeit","abschiebung","ausländerbeauftragten","flüchtlinge","sonntagwolgast","schmalzjacobsen","sonntagwolgast","integration","flüchtlinge","spätaussiedler","ausländer","innenminister","card","gewalt","rechtsextremismus","marschewski","uhl","sicherheit","staatsangehörigkeit","umzug","terrorismus","zuwanderungsgesetz","strobl","untersuchungsausschusses","terrorismus","antiterrordatei","innenminister","bundesinnenminister","terrorismus","integration","sicherheitsbehörden","elena","elena","datenschutz","datenschutz","integration","daten","informationsfreiheit","optionspflicht","asylbewerber","asylbewerber","deutschland","herkunftsstaaten","land","deutschland","bamf","bamf","asylbewerber","miri","menschen","griechischen","migranten","flüchtlinge"
"6","punkt","punkt","nächste","nächste","antrag","fraktion","zeitungen","präsident","minuten","fraktion","uhr","herren","innenausschuss","innenausschuss","erhöhung","weihnachtsgeldes","dienst","schmittvockenhausen","bazille","schmittvockenhausen","innenausschuss","innenausschuss","öffentlichen","fortbildung","öffentlichen","schmittvockenhausen","verbesserungen","besoldungsgruppe","dienstes","innern","beamte","beamten","wagner","länder","polizei","polizei","polizei","polizei","beamten","maihofer","terroristischen","verfassungstreue","berger","polizei","bekämpfung","maihofer","dregger","innenminister","bundesgrenzschutzes","asylbewerber","dregger","beamte","innenminister","ausländerpolitik","ausländerfeindlichkeit","asylrechts","bundesamt","innenminister","innenminister","ausweis","beamten","beamten","sicherheit","asylbewerber","gesetze","innenminister","daten","innenminister","innern","gerster","akten","gerster","ausländer","asyl","asylrechts","flüchtlinge","innenminister","polizei","innern","schmalzjacobsen","flüchtlinge","schmalzjacobsen","staatsangehörigkeit","rassismus","flüchtlinge","zuwanderung","flüchtlinge","ausländer","innenminister","ausländischer","integration","inneren","integration","schily","integration","flughafen","integration","informationen","fischer","ströbele","journalisten","bundesinnenminister","integrationsplan","integrationspolitik","sis","integration","vorratsdatenspeicherung","staatsangehörigkeit","zwangsheirat","deutschland","flüchtlinge","asylbewerber","datenschutz","deutschland","menschen","eritrea","migration","land","staatsbürgerschaft","familiennachzug","land","menschen","asyl","staatsangehörigkeit","grenzen","moria","staatsbürgerschaft","registrierung"
"7","herren","herren","herren","finanzvorlagen","weihnachten","fraktionen","angestellten","fraktion","mommer","herren","fraktion","damen","erhöhung","fraktion","kühlthau","weihnachten","dienstes","matzner","antrag","beamte","angestellten","gräber","dienstes","dienst","dienstes","bundesbehörden","stufe","schmittvockenhausen","besoldungsgruppe","wagner","abteilung","bundeskriminalamt","genscher","dienstes","länder","massnahmen","sicherheit","baum","öffentlichen","verfassungstreue","wahlrecht","beamten","terroristischen","bekämpfung","hochschulen","polizei","regelanfrage","innenausschuss","bundesgrenzschutz","baum","dienstes","innern","demonstrationen","baum","ausländern","ausländer","zirndorf","datenschutz","volkszählung","daten","schäfer","tiedge","zimmermann","sport","zimmermann","polizei","ausländern","waffenschmidt","ausländern","datenschutz","daten","staatssicherheit","ausländerfeindlichkeit","zuwanderung","politisch","schengener","jelpke","schmalzjacobsen","vietnam","asylbewerber","ausländern","marschewski","staatsbürgerschaft","integration","marschewski","doppelte","integration","green","schily","integration","innenminister","polizei","strobl","richtlinie","bundeskriminalamt","innenminister","koschyk","informationsfreiheitsgesetz","innenminister","informationen","untersuchungsausschuss","pass","daten","migranten","sicherheit","sicherheit","flüchtlinge","deutsch","flüchtlingen","flüchtlinge","datenschutzes","asylbewerberleistungsgesetz","staatsangehörigkeit","asylbewerber","migration","mittelmeer","land","einstufung","deutschland","abschiebungen","zuwanderung","familiennachzug","integration","deutschland","griechenland","deutschland","integration","migration"
"8","geschäftsordnung","berufe","punkt","deckung","petitionen","präsident","tagesordnung","grundgesetzänderung","redezeit","morgen","herren","ufa","rutschke","herr","matzner","zahlung","besoldung","gscheidle","kriegsopferversorgung","überleitung","besoldung","beamtenbesoldung","bundesinnenminister","besoldung","beamtenschaft","bundesgrenzschutz","öffentlichen","öffentlichen","iii","erhöhung","schäfer","kriminalpolizei","öffentlichen","rechtspfleger","beamten","unternehmen","länder","länder","dkp","dkp","dienst","mitgliedschaft","beamte","bundesinnenminister","dienst","sicherheit","beamte","sicherheit","spranger","spranger","verfassungsschutz","öffentlichen","verfahren","türkei","asyl","ausländerpolitik","innern","innenausschuss","ausländischen","fälschungssicheren","dienst","polizei","zevis","ausländer","hirsch","speicherung","wahlrecht","spranger","polizei","schengener","jüdischen","stasi","sed","genfer","zuwanderung","politisch","ausländern","jelpke","ausländergesetzes","ausländergesetzes","kanther","zurückkehren","özdemir","menschen","land","staatsangehörigkeitsrecht","rüttgers","schily","extremismus","flüchtlinge","ausländer","versammlungsrecht","innern","deutschland","bundesgrenzschutz","integration","polizei","polizei","informationsfreiheitsgesetz","elmasri","ströbele","sri","terrorismus","zuwanderung","terrorismus","terrorismus","swiftabkommen","zuwanderung","asylbewerber","sicherheitsbehörden","migration","integration","aufenthaltsgesetz","migration","optionspflicht","zuwanderung","asyl","sicheren","migration","land","integration","asyl","einwanderung","seehofer","griechischen","migration","migrationspolitik","geflüchtete"
"9","damen","nächste","fraktion","antrag","sonntage","herren","meyerronnenberg","herren","herren","sitzung","damen","gerstenmaier","kühlthau","dienstes","dienst","dienst","brück","verbesserungen","öffentlichen","versorgungsempfänger","weihnachtszuwendungen","sachverständigenrat","ländern","besoldungsgruppe","brück","dienst","unteroffiziere","besoldung","tarifverhandlungen","schäfer","benda","dorn","gehobenen","beamten","innenminister","bundesminister","bundesinnenminister","minister","länder","bewerbers","kriminellen","grundordnung","innenausschuss","innenminister","msb","spranger","dienstes","inneren","riedl","organisationen","öffentlichen","baum","dregger","dregger","schöfberger","polizei","bundesinnenminister","spranger","beamten","ausweises","mikrozensus","hirsch","hirsch","hirsch","schmidtbott","datenschutzbeauftragte","datenverarbeitung","volkszählung","penner","verfassungsschutzes","schäuble","sed","köppe","abkommen","seiters","zuwanderung","polizei","ausländergesetz","schmalzjacobsen","einbürgerung","marschewski","ausländern","ausländern","sonntagwolgast","ausländern","bundesinnenminister","jelpke","flüchtlinge","bundesinnenminister","ausländer","verfassungsschutz","integration","innenminister","grindel","kaplan","luftsicherheitsgesetz","sicherheitsbehörden","bundesinnenminister","beweisaufnahme","schily","bnd","sicherheit","innenminister","bka","migranten","thw","innenminister","migranten","kilic","gesundheitskarte","mayer","deutschland","flüchtlingen","frontex","asyl","asyl","kommunen","innenminister","abschiebungen","einwanderungsgesetz","subsidiär","land","zuwanderung","personen","deutschland","inseln","azr","integration"
"10","betreffend","deutschen","fraktionen","herren","sonntagen","beratung","damen","damen","damen","hauses","dr","ausschuss","anhebung","anhebung","fraktion","überleitung","probst","besoldung","besoldung","vorlage","bundesinnenminister","ländern","besoldungsordnung","innenausschuss","besoldung","angestellte","brück","verbesserungen","amtsbezeichnung","bundesinnenminister","innenministerium","dienst","beamte","innenministerkonferenz","bundesinnenminister","fällen","bundeskriminalamt","zentralstelle","bundesinnenminister","beamten","dienstes","dienstes","vereinigung","grohnde","spartakus","innenminister","bundesinnenminister","innern","beamte","bundesgrenzschutzes","innern","bundesinnenminister","flüchtlinge","asylbewerber","ausländerbehörden","innenminister","kinder","asylrechts","datenschutz","kulturpolitik","dienstes","datenschutz","kontrollkommission","sicherheit","datenschutz","verfassungsschutz","bundesinnenminister","hirsch","datenschutz","daten","innern","innern","flüchtlinge","polizei","deutschland","asylrechts","sonntagwolgast","integration","innenminister","ausländern","aussiedler","integration","sonntagwolgast","marschewski","ausländerrecht","kinder","tampere","rüttgers","menschen","familienbericht","bosbach","zuwanderungsgesetz","deutschland","terrorismus","zuwanderungsgesetz","innern","innenminister","sicherheit","integration","innenminister","geheimdienste","datenschutz","sicherheitsbehörden","winkler","bkagesetz","informationen","piltz","demail","elena","integrationskurse","flughafenverfahren","sicherheitsbehörden","wolff","zuwanderung","asylbewerberleistungsgesetz","integration","asylverfahren","asylverfahren","schutz","integration","migranten","herkunftsstaaten","personen","folter","migration","lesbos","ausländerzentralregisters","polen"
"11","abgeordneten","damen","damen","finanzvorlage","übergang","antrag","samstag","beratung","gerstenmaier","rasner","abgeordneter","plenum","bausch","präsident","herren","möller","einfachen","beamtenbesoldung","dienst","verbesserungen","gscheidle","schmittvockenhausen","schmittvockenhausen","berufsunteroffiziere","schmittvockenhausen","innern","besoldungsneuregelungsgesetzes","polizei","bat","besoldungsrückstand","dorn","sofortprogramm","richterbesoldung","gewaltverbrechen","inneren","bund","bundes","bundesminister","wahlkreiskommission","bundeskriminalamt","innenausschuss","bundesgrenzschutz","angehörigen","dienstes","beamte","fahndung","grundordnung","dregger","dienst","grundordnung","beamten","nebentätigkeiten","grundrecht","polizei","integration","ausländerfeindlichkeit","gäck","ausländerpolitik","büchner","hirsch","datenschutzbeauftragten","kontrollkommission","innenausschuss","ströbele","innern","hirsch","verfassungsschutz","asylbewerber","einbürgerung","übersiedler","gerster","schäuble","gerster","ausländer","polen","verfolgte","innern","lebenden","schengener","bürgerkriegsflüchtlinge","einbürgerung","flüchtlingen","lebenden","bundesinnenminister","versorgungsrücklage","einbürgerung","asyl","ausländergesetzes","ausländer","schily","innern","beckstein","bundesinnenminister","marschewski","digitalfunk","polizei","visa","stokar","uhl","innern","schäuble","migration","inneren","böhmer","zuwanderung","europol","staatsangehörigkeit","deutschland","migranten","syrien","willkommenskultur","zuwanderung","bleiberechtsregelung","menschen","beck","unterbringung","kommen","asyl","staatsangehörigkeit","migration","asylverfahren","flüchtlingen","abschiebung","abschiebung","asylsystem","fachkräfteeinwanderungsgesetz","ausländerzentralregister","aufnahme"
"12","antrag","anfrage","hauses","beratung","berufe","wehrpflichtgesetzes","ladenschluss","atomgesetzes","mitglieder","gerstenmaier","haus","antrag","hauses","mittleren","beamten","iv","bundesbesoldungsgesetzes","brück","kriegsopfern","bundesbeamtengesetzes","weihnachtsgeld","bundesbeamten","besoldungsreform","unteroffiziere","beamte","besoldung","dienstes","besoldungsneuregelungsgesetz","bediensteten","besoldungsrückstandes","dienstes","dienstes","vereinheitlichung","brück","innere","ländern","öffentlichen","beamten","minister","dienstes","vereinigung","bewerbers","rechtspfleger","innern","innern","bundesinnenminister","innenminister","beamte","jentsch","jentsch","ausländerpolitik","verfahren","politisch","beamten","länder","öffentlichen","zdf","widerstand","richtlinien","ausländerpolitik","volkszählungsgesetz","daten","gesetze","daten","waffenschmidt","innern","hirsch","daten","gerster","hirsch","informationen","mfs","asylrecht","grundgesetzes","verfolgte","polen","bundesgrenzschutz","ausländischen","abschiebestopp","asylrecht","abschiebung","rückführung","zuwanderung","bgs","einwanderungsland","gesellschaft","flüchtlingen","aufenthaltsrecht","bekämpfung","bundesinnenminister","deutschland","terrorismus","terrorismus","bundesinnenminister","zuwanderung","binninger","innere","datei","kriminalität","bundesinnenminister","informationen","lanka","piltz","flüchtlinge","flüchtlinge","nachrichtendienste","sicherheit","onlinedurchsuchung","wolff","türkischen","piltz","flüchtlingen","hartfrid","integration","herkunftsstaaten","einwanderung","asylbewerber","sichere","subsidiären","einwanderung","afd","asylverfahren","staatsbürgerschaft","heimat","staatsangehörigkeit","einwanderung","staatsangehörigkeit","ukrainischen"
"13","ältestenrat","fraktion","geschäftsordnung","heutige","damen","damen","sonntag","ältestenrat","antrag","namens","schmücker","dr","iv","ortszuschlag","entschliessungsantrag","besoldung","neuordnungsgesetzes","regierungsvorlage","innenminister","beamtenrecht","öffentlichen","gscheidle","brück","vierten","innenausschusses","gscheidle","besoldungsneuregelungsgesetz","innenausschusses","angestellten","berger","ruhestand","öffentlichen","laufbahn","bundeskriminalamt","dienst","besoldungsrechts","verbrechensbekämpfung","bundesinnenminister","innenausschuss","innenminister","stockholm","polizei","miltner","dienst","verfassungsschutz","innern","bewerber","spranger","innenminister","innenminister","ausländer","ausländer","baum","ausländischer","heimat","ausländern","schäfer","minderheiten","sports","personalausweises","polizei","innenminister","bundesinnenminister","innern","boykott","bürger","polizei","polizei","übersiedler","ausländerrecht","innenausschuss","ingrid","archive","asylrechts","asylbewerbern","einbürgerung","ulla","bgs","asylbewerber","bundesinnenminister","özdemir","innern","bürgerkriegsflüchtlinge","asylbewerberleistungsgesetz","integration","türkei","asylbewerber","innenminister","deutschland","polizei","zuwanderungsgesetz","terroristische","ausländer","asyl","bka","bundesgrenzschutz","inneren","philipp","visa","nachrichtendienste","innenminister","migranten","wahlrecht","piltz","bundesinnenminister","schäuble","veit","ausländer","veit","wolff","notz","asylrecht","sprache","doppelte","zuwanderung","migration","bamf","asylbewerber","beck","flüchtlingen","schutz","migrationspakt","deutschland","geflüchtete","inseln","personen","geflüchteten","kommunen"
"14","fraktion","heutigen","mitglieder","hauses","fraktion","bundestages","verkauf","herr","haus","dr","hauses","geschäftsordnung","geschäftsordnung","rutschke","schwerbeschädigten","herr","besoldungserhöhungsgesetz","vorlage","regierungsvorlage","innenausschuss","angleichung","bundesgrenzschutz","dorn","verbesserungen","ländern","nordrheinwestfalen","beamte","kriminalpolizei","öffentlichen","innenausschuss","versetzt","schneider","innenausschuss","polizei","bgs","bundesinnenminister","bund","datenschutz","beamte","bund","vereinigungen","innern","sicherheit","verfassungsschutzes","öffentlichen","dregger","innern","bund","polizei","penner","bekämpfung","arbeitserlaubnis","teilnehmer","kinder","ausländischen","baum","integration","asylrecht","ausländerpolitik","zimmermann","bundesgrenzschutz","innenausschuss","ströbele","volkszählung","staat","spranger","asylbewerber","gerster","volkszählung","innenausschuss","informationstechnik","polizei","wartenberg","flüchtlingskonvention","asylverfahren","grundgesetzes","bgs","ausländerinnen","sonntagwolgast","staatsbürgerschaft","ausländerrecht","ausländergesetzes","schmalzjacobsen","asyl","ausländerpolitik","innenminister","menschen","asylrecht","einwanderung","versammlungsrecht","stadler","marschewski","bevölkerung","bevölkerung","inneren","bosbach","stokar","informationsfreiheit","erlasse","stadler","daten","wiefelspütz","ströbele","deutschland","staatsangehörigkeit","kriminalität","asylverfahren","integrationskurse","personen","mayer","sicherheitsbehörden","aufenthaltsrecht","mayer","mayer","integration","aufnahme","müssen","marokko","bleibeperspektive","punktesystem","deutschland","zuwanderung","fachkräfte","migrationspolitik","aussengrenzen","grenzen","flucht","deutschland"
"15","herr","geschäftsordnung","ältestenrat","mitglieder","fraktionen","eröffnet","geschlossen","grundgesetzergänzung","sitzung","haus","antrag","vorlage","beamtengehälter","erhöhung","damen","haushaltsausschuss","überbrückungszulage","beamtenschaft","beamtenrechts","öffentlichen","weihnachtsgeldes","vierten","bundeskriminalamtes","brück","spdbundestagsfraktion","neuordnung","vierten","dorn","besoldungsneuregelungsgesetz","mittleren","personal","innenminister","bund","innenminister","waffen","legitime","bundesgrenzschutz","kpd","innenminister","innenministerkonferenz","botschaft","bundesgrenzschutzes","bekämpfung","sicherheit","sicherheit","bekämpfung","spranger","dienst","behörden","dienst","innenminister","beschleunigung","ausländerbehörden","spranger","baum","gewalttäter","miltner","bund","filme","ausländern","volkszählungsurteil","bundesamt","personalausweis","flüchtlingen","dkp","bundesinnenminister","innenminister","datenschutzbeauftragten","ausländerpolitik","such","verfassungsschutz","sonderbeauftragten","asyl","grundgesetzänderung","bundesinnenminister","sicheren","asylverfahren","staatsbürgerschaft","abschiebehaft","cornelie","cornelie","bökel","rassismus","schmalzjacobsen","ausländischen","deutschland","innenpolitik","bundesinnenminister","integration","erwin","innere","gewalt","inneren","strobl","koschyk","daten","bgs","wiefelspütz","aussenminister","fussballweltmeisterschaft","polizei","innern","polizei","innenminister","nachrichtendienste","piltz","abschiebung","maizière","integration","sicherheit","wolff","datenschutzes","ausländer","beck","freizügigkeit","flucht","flucht","deutschland","einbürgerung","abgeschoben","asyl","seehofer","duldung","zuwanderung","geflüchteten","fachkräfte","flüchtlinge","schutz"
"16","bundestages","haus","heutigen","berufe","herren","dr","herren","atomgesetz","fraktionen","damen","bundesversammlung","fritz","innenausschusses","geschäftsordnung","beratungen","geschäftsordnung","fraktion","besoldungsordnung","sozialenquete","gscheidle","einfachen","beamte","einheitlichkeit","angestellten","stufe","beamte","ollesch","bundeskriminalamt","beamte","dorn","ressorts","schäfer","bundeskriminalamt","schaulustige","polizeilichen","übersicht","verfassungsschutz","innenminister","bundesgrenzschutz","mitgliedschaft","kpi","organisation","ausbildungsdauer","wohnung","buback","inneren","verfassungsschutzes","bka","länder","asylrecht","inneren","asylrecht","asylverfahren","innenminister","ministerpräsident","verfassungsschutz","flüchtlinge","zimmermann","integration","künstler","bundesinnenminister","schäfer","parlamentarischen","bundesgrenzschutz","innenminister","blens","innern","ausländern","bgs","kontrolle","kontrolle","mitarbeiter","schäuble","schäuble","grundgesetzes","verfolgung","ausländergesetzes","bundesgrenzschutz","einbürgerung","staatsangehörigkeit","asylbewerber","cornelie","kinder","doppelte","staatsbürgerschaft","pkk","marschewski","menschen","polizei","beck","innenausschuss","innenminister","sicherheitsbehörden","terroristische","bgs","hofmann","ausländer","staatsbürgerschaft","sachstandsbericht","integration","kontrolle","grindel","stokar","abkommen","innenminister","innenminister","migranten","einbürgerung","ausländerbehörden","kilic","staatsangehörigkeit","asyl","menschen","lampedusa","staatsbürgerschaft","beck","flüchtling","asylpaket","familiennachzug","beck","grenzen","deutschland","land","integration","migrationshintergrund","integration","aufnahme","ukrainische"
"17","hauses","antrag","woche","petitionen","mitglieder","mitglieder","sonnabend","interfraktionellen","wahlgang","ältestenrat","gerstenmaier","tagesordnung","beschlüsse","tarifklasse","beamtengruppen","herren","vorrangig","gehobenen","präsident","brück","gewährung","verbesserungen","studienkommission","miessner","zulage","polizei","kollege","polizeibeamten","kempfler","tarifverhandlungen","bundesgrenzschutz","bundesinnenminister","zulage","bundesregierung","schneider","besoldungserhöhungsgesetz","beamte","wahlrecht","wahlrecht","ländern","sicherheit","innenminister","anzeigepflicht","gewaltkriminalität","fahndung","bund","einstellungsbehörden","pensky","asylrecht","verfassungsschutz","beamte","dienstlichen","verbot","ausländische","asylrechts","tarifhoheit","kühbacher","schäfer","kunst","bundesbeauftragten","bürger","bundesamtes","sicherheitsbehörden","bürger","verfassungsschutzes","gespeichert","datenschutzbeauftragte","flüchtlinge","wahlrecht","aussiedler","neusel","massenorganisationen","bundesinnenminister","schengen","asylkompromiss","asylkompromiss","asylrechts","ausländische","türkei","integration","innern","deutschland","abschiebung","innenminister","beamten","pass","asylrecht","einwanderung","beamten","richtlinie","inneren","september","bundesgrenzschutz","innenminister","extremisten","datenschutz","untersuchungsausschuss","staatsangehörigkeit","stadler","aufklärung","trennungsgebot","dağdelen","wieland","libyen","bundeskriminalamt","stokar","maizière","elektronischen","ausländer","abkommen","ausland","mikrozensus","staatsbürgerschaft","flüchtlingspolitik","asylanträge","seenotrettung","maizière","algerien","asylbewerber","mayer","herkunftsstaaten","personen","abschiebungen","ausländer","personen","lager","grenzen","krieg"
