"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundeskanzler","bundeskanzler","herr","herr","herr","herr","herr","herr","herr","herr","höcherl","herr","höcherl","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundesminister","zwischenfrage","zwischenfrage","herr","herr","herr","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","gestatten","herr","zwischenfrage","zwischenfrage","zwischenfrage","herr","zwischenfrage","herr","herr","herr","herr","zwischenfrage","herr","zwischenfrage","herr","abgeordneter","herr","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","herr","herr","herr","abgeordneten","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","kollege","wort","wort","wort","wort","erteile","wort","erteile","erteile","wort","erteile","erteile","wort","wort","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","dat","wolf","wolf","wolf","wolf","krise","pandemie","pandemie","pandemie"
"2","herrn","herrn","herrn","bundeskanzler","stahlhelm","bundeskanzler","kollege","bundeskanzler","bundeskanzler","herr","herr","bundeskanzler","bundeskanzler","bundeskanzler","dr","bundeskanzler","herrn","dr","herrn","innern","innern","bundesminister","bundesminister","bundesminister","dorn","kollege","dorn","kollege","kollege","kollege","kollege","dr","kollege","zwischenfrage","dr","ehmke","herr","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","gestatten","herr","herr","gestatten","zwischenfrage","abgeordneter","gestatten","herr","herr","zwischenfrage","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","zwischenfrage","abgeordneter","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","abgeordneter","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","vizepräsident","herr","vizepräsident","bohl","vizepräsident","vizepräsident","vizepräsident","bitte","kollege","vizepräsident","kollege","kollege","kollege","kollege","herr","zwischenfrage","wort","kollege","erteile","erteile","erteile","wort","erteile","wort","wort","erteile","wort","wort","kollege","kollege","vizepräsidentin","wort","wort","wort","vizepräsidentin","wort","wort","wort","bitte","vizepräsident","wort","wort","wort","vizepräsidentin","vizepräsidentin","wort","wort","wort","de","weidetierhalter","wölfe","wölfe","wölfe","pandemie","krise","massnahmen","massnahmen"
"3","gesagt","kollege","menzel","herrn","bundeskanzler","herrn","bundeskanzler","herrn","heinemann","herrn","herrn","herrn","herrn","schröder","bundeskanzler","herrn","strauss","herrn","dr","herr","höcherl","herr","gesamtdeutsche","dr","bundesminister","bundesminister","kollege","benda","zwischenfrage","strauss","gestatten","kollege","zwischenfrage","kollege","ehmke","herr","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","herr","gestatten","gestatten","herr","herr","zwischenfrage","herr","gestatten","gestatten","gestatten","gestatten","bitte","dr","abgeordneter","bundesminister","abgeordneter","abgeordneter","herr","abgeordneter","herr","abgeordneter","plenarsaal","abgeordneter","herr","vizepräsident","abgeordneter","bitte","abgeordneten","zwischenfrage","vizepräsident","bitte","vizepräsident","bitte","bitte","bitte","kollege","vizepräsident","kollege","vizepräsident","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","bitte","erteile","erteile","kollegen","kollegen","kollegen","kollegen","kollegen","kollegen","kollegin","kollege","kollegin","kollegin","kollegin","vizepräsidentin","wort","bitte","dr","vizepräsidentin","wort","kollegin","bitte","bitte","vizepräsident","wort","redner","vizepräsident","redner","roth","wort","ge","vizepräsidentin","vizepräsidentin","un","wölfe","wolfes","erhaltungszustand","wölfen","massnahmen","massnahmen","inzidenz","impfen"
"4","kollege","minister","kollege","gesagt","kollege","kollege","herrn","schmidt","dr","gesagt","adenauer","dr","kollege","urteil","herrn","dr","schloss","bucher","minister","verfassungsschutz","bundesminister","innern","mende","minister","kollege","innern","innern","dorn","herrn","zwischenfrage","zwischenfrage","zwischenfrage","dr","dr","kollege","abgeordneten","kollege","kollege","kollege","kollege","kollege","frau","kollege","abgeordneten","abgeordneter","bundesminister","abgeordneten","abgeordneter","bundesminister","abgeordneten","abgeordneter","bitte","abgeordneter","abgeordneter","abgeordneter","abgeordneter","gestatten","geissler","abgeordneten","abgeordneten","gestatten","gestatten","gestatten","gestatten","abgeordneter","gestatten","gestatten","abgeordneter","bitte","vizepräsident","abgeordneter","abgeordneten","zwischenfrage","zwischenfrage","bitte","kollege","zwischenfrage","kollege","vizepräsident","bitte","bitte","bitte","vizepräsident","vizepräsident","vizepräsident","bitte","wort","otto","kollegen","kollegin","kollege","kollegin","kollegin","kollegin","kollegin","kollegen","kollegin","dr","kollegen","dr","kollegin","kollegin","vizepräsidentin","kollegin","dr","redner","herr","vizepräsident","vizepräsident","redner","bitte","vizepräsident","bitte","kollegin","claudia","bitte","men","erhält","erhält","kollege","de","wölfen","weidetierhalter","privatpiloten","unternehmen","virus","impfen","virus"
"5","ja","gesagt","gesagt","kollege","herrn","gesagt","kühn","wehner","herrn","partei","dr","gesagt","erler","dr","kollege","damen","minister","justiz","strauss","minister","minister","minister","dr","zusatzfrage","innern","staatssekretär","benda","vizepräsident","gestatten","dr","dr","gestatten","gestatten","gestatten","bundesminister","kollege","dr","dr","abgeordneten","vizepräsident","abgeordneten","kollege","frau","kollege","abgeordneten","abgeordneten","abgeordneter","abgeordneten","gestatten","bundesminister","bundesminister","abgeordneter","bitte","bitte","gestatten","bundesminister","vizepräsident","kollege","erlauben","gestatten","abgeordneten","bitte","bitte","bitte","gestatten","bitte","vizepräsident","bitte","gestatten","abgeordneter","geschäftsordnung","bitte","bitte","geschäftsordnung","zwischenfrage","zwischenfrage","kollege","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","kollegin","bitte","bitte","gestatten","kollegen","hermann","zwischenfrage","kollege","kollegin","kollege","kollege","kollege","kollege","kollege","kollegen","kollege","lammert","vizepräsidentin","dr","dr","dr","vizepräsidentin","kollegin","bitte","bitte","dr","kollegin","wort","schön","bitte","kollegin","roth","redner","cducsufraktion","vizepräsidentin","redner","redner","wort","dat","de","wolfes","meldeschein","virus","hilfen","lage","lage"
"6","heute","bundeskanzler","bundesinnenminister","dr","goslar","sozialistischen","gesagt","kollege","wehner","wehner","gesagt","kollege","dr","karlsruhe","referentenentwurf","herren","güde","jahn","präsident","alliierten","dr","dr","minister","brief","vorbehaltsrechte","dr","herrn","frage","süsterhenn","gestatten","vizepräsident","ehmke","herrn","abgeordneten","zwischenfrage","herrn","herrn","herrn","herrn","dr","herrn","abgeordneten","abgeordneten","abgeordneter","vizepräsident","abgeordneter","herrn","bitte","bürgschaft","bitte","bitte","abgeordneten","herrn","abgeordneten","herrn","gestatten","bundesminister","dr","gestatten","kollege","bitte","abgeordneten","abgeordneten","vizepräsident","bitte","abgeordneten","bitte","gestatten","vizepräsident","gestatten","bitte","gestatten","cronenberg","cronenberg","kollege","cronenberg","gestatten","dieterjulius","dr","gestatten","kurzintervention","gestatten","bitte","gestatten","kollegin","kollegen","solms","bitte","solms","solms","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","vizepräsident","vizepräsident","zwischenfrage","bitte","dr","herr","bitte","bitte","kollegin","bitte","bitte","kastner","vizepräsidentin","herr","herr","herr","redner","schön","redner","vizepräsidentin","wort","zwischenfrage","erhält","kollegin","nächste","wi","wolfes","kollege","population","wolfes","kurzarbeit","lockdown","krise","gastronomie"
"7","dr","rede","mann","adenauer","gesagt","studentenbundes","köln","brief","gesagt","stephan","bundeskanzlers","rede","bundeskanzlers","arndt","schröder","minister","ahlers","präsident","behörden","bundesminister","vizepräsident","vizepräsident","vizepräsident","vizepräsident","lücke","guttenberg","dr","herrn","frage","bundesminister","herrn","bundesminister","ehmke","herrn","herrn","dr","vizepräsident","abgeordneter","bitte","abgeordneten","dr","schlei","vizepräsident","vizepräsident","bitte","herrn","bitte","herrn","bitte","abgeordneter","abgeordneten","kollege","vizepräsident","gerster","dr","bitte","bitte","auschwitz","kollege","erlauben","redezeit","vizepräsident","redezeit","abgeordneten","abgeordneten","vizepräsident","abgeordneten","minuten","abgeordneten","abgeordneten","vizepräsident","abgeordneter","dieterjulius","abgeordneten","bundesminister","dieterjulius","cronenberg","cronenberg","gestatten","kollegen","hansulrich","kollegin","gestatten","hirsch","gestatten","kollegin","kollegin","solms","kollegin","hermann","solms","hermann","gestatten","dr","dr","dr","dr","vizepräsident","kollege","bitte","zwischenfrage","susanne","herr","susanne","zwischenfrage","herr","dr","zwischenfrage","schön","schön","herr","erhält","schön","zwischenfrage","kollegin","redner","ver","bitte","spdfraktion","vizepräsidentin","un","mitverlegung","herdenschutz","abschuss","wochen","unternehmen","epidemischen","krise"
"8","herren","gesprochen","minister","erklärt","damen","minister","dr","dr","kollege","dr","heinemann","herren","rede","heinemann","nellen","bundeskanzlers","jahn","minister","bundeskanzler","schäfer","schmittvockenhausen","weber","fragen","abgeordneter","mende","parlamentarischer","bundesminister","zwischenfrage","vizepräsident","vizepräsident","abgeordneter","herrn","vizepräsident","vizepräsident","vizepräsident","besondere","abgeordneten","vizepräsident","abgeordneter","herrn","abgeordneter","herrn","herrn","herrn","bundesminister","bitte","bundesminister","bundesminister","carstens","herrn","herrn","bundesminister","kollege","herrn","bundesminister","kollege","herrn","pazifismus","bitte","bitte","vizepräsident","redezeit","vizepräsident","redezeit","vizepräsident","redezeit","redezeit","abgeordneten","redezeit","geschäftsordnung","gestatten","geschäftsordnung","abgeordneter","dieterjulius","dieterjulius","abgeordneter","dieterjulius","gestatten","hans","kurzintervention","gestatten","dr","hansulrich","kurzintervention","kurzintervention","vizepräsident","otto","kollegen","vizepräsidentin","otto","vizepräsidentin","gestatten","herr","vizepräsident","zwischenfrage","bitte","vizepräsident","kollegen","redezeit","erteile","herr","kastner","zwischenfrage","zwischenfrage","herr","kollegin","redner","otto","dr","kollegin","kollegin","kollegin","herr","claudia","herr","erhält","redner","zwischenfrage","kollegin","ok","wölfen","weidetierhalter","wölfen","rudel","schnell","lage","virus","infektionsschutzgesetz"
"9","sagen","ja","erklärt","becker","damals","kühn","cdu","gesagt","dehler","innenminister","kollege","lesen","heinemann","herrn","arndt","rede","höcherl","gerstenmaier","brief","untersuchungsausschuss","schoettle","schäfer","kollege","schmittvockenhausen","dr","vizepräsident","zwischenfrage","npd","dr","herrn","abgeordneten","vizepräsident","bundesminister","ehmke","gestatten","aufgaben","bundesminister","abgeordneten","dr","bitte","frau","vizepräsident","abgeordneter","bitte","dr","kollege","schön","kollege","abgeordneten","vizepräsident","posser","vizepräsident","schön","riedl","schön","herrn","dr","abgeordneten","bundesminister","bundesminister","kollege","kollege","kollege","kollege","plenarsaals","kleinert","cronenberg","redezeit","cronenberg","redezeit","pds","cronenberg","ullmann","redezeit","gestatten","bannmeile","abgeordneten","dr","klein","dr","klose","kollegen","frau","dr","burkhard","solms","herr","kollegin","hermann","vizepräsident","bitte","solms","bitte","hermann","gestatten","zwischenfrage","gestatten","zwischenfrage","vizepräsident","zwischenfrage","katrin","schön","solms","redner","erhält","susanne","otto","redner","redner","zwischenfrage","dr","zwischenfrage","dr","bitte","nächste","kollegin","ten","cducsufraktion","zwischenfrage","för","sprachen","komme","de","schäfer","helfen","märz","geimpft","schützen"
"10","worden","heute","dr","herren","dr","zeitung","industrie","mineralölwirtschaft","rede","schröder","cdu","zitiert","schröder","bundesinnenminister","herren","kollege","dr","geschäftsordnung","gerstenmaier","untersuchungsausschusses","abgeordneter","mende","zusatzfrage","gesamtdeutsche","minister","zusatzfrage","frage","innern","hs","kollegen","strauss","abgeordneten","abgeordneten","abgeordneter","abgeordneten","zwischenfrage","abgeordneter","müllerhermann","schäfer","abgeordneter","bitte","abgeordneter","dr","frau","kollege","vizepräsident","redezeit","schön","herrn","wurbs","dr","gerster","bundesminister","kollege","vizepräsident","stoltenberg","kollege","erlauben","vizepräsident","herrn","riedl","cronenberg","abgelaufen","wolfgramm","redezeit","kollege","frau","frau","minuten","frau","redezeit","redezeit","gestatten","kollege","cronenberg","abgeordneten","redezeit","heuer","hirsch","hirsch","dr","burkhard","dr","kollegin","dr","vizepräsidentin","vizepräsident","herr","bitte","zwischenfrage","otto","bitte","vizepräsident","spdfraktion","lammert","solms","bitte","schön","cducsufraktion","solms","schön","katrin","schön","erhält","redner","dr","göringeckardt","hermann","vizepräsidentin","solms","erhält","göringeckardt","vizepräsidentin","herr","cducsufraktion","roth","kollegin","claudia","claudia","vun","ik","rückkehr","jagdrecht","herdenschutz","corona","müssen","welle","corona"
"11","minister","kollegen","damals","strauss","kesselring","brief","strauss","behauptung","volksbefragung","adenauer","journalisten","damen","rasner","märz","cdu","bundesinnenminister","gerstenmaier","herren","innern","schoettle","mommer","frage","abgeordneter","kollege","alliierten","freiherr","lücke","bundesminister","kollegen","scheel","bundesminister","schäfer","abgeordneter","bundesminister","zusatzfrage","staatssekretäre","bitte","bitte","vizepräsident","frau","vizepräsident","staatssekretärin","funcke","bundesminister","herrn","dr","kollege","vizepräsident","emstek","kollege","eid","herrn","cducsu","vizepräsident","kollege","abgeordneten","ehmke","gestatten","kalender","stücklen","bundesminister","angerechnet","schön","angerechnet","cronenberg","frau","renger","geschäftsordnung","stücklen","cronenberg","gruppe","ullmann","abgeordnete","gestatten","abgeordneten","gestatten","dr","kurzintervention","kollegen","wort","klein","klein","wort","burkhard","hirsch","otto","hermann","zwischenfrage","vizepräsident","dr","hermann","vizepräsident","dr","gestatten","redezeit","otto","lammert","susanne","norbert","schön","göringeckardt","göringeckardt","katrin","herr","kastner","zwischenfrage","vizepräsident","solms","solms","otto","zwischenfrage","cducsufraktion","zwischenfrage","cducsufraktion","bitte","herr","wolf","nächste","cducsufraktion","is","herdenschutz","beratungsstelle","jugendreisen","schafe","coronakrise","testen","testen","einzelhandel"
"12","renner","dr","bundesinnenministers","sozialdemokratischen","menzel","herren","ausführungen","kollegen","gestern","cdu","damen","dehler","gesagt","kollege","barzel","lesen","präsident","innern","argoud","schmittvockenhausen","gesamtdeutsche","justiz","schmittvockenhausen","fragen","bundesinnenminister","genscher","genscher","scheel","untersuchungsausschuss","abgeordneten","frage","abgeordneter","aufgaben","schmittvockenhausen","abgeordneter","vizepräsident","schmittvockenhausen","wehner","frau","funcke","schlei","funcke","bitte","dr","schön","frau","vizepräsident","dr","schlecht","schön","haase","dr","abgeordneten","bundesminister","kreile","lambsdorff","abgeordneten","abgeordneter","herrn","vizepräsident","abgelaufen","abgelaufen","frau","frau","bundesminister","marburg","kollege","schön","schön","stücklen","cronenberg","bündnis","überprüfung","präsident","staatsnotstand","schön","hans","wort","kollegin","abgeordneten","kollegin","klose","kurzintervention","kollegen","klose","fuchs","vizepräsidentin","dr","herr","bitte","gestatten","otto","solms","herr","herr","hermann","norbert","vizepräsidentin","zwischenfrage","vizepräsident","kastner","herr","göringeckardt","kastner","susanne","nächste","zwischenfrage","erhält","otto","dr","oswald","herr","oswald","frau","zwischenfrage","nächste","nächste","roth","roth","en","bitte","ffhrichtlinie","wolfspopulation","zuverlässigkeitsüberprüfung","hilfen","november","intensivstationen","epidemischen"
"13","möchte","erklärt","bundeskanzler","damen","zeitung","studentenbund","minister","erklärung","cdu","bundeskanzlers","barzel","abgeordneter","adenauer","brief","minister","zwischenfrage","innern","bundesminister","verdacht","vizepräsident","frage","schoettle","schoettle","mende","fragen","herrn","spannungsfall","genscher","zeugin","guttenberg","ehmke","bitte","strauss","bitte","bundeskanzler","gestatten","minister","bundeskanzler","bundeskanzler","cducsu","staatssekretärin","dr","schlei","lenz","stücklen","schön","frau","frau","luxemburg","dr","schwöre","cducsu","zusatzfrage","haase","abgeordneten","vizepräsident","windelen","herrn","redezeit","dr","angerechnet","schön","cronenberg","renger","sitzordnung","renger","angerechnet","kleinert","angerechnet","minuten","abgeordnete","abgeordnete","bündnis","abgeordnete","abgeordneter","redezeit","abgeordneter","schön","wort","burkhard","hans","hirsch","klose","wort","vizepräsidentin","wort","gestatten","vizepräsident","dr","herr","dr","vizepräsidentin","hermann","otto","bündnis","schön","herr","lammert","fraktion","redezeit","erteile","redner","otto","schön","nächste","danke","nächste","kollegin","hermann","hermann","cducsufraktion","katrin","göringeckardt","erhält","danke","claudia","be","spdfraktion","csufraktion","to","nikolaus","schaf","reisen","touristen","liquidität","impfen","infektionszahlen","unternehmen"
"14","sei","diskussion","heute","kollegen","wörtlich","dr","presse","wrasmann","mende","brief","spiegel","protokoll","erklärung","minister","rede","gestatten","bundesverteidigungsminister","kollege","schreiben","öffentlichkeit","mende","zusatzfrage","herrn","herrn","herrn","benda","abgeordneten","moersch","zusatzfrage","frage","funcke","marx","frage","zusatzfrage","besondere","parlamentarischen","bahr","cducsu","cducsu","vogel","bundeskanzler","bitte","vogel","schön","frau","eid","kohl","renger","radio","zusatzfrage","nordrheinwestfalen","schön","weitere","dr","gerne","graf","lambsdorff","bitte","ehmke","offergeld","schön","präsident","stücklen","cronenberg","kleinert","geschäftsordnung","minuten","angerechnet","frau","angerechnet","stücklen","kollege","redezeit","abgeordneter","friedrich","abgeordnete","klein","kollegen","redezeit","klein","wort","wort","vizepräsidentin","hansulrich","wort","schön","erteile","vizepräsidentin","otto","gestatten","vizepräsident","dr","otto","beamten","norbert","herr","kurzintervention","herr","herr","hermann","fraktion","zwischenfrage","erhält","vizepräsident","göringeckardt","göringeckardt","erhält","vizepräsidentin","cducsufraktion","vizepräsidentin","eduard","otto","cducsufraktion","gerne","dank","ulla","zwischenfrage","ulla","rednerin","kollegin","wolfsmanagement","polnischen","schäfer","weidetieren","lage","corona","tests","müssen"
"15","hätten","herren","gestern","minister","öffentlichkeit","presse","gesprochen","herren","döring","lenz","brief","donnerstag","damen","innenminister","offensichtlich","bundeszentrale","erler","höcherl","erler","frage","kollege","alliierten","bundeskanzlers","dehler","gesamtdeutsche","bundeskanzler","zusatzfrage","fragen","moersch","minister","zusatzfrage","strauss","funcke","bundeskanzler","minister","abgeordneter","besondere","carstens","staatssekretärin","bundeskanzler","cducsu","lenz","schön","renger","redezeit","renger","stücklen","zusatzfrage","treuarbeit","renger","minister","zusatzfrage","dr","kassel","windelen","apel","schön","ehmke","dr","stoltenberg","auflage","schluss","schluss","präsident","kollege","angerechnet","schön","kollege","wort","kollege","westphal","frau","kollegen","hans","redezeit","heuer","kollegen","helmuth","burkhard","klose","kollegen","hans","burkhard","klose","frau","dr","dr","gestatten","gestatten","vizepräsidentin","pdsfraktion","herr","spdfraktion","solms","csufraktion","grünen","otto","hermann","kastner","gestatten","vizepräsident","erhält","redezeit","göringeckardt","frau","erhält","kurzintervention","cducsufraktion","erhält","erhält","hermann","solms","solms","schön","erhält","dank","fraktion","fraktion","fraktion","nich","zäune","herdenschutz","antrag","entnahme","kurzarbeitergeld","schnell","hilfen","maskenpflicht"
"16","partei","müsse","kollegen","zeitung","versammlungsgesetzes","majonica","brief","hamburg","april","rede","herren","zwischenfrage","globke","bundeskanzlers","damen","antwort","fragestunde","ritzel","jahn","kollege","zusatzfrage","abgeordneter","lemmer","frage","benda","dorn","vizepräsident","gestatten","genscher","abgeordneter","schmid","frage","zusatzfrage","nein","frage","funcke","scheel","staatssekretäre","vogel","jaeger","schön","bundeskanzler","staatssekretärin","eid","friderichs","lambsdorff","abgelaufen","gern","beton","redezeit","schön","zimmermann","haase","mainz","reuschenbach","ehmke","haase","bergpredigt","esterwegen","apel","präsident","renger","westphal","schön","schwöre","cronenberg","präsident","sitzordnung","geschäftsordnung","schön","frau","dr","parlament","frau","frau","kollegen","heuer","becker","schön","hans","frau","hansulrich","kollegen","frau","kollegen","hermann","kurzintervention","frau","schön","spdfraktion","spdfraktion","spdfraktion","cducsufraktion","bitte","grünen","gestatten","bündnis","norbert","grünen","otto","frau","fraktion","redner","otto","katrin","frau","schön","kurzintervention","göringeckardt","nächster","solms","hermann","dank","danke","schön","schön","bitte","csufraktion","bitte","ik","rudel","zwischenfrage","schafe","rudels","situation","menschen","geimpften","einschränkungen"
"17","erklärt","hessischen","erklärung","ja","bundeskanzlers","mellies","äusserungen","damals","hamburg","kommunisten","demokratischen","bundesminister","zeitung","innern","finanzamtlösung","union","bundeskanzler","schäfer","höcherl","mitteilung","rasner","fragen","schmid","panorama","zusatzfrage","moersch","minister","dr","lenz","ehmke","bundeskanzler","guttenberg","marx","apel","aufgaben","pressereferat","aufgaben","schmittvockenhausen","schlei","carstens","schmittvockenhausen","schön","schmittvockenhausen","funcke","köhler","graf","dr","cducsu","zusatzfrage","finanzen","vizepräsident","präsident","zitat","cducsu","renger","schön","möchte","pazifisten","gelände","geissler","windelen","herrn","wolfgramm","diederich","frau","bohl","westphal","marburg","bundesminister","parlamentsreform","wort","grüne","wort","kollegen","herrn","helmuth","kurzintervention","klein","kurzintervention","kollegin","hirsch","kurzintervention","hirsch","abgeordneten","michaela","frau","fuchs","vollmer","fuchs","pdsfraktion","herr","fuchs","kurzintervention","cducsufraktion","bitte","fraktion","vizepräsidentin","solms","kurzintervention","kastner","susanne","frau","vizepräsident","spdfraktion","kurzintervention","gerda","solms","schön","zwischenfrage","nächste","nächster","vizepräsidentin","erhält","nächste","nächster","rednerin","spdfraktion","redezeit","herr","redner","population","daldrup","frau","broder","coronapandemie","wirtschaft","geimpfte","welle"
