"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","volk","john","minderheit","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","strauss","bundeswehr","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","bundeswehr","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","apel","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","zivildienst","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","afghanistan","afghanistan","soldaten","bundeswehr","soldaten","soldaten","afghanistan","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr"
"2","volk","deutschen","schmidtwittmack","dänemark","streitkräfte","wehrpflicht","soldaten","soldaten","soldaten","soldaten","soldaten","verteidigung","verteidigung","verteidigung","bundeswehr","soldaten","verteidigung","verteidigung","bundeswehr","wehrbeauftragten","verteidigung","hassel","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","soldaten","soldaten","soldaten","weissbuch","bundeswehr","soldaten","verteidigung","soldaten","mannheim","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","wörner","soldaten","leber","soldaten","leber","verteidigung","verteidigung","bundeswehr","soldaten","wörner","soldaten","verteidigung","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","afghanistan","soldaten","soldaten","afghanistan","soldaten","afghanistan","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten"
"3","politik","amerikanischen","innenminister","dänischen","wehrmacht","bundeswehr","wehrpflicht","wehrpflichtigen","strauss","merten","truppe","strauss","strauss","strauss","strauss","verteidigung","ahlers","soldaten","hassel","verteidigung","hassel","bundeswehr","hassel","hassel","soldaten","schultz","soldaten","verteidigung","verteidigung","verteidigung","soldaten","berkhan","verteidigung","soldaten","verteidigung","kreiswehrersatzämter","berkhan","soldaten","soldaten","soldaten","soldaten","soldaten","wörner","wörner","nato","verteidigung","soldaten","soldaten","nato","verteidigung","soldaten","verteidigung","soldaten","verteidigung","apel","dienst","wehrdienst","wehrbeauftragten","wörner","wörner","verteidigung","dienst","verteidigung","dienst","fliegen","wörner","ramstein","verteidigung","verteidigung","verteidigung","soldaten","streitkräfte","streitkräfte","verteidigung","streitkräfte","somalia","wehrpflicht","einsätze","verteidigung","jugoslawien","mörder","wehrpflicht","einsatz","rühe","rühe","verteidigung","verteidigungsminister","scharping","scharping","verteidigung","verteidigung","scharping","einsatz","soldatinnen","wehrpflicht","wehrpflicht","soldatinnen","meads","einsatz","soldatinnen","einsatz","bundeswehr","bundeswehr","bundeswehr","bundeswehr","afghanistan","bundeswehr","afghanistan","soldaten","afghanistan","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","afghanistan","somalia","afghanistan","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","afghanistan","soldatinnen"
"4","volkes","volkes","johns","schleswigholstein","freiwilligengesetz","wehrmacht","truppe","verteidigungsminister","verteidigung","verteidigung","bundesverteidigungsminister","soldaten","zivilen","schmidt","soldaten","strauss","verteidigungsministerium","erler","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","schultz","soldaten","schultz","schultz","führung","berkhan","verteidigung","soldaten","truppe","berkhan","wehrpflichtigen","truppe","soldaten","berkhan","berkhan","wehrstruktur","wehrbeauftragten","verteidigung","leber","soldaten","verteidigung","neutronenwaffe","führung","führung","soldaten","wörner","apel","wörner","wörner","apel","wehrbeauftragten","streitkräfte","verteidigung","wehrpflichtigen","general","kiessling","wörner","wörner","wörner","auswärtigen","zeitsoldaten","verteidigung","verteidigung","tiefflug","tiefflug","streitkräfte","wehrdienst","verteidigung","verteidigung","streitkräfte","verteidigung","einsatz","somalia","nationen","rühe","frieden","nato","bosnien","verteidigung","eurofighter","einsatz","nato","scharping","wehrpflicht","wehrpflicht","scharping","scharping","verteidigung","verteidigung","einsatz","soldatinnen","soldatinnen","wehrpflicht","führung","soldatinnen","einsatz","afghanistan","einsatz","soldatinnen","soldatinnen","soldatinnen","einsatz","einsatz","soldatinnen","einsatz","soldatinnen","afghanistan","afghanistan","einsatz","einsatz","einsatz","mali","einsatz","soldatinnen","soldatinnen","mali","mali","einsatz","einsatz","einsatz","mandat","afghanistan","soldatinnen","mali"
"5","westdeutschland","politik","nachrichtendienst","dänische","soldat","armee","verteidigung","iller","personalgutachterausschuss","strauss","verteidigung","bundesverteidigungsminister","militärischen","waffen","verteidigungsausschuss","erler","soldaten","verteidigungsausschuss","strauss","wehrbeauftragte","wienand","truppe","wienand","wienand","verteidigungsausschuss","streitkräfte","adorno","verteidigungsausschuss","wehrbeauftragten","wehrbeauftragten","verteidigungsminister","offiziere","militärischen","uniform","berkhan","kriegsdienstverweigerer","wörner","wörner","nato","berkhan","sanitätsoffiziere","nato","verteidigung","verteidigung","warschauer","nato","wehrbeauftragten","wörner","militärischen","weissbuch","verteidigung","apel","würzbach","verteidigungsminister","verteidigung","soldaten","ersatzdienst","würzbach","kiessling","verteidigung","offiziere","verteidigung","verlängerung","dienstes","alliierten","wehrbeauftragten","scholz","wimmer","streitkräfte","stoltenberg","streitkräfte","stoltenberg","stoltenberg","stoltenberg","rühe","einsätze","einsatz","urteil","volker","einsatz","verteidigung","streitkräfte","militärischen","flugzeug","gelöbnis","einsatz","verteidigung","wehrbeauftragten","munition","wehrpflicht","einsatz","streitkräfte","struck","struck","einsatz","einsatz","einsatz","wehrbeauftragten","afghanistan","einsätze","soldatinnen","soldatinnen","oef","einsatz","einsatz","soldatinnen","soldatinnen","mandat","soldatinnen","einsatz","einsatz","einsatz","drohnen","afghanistan","afghanistan","somalia","soldatinnen","mali","einsatz","einsatz","einsatz","afghanistan","mali","nato","einsatz","mali","mali","mandat"
"6","regierung","menschen","diels","deutschen","mehrheitswahlrecht","eid","berufssoldaten","befehl","bundesverteidigungsminister","bundesverteidigungsminister","militärischen","jahrgänge","merten","bundesverteidigungsminister","bundesverteidigungsminister","wehrpflichtigen","oster","hassel","hopf","truppe","truppe","gumbel","piloten","gumbel","wehrbeauftragten","wehrpflichtigen","berkhan","wehrpflichtigen","verteidigungsausschuss","wehrpflichtigen","zimmermann","klepsch","verteidigungsminister","militärische","wehrbeauftragten","zivildienst","damm","streitkräfte","bündnis","verfügungsbereitschaft","bündnis","leber","wehrbeauftragten","verteidigungsminister","militärischen","waffen","militärischen","militärischen","militärische","führung","nato","verteidigungsminister","waffen","wehrpflichtigen","tornado","verteidigung","zivildienst","verteidigung","verteidigung","general","wehrbeauftragten","dienstes","zivildienst","verteidigung","arbeitslosigkeit","dienst","wehrbeauftragten","dienst","militärischen","wehrbeauftragten","zivildienstleistenden","reduzierung","reduzierung","militärische","militärischen","entscheidung","nato","einsatz","nato","militärischen","militärischen","einsatz","albanien","gelöbnis","bosnien","verteidigungsminister","streitkräfte","verteidigung","verteidigung","verteidigungsminister","verteidigungsminister","einsatz","soldatinnen","wehrbeauftragten","struck","verteidigung","verteidigung","nato","kosovo","wehrbeauftragten","weissbuch","isaf","einsatz","nato","mandat","piraterie","mandat","einsatz","mandat","mandat","mandat","mali","minister","mandat","mandat","einsatz","mandat","einsatz","mali","mission","mandat","mandat","mission","ministerin","mission","einsatz","einsatz","einsatz"
"7","adenauer","demokratischen","volk","kriegsverurteilten","demokratie","streitkräfte","wehrpflichtigen","offiziere","verteidigungsminister","verteidigungsausschuss","landesverteidigung","abiturienten","bundesverteidigungsminister","nato","disziplinarstrafen","schmückle","sicherungsgruppe","bundesverteidigungsminister","truppe","hassel","wehrbeauftragten","information","luftwaffe","verteidigungsausschuss","truppe","verteidigungsausschuss","verteidigungsausschuss","streitkräfte","militärischen","führung","berkhan","verteidigungsminister","nato","luftwaffe","disziplin","bundeswehr","wehrstruktur","horn","weissbuch","bündnis","nato","verteidigungsminister","truppe","nato","bündnis","soldaten","wörner","bündnis","bündnisses","wehrbeauftragten","würzbach","wehrbeauftragten","militärische","streitkräfte","minister","wörner","wörner","wehrbeauftragte","verteidigungsminister","mad","streitkräfte","wehrpflichtigen","wehrpflichtigen","wehrpflichtigen","würzbach","mittelmeer","verteidigungsminister","tiefflüge","stoltenberg","ramstein","monate","zivilen","zivilen","militärischen","verteidigungsminister","nato","rühe","vereinten","tiefflüge","nato","ostslawonien","rühe","rühe","streitkräfte","untersuchungsausschuss","scharping","breuer","streitkräfte","streitkräfte","standorte","militärischen","verteidigungsminister","verteidigungsminister","verteidigung","einsätze","einsätze","einsätze","wittstock","mandat","streitkräfte","kongo","zivilen","isaf","afghanischen","piraterie","mandat","afghanischen","wehrpflicht","zivilen","zivilen","piraterie","mandat","maizière","nato","mission","afghanistan","mali","mission","nato","somalia","afghanistan","nato","afghanistan","mandat","mali","mandat","taliban","afghanistan"
"8","amerikanischen","regierung","freiheit","rasner","wahlgesetz","verteidigung","verteidigungsminister","truppe","personalgutachterausschusses","landesverteidigung","strauss","erfassung","landesverteidigung","kliesing","festnahme","verteidigungsausschuss","bundeswehr","wehrpflichtigen","militärische","verteidigungsausschuss","verteidigungsausschuss","führung","verteidigungsausschuss","truppe","adorno","berkhan","hase","truppe","schultz","verteidigungsminister","damm","pawelczyk","berkhan","nordatlantischen","truppe","männer","verteidigungsausschuss","wehrbeauftragten","wörner","wörner","truppe","schmidt","weissbuch","generale","wörner","militärische","wehrbeauftragte","nato","waffen","kampfgruppen","militärischen","würzbach","nato","wörner","streitkräfte","verteidigungsminister","monate","soldat","würzbach","verteidigungsminister","verteidigungsminister","streitkräfte","streitkräfte","verteidigungsminister","verteidigung","heistermann","piloten","verteidigungsminister","militärische","dienst","zivildienstes","militärischen","verteidigungsminister","rühe","heide","militärischen","streitkräfte","militärischen","einsatz","bosnien","militärische","militärischen","militärische","verteidigung","streitkräfte","militärische","wehrpflicht","wehrbeauftragte","nolting","brigitte","einsätze","wehrbeauftragten","einsätze","eingaben","verteidigung","streitkräfte","verteidigungsminister","ausbildung","struck","verteidigung","nato","tornados","wehrpflicht","zivilen","nato","somalia","zivilen","nato","minister","afghanischen","piraten","drohnen","mandat","mission","mali","mandat","mission","nato","mandat","afghanistan","mission","sicherheit","mandat","unsere","sudan","nato","mission","mission"
"9","demokratischen","heute","demokratischen","minderheiten","militärischen","soldat","wehrübungen","verteidigung","schmidt","waffen","verteidigungsminister","zivilen","soldaten","soldaten","personalakten","militärischen","spanischen","waffen","militärischen","unteroffiziere","militärischen","soldat","gumbel","militärischen","militärischen","adorno","streitkräfte","berkhan","truppe","truppe","weissbuches","zimmermann","führung","verteidigungsminister","streitkräfte","freitag","wehrpflichtigen","wehrstruktur","militärischen","wehrbeauftragten","führung","militärische","nato","wehrpflicht","verteidigungsausschuss","parität","nato","sowjetunion","bündnis","verteidigungsminister","bündnis","streitkräfte","militärischen","wehrbeauftragten","wehrbeauftragte","militärischen","gewissensprüfung","heistermann","minister","wehrbeauftragten","würzbach","wehrbeauftragten","wehrgerechtigkeit","streitkräfte","saz","wehrpflichtigen","streitkräfte","militärischen","alliierten","verteidigungsminister","dienst","standorte","kolbow","verteidigungsminister","volker","streitkräfte","nationen","militärische","voigt","krieg","frieden","armee","streitkräfte","kolbow","trittin","militärischen","beer","marienfeld","breuer","standort","nato","soldatinnen","streitkräfte","bericht","streitkräfte","auslandseinsätze","nato","einsatz","zivilen","jung","mandat","militärischen","zivilen","führung","oef","militärische","krieg","operation","guttenberg","abzug","atalanta","streitkräfte","hawk","somalia","nato","mission","streitkräfte","mandat","ramstein","operation","sea","leyen","nato","dienst","afghanistan","mission","reservisten","sicherheit"
"10","deutsche","bezeichnung","widerstandskämpfer","grenze","manöver","zenker","militärischen","wehrpflicht","offiziere","armee","schmidt","einheiten","kliesing","verteidigungsminister","merten","truppe","militärattaché","verteidigungsminister","sendung","nagold","führung","uniform","starfighter","verteidigungsminister","berkhan","nato","luftwaffe","wehrbeauftragten","wehrbeauftragte","hoogen","klepsch","wehrpflichtigen","streitkräfte","militärischen","führung","erfüllen","militärischen","truppe","leber","streitkräfte","bündnisses","wehrbeauftragten","verteidigungsausschuss","bündnis","wehrbeauftragten","verteidigungsminister","streitkräfte","waffen","mittelstreckenwaffen","militärische","verteidigungsminister","luftwaffe","wehrpflichtigen","truppe","untersuchungsausschuss","dienstes","zivildienstes","jahresbericht","mad","würzbach","verteidigungsausschuss","auswärtigen","wehrpflicht","wörner","übergangsgebührnisse","golf","wehrbeauftragte","streitkräfte","dienst","militärischen","verteidigung","müller","heistermann","adria","militärische","militärische","verteidigung","juli","militärische","ehemaligen","ehrenschutz","militärische","rose","armee","nato","breuer","dienst","verteidigungsminister","dienst","bayreuth","wehrbeauftragten","militärischen","militärischen","ehrbeauftragten","mad","auslandseinsätzen","struck","soldatinnen","verteidigung","militärischen","einsätze","oef","militärischen","sicherheit","zivilen","atalanta","guttenberg","streitkräfte","militärischen","nato","zivilen","militärische","afghanistan","mali","streitkräfte","atalanta","nato","atalanta","mission","mandat","guardian","streitkräfte","operation","sicherheit","region","wehrpflicht","mandat","sondervermögen"
"11","menschen","bevölkerung","demokratie","kieler","wahlrecht","mende","offiziere","verteidigungsausschuss","planung","wehrpflicht","merten","militärischen","verteidigungsminister","militärischen","einzutragen","bundesverteidigungsminister","bundesverteidigungsminister","truppe","verteidigungsministerium","führung","luftwaffe","pressefunk","schultz","armee","petersen","militärischen","haase","laufbahn","adorno","schultz","verteidigungsausschuss","staatssekretär","armee","staatssekretär","verteidigungsminister","stellenplan","bündnis","nato","streitkräfte","nato","kriegsdienstverweigerer","militärischen","militärischen","zivildienst","leber","bündnis","spionagefall","apel","gleichgewicht","nato","sicherheitspolitik","waffen","sicherheitspolitik","dienst","bericht","beamten","kriegsdienstverweigerung","streitkräfte","homosexualität","wehrpflichtigen","wehrpflichtigen","verteidigungsminister","wehrbeauftragten","oberjettenberg","tiefflug","verteidigungsminister","nörvenich","luftwaffe","reservisten","gerster","wehrpflicht","liegenschaften","verteidigungsausschuss","einsatz","colbitzletzlinger","nationen","vereinten","adria","militärischen","dayton","armee","dayton","albanischen","verteidigungsminister","militärische","streitkräfte","sicherheitspolitik","truppe","verteidigungsminister","schulte","streitkräfte","gebb","nato","streitkräfte","kunduz","sicherheit","streitkräfte","streitkräfte","streitkräfte","inneren","auslandseinsätze","taliban","taliban","militärischen","sicherheit","piraten","wehrpflicht","somalia","afghanischen","krieg","nato","nato","mali","operation","fähigkeiten","nato","sicherheit","operation","sicherheit","polizisten","mittelmeer","unifil","guardian","truppe","operation","truppe","minusma","libyen"
"12","heute","deutschlands","deutschen","gefangenen","parteien","militärischen","freiwilligen","unglück","nato","aufbau","tradition","jahrgang","verteidigungsministerium","übungen","arreststrafe","monate","festnahme","zivilen","schallmauer","verteidigungsminister","verteidigungsminister","mitteilungen","nato","luftwaffe","wehrbeauftragte","truppe","wehrpflichtigen","adorno","wehrpflichtigen","wehrdienst","dienstag","jung","militärische","schmidt","militärischen","dienststellen","streitkräfte","verfügungsbereitschaft","kriegsdienstverweigerer","wehrbeauftragte","schmidt","verteidigungspolitik","verteidigungspolitik","streitkräfte","waffen","waffe","militärische","kampfgruppen","sowjetunion","apel","waffen","wehrpflichtigen","kriegsdienstverweigerer","würzbach","namma","traupe","dienst","dienst","uniform","dienst","dienst","armee","monate","würzbach","dienst","zivildienstleistenden","luftwaffe","scholz","verteidigungsminister","bundeswehrplanung","grundwehrdienstes","jungmann","beamten","streitkräften","wehrpflichtigen","rühe","wehrpflichtigen","rühe","verteidigungsminister","verteidigung","einsatz","nato","normalität","wehrpflicht","wehrpflichtigen","beer","einsatz","führung","nato","streitkräfte","brigitte","liegenschaftsmanagement","enduring","einsätzen","wehrbeauftragten","reservisten","faizabad","coesfeld","nato","führung","enduring","nato","polizei","isaf","militärischen","operation","kunduz","guttenberg","wehrpflicht","streitkräfte","streitkräfte","militärischen","einsätze","streitkräfte","dienst","streitkräfte","einsätze","eutm","operation","sicherheit","streitkräfte","mission","sea","afghanistan","mittelmeer","guardian","sicherheit","unsere"
"13","republik","zeitung","krieg","jugend","freiwilligengesetzes","verteidigungsausschuss","schmidt","unteroffiziere","truppe","pressereferat","waffen","wehrpflicht","berkhan","zivilen","kliesing","waffen","spanien","nato","luftwaffe","einheiten","kliesing","kasernen","waffensystem","minister","luftwaffe","verteidigungspolitik","wehrpflichtige","wehrdienst","inneren","dienst","schmidt","wehrpflichtige","sicherheitspolitik","sicherheit","wehrgerechtigkeit","ersatzdienst","entspannung","verteidigungsminister","militärische","mbfr","militärischen","fingerhut","verteidigungsminister","verteidigungspolitik","wehrpflichtigen","sicherheit","generalinspekteur","wehrbeauftragten","salt","sicherheitspolitik","tornado","verteidigungsausschuss","kräfteverhältnis","verteidigungsausschuss","truppe","personelle","wehrpflicht","truppe","verteidigungsausschuss","verteidigungsausschuss","zivildienst","truppe","wehrdienst","militärische","piloten","würzbach","militärischen","heistermann","wehrbeauftragten","nato","grundwehrdienst","militärische","personalstärkegesetz","gerhard","wehrbeauftragten","vereinten","militärischen","bundesverfassungsgericht","streitkräfte","militärische","wehrbeauftragte","verteidigung","tirana","volker","wehrpflicht","rühe","verteidigungshaushalt","bericht","armee","munition","nolting","führung","freedom","kosovo","truppe","einsätzen","transformation","militärischen","isaf","freedom","freedom","afghanistans","einsätze","afghanische","somalia","zivilen","militärische","zivilen","verteidigungsminister","militärische","polizisten","zivile","neuausrichtung","einsätze","leyen","zivilen","afghanischen","sicherheit","somalia","atalanta","operation","ausrüstung","mittelmeer","irak","sea","sea","libanon","streitkräfte"
"14","bevölkerung","amerikanische","kalten","nationalen","freiwilligen","aufstellung","strauss","ausbildung","waffen","nato","verteidigungsministerium","wehrpflichtige","jahrgänge","wehrpflicht","zivilen","dienstzeit","bundesverteidigungsministerium","verteidigungshaushalt","wehrpflichtigen","offiziere","verteidigungsministerium","verteidigungsminister","flugzeuge","verteidigungsministerium","wehrpflichtigen","verbände","einsatz","führung","berkhan","wehrbeauftragter","streitkräfte","haase","zimmermann","armee","militärische","militärische","militärische","bündnis","sicherheit","bündnisses","wörner","bündnis","schmidt","zimmermann","streitkräfte","militärischen","verteidigungsminister","general","möllemann","militärischen","militärische","führung","abrüstung","streitkräften","ministers","november","verlängerung","verteidigungsminister","vorgesetzten","truppe","berkhan","zeitsoldaten","dienst","soldat","arbeitslosenbeihilfe","schiffe","jahresbericht","francke","fluglärm","militärische","dauer","verteidigungsminister","streitkräften","einsätze","verteidigungsausschuss","verheugen","verteidigungsminister","entscheidung","abzug","rühe","gelöbnis","jugoslawien","bosnien","beschaffung","führung","einsätze","gelöbnisse","armee","verteidigungsausschuss","einsatz","schulte","kolbow","rumsfeld","führung","dienst","landesverteidigung","standorte","verteidigung","verteidigungsminister","schäfer","isaf","mandat","afghanischen","afghanistans","führung","sicherheit","taliban","militärischen","nato","operation","somalia","maizière","de","mittelmeer","drohnen","operation","mittelmeer","streitkräfte","leyen","streitkräfte","sicherheit","mittelmeer","sicherheit","beschaffung","guardian","mittelmeer","region","südsudan"
"15","kommunisten","adenauer","kaiser","deutsche","verteidigungsminister","marine","wehrmacht","militärischen","armee","freiwilligen","soldat","lebensjahr","zerstörer","aufbau","kommandanten","wehrpflicht","verteidigungsministeriums","strauss","langenwinkel","bundesverteidigungsminister","waffen","bundesverteidigungsminister","verteidigungsminister","general","gaubischofsheim","ausbildung","führung","offiziere","ersatzdienst","wehrpflichtige","wehrgerechtigkeit","verteidigungsausschuss","weissbuch","dienstvergehen","wörner","berkhan","kriegsdienstverweigerer","militärischen","bündnisses","leber","leber","truppe","wehrbeauftragte","kriegsdienstverweigerer","militärische","streitkräfte","laabs","militärische","sicherheit","wehrpflichtigen","führung","weiskirch","rüstung","motivation","militärischen","bundesverteidigungsministerium","grundrecht","wörner","wehrbeauftragten","streitkräfte","truppe","wehrdienst","reservisten","militärischen","heistermann","bundesmarine","dienst","verteidigungsausschuss","wehrpflichtigen","alliierten","wehrpflichtigen","ressortkonzept","nolting","zivilen","streitkräften","verteidigung","uno","sondersitzung","auftrag","armee","wehrpflicht","frieden","armee","beer","armee","verteidigungsausschuss","nolting","breuer","minister","bundeswehrreform","gebb","bundesverteidigungsminister","minister","auslandseinsätze","minister","verteidigungsminister","militärischen","inneren","kfor","transformation","sicherheitspolitik","wehrbeauftragten","sicherheit","wehrpflicht","dienst","krieg","zivile","atalanta","streitkräfte","verteidigung","mission","mission","kampfdrohnen","zivilen","sicherheit","sicherheit","militärische","marine","afghanischen","ausbildung","nato","verteidigung","dienst","einsatzbereitschaft","libyen","sicherheit","streitkräfte","nato"
"16","kampf","wahlen","mann","soldaten","weimarer","mann","bundesverteidigungsminister","rekruten","ausrüstung","truppe","ausbildung","wehrdienst","nato","militärische","panzer","nato","gutachter","verteidigungsministerium","einheiten","ausbildung","flugzeug","streitkräfte","flugzeug","schmidt","verteidigungsminister","munition","jung","unteroffiziere","gaubischofsheim","wehrgerechtigkeit","bestandsaufnahme","schmidt","adorno","disziplinarvorgesetzten","armee","vertrauensmännergremium","zivilen","leber","verteidigungshaushalt","militärischen","streitkräfte","westen","freitag","militärischen","neutronenwaffe","amerikanischen","verteidigungsausschuss","bündnisses","wörner","wehrbeauftragte","gelöbnis","verteidigungshaushalt","militärs","waffen","verteidigungsausschuss","verteidigungsministerium","geissler","grundwehrdienst","dienst","minister","unfall","militärischen","schierholz","zivilen","wörner","wehrbeauftragte","tiefflug","auftrag","verteidigungsausschuss","reservisten","stoltenberg","abrüstung","militärischen","nva","kolbow","humanitäre","belet","somalia","einsätze","entscheidung","wehrpflichtigen","verteidigungsminister","krieg","führung","verteidigungsminister","schulte","waffe","siemann","militärischen","liegenschaften","militärische","einsätze","ausrüstung","dienst","militärischen","struck","kosovo","heide","september","enduring","operation","süden","auslandseinsätze","polizei","isaf","militärischen","sicherheit","sicherheit","dienst","mad","see","verteidigung","streitkräfte","leyen","ministerin","eutm","militärischen","mittelmeer","guardian","armee","unsere","truppe","streitkräfte","drohnen","nationen","drohnen","ortskräfte","truppe"
"17","westdeutschen","sogenannten","heute","bundeskanzler","truppe","einführung","monate","aufbau","verteidigungsausschuss","militärischen","verteidigungsausschuss","ausbildung","bundeszentrale","atomaren","truppendienstrichter","kliesing","haftbefehl","soldat","buchstaller","wehrpflichtigen","offiziere","berkhan","militärischen","streitkräfte","verteidigungsausschusses","gaubischofsheim","unteroffiziere","nato","armee","inneren","soldat","damm","schmidt","würgendorf","verteidigungsausschuss","berücksichtigung","nato","rommerskirchen","präsenz","waffen","prüfungsverfahren","waffen","sicherheitspolitik","rudel","sicherheit","allianz","leber","salt","nachrüstung","bündnis","tradition","soldat","streitkräfte","führung","verteidigungsminister","wehrdienst","kriegsdienstverweigerer","wehrbeauftragter","soldat","untersuchungsausschuss","horn","vorgesetzten","jungmann","zeitsoldaten","luftwaffe","marine","verteidigungsausschuss","piloten","wehrbeauftragte","zivilen","militärischen","regionen","berufssoldaten","rüstungsindustrie","luftwaffe","humanitären","auftrag","karlsruhe","jugoslawien","streitkräfte","streitkräfte","bosnienherzegowina","aktion","militärische","verteidigung","nolting","rühe","dienst","wehrbeauftragten","breuer","beschaffung","angehörigen","nachtwei","einsätze","auslandseinsätzen","dienst","schmidt","innere","führung","einsätzen","sicherheit","einsätze","streitkräfte","militärische","piraten","streitkräfte","afghanische","mission","zivile","militärischen","zivile","zivilen","somalia","militärische","zivilen","armee","operation","militärischen","sea","eutm","unamid","armee","afrika","verteidigungsministerin","sicherheit","streitkräfte","afghanischen","nationen"
