"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","öffentlichen","länder","länder","wiedergutmachung","bundesgrenzschutz","kernenergie","dienst","ratzel","bundesgrenzschutz","bundesanstalt","bankenaufsicht","beamten","beamten","beamten","radioaktivität","beamten","beamten","beamten","beamten","beamten","dienst","bundeskriminalamt","beamten","beamten","sport","beamten","beamten","beamten","beamten","innern","umweltschutz","innern","umweltschutz","bundesgrenzschutz","besoldungsvereinheitlichungs","genscher","länder","innern","sport","bundesgrenzschutz","sport","öffentlichen","innenausschuss","teilzeitbeschäftigung","dienst","beamten","datenschutz","gesetz","gesetz","datenschutz","nebentätigkeit","nordsee","datenschutz","datenschutz","beamten","konvention","volkszählung","konvention","nordsee","konvention","volkszählung","daten","polizei","volkszählung","polizei","polizei","polizei","polizei","verfassungsschutz","hafenstrasse","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","kriminalität","ausländer","kanther","kanther","gewalt","drogen","polizei","kriminalität","polizei","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","gewalt","zuwanderung","sport","zuwanderung","zuwanderung","schily","bundesinnenminister","bundesinnenminister","brandenburger","staatsangehörigkeit","sicherheit","sicherheit","sport","integration","integration","sport","sport","integration","integration","flüchtlinge","rechtsextremismus","rechtsextremismus","sport","sport","flüchtlinge","flüchtlinge","sport","flüchtlinge","flüchtlinge","polizei","polizei","familiennachzug","bamf","polizei","sicherheitsbehörden","polizei","sicherheitsbehörden","polizei","faeser"
"2","art","länder","art","wiedergutmachung","zivilen","wiedergutmachung","kommission","hochschullehrer","atomenergie","zivilen","institut","luftverkehrsverwaltung","zivilen","dienst","dienst","luft","dienst","dienst","dienst","dienst","dienst","beamten","beamten","dienstes","innenausschuss","sports","dienst","innenausschuss","vergütungsgruppe","genscher","genscher","benda","besoldung","umweltschutzes","bundesgrenzschutzes","länder","innern","genscher","genscher","sports","innern","oldenburg","landschaft","dienstes","öffentlichen","beamten","öffentlichen","beamten","entwurf","stoffe","bundesbeauftragten","beamten","gutachten","beamten","hamburg","ta","zeichnung","daten","film","datenschutz","volkszählung","formaldehyd","nordsee","terrorismus","nordsee","datenschutz","datenschutz","datenschutz","datenschutz","ausländer","diestel","unterlagen","akten","polizei","gewalt","kriminalität","polizei","polizei","kriminalität","kriminalität","drogen","korruption","kriminalität","kanther","kriminalität","integration","zuwanderung","sport","npd","marschewski","sicherheit","zuwanderung","schily","sport","leipzig","sicherheit","schily","schily","schily","schäuble","rechtsextremismus","integration","schäuble","sport","schäuble","polizei","sport","gewalt","zuwanderung","gewalt","polizei","rechtsextremismus","npd","snowden","roma","flüchtlinge","sport","integration","sicherheit","polizisten","bamf","migration","verfassungsschutz","rechtsextremismus","rechtsextremismus","polizei","verfassungsschutz","geflüchteten"
"3","beamten","dienst","wiedergutmachung","bund","bund","bundesgrenzschutzes","kernbrennstoffe","euratom","atomkommission","bundesgrenzschutzes","verseuchung","verwaltung","merkblatt","zivilen","luft","bevölkerung","harmonisierungsnovelle","dienstes","dienstes","doppelversorgung","rechnungsprüfung","öffentlichen","dienst","dienst","dienst","leibeserziehung","brück","dienstes","köppler","dienst","beamten","genscher","genscher","genscher","genscher","arbeitsgruppe","bund","bund","dienst","bund","bundesgrenzschutzes","schaumburglippe","innenausschuss","öffentlichen","entwurf","öffentlichen","dienst","innenausschuss","gesetzentwurf","umweltschutz","datenschutzes","petitionsausschuss","novelle","milz","gewässerschutz","umweltschutz","cbfunk","datenschutz","filme","personalausweis","nordsee","polizei","polizei","terroristen","daten","polizeibeamten","datenschutzbeauftragten","zimmermann","polizeibeamten","polizei","such","köppe","kriminalität","kriminalität","asylrecht","ausländer","ausländer","kriminalität","ausländer","kronzeugenregelung","kriminalität","kanther","ausländer","polizei","kanther","schily","tampere","asyl","zuwanderung","polizei","schily","sicherheit","bosbach","zuwanderungsgesetz","bundesinnenminister","zuwanderung","sicherheit","tor","kriminalität","rechtsextremismus","terrorismus","doping","sicherheit","schäuble","integration","kinderpornografie","internet","polizei","polizei","polizei","sport","npd","deutschland","untersuchungsausschuss","opfer","verfassungsschutz","integration","herkunftsstaaten","polizisten","npd","migration","flüchtlinge","sicherheitsbehörden","polizei","polizisten","rechtsextremismus","sicherheitsbehörden","sicherheitsbehörden"
"4","grundgesetzes","grundgesetzes","bund","ländern","beamten","bund","atomfragen","lehrer","atomkernenergie","schmitt","zivilen","aufgaben","bechert","mittleren","matzner","bundesregierung","gscheidle","bevölkerungsschutz","gscheidle","schmittvockenhausen","dienstes","dienstes","innenausschuss","öffentlichen","gscheidle","olympischen","innenausschuss","verbrechensbekämpfung","sport","dienstes","olympischen","innern","beamten","innern","länder","neuregelungsgesetz","länder","innern","umweltschutz","länder","baum","niedersachsen","länder","anwärterbezüge","datenschutz","innenausschuss","regelung","datenschutzes","datenschutz","gesetzentwurf","bürger","entwurf","abfallbeseitigung","übereinkommen","wasser","öffentlichen","senator","washingtoner","tiere","ausweis","tierversuche","datenschutz","tierversuche","kronzeugenregelung","bürger","volkszählung","baumann","innenminister","schengener","datenschutz","hamburger","aufarbeitung","stasi","asylrecht","ausländer","asylrecht","flüchtlinge","ausländern","staatsangehörigkeit","innenminister","ausländer","ausländer","europol","staatsangehörigkeit","sicherheit","staatsbürgerschaft","kriminalität","schily","gewalt","rechtsextremismus","bundesinnenminister","gewalt","sicherheit","ausländer","sicherheit","schily","npd","bundesinnenminister","bundesinnenminister","kontrollgremium","sicherheitsbehörden","schäuble","bundespolizei","migranten","kinderpornografie","waffen","datenschutz","sport","polizisten","verfassungsschutz","olympischen","rassismus","olympischen","vorratsdatenspeicherung","deutschland","flüchtlingen","menschen","menschen","sport","fussfessel","flüchtlinge","polizei","polizisten","sicherheit","verfassungsschutz","gefährder","bundespolizei","rechtsextremismus"
"5","bund","beamten","ländern","bundes","länder","bayern","radioaktiven","kernenergie","länder","bevölkerungsschutz","schmitt","luftverkehrs","bevölkerungsschutz","kühlthau","zivilen","bechert","dienstes","wuermeling","berufsausübung","dienstes","beamte","innenausschuss","öffentlichen","besoldungsgruppe","dienstes","spiele","stufe","sport","innern","innern","dienst","sofortprogramm","dienstes","umweltprogramm","innern","hinaus","dienst","regelungen","öffentlichen","ländern","bodensee","innenausschuss","gerster","dienst","vorschriften","bereich","datenschutz","bundesbeauftragten","statistischen","gesetzes","regelungen","gesetz","entwurf","radwege","gewässer","luft","hamburg","tiere","zeichnung","daten","datenschutz","nordsee","datenschutz","daten","datenschutz","datenschutzbeauftragten","zimmermann","polizeibeamten","einbürgerung","ausländern","kriminalität","rehabilitierung","asylbewerber","schengener","flüchtlinge","asyl","gewalt","gewalt","drogen","ausländer","kanther","innenminister","gewalt","ausländer","ausländer","ausländer","ausländer","marschewski","straftaten","zuwanderung","kriminalität","schily","zuwanderungsgesetz","integration","bundesgrenzschutz","polizei","integration","sport","integration","integration","datei","rassismus","bundesinnenminister","integrationspolitik","bka","integration","vorratsdatenspeicherung","bundespolizei","gewalt","sicherheitsbehörden","datei","nada","integration","verfassungsschutz","asylbewerber","deutschland","flüchtlingen","polizei","integration","sicherheit","anschlag","familiennachzug","gewalt","seehofer","hanau","straftaten","straftaten","registrierung"
"6","ländern","ländern","grundgesetzes","öffentlichen","verwaltung","überführung","beamten","schmitt","verwendung","zivilbevölkerung","atomgesetz","zivilen","bevölkerungsschutzes","einfachen","petenten","beamten","bundesinnenminister","innenausschuss","kommissionen","beamte","schmittvockenhausen","besoldung","brück","beamte","ländern","sportstätten","sport","dienst","besoldungsgruppe","wagner","öffentlichen","verbrechensbekämpfung","gehobenen","abfallbeseitigung","sicherheit","liedtke","landschaftspflege","waldes","bund","entwurf","innenausschuss","sports","naturschutz","niedersachsen","dienst","länder","dienstes","gesetzentwurf","bürger","umwelt","datenverarbeitung","dienst","bundesregierung","bundesstrassen","wolfgramm","spranger","grunenberg","nordsee","nordsee","ausweises","formaldehyd","verfassungsschutz","bürger","fahndung","gesetze","daten","daten","daten","beamten","hirsch","polizei","verfassungsschutz","aufarbeitung","drogen","asyl","polizei","kanther","magdeburg","innenminister","flüchtlinge","verwaltung","bnd","drogen","europol","inneren","doppelte","bundesinnenminister","ausländer","kriminalität","integration","marschewski","sports","strobl","schily","olympischen","flughafen","zuwanderungsgesetz","strobl","untersuchungsausschuss","innenminister","antiterrordatei","rechtsextremismus","waffen","terrorismus","hdj","datenschutz","flüchtlinge","polizisten","deutschland","opfer","integration","sicherheitsbehörden","sportler","nsa","flüchtlingen","folter","migration","flüchtlingen","flüchtlinge","straftaten","land","straftaten","straftaten","gewalt","rassismus","polizisten","gewalt","menschen"
"7","bundes","bundes","föderalismus","grundgesetzes","freiwilligen","beamten","verwendung","zivilbevölkerung","atomgesetz","verwaltung","arbeitszeit","bundeseigene","bevölkerung","innenausschuss","novelle","atomkernenergie","beamte","beamtenschaft","duisdorf","auflagen","innenausschuss","anpassung","gscheidle","innenausschuss","miessner","goldenen","verbesserungen","besoldungsgruppe","besoldungsneuregelungsgesetz","öffentlichen","dienstes","bundeskriminalamt","öffentlichen","industrie","polizei","innenausschuss","naturschutz","wald","dienstes","innern","gewässer","abfälle","datenschutzgesetz","berger","beamte","ostdeutschen","entwurf","daten","gesetzes","daten","sozialgesetzbuch","beamte","elbe","strassen","elbe","umweltpolitik","zeichnen","meeresschildkröten","gesetz","fälschungssicheren","flugsicherung","daten","sicherheit","innenminister","volkszählungsgesetz","tierversuche","straftaten","datenschutzbeauftragten","penner","verfassungsschutzes","hirsch","staatssicherheit","polizei","asylverfahren","polizei","staatsangehörigkeit","straftaten","staatsangehörigkeit","abschiebung","sonntagwolgast","staat","kriminalität","korruption","staatsbürgerschaft","aussiedler","pkk","sicherheit","doping","marschewski","straftaten","innenminister","vereinigungen","terrorismus","deutschland","umzug","kriminalität","terrorismus","sicherheitsbehörden","innenminister","bundesinnenminister","npd","sportler","polizei","zuwanderung","uhl","internet","syrien","maizière","integration","straftaten","nazis","polizei","flüchtlinge","staatsbürgerschaft","staatsangehörigkeit","straftaten","asyl","land","sicherheitsbehörden","gefährder","polizei","seehofer","kriminalität","flüchtlinge","gewalt","islamistischen","rechtsextremismus","bundespolizei"
"8","gesetz","art","grundgesetz","beamten","luftschutzes","ländern","forschung","länder","kernenergie","aufgaben","entwurf","bevölkerungsschutz","schmitt","dienstes","überleitung","zivilen","besoldung","verbesserungen","innenminister","bundesbeamtengesetzes","angestellten","hübner","dienstes","schmittvockenhausen","beamte","dienst","dienstes","olympischen","tarifverhandlungen","olympischen","beamte","umwelt","umweltschutzes","umwelt","spiele","ländern","dienstes","entwurf","länder","vereine","beamten","öffentlichen","landschaftspflege","bund","übungen","dienstes","anwärterbezüge","öffentlichen","beamten","entwurf","datenschutzbeauftragten","vorschriften","gesetz","tätigkeitsbericht","ddr","bundesinnenminister","cbfunker","tierarten","volkszählung","datenverarbeitung","daten","sicherheitsbehörden","zevis","volkszählung","zähler","zimmermann","datenverarbeitung","volkszählung","gewalt","daten","dienste","stasi","ausländer","asyl","asylrechts","gewalt","asylbewerber","bekämpfung","drogenpolitik","verwaltung","polizei","marschewski","innenminister","organisierten","prävention","zuwanderung","innenminister","deutschland","innenminister","kriminalität","ausländer","terrorismus","bundesinnenminister","staatsangehörigkeit","kaplan","integration","sicherheitsbehörden","polizei","datei","schily","integration","winkler","pkk","olympischen","innenminister","sicherheit","innenminister","staatsangehörigkeit","zwangsheirat","extremismus","deutschland","flüchtlinge","polizei","sicherheitsbehörden","menschen","polizei","asylverfahren","einstufung","bundespolizei","demokratie","integration","sicherheitsbehörden","flüchtlinge","rechtsstaat","hass","gewalt","anschlag","flüchtlinge"
"9","grundgesetz","grundgesetz","dienst","bundesentschädigungsgesetzes","gesetz","länder","radioaktivität","ländern","bund","bevölkerungsschutzes","beamten","bundesrat","notstandsplanung","liste","kühlthau","bevölkerungsschutz","änderung","besoldung","krankenpflege","versorgungsempfänger","taxifahrer","beamtenbesoldung","bundesinnenminister","überleitung","beamtenschaft","münchen","besoldungsneuregelungsgesetz","schmittvockenhausen","ii","bundesinnenminister","spiele","umweltschutzes","umweltschutz","umweltpolitik","bgs","verabschieden","bundes","landschaftspflege","entwurf","sportförderung","entwurf","länder","abwasserabgabe","besoldungsgruppe","zulagen","kultur","datenschutzes","datenverarbeitung","regelung","bürger","gesetz","nebentätigkeiten","bereich","bereich","duve","gesetz","datenschutz","rechnungsprüfungsausschuss","jugendschutz","hirsch","mikrozensus","hirsch","tier","sicherheit","durchführung","speicherung","datenschutzbeauftragte","demonstrationen","polizisten","schengener","raf","gerster","gerster","flüchtlinge","politisch","schengener","organisierten","einbürgerung","polizei","polizei","reform","flüchtlinge","rechtsstaat","lauschangriff","schily","bundesinnenminister","polizei","sports","schily","ausländischer","integration","kriminalität","integration","terrorismus","zuwanderungsgesetz","innenminister","koschyk","terrorismus","koschyk","nachrichtendienste","innenminister","innenminister","sicherheitsbehörden","npd","bundeskriminalamt","schäuble","staatsangehörigkeit","deutschland","flüchtlingen","staatsangehörigkeit","verfassungsschutz","residenzpflicht","rechtsextremismus","polizei","verfassungsschutz","sicherheitsbehörden","sicherheitsbehörden","sachsen","menschen","wohnungseinbrüche","untersuchungsausschuss","asyl","sicherheit","waffen","taten","seehofer","sicherheit","hanau"
"10","regelung","bund","verwaltung","verwaltung","regelung","verfolgten","wissenschaftler","beamten","stoffe","atomkernenergie","kernenergie","kreditinstitute","innenausschuss","verwaltung","verbesserungen","niederschläge","einfachen","gscheidle","ausbildung","höcherl","vorbildung","selbstschutz","ländern","fortbildung","besoldung","sportbund","besoldungsneuregelungsgesetzes","besoldungsneuregelungsgesetz","beamte","spiele","dorn","kriminalpolizei","vereinheitlichung","programm","waffen","massnahmen","umweltschutz","grundgesetzänderung","innenausschuss","bundes","länder","neugliederung","dienst","besoldung","beamten","verkehrslärm","beamte","beamte","statistik","regelung","bundesbeauftragte","regelungen","jobst","ta","behörden","bundesregierung","ausgangsleistung","bürger","meeresschildkröten","personalausweises","zeichnung","schutz","gesetze","terrorismusbekämpfung","gesetz","datenschutzbeauftragte","demonstrationen","hirsch","ausländer","innern","senat","sed","köppe","aufarbeitung","zuwanderung","verfassungsschutz","innenminister","täter","innern","däublergmelin","öffentlichen","polizei","marschewski","drogenpolitik","zuwanderung","staatsangehörigkeitsrecht","europol","innenminister","polizei","schily","innere","polizei","herr","marschewski","innenminister","datenschutz","polizei","datenschutz","türkische","polizei","bnd","npd","stokar","bka","datenschutz","stadler","polizei","waffen","wolff","migranten","opfer","behörden","staatsangehörigkeit","staatsangehörigkeit","sicherheitsbehörden","doping","polizei","innenminister","straftaten","verfassungsschutz","menschen","personen","migration","straftaten","straftaten","täter","rassismus","geflüchtete"
"11","öffentlichen","aufgaben","öffentlichen","bayern","öffentlichen","gesetz","nutzung","dienstes","aufgaben","vockenhausen","balke","bundesauftragsverwaltung","kühlthau","bevölkerung","beamtengruppen","kommission","brück","ländern","ländern","überleitung","helfer","bundesregierung","besoldungsordnung","brück","innenausschusses","beamte","öffentlichen","sports","innenausschuss","bundesminister","ruhestand","dorn","dorn","bund","beamten","besoldungsrechts","sicherheit","umweltschutz","umweltschutzes","öffentlichen","umweltschutz","volksentscheid","gesetz","nivellierung","verwaltungen","bericht","geräte","gesetz","strassen","chemikaliengesetz","tätigkeitsbericht","öffentlichen","regelungen","bundesfernstrassen","bundesbeauftragten","dienst","bundesregierung","arten","arten","bundesbeauftragten","schutz","sicherheit","schutz","schnoor","schmidtbott","terrorismus","kronzeugenregelung","innern","daten","schäuble","daten","justiz","opfer","zuwanderung","rechtsstaat","flüchtlinge","sicherheit","organisierten","ausländergesetzes","staat","marschewski","sonntagwolgast","kanther","organisierte","gendatei","kinder","flüchtlinge","ausländergesetzes","bundesinnenminister","familienbericht","bosbach","bekämpfung","inneren","bosbach","bundeskriminalamt","daten","innenminister","stadler","visapolitik","terrorismus","schäuble","flüchtlinge","integrationsplan","böhmer","deutschland","grundrechte","griechenland","rechtsextremismus","personen","integration","spiele","bundespolizei","wolff","daten","beck","maizière","maizière","sicheren","gefährder","täter","sicherheit","asylverfahren","bundespolizei","verfassungsschutz","rechtsstaat","anschlag","quellentkü","straftaten"
"12","verwaltung","verfassung","bayern","bundesrat","wehrmacht","streitkräfte","gesetzentwurf","bevölkerungsschutz","radioaktiven","gemeinden","atomenergie","länder","bundesrat","ortszuschlag","verwaltung","vorschuss","mittleren","beamtenbesoldung","kommission","dorn","bundesinnenminister","schmittvockenhausen","besoldungsreform","verbesserungen","öffentlichen","dienstes","beamtenschaft","innenausschusses","bundesrechnungshof","besoldungsrückstandes","assoziierten","beamten","bund","tierschutzgesetz","ländern","versorgungsempfänger","ländern","bundes","ländern","sportkonferenz","wahlrecht","bundesgrenzschutz","datenschutz","ländern","bund","baum","innenausschuss","regelung","innenausschuss","regelungen","leistungsträger","gesetzentwurf","stoffe","novelle","gewässerschutzes","entwurf","tiefseebergbau","schutz","pflanzen","schäfer","tierversuchen","datenverarbeitung","tierversuchen","gesetze","hirsch","polizeibeamte","bundesbeauftragten","sicherheit","hirsch","gerster","akten","staatsanwälte","rechtsstaat","verfahren","kriminalität","einbürgerung","inneren","verbrechen","flüchtlinge","organisierten","ausländern","haschisch","polizisten","sicherheit","bekämpfung","einbürgerung","asyl","card","extremismus","jugendlichen","terrorismus","sportler","innenminister","bundesinnenminister","terrorismus","sport","stokar","neonazis","personen","bnd","geheimdienste","bundesinnenminister","uhl","bundesinnenminister","sicherheit","polizisten","sicherheit","migranten","asylbewerber","deutschland","gewalt","innenminister","aufenthaltsgesetz","flüchtlingen","menschenhandel","vleute","land","gewalt","land","flüchtlinge","zuwanderung","maassen","europol","miri","täter","bundespolizei","europol","sicherheit"
"13","beamte","dienstes","bundes","grundgesetz","soldaten","wehrmacht","ratzel","besoldungsgruppe","gesetz","innenministerium","gebiet","bund","bundesregierung","bevölkerungsschutz","dienstes","radioaktiven","bundesbesoldungsgesetzes","besoldungsgruppen","öffentlichen","öffentlichen","apparat","ländern","studienkommission","dienstlichen","spdbundestagsfraktion","vereinen","schmittvockenhausen","besoldung","länder","beamte","versetzt","dienst","umwelt","ländern","olympischen","zulagen","beamten","vorschriften","bundes","badenwürttemberg","gesetzes","bund","natur","riedl","vereinheitlichung","innern","länder","bundesdatenschutzgesetz","daten","datenschutzes","schutz","regelung","ddr","bau","gesetz","dienstes","beamten","regelungen","tier","maschinenlesbarkeit","gesetz","innenausschuss","tiere","bekämpfung","verfassungsgericht","gewalt","bundesdatenschutzbeauftragten","ausländer","staatsangehörigkeit","innenausschuss","sicherheit","kriminalität","ddr","verfolgung","ausländern","verfolgung","bürgerkriegsflüchtlinge","verbrechensbekämpfungsgesetz","heroin","bundesinnenminister","staatsangehörigkeit","drogenpolitik","cannabis","flüchtlinge","straftaten","innenminister","rüttgers","uhl","bekämpfung","flüchtlinge","verfassungsschutz","straftaten","sicherheitsbehörden","grindel","stokar","kontrollen","bgs","informationen","sicherheitsbehörden","stadler","polizei","migranten","sport","winkler","internet","kontrolle","sperren","ausländer","veit","innenminister","sicherheitsbehörden","antisemitismus","sports","deutschland","optionspflicht","mayer","deutschland","maizière","mayer","polizistinnen","gewalt","herkunftsstaaten","staatsangehörigkeit","zitis","extremismus","sicherheit","amri","ukraine"
"14","dienst","verwaltung","beamten","dienstes","ländern","organisation","länder","aufgaben","gebiet","bevölkerung","bevölkerungsschutz","luft","bundesinnenminister","tarifklasse","eingaben","atomwaffenversuche","bundesregierung","besoldungsordnung","besoldung","verbesserungen","antrages","miessner","bundeskriminalamtes","unteroffiziere","bund","leibesübungen","unteroffiziere","verbesserungen","bat","günzburg","abteilung","polizei","beamte","abfälle","grundgesetzänderung","besoldungserhöhungsgesetz","polizei","ländern","wahlkreiskommission","innenausschuss","stoffe","dienstes","daten","beamten","bericht","riedl","gesetzentwurf","bundesrates","stoffe","datenschutz","verwaltung","dienstlichen","duve","verkehrsausschuss","schutz","innenausschuss","seerechtskonvention","bundesregierung","verbot","bürger","jugendschutz","bundesinnenminister","hirsch","mörder","boykott","vermummung","innenminister","inneren","bgs","such","vermittlungsausschuss","mfs","täter","ausländer","seiters","politisch","jelpke","hirsch","marschewski","asylbewerber","schmalzjacobsen","sicherheitsdienste","drogenpolitik","bundesinnenminister","innere","pass","integration","bundesinnenminister","menschen","deutschland","inneren","inneren","ausländer","grossveranstaltungen","spiele","luftsicherheitsgesetz","inneren","versammlungsrecht","stadler","elmasri","journalisten","polizei","wahlrecht","innenminister","zuwanderung","sicherheitsbehörden","maizière","onlinedurchsuchung","straftaten","sicherheit","kampf","deutschland","antisemitismus","edward","migration","sports","gewalt","marokko","anschlag","familiennachzug","sicherheitsbehörden","sicherheit","personen","anschlag","integration","verfassungsschutz","kriminalität","extremismus"
"15","gesetzgebung","regelung","dienstes","art","luftschutz","kernenergie","kontrolle","nutzung","wissenschaft","bundeswehr","verwaltung","ausbildung","besoldung","bundesregierung","bundesrat","werte","frage","matzner","beamtenrechts","strukturellen","zivilbeschäftigten","bundesbeamten","wagner","bundesbehörden","stufe","sportstättenbau","versorgungsempfänger","kriminalpolizei","amtsbezeichnung","dorn","schäfer","dienstes","innenausschuss","gruhl","bundes","umweltschutz","öffentlichen","sports","beamten","regelungen","bgs","bundesgrenzschutzes","gehobenen","innern","zulage","innenausschusses","regenspurger","gesetzes","lärmschutz","umweltpolitik","bundesdatenschutzgesetzes","dienstes","ostsee","bundesbeauftragten","spranger","ruhestand","datenschutzbeauftragten","bund","datenschutz","neuen","tiere","krebserzeugend","personalausweis","bundesgrenzschutz","polizei","innenminister","behörden","bürger","volkszählung","gewalt","bekämpfung","polizei","organisierten","flüchtlingskonvention","asylbewerbern","zuwanderung","abschiebung","organisierte","sicherheit","ausländergesetzes","integration","staat","organisierten","verbrechen","spätaussiedler","menschen","jelpke","spitzensport","bundesgrenzschutz","jugendliche","bekämpfung","beckstein","bevölkerung","herr","extremisten","bosbach","innere","befriedeten","schleusung","innern","ströbele","pass","daten","polizei","migranten","gewalt","kinderpornografie","integrationskurse","extremismus","onlinedurchsuchung","demokratie","opfer","menschen","aufklärung","polizei","menschen","schutz","asyl","maizière","einbrüche","asylverfahren","bundesamt","integration","migration","stuttgart","rechtsstaat","hass","migration"
"16","aufgaben","gesetz","legion","dienst","preussischen","bundesanstalt","bund","bevölkerung","überwachung","beamten","gefahren","grundgesetzes","dienst","euratom","schutz","dienst","besoldungserhöhungsgesetz","beamte","ingenieurschulen","beamtenverhältnis","renger","überleitung","dorn","vierten","staatssekretäre","bund","lineare","innern","dienst","besoldungsrückstand","bundesgrenzschutz","innenminister","richterbesoldung","kompetenz","bund","bundesamt","bundesgrenzschutz","umwelt","bundesgrenzschutz","gewässer","wahlkreiseinteilung","landes","datenverarbeitung","miltner","regelungen","fahrzeuge","gesetzes","bereich","öffentlichen","stoffen","gesetzentwurf","gesetze","wolfgramm","ortsumgehungen","bundesinnenminister","umweltschutzes","regelungen","pflanzen","verboten","schutz","tier","sicherheitsbereich","sicherheitsbehörden","raf","schutz","hirsch","inneren","polizeibeamte","polizeibeamte","gesetz","informationen","schäuble","sed","genfer","straftaten","asylrechts","täter","ausländerbeauftragten","asylbewerber","ausländern","sonntagwolgast","pkk","staatsbürgerschaft","bekämpfung","einwanderungsland","doppelten","kanther","rüttgers","verbot","ausländer","polizei","uhl","polizei","strobl","zuwanderung","gesetz","deutschland","wunsiedel","informationen","informationen","demokratie","jelpke","olympischen","dağdelen","bkagesetz","seiten","mayer","demonstrationen","ausländerbehörden","npd","menschen","asylbewerber","hartfrid","behörden","sinti","asylbewerber","bundesamt","schutz","gewalt","bnd","opfer","migranten","asyl","polizisten","grenze","kriminalität","linksextremismus","gewalt"
"17","verfassung","gesetzgebung","aufgaben","beamte","bundesrat","verwaltung","schutzmassnahmen","luftschutz","forschung","zollverwaltung","radioaktiven","ländern","ausbildung","leihbüchereien","berufsbeamtentums","frühjahr","verbesserung","zivilen","verbesserung","pension","einbau","gscheidle","amtes","verwaltung","brück","sportlichen","zulagen","polizei","angestellten","innenausschuss","türkischen","länder","länder","länder","inneren","umwelt","verbrechensbekämpfung","stoffe","luft","sportpolitik","wasch","innern","bund","bereich","besondere","wendig","bundesregierung","bürgers","umwelt","beamten","daten","cbfunker","verschmutzung","gesetz","bereich","gesetzentwurf","behörden","beamten","jugendschutzes","datenschutzbeauftragten","volkszählungsgesetz","inseln","datenverarbeitung","rechtsstaat","staat","inneren","penner","gewalt","kriminalität","ausländerrecht","organisierten","ingrid","mitarbeiter","hirsch","verfolgung","drogen","verbrechen","drogen","schmalzjacobsen","inneren","straftaten","schmalzjacobsen","integration","integration","land","westerwelle","flüchtlingen","green","einwanderung","bundesinnenminister","zuwanderungsgesetz","marschewski","innern","asyl","bewerbung","terrorismus","islamistischen","wiefelspütz","zuwanderungsgesetz","schulsport","verfassungsschutz","migration","innenminister","migrantinnen","polizei","thw","veit","grindel","roma","terrorismus","zuwanderung","sports","sicherheitsbehörden","geheimdienste","asyl","aufklärung","köln","straftaten","verfassungsschutz","maizière","rechtsstaat","verfassungsschutz","einwanderung","innenminister","migranten","terrorismus","täter","integration"
