"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","abs","abs","abs","abs","bundesverfassungsgericht","richter","abs","abs","grundgesetzes","gesetz","richter","richter","richter","rechtsausschuss","ehe","ehegatten","abmahnung","richter","gerichte","rechtsausschuss","justiz","rechtsausschuss","strafrecht","justiz","rechtsprechung","justiz","busse","justiz","strafe","amnestie","justiz","richter","pornographie","richter","entwurf","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","rechtsausschuss","frauen","verteidiger","gesetz","gesetz","verjährung","strafe","freiheitsstrafe","erhard","freiheitsstrafe","todesstrafe","entwurf","entwurf","entwurf","entwurf","gesetzentwurf","entwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","petitionsausschuss","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","verfahren","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","justiz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","daten","sicherungsverwahrung","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf"
"2","gesetz","gesetz","gesetz","entwurf","abs","bundesverfassungsgericht","entwurf","wehrbeauftragten","entwurf","entwurf","verfahren","rechtsausschuss","verjährung","gericht","richter","steuererklärung","fälle","gericht","abs","richter","verjährungsfrist","justiz","entwurf","tier","ehe","diemernicolaus","diemernicolaus","richter","freiheitsstrafe","mülleremmert","juristen","vogel","entwurf","ehe","richter","regelung","leben","entwurf","leben","kindes","entwurf","scheidung","gesetz","eltern","gesetz","verfahren","entwurf","mord","justiz","justiz","strafe","todesstrafe","entwurf","richter","gesetzentwurf","erhard","gesetzentwurf","entwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","petitionen","gesetz","petitionsausschuss","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","regelung","gesetzentwurf","regelung","gesetzentwurf","gesetzentwurf","justiz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","sicherungsverwahrung","opfer","opfer","sicherungsverwahrung","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","daten","gesetz","regelung","daten","gesetz","daten","daten","gesetz","gesetz","gesetzentwurf","verfahren","rechtsstaat","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz"
"3","ausschuss","entwurf","fassung","zulassung","bundesverfassungsgerichts","wahl","richter","kartellbehörde","abs","richter","gericht","verwaltungsrichter","rechtsausschuss","untersuchungshaft","rechtsprechung","justiz","abs","rechtsausschuss","rechtsprechung","badenwürttemberg","verjährung","verjährung","justiz","entwurf","richter","heinemann","rechtsausschuss","bundesverfassungsgericht","verjährung","polizei","diemernicolaus","polizei","strafrecht","justiz","justiz","geregelt","frauen","justiz","fristenregelung","frau","gesetzentwurf","frauen","geschäftsbedingungen","kindes","verfahren","rechtsausschuss","justiz","verbrechen","freiheitsstrafe","rechtsausschuss","paragraphen","erhard","justiz","justiz","bundesrates","justiz","gesetz","gesetz","gesetz","entwurf","entwurf","entwurf","petitionen","entwurf","petitionsausschusses","entwurf","gesetz","regelung","regelung","entwurf","entwurf","entwurf","entwurf","entwurf","kronzeugenregelung","entwurf","entwurf","gesetzentwurf","justiz","gesetzentwurf","gesetz","verfahren","gesetzentwurf","straftaten","petitionen","regelung","opfer","justiz","justiz","entwurf","regelung","entwurf","gesetz","gesetz","gesetzentwurf","opfer","entwurf","bundesverfassungsgericht","regelung","bundesverfassungsgericht","justiz","regelung","bundesverfassungsgericht","verfahren","daten","regelung","gesetz","gesetz","abs","abs","regelung","abs","abs","regelung","regelung","gesetz","gesetz","daten","daten","daten","gesetz","gesetz","bundesverfassungsgericht","verfahren","urteil","verfahren","daten","justiz"
"4","bestimmung","bundesverfassungsgericht","vorschriften","richter","richter","abs","gesetz","bestimmung","bundesrat","bundesverfassungsgerichts","anwalt","verwaltungsgerichtsbarkeit","verfahren","justiz","rechtsausschuss","richter","grundgesetzes","badenwürttemberg","bestimmung","art","bucher","rechtsausschusses","strafe","jahn","bundesverfassungsgericht","abs","abs","wiederholungsgefahr","täter","bundesverfassungsgericht","juristenausbildung","justiz","schutz","scheidung","rechtsausschuss","jahn","schutz","strafe","frau","eltern","richter","ehegatten","wirtschaftskriminalität","entwurf","rechtsausschuss","justiz","rechtsprechung","aufhebung","recht","strafe","vorschrift","strafe","rechtsprechung","todesstrafe","verfahren","gesetzentwurf","regelung","regelung","petitionsausschuss","praxis","verfahren","rechtsprechung","regelung","justiz","gesetzentwurf","regelung","verfahren","entwurf","entwurf","regelung","gesetzgeber","regelung","regelung","regelung","entwurf","regelung","regelung","justiz","regelung","petitionsausschuss","regelung","entwurf","entwurf","regelung","petitionsausschuss","justiz","ströbele","entwurf","entwurf","verfahren","entwurf","sicherungsverwahrung","täter","entwurf","zypries","gesetz","regelung","regelung","opfer","regelung","bundesverfassungsgericht","bundesverfassungsgericht","regelung","daten","regelung","bundesverfassungsgericht","rechtspolitik","regelung","daten","daten","gesetz","regelungen","verfahren","gesetz","daten","regelung","regelung","regelung","regelung","regelung","bundesverfassungsgericht","verfahren","recht","rechtsstaat","bundesverfassungsgericht","daten","anhörung","verfahren"
"5","fassung","bestimmungen","rechtspfleger","bundesverfassungsgericht","gesetz","grundgesetzes","grundgesetzes","gerichte","bundesrates","abs","justiz","instanz","justiz","abs","abs","rechtsprechung","rechtsausschuss","bundesverfassungsgericht","regelung","gericht","verbrechen","recht","heinemann","rechtsausschuss","diemernicolaus","entwurf","gerichte","diemernicolaus","diemernicolaus","richter","justizminister","lenz","eyrich","arndt","kriminalität","gesetzes","frau","gefangenen","lebens","verteidiger","straftaten","frau","justiz","vogel","kontrolle","entwurf","gesetzentwurf","täter","rechtsausschuss","verfahren","freiheitsstrafe","gesetz","abschaffung","landgericht","gesetz","engelhard","verfahren","kleinert","juristenausbildung","regelung","zwangsernährung","petition","entwurf","regelung","petenten","justiz","petenten","petition","regelungen","regelungen","regelung","petitionsausschuss","justiz","regelungen","regelung","petitionsausschuss","regelungen","entwurf","entwurf","entschädigung","entwurf","justiz","verfahren","justiz","regelung","geis","regelung","regelung","verfahren","justiz","verfahren","regelung","sexuellen","röttgen","verfahren","entwurf","bundesverfassungsgericht","bundesverfassungsgerichts","hartenbach","entwurf","regelung","anhörung","verfahren","bundesverfassungsgericht","regelungen","daten","regelungen","regelungen","richtlinie","regelung","datenschutz","regelung","daten","bundesverfassungsgericht","änderungen","institut","verfahren","opfer","verfahren","maas","rechtsstaat","justiz","rechtsstaat","regelung","daten","regelung","bundesverfassungsgericht","bundesverfassungsgericht"
"6","gesetzes","art","gesetzes","anwaltschaft","entwurf","bundesverfassungsgerichts","bestimmung","wehrbeauftragte","art","bundesverfassungsgericht","rechtsprechung","ehrenamtlichen","verbrechen","richter","wittrock","fällen","art","baden","gericht","jahn","verlängerung","ersatzdienst","strafrechts","gerichtsbarkeit","justiz","busse","art","kriminalität","strafrecht","diemernicolaus","reform","entschädigung","reform","reform","wiederholungsgefahr","entwurf","pornographie","schutz","schwangerschaftsabbruch","ehe","frau","indikation","gerichte","recht","nachrichtendienste","vogel","rechtsausschuss","unverjährbarkeit","entwurf","hartmann","gericht","rechtsordnung","verfahren","rechtsprechung","regelung","petitionsausschuss","finanzausgleich","justiz","bundesverfassungsgericht","bundesverfassungsgericht","petitionsausschuss","regelung","petitionsausschuss","verfahren","gesetz","bundesverfassungsgericht","petition","rechtsprechung","bundesverfassungsgericht","rechtsprechung","abs","regelungen","regelungen","gesetzes","regelungen","betroffenen","parteien","regelungen","gesetzgeber","entwurf","justiz","regelung","regelung","opfer","justiz","entwurf","täter","bürger","bundesverfassungsgericht","regelung","geis","opfer","verbrechen","justiz","entwurf","regelung","bundesverfassungsgerichts","wohnraumüberwachung","täter","justiz","anhörung","montag","bundesverfassungsgerichts","datenschutz","bundesverfassungsgericht","regelungen","regelung","daten","regelung","mediation","sicherungsverwahrung","gegebene","gesetz","verfahren","bereits","unternehmen","regelungen","verfahren","regelungen","verfahren","daten","bundesverfassungsgericht","daten","anhörung","verfahren","bundesverfassungsgericht","verfahren","rechtsstaat"
"7","art","bundesverfassungsgerichts","art","bestimmung","gericht","gericht","ermächtigung","gesetz","gesetz","rechtsausschuss","jahn","jahn","rechtsprechung","rheinlandpfalz","bundesgerichtshofs","verfahren","fällen","entwurf","entwurf","diemernicolaus","benda","grundgesetzes","strafrechtsreform","verfahren","rechtsausschuss","gesetz","richter","straftaten","justiz","justiz","polizei","gesetz","mülleremmert","ehegatten","haftrechts","staatsanwaltschaften","lebens","reform","fristenlösung","justiz","verteidiger","arzt","verfahren","gesetz","überwachung","richter","vorschriften","justiz","makler","bewährung","rechtsausschuss","justiz","wettbewerb","with","rechtsprechung","regelung","bundesergänzungszuweisungen","gerichte","engelhard","regelungen","regelung","verfahren","bundesverfassungsgericht","petition","petition","gesetzgeber","regelung","justiz","richter","gesetzes","regelungen","gesetzes","recht","petitionsausschuss","verfahren","verjährung","gesetzgeber","entschädigung","verfahren","justiz","richter","überhangmandate","gesetzgeber","schmidtjortzig","eingaben","verfahren","täteropferausgleich","verfahren","regelung","regelungen","bundesrat","petitionsausschuss","röttgen","regelung","gesetz","täter","entscheidung","abs","verfahren","regelungen","opfer","regelungen","justiz","regelung","verfahren","verfahren","abs","opfer","regelungen","verfahren","regelungen","justiz","bereits","regelungen","anhörung","vorratsdatenspeicherung","verwertungsgesellschaften","regelungen","opfer","bundesverfassungsgericht","regelung","recht","verfahren","recht","entwurf","anhörung","entwurf","regelungen"
"8","bestimmungen","bestimmung","bestimmungen","bestimmungen","grundgesetzes","rechtsausschuss","bundesrat","richter","rechtsausschuss","bestimmungen","rechtsanwalt","oberverwaltungsgericht","jahn","entscheidung","entscheidung","wegen","grundgesetz","landes","rechtsausschuss","baden","richter","weber","täter","grundgesetzes","parteien","recht","justiz","verbrechen","strafrechts","demonstration","erhard","reform","ehe","härteklausel","verbrechensbekämpfung","besonders","strafrecht","vollzug","mutter","kind","geschäftsbedingungen","versorgungsausgleich","vogel","eyrich","justiz","kleinert","regelung","gerechtigkeit","verfahren","vogel","justiz","straftaten","freiheitsstrafe","bundesrat","rechtsausschuss","schmude","bundesverfassungsgericht","verfahren","justiz","justiz","petition","recht","verfahren","gesetzes","verfahren","abs","bundesverfassungsgericht","regelungen","bundesrat","bundesrat","petitionsausschuss","abs","gesetzentwurfs","fällen","justiz","petitionen","justiz","petitionsausschuss","regelungen","verfahren","bundesverfassungsgericht","bundesverfassungsgericht","richter","entwurf","grundgesetzes","telefonüberwachung","entwurf","petitionen","geis","bundesverfassungsgericht","kronzeugenregelung","verfahren","fälle","straftaten","recht","bundesverfassungsgericht","anhörung","urteil","entwurf","bundesverfassungsgerichts","verfahren","entwurf","montag","urteil","entwurf","abs","opfer","justiz","verfahren","regelungen","abs","recht","protokoll","richtlinie","justiz","itsicherheit","entwurf","anhörung","maas","regelungen","rechtsprechung","datenschutzgrundverordnung","regelung","justiz","bundesverfassungsgerichts","regelungen","regelung","regelung"
"9","bundesverfassungsgericht","richter","bundesrat","grundgesetzes","bundesrat","art","vorschrift","weber","wittrock","gericht","instanz","arndt","verjährungsfristen","bundesjustizminister","grundgesetzes","wittrock","bedenken","entscheidung","grundgesetzes","entwurf","arndt","jahn","sonderausschuss","gesetz","gericht","rechtsprechung","strafrecht","bundesverfassungsgerichts","taten","lenz","bundesjustizminister","jahn","recht","gerichte","straftaten","praxis","reform","leben","abtreibung","entwurf","schutz","kind","überwachung","rechtspolitik","entwurf","straftaten","gesetzes","recht","gesetz","vorschrift","vogel","recht","gesetzentwurf","gesetzentwurf","bundesrat","bad","gesetzes","entschädigung","praxis","juristenausbildung","gefangenen","justiz","petition","bundesrat","kleinert","verfahren","entwurf","bundesrat","verfahren","haftung","bundesverfassungsgericht","beratungen","abs","anhörung","with","regelungen","rechtsprechung","kleinert","leutheusserschnarrenberger","verkleinerung","recht","gesetzgeber","regelungen","regelungen","petitionsausschusses","stgb","justiz","rechtsprechung","richter","bgb","sicherungsverwahrung","justiz","rechtspolitik","petitionsausschuss","strafverfahren","justiz","regelungen","justiz","bürger","rechtspolitik","entwurf","bundesverfassungsgerichts","gehb","gericht","abs","opfer","bundesverfassungsgericht","richtlinie","sicherungsverwahrung","justiz","betroffenen","protokoll","regelungen","justiz","regelungen","verfahren","anhörung","stgb","anhörung","anhörung","facebook","parteien","regelungen","richter","staatsanwaltschaft","entwurf","änderungsantrag","recht"
"10","bundesrat","regierungsentwurf","bestimmung","gesetz","bestimmung","bestimmung","fassung","wahl","bestimmungen","entscheidung","oberlandesgericht","gericht","abs","verfahren","frau","sachen","wittrock","bevölkerung","lindauer","strafprozessordnung","urteil","benda","entwurfs","grundgesetz","entwurf","bundesjustizminister","güde","gesetz","busse","gericht","richter","mülleremmert","strafe","gericht","diemernicolaus","verfolgung","strafe","vorschriften","ungeborenen","rechtsausschuss","recht","kinder","verteidiger","gesetzentwurf","vogel","weber","reiseveranstalter","strafverfolgung","hartmann","gericht","gesetzentwurf","rechtspolitik","unlauteren","amtsgericht","vermittlungsausschuss","rechtsausschuss","länder","bundesrates","regelung","strafaussetzung","petitionen","kleinert","justiz","anhörung","bürger","petition","abs","petenten","justiz","justiz","staatsziel","petitionen","betroffenen","abs","abs","bundesverfassungsgericht","anhörung","abs","recht","regelungen","anhörung","regelungen","rechtsprechung","art","anhörung","verfassung","amnestie","regelungen","pofalla","beratungen","bundesverfassungsgericht","geis","straftaten","schutz","regelung","straftaten","richter","straftaten","bundesrat","opfer","regelungen","gesetzgeber","entwurf","entwurf","justiz","datenschutz","richtlinie","abs","änderungen","gegebene","gegebene","verfahren","gegebene","recht","änderung","regelungen","unternehmen","entwurf","justiz","datenschutz","justiz","musterfeststellungsklage","artikel","entwurf","regelung","gesetzes","absatz","entwurf"
"11","vorschriften","entscheidung","vorschrift","fassung","bedenken","entwurf","art","entscheidung","personalgutachterausschuss","bedenken","rechtsausschuss","richtern","arndt","gesetz","bundesverfassungsgericht","jahn","richter","güde","vorschrift","grundgesetzes","gerichte","abs","diemernicolaus","jaeger","hauser","hauser","gesetz","haft","güde","entwurf","strafrecht","gericht","schriften","entwurf","bundesjustizminister","grundgesetzes","abtreibung","jahn","kind","gerichte","justiz","entwurf","recht","schutz","gefangenen","lenz","verfahren","mordverjährung","gerichte","straftaten","kleinert","entwurf","fälle","strafbar","abs","fälle","finanzausgleichs","recht","recht","verfahren","justiz","rechtsausschuss","änderung","petitionsausschuss","legislaturperiode","bundesverfassungsgerichts","petitionsausschusses","anhörung","beratungen","beratungen","verfahren","bundesverfassungsgericht","fällen","justiz","gerichte","gesetzgeber","abs","einigungsvertrag","abs","diäten","schmidtjortzig","schmidtjortzig","schmidtjortzig","gericht","praxis","meyer","verfahren","geis","opfer","gesetzgeber","regelungen","petitionen","justiz","stünker","richter","ströbele","justiz","verfahren","stalking","abs","gesetzgeber","opfer","daten","regelungen","zypries","entwurf","elena","verfahren","fälle","änderung","verfahren","bereits","daher","urteil","entwurf","menschenrechte","rechtsprechung","menschenhandel","gesetzes","meinungsfreiheit","recht","artikel","gesetzgeber","gericht","anhörung","änderungsantrag","änderungen","regeln"
"12","grundgesetzes","grundgesetzes","rechtsausschuss","vorschriften","vermittlungsausschuss","wahlmännergremium","vermittlungsausschuss","ehegatten","vorschriften","wirtschaftsstrafgesetzes","strack","werber","strafverfolgung","hauptverhandlung","ehegatten","entscheidung","kanka","land","art","abs","gerechtigkeit","bundesjustizminister","strafvollzug","tiere","heinemann","grundgesetzes","bestimmung","haftgrund","begangen","bürger","hirsch","bundesverfassungsgerichts","juristen","gesetz","stark","rechtsstellung","eyrich","verfahren","schwangerschaft","kinder","kind","vogel","rechtsprechung","rechtsausschuss","untersuchungsausschuss","emmerlich","schutz","verjährungsfrist","anwalt","lebenslangen","klein","strafvollzug","uwg","verfahren","recht","emmerlich","ergänzungszuweisungen","petitionsausschuss","gesetzgeber","gesetzgeber","beratungen","gesetzes","recht","regelungen","prüfung","untersuchungshaft","rechtsprechung","petitionsausschuss","recht","änderung","petitionen","fällen","richter","petitionen","verjährung","stgb","art","gesetzes","gesetzes","recht","gesetzgeber","petitionen","petitionsausschuss","bundestag","schmidtjortzig","rechtsprechung","petitionsausschuss","instanz","recht","praxis","petitionsausschuss","anhörung","bundesverfassungsgericht","opfern","dnaanalyse","abs","zypries","fingerabdruck","recht","verfahren","rechtspolitik","schutz","anhörung","bundesverfassungsgerichts","datenschutz","bundesverfassungsgerichts","urteil","schutz","vorliegenden","betroffenen","rechtsprechung","daten","änderung","anhörung","verfahren","bundesverfassungsgericht","geregelt","sexuelle","unternehmen","urteil","stgb","regelung","entwurf","richtlinie","gericht","artikel","regelungen","informationen"
"13","ausschusses","vorlage","entwurf","bundesverfassungsgerichts","gesetzentwurf","gesetz","gesetzgeber","entwurf","bundesrats","regierungsentwurf","urteil","rechtsausschusses","bundesgerichtshof","schäffer","scheidung","unlauteren","justiz","badischen","entscheidung","entscheidung","verfahren","richter","gesetzgeber","recht","gerichte","jahn","strafrechts","aufklärungsquote","bewährung","demonstrationen","jahn","hirsch","jahn","rechtsprechung","haftgrund","wirtschaftskriminalität","entwurf","gesetz","entscheidung","recht","überwachung","beratung","gericht","kinder","untersuchungsausschusses","stgb","novelle","völkermord","erhard","recht","urteil","schmude","schmude","kriminalität","makler","bundesrates","bundesverfassungsgerichts","gesetzes","flick","bundesverfassungsgerichts","bundesrat","abs","gesetzes","with","eingaben","gesetzes","justiz","verfahren","gesetzgeber","verfahren","justiz","justiz","gesetzgeber","bundesverfassungsgericht","recht","entschädigung","gesetzes","verfahren","rechtsprechung","gesetzgeber","abs","recht","vorliegenden","recht","verfahren","anhörung","petitionen","petitionsausschuss","grundgesetzes","bürger","gesetzgeber","geldstrafe","missbrauch","petitionen","rechtsprechung","strafe","verfahren","recht","dnaanalyse","recht","abs","entscheidung","zypries","rechtsprechung","änderungen","änderungen","art","bereits","rechtsprechung","protokoll","änderung","entwurf","rechtsprechung","vorratsdatenspeicherung","rechtsprechung","urteil","änderungen","schutz","bundesverfassungsgericht","recht","gerichte","verbraucher","urteil","daten","richter","änderung","änderung","anhörung"
"14","entwurf","ausschuss","ausschuss","ausschuss","grundgesetz","mehrheit","justiz","regelung","ausschuss","vorschrift","bundesjustizminister","bundesverwaltungsgericht","gerichte","vorschrift","bundesgerichtshof","bundesjustizminister","verfahren","grundgesetzes","bucher","bundesverfassungsgericht","rechtsprechung","arndt","reform","regelung","busse","verfahren","rechtsprechung","rechtsausschuss","verbrechen","gewalttätigkeiten","demonstrationen","rechtsausschuss","bundesjustizminister","richters","vogel","vielen","mutter","regelung","schutz","straftaten","gericht","recht","erhard","justiz","eyrich","verteidiger","kleinert","mörder","vorschriften","kleinert","götz","gesetzentwurf","erhard","gerichte","beratungen","versorgungsausgleich","bundesrates","wirtschaftskriminalität","petition","bewährung","bundesverfassungsgericht","bundesverfassungsgericht","beratungen","kleinert","ausschuss","verbandsklage","regelungen","änderung","petitionsausschuss","abs","grundgesetzes","gesetzgeber","bundesrat","petenten","straftaten","petenten","recht","rechtsausschuss","urteil","richter","art","petitionsausschuss","recht","bürgerinnen","regelungen","justizreform","richter","ströbele","gericht","geis","anhörung","bürger","verfahren","missbrauch","straftaten","kauder","schutz","zypries","informationsfreiheitsgesetz","entscheidung","änderungen","rechtsprechung","regelungen","abs","gesetzgeber","urteil","justiz","praxis","gegebene","bundesverfassungsgericht","protokoll","richtlinie","änderungen","änderung","vorliegenden","bsi","vorratsdatenspeicherung","maas","täter","netz","urteil","stgb","rechtssicherheit","absatz","strafrecht","bundesverfassungsgerichts","grundgesetz","daten"
"15","bedenken","vorschriften","richter","bundesrat","fassung","grundgesetz","regierungsvorlage","fassung","gesetzentwurf","insoweit","rechtspflege","verwaltung","entscheidung","strafprozessordnung","verfassungsrechtliche","ehe","vorschrift","neugliederung","urteil","regelung","jahn","entscheidung","freiheitsstrafe","gesetzentwurf","gesetzgeber","rechtsausschuss","rechtsweg","heinemann","strafrechtsreform","stgb","strafverfolgung","rechtspolitik","strafrechts","mindeststrafe","reform","geschäftsbedingungen","ungeborenen","strafgesetzbuches","indikation","richter","ehe","gesetz","entwurf","gesetzgeber","verteidigerüberwachung","gerichte","recht","entscheidung","gericht","gerichte","straftaten","verfahren","fällen","geltenden","gesetzes","kleinert","recht","bundesverfassungsgericht","untersuchungsausschuss","bedenken","kleinert","bundesrat","rechtsausschuss","abs","regelung","gericht","petitionen","bundesverfassungsgericht","urteil","anhörung","vermittlungsausschuss","eingaben","bedenken","geis","rechtsprechung","recht","bundesverfassungsgericht","worden","art","bundesverfassungsgericht","häfner","anhörung","fälle","täter","fällen","rechtspolitik","kronzeugenregelung","recht","verfassung","reform","bürger","strafe","entwurf","opferschutz","praxis","nachträgliche","richtlinie","entwurf","regelungen","täter","montag","verfahren","leutheusserschnarrenberger","sicherungsverwahrung","richter","änderung","datenschutz","gegebene","mediation","schutz","bereits","rechtsprechung","elektronischen","bürger","staatsanwaltschaft","absatz","praxis","fälle","gesetzgeber","parteien","richter","daten","richtlinie","fälle","änderungen","justiz","gesetzes","änderung"
"16","verfahren","bundesrat","bedenken","gericht","bundesrates","minderheit","gesetzes","gesetzgeber","weber","bestimmung","anwälte","rechtsprechung","bundesjustizminister","fälle","böhm","ermittlungen","unangemessenheit","kopf","richter","bundesgerichtshof","verfolgung","jehovas","rechtsprechung","strafe","gesetz","kollegin","gericht","gericht","verjährungsfrist","reform","bestraft","bundesverfassungsgericht","juristenausbildung","rechtsausschuss","gerichte","voraussagen","schwangerschaft","bundesverfassungsgericht","arzt","strafverfolgung","kindes","kindes","kinder","kind","richter","zwangsernährung","unlauteren","verfahren","rechtsberatung","rechtsausschusses","vorschriften","rechtsprechung","rechtsausschuss","recht","vogel","verfahren","abs","änderung","juristen","rechtsprechung","gesetzes","gerichte","kleinert","rechtsausschuss","recht","regelungen","nickels","gesetzes","änderung","gesetzentwurfs","koalitionsfraktionen","bundesrat","gesetzes","entschädigung","gesetzes","straftaten","beratungen","gesetzgeber","entschädigung","urteil","regelungen","rechtsausschuss","bürger","wahlkreise","bürger","regelungen","geis","bundesverfassungsgericht","rechte","rechtsprechung","betroffenen","gericht","opfer","gesetzgeber","bundesverfassungsgericht","praxis","ströbele","ströbele","graffiti","zypries","bundesverfassungsgerichts","schon","reform","anhörung","urteil","art","rechtsprechung","änderung","fällen","rechtsprechung","entwurf","anhörung","jedoch","rechtsprechung","bürger","entwurf","absatz","gesetzgeber","urteil","entwurf","vorratsdatenspeicherung","richter","grundgesetz","netzdg","regelungen","rechtsstaat","urteil","änderungen"
"17","auffassung","rechtsausschuss","regierungsvorlage","art","rechtsausschuss","gesetzes","grundgesetz","rechtsausschusses","regelung","gesetze","staatsanwaltschaft","bürger","vorschrift","gerichte","grundgesetz","frau","auffassung","art","jahn","grundsatzrevision","mord","zeugen","strafgesetzbuch","tieren","abs","schutz","verfahren","täter","reform","gewalt","schutz","rechtsprechung","lenz","freiheitsstrafe","polizei","strafvorschriften","strafrechts","richter","kindes","regelung","wirtschaftskriminalität","lenz","emmerlich","elterlichen","übereinkommen","anwaltschaft","richter","opfer","with","abs","bundesverfassungsgericht","täter","klein","auslieferung","schöfberger","begründung","richter","parteienfinanzierung","kleinert","gericht","recht","gesetzgeber","novellierung","lesung","auffassung","bundesrat","grundgesetzes","gesetzgeber","with","gesetzgeber","kleinert","verfahren","grundgesetzes","beratungen","anhörung","justiz","stgb","vorliegenden","gericht","abs","rechtsprechung","kleinert","anhörung","verfahren","beratungen","beck","straftaten","beratungen","art","recht","justiz","grundgesetz","ströbele","sicherungsverwahrung","ströbele","regelungen","rechtspolitik","opfer","gesetzgeber","urteil","fälle","richter","abs","entscheidung","praxis","gesetzgeber","schutz","änderungen","gesetzes","recht","recht","änderung","richtlinie","rechte","transparenz","gesetzes","urteil","rechtsprechung","praxis","stgb","gericht","bundesverfassungsgerichts","grundrechte","änderung","entscheidung","absatz","sachverständigen","strafgesetzbuch"
