"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","tagesordnung","präsident","präsident","präsident","präsident","präsident","antrag","geschäftsordnung","weihnachtsgeld","beamten","beamten","hannover","beamten","schmittvockenhausen","beamten","beamten","dienstes","beamten","dienstes","beamten","beamten","beamten","beamten","beamten","umweltschutz","benzin","umweltschutz","bundesgrenzschutz","arbeitsgruppe","genscher","genscher","genscher","sport","bundesgrenzschutz","kernenergie","forschung","kernenergie","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","nordsee","kernenergie","forschung","kommission","mikroelektronik","umweltschutz","umweltschutz","buschhaus","umwelt","kernenergie","umwelt","wallmann","kernenergie","töpfer","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","töpfer","rio","umwelt","umwelt","braunkohle","umwelt","merkel","naturschutz","umwelt","umwelt","umwelt","merkel","merkel","umweltpolitik","trittin","energien","klimaschutz","trittin","naturschutz","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","klimaschutz","energiewende","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","tagesordnung","dr","dr","geschäftsordnung","geschäftsordnung","präsident","dr","präsident","antrag","fraktion","herr","herr","herr","beamten","herren","antrag","harmonisierungsnovelle","dienst","beamten","diäten","bundestages","dienst","gscheidle","beamten","dienst","dienst","dienst","dienstes","vergütungsgruppe","dienst","genscher","benda","liter","umweltschutzes","bundesgrenzschutzes","besoldungsvereinheitlichungs","innern","innern","innern","sports","bundesgrenzschutzes","sport","krebsforschung","forschung","forschung","kernenergie","energiepolitik","forschung","kohle","forschung","forschung","enquetekommission","forschung","enquetekommission","enquetekommission","umweltschutz","snr","wald","umwelt","umweltschutz","umweltschutz","umweltschutz","umweltschutz","kernenergie","umwelt","kernenergie","umwelt","umwelt","umwelt","umwelt","wälder","töpfer","umwelt","umwelt","töpfer","töpfer","kernenergie","töpfer","kernenergie","merkel","naturschutz","naturschutz","naturschutz","umweltpolitik","umwelt","umwelt","umwelt","kernenergie","trittin","transporte","energien","nachhaltigkeit","umweltpolitik","naturschutz","erneuerbaren","erneuerbaren","umweltpolitik","klimaschutz","erneuerbaren","erneuerbaren","gabriel","klimaschutz","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energien","energien","klimaschutz","energien","klimaschutz","klimaschutz","energien","erneuerbaren","klimaschutzplan","klimaschutz","co","energiewende","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","herr","damen","damen","dr","herren","geschäftsordnung","geschäftsordnung","geschäftsordnung","geschäftsordnung","antrag","antrag","herren","antrag","herr","antrag","beamten","gscheidle","dienstes","petitionsausschuss","vorlage","bundestagsvorstand","öffentlichen","dienst","dienst","dienstes","benda","neugliederung","innenausschuss","vorstand","dienstes","guatemala","genscher","gramm","genscher","genscher","genscher","beamten","länder","dienstes","kernenergie","innern","oldenburg","technologie","kernkraftwerke","kernkraftwerke","technologie","brüter","grundlagenforschung","forschung","umweltschutz","laermann","fernwärme","technologie","entsorgung","technologie","snr","technologie","waldsterben","forschung","wald","autos","tempolimit","luft","umwelt","tschernobyl","umwelt","kernenergie","kernenergie","umweltpolitik","nordsee","kernenergie","tschernobyl","kernenergie","ostsee","naturschutz","rio","töpfer","umweltpolitik","umwelt","umwelt","reaktorsicherheit","merkel","merkel","naturschutz","naturschutz","ausstieg","ukraine","ausstieg","energien","naturschutz","energiepolitik","klimaschutz","umwelt","erneuerbaren","eeg","emissionshandel","erneuerbaren","nachhaltigkeit","reach","klimaschutz","umwelt","erneuerbaren","gabriel","erneuerbaren","gabriel","erneuerbaren","klimaschutz","energiekonzept","kernenergie","erneuerbaren","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","energien","energiewende","energien","energiewende","energien","energiewende","klimaschutz","energiewende","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","geschäftsordnung","herren","vizepräsident","herren","damen","herren","damen","herren","fraktion","herren","herren","dr","fraktion","herren","herr","vorschuss","dienst","wuermeling","kommission","beamte","bürohaus","innenausschuss","dienstes","besoldungsgruppe","gscheidle","petitionen","brück","dienst","petitionsausschuss","öffentlichen","innern","innern","blei","innern","länder","kommission","dienst","bund","dienst","bund","kernenergie","schaumburglippe","krebs","nutzung","technologie","nutzung","schnellen","energie","nutzung","umweltpolitik","krebs","programm","gutachten","energiepolitik","stahl","kohle","forschung","luft","technik","umwelt","umweltpolitik","umwelt","tschernobyl","tschernobyl","wallmann","industrie","tschernobyl","umweltpolitik","industrie","anlagen","töpfer","kernenergie","energiepolitik","töpfer","feige","naturschutz","steinkohle","enquetekommission","energien","reaktorsicherheit","merkel","umweltschutz","kernenergie","umwelt","bundesministerin","trittin","umweltpolitik","trittin","umwelt","klimaschutz","kernenergie","energiepolitik","ökologischen","wälder","klimaschutz","klimaschutz","klimaschutz","umwelt","klimaschutz","energiepolitik","erneuerbaren","klimawandel","erneuerbaren","strom","asse","strom","kopenhagen","laufzeitverlängerung","japan","röttgen","röttgen","eegumlage","altmaier","eeg","erneuerbaren","erneuerbaren","paris","klimaschutz","energien","erneuerbaren","energien","erneuerbaren","energien","energiewende","energiewende","wasserstoff","klimapolitik","klimaschutz"
"5","dr","präsident","herr","damen","präsident","dr","präsident","damen","dr","tagesordnung","damen","antrag","herren","fraktion","präsident","weihnachten","brück","matzner","gscheidle","bezüge","beamten","dienstes","öffentlichen","beamte","miessner","innern","innenausschuss","besoldungsgruppe","stiftung","wagner","öffentlichen","verbrechensbekämpfung","bleigehalt","umwelt","innern","ländern","bund","wald","innenausschuss","ländern","baum","niedersachsen","abwasserabgabe","technologie","entsorgung","bundesregierung","technologie","energiepolitik","technologie","nutzung","energiepolitik","riesenhuber","energieforschung","abfälle","kernenergie","kohlepolitik","riesenhuber","umwelt","technologie","kernenergie","auto","benzin","kernenergie","cattenom","umweltschutz","entsorgung","umweltpolitik","reaktorsicherheit","kernenergie","umweltschutz","enquetekommission","schmidbauer","schäfer","industrieländer","umweltschutz","dsd","morsleben","energien","umweltpolitik","umweltschutz","kernenergie","umweltpolitik","gorleben","energien","umweltpolitik","kernenergie","energien","umwelt","umweltpolitik","umwelt","umweltpolitik","trittin","erneuerbaren","novelle","trittin","trittin","trittin","trittin","kernenergie","umweltpolitik","naturschutz","emissionshandel","bali","energie","erneuerbaren","biogas","röttgen","klimaschutz","erneuerbare","klimaschutz","strom","altmaier","erneuerbaren","klimaschutz","energieeffizienz","fracking","erneuerbaren","fracking","erneuerbaren","strom","erneuerbaren","energien","erneuerbaren","erneuerbaren","wasserstoff","energiewende","industrie","energie"
"6","herren","sitzung","herren","präsident","dr","damen","herren","fraktion","tagesordnung","herr","fraktion","vorlage","damen","präsident","vorlage","herren","besoldung","schmittvockenhausen","öffentlichen","doppelversorgung","vorstand","besoldung","innenausschuss","öffentlichen","innenausschuss","bundesgrenzschutz","stufe","schmittvockenhausen","beamte","innern","dienst","sofortprogramm","pro","umweltprogramm","sicherheit","verhaltensregeln","naturschutz","stoffe","länder","länder","badenwürttemberg","anlagen","forschungspolitik","matthöfer","nutzung","forschungs","forschung","technologie","kernkraftwerke","stoffe","krebsforschung","forschung","stahl","forschung","schnellen","luft","lenzer","umweltpolitik","waldsterben","nordsee","zimmermann","luft","nordsee","industrie","nutzung","umweltpolitik","industrie","naturschutz","umweltschutz","kernenergie","tropischen","naturschutz","reaktorsicherheit","naturschutz","umweltpolitik","umweltpolitik","energiepolitik","steinkohle","naturschutz","morsleben","tschernobyl","energien","energien","umweltschutz","reaktorsicherheit","nachhaltigkeit","kernenergie","erneuerbaren","ökosteuer","gorleben","klimaschutz","johannesburg","trittin","verpackungsverordnung","emissionshandel","eeg","reach","erneuerbaren","sellafield","umwelt","klimaschutz","prozent","prozent","prozent","energie","energie","prozent","erneuerbare","strom","energieeffizienz","prozent","eeg","gorleben","industrie","eeg","kwk","strom","strom","marrakesch","mieterstrom","siemens","klimawandel","strom","wasserstoff","strom","nachhaltigkeit","erneuerbaren","strom"
"7","sitzung","uhr","präsident","vizepräsident","tagesordnung","herr","uhr","herr","abgeordneter","damen","geschäftsordnung","damen","innenausschuss","kühlthau","damen","zahlung","dienstes","erhöhung","besoldung","dienst","räume","sachverständigenrat","huyn","fortbildung","beamte","beamten","schmittvockenhausen","beamtinnen","dienst","genscher","dienstes","umwelt","genscher","bund","polizei","innern","polizei","grundgesetzänderung","umweltschutz","sportförderung","gewässer","abfälle","laermann","entsorgung","stahl","antarktis","lenzer","albrecht","anlagen","umwelt","krebsbekämpfung","kernkraftwerke","humanisierung","fortschreibung","brüter","brüter","steger","späth","industrie","umweltpolitik","bundesregierung","umweltpolitik","stoffe","umweltschutz","kernkraftwerke","reaktorsicherheit","brüter","energien","umweltminister","stoffe","energien","ökologischen","energieversorgung","ökologischen","bundesumweltminister","feige","umwelt","ökologische","reaktorsicherheit","bundesministerin","morsleben","reaktorsicherheit","umweltschutz","klimaschutz","nachhaltigkeit","energien","ausstieg","energiepolitik","haag","kernenergie","trittin","energie","ökologische","ökologisch","energiepolitik","industrie","energiepolitik","steinkohle","energiepolitik","energie","reaktorsicherheit","gabriel","erneuerbare","gabriel","emissionshandel","klimawandel","fotovoltaik","röttgen","energiekonzept","durban","energie","strom","emissionshandel","energie","industrie","gabriel","ziele","eeg","paris","hendricks","erreichen","strom","gas","strom","eeg","industrie","strom","ausbau"
"8","damen","abstimmung","schmid","herr","uhr","tagesordnung","herr","rasner","herren","dr","krankenanstalten","abgeordnete","vizepräsident","sonntage","ausschuss","weihnachtsgeldes","bundesbesoldungsgesetzes","haushaltsausschuss","schmittvockenhausen","dorn","räumen","beamtenbesoldung","miessner","petitionsausschuss","besoldung","angestellten","öffentlichen","besoldung","satzung","beamte","beamte","schäfer","innenausschuss","abfallbeseitigung","beamten","neuregelungsgesetz","länder","landschaftspflege","öffentlichen","innern","bodensee","nutzung","innenausschuss","bundesregierung","kernkraftwerken","standort","fortschreibung","ministerpräsident","stahl","humanisierung","kernkraftwerke","industrie","kernenergie","kernkraftwerke","hamburg","ta","industrie","grossfeuerungsanlagenverordnung","umweltpolitik","kohle","kernenergie","technik","umweltpolitik","umweltpolitik","reaktorsicherheit","umweltschutz","umweltschutz","fckw","stoffe","abfälle","umweltschutz","energiepolitik","energie","konferenz","reaktorsicherheit","verpackungsverordnung","abfälle","kernenergie","umweltschutz","umweltpolitik","bundesministerin","bundesministerin","natur","kioto","kernenergie","ökologische","klimaschutz","kraftwärmekopplung","kernenergie","atomenergie","erneuerbaren","enquetekommission","ökosteuer","wald","umweltpolitik","umwelt","umwelt","energie","trittin","gabriel","sigmar","energieeffizienz","co","kraftwärmekopplung","strom","erneuerbare","erneuerbare","energie","netzausbau","energie","industrie","cent","industrie","strom","strom","energieeffizienz","erreichen","stahlindustrie","hendricks","kohle","klimawandel","erreichen","kohleausstieg","klimawandel","eegumlage","strom","copreis","fossilen"
"9","fraktion","herr","sitzung","sitzung","vizepräsident","gerstenmaier","vizepräsident","antrag","damen","uhr","dr","abgeordneter","lesung","damen","matzner","überleitung","herren","antrag","beamtenrechts","dienstes","beamte","schmittvockenhausen","besoldungsordnung","innenausschuss","beamtenschaft","goetheinstituts","dienstes","besoldungsneuregelungsgesetz","besoldungsgruppe","besoldungsrückstandes","schäfer","bundeskriminalamt","dienstes","gruhl","bgs","umweltschutz","landschaftspflege","bundes","bund","sportkonferenz","benzin","sports","forschungs","kernkraftwerken","albrecht","gorleben","nutzung","luft","technik","energiepolitik","kohle","ausbau","programm","gorleben","thtr","inbetriebnahme","inbetriebnahme","bundesinnenminister","grossforschungseinrichtungen","luft","tempolimit","auto","ta","brokdorf","hauff","transnuklear","nordsee","schäfer","naturschutz","reaktorsicherheit","lippold","reaktorsicherheit","tschernobyl","umweltschutz","energieversorgung","umweltschutz","kohle","feige","klimaschutz","kernenergie","endlager","angela","reaktorsicherheit","kernenergie","umweltschutz","naturschutz","ökologische","energie","energiepolitik","umweltpolitik","ausstieg","umweltpolitik","eeg","eeg","umwelt","tonnen","industrie","wald","energieeffizienz","reach","erneuerbare","kernenergie","naturschutz","müssen","umwelt","nutzung","eeg","brennelementesteuer","ccs","umwelt","energieeffizienz","energie","solarindustrie","energieeffizienz","kohle","tonnen","industrie","ausbau","endlager","anlagen","sektoren","ziele","energie","emissionshandel","kohleausstieg","altmaier","nachhaltigkeit","energieversorgung"
"10","abstimmung","vizepräsident","uhr","hauses","sitzung","fraktion","sitzung","dr","gerstenmaier","abgeordnete","ältestenrat","gerstenmaier","krankenanstalten","vorlage","entschliessungsantrag","geschäftsordnung","besoldungserhöhungsgesetz","besoldung","dienst","abgeordneten","besoldung","anpassung","brück","verwaltung","öffentlichen","meermann","verwaltung","öffentlichen","tierschutzgesetz","schäfer","abteilung","beamten","dienst","abfälle","abfallbeseitigung","länder","umweltschutz","umweltschutz","umweltschutzes","bundes","wahlrecht","kernkraftwerke","forschungsförderung","stahl","lenzer","matthöfer","kernkraftwerke","landesregierung","energie","technologie","bundesregierung","humanisierung","enquetekommission","bundesregierung","april","forschung","technik","schäden","luft","waldsterben","wald","grünen","technik","hauff","naturschutz","umweltminister","reaktorsicherheit","nordsee","fckw","industrie","pvc","schäfer","naturschutz","umweltpolitik","ökologischen","ökologischen","verwertung","lippold","lippold","bundesregierung","stoffe","verpackungsverordnung","umweltpolitik","bundesministerin","frau","energie","stadtwerke","grill","ökologisch","ausstieg","umwelt","emissionshandel","naturschutz","umwelt","photovoltaik","emissionshandels","kiotoprotokoll","deutschland","atomenergie","nachhaltigkeit","endlager","kohle","strom","eeg","kernenergie","beirat","kernenergie","energiepolitik","klimaschutz","prozent","photovoltaik","energieeffizienz","backloading","unternehmen","energie","energie","klimawandel","fukushima","gorleben","energiepolitik","emissionshandel","wald","stream","klima","industrie","energie","energiewende","erneuerbare"
"11","uhr","fraktion","fraktion","uhr","herr","uhr","tagesordnung","grundgesetzänderung","herr","geschäftsordnung","abgeordneter","geschäftsordnung","abgeordneter","einfachen","kühlthau","krankenanstalten","öffentlichen","gscheidle","antrag","schmittvockenhausen","gradl","gscheidle","besoldungsreform","unteroffiziere","innenausschusses","staatssekretär","alters","miessner","innenausschuss","besoldungsrückstand","versetzt","kriminalpolizei","beamten","umweltpolitik","bund","verfolgung","sicherheit","umwelt","luft","gewässer","beamten","innenausschuss","abgabe","stavenhagen","bau","bau","snr","öl","bundesregierung","industrie","riesenhuber","energiepolitik","forschungs","endlagerung","nutzung","risiko","nutzung","technik","ökologischen","energiepolitik","automobilindustrie","ibbenbüren","industrie","ausstieg","ausstieg","stoffe","stoffe","umweltschutz","schäfer","naturschutz","ökologische","umweltpolitik","umweltpolitik","fckw","anlagen","verwertung","energie","naturschutz","energiepolitik","endlager","genehmigungsverfahren","stromeinspeisungsgesetz","bundesministerin","hustedt","transporte","energiepolitik","naturschutz","strom","naturschutz","nachhaltigkeit","hustedt","erneuerbaren","energie","trittin","erneuerbare","naturschutz","endlager","erneuerbare","deutschland","öl","gorleben","energie","energie","erneuerbare","gorleben","energieeffizienz","energiepolitik","umwelt","kernkraftwerke","gorleben","kraftwärmekopplung","industrie","emissionshandels","eegumlage","deutschland","strom","deutschland","deutschland","ziele","netzentgelte","industrie","anlagen","kohle","arbeitsplätze","arbeitsplätze","arbeitsplätze","wasserstoff","öl"
"12","ausschuss","bundestag","abgeordnete","fraktion","weihnachten","sitzung","abgeordneter","sitzung","minuten","gerstenmaier","gerstenmaier","fraktion","kühlthau","rutschke","verbesserungen","damen","ausschuss","beamtenschaft","dienstes","altersversorgung","gscheidle","bundesbeamten","studienkommission","amt","disziplinarrecht","angestellte","verbesserungen","verbesserungen","besoldungsneuregelungsgesetz","bundesinnenminister","kontakt","umweltschutzes","besoldung","programm","grundgesetzänderung","minister","bundes","waldes","wahlkreiskommission","vereine","umweltschutz","kernkraftwerken","grundlagenforschung","bau","solartechnik","energie","gorleben","kernkraftwerke","laermann","laermann","niedersachsen","empfehlungen","arbeitslebens","technik","technik","kernenergie","enquetekommission","hauff","mikroelektronik","steinkohle","benzin","brüter","wallmann","landesregierung","energiepolitik","naturschutz","naturschutz","industrie","reaktorsicherheit","entsorgung","ökologischen","energie","ökologischen","weltweit","natur","hartenstein","entsorgung","ökologischen","coemissionen","vielfalt","abfälle","caspersmerk","entsorgung","schütz","müller","wiederaufbereitung","strom","umweltpolitik","lippold","ökosteuer","atomenergie","grill","nachhaltigkeit","innovationsklausel","arbeitsplätze","allokationsplan","umweltschutz","kiotoprotokoll","energie","umweltschutz","energie","erneuerbare","umwelt","nutzung","prozent","ccs","energieeffizienz","strom","energiepolitik","industrie","energiepolitik","ausbau","unternehmen","ausbau","gabriel","unternehmen","hendricks","prozent","bullingschröter","deutschland","kohleausstieg","emissionen","versorgungssicherheit","klimapaket","ausbau","deutschland","wirtschaft","energiewende"
"13","bitte","tagesordnung","geschäftsordnung","tagesordnung","fraktion","abgeordnete","rasner","beratung","abgeordnete","vizepräsident","abgeordnete","kollegen","vorlage","energiewirtschaftsgesetzes","vizepräsident","schmittvockenhausen","damen","öffentlichen","petitionsausschusses","aufwandsentschädigung","verwaltung","beamte","finanzgerichte","planstellen","dorn","petitionsausschuss","hinterbliebenenversorgung","beamte","dienstes","mittleren","spreti","dienst","innern","industrie","innenausschuss","polizei","inneren","naturschutz","beamten","nutzung","innenausschuss","bundesregierung","kernenergie","schnellen","bundesregierung","energiepolitik","betrieb","nutzung","krebsbekämpfung","arbeitslebens","umweltschutz","programms","kernkraftwerke","nutzung","snr","wolfram","brüter","badenwürttemberg","wald","kraftwerk","forschung","formaldehyd","ausstieg","ibbenbüren","industrie","nutzung","asbest","lennartz","baum","umweltpolitik","anlagen","energiepolitischen","greifswald","elbe","klausdieter","ökologisch","umweltpolitik","klaus","enquetekommission","natur","energien","ökologische","rio","reaktorsicherheit","nutzung","ökologischen","kraftwärmekopplung","nachhaltigkeit","kraftwärmekopplung","castortransporte","anlagen","nachhaltige","klimaschutz","konferenz","ökologisch","reach","erneuerbare","reach","umwelt","kernenergie","strom","umwelt","tonnen","biomasse","erneuerbare","prozent","energie","prozent","energiewende","ausbau","asse","rösler","eeg","netzausbau","prozent","bullingschröter","prozent","hendricks","atomenergie","umwelt","klimaziele","ausbau","emissionen","industrie","erneuerbare","co","kohleausstieg","wirtschaft"
"14","abgeordneter","abgeordnete","hauses","wort","abgeordneter","abgeordneter","fraktion","gerstenmaier","sitzung","sitzung","tagesordnung","ausschuss","dr","dienst","dienst","präsident","änderung","kinderzuschläge","innenminister","pension","zivilbeschäftigten","überleitung","bundesinnenminister","parlament","zulage","bund","besoldungsneuregelungsgesetzes","besoldungsordnung","ii","kollege","botschafters","polizei","umwelt","landschaftspflege","polizeilichen","schäfer","ländern","ländern","umweltbundesamt","bundesregierung","stoffe","landesregierung","abwasserabgabengesetz","technik","forschungsförderung","hauff","energieverwendung","bundesregierung","bau","bundesregierung","grundlagenforschung","bereich","technologien","grossforschungseinrichtungen","projekt","technologie","schnellen","benzin","zimmermann","zimmermann","industrie","wald","zimmermann","chemischen","atomenergie","abfälle","fckw","technik","schmidbauer","technik","reaktorsicherheit","umweltschutz","bundesumweltminister","laufs","ökologische","umweltminister","endlager","klinkert","energie","angela","umweltpolitik","frau","nachhaltigen","ministerin","atomenergie","umweltschutz","loske","nutzung","transporte","energien","ökosteuer","umwelt","energiepolitik","bergbau","kiotoprotokoll","ökosteuer","minister","tonne","wälder","energiegipfel","fell","co","coemissionen","energiepolitik","atomenergie","nachhaltige","umwelt","gorleben","ausstieg","rohstoffe","ausbau","verbraucher","energie","deutschland","emissionshandel","co","kohle","tschernobyl","müssen","nachhaltigkeitsstrategie","kohle","grad","nord","energie","energie","ausbau","klimawandel","eegumlage"
"15","hauses","geschäftsordnung","wort","abgeordnete","sonntage","lesung","fraktionen","lesung","hauses","haus","herrn","uhr","geschäftsordnung","abgeordneter","fraktion","ausschüsse","harmonisierung","vorlage","länder","bundesbeamtengesetzes","dienst","vierten","graf","miessner","stufe","beamte","beamte","innenausschusses","bediensteten","innenausschuss","innenministerium","öffentlichen","gruhl","bodensee","polizeiliche","inneren","bundesgrenzschutz","regelungen","bundesgrenzschutz","wyhl","länder","volksentscheid","gebiet","forschungsförderung","moratorium","fortschreibung","energie","hauff","kernkraftwerken","kohle","kernkraftwerk","technologie","medienbericht","technologie","betreiber","empfehlung","kernenergie","zimmermann","forschungs","energieversorgung","nordsee","stoffe","müssen","reaktorsicherheit","hessen","buschhaus","schäfer","umweltminister","entsorgung","energie","knabe","kernkraftwerke","kozloduj","stoffe","kernenergie","reaktorsicherheit","energien","kohle","ökologische","nordsee","nutzung","kampeter","nutzung","grill","angela","atomenergie","atomenergie","anlagen","ökologische","homburger","energiebericht","rio","ökologisch","waldbesitzer","kernenergie","erneuerbare","energie","abfälle","kosten","erneuerbare","kernenergie","tonnen","kauch","höhn","sigmar","energieversorgung","strom","kernenergie","prozent","energiepolitik","umwelt","kilowattstunde","netzausbau","gabriel","unternehmen","eegumlage","energie","erneuerbare","kohle","strukturwandel","energie","energie","energiepolitik","kohleausstieg","kohle","brauchen","co","habeck"
"16","wort","bundestages","tagesordnung","bundestages","abstimmung","vizepräsident","abgeordnete","abgeordneter","schmid","abgeordneter","vizepräsident","wort","beschlüsse","kollege","lesung","haus","stellenpläne","petitionsstelle","ingenieurschulen","grundgesetzes","vorstandes","verbesserungen","dorn","artzinger","bund","parlamentarischer","unteroffiziere","richter","petenten","berger","entführern","wasser","öffentlichen","naturschutz","ländern","halte","verbrechensbekämpfung","anlagen","bundes","bundessportplan","wahlkreiseinteilung","neugliederung","nutzung","hauff","forschungs","antarktisvertrag","kalkar","entsorgung","energiepolitik","technik","ausbau","arbeitslebens","forschungsförderung","schäfer","hochtemperaturreaktor","technik","laermann","forschung","pcb","tempolimit","hauff","ta","nutzung","kernkraftwerke","nordsee","nordsee","bundesumweltminister","stoffe","wasser","verbrennung","wasserstoff","energien","feige","entwicklungsländer","brunsbüttel","ökologische","feige","energiepolitik","industrie","ökologischen","umweltschutz","hustedt","strom","frau","nachhaltige","loske","energie","atomenergie","morsleben","entsorgung","grill","hirche","paziorek","holz","biomasse","kosten","kernenergie","emissionshandel","erreichen","energieeffizienz","marktanreizprogramm","coemissionen","müssen","erneuerbarer","klima","nachhaltigkeit","energieversorgung","energieeffizienz","energieversorgung","umweltminister","klimaschutz","erneuerbare","strom","erneuerbare","hendricks","industrie","energieeffizienz","stahl","endlagerung","kohleausstieg","arbeitsplätze","umweltpolitik","müssen","klimaziele","altmaier","klimawandel","klima","wasserstoff"
"17","vizepräsident","fraktionen","fraktionen","anträge","übergang","ältestenrat","bitte","atomgesetzes","fraktionen","hauses","lesung","herrn","haushaltsausschuss","erhöhung","abgeordneter","regelung","bundesinnenminister","beamtenbesoldung","niederlassungsrecht","versorgungsempfänger","innenausschuss","stellenpläne","einheitlichkeit","dienstlichen","harmonisierung","bediensteten","besoldungsneuregelungsgesetz","lehrer","volksentscheid","erhöhung","einstweiligen","dienstes","umweltschutzes","verursacherprinzip","umweltschutzes","ersten","beamte","gewässer","berger","umweltschutz","wasch","bevölkerung","krebsbekämpfung","forschungs","energie","kernkraftwerke","bau","meerestechnik","umwelt","forschungs","landesregierung","nutzung","bundesregierung","wiederaufarbeitung","solarenergie","steinkohle","technologien","pflanzen","natur","braunkohle","schäfer","autos","grünen","kohle","töpfer","technik","kernkraftwerke","energie","lennartz","bundesimmissionsschutzgesetz","schutz","atomenergie","kernkraftwerke","reaktorsicherheit","wald","walfang","reaktorsicherheit","artikelgesetz","atomenergie","homburger","technik","verordnung","homburger","angela","entsorgung","umweltminister","anlagen","gorleben","nachhaltigkeit","zwischenlager","energieversorgung","ökologische","biomasse","erneuerbare","energieversorgung","biomasse","emissionshandel","industrie","prozent","industrie","klimawandel","atomenergie","kohlekraftwerke","verbraucher","atomkraft","umwelt","erneuerbarer","energieversorgung","fukushima","strom","eeg","unternehmen","umweltminister","energiepolitik","krischer","deutschland","erneuerbare","bullingschröter","brennelementesteuer","nachhaltigkeit","müssen","kohle","emissionshandel","klimapolitik","co","wirtschaft","technologien","preise"
"18","abgeordneten","schmid","abgeordneter","deckung","abgeordnete","bitte","ältestenrat","atomgesetz","mitglieder","morgen","schmid","vizepräsident","hauses","uhr","abgeordnete","haushaltsausschuss","innenausschuss","verbesserungen","niedersachsen","überleitung","dienstes","innenausschusses","beamtenrecht","brück","brese","besoldung","abgeordneten","innern","amtsbezeichnung","tarifverhandlungen","personalpolitik","luft","gehobenen","ländern","innenminister","schutz","dienstes","sports","minister","wald","wahlkreise","gruhl","bereich","riesenhuber","niedersachsen","entsorgung","antarktis","kohle","stoffe","grundlagenforschung","technologie","stahl","jansen","laufs","gerstein","enquetekommission","technischen","kohle","grossfeuerungsanlagenverordnung","ehmke","wiederaufarbeitung","wiederaufarbeitungsanlage","tempolimit","energiepolitik","grundwasser","chemischen","ozonschicht","hartenstein","trinkwasser","energien","massnahmen","enquetekommission","stoffe","ökologische","fckw","caspersmerk","naturschutz","braunkohle","angela","abfälle","klinkert","homburger","morsleben","umweltplan","enquetekommission","energieversorgung","ökologischen","kernkraftwerke","energie","ökologische","klimapolitik","prozent","erneuerbare","pfandpflicht","paziorek","förderung","paziorek","energieforschung","energiemix","biokraftstoffe","technologien","coausstoss","emissionshandel","emissionshandel","atomkraftwerke","ausbau","gorleben","asse","netz","rösler","energieversorgung","energiepolitik","ausbau","arbeitsplätze","eegumlage","prozent","kwk","industrie","gabriel","tihange","klimapolitik","kohleausstieg","energieversorgung","klimaschutzgesetz","windenergie","klimapolitik","arbeitsplätze","abhängigkeit"
