"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","amnestie","amnestie","richter","richter","richter","richter","amnestie","justiz","richter","richter","richter","richter","gericht","ehe","justiz","abmahnung","richter","bucher","richter","justiz","justiz","strafrecht","justiz","ehe","unehelichen","diemernicolaus","justiz","strafe","amnestie","justiz","richter","pornographie","richter","richter","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","wirtschaftskriminalität","vogel","untersuchungsausschuss","richter","justiz","verjährung","freiheitsstrafe","freiheitsstrafe","erhard","freiheitsstrafe","todesstrafe","justiz","verjährung","rechtspolitik","justiz","wirtschaftskriminalität","film","kultur","justiz","roma","justiz","justiz","gewalt","todesstrafe","todesstrafe","justiz","justiz","justiz","justiz","justiz","justiz","kriminalität","kronzeugenregelung","kriminalität","kriminalität","kriminalität","vergewaltigung","justiz","justiz","justiz","täter","kriminalität","kriminalität","justiz","täter","justiz","justiz","justiz","kriminalität","sicherungsverwahrung","sicherungsverwahrung","opfer","opfer","sicherungsverwahrung","justiz","straftaten","opfer","justiz","justiz","montag","justiz","sicherungsverwahrung","justiz","kinderpornografie","opfer","sicherungsverwahrung","sicherungsverwahrung","opfer","sicherungsverwahrung","justiz","drogen","vorratsdatenspeicherung","opfer","vorratsdatenspeicherung","ezigaretten","opfer","opfer","täter","rechtsstaat","rechtsstaat","rechtsstaat","rechtsstaat","strafrecht","cannabis","plattform","justiz"
"2","justiz","richter","rechtspfleger","zulassung","gericht","justiz","justiz","gerichte","wittrock","gerichte","verfahren","verwaltungsrichter","verjährung","untersuchungshaft","richter","ehegatten","richter","gericht","rechtsprechung","jahn","bucher","weber","strafe","zeitungen","rechtsprechung","kind","busse","richter","freiheitsstrafe","mülleremmert","diemernicolaus","vogel","strafrecht","ehe","justiz","strafvorschriften","leben","justiz","leben","frau","wirtschaftskriminalität","scheidung","justiz","eyrich","überwachung","rechtsausschuss","vogel","mord","strafe","strafe","strafe","todesstrafe","justiz","todesstrafe","justiz","erhard","richter","justiz","justiz","kunst","flugsicherung","sinti","opfer","kronzeugenregelung","justiz","justiz","justiz","gefangenen","vergewaltigung","gewalt","opfer","rehabilitierung","kriminalität","drogen","justiz","justiz","justiz","polizei","justiz","kronzeugenregelung","gewalt","korruption","justiz","opfer","polizei","geis","opfer","däublergmelin","straftaten","straftaten","kronzeugenregelung","opfer","verbrechen","straftaten","justiz","opfer","zypries","wohnraumüberwachung","täter","rechtspolitik","opfer","justiz","hessen","bundesverfassungsgericht","zypries","internet","rechtspolitik","justiz","täter","software","täter","opfer","menschenhandel","justiz","menschenhandel","maas","maas","sexuelle","maas","cannabis","justiz","justiz","karlsruhe","justiz","täter","rechtsstaat","strafbar","rechtsstaat"
"3","verfahren","justiz","rechtsausschuss","anwaltschaft","verfahren","gerichte","strafe","richter","seifert","verfahren","gericht","verwaltungsgerichtsbarkeit","justiz","rechtsausschuss","rechtsprechung","steuererklärung","justiz","entwurf","gerichte","diemernicolaus","verjährungsfrist","verjährung","justiz","tier","diemernicolaus","justiz","richter","wiederholungsgefahr","verjährung","diemernicolaus","jahn","justiz","recht","justiz","wiederholungsgefahr","staatsanwaltschaften","frauen","gefangenen","lebens","verteidiger","kronzeugen","frauen","gericht","recht","verteidiger","emmerlich","justizminister","verbrechen","justiz","justiz","freiheitsstrafe","erhard","abschaffung","auslieferung","jugoslawien","bad","versorgungsausgleich","urteile","engelhard","künstler","bewährung","justiz","wirtschaftskriminalität","sinti","pater","center","strafe","with","opfer","richter","kleinert","kinkel","opfer","opfer","straftaten","straftaten","straftaten","justiz","gewalt","beck","richter","drogen","gewalt","straftaten","justiz","straftaten","täteropferausgleich","geis","opfer","geis","geis","geis","täter","justiz","zypries","täter","rechtspolitik","justiz","kriminalität","täter","montag","telekommunikationsüberwachung","straftaten","vorratsdatenspeicherung","kinderpornografie","grundrechte","vorratsdatenspeicherung","opfer","montag","justiz","justiz","straftaten","opfer","maas","täter","straftaten","eshishas","prostitution","justiz","gewalt","cannabis","stgb","ärztinnen","täter","staatsanwaltschaft","justiz","rechtsstaat","sanktionen"
"4","gericht","straftaten","richter","gericht","justiz","strafe","arndt","justiz","richter","sachen","anwalt","rechtsausschuss","verbrechen","richter","rechtsausschuss","jahn","fällen","bundesverfassungsgericht","justiz","gericht","verjährung","rechtsausschuss","heinemann","gegenseitigkeit","justiz","kindes","justiz","kriminalität","justiz","polizei","reform","lenz","entwurf","scheidung","haftrechts","praxis","schutz","strafe","fristenregelung","ehe","verteidiger","indikation","erhard","rechtspolitik","justiz","erhard","gericht","aufhebung","rechtsausschuss","hartmann","urteil","rechtsordnung","freiheitsstrafe","rechtshilfe","straftaten","justiz","lepsius","rechtspolitik","ehe","justiz","bundesjustizminister","with","sinti","roma","vollmer","gewalt","engelhard","de","with","däublergmelin","entschädigung","richter","kinderpornographie","justiz","täter","drogen","polizei","with","drogen","kriminalität","opfer","täter","vergewaltigung","täter","straftaten","telefonüberwachung","justiz","instanz","geis","opfer","straftaten","justiz","sexuellen","röttgen","straftaten","straftaten","straftaten","fingerabdruck","stalking","opfer","rechtspolitik","telefonüberwachung","gehb","justiz","kauder","opfer","internet","straftaten","vorratsdatenspeicherung","gewalt","strafe","sicherungsverwahrung","abgeordnetenbestechung","strafe","justiz","cannabis","justiz","menschenhandel","täter","opfer","stgb","karlsruhe","forum","richter","rechtsstaat","täter","täter","geldwäsche"
"5","todesstrafe","bundesjustizminister","verfahren","justiz","bundesjustizminister","gerichten","strafrechts","verfahren","angeklagten","rechtsprechung","justiz","arndt","verfahren","justiz","frau","lieferprämie","unangemessenheit","jahn","jahn","rechtsausschuss","verlängerung","ersatzdienst","strafrechtsreform","jahn","richter","heinemann","gerichte","verbrechensbekämpfung","täter","richter","strafrecht","entschädigung","eyrich","arndt","kriminalität","wirtschaftskriminalität","pornographie","vollzug","frau","justiz","erhard","frau","überwachung","freiheitsstrafe","untersuchungsausschusses","vogel","friedmann","täter","erhard","bewährung","vorschrift","rechtspolitik","strafe","radio","untergebrachten","emmerlich","geschiedenen","erhard","flugsicherung","strafaussetzung","strafaussetzung","verletzten","jüdischen","gewalt","verurteilung","document","with","hungerstreik","todesstrafe","with","untersuchungshaft","opfer","straftaten","organisierten","with","verjährung","täter","de","ehe","rechtsstaat","drogen","hauptverhandlungshaft","opfer","justiz","sicherheit","rechtspolitik","kronzeugenregelung","verbrechen","kriminalität","kriminalität","sicherheit","täter","straftaten","stünker","strafverfahren","kauder","richter","opfer","hartenbach","zypries","zypries","strafprozessordnung","montag","zypries","richter","bundesverfassungsgericht","justiz","täter","straftaten","straftaten","genitalverstümmelung","stgb","wirtschaftskriminalität","straftaten","maas","daten","täter","nein","straftaten","straftaten","opfer","forum","recht","strafbar","werbung","geldwäsche","straftaten","oligarchen"
"6","bundesjustizminister","handlungen","gerichte","anwalt","behörden","gefängnis","bundeswehr","rechtsausschuss","tätigkeit","rechtsausschuss","rechtsprechung","instanz","rechtsausschuss","rheinlandpfalz","wittrock","sauter","rechtsausschuss","güde","bestimmung","justiz","verbrechen","richter","strafrechts","gerichtsbarkeit","bundesverfassungsgericht","uneheliche","strafrecht","straftaten","diemernicolaus","justiz","justizminister","jahn","reform","reform","straftaten","bayerl","frau","reform","schwangerschaftsabbruch","kindes","schutz","ehegatten","rechtsausschuss","frauen","gefangenen","justiz","bundesjustizminister","unverjährbarkeit","straftaten","straftaten","justiz","vogel","erhard","gewalttätigkeiten","wirtschaftskriminalität","schwalbach","klein","bad","polizei","bewährung","strafe","rechtspolitik","engelhard","de","engelhard","engelhard","de","strafe","strafe","strafe","gewalt","bundesjustizminister","rechtsstaat","straftaten","stgb","täter","organisierten","täter","kriminalität","richter","kriminalität","beck","kriminalität","verbrechen","richter","stgb","amnestie","statut","richter","stgb","sicherungsverwahrung","straftaten","opfer","opferschutz","dnaanalyse","justiz","kauder","dnaanalyse","dnaanalyse","straftaten","nešković","richter","zypries","gericht","rechtsstaat","kauder","missbrauch","montag","gewalt","täter","gesetzentwurf","täter","strafe","rechtspolitik","staatsanwaltschaft","strafrecht","vorratsdatenspeicherung","täter","verbraucherschutz","justiz","werbung","ersatzfreiheitsstrafe","ärzte","beschuldigten","justiz","straftaten","stgb","buschmann"
"7","recht","rechtsausschuss","greve","entwurf","verstösse","gericht","verfahren","wittrock","ziebell","justiz","jahn","jahn","arndt","bundesjustizminister","bundesgerichtshofs","oberstaatsanwalt","strafverfahren","gerichts","richter","strafprozessordnung","benda","zeugen","entwurf","austausch","hauser","vater","güde","verbrechen","strafrecht","demonstrationen","polizei","reform","schutz","ehegatten","rechtsausschuss","bekämpfung","lebens","strafrechts","fristenlösung","straftaten","strafgesetzbuches","versorgungsausgleich","vogel","strafe","lenz","bundesjustizminister","lenz","gerechtigkeit","prozesskostenhilfe","vogel","straftaten","strafe","gewalttätigkeiten","strafvollzug","vogel","rechtspolitischen","urteil","volksgerichtshof","demonstrationen","kulturpolitik","freiheitsstrafe","bewährung","wiedergutmachung","opfer","mayer","ehe","straftaten","engelhard","wiedergutmachung","vergewaltigung","engelhard","justizminister","richter","heuer","kriminalität","heuer","strafe","strafe","täter","däublergmelin","täter","sexuellen","strafrecht","lauschangriff","beck","beck","geis","täter","täter","polizei","justiz","beck","rechtspolitik","missbrauch","richter","strafe","ströbele","zypries","graffiti","journalisten","täter","journalisten","bundesverfassungsgericht","gehb","opfer","straftaten","täter","richter","opfer","quellentkü","opfer","rechtspolitik","cannabis","urteil","stgb","justiz","strafbar","selbstbestimmung","stgb","stgb","vorratsdatenspeicherung","richter","informationen","strafverfahren","stgb","lambrecht","strafgesetzbuch","kriminalität"
"8","gerichte","straffreiheitsgesetz","straffreiheit","rechtsanwalt","urteil","geldstrafe","arrest","gericht","strafgesetzbuchs","bundesrichter","rechtsanwalt","ehrenamtlichen","jahn","verfahren","bundesgerichtshof","unlauteren","kanka","verteidiger","entwurf","rechtsprechung","jahn","arndt","sonderausschuss","diemernicolaus","busse","mutter","strafrechts","bundesverfassungsgericht","strafrechts","lenz","demonstrationen","mülleremmert","mülleremmert","härteklausel","entwurf","kommission","reform","schutz","mutter","rechtsausschuss","straftaten","arzt","recht","justiz","untersuchungsausschüsse","weber","strafgesetzbuches","justiz","hartmann","lebenslangen","götz","hillermeier","schmude","kriminalität","strafrechtlich","schmude","scheidung","bundesjustizminister","gewalt","kulturelle","engelhard","engelhard","verbrechen","with","rupert","opfer","kronzeugenregelung","kronzeugenregelung","entschädigung","engelhard","kriminalität","unrecht","unrecht","rechtsstaat","sexuellen","rechtsstaat","stgb","verbrechen","drogenpolitik","täter","beck","gewalt","strafe","geis","gendatei","meyer","straftaten","herta","ströbele","richter","opfer","geldstrafe","fälle","opfern","täter","ströbele","bundesverfassungsgerichts","gehb","menschenhandel","montag","leutheusserschnarrenberger","straftaten","bundesverfassungsgerichts","daten","straftaten","seiten","straftaten","schöffen","justiz","computer","menschenhandel","staatsanwaltschaft","strafbar","rechtsstaat","strafbar","strafbar","straftaten","stgb","rechtsstaat","maas","strafrecht","recht","leipzig","strafrecht","kinderpornografie","verbrechen","verbrechen","ärztinnen"
"9","rechtsausschuss","gerichte","straftaten","gerichte","fälle","rechtsprechung","strafrecht","gerichten","rechtsprechung","senat","bundesjustizminister","oberverwaltungsgericht","verjährungsfristen","hauptverhandlung","ehegatten","staatsanwälte","fälle","strafe","gericht","bundesgerichtshof","gerichte","recht","reform","tieren","gericht","busse","reform","diemernicolaus","taten","gericht","richter","rechtsausschuss","schriften","gericht","verbrechensbekämpfung","vogel","eyrich","jahn","abtreibung","erhard","frau","vogel","lepsius","rechtsausschuss","besuchsüberwachung","zwangsernährung","kleinert","mordverjährung","vogel","verurteilten","paragraphen","straftaten","gewalt","recht","verjährungsfrist","lepsius","emmerlich","engelhard","eurocontrol","kulturellen","verbrechen","strafaussetzung","roma","rechtspolitik","roma","wiedergutmachung","journalisten","straftaten","urteil","umweltstrafrecht","wiedergutmachung","staatsanwälte","kinkel","verbrechen","opfer","stgb","with","opfer","geis","korruption","vergewaltigung","straftaten","straftaten","polizei","geis","kriminalität","ströbele","polizei","gewalt","täter","beck","stgb","röttgen","sicherungsverwahrung","stünker","nachträgliche","menschenhandel","täter","gehb","pressefreiheit","rechtsstaat","pressefreiheit","kauder","bundesverfassungsgerichts","ströbele","strafverfahren","löschen","schutz","fälle","rechtspolitik","straftaten","gewalt","abmahnungen","opfer","straftaten","täter","verbraucherschutz","prostituierten","stalking","einbrüche","maas","ärztinnen","strafrecht","strafbarkeit","strafe","missbrauch","strafrecht","schwangerschaftsabbrüche"
"10","fällen","verfahren","justiz","rechtsprechung","zulassung","todesstrafe","gerichte","strafe","strafverfahren","bundesarbeitsgericht","urteil","gericht","bundesgerichtshof","strafprozessordnung","entscheidung","richter","verfahren","diemernicolaus","rechtsmittel","grundsatzrevision","richter","gerechtigkeit","täter","zeitschriften","heinemann","bundesjustizminister","rechtsausschuss","polizei","busse","demonstration","bundesjustizminister","polizei","ehe","bayerl","diemernicolaus","schutz","strafrecht","strafgesetzbuches","schwangerschaft","gerichte","ehe","lenz","frauen","bundesjustizminister","richter","justizminister","hartmann","strafverfolgung","lenz","rechtsausschuss","rechtsausschuss","justiz","hansjochen","rechtsausschuss","jugoslawische","engelhard","volksgerichtshof","tatbestand","filme","künstlern","nationalsozialistischen","polizei","kleinert","kleinert","unrecht","vergewaltigung","strafrecht","gewalt","richter","ehe","with","strafrecht","organisierten","verjährung","strafe","heroin","meyer","bekämpfung","opfer","leutheusserschnarrenberger","schmidtjortzig","schmidtjortzig","drogen","organisierten","schmidtjortzig","täter","kriminalität","richter","däublergmelin","instanz","bekämpfung","strafe","ströbele","strafverfahren","kauder","richter","opfer","gewalt","alfred","strafverfolgung","bundesamt","sicherungsverwahrung","strafprozessordnung","onlinedurchsuchung","montag","gesetz","sperren","gesetzentwurf","strafe","sicherungsverwahrung","cannabis","funkzellenabfrage","justiz","richter","strafe","angeklagten","daten","gewalt","heiko","polizei","strafbar","ärzte","schwangerschaftsabbrüche","stgb","rauchen","kriminalität","strafbarkeit","sanktionsdurchsetzungsgesetz"
"11","rechtsprechung","fälle","gericht","beschlagnahme","schweigegebot","verfahren","rechtspfleger","zahl","effektiv","mangellage","arndt","rechtsprechung","strafverfolgung","jahn","zerrüttung","arndt","bundesgerichtshof","rechtsausschuss","senat","kanka","gerechtigkeit","güde","diemernicolaus","richter","gerichte","ehe","bundesjustizminister","heinemann","güde","bundesverfassungsgericht","juristen","gericht","strafe","fällen","haftgrund","besondere","entwurf","leben","ungeborenen","gericht","rechtsordnung","beratung","geschiedenen","gesetzgeber","verteidigung","trennscheibe","richter","verjährungsfrist","recht","mord","gericht","rechtsstaat","haft","strafbar","weissekragentäter","sachbeschädigung","volksgerichtshofs","schwalbach","bundesjustizminister","strafe","rechtspolitik","demonstration","versorgungsausgleich","strafverfahren","sinti","strafe","kleinert","sinti","vollmer","straftaten","singer","rechtsstaat","rehabilitierung","unrecht","verjährung","bekämpfung","geis","straftaten","verbrechen","rechtspolitik","strafverfahren","strafe","therapie","schmidtjortzig","bekämpfung","rechtsstaat","richter","strafgerichtshof","pofalla","gewalt","täter","van","missbrauch","täter","brigitte","straftäter","röttgen","strafprozessordnung","polizei","vorratsdatenspeicherung","opferschutz","onlinedurchsuchung","stünker","vater","internet","kronzeugenregelung","kinderpornografie","rechtspolitik","richter","menschenhandel","korruption","opfern","strafbarkeit","täter","sexuellen","gespeichert","opfer","sexuellen","strafrecht","meinungsfreiheit","volksverhetzung","jusos","werbung","straftaten","strafgesetzbuch","strafbar","rauchen","informationen"
"12","dehler","greve","urteil","bundesrechtsanwaltsordnung","senate","lotze","vorschrift","kommunistischen","akten","straftaten","oberlandesgericht","richtern","rechtsprechung","staatsanwaltschaft","justiz","angeklagten","entscheidung","mülleremmert","geltenden","gerichte","verfahren","gerichte","strafvollzug","gerichte","rechtsausschuss","diemernicolaus","mülleremmert","haftgrund","strafrechtsreform","reform","mord","hirsch","strafrechts","gerichte","gerichte","massnahmen","strafe","strafrechtsreform","entscheidung","lenz","recht","recht","gerichte","ehe","rechtsausschuss","verteidiger","rechtsausschuss","mörder","strafrechts","dienstag","täter","nürnberg","vogel","erhard","deutschem","kleinert","bundesgerichtshofs","gerichte","rechtspolitik","erhard","justizminister","anwaltschaft","verfolgung","engelhard","gewaltmonopol","de","zeugnisverweigerungsrecht","roma","strafvollzug","de","täter","de","strafrecht","geldwäsche","de","organisierten","verbrechen","magdeburg","heroin","herta","ehe","geis","korruption","beck","prävention","polizei","polizei","sachbeschädigung","verbrechen","strafverfahren","rechtspolitik","strafrecht","justiz","hartenbach","ströbele","zypries","überwachung","brigitte","straftatbestand","fälle","rechtsausschuss","zypries","rechtspolitik","montag","gehb","richter","leutheusserschnarrenberger","menschenrechte","videokonferenztechnik","richter","gewalt","strafrecht","substanzen","abgeordnetenbestechung","strafbarkeit","missbrauch","zigaretten","schutz","schutz","strafbar","schwangerschaftsabbrüche","angeklagten","rechtsstaates","lambrecht","kindesmissbrauch","sexuellen","strafe","täter"
"13","strafe","gericht","fälle","pressefreiheit","gerichte","gerichtsbarkeit","rechtsstaatlichen","staatsautorität","bewerber","anhängig","instanz","verwaltung","gerichte","gerichte","scheidung","bundessozialgerichts","gerichte","strafrecht","gesetzgeber","haftgrund","verfolgung","diemernicolaus","gesetzgeber","bundesjustizminister","zeitschriften","ehelichen","rechtsprechung","haft","bewährung","aufforderung","bestraft","bürger","jahn","mindeststrafe","bundesjustizminister","delikten","strafrechts","recht","kind","entscheidung","bad","entwurf","anwalt","lenz","hartmann","strafrecht","erhard","völkermord","strafrecht","mindestverbüssungsdauer","vogel","verhältnismässigkeit","täter","richter","schmude","versorgungsausgleich","rechtspolitik","strafrechtlichen","demonstration","freiheitsstrafe","volksgerichtshof","rechtsstaat","gewalt","verfolgten","gewaltfreien","with","material","gefangene","gericht","rechtsausschuss","strafe","rechtspfleger","täter","richter","gewalt","ddr","strafrecht","organisierten","leutheusserschnarrenberger","meyer","rechtsstaat","richter","ehe","strafrecht","meyer","staatsanwaltschaft","strafverfahren","stgb","beck","verfahren","inneren","essen","zypries","kauder","gericht","stünker","schutz","gericht","opfern","ströbele","stalking","strafverfolgung","koch","straftaten","gericht","täter","grossebrömer","gewalt","heveling","bundesverfassungsgericht","kronzeugenregelung","sexuellen","montag","daten","kinderpornografie","heiko","heiko","strafrecht","straftat","wohnungseinbrüche","strafgesetzbuch","werbung","stgb","hauptverhandlung","strafen","richter","darknet","vorratsdatenspeicherung"
"14","fall","entwurf","rechtsprechung","rechtsanwaltschaft","fällen","bundesrichter","soldaten","staatssicherheit","verfahren","wirtschaftsstrafgesetz","strack","berufung","mord","revision","böhm","rechtsprechung","böhm","angeklagten","gerichten","regierungsvorlage","urteil","jehovas","rechtsprechung","strafe","strafrecht","rechtsprechung","zeugen","aufklärungsquote","verbrechen","bürger","hirsch","bundesverfassungsgerichts","justiz","titel","jahn","justizminister","fristenlösung","strafvollzugs","schutz","fällen","leben","leben","verteidiger","strafrechts","gericht","lenz","generalbundesanwalt","schuld","strafrechtlichen","verfahren","stgb","bad","bad","straftaten","olderog","kontinuität","justizminister","kleinert","strafbar","duve","kleinert","demonstrationen","entschädigung","gericht","ziviler","rechtspolitik","gewalt","terroristen","ehe","rechtsstaat","rauschgiftbekämpfungsplan","with","strafe","bekämpfung","strafrecht","opfer","de","verbrechensbekämpfungsgesetz","rechtsstaat","strafverfolgung","strafverfolgung","verbrechen","verbrechen","schutz","gewalt","däublergmelin","rechtsstaat","gerichte","schutz","beck","ströbele","verbrechen","schutz","straftat","terrorismus","anordnung","siegfried","ströbele","straftaten","kauder","bundesverfassungsgericht","alfred","leutheusserschnarrenberger","straftat","gesetzentwurf","montag","rechtsstaat","lambrecht","stgb","onlinedurchsuchung","warnschussarrest","kronzeugenregelung","straftaten","strafbar","opfern","opfer","schutz","ausbeutung","strafbar","strafgesetzbuch","schutz","straftaten","strafgesetzbuch","netzdg","richter","taten","straftatbestand","straftaten"
"15","fälle","freiheitsentziehung","wegen","rechtspflege","arndt","bundesgerichtshof","tatbestand","strafen","richtern","rechtsausschusses","botschafter","bürger","bundesjustizminister","bundesgerichtshof","weber","sachen","gesetz","rechtsprechung","senats","bucher","gericht","rechtsprechung","strafgesetzbuch","tiere","gesetzgeber","hauser","staatsgeheimnis","gericht","tat","gewalttätigkeiten","erhard","ehe","bundesjustizminister","richters","reform","sachverständigenkommission","ungeborenen","einführungsgesetz","indikation","reform","gericht","ungeborenen","emmerlich","strafrecht","verteidigerüberwachung","gerichte","rechtspolitik","heute","verbrechen","schuld","streichung","strafvollzug","unrecht","olderog","recht","koalitionsvereinbarung","urteile","bekämpfung","justizminister","künstlerische","rechtsstaat","de","parkkralle","straftaten","with","bundesjustizminister","umweltstrafrecht","freiheitsstrafe","de","geldwäsche","strafbar","strafrechtlichen","ermittler","freigabe","kinderpornographie","strafverfolgung","gewalt","verjährung","nötigung","sabine","däublergmelin","beschleunigte","geis","edzard","verbrechen","schwere","gerichte","ströbele","gerichte","journalisten","polizei","volker","strafrecht","sexuellen","entwurf","freiheitsstrafe","stünker","graffiti","fingerabdruck","stalking","bonn","straftat","rechtsstaat","richter","berufung","bundesverfassungsgerichts","gewalt","internet","polizei","cannabis","straftatbestand","genitalverstümmelung","strafverfahren","schützen","generalbundesanwalt","gesetzentwurf","rauchen","straftaten","kriminalität","drogen","schwangerschaftsabbruch","geldstrafe","justiz","verteidigung","straftaten","vortat","justiz","immobilien"
"16","urteil","gerichten","strafe","rechtsausschuss","urteile","steuerhinterziehung","öffentlichkeit","vorschrift","gericht","bundesjustizminister","rechtspflege","gerichtsbarkeit","täter","notarordnung","rechtsausschusses","fällen","wittrock","strafverfahren","fällen","revision","rechtsprechung","jahn","kriminalität","tierschutzgesetz","geschieden","abs","gericht","täter","gerichte","stgb","straftaten","rechtspolitik","lenz","recht","vogel","strafgesetzbuches","abtreibung","frauen","arzt","strafverfahren","entscheidung","richter","kleinert","kleinert","recht","strafen","bundesanwaltschaft","taten","gerichte","schwere","aussetzung","schmude","jahre","urteile","staatsanwaltschaft","justizminister","bundesgerichtshof","unrecht","gewalttäter","maier","stgb","kultur","with","strafe","antrag","vermummung","vollstreckung","vollmer","engelhard","bundesjustizminister","drogen","richtern","sexuellen","rehabilitierung","geis","strafrecht","opfer","strafrecht","militärjustiz","bundesministerin","straftaten","kriminalität","polizei","verjährung","innere","justizreform","strafe","verfahren","polizei","bundesjustizministerin","volker","gericht","missbrauchs","entschädigung","straftat","gericht","brigitte","urteil","justiz","rechtsstaat","gehb","gehb","journalisten","grundrecht","täter","untersuchungshaft","montag","rechtsstaat","straftatbestand","montag","bundesverfassungsgericht","bundesverfassungsgericht","polizei","staatsanwaltschaften","kindern","speicherung","jugendliche","maas","strafgesetzbuch","kinderehen","meinungsfreiheit","schwangerschaftsabbrüche","arzt","polizei","gesetzentwurf","strafgesetzbuch","kronzeugenregelung","rechtspolitik"
"17","bestimmung","fällen","begangen","rechtsanwaltsordnung","verbrechen","strafen","fällen","rechtsausschusses","bundeswehr","rechtsmittel","staatsanwaltschaft","werber","verjährungsfrist","verteidiger","diemernicolaus","entscheidung","angefochten","kanka","rechtsausschuss","recht","recht","verbrechen","freiheitsstrafe","heinemann","bundesjustizminister","gesetzgeber","frau","hirsch","mülleremmert","strafe","vogel","arndt","vogel","fälle","erhard","strafrechtlichen","fristenregelung","strafrechtsreformgesetzes","kindes","recht","richter","reform","unterhalt","emmerlich","untersuchung","gefangenen","strafe","opfer","schöfberger","recht","bundesverfassungsgericht","lebenslangen","verhängt","polizei","rechtszersplitterung","fällen","bundesverfassungsgerichts","strafe","richtlinien","täter","urheber","freiheitsstrafe","zwangsarbeiter","verletzten","kleinert","opfern","stgb","strafgesetzbuches","täter","strafrecht","verfolgten","entschädigung","drogen","entschädigung","rechtsstaat","geldwäsche","vermögen","drogen","strafe","sexuellen","polizei","missbrauch","sexuelle","däublergmelin","schily","tat","täteropferausgleichs","bundesministerin","statut","gericht","verbrechen","schutz","kindern","strafprozess","opferschutz","stgb","lauschangriff","straftat","montag","bundesverfassungsgericht","jerzy","bonn","täter","heimlichen","strafprozessordnung","justiz","schutz","opfern","stadler","polizei","stgb","strafverfahren","methamphetamin","kriminalität","missbrauch","sexuellen","strafbarkeit","frauen","strafrechtlichen","prävention","schützen","pakt","strafbar","cybergrooming","flagge","strafen","ezigaretten","strafgesetzbuch"
"18","verbrechen","begangen","richters","bundesprüfstelle","amtszeit","reichsabgabenordnung","bestraft","bundessozialgericht","benda","obersten","bucher","verwaltungsgerichte","justizminister","rechtsprechung","schwarzhaupt","urteil","strafe","richtern","urteil","rechtsausschusses","mord","bundesjustizminister","entwurfs","verbrechen","ordnungswidrigkeiten","reform","strafverfahren","bundesverfassungsgerichts","schuld","täter","gerichte","bundesjustizminister","bürger","freiheitsstrafe","recht","strafverfolgung","schwangerschaft","gericht","reform","kind","überwachung","lebens","prozesses","schutz","untersuchungsverfahren","strafprozessordnung","gerichte","recht","beratungshilfe","strafaussetzung","ermittlungsverfahren","täter","praxis","freiheitsstrafe","täter","täter","gerichte","richter","strafe","unrecht","gewalt","opfer","bussgeldverfahren","kronzeugen","geissler","vollmer","strafverfolgung","demonstration","stiftung","nickels","straftaten","rechtsausschuss","rechtsstaatlichen","opfern","richter","verjährungsfrist","bekämpfung","organisierte","strafrecht","gewalt","edzard","verfahren","prävention","meyer","kriminalitätsbekämpfung","volker","staatsanwaltschaft","opfer","resozialisierung","ströbele","gewalt","kriminalität","sachbeschädigung","rechtspolitik","van","kronzeugenregelung","täter","polizei","kauder","daten","pau","ermittlungsmassnahmen","schutz","verfahren","nešković","stadler","strafrecht","ministerin","strafrecht","rechtsstaat","urteil","menschenhandel","korruption","schutz","strafgesetzbuch","unabhängigen","korruption","opfers","gesetzentwurf","tempel","polizei","gesetzentwurf","rechtssicherheit","rechtsausschuss","schutz","strafrecht","handelsplattformen","vermögen"
