"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beratung","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","drucksache","beratung","ausschuss","drucksache","ausschuss","beratung","drucksache","beratung","beratung","beratung","beratung","beratung","ausschuss","ausschuss","ausschuss","ausschuss","beratung","beratung","drucksache","drucksache","ausschuss","beratung","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","drucksache","meldeschein","krise","krise","krise","unternehmen"
"2","ausschuss","rufe","ausschuss","drucksache","ausschuss","drucksache","drucksache","beratung","beratung","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","rates","beratung","rates","rates","rates","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","drucksache","ausschuss","ausschuss","beratung","beratung","drucksache","ausschuss","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","ausschuss","ausschuss","beratung","beratung","beratung","ausschuss","ausschuss","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","fraktion","koalitionsfraktionen","beg","unternehmen","unternehmen","unternehmen","krise"
"3","nr","ausschuss","berichterstatter","ausschuss","drucksache","berichterstatter","ausschuss","berichterstatter","ausschuss","rufe","rufe","ausschuss","ausschuss","ausschuss","ausschusses","beratung","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","berichterstatter","drucksache","berichterstatter","drucksache","berichterstatter","berichterstatter","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","verordnung","berichterstatter","ausschuss","ausschuss","ausschuss","verordnung","comment","ewg","beratung","beratung","tagesordnung","beratung","beratung","tagesordnung","beratung","beratung","beratung","drucksache","drucksache","ausschuss","beratung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","beratung","drucksache","beratung","ausschuss","ausschuss","drucksache","beratung","beratung","beratung","beratung","drucksache","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beratung","wer","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","fraktionen","ausschuss","linke","fraktion","kurzarbeit","hilfen","branche","kurzarbeitergeld"
"4","gesetzes","gesetzes","gesetzes","berichterstatter","berichterstatter","ausschuss","rufe","punkt","tagesordnung","tagesordnung","enthaltungen","tagesordnung","eingebrachten","eingebrachten","enthaltungen","ausschuss","ausschuss","ausschuss","ausschuss","enthaltungen","ausschuss","enthaltungen","berichterstatter","ausschuss","ausschuss","ausschuss","tagesordnung","gegenprobe","enthaltungen","tagesordnung","berichterstatter","rates","berichterstatter","beratung","ausschuss","rates","berichterstatter","rates","ausschuss","berichterstatter","ewg","rates","ewg","verordnung","verordnung","entwurfs","comment","beratung","schreiben","tagesordnung","beratung","drucksachen","ältestenrates","drucksachen","aussprache","aussprache","aussprache","tagesordnung","aussprache","aussprache","tagesordnung","aussprache","aussprache","ausschuss","tagesordnung","fraktion","fraktion","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","tagesordnung","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","aussprache","aussprache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","aussprache","überweisungsvorschlag","aussprache","aussprache","aussprache","beschlussempfehlung","aussprache","beschlussempfehlung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","stimmt","stimmt","wer","wer","beratung","beratung","wer","abgeordneter","gesetzentwurf","ausschuss","ortskräfte","kurzarbeitergeld","kurzarbeitergeld","hilfen","pandemie"
"5","drucksachen","entwurfs","entwurfs","rufe","gesetzes","rufe","tagesordnung","tagesordnung","rufe","enthaltungen","handzeichen","punkt","punkt","entwurfs","punkt","tagesordnung","tagesordnung","tagesordnung","ausschusses","ausschuss","enthaltungen","ausschuss","enthaltungen","punkt","ausschusses","tagesordnung","ausschuss","enthaltungen","gegenprobe","ausschuss","gegenprobe","ausschuss","tagesordnung","verordnung","berichterstatter","ewg","rates","ewg","tagesordnung","rates","beratung","verordnung","comment","ewg","comment","berichts","entwurfs","überweisungsvorschlag","tagesordnung","eingebrachten","überweisungsvorschlag","tagesordnung","eingebrachten","tagesordnung","tagesordnung","gesetzes","drucksachen","aussprache","tagesordnung","tagesordnung","aussprache","beschlussempfehlung","tagesordnung","drucksachen","aussprache","aussprache","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","drucksachen","eingebrachten","aussprache","eingebrachten","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","drucksachen","aussprache","überweisungsvorschlag","überweisungsvorschlag","fraktion","überweisungsvorschlag","eingebrachten","drucksachen","überweisungsvorschlag","eingebrachten","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","aussprache","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","fraktion","fraktion","fraktion","fraktion","ausschuss","fraktion","fraktion","stimmt","stimmt","stimmt","stimmt","wer","beratung","ausschuss","stimmt","beratung","wer","wer","ausschuss","fraktion","stimmen","totalversagen","entlastungsvolumen","hilfen","pandemie","tourismus","gastronomie"
"6","berichterstatter","drucksache","drucksache","ausschusses","rufe","punkt","punkt","gesetzes","punkt","entwurfs","eingebrachten","enthaltungen","enthaltungen","punkt","bericht","punkt","eingebrachten","gewünscht","enthaltungen","tagesordnung","tagesordnung","bericht","punkt","ausschusses","enthaltungen","gegenprobe","enthaltungen","tagesordnung","tagesordnung","verordnung","ausschuss","verordnung","ausschuss","ausschuss","rates","nr","eingebrachten","beratung","eingebrachten","eingebrachten","verordnung","ewg","ausschuss","ausschuss","ausschuss","tagesordnung","überweisungsvorschlag","entwurfs","ältestenrates","drucksachen","ältestenrates","ältestenrat","überweisungsvorschlag","berichterstatter","beschlussempfehlung","entwurfs","entwurfs","überweisungsvorschlag","eingebrachten","ältestenrat","beschlussempfehlung","tagesordnung","beschlussempfehlung","berichterstatter","fraktion","tagesordnung","tagesordnung","überweisungsvorschlag","beschlussempfehlung","eingebrachten","drucksachen","überweisungsvorschlag","entwurfs","eingebrachten","drucksachen","eingebrachten","entwurfs","berichterstattung","antrags","aussprache","fraktion","aussprache","aussprache","überweisungsvorschlag","berichterstattung","federführendcomment","aussprache","überweisungsvorschlag","fcomment","aussprache","überweisungsvorschlag","eingebrachten","fcomment","fcomment","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","abgeordneten","abgeordneter","fcomment","fcomment","überweisungsvorschlag","abgeordneter","überweisungsvorschlag","stimmt","enthaltungen","überweisungsvorschlag","stimmt","fraktion","wer","wer","wer","ausschuss","beschlussempfehlung","beratung","beratung","stimmt","stimmt","stimmt","stimmt","sitzung","geschäftsordnung","taschenspielertrick","meldescheine","liquidität","kurzarbeit","kurzarbeitergeld","hilfen"
"7","punkt","berichterstatter","rufe","bericht","punkt","gesetzes","gesetzes","gewünscht","enthaltungen","punkt","tagesordnung","gewünscht","tagesordnung","tagesordnung","tagesordnung","gewünscht","punkt","punkt","tagesordnung","punkt","ausschusses","berichterstatter","beschlossen","eingebrachten","gegenprobe","ausschusses","ausschusses","ausschuss","ausschuss","rates","tagesordnung","berichterstatter","gegenprobe","ewg","verordnung","ausschuss","entwurfs","überwiesen","entwurfs","tagesordnung","berichterstatter","berichterstatter","berichts","berichts","berichts","überweisungsvorschlag","eingebrachten","ältestenrates","eingebrachten","berichterstatter","haushaltsausschuss","unterrichtung","gesetzes","beschlussempfehlung","ältestenrat","eingebrachten","eingebrachten","ältestenrat","ältestenrat","überweisungsvorschlag","eingebrachten","fraktion","fraktion","tagesordnung","antrags","überweisungsvorschlag","entwurfs","aussprache","aussprache","fraktion","fraktion","beschlussempfehlung","gesetzes","drucksachen","eingebrachten","entwurfs","drucksachen","eingebrachten","drucksachen","eingebrachten","aussprache","überweisungsvorschlag","drucksachen","entwurfs","eingebrachten","eingebrachten","entwurfs","abgeordneten","eingebrachten","fcomment","abgeordneter","abgeordneter","abgeordneten","abgeordneten","entwurfs","abgeordneten","abgeordneten","fcomment","weiterer","tagesordnungspunkt","fraktion","abgeordneter","überweisungsvorschlag","abgeordneter","überweisungsvorschlag","stimmt","stimmt","enthaltungen","wer","fraktion","fraktion","fraktion","enthaltungen","aussprache","fraktion","fraktion","fraktion","fraktion","fraktion","fraktion","drucksache","angenommen","darauf","preussen","coronakrise","überbrückungshilfen","pandemie","verlängerung"
"8","rufe","aussprache","ausschusses","punkt","ausschusses","tagesordnung","gewünscht","ausschusses","gegenprobe","bitte","gesetzes","eingebrachten","rufe","enthaltungen","berichterstatter","berichterstatter","ausschusses","enthaltungen","rufe","gewünscht","gewünscht","ausschusses","gegenprobe","entwurfs","tagesordnung","enthaltungen","gegenprobe","punkt","handzeichen","punkt","enthaltungen","tagesordnung","eingebrachten","berichterstatter","tagesordnung","berichts","tagesordnung","berichterstatter","drucksachen","verordnung","berichts","tagesordnung","überwiesen","überwiesen","überwiesen","berichterstatter","ältestenrates","eingebrachten","überweisungsvorschlag","comment","ältestenrat","ausschusses","entwurfs","gewünscht","drucksachen","tagesordnung","tagesordnung","ältestenrates","entwurfs","eingebrachten","entwurfs","ältestenrat","drucksachen","fraktion","geschäftsordnung","antrags","aussprache","tagesordnung","tagesordnung","entwurfs","berichterstatter","drucksachen","aussprache","entwurfs","entwurfs","aussprache","überweisungsvorschlag","tagesordnungspunkt","beschlussempfehlung","entwurfs","drucksachen","drucksachen","fraktion","fraktion","ausschusscomment","fraktion","tagesordnungspunkt","tagesordnungspunkt","beschlussempfehlung","abgeordneter","entwurfs","entwurfs","überweisung","beschlussempfehlung","eingebrachten","fcomment","fcomment","überweisungsvorschlag","aussprache","überweisung","aussprache","abgeordneten","fcomment","stimmt","wer","wer","wer","überweisungsvorschlag","enthaltungen","enthaltungen","tagesordnungspunkt","enthaltungen","fraktion","fraktion","stimmen","aussprache","aussprache","aussprache","überweisungsvorschlag","gesetzentwurf","stimmen","grünen","fraktion","dänemark","helfen","überbrückungshilfe","kurzarbeit","kurzarbeit"
"9","ausschusses","punkt","punkt","gesetzes","einstimmig","entwurfs","berichterstatter","ausschuss","gesetzes","gesetzes","punkt","gegenprobe","berichterstatter","gegenprobe","eingebrachten","eingebrachten","berichterstatter","rufe","gewünscht","ausschusses","berichterstatter","entwurfs","tagesordnung","tagesordnung","drucksachen","punkt","rufe","entwurfs","eingebrachten","entwurfs","eingebrachten","überwiesen","gesetzes","tagesordnung","eingebrachten","überwiesen","verordnung","berichts","ausschusses","ewg","überwiesen","berichts","beschlussfassung","beratung","beschlussfassung","beschlussempfehlung","tagesordnung","berichterstatter","drucksachen","überweisungsvorschlag","aussprache","einverstanden","tagesordnung","aussprache","einverstanden","überweisungsvorschlag","beschlussempfehlung","eingebrachten","überweisungsvorschlag","entwurfs","ältestenrat","eingebrachten","überweisungsvorschlag","aussprache","überweisungsvorschlag","ältestenrat","eingebrachten","drucksachen","drucksachen","überweisungsvorschlag","gesetzes","antrags","beschlussempfehlung","fraktion","tagesordnungspunkt","gesetzes","tagesordnungspunkt","ausschusses","eingebrachten","gesetzes","antrags","eingebrachten","eingebrachten","gesetzes","entwurfs","beschlussempfehlung","federführendcomment","fraktion","überweisung","abgeordneten","aussprache","fraktion","tagesordnungspunkt","eingebrachten","fcomment","abgeordneter","entwurfs","abgeordneter","fraktion","abgeordneten","abgeordneter","enthaltungen","abgeordneten","abgeordneten","enthaltungen","angenommen","fcomment","wer","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","abgeordneter","angenommen","tagesordnungspunkt","dagegen","überweisungsvorschlag","stimmen","stimmen","dagegen","angenommen","dagegen","dagegen","recht","meldeverfahren","massnahmen","november","helfen","einzelhandel"
"10","tagesordnung","ausschusses","tagesordnung","tagesordnung","entwurfs","bericht","gegenprobe","entwurfs","entwurfs","gewünscht","ausschuss","rufe","entwurfs","gewünscht","ausschuss","enthaltungen","entwurfs","ausschusses","punkt","berichterstatter","entwurfs","gegenprobe","handzeichen","rufe","verordnung","eingebrachten","punkt","eingebrachten","gewünscht","eingebrachten","entwurfs","eingebrachten","entwurfs","berichts","rufe","schreiben","gesetzes","beschlussfassung","rates","entwurfs","tagesordnung","eingebrachten","beratung","rat","endgültigen","ältestenrates","berichterstatter","ältestenrat","entwurfs","entwurfs","beschlossen","verordnung","aussprache","einverstanden","ausschusses","ältestenrates","berichterstatter","gesetzes","ältestenrates","ältestenrates","berichterstatter","berichterstatter","entwurfs","ausschusses","beschlossen","beschlussempfehlung","beschlussempfehlung","ältestenrat","ausschusses","berichterstatter","entwurfs","tagesordnungspunkt","tagesordnungspunkt","aussprache","berichterstattung","drucksachen","berichterstattung","entwurfs","entwurfs","antrags","eingebrachten","entwurfs","berichterstattung","aussprache","fraktion","entwurfs","gesetzes","fcomment","abgeordneten","überweisung","abgeordneten","überweisungsvorschlag","entwurfs","abgeordneter","tagesordnungspunkt","entwurfs","eingebrachten","überweisung","berichterstattung","eingebrachten","tagesordnungspunkt","fcomment","enthaltungen","enthaltungen","fcomment","bündnis","aussprache","angenommen","abgeordneten","aussprache","enthaltungen","abgeordneten","dagegen","überweisungsvorschlag","aussprache","stimmen","enthält","tagesordnungspunkt","aussprache","dagegen","antrag","stimmt","gesetzentwurf","erjahren","reisebüros","helfen","reisen","verlängern"
"11","aussprache","einleitung","aussprache","entwurfs","gegenprobe","ausschusses","aussprache","bericht","handzeichen","gegenprobe","ausschusses","überweisung","gesetzes","rufe","gewünscht","ausschusses","gegenprobe","berichterstatter","beschlossen","gegenprobe","gegenprobe","eingebrachten","ausschusses","wer","berichts","gesetzes","eingebrachten","ausschusses","punkt","berichterstatter","gesetzes","gesetzes","enthaltungen","eingebrachten","berichts","änderung","berichts","änderung","verordnung","ausschusses","änderung","entwurfs","endgültigen","tagesordnung","rechtzeitige","eingebrachten","änderung","haushaltsausschuss","gemäss","schreiben","einverstanden","berichterstatter","berichterstatter","ausschusses","eingebrachten","einverstanden","gesetzes","geschäftsordnung","beschlossen","beschlussempfehlung","überweisungsvorschlag","entwurfs","ältestenrat","entwurfs","überweisung","ältestenrates","ältestenrat","antrags","ältestenrates","gesetzes","tagesordnung","widerspruch","tagesordnung","tagesordnungspunkt","gesetzes","tagesordnungspunkt","aussprache","gesetzes","fraktion","drucksachen","entwurfs","antrags","abgeordneten","drucksachen","gesetzes","tagesordnungspunkt","überweisung","eingebrachten","tagesordnungspunkt","eingebrachten","tagesordnungspunkt","gesetzes","beschlossen","entwurfs","abgeordneten","eingebrachten","abgeordneter","weiterer","entwurfs","antrags","eingebrachten","aussprache","tagesordnungspunkt","aussprache","tagesordnungspunkt","gegenstimmen","tagesordnungspunkt","fcomment","angenommen","angenommen","abgeordneten","angenommen","empfiehlt","stimmen","enthält","tagesordnungspunkt","tagesordnungspunkt","enthält","angenommen","enthält","ausschüsse","tagesordnungspunkt","platz","schönen","corona","gastronomie","fonds","tourismus"
"12","gesetz","gegenprobe","bericht","aussprache","enthaltungen","gewünscht","entwurfs","gegenprobe","beschlossen","handzeichen","entwurfs","entwurfs","gewünscht","gesetzes","gegenprobe","gegenprobe","gesetzes","eingebrachten","berichterstatter","rufe","eingebrachten","punkt","eingebrachten","drucksachen","handzeichen","entwurfs","entwurfs","gewünscht","entwurfs","überwiesen","betr","gegenprobe","ausschusses","betr","gesetzes","endgültigen","ewg","tagesordnung","gesetzes","änderung","beschlussfassung","ausschusses","rat","beschlussfassung","rat","drucksachen","federführend","federführend","berichterstatter","haushaltsausschuss","haus","berichts","haushaltsausschuss","beschlossen","berichterstatter","ältestenrat","ältestenrat","entwurfs","gesetzes","gesetzes","fraktion","überweisungsvorschlag","eingebrachten","tagesordnungspunkt","eröffne","entwurfs","gesetzes","ältestenrates","berichterstatter","aussprache","tagesordnungspunkt","entwurfs","drucksachen","antrags","aussprache","berichterstattung","gesetzes","abgeordneter","federführendcomment","fraktion","berichterstattung","berichterstattung","federführendcomment","berichterstattung","abgeordneter","abgeordneten","beschlussempfehlung","überweisung","entwurfs","fraktion","fcomment","weiterer","rufe","überweisung","gesetzes","überweisung","tagesordnungspunkt","tagesordnungspunkt","ausschusscomment","entwurfs","antrags","stimmt","aussprache","fcomment","bündnis","empfiehlt","abgeordneten","abgeordneten","abgeordneter","tagesordnungspunkt","abgeordneter","dagegen","abgeordneter","dagegen","tagesordnungspunkt","dagegen","überweisungsvorschlag","angenommen","eingebrachten","stimmen","entschliessungsanträge","beschlussempfehlung","mond","alpen","branche","iii","hilfe","verlängert"
"13","drucksache","tagesordnung","einleitung","gewünscht","aussprache","aussprache","bitte","rufe","gewünscht","überweisung","gegenprobe","ausschusses","gegenprobe","beschlossen","rufe","überweisung","bericht","gegenprobe","eingebrachten","handzeichen","punkt","tagesordnung","rufe","enthaltungen","eingebrachten","mittelstandsfragen","drucksachen","rufe","rufe","gesetzes","rufe","betr","rufe","überwiesen","überwiesen","beschlussfassung","ausschusses","rat","antrags","drucksachen","entwurfs","änderung","vorlage","endgültigen","beratung","verordnung","gesetzes","comment","gesetzes","beschlussempfehlung","sehe","beschlossen","ältestenrat","ältestenrat","widerspruch","haushaltsausschuss","ausschusses","beschlossen","beschlussempfehlung","beschlossen","gesetzes","tagesordnungspunkt","tagesordnungspunkt","eingebrachten","entwurfs","eingebrachten","ältestenrates","berichterstatter","eingebrachten","tagesordnung","überweisungsvorschlag","fraktion","fraktion","tagesordnung","fraktion","fraktion","abgeordneten","abgeordneten","abgeordneten","federführendcomment","abgeordneten","federführendcomment","ausschusses","ausschusscomment","ausschusses","gesetzes","fraktion","entwurfs","abgeordneter","entwurfs","gesetzes","ausschusses","gesetzes","weiterer","überweisung","tagesordnungspunkt","gesetzes","entwurfs","überweisungsvorschlag","fraktion","abgeordneten","weiterer","stimmt","wer","angenommen","abgeordneten","abgeordneter","tagesordnungspunkt","tagesordnungspunkt","abgeordneter","angenommen","stimmen","abgeordneten","angenommen","bündnis","enthält","dagegen","dagegen","gesetzentwurf","empfiehlt","gesetzentwurf","linke","tagesordnungspunkt","trauriger","gastronomie","soloselbstständigen","betroffenen","branche"
"14","bitte","enthaltungen","überschrift","einstimmig","tagesordnung","gegenprobe","enthaltungen","schriftlicher","aussprache","eingebrachten","berichterstatter","aussprache","ausschusses","überweisung","dritte","rufe","gewünscht","wort","wünscht","eingebrachten","drucksachen","rufe","berichts","gegenprobe","rufe","gewünscht","handzeichen","wer","gesetzes","betr","handzeichen","berichts","punkt","änderung","entwurfs","rechtzeitig","überwiesen","eingebrachten","rufe","betr","drucksachen","gesetzes","betr","nr","vorlage","ausschusses","haushaltsausschuss","mitberatend","comment","gemäss","überweisen","rates","einverstanden","spaniens","beschlossen","haus","tagesordnungspunkt","widerspruch","drucksachen","gewünscht","beschlossen","gesetzes","gesetzes","gesetzes","ältestenrat","berichterstatter","tagesordnungspunkt","entwurfs","entwurfs","tagesordnungspunkt","ausschusscomment","beschlossen","überweisung","gesetzes","tagesordnung","tagesordnung","erste","fraktion","gesetzes","tagesordnungspunkt","federführendcomment","gesetzes","antrags","federführendcomment","tagesordnungspunkt","antrags","abgeordneten","abgeordneter","gesetzes","antrags","ausschusscomment","aussprache","interfraktionell","gesetzes","abgeordneter","fraktion","rufe","antrags","fcomment","abgeordneter","sammelübersicht","bündnisses","angenommen","tagesordnungspunkt","abgeordneter","abgeordneter","angenommen","aussprache","aussprache","stimmen","aussprache","aussprache","bündnis","abgeordneten","angenommen","angenommen","angenommen","überweisungsvorschlag","tagesordnungspunkt","bündnis","linke","bündnis","nürnberger","sicherheitsrisiko","paket","wirtschaftshilfen","tourismusbranche","massnahmen"
"15","gegenprobe","bitte","zweite","eröffne","einleitung","enthaltungen","beschlossen","einleitung","berichterstatter","ausschuss","gewünscht","bitte","aussprache","berichterstatter","gesetzes","handzeichen","überweisung","beschlossen","wort","beschlossen","wünscht","änderung","wer","bericht","bericht","rufe","gewünscht","gesetzes","wer","gegenprobe","beschlossen","nr","verordnung","nr","änderung","festsetzung","rufe","endgültigen","überweisungsvorschlag","gesetzes","eingebrachten","drucksachen","berichterstatter","europäischen","änderung","rates","beschlussempfehlung","gesetzes","änderung","ausschusses","eingebrachten","widerspruch","drucksachen","haus","entwurfs","beschlussempfehlung","überweisungsvorschlag","antrags","widerspruch","berichterstatter","rufe","beschlossen","berichterstatter","berichts","rufe","eröffne","federführendcomment","tagesordnungspunkt","ältestenrat","ausschusses","ausschusses","eingebrachten","interfraktionell","berichterstattung","ausschusses","abgeordneten","rechtsausschuss","berichts","tagesordnungspunkt","berichterstattung","abgeordneter","tagesordnungspunkt","entwurfs","tagesordnungspunkt","berichts","rechtsausschuss","berichterstattung","gesetzes","fraktion","tagesordnungspunkt","fraktion","ausschusscomment","eingebrachten","fraktion","rufe","ausschusscomment","überweisung","fraktion","antrags","ausschüsse","weiterer","gegenstimmen","weiterer","angenommen","abgeordneten","gesetzentwurf","enthaltungen","abgeordneter","fcomment","dagegen","dagegen","tagesordnungspunkt","weiterer","bündnis","grünen","überweisung","bündnis","bündnis","enthält","tagesordnungspunkt","tagesordnungspunkt","enthält","forderungskatalog","expertenanhörung","schnell","ausgezahlt","urlaub","wirtschaftsstabilisierungsfonds"
"16","entwurfs","überschrift","dritte","berichts","bericht","handzeichen","ausschusses","wort","überweisung","bericht","wünscht","beschlossen","überweisung","ausschusses","entwurfs","beschlossen","aussprache","überweisung","gegenprobe","wort","bericht","gewünscht","wahleinspruch","berichts","wer","bericht","gesetzes","einstimmig","einstimmig","rufe","punkt","ewg","betr","gesetzes","gegenprobe","vorlage","beschlossen","entwurfs","änderung","ältestenrates","ausschusses","ältestenrates","rechtzeitig","änderung","berichterstatter","europäischen","gemäss","beschlussempfehlung","haushaltsausschuss","gesetzes","rufe","sehe","beschlussempfehlung","berichts","gewünscht","berichterstatter","bericht","fraktion","berichterstatter","fraktion","ausschusses","drucksachen","beschlossen","bericht","tagesordnungspunkt","beschlossen","beschlossen","ausschusses","tagesordnungspunkt","ausschusscomment","aussprache","ältestenrat","federführend","federführendcomment","antrags","erste","fraktion","überweisungsvorschlag","überweisung","überweisung","gesetzes","abgeordneten","abgeordneter","abgeordneten","abgeordneten","überweisung","ausschusscomment","sammelübersicht","aufgeführten","gesetzes","überweisung","berichterstattung","fraktion","rechtsausschuss","rechtsausschuss","weiterer","antrags","eingebrachten","eingebrachten","beschlussempfehlung","überweisung","tagesordnungspunkt","überweisung","weiterer","grünen","grünen","sammelübersicht","gegenstimmen","weiterer","fcomment","fcomment","empfiehlt","grünen","überweisung","gesetzentwurf","bündnis","gesetzentwurf","eingebrachten","bündnis","grünen","stimmt","drucksache","mildern","wissenschaftlicher","verbraucher","massnahmen","reiseveranstalter","betriebe"
