"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundesverfassungsgericht","verfassung","grundgesetzes","grundgesetz","bundesverfassungsgericht","bundesverfassungsgericht","art","wehrbeauftragten","volksbefragung","volksbefragung","grundgesetz","grundgesetz","parteien","grundgesetzes","grundgesetzes","verfassung","grundgesetzes","notstand","grundgesetzes","presse","presse","äusseren","grundgesetzes","grundgesetzes","dorn","griechenland","art","verfassung","parlament","benda","innern","benda","genscher","genscher","bundesgrenzschutz","genscher","genscher","genscher","genscher","polizei","terroristen","dienst","terrorismus","terrorismus","terrorismus","terrorismus","terrorismus","sicherheitsbehörden","baum","polizei","dregger","asylbewerber","demonstrationen","ausländer","ausländer","bundesinnenminister","ausländern","türkei","türkei","türkei","gefangenen","volkszählung","polizei","terrorismus","volkszählung","polizei","polizei","polizei","polizei","ausländer","hafenstrasse","köppe","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","ausländer","ausländer","ausländer","ausländer","staatsangehörigkeit","ausländer","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","marschewski","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","schäuble","sicherheit","integration","integration","integration","daten","daten","daten","integration","flüchtlinge","migranten","datenschutz","datenschutz","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","familiennachzug","migration","menschen","flüchtlinge","grenze","griechenland","menschen","menschen"
"2","grundgesetz","grundgesetz","grundgesetz","bundesverfassungsgericht","bundesverfassungsgerichts","wahl","verfassung","wehrbeauftragte","verfassung","grundgesetz","demokratie","grundgesetzes","grundgesetzes","art","grundgesetz","grundgesetzes","verfassung","grundgesetzes","grundgesetz","zeugnisverweigerungsrecht","rechnungsprüfung","rechtsausschuss","presse","verfassungsänderung","alliierten","griechischen","dorn","grundgesetz","benda","parlamentarischen","genscher","verbrechensbekämpfung","bundeskriminalamt","innern","sicherheit","mandel","dkp","innern","schäfer","dienst","terrorismus","maihofer","bekämpfung","terroristen","terroristen","terroristen","verfassungsschutz","polizei","bundesinnenminister","therapie","therapie","polizei","asylbewerber","integration","asylbewerber","hirsch","bundesamt","auslieferung","chile","datenschutz","zwangsernährung","polizei","daten","polizei","gewalt","datenschutz","datenschutz","ausländer","ausländer","verfassungsschutz","hamburger","unterlagen","akten","schengener","asylrecht","ausländer","ausländer","ausländern","ausländer","kanther","sonntagwolgast","kanther","flüchtlinge","ausländer","kanther","integration","zuwanderung","asyl","npd","integration","schily","sicherheit","schily","zuwanderungsgesetz","sicherheit","bundesinnenminister","sicherheit","sicherheitsbehörden","integration","integration","terrorismus","schäuble","bundespolizei","datenschutz","datenschutz","datenschutz","datenschutz","daten","zuwanderung","staatsangehörigkeit","daten","flüchtlinge","deutschland","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","zuwanderung","menschen","flüchtlinge","flüchtlinge","migration","integration","griechischen","migration","geflüchteten"
"3","grundgesetzes","bundesverfassungsgericht","art","apotheken","grundgesetz","richter","wahl","verfassung","grundgesetz","verfassung","grundgesetzes","verfassung","grundgesetz","grundgesetz","bundesverfassungsgericht","grundgesetz","grundgesetz","gewerkschaften","verfassung","grundgesetzes","grundgesetzes","schäfer","zeugnisverweigerungsrecht","jahn","parlamentarischen","dorn","verfassung","art","zivilverteidigung","genscher","benda","polizei","verbrechensbekämpfung","polizei","polizei","polizei","innern","länder","ministerpräsident","terroristen","polizei","verfassungstreue","terroristischen","maihofer","bekämpfung","schleyer","dregger","baum","bgs","bundesgrenzschutz","polizei","therapie","polizei","ausländern","asylverfahren","asylrechts","ausländer","türkischen","polizei","personalausweis","volkszählung","datenschutz","bürger","flüchtlinge","bürger","zimmermann","zimmermann","zimmermann","staatsangehörigkeit","ausländern","juden","akten","asylbewerber","asylrecht","flüchtlinge","asylrecht","asylbewerber","staatsangehörigkeit","abschiebung","innenminister","staatsangehörigkeit","flüchtlinge","marschewski","staatsbürgerschaft","aussiedler","schily","flüchtlinge","ausländer","zuwanderung","zuwanderung","bundesinnenminister","vereinigungen","bosbach","ausländer","bundesinnenminister","schily","integration","datenschutz","schily","sicherheit","antiterrordatei","flüchtlinge","schäuble","daten","schäuble","waffen","abkommen","datenschutz","daten","daten","deutschland","residenzpflicht","flüchtlinge","flüchtlingen","menschen","menschen","integration","menschen","menschen","menschen","flüchtlinge","pakt","migration","migranten","griechenland","migranten","asyl","ukraine"
"4","art","art","urteil","grundgesetzes","grundgesetzes","grundgesetzes","grundgesetz","mehrheit","demokratie","bundesverfassungsgericht","verfassung","schröder","art","urteil","verfassung","art","art","art","art","journalisten","wochenschau","grundgesetzes","benda","staatsvertrag","bundesinnenminister","benda","busse","dorn","parlaments","bundesverfassungsgericht","dorn","genscher","innern","innenminister","bundesgrenzschutzes","sicherheit","sicherheit","kpd","innern","maihofer","vereinigungen","dkp","vereinigung","verfassungsschutz","rechtsstaat","bekämpfung","polizei","bundesinnenminister","spranger","bundesinnenminister","spranger","ausländer","demonstration","ausländischen","asylrecht","ausländer","zirndorf","altun","menschenrechte","ausländer","datenschutz","daten","datenschutz","terroristen","daten","volkszählung","ausländer","innern","gewalt","schäuble","gerster","gerster","aufarbeitung","polizei","asyl","asyl","innenminister","polizei","staatsangehörigkeit","flüchtlinge","flüchtlinge","innenminister","integration","kanther","land","staatsbürgerschaft","ausländer","card","marschewski","flüchtlinge","sicherheit","schily","sicherheit","integration","zuwanderungsgesetz","zuwanderung","bundesinnenminister","terrorismus","bundesinnenminister","winkler","datei","winkler","sicherheit","schäuble","integration","sicherheit","integration","bundespolizei","deutschland","integration","zuwanderung","daten","daten","staatsangehörigkeit","asylbewerber","deutschland","flüchtlingen","flüchtlingen","flüchtlingen","deutschland","migration","migranten","integration","menschen","menschen","menschen","migranten","flüchtlinge"
"5","bundestag","grundgesetzes","kehl","art","verfassung","mehrheit","grundgesetzes","wahl","volksbefragungen","metzger","parlamentarischen","art","spenden","heinemann","art","parteien","normen","verfassung","ordnung","pressefreiheit","pressefreiheit","art","notstandsverfassung","grundgesetz","vorbehaltsrechte","verfassung","parlament","grundgesetzes","grundgesetz","staatssekretäre","parlament","bundeskriminalamt","polizei","gewaltverbrechen","genscher","ländern","bund","schäfer","hessen","bewerber","kriminellen","grundordnung","vogel","traube","terroristischen","sicherheit","terroristen","sicherheit","bundesgrenzschutzes","asylbewerber","verfassungsschutz","baum","demonstranten","türken","einbürgerung","integration","ausländerpolitik","volkszählung","ausländer","ausweis","hungerstreik","verfassungsschutz","sicherheit","asyl","gesetze","polizeibeamten","datenschutzbeauftragten","gerster","schengener","gerster","such","aufarbeitung","stasi","asylverfahren","ausländer","staatsangehörigkeit","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","schmalzjacobsen","schmalzjacobsen","sonntagwolgast","staatsangehörigkeit","flüchtlinge","zuwanderung","ausländer","bundesinnenminister","marschewski","innenminister","deutschland","marschewski","beckstein","zuwanderungsgesetz","staatsangehörigkeit","umzug","innenminister","zuwanderungsgesetz","informationen","innenminister","polizei","sicherheitsbehörden","migration","bundesinnenminister","terrorismus","sis","integration","swiftabkommen","staatsangehörigkeit","flüchtlingen","deutschland","integration","waffen","staatsangehörigkeit","optionspflicht","deutschland","asylbewerber","deutschland","herkunftsstaaten","land","familiennachzug","bamf","menschen","asylbewerber","staatsangehörigkeit","flüchtlinge","moria","deutschland","registrierung"
"6","verfassung","bundesverfassungsgerichts","verfassung","apotheke","art","bundesverfassungsgerichts","arndt","grundgesetzes","volksbegehren","grundgesetzes","art","bundesverfassungsgericht","verfassung","verfassung","arndt","bundesinnenminister","ordnung","grundgesetz","herbeizuführen","art","neumann","vorbehaltsrechte","gefahr","notstandsverfassung","notstandsverfassung","griechische","benda","innenminister","gesetze","innern","abteilung","sofortprogramm","bund","bundeskriminalamt","innern","innern","schäfer","polizei","osswald","öffentlichen","inneren","bewerber","terroristen","polizei","schleyer","bundeskriminalamt","sicherheit","innenminister","innern","verfassungsschutzbericht","bundesinnenminister","bundesinnenminister","dregger","ausländerpolitik","ausländern","innenpolitik","kinder","bundesinnenminister","türkischen","türkischen","terroristen","hirsch","hirsch","innenminister","hirsch","gewalt","baumann","hirsch","ausländern","innern","hirsch","verfassungsschutz","gerster","flüchtlinge","asylrechts","flüchtlinge","abschiebung","ausländerbeauftragten","innenminister","sonntagwolgast","kanther","schmalzjacobsen","innenminister","rassismus","spätaussiedler","doppelte","innenminister","deutschland","extremismus","rechtsextremismus","integration","integration","integration","schily","innenminister","flughafen","terrorismus","strobl","stadler","innenminister","schäuble","migranten","waffen","zuwanderung","sicherheit","thw","elena","migranten","zwangsheirat","datenschutz","waffen","stiftung","aufenthaltsgesetz","deutschland","staatsangehörigkeit","mittelmeer","migration","einstufung","staatsbürgerschaft","migration","land","bamf","asyl","deutschland","migranten","deutschland","ausländerzentralregister","geflüchtete"
"7","bundesregierung","entscheidung","supreme","bundesverfassungsgerichts","volksentscheid","art","bundesverfassungsgericht","zweidrittelmehrheit","grundgesetzes","volk","wahl","rechtsausschuss","parteiengesetz","bundesverfassungsgericht","verfassungsrechtliche","parlamentarische","bundesrat","notstandes","parlament","beschlagnahme","art","notstand","beugehaft","art","benda","demokratischen","abs","benda","grundgesetzes","grundgesetzes","grundgesetzes","kriminalpolizei","dorn","schaulustige","inneren","bundesgrenzschutz","länder","ministerpräsidenten","bundesinnenminister","innenminister","vereinigung","öffentlichen","vereinigungen","bekämpfung","martin","höcherl","generalbundesanwalt","inneren","therapie","baum","baum","beschleunigung","bundesamt","baum","ausländerfeindlichkeit","ausländerpolitik","ausländischen","zimmermann","demonstranten","hirsch","folter","ausländer","zevis","asylbewerber","rechtsstaat","datenschutzbeauftragten","ausländern","innenminister","einbürgerung","datenschutz","polizei","stasi","ausländer","asyl","politisch","schengener","polizei","schmalzjacobsen","innern","asylbewerber","ausländern","zurückkehren","özdemir","integration","flüchtlinge","zuwanderung","integration","rüttgers","gewalt","ausländischer","innenminister","uhl","strobl","richtlinie","kaplan","integration","sicherheitsbehörden","bundesinnenminister","koschyk","innern","integration","innenminister","daten","integrationspolitik","bka","stokar","flüchtlinge","elena","datenschutz","flüchtlinge","waffenregister","asylbewerberleistungsgesetz","datenschutz","migration","optionspflicht","asyl","asyl","land","deutschland","einwanderungsgesetz","zuwanderung","familiennachzug","einwanderung","personen","griechischen","flüchtlinge","flüchtlinge","migration"
"8","bundesverfassungsgerichts","recht","court","verfassung","mehrheit","verfassung","verfassungsrechtlichen","grundgesetz","barzel","demokratie","bundespräsident","gestrüpp","partei","arndt","verfassungsrechtlichen","befugnisse","verfassungsrechtlichen","presse","verbunden","zeugnisverweigerungsrechts","postordnung","benda","art","verfassung","grundgesetzes","innern","alliierten","parlament","bvs","verfassung","innenministerium","innern","grundgesetz","innenministerkonferenz","länder","grundordnung","partei","innenminister","polizei","partei","vogel","mitgliedschaft","sicherheit","rechtsstaat","polizei","polizei","baum","bund","bundesgrenzschutz","bundesgrenzschutzes","terrorismus","rechts","asylrecht","asylbewerber","schöfberger","polizei","innenpolitik","türkische","volkszählung","kurden","konvention","ströbele","terrorismus","ströbele","schmidtbott","terrorismus","daten","datenschutz","polizeibeamten","polizei","informationen","polizei","polizei","zuwanderung","zuwanderung","zuwanderung","ausländerinnen","innenminister","schengener","einbürgerung","aussiedler","ausländern","staatsbürgerschaft","sonntagwolgast","einwanderungsland","staatsangehörigkeitsrecht","asyl","green","bundesinnenminister","gewalt","ausländer","terrorismus","innern","deutschland","bundesgrenzschutz","terrorismus","koschyk","informationsfreiheitsgesetz","informationsfreiheitsgesetz","fussballweltmeisterschaft","daten","pass","stokar","migranten","zuwanderung","abkommen","sicherheit","demail","asylbewerber","integrationskurse","datenschutzes","asylbewerber","wolff","frontex","migration","zuwanderung","asylverfahren","sicheren","migration","afghanistan","integration","deutschland","staatsangehörigkeit","heimat","grenzen","migration","staatsbürgerschaft","integration"
"9","recht","parlamentarischen","obersten","apotheker","wahl","grundgesetz","bestimmung","rechtsausschusses","volksentscheid","innenminister","bundesverfassungsgericht","wittrock","rechenschaftslegung","bundesinnenminister","rückwirkung","urteil","bedenken","regelung","presse","freiheit","lebensmittelkennzeichnungsverordnung","gefahr","geburtsdatum","schmittvockenhausen","notstandsgesetzgebung","grundgesetzes","gesetze","busse","schmittvockenhausen","katastrophenschutzes","mutterboden","schneider","grundgesetzes","sofortprogramm","innenminister","ministerpräsidenten","polizei","landes","tübingen","terrorismus","terroristischen","terrorismus","anzeigepflicht","bundesinnenminister","gewalt","rechtsstaat","sicherungsverwahrung","bka","riedl","spranger","bekämpfung","asylrecht","asyl","polizei","integration","ausländerfeindlichkeit","verfassungsschutz","menschenrechte","bundesinnenminister","zimmermann","daten","ausländischen","verfassungsschutz","zimmermann","grünen","innenminister","asylbewerber","asylbewerber","penner","schengener","daten","schäuble","ausländerfeindlichkeit","genfer","polizei","asylrechts","jelpke","integration","vietnam","ausländergesetzes","einbürgerung","marschewski","jelpke","marschewski","ausländern","bundesinnenminister","rüttgers","schily","ausländer","bundesinnenminister","bosbach","inneren","bundesinnenminister","terrorismus","integration","burgbacher","polizei","polizei","datei","bundesinnenminister","polizei","sicherheit","innenminister","abkommen","bkagesetz","schäuble","staatsangehörigkeit","ausländer","veit","abkommen","mayer","integration","menschen","menschen","asylbewerberleistungsgesetz","integration","kommunen","deutschland","schutz","abschiebungen","migranten","asyl","zuwanderung","zuwanderung","deutschland","inseln","migrationspolitik","ukrainischen"
"10","entscheidung","zweidrittelmehrheit","recht","abs","reform","wahlmännergremium","bundestag","art","gesetzentwurf","verfassungswidrig","barzel","parlamentarischen","rat","karlsruhe","bundesverfassungsgerichts","bundesrat","rheinlandpfalz","bundesinnenminister","partei","aussageverweigerungsrecht","päckchen","alliierten","mehrheit","grundgesetzänderung","lücke","menschenrechtskommission","demokratie","polizei","dorn","parlament","kassel","dorn","verfassungsschutz","kompetenzen","bundesinnenminister","hören","bundesgrenzschutz","bundesinnenminister","minister","verfassungstreue","sicherheit","vogel","terroristischer","sicherheit","hanns","martin","bundesinnenminister","spranger","beamten","dregger","innern","innern","gewalt","kinder","asyl","baum","integration","kemal","folter","chile","haftbedingungen","türkei","gesetze","sicherheit","boykott","daten","innenminister","bürger","datenschutz","daten","innern","staatssicherheit","köppe","abkommen","seiters","einbürgerung","ulla","ausländergesetz","schmalzjacobsen","bürgerkriegsflüchtlinge","integration","flüchtlingen","ausländern","menschen","integration","einbürgerung","flüchtlingen","flüchtlinge","einwanderung","schily","verfassungsschutz","innere","terrorismus","asyl","stokar","polizei","innere","philipp","staatsbürger","datenschutz","innenminister","lanka","integrationsplan","winkler","staatsangehörigkeit","terrorismus","innenminister","onlinedurchsuchung","elena","türkischen","flüchtlinge","deutschland","flüchtlingen","asylbewerber","asyl","kommunen","kommen","asylbewerber","abschiebungen","integration","subsidiär","flüchtlingen","deutschland","migrationspolitik","asylsystem","fachkräfteeinwanderungsgesetz","integration","kommunen"
"11","parlamentarischen","mehrheit","bundespräsidenten","personalkonzession","gericht","gericht","gericht","juristen","rat","barzel","verfassungsrechtlichen","barzel","heinemann","schröder","entscheidung","exekutive","vorgetragen","vollmachten","donnerstag","presserechts","meinungsfreiheit","ablösung","verfassung","marburg","schmittvockenhausen","parlamentarischen","parlaments","bundesinnenminister","bundestages","rechte","parlamentarischen","bundeskriminalamtes","kontrolle","programm","innere","liedtke","verbrechensbekämpfung","zweidrittelmehrheit","vogel","bewerbers","terroristischer","bewerbers","verbrechen","innenminister","verbrechen","dregger","riedl","pensky","polizei","innern","inneren","personen","flüchtlinge","dregger","ausländerbehörden","innenminister","mitbürger","demokratie","chilenischen","fälschungssicheren","polizei","sicherheitsbehörden","personalausweis","flüchtlingen","staat","hirsch","datenverarbeitung","polizeibeamten","hirsch","verfassungsschutzes","dienste","mfs","asyl","hirsch","verfolgte","politisch","sonntagwolgast","ausländische","ausländergesetzes","ausländern","cornelie","ausländergesetzes","lebenden","doppelte","csu","staatsangehörigkeitsrechts","jelpke","innenminister","schily","familienbericht","zuwanderungsgesetz","versammlungsrecht","innenminister","kemper","digitalfunk","luftsicherheitsgesetz","stokar","datei","zuwanderung","grindel","trennungsgebot","sri","sicherheitsbehörden","deutschland","elena","polizei","maizière","zuwanderung","kilic","sicherheit","migration","zuwanderung","bleiberechtsregelung","zuwanderung","beck","einwanderung","land","asyl","staatsangehörigkeit","einwanderung","asylverfahren","asylverfahren","personen","abschiebung","inseln","lesbos","ausländerzentralregisters","polen"
"12","artikel","bundestag","gewalt","recht","parlamentarischen","weber","bundesrat","entscheidung","volk","volksbefragungen","aufsatz","eingabe","schröder","bundesverfassungsgerichts","abs","weimarer","disposition","äusseren","recht","information","meinungsäusserung","notstandsverfassung","vorlage","bundesinnenminister","grundgesetz","lücke","innern","genscher","selbstschutz","art","minister","schutzpolizei","verfassung","raumordnungspolitik","bgs","verwendung","bundes","militärmissionen","landes","rechtsstaat","rechtsstaat","dregger","mündlichen","dregger","stammheim","hanns","sicherheitsbehörden","dregger","asylbewerber","penner","ausländer","ausländischer","bewaffnung","ausländischer","bundesrepublik","nordrheinwestfalen","ländern","verfolgung","asylbewerber","ausweises","gefangene","bürger","sicherheitsbehörden","türkei","datenschutz","speicherung","verfassungsschutz","volkszählung","gerster","hirsch","neusel","ingrid","sed","ausländer","asylverfahren","verfolgte","ausländern","ausländerinnen","bundesinnenminister","asylrecht","abschiebung","integration","bürgerkriegsflüchtlinge","asylbewerberleistungsgesetz","innenminister","türkei","menschen","asylrecht","menschen","ausländer","deutschland","deutschland","ausländer","grindel","bundeskriminalamt","usa","bgs","sicherheit","sicherheitsbehörden","terrorismus","ausländer","bundesinnenminister","polizei","flüchtlinge","migranten","grindel","migranten","waffen","personen","sicherheitsbehörden","stiftung","flüchtlingen","ausländer","lampedusa","herkunftsstaaten","beck","asylbewerber","sichere","einbürgerung","flüchtlingen","schutz","herkunftsstaaten","abschiebung","ausländer","migration","aufnahme","ausländer","schutz"
"13","parlament","weimarer","regierung","parlament","verfassungsrechtlichen","rechtsausschuss","parlamentarischen","bundesverfassungsgericht","april","bundesverfassungsgerichts","misstrauensvotum","demokratie","parlamentarischen","innenminister","barzel","sache","vorrednerin","innenminister","gibt","grundgesetz","parteifreunden","gesetzgebung","zweidrittelmehrheit","gesetze","art","demokratie","mai","schmittvockenhausen","gemeinsamen","dorn","parlaments","innenminister","bundeskriminalamtes","verbrechensbekämpfung","gewalt","inneren","bundeskriminalamt","minister","inneren","vogel","stockholm","terroristen","verteidiger","verfassungsschutzes","dregger","sicherungsverwahrung","innenminister","innern","innenminister","bremen","gewalt","demonstranten","innenminister","türkei","staatsangehörigkeit","miltner","bundesinnenminister","daten","demonstrationen","daten","staat","zimmermann","konvention","fahndung","volkszählungsgesetz","datenschutzbeauftragte","bundesinnenminister","gewalt","polizisten","innenausschuss","hamburg","sed","asylrecht","flüchtlingskonvention","deutschland","polizei","asylverfahren","lebenden","sonntagwolgast","innenausschuss","özdemir","özdemir","sonntagwolgast","asyl","härte","kinder","tampere","bundesinnenminister","deutschland","innenminister","innere","innenminister","koschyk","strobl","zuwanderung","bosbach","innenminister","innenministerkonferenz","eidesleistung","stadler","bleiberechtsregelung","datenschutz","terrorismus","böhmer","terrorismus","sicherheitsbehörden","asylverfahren","integrationskurse","wolff","wolff","flughafenverfahren","mikrozensus","hartfrid","doppelte","integration","migration","flucht","innenminister","asylbewerber","land","herkunftsstaaten","integration","staatsbürgerschaft","seehofer","geflüchteten","lager","flucht","deutschland"
"14","herrn","interpretation","parlamentarischen","niederlassungsfreiheit","demokratie","arndt","bonner","weber","menzel","parlamentarischen","verfassungsrechtliche","streit","herkunft","parteien","gesetzgebung","verfassungsrechtlich","befugnisse","abs","entscheidungen","demokratie","berlin","rechtsausschusses","schäfer","übung","verfassung","griechenlands","notstandsgesetzgebung","gesetze","parlamentarischen","zuständigkeiten","innenministeriums","enquetekommission","zweidrittelmehrheit","hessen","schäfer","halte","inneren","obernau","innenminister","lorenz","bekämpfung","sicherheit","bundeskriminalamt","grohnde","mord","spranger","spranger","bundeskriminalamt","bekämpfung","türkei","demonstrationen","bekämpfung","baum","mitbürger","baum","ländern","bundesinnenministers","asyl","innenminister","ausländerpolitik","lebensgefahr","bundesrepublik","ströbele","bürger","innenminister","bürger","wahlrecht","spranger","ausländerpolitik","ausländerrecht","raf","inneren","flüchtlinge","asylrechts","asylkompromiss","grundgesetzes","flüchtlingen","jelpke","asylbewerber","mikrozensus","marschewski","rückführung","kanther","özdemir","einwanderung","gesellschaft","innenpolitik","menschen","land","herkunft","stadler","leutheusserschnarrenberger","sicherheitsbehörden","bundesinnenminister","bka","binninger","inneren","staatsbürgerschaft","einbürgerung","stokar","bleiberecht","grindel","piltz","wolff","migrantinnen","wolff","veit","deutsch","integration","zuwanderung","willkommenskultur","asylrecht","staatsbürgerschaft","integration","zuwanderung","seenotrettung","verfahren","asylverfahren","integrationskurse","beck","deutschland","seehofer","duldung","geflüchtete","aussengrenzen","integration","ortskräfte","aufnahme"
"15","mitglieder","parlament","urteils","initiativrecht","senat","wahlmännergremiums","weimarer","persönlichkeit","verfassungswidrig","freitag","brauer","gewählte","gemeineigentum","schäfer","bund","notstand","worte","grundrechte","folgen","presserechtsrahmengesetz","fischerei","verfassung","äusseren","demokratie","demokratie","europarat","verteidigungsfall","abs","kontrolle","grundgesetz","art","grundgesetzes","ausdrücklich","frage","verbrechensbekämpfung","partei","kpd","bundesverfassungsgericht","verfassung","dkp","dkp","bekämpfung","inneren","demonstrationen","beamten","maihofer","bekämpfung","höcherl","behörden","asylrecht","sicherheit","arbeitserlaubnis","grundrecht","spranger","asylbewerbern","ausländischen","familienzusammenführung","bundesjustizminister","ausländischen","ausländern","bürger","asylbewerber","terroristen","ausländer","zimmermann","staat","innern","waffenschmidt","daten","terrorismus","innenausschuss","kriminalität","hoyerswerda","grundgesetzes","ausländern","asylkompromiss","asylrechts","ausländerzentralregister","abgeschoben","bundesinnenminister","ausländerrecht","cornelie","zuwanderung","ausländern","staatsbürgerschaft","innenminister","asylrecht","uhl","integration","richtlinie","terroristen","wiefelspütz","innenpolitik","innenminister","innere","kontrollen","innenpolitik","stokar","zuwanderungsgesetz","innenpolitik","bundespolizei","dağdelen","inneren","grindel","wolff","kriminalität","piltz","deutschland","ausländer","gesundheitskarte","staatsangehörigkeit","datenschutzes","visafreiheit","beck","freizügigkeit","unterbringung","maizière","integrationsgesetz","familiennachzug","punktesystem","asyl","land","fachkräfte","perspektive","staatsangehörigkeit","zuwanderung","heimat","ukrainische"
"16","bundestags","ermächtigungsgesetz","bundestag","bundestag","bundestag","minderheit","mehrheit","grundrechte","weimarer","wilhelmi","regieren","bundestag","ordnung","ausnahmezustand","verfassungsänderung","pflicht","partei","verteidigungsfall","kriegsfolgelasten","entwürfen","freiheit","interfraktionellen","entwurf","parlamentarischen","innern","art","lenz","rechtsausschusses","innern","parlaments","bundestages","pensky","parlament","länder","polizeilichen","massnahmen","verfassungsschutz","gerlach","partei","innern","krimineller","bundesverfassungsgerichts","verkehrs","gewaltkriminalität","sicherheit","inneren","rechtsstaat","innenministerkonferenz","asylrecht","demonstrationen","schutzraumbau","verfahren","ausschreitungen","ausländische","asylrechts","unserem","journalisten","folter","zimmermann","schäfer","sicherheitsbehörden","asylrecht","folter","hirsch","rechtsbruch","terroristen","bundesdatenschutzbeauftragten","datenschutzbeauftragten","volkszählung","datenschutzbeauftragten","akten","mainz","behörde","schengen","verfolgung","sicheren","ausländergesetzes","bundesgrenzschutz","abschiebestopp","flüchtlingen","asylbewerber","bürgerkriegsflüchtlinge","rassismus","innenminister","inneren","doppelten","asylbewerber","ausländergesetzes","rassismus","asylbewerber","land","zuwanderungsgesetz","deutschland","bevölkerung","minister","datenschutz","ausländer","staatsangehörigkeit","ausländer","daten","piltz","bleiberechtsregelung","mayer","innenminister","flüchtlinge","migranten","bürgerrechte","abkommen","migranten","mayer","hartfrid","asyl","sprache","flüchtlingspolitik","nostrum","aufnahme","flüchtling","asylpaket","integrieren","abgeschoben","personen","zuwanderung","fachkräfteeinwanderungsgesetz","geflüchteten","humanität","westbalkanregelung","laschet","fliehen"
"17","kehl","gewalt","rechtlichen","parlamentarischen","richterzahl","gewählt","prinzip","rechtsausschuss","parlamentarischen","bundestag","eschenburg","juristen","demokratischen","exekutive","parlamentarischen","bundesverfassungsgerichts","stärker","weimarer","kontrolle","entwürfe","neuverteilung","notstandsgesetzgebung","legislaturperiode","gesetzgebung","übung","gefahr","notstandsverfassung","innern","verfassung","entscheidung","herr","bundesinnenminister","fortentwicklung","schneider","vogel","herren","vogel","ländern","dkp","peter","kriminalität","bundesinnenminister","angeklagten","wohnung","terroristische","innenminister","innern","terrorismus","jentsch","beamten","drogenabhängige","demonstration","friedlich","februar","ministerpräsident","asylrecht","behörden","minderheiten","demokratie","personalausweises","datenschutzbeauftragten","innenminister","datenverarbeitung","daten","ausländer","gewalttäter","ausländerrecht","pressefreiheit","bgs","nöbel","verfassungsschutz","massenorganisationen","gewalt","grundgesetzänderung","asylbewerbern","flüchtlingen","einbürgerung","staatsbürgerschaft","abschiebehaft","staatsbürgerschaft","innern","bökel","schmalzjacobsen","schmalzjacobsen","ausländerpolitik","westerwelle","marschewski","aufenthaltsrecht","verfassungsschutz","menschen","terrorismus","polizei","bevölkerung","ausländerrecht","grindel","zuwanderungsgesetz","zuwanderung","binninger","informationen","ausländer","verfassungsschutz","wiefelspütz","zuwanderung","piltz","bundeskriminalamt","piltz","vorratsdatenspeicherung","maizière","ausländerbehörden","türkische","notz","aufenthaltsrecht","bleiberecht","asyl","syrien","flüchtlingspolitik","bamf","bleibeperspektive","bleibeperspektive","lindholz","afd","sicheren","asylverfahren","integration","seehofer","einwanderung","aufnahme","solidarität"
