"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herren","uhr","uhr","uhr","geschäftsordnung","geschäftsordnung","geschäftsordnung","tagesordnung","geschäftsordnung","präsident","präsident","präsident","präsident","antrag","präsident","antrag","beamten","beamten","beamten","beamten","weihnachtszuwendungen","beamten","gscheidle","beamten","beamten","dienstes","dienst","beamten","beamten","beamten","beamten","beamten","dienst","genscher","beamten","besoldungsvereinheitlichungs","dienst","öffentlichen","dienst","künstler","bundesgrenzschutz","künstler","künstler","dienstes","teilzeitbeschäftigung","dienst","dienst","beamten","beamten","berufe","dienst","dienst","dienstes","gerster","beamten","beamten","dienst","dienst","sport","dienst","olympischen","dienst","dienst","dienst","sport","sport","vereine","sport","beamten","dienst","sport","sport","dienst","beamten","sport","doping","dienst","sport","sport","behinderten","öffentlichen","dienst","sport","dienst","beamten","öffentlichen","vereine","sport","ehrenamt","künstlerinnen","vereine","engagement","sport","sport","leipzig","de","ehrenamtlich","ro","vereine","schulsport","sport","sport","sport","sport","sport","sport","sport","sport","kinderarbeit","kinderarbeit","sport","sport","sport","sport","sport","sport","sport","doping","sport","sport","sport","sport","gemeinnützigkeit","ehrenamt","thw","ovcw","sport","sport"
"2","sitzung","sitzung","dr","sitzung","uhr","präsident","uhr","geschäftsordnung","tagesordnung","fraktion","geschäftsordnung","dr","herr","präsident","antrag","weihnachtsgeld","harmonisierungsnovelle","dienst","präsident","schmittvockenhausen","beamten","dienst","dienst","dienstes","innenausschuss","dienst","beamten","dienstes","vergütungsgruppe","dienst","dienstes","innern","dienstes","dienst","waffen","beamten","beamten","dienst","dienstes","dienst","beamten","dienstes","dienstes","dienst","dienst","beamten","öffentlichen","dienst","dienst","beamten","dienstes","beamten","dienst","beamten","bundesgrenzschutz","dienst","beamten","öffentlichen","beamten","beamten","sport","sport","öffentlichen","auswärtigen","sportler","athleten","dienst","vereine","beamtenversorgung","dienstes","dienst","neuen","öffentlichen","dienst","sports","sport","behinderten","behinderten","sportbericht","sport","verwaltung","versorgungsbericht","sportförderung","beamten","öffentlichen","dienst","übungsleiterpauschale","doping","ehrenamtlich","künstler","vereinen","sport","engagements","grossveranstaltungen","olympischen","dat","berufsgenossenschaften","sport","gemeinnützigen","sport","parr","doping","parr","olympischen","sports","sports","sportanlagen","sports","polarforschung","sport","olympischen","nada","olympischen","sotschi","trainiert","doping","doping","sport","sports","sportausschuss","athleten","esport","invictus","stiftung","stiftung","sport","gemeinnützigkeit","ahrtal"
"3","herr","herren","sitzung","dr","sitzung","herr","sitzung","präsident","präsident","tagesordnung","ältestenrat","herr","abgeordneter","beamten","geschäftsordnung","geschäftsordnung","dienst","antrag","vorlage","dienst","dienst","öffentlichen","beamten","dienst","dienst","beamten","brück","dienst","besoldungsgruppe","öffentlichen","öffentlichen","dienstes","beamten","öffentlichen","schusswaffen","darüber","dienstes","dienstes","öffentlichen","beamten","dienstes","beamten","öffentlichen","öffentlichen","öffentlichen","dienstes","beamten","beamte","berger","dienst","öffentlichen","nebentätigkeit","planstellen","dienst","gerster","beamte","dienstes","beamten","dienst","öffentlichen","spiele","dienstes","beamten","dienstes","dkp","dienst","gutachten","beamten","sport","beamten","beamten","dienst","dienstes","neuen","sportstätten","sports","beamten","sports","sports","behinderte","dienst","beamten","dienst","öffentlichen","dienst","sport","vereinen","olympischen","ehrenamtlichen","sport","enquetekommission","enquetekommission","engagement","sports","spiele","un","engagement","le","kinderbetten","sprintstudie","spielsucht","sportler","olympischen","spiele","dosb","fussball","sports","dsf","spielhallen","arktis","kinderarbeit","engagement","sportler","olympischen","doping","sports","sportler","dopingopfer","athleten","athleten","athletinnen","gemeinnützigkeit","games","games","ehrenamtlichen","kolonialen","organisationen","bevölkerungsschutz"
"4","geschäftsordnung","dr","damen","herren","tagesordnung","damen","dr","sitzung","damen","herren","fraktion","vizepräsident","herren","kühlthau","herr","präsident","präsident","präsident","antrag","doppelversorgung","innenausschuss","dienstes","innenausschuss","öffentlichen","gscheidle","angestellten","innenausschuss","innenausschuss","angestellten","dienstes","genscher","dienst","öffentlichen","beamten","dienst","drei","beamte","verwaltung","beamten","öffentlichen","dienst","dienst","dienst","beamten","dienstes","öffentlichen","verfassungstreue","öffentlichen","dienstes","dkp","beamten","beamte","beamte","öffentlichen","dienst","öffentlichen","generalbundesanwalt","besoldung","dienstes","disziplinarverfahren","dienst","beamten","dienstes","sport","verfassungsschutz","büchner","gemeinnützigkeit","dienstes","dienst","öffentlichen","dienstes","bundesländern","beamten","öffentlichen","neuen","öffentlichen","teilzeitbeschäftigung","behinderte","spitzensport","einrichtungen","dienstes","öffentlichen","kommunen","verwaltung","dienstes","dienstes","sportvereine","sports","engagement","künstlersozialversicherung","ehrenamt","engagements","enquetekommission","olympischen","bewerbung","is","sport","un","schliessungen","sportunterricht","monopol","nada","spiele","sports","sportler","doping","lärm","friedensforschung","sport","siegenburg","spiele","ehrenamt","sports","sportler","olympia","sportler","sports","dopingopferhilfegesetz","genossenschaften","athletinnen","seehofer","athleten","freifunk","invictus","helferinnen","stiftung","vereine","katastrophenschutz"
"5","damen","damen","tagesordnung","geschäftsordnung","präsident","tagesordnung","damen","damen","abgeordneter","herr","damen","damen","dr","herr","herren","vorschuss","geschäftsordnung","wuermeling","herren","dienstes","riegel","innenausschuss","dienstes","fortbildung","miessner","angestellte","dienstes","schmittvockenhausen","bediensteten","genscher","beamte","berger","vereinheitlichung","nienberge","erwerb","besoldungsrechts","öffentlichen","beamten","gehobenen","dienstes","bundesgrenzschutzes","bundesgrenzschutz","abgeordneten","berger","beamte","kultur","verfassungsschutz","dienstes","öffentlichen","öffentlichen","kühbacher","öffentlichen","öffentlichen","dienstes","funktionen","dienstes","beamte","beamte","büchner","dienstes","beamten","auswärtigen","zulage","auswärtige","sports","doping","sport","dienst","öffentlichen","auswärtigen","öffentlichen","öffentlichen","neuen","beamte","bfd","dienstes","öffentlichen","behinderungen","leistungssport","netz","beamten","zivilschutz","sports","bundesinnenminister","versorgungsrücklage","auslandsvertretungen","ehrenamt","spitzensport","ehrenamtliche","sportler","ehrenamtlich","bürgerschaftlichen","spitzensports","riegert","rostock","ok","bürgerschaftliches","rp","lot","xi","sportwetten","parr","bewegung","sportler","olympischen","ehrenamtlichen","olympischen","sportpolitik","fluglärm","schliessung","polarforschung","ehrenamtlich","sportgrossveranstaltungen","sportlerinnen","jugend","olympischen","antidopinggesetz","dosb","sportanlagen","dosb","spiele","special","abgabenordnung","sport","helfer","kontexten","sportstätten","bbk"
"6","tagesordnung","herr","geschäftsordnung","damen","dr","dr","tagesordnung","herren","herr","dr","herren","geschäftsordnung","damen","geschäftsordnung","abgeordneter","herren","herren","geschäftsordnung","dienstes","bundesbeamtengesetzes","schmittvockenhausen","schmittvockenhausen","brück","beamte","innenausschusses","öffentlichen","öffentlichen","besoldungsgruppe","dienstes","wagner","dienst","öffentlichen","wagner","veba","gehobenen","bezüge","besoldung","daten","besoldung","kunst","vereinbarung","bundesgrenzschutzes","mandat","anwärterbezüge","zulagen","ostdeutschen","dienstes","verfassungstreue","beamte","bundesverfassungsgerichts","beamte","dienstes","älter","beamte","beamter","kühbacher","gerster","dienstes","nebentätigkeit","npd","dienstes","einfachen","bediensteten","öffentlichen","dienst","olympischen","sportvereine","gemeinnützigen","dienstes","zulagen","sportstätten","sports","kommunen","bundesländern","öffentlichen","beamten","behinderte","plan","behinderten","uelhoff","reform","sport","öffentlichen","verschlankung","dutyfreehandel","sports","ehrenamtlichen","engagement","enquetekommission","künstlersozialkasse","sport","sports","wettkampf","enquetekommission","sport","wi","unfallversicherung","kt","angst","heimgesetz","detlef","sports","staatsvertrag","jugendschutz","spitzensport","vereine","sportpolitik","kinderlärm","lärm","spieler","sportler","sports","doping","spiele","brasilien","spiele","integrität","sportler","fans","olympischen","fussballweltmeisterschaft","olympics","umwelthilfe","engagement","gemeinnützigkeit","sammlungsgut","ehrenamt","thw"
"7","dr","abstimmung","herr","herr","damen","uhr","präsident","herr","dr","geschäftsordnung","herr","abgeordneter","fraktion","vizepräsident","dr","weihnachtsgeldes","gscheidle","dienstes","beamtenrechts","beamte","marken","besoldung","schmittvockenhausen","schmittvockenhausen","besoldung","schmittvockenhausen","stufe","öffentlichen","besoldungsneuregelungsgesetz","innern","ruhestand","dorn","besoldung","becker","dienstes","finanzwirtschaftlichen","besoldungsgruppe","datenschutz","beamte","künstlerischen","öffentlichen","öffentlichen","entschädigung","nivellierung","beamten","beamte","beamte","bundesverfassungsgerichts","spitzenamt","freien","besoldung","nebentätigkeiten","plakate","broll","elektronische","ruhestand","kühbacher","angestellten","sports","eingangsbesoldung","öffentlichen","öffentlichen","beamte","mittleren","marshallplan","sports","dienstes","büchner","beamte","vereine","sportanlagen","dienstes","mitarbeiter","personal","beamten","vbl","bgs","sportausschuss","beamten","herr","dienstrechtsreform","dienstes","broschüre","ministerien","vergabe","dutyfreeregelung","übungsleiter","sportler","tätigkeit","doping","rock","bürgerschaftliches","behindertensport","spitzensport","sports","nich","ehrenamt","ko","drucksache","entbürokratisierung","anbieter","dopingbekämpfung","detlef","peking","parr","olympischen","breitensport","konfliktforschung","frauenfussball","ausbeuterische","arktis","vereine","ringen","homophobie","sportförderung","sportlerinnen","mutlu","gedopt","vereine","reform","alarmierend","verein","spiele","ehrenamtlichen","hilfswerk","herkunftsgesellschaften","stiftung","spiegel"
"8","uhr","präsident","hauses","tagesordnung","antrag","herren","herren","fraktion","herren","damen","dr","herren","geschäftsordnung","fraktion","damen","beamten","antrag","brück","haushaltsausschuss","versorgungsempfänger","dienstes","sachverständigenrat","besoldungsreform","überleitung","dienstes","tätigkeit","schmittvockenhausen","besoldung","ii","bundesinnenminister","innern","genscher","gehobenen","innern","waffenbesitzkarte","zulagen","ruhestand","ausbeutesatz","berger","besoldung","beamte","kunst","gehobenen","besoldung","zulage","bundesgrenzschutz","bewerber","vorbereitungsdienst","gehobenen","hauser","zulage","bediensteten","beamten","kühbacher","braunschweig","besoldungsanpassung","damen","arbeiter","nebentätigkeiten","dkp","ruhrgebiet","auswärtige","ministerialzulage","aussenpolitik","george","sportler","öffentlichen","öffentlichen","vereine","beamte","verordnungsentwurf","verwaltung","beamte","pds","sportanlagen","dienst","beamte","doping","breitensport","regina","staat","zivilschutzes","beamten","aufgabenkritik","rücklage","beamten","sport","riegert","sport","verwerter","übungsleiterpauschale","vereine","ehrenamtes","breitensport","ioc","för","versicherungsschutz","ar","vorstellen","sports","sports","kampf","schulsport","bewegung","spitzensportler","fans","bewerbung","autonomie","kinderlärm","spielhallen","ukraine","ehrenamtlichen","sportlerinnen","paralympischen","paralympics","bewerbung","sportanlagen","sportlerinnen","olympischen","spitzensportreform","schickt","vereine","freifunkinitiativen","gemeinnützigkeit","anerkennung","ehrenamt","vereinen","zivilschutz"
"9","antrag","vizepräsident","vizepräsident","präsident","sonntage","sitzung","herr","rasner","fraktion","antrag","abgeordneter","fraktion","vizepräsident","abgeordnete","ausschuss","damen","damen","herr","gscheidle","dorn","zivilbeschäftigten","beamtenbesoldung","öffentlichen","verwaltung","beamtenschaft","bundesbehörden","unteroffiziere","besoldungsneuregelungsgesetz","dienst","erhöhung","schäfer","beamte","beamte","dienstes","waffe","besoldungserhöhungsgesetz","genscher","wahlrecht","kollege","dienstrechts","rationalisierungsmassnahmen","beamte","bundestages","besoldungsgruppe","wehrsold","sauer","dkp","berger","patentamt","grundordnung","ministerialzulage","bedienstete","fortschritt","richter","vorleistung","besoldung","begegnet","gleichgerichteten","olympischen","kollege","olympische","sports","innenausschuss","bediensteten","verfassungsschutzes","dienstes","beamten","sports","alterssicherungssysteme","bediensteten","beamte","ländern","bundesländern","bund","dienst","ioc","dienstes","behinderter","öffentlichen","link","modernisierung","uelhoff","vereine","schlanker","taxfreeregelung","staat","dm","ehrenamtlich","engagements","versicherungsschutz","engagement","ehrenamtlich","bürgerschaftliches","spiele","eröffnungsspiel","to","bürgerschaftlich","itz","norbert","schulsports","bewegung","dopings","prävention","bewerbung","detlef","ehrenamtlich","spiele","bewerbung","mädchen","luftbodenschiessplatzes","sports","übungsleiterpauschale","spiele","hitzlsperger","nada","antidopinggesetz","nada","ddrdopingopfer","rechtsform","medaillen","vereinen","wm","nama","ehrenamtskarte","ehrenamt","rückgabe","rheinlandpfalz","rheinlandpfalz"
"10","abgeordneter","abgeordnete","herren","hauses","herren","abgeordneter","vizepräsident","grundgesetzänderung","antrag","sitzung","antrag","uhr","innenausschuss","kollege","kühlthau","herr","ältestenrat","erhöhung","besoldung","überleitung","herr","innenausschusses","dorn","innenausschuss","beamte","benda","besoldungsneuregelungsgesetzes","beamte","amtsbezeichnung","schäfer","besoldungsgruppe","innenausschuss","richterbesoldung","innenausschuss","besitz","gesundheitspolitischen","wagner","gewerkschaften","arbeitszeitverkürzung","ausland","postgewerkschaft","gerster","beamten","stufenlehrer","berger","kulturellen","regelanfrage","bewerber","mittleren","partei","kollege","dienstlichen","beschäftigten","bundesnachrichtendienstes","gegensatz","gerster","hervorgerufen","bediensteten","öffentlichen","treuepflicht","bewerbung","mitarbeiter","waffenschmidt","beamten","sportbericht","spitzensport","gutachtens","vereinen","sports","besoldungsgruppe","lambinus","einrichtungen","aufbau","verwaltung","ländern","spitzensport","arbeitnehmerhaftung","goldenen","sportausschuss","schmidtzadel","verwaltungsreform","katastrophenschutz","sportsicherung","dienstes","vergaberecht","breitensport","kollege","ehrenamt","vereine","riegert","engagements","sportler","sportstätten","sportler","olympia","een","unfallkassen","pl","abgeordneten","kunert","wettmonopol","besitz","sports","ioc","athleten","stadion","umgebung","olympischen","anwohner","antrag","sportlerinnen","bürgerschaftliches","ioc","sports","olympischen","sportbericht","dfb","athleten","genossenschaft","sports","trauen","athletinnen","vereine","vereine","organisationen","ehrenamtlichen","katastrophenschutz","katastrophenhilfe"
"11","wort","geschäftsordnung","präsident","vizepräsident","herr","gerstenmaier","hauses","uhr","gerstenmaier","uhr","schmücker","antrag","antrag","dr","vizepräsident","abgeordnete","herr","besoldung","geschäftsordnung","vorlage","weihnachtsgeld","anpassung","besoldungsordnung","berufsunteroffiziere","öffentlichen","besoldung","besoldungsneuregelungsgesetz","miessner","bat","beamte","dienstbefreiung","schäfer","zulagen","günzburg","waffengesetz","vereinheitlichung","becker","beschäftigten","besoldungsrechts","berger","bgs","bgs","angehörigen","anwärter","wehrsolderhöhung","kulturpolitik","grundordnung","innenausschuss","rechtspfleger","erschwerniszulage","bundesverfassungsgerichts","abbuchungen","system","bediensteten","beamte","angestellte","befürwortet","niemand","sportler","besoldung","beamte","gerster","personalräte","auslandsvertretungen","sportlerinitiative","gemeinnützigen","vereinen","sportvereine","anrechnung","angehörigen","zollverwaltung","pds","verwaltung","alten","dienstes","kampf","purps","unionsbürger","riegert","sportler","körper","beamtenrecht","dienstes","standorte","beamte","olympischen","sportvereinen","vereine","kumpf","engagement","ehrenamtliche","ehrenamt","ehrenamt","sportliche","paralympics","ik","versichert","ra","ziel","studie","staatsvertrag","strafbar","sportwetten","spitzensport","hochschulsport","vereinen","breitensports","spiele","baunutzungsverordnung","glücksspiel","sportgrossveranstaltungen","sportförderung","vergabe","nada","brasilianischen","athleten","fussball","sports","doping","spitzensport","kennzahlen","olympischen","sport","engagierten","thwgesetz","ehrenamtlich","gemeinnützigen","flutkatastrophe"
"12","abstimmung","hauses","schmid","abgeordneter","abstimmung","ältestenrat","minuten","dr","uhr","vizepräsident","haus","wort","rutschke","innenausschuss","schwerbeschädigten","fraktion","dienstes","vorlage","hauses","öffentlichen","kunstbeirat","miessner","einheitlichkeit","wagner","disziplinarrecht","innern","ollesch","besoldungsordnung","tarifverhandlungen","besoldungsrückstandes","versetzt","ingenieure","innenausschuss","vereinheitlichung","munition","vernichten","waffengesetz","privatsphäre","becker","künstlern","pensky","dienstrechts","berger","höheren","angehörigen","vertriebenen","bundesverfassungsgerichts","vorbereitungsdienstes","berufe","funktionen","nebentätigkeit","broll","force","fache","öffentlichen","einstweiligen","lehnen","herr","sportbericht","büchner","nebentätigkeit","mittleren","zulagen","ausland","vereine","kommission","übungsleiterpauschale","beamte","vereinen","ehepartner","mitarbeiter","wolfgang","personal","mitarbeiter","vereinen","beamte","kommunen","kommunen","hofmann","sportförderung","dienstrecht","ehrenamtlichen","verwaltung","beamte","versorgungsreformgesetz","verwaltung","organisationen","sportausschuss","feuerwehr","dopingopfer","bürgerschaftlichen","riegert","vereine","vereine","eröffnungsfeier","sport","unfallversicherungsschutz","io","abendstunden","runden","sportförderung","athleten","spielsucht","athleten","spielverordnung","sportausschuss","innern","friedens","arktis","verein","london","engagements","sportverbände","olympische","fussballweltmeisterschaft","fifa","sportlern","fonds","fussball","spitzensportförderung","fc","fifa","herero","anerkennung","vvnbda","sports","hochwasser","ehrenamtlichen"
"13","bitte","abgeordneter","morgen","antrag","übergang","fraktion","antrag","ältestenrat","vizepräsident","gerstenmaier","tagesordnung","gerstenmaier","gerstenmaier","einfachen","fraktion","vizepräsident","abgeordnete","damen","rasner","verbesserungen","gscheidle","bundesregierung","studienkommission","besoldung","spdbundestagsfraktion","innenausschuss","regierungsvorlage","beamtinnen","beförderung","berger","einstweiligen","wagner","laufbahn","zusatzurlaub","genscher","tun","nienberge","datenschutzes","staatssekretäre","besoldungsgruppe","personals","grenzbereich","publizisten","beamte","grenadier","überstunden","kommunisten","richter","regenspurger","verfassungsfeindliche","tätigkeiten","öffentliche","bestehe","minister","bedienstete","gleichermassen","schäfer","möglicherweise","zimmermann","staat","spielen","vereine","bereich","ehepartner","marshall","spiele","sportvereinen","gemeinnützigkeit","gemeinnützigen","ruhegehaltsfähige","mittleren","bund","ländern","ländern","bund","sportstätten","bundesgrenzschutz","sportstätten","sportförderung","nordseeschutz","schlanken","verwaltung","bund","kemper","auftragsvergabe","bundesbehörden","ehrenamtliche","bürgerschaftlichen","freiwilligen","künstlern","tätigen","ehrenamtliche","vereinen","sportbericht","olympiabewerbung","vun","tätige","fm","bekleiden","antrag","staatlichen","dosb","präventionsgesetz","medien","spiele","parr","sportler","winterspiele","fussball","vereine","paralympischen","ehrenamtliche","sportausschuss","sporthilfe","fussball","spitzensport","sportlerinnen","olympischen","sportvereine","konzept","fans","games","namibia","wertschätzung","abgabenordnung","vereine","attac","anne"
"14","minuten","wort","antrag","abgeordnete","weihnachten","rasner","rasner","abgeordneter","mitglieder","haus","gerstenmaier","abgeordnete","wort","rutschke","matzner","kollegen","brück","gscheidle","damen","brück","rasner","gscheidle","bundesinnenminister","unteroffiziere","brück","staatssekretär","verbesserungen","innenausschusses","iii","besoldungsrückstand","dorn","bundesbeamten","tätigkeit","berger","öffentlichen","bestimmung","innern","gehobenen","fachhochschulabsolventen","spitzenorganisationen","gewerkschaft","tarifbereich","beamte","abgeordneten","wehrsoldes","liedtke","beschluss","beamtenverhältnis","zulage","pauschalierung","angehörigen","tätig","bediensteten","dienstrecht","verbrauchsabhängigen","angestellten","öffentlichen","wegen","herr","ausland","besoldung","sportvereine","büchner","personal","beamten","speyer","gemeinnützigen","vereinfachung","opel","einfachen","regelungen","einigungsvertrag","bund","kommunen","sportausschuss","sportausschuss","fahrlässigkeit","spilker","vereinen","planstellen","mobilität","kemper","beamte","verwaltungsreform","steen","beamte","riegert","dopingbekämpfung","ehrenamtlicher","vizepräsidentin","hospizarbeit","sportausschuss","binding","sportarten","fussballweltmeisterschaft","en","kaupa","är","brauchbare","sportarten","staatliche","riegert","riegert","sportförderung","sportarten","diskriminierung","wohngebieten","abständen","wohngebieten","glücksspielsucht","ausbeuterische","doping","olympische","engagement","sports","dosb","sportlichen","dopings","vereinen","schwimmen","vollmundige","sports","anerkennung","ehrenamtlich","technische","kolonialismus","nordrheinwestfalen","athleten"
"15","hauses","antrag","abstimmung","minuten","abgeordneter","antrag","ältestenrat","atomgesetz","minuten","lesung","rasner","becker","iv","herren","vorlage","beschluss","besoldung","herren","niederlassungsrecht","besoldung","schneider","überleitung","zeitpunkt","dorn","stufe","laufbahn","versorgungsempfänger","richter","beamte","ruhestand","bundesgrenzschutz","bundesinnenminister","nienberge","kapitalerhöhung","prüfung","dienst","beamtenverhältnis","dienststellen","berufsbeamtentums","richter","besoldung","gehobenen","mitglieder","liedtke","bundesgrenzschutz","besoldung","bundesverfassungsgericht","beamtenverhältnisses","besoldungsstrukturgesetz","berger","mittleren","angestellte","sonntag","beamtenrecht","nebentätigkeit","staatsdiener","namen","mittleren","sportvereine","disziplinarverfahrens","bernrath","besoldung","broll","vereine","olympischen","vereine","tätigkeit","tätigkeiten","altersversorgung","mittleren","emissionswerte","personal","verwaltungen","waffenschmidt","krüger","bund","steen","fristverlängerung","krüger","gemeinden","behinderte","sicherheitslage","staat","staat","beamtenversorgung","kollege","verein","ehrenamtlichen","sozialversicherungspflicht","sportlerinnen","ehrenamtlichen","engagierten","kastner","vereinen","spielen","spraken","engagierte","en","dementi","gerster","wetten","detlef","monopol","sportbericht","sportförderung","dfb","sportstätten","lärm","polarstern","platzes","münchen","vereinen","riegert","jugend","spitzensport","sportlichen","dopingmittel","sportbund","sportler","trainer","erfreulicherweise","spiele","rückgabe","organisationen","helfern","organisationen","gemeinnützig","spitzensport"
"16","vizepräsident","tagesordnung","debatte","wort","mitglieder","lesung","abgeordneter","beratung","haus","namens","schmid","kollegen","kühlthau","wort","haus","weihnachten","bundesbesoldungsgesetzes","matzner","dienst","höcherl","weihnachtsgeldes","beamtenrechtlicher","antrag","brück","beamtin","altersheime","beamtenschaft","lehrer","öffentlichen","tarifverhandlungen","abbau","innenausschusses","zulage","beamtinnen","zuverlässigkeit","wortlaut","dienstherrn","liter","besoldungspolitik","beamte","personal","einsatzabteilungen","rechtsstellung","kulturpolitik","besoldung","berger","verfassung","ruhestand","besoldung","beamte","einfachen","berufe","aktionen","borkum","dienstes","amtsgehälter","dezember","umgang","sportpolitik","ehrenamtlich","sportler","beamte","berufsverbote","sports","sportvereine","sportbundes","vereinfachung","sportanlagen","richter","spiele","bestandsschutz","beamten","länder","sport","beamte","sportanlagen","nichtbehinderten","wahlberechtigten","lohmann","schnieberjastram","staates","kanther","breitensport","staates","öffentlicher","sportvereinen","ehrenamtlich","bürgerschaftliches","aufwandsentschädigung","höchstleistungen","popmusik","dopingopfer","gutachten","leipzig","stadt","wat","engagements","lle","le","heimrecht","oddset","besitzstrafbarkeit","sportlerinnen","sportlerinnen","sportpolitik","gesellschaft","goldenen","kompetenz","spielsucht","mädchen","ioc","bürgerschaftlichen","sportarten","spitzensport","wm","sportausschuss","spitzensport","trainer","sportanlagenlärmschutzverordnung","sportler","herr","ehrenamtlichen","kontexten","kommission","ehrenamtlich","athleten","flut","katastrophe"
"17","abgeordnete","schmid","wort","fraktion","hauses","abgeordnete","fraktion","atomgesetzes","fraktionen","rasner","vereinbarung","kollege","erklärung","abgeordneter","rutschke","überwiesen","änderung","verbesserungen","innenausschuss","personenkreis","angestellten","brück","april","miessner","technikerzulage","beamte","verwaltung","verbesserungen","bewährungsaufstieg","mittleren","getroffen","besoldungsrechts","becker","brück","wagner","schmidt","einstweiligen","brennereiordnung","nichttechnischen","bund","berger","fachhochschulausbildung","ausbildung","tarifbereich","bundesgrenzschutzes","ostdeutsche","staatsdienst","regenspurger","teilzeitbeschäftigung","mitgliedschaft","aufgaben","öffentlich","freien","herr","bundesgrenzschutzes","früheren","einführung","parlamentarischen","sportausschuss","beschäftigte","angeles","botschaften","richtlinienentwurf","kühbacher","spitzensportler","auswärtigen","kommission","sportorganisationen","linearisierung","mitarbeiter","lutz","mitarbeiter","kommunalen","beschäftigten","kommunen","reisenden","neuen","breitensport","ländern","politik","berufsbeamtentums","bundesamt","spd","kanther","dutyfree","sportler","gemeinnützige","breitensport","tätigen","sportausschuss","musik","staat","gespart","goldenen","hinsken","minderheiten","vereine","to","lieferanten","einrichtungen","gerster","bewegung","glücksspiel","olympische","sportvereinen","sportstätten","maizière","bewegung","ausbeuterische","luftbodenschiessplatz","vergabe","engagieren","ukraine","athleten","agentur","sportlern","verbände","jenapharm","manipulation","andré","vereine","abgabenordnung","hilfsorganisationen","spiele","dsf","gemeinnützigkeit","gemeinnützige","ministerin"
"18","heute","haus","abgeordnete","abstimmung","redner","hauses","lesung","punkt","schmid","hauses","anträge","ältestenrat","rasner","damen","erhöhung","überleitung","hauses","haushaltsausschuss","bereich","beamtenbesoldung","höcherl","bundesbeamten","miessner","januar","zulage","meermann","vierten","gruppen","brück","spillecke","versorgung","kollege","soldatenversorgungsgesetzes","herr","pflegeklasse","gern","rechtsverordnungen","ausbeutesätze","vereinheitlichungsgesetz","vereinheitlichung","pfeffermann","kulturpolitik","bundesverfassungsgericht","urlaubsgeld","dienstherrn","kulturarbeit","einstellungsbehörden","urteil","spitzenamtes","broll","klein","laufbahn","nordrheinwestfalencomment","nachgeordneten","geltend","beschäftigten","arbeiter","ruhestand","gerster","angestellte","los","ausland","frauenförderrichtlinien","hammbrücher","friedensstafette","calgary","sports","sportvereinen","penner","stellenzulage","schliesslich","pdslinke","seiters","dienstes","bundesländern","goldenen","kulturbereich","behinderung","spitzensports","millionen","beschäftigten","helfer","amtsbezüge","bundesverwaltung","körper","spitzensport","schmidt","engagements","bürgerschaftlichen","engagements","riegert","engagieren","engagieren","bewerbung","norbert","se","bürgerschaftlichen","na","losgelöst","sgb","liberalisierung","bekämpfung","kollege","computerspielen","doping","sportvereinen","bundesimmissionsschutzgesetzes","antidopingorganisationen","polarregionen","sportausschuss","spielen","spielerkarte","sportpolitik","spielen","organisierten","integrität","fairness","schäden","athletinnen","doping","frage","dosb","ehrenamtlich","zivilgesellschaft","gemeinnützig","thw","antidopinggesetz","nordrheinwestfalen"
