"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","portugal","fernsehen","kraftfahrzeugeinheiten","rundfunk","fernsehen","seeschiffahrt","anstalten","bundespressechef","sender","schulen","auswärtigen","sport","kahnackermann","olympischen","sport","dahrendorf","auswärtigen","kulturpolitik","auswärtigen","auswärtigen","spiele","argentinien","sport","sports","leistungssport","sport","revision","sport","tourismus","stiftung","beschwerdestelle","beschwerden","stiftung","pressefusionskontrolle","sport","olympischen","klein","medien","weirich","informationsfreiheit","selbständigen","springer","post","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","börnsen","bundespost","bundespost","öffentlichrechtlichen","telekom","film","film","banken","dat","welle","banken","informationsgesellschaft","post","post","post","wettbewerb","post","metro","post","unternehmen","ladenschluss","post","post","wettbewerb","ladenöffnungszeiten","handwerk","verbraucher","wettbewerb","mitbestimmung","unternehmen","unternehmen","unternehmen","unternehmen","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","wirecard","ezb"
"2","berliner","berliner","berliner","berliner","berliner","berliner","berliner","berliner","fernsehen","berliner","berliner","kühn","kühn","rundfunk","rundfunk","rundfunkanstalten","berlin","fernsehwerbung","presse","handelsflotte","fernsehen","hase","rundfunk","auswärtigen","kulturpolitik","sports","sport","sport","deutschen","auswärtigen","olympischen","auswärtige","amt","auswärtige","olympischen","münchen","sportbund","sportförderung","herr","sports","bundesgerichtshof","sports","behindertensport","sportorganisationen","jentsch","beschwerdestelle","reiseveranstalter","sport","luxemburg","medien","schwarzschilling","schwarzschilling","medienbericht","satelliten","satelliten","presse","bundespost","post","post","post","post","post","rawe","post","post","post","post","post","post","post","telekom","bundespost","bundespost","telekom","telekom","telekom","de","unternehmen","ard","post","ag","ag","wettbewerb","banken","ag","welle","ag","holzmann","unternehmen","unternehmen","ag","unternehmen","post","handwerksordnung","wettbewerb","unternehmen","sparkassen","regulierungsbehörde","offenlegung","ministererlaubnis","hedgefonds","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","finanzmärkte","bank","bank","bank","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","einlagensicherung","bausparkassen","bank","verbraucher","banken","verbraucher","verbraucher","bank","griechenland","bafin","bafin","bafin","hauptversammlung"
"3","berlins","notopfer","berlins","berlins","notopfer","notopfer","berlins","sitz","berliner","werbung","werbung","fernsehen","heck","rundfunkanstalten","portugiesischen","rundfunk","reklame","hypothekengewinnabgabe","rundfunk","reedereien","rundfunk","presse","fernsehsender","ausland","auswärtige","presse","auswärtigen","spiele","bände","kulturpolitik","spiele","auswärtigen","spiele","moersch","münchen","argentinischen","münchen","sport","jaksch","sportkonferenz","bundesfinanzhof","stiftung","urlaub","olympischen","beschwerden","behinderungen","konrad","medien","hauff","klein","sendungen","öffentlichrechtlichen","enquetekommission","medien","welle","monopolkommission","glasfaser","verkabelung","verkabelung","bundespostminister","paterna","fernmeldewesen","post","film","herr","börnsen","wettbewerb","schwarzschilling","bundespost","telekommunikation","post","post","post","bundespost","post","postreform","un","banken","wettbewerb","telekom","telekommunikation","telekommunikation","ag","post","wettbewerb","unternehmen","kunden","banken","beschäftigten","wettbewerb","unternehmen","schauerte","einzelhandel","anlage","handwerk","bafin","unternehmen","wettbewerb","aktionäre","basel","mitbestimmung","wettbewerb","kfw","kfw","bank","sparkassen","regulierung","hre","anleger","finanzmärkte","basel","aufsicht","aufsicht","steuerzahler","steuerzahler","aufsicht","bank","verbraucher","bank","verbraucherinnen","einlagensicherung","kredite","ezb","ezb","zentralbank","verbraucher","esm","griechenland"
"4","stadt","berlins","zone","senat","berlins","berlins","stadt","mannheim","rundfunkanstalten","zone","fernsehen","werbung","fernmeldewesen","fernsehens","kühn","welle","anstoss","anstalten","zeitungen","reeder","rundfunkanstalten","informationsamt","fernsehen","lehrer","amt","auswärtigen","amt","sports","nigerianischen","nigerianischen","auswärtige","olympischen","moersch","olympischen","sport","olympischen","sports","evers","bundesausschusses","sportförderung","vereine","vereine","berufe","sport","dsb","postverkehr","reisenden","brd","klein","sport","planungsabteilung","medienpolitischen","fernsehen","presse","schäfer","burda","postminister","kohlefrachthilfe","paterna","postminister","postminister","schwarzschilling","paterna","privaten","person","fernmeldewesen","telekommunikation","telekommunikation","wettbewerb","unternehmen","gebühren","anstalten","postdienst","filme","hörfunk","bundespost","post","postreform","bury","telekommunikation","einzelhandel","postbank","internet","unternehmen","unternehmen","ag","unternehmen","internet","einzelhandel","zugabeverordnung","wettbewerb","register","wettbewerb","post","uwg","markt","wettbewerb","verbraucher","gmbh","wettbewerb","wettbewerb","airbus","post","banken","krise","bank","krise","krise","finanztransaktionsteuer","markt","bank","bank","bank","schick","bankenunion","schick","verbraucher","bafin","verbraucherinnen","verbraucherschutz","ezb","finanzkrise","griechenland","bargeld","urteil","wirecard","anleger","hauptversammlungen"
"5","sitz","stadt","notopfer","deutschlands","aufbauplan","viermächtestatus","bonn","stadt","rundfunk","stadt","rundfunk","programm","fernsehen","rundfunks","sender","rundfunks","vorhandene","monopole","anstalten","film","deutschlandfunk","film","empfangen","kulturarbeit","ausland","leibeserziehung","presse","kahnackermann","spiele","olympischen","amt","enquetekommission","amerikahäuser","spiele","sports","gemeinschaft","genehmigt","landgerichte","papier","vereine","oberlandesgerichte","sporthilfe","sport","spiele","sportbund","innerdeutschen","nachlass","pressefreiheit","radio","schwarzschilling","öffentlichrechtlichen","fernsehen","klein","bundespost","medien","wirtschaftsminister","verkabelung","faschismus","postminister","verkabelung","fernmeldewesen","paterna","poststellen","fernmeldewesen","feiertagen","rawe","börnsen","fernmeldewesen","telekommunikation","telekom","telekommunikation","werbung","telekommunikation","post","telekommunikation","post","telekom","post","girokonto","wettbewerb","telekom","laufs","kunden","bury","filialen","divag","einzelhandel","mosdorf","übernahmen","rabattgesetz","internet","markt","uhr","unternehmen","unternehmen","kunden","schleswigholstein","post","hauptversammlung","erpsondervermögen","bundeskartellamt","markt","banken","bank","estate","landesbanken","unternehmen","finanztransaktionsteuer","bankenabgabe","krise","finanzaufsicht","finanzmärkte","finanzmärkte","fonds","aufsicht","bank","kunden","schick","bafin","kunden","bankenunion","ezb","commerzbank","sparer","wirecard","verbraucherinnen","banken","aktionäre"
"6","bevölkerung","zone","sowjetisch","wohnsitz","stadt","gesamtdeutsche","brandt","rundfunkanstalten","anstalten","gesamtdeutsche","anstalten","heck","rundfunkanstalten","fernsehprogramm","fernsehen","beschwerde","material","fernsehanstalten","film","schiffahrt","blumenfeld","anzeigen","rundfunkanstalten","sprache","presse","zeitungen","rundfunk","bundeszentrale","olympischen","kommission","dahrendorf","atomkommission","olympischen","titel","olympische","davon","anr","breitensport","spiele","sportpolitik","bgh","sportförderung","reiseveranstalter","sportvereine","böhm","beschwerdemöglichkeiten","adenauer","sportvereine","bundesminister","olympische","luxemburg","rundfunk","rundfunk","amtierender","mehrfach","schwarzschilling","netze","rösing","schwarzschilling","schwarzschilling","verkabelung","pfeffermann","fernmeldewesen","fernsehen","fernmeldewesen","jugendschutz","fernmeldewesen","unternehmen","gebühren","wettbewerb","umstrukturierung","rundfunk","börnsen","filmförderung","bundespost","postbank","ick","telekom","telekom","banken","postfilialen","bury","netz","ag","fusionskontrolle","bury","liberalisierung","bundesdruckerei","liberalisierung","markt","markt","telekom","verbraucher","ag","regulierung","regulierungsbehörde","kunden","kartellamt","wettbewerb","banken","bafin","reit","marktwirtschaft","telekom","hypo","ratingagenturen","ratingagenturen","regulierung","schick","aufsicht","bafin","hochfrequenzhandel","steuerzahler","aufsicht","ratingagenturen","bafin","verbraucherinnen","aufsicht","kunden","bafin","ewf","risiken","fusion","zinsen","bundesbank","schuldner","haftung","inflation"
"7","bundesrepublik","gesamtdeutsche","gesamtdeutsche","schmidtwittmack","notopfers","zone","sitz","hauptstadt","programm","bundesgebiet","weiterhin","anstalt","anstalten","anstalten","fernmeldewesen","sender","belehren","fernsehen","martin","fernsehen","ard","zeitschrift","anstalten","auslandsschulen","kahnackermann","güntherkommission","zeitungen","deutschen","auswärtige","auswärtige","sportförderung","amt","auswärtige","akten","olympiade","deutschen","preussischer","bundessportplan","sport","bundessportplan","revisionen","wochenschau","reisen","schäuble","sportbundes","reise","adenauers","nöbel","sports","programme","teilnahme","enquetekommission","presse","briefwechsel","vorzulegen","aktuelle","medienpolitik","arbeitsplätze","breitbandverkabelung","breitbandverkabelung","pfeffermann","rawe","werbung","paterna","initiiert","videokassetten","unternehmen","postreform","unternehmen","neustrukturierung","ddr","rundfunkanstalten","arne","privaten","postreform","medien","is","postbank","post","ag","wettbewerb","telekom","medien","postgesetz","jens","unternehmerische","verordnung","post","öffentlichrechtlichen","internet","riesenhuber","wettbewerbs","unternehmen","tätigkeiten","liberalisierung","heil","banken","zeitungen","transparenz","berninger","sparkassen","reits","manager","landesbanken","kfw","bankenaufsicht","bank","finanzmärkte","krise","unternehmen","finanzmärkte","bankenaufsicht","sparkassen","regulierung","dispozinsen","verbraucher","konto","kleinanleger","produkt","verwalter","handwerker","bank","euro","griechischen","euro","bank","finanzaufsicht","verbraucherinnen"
"8","sowjetischen","senat","westberlin","wahlprüfungsausschuss","bundeszuschusses","stadt","hauptstadt","bundesgebiet","kühn","optik","abreise","rundfunk","rundfunks","sender","bundes","anstalten","unterweser","fernsehens","griechenland","deutschen","werbung","mastanlage","programms","amt","fernsehen","kommission","auswärtige","sportförderung","deutsche","organisationen","sport","spiele","auslandsvertretungen","kulturpolitik","standort","abgeordnete","berlin","olympischen","bundesausschuss","sportvereine","steuersachen","sportbericht","haase","sportler","reisen","gesamtdeutsche","reisen","journalisten","satelliten","sportler","fernsehen","luxemburg","mitarbeiter","fernsehen","versailler","zusammenschluss","schwarzschilling","kommunikationstechniken","glasfaser","kabel","medienpolitik","dienste","sonn","rawe","schwarzschilling","filme","deutsche","wettbewerb","mitarbeitern","welle","deutsche","börnsen","postunternehmen","films","filme","versicherungen","postreform","postunternehmen","telekommunikation","kiper","ladenöffnungszeiten","filialen","informationsgesellschaft","welle","film","wettbewerb","wettbewerb","ag","gewerkschaften","verbraucher","liberalisierung","aufträge","freien","markt","handwerksordnung","girokonto","brüderle","markt","aktiengesellschaften","marktwirtschaft","regulierung","unternehmens","anleger","aufsichtsrat","bafin","kredite","schick","bankenabgabe","fonds","finanztransaktionsteuer","iii","steuerzahler","zypern","kapitalmarkt","schick","anleger","girokonto","anleger","meister","verbraucherpolitik","kredite","einlagensicherung","verbraucher","kredite","unabhängigkeit","ezb","untersuchungsausschuss","zinsen"
"9","herr","bundesrepublik","stadt","notopfer","brandt","zonengrenze","alliierten","antrag","werbefernsehen","gebessert","friedensburg","rundfunkanstalten","kirchen","kulturhoheit","mitgliedern","fernsehprogramm","ehren","versorgt","zoglmann","brt","welle","anzeigenaktion","kronach","kahnackermann","film","fernsehen","fernsehen","auswärtigen","sports","spiele","organisationen","leitsätzen","rote","meinungsbildung","kiel","sagen","kulturpflege","breitensports","direktwahl","sportorganisationen","finanzgerichtsbarkeit","schäuble","hotel","sporthilfe","innerdeutschen","ddr","reisende","medienpolitik","medien","fernsehen","sport","bundespost","wdr","informations","bezweifle","verlage","unternehmen","medien","fernmeldewesen","zeittakt","rawe","knightwendling","feiertagen","schwarzschilling","fernmeldegeheimnisses","satelliten","monopol","deutsche","beschäftigten","deutschen","partei","telekom","postminister","postdienst","schwarzschilling","ii","wi","telekommunikation","bank","kommunikation","telekommunikationsgesetz","paul","bury","transparenz","gwb","hinsken","verbraucher","bank","öffnungszeiten","liberalisierung","exklusivlizenz","kartellamt","berufe","meisterbrief","krogmann","verbraucher","privaten","regulierung","rechtsform","bank","telekom","entflechtung","markt","wettbewerb","aufsicht","bafin","risiken","unternehmen","unternehmen","regulierung","regulierung","reguliert","regulierung","finanzmärkte","kunden","steuerzahler","gläubiger","verbraucherinnen","produkte","makler","bank","bankenunion","targetsalden","aufsichtsrat","esm","zinsen","anlegerschutz","iwf"
"10","westberlin","bundeszuschuss","brandt","eternit","senat","bundeshilfe","rundfunkanstalten","bonn","werbung","sowjetzonenregierung","berlins","fernsehprogramm","bestehenden","werbung","rundfunks","freies","vielerlei","widerhall","öffentlichrechtlichen","kapitalstruktur","öffentlichrechtlichen","rundfunk","hofmann","schule","schulen","schulzevorberg","sportmedizin","sportbund","unabhängigkeit","kultur","ministeriums","leitsätze","ehefrauen","parlaments","ioc","auftretens","papier","spiele","bundesregierung","einzelrichter","vereinen","sportvereine","partnerschaft","jugendmarken","wiesbaden","bundesministerium","zurückweisungen","presse","genscher","spiele","fernsehens","medienpolitische","medien","schwarzschilling","cocomlisten","bundeswirtschaftsminister","stunde","weirich","private","bundesrechnungshof","deutsche","informations","öffentlichrechtlichen","öffentlichrechtlichen","fortfahren","sauter","dienste","deutschen","ritterhude","fernmeldewesen","eidesstattliche","gebührenerhöhung","schwarzschilling","öffentlichrechtlichen","öffentlichrechtlichen","börnsen","bundespost","dslbank","unternehmen","markt","bury","rundfunk","unternehmen","kunden","novelle","hbv","welle","wettbewerb","ag","ag","kartellamt","liberalisierung","samstag","verbraucher","markt","anleger","regulierungsbehörde","schauerte","hedgefonds","verbraucher","mitarbeiterbeteiligung","post","ikb","krise","real","krise","hedgefonds","markt","finanzkrise","honorarberatung","sparkassen","ebene","girokonto","bafin","versicherten","ezb","steuerzahler","staatsleistungen","schick","instrumente","sparer","verbraucherinnen","eib","steuerzahler","staatsfinanzierung","bargeld","wirtschaftsprüfer","verbraucher"
"11","gesamtdeutsche","bucerius","sowjetischen","abgeordnetenhaus","überleitungsgesetzes","sowjetischen","gesamtdeutsche","brookmann","bundesgebiet","berlins","geschäfte","januar","macht","programm","jährige","forschungsstelle","fernsehen","sportvereine","werbung","flotte","arndt","anzeige","haag","unesco","kulturarbeit","spiele","ausland","sprache","sportlichen","nigeria","prinz","organisationen","theologiestudenten","deutsche","olympiabedingten","dogmatischen","ordnung","zentralstelle","olympischen","maihofer","zivilsachen","wochenschauen","fremdenverkehrswirtschaft","berlin","sport","schirmer","rhöndorf","medienbericht","bundesregierung","rundfunk","elektronischen","technischen","nöbel","schäfer","weirich","entscheidung","kupfer","eingesetzt","pfeffermann","paterna","schwarzschilling","rundfunk","schwarzschilling","filmförderung","westphal","jugendliche","postreform","pfeffermann","kunden","görts","anbieter","privaten","postbank","abgabe","filmförderungsgesetz","postdienst","telekommunikation","wettbewerb","stoiber","börnsen","kiper","wettbewerb","liberalisierung","anleger","börnsen","schwäbisch","sonntag","rundfunk","fernsehen","aktienoptionen","aktienoptionen","korruptionsregister","dienstleistungen","finanzplatz","ag","banken","markt","kartellrecht","branche","telekom","markt","kfw","gmbh","gmbh","finanzmärkte","aufsicht","finanzmärkten","schick","aufsicht","schick","bankenaufsicht","regulieren","finanzagentur","gläubiger","risiken","versicherungen","sparkassen","risiken","boni","sachkundenachweis","risiken","griechenland","steuerzahler","banken","banken","aufsicht","aufsicht","schulden"
"12","bundesregierung","land","abgabe","hauptstadt","bundesfinanzminister","westberliner","neumann","provisorium","kulturhoheit","iv","institutionen","aufsichtsgremien","sendungen","heck","blindheit","anstalt","raum","sendung","illustrierten","rundfunk","presse","titel","rundfunks","deutschen","kulturellen","sportstätten","schulen","literatur","verleger","lagos","sports","picard","organisationskomitees","airbusgmbh","spielen","einhaltung","sportorganisationen","sportkonferenz","pullachcomment","landgerichten","berufsordnung","sportkonferenz","tourismuspolitik","notwehr","reiseveranstalter","innerdeutsche","jentsch","pressebereich","informationsfreiheit","komitee","rundfunk","presse","antrag","hörfunk","bundesregierung","medien","paterna","glasfaser","privaten","fernmeldewesen","bundespostminister","gebühren","pfeffermann","kino","gewinnen","paterna","grünbuch","postwurfsendung","kreditgewerbe","deutschlandfunk","breitbandverkabelung","zdf","ablieferung","fernsehanstalten","hörfunks","poststellen","nich","bank","rundfunkanstalten","unternehmen","verbraucher","kooperationsvertrag","postgesetz","deutschen","wettbewerbspolitik","wolf","öffnungszeiten","fusion","ladenschlussgesetz","rabattgesetzes","filialen","wettbewerbsrecht","schauerte","handwerks","regulierungsbehörde","konto","unternehmensmitbestimmung","branche","vorstände","ii","märkte","beschäftigten","transparenz","risiken","enteignung","wettbewerb","finanztransaktionsteuer","steuerzahler","gläubiger","finanzkrise","altersversorgung","finanzmarktregulierung","brinkhaus","abwicklung","regulierung","risiken","einlagensicherung","finanzkrise","verbraucherschutz","kredite","steuerzahler","bundesbank","verbraucherinnen","hauptversammlung","geldpolitik","finanzaufsicht","vermögensanlagen","zentralbank"
"13","ostzone","überleitungsgesetz","bundesgebiet","neumann","hauptstadt","capitolfilm","friedensburg","berlins","rundfunks","vertrieb","politische","programme","welle","freies","pluralismus","gremien","vermehren","gewertet","werbefernsehen","werften","werbesendungen","wildente","presse","kulturpolitik","rundfunk","sprache","sportförderung","wörner","tageszeitungen","flammenpfennig","sportbundes","aussenpolitik","kreuz","städtepartnerschaften","schirmer","gültigen","besuchern","landgerichten","gedankengang","sportausschuss","sport","sportbund","stiftung","marken","bekannt","umweltaktion","reisevertrag","lokalen","schwarzschilling","rundfunkanstalten","göttingen","verkabelung","brasilien","rundfunk","enquetekommission","ministererlaubnis","pkk","erweiterte","medien","satelliten","vertrag","rundfunksatelliten","dienste","deutschen","stellung","eimer","reform","neustrukturierung","schwarzschilling","zulassungen","zukünftiger","gebühren","wilhelm","filmförderungsanstalt","nationalen","landesmedienanstalten","se","ag","ag","regulierung","postagenturen","informationsgesellschaft","telekommunikation","finanzmarktförderungsgesetz","lambsdorff","deutschen","übernahmen","öffentlichrechtlichen","software","kunden","mitarbeiter","internet","ag","wettbewerb","finanzplatz","kartellamt","aufsichtsrat","ag","mitbestimmung","fusion","banken","konzern","ag","korruption","hre","post","dautzenberg","bafin","bafin","bafin","schick","schick","finanzmarktregulierung","grauen","fonds","kapitalmarkt","basiskonto","verbraucherschutz","aufsichtsrat","versicherungen","kunden","krise","finanzkrise","verbraucherschutz","pepp","gläubiger","ey","billionen"
"14","frau","sowjetisch","besetzten","stadt","landeshaushalt","ostberlin","chefredaktion","gesamtdeutsche","iv","reiseverkehrs","freunden","bundesinnenminister","mitteilungen","film","freies","fernsehens","textes","wörtlich","zeitschriften","deutsche","anstalt","sport","programm","auswärtige","kultur","moersch","goldenen","sportler","zeitung","amt","schmittvockenhausen","martin","parlamentarischer","ortskräfte","patentamt","interessenverbände","olympischen","kriminologischen","gemeinwirtschaft","vorbereitenden","sozialpädagogen","sportvereinen","deutschen","sportsondermarken","dtsb","institut","erben","abkürzung","göttingen","kommunikationstechniken","medien","verkabelungsstopp","rundfunkanstalten","technisch","urbaniak","jens","pfeffermann","informations","pro","rechnungshof","programme","bundespostminister","privaten","filmwirtschaft","abschreckende","neustrukturierung","markt","bundespostminister","anbieter","mitarbeiter","rawe","ard","unternehmen","tridelta","privaten","öffentlichrechtlichen","postunternehmen","postgewerkschaft","privaten","bury","kunden","bötsch","inhalte","hinsken","postgewerkschaft","post","ladenöffnungszeiten","medien","ladenöffnungszeiten","anbieter","regulierungsbehörde","verbraucher","öffnungszeiten","meister","meisterbrief","regulierung","handwerk","marktwirtschaft","gehälter","girokonto","bundesnetzagentur","anleger","kredite","unternehmens","finanzmarkt","papiere","finanzmarkt","leerverkäufe","regulierung","gesetz","finanzkrise","eigenkapital","ezb","abwicklungsfonds","ratings","versicherten","schick","kapitalmarkt","risiken","restschuldversicherung","verbraucherschutz","target","bundesbank","euro","aufsicht","schulden","pr","geldmenge"
"15","sowjetzone","hilfe","konz","wahlgesetz","zweckbindung","überleitungsgesetzes","sender","zählen","fernsehens","isländischen","kriegsopfer","zuschauer","grundgesetzes","bundesinnenminister","landtag","verbraucheraufklärung","grundlage","erziehungsbeihilfen","zeitung","schiffe","programm","mittel","inbetriebnahme","deutsche","kommission","schulen","schulzevorberg","auswärtige","rundfunk","regierung","zeitung","getan","organisationskomitee","amtes","umsiedlung","privateigentum","anordnungen","bund","analysen","sportliche","bundesgerichtshofes","olympischen","gastronomie","kollege","urlaub","sports","klagen","öffentlichrechtlichen","programme","pilotprojekte","verkabelung","medienpolitik","verkabelung","journalisten","wettbewerb","lambsdorff","glasfasertechnik","neuen","bundespostminister","verkabelt","privaten","gelben","kretkowski","films","fernmeldewesens","fernmeldewesens","kunden","postordnung","bönstrup","ministerium","vielfältigen","telekommunikation","christian","fernsehen","films","film","postbank","bernrath","kreditinstitute","postreform","unternehmen","barthel","markt","deutsche","kunden","mosdorf","banken","mayer","post","exklusivlizenz","umsatzsteuer","staffelt","liberalisierung","dienstleistungen","novelle","grauen","grossbanken","kunden","börsennotierten","eon","reits","zeil","preise","schäffler","finanzmarktkrise","markt","kredite","post","anlegerschutz","steuerzahler","unternehmen","krise","fonds","bank","haften","sparer","bafin","einlagensicherung","anleger","verbrauchern","verbraucherinnen","targetsalden","anleger","negativzinsen","zinsen","wirtschaftsprüfer","insolvenz","verbraucherschutz"
"16","möchte","bürger","häftlinge","wahlgesetzes","lindrath","hauptstadt","langwelle","kartellamt","blachstein","senat","lassen","beirat","begriff","bund","verein","deutsche","verkündet","indirekten","tageszeitungen","seifriz","fernsehens","zeitungen","fernsehprogramm","fernsehen","films","ausland","sprache","deutsche","anstalten","sprache","wohlrabe","unrwa","landesleistungszentren","amt","organisationskomitee","staatsgeheimnisse","sollen","wertgrenze","kollege","sportbundes","lohnsteuerhilfevereine","veranstaltungen","fremdenverkehrs","herr","deutschen","sport","gedenkstätte","medienpolitischen","sendungen","medienpolitischen","professor","anstalten","bundesregierung","ard","rechtzeitig","oktober","aktuellen","ausschreibungen","ausbau","ausbau","reetz","erdefunkstelle","rationalisierungsmassnahmen","kinos","gelben","regierungskommission","dienstleistungen","postminister","deutschen","dienstkleidung","nächster","rundfunkgebühren","kolbe","rias","fernsehanstalten","telekommunikation","mi","bury","öffentlichrechtlichen","bötsch","remailing","unternehmen","kiper","jens","agenturen","zusagen","postuniversaldienstleistungsverordnung","philipp","ladenschlussgesetzes","müller","telekom","kartellrecht","monopolkommission","liberalisierung","telekommunikation","krogmann","unternehmens","heil","vorstandsvergütungen","fonds","investivlohn","korruption","verbraucher","investoren","bankenaufsicht","bundesbank","aufsicht","sparkassen","telekom","steinbrück","anleger","steinbrück","krise","ebene","finanzkrise","einlagen","fonds","regulierung","manager","schick","widerrufsrecht","steuerzahler","kukies","unternehmen","anleihen","anleger","betrug","virtuellen"
"17","hilfe","bürgermeister","reichshauptstadt","asyl","abgabe","aufkommen","stimmrecht","senat","frequenzen","reisen","brandt","bbc","gewerkschaftsbund","welle","gestört","berlin","schütz","gelagert","funk","see","kommission","fernsehens","deutschlandfunks","rundfunk","filme","kahnackermann","sports","sportrat","besetzung","schulzevorberg","moersch","deutsche","olympiabaugesellschaft","auslandsschulen","bewerbung","xx","goldenen","leistungssports","schärfe","sportbund","revisionsgericht","antrag","touristen","sportwissenschaft","beschwerde","böhm","bundeskanzleradenauerhaus","sportvereinen","thorn","neuen","olympischen","medienlandschaft","sendung","faltblatt","vorstellen","bundespost","aktuelle","bildschirmtext","netze","gebühren","fernmeldeordnung","breitbandverkabelung","kunden","videowirtschaft","kunden","pfeffermann","beschäftigten","paterna","rawe","bundesrundfunkanstalten","tourismus","ulrich","ritterhude","generalunternehmer","postbank","unternehmen","börnsen","sparkassen","zdf","kunden","bötsch","liberalisierung","iukdg","gres","bury","herr","kontrag","markt","internet","telekommunikation","schauerte","hartmut","geschäfte","kunden","monopolkommission","anlegerschutz","verbraucher","kopp","gründung","immobilienfonds","behörde","erpsondervermögen","abfindungen","kredite","bundesbank","eigenkapital","boni","anleger","steuerzahler","finanzmarkt","aufsichtsbehörden","risiken","sieling","prokon","eigentümer","risiko","geschäfte","finanzmärkte","finanzkrise","bank","schwöre","bafin","zinsen","bank","italien","restschuldbefreiung","scholz","aktionärsrechte"
"18","herren","sowjetischen","notopfers","hamburg","bundeszuschuss","antrag","maxsein","linien","werbefernsehens","ostberlin","helfe","welle","zuständigkeit","repräsentanz","zuschüssen","abwanderung","programm","indessen","anteil","funk","wettbewerb","werbeanzeigen","khz","zentralstelle","martin","olympischen","olympischen","leistungszentren","becher","nigerianische","griechen","kommission","italienische","document","sportbundes","historisches","wald","amtsgerichte","kritik","landgerichte","vereinsrecht","sportorganisationen","urlauber","ioc","sports","vizepräsident","herr","medienpolitische","herr","verkabelung","kabel","öffentlichrechtliche","neuen","monopolkommission","beide","herr","private","erlernten","deutsche","technischen","gebühren","herr","prognosen","filmförderungsanstalt","nahverkehr","bundespostminister","bundespostminister","telekom","mitarbeiter","postreform","gesellschaft","briefs","rawe","telekommunikation","sender","fernsehen","ok","versicherungen","rundfunk","rundfunk","öffnungszeiten","postfilialen","martin","markt","markt","börnsen","filialen","wirtschaft","markt","telekom","dienstleistungen","verbändevereinbarung","verbändevereinbarung","hinsken","handwerks","prospektpflicht","post","kooperationen","branchen","tätigkeit","unternehmens","sparkassen","managergehälter","transparenz","ikb","steuerzahler","finanzaufsicht","finanzkrise","finanzmärkte","insolvenz","zöllmer","bankenabgabe","privatkundengeschäft","gerhard","dispo","bankenunion","zinsen","altersvorsorge","unternehmen","bankenverbände","finanzkrise","finanzmärkte","hauptversammlung","verbraucher","gegenparteien","griechenland","reform","efsf"
