"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","staatssekretär","bundesminister","zusatzfrage","staatssekretär","staatssekretär","zusatzfrage","staatssekretär","zusatzfrage","staatssekretär","staatssekretär","zusatzfrage","staatssekretär","zusatzfrage","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","parl","parl","parl","parl","parl","parl","parl","staatssekretär","parl","parl","staatssekretär","parl","parl","parl","parl","staatssekretär","parl","staatssekretär","parl","parl","staatssekretär","parl","staatssekretär","parl","parl","parl","parl","parl","parl","frage","staatssekretär","frage","frage","staatssekretär","frage","frage","six","frage","amt","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss"
"2","abgeordneten","dr","dr","dr","dr","dr","zusatzfrage","staatssekretär","bundesminister","zusatzfrage","zusatzfrage","staatssekretär","zusatzfrage","staatssekretär","zusatzfrage","zusatzfrage","dr","zusatzfrage","staatssekretär","zusatzfrage","dr","zusatzfrage","dr","dr","dr","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parl","parl","parl","parl","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","zusatzfrage","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","staatssekretärin","staatssekretär","staatssekretär","staatssekretär","staatssekretärin","staatssekretärin","staatssekretär","staatssekretär","parl","staatssekretär","staatssekretär","parl","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","staatssekretär","parl","staatssekretär","staatssekretär","parl","staatssekretär","parl","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretärin","frage","parl","parl","parl","staatssekretär","parl","bundesregierung","bundesregierung","bundesregierung","bundesregierung","frage","minister","minister","frage"
"3","bundesminister","staatssekretär","immunität","finanzen","zusatzfrage","zusatzfrage","bundesministerium","zusatzfrage","staatssekretär","bundesministerium","bundesminister","bundesminister","dr","dr","dr","dr","staatssekretär","dr","dr","dr","zusatzfrage","dr","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","bundesminister","zusatzfrage","bundesminister","beim","beim","beim","zusatzfrage","zusatzfrage","beim","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","parl","staatsminister","staatsminister","parl","parl","parl","staatsminister","parl","zusatzfrage","parl","parl","parl","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","parl","parl","parl","parl","zusatzfrage","zusatzfrage","parl","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","zusatzfrage","staatssekretär","staatssekretärin","zusatzfrage","zusatzfrage","staatssekretär","staatssekretär","staatssekretärin","staatssekretärin","zusatzfrage","zusatzfrage","frage","bundesminister","frage","staatssekretärin","bundesminister","frage","frage","staatssekretärin","bundesminister","frage","frage","frage","frage","frage","bundesminister","bundesminister","frage","frage","frage","staatssekretärin","staatssekretär","frage","staatssekretär","parl","frage","herr","herr","frage","herr","auswärtigen","frage","frage","amt"
"4","dr","frage","frage","innern","herr","staatssekretär","bundesminister","bundespost","betreffend","bundesminister","bundesministerium","dr","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","herr","herr","bundesministerium","herr","herr","zusatzfrage","herr","herr","herr","beim","zusatzfrage","zusatzfrage","zusatzfrage","beim","bundesminister","zusatzfrage","beim","beim","beim","beim","herr","staatsminister","herr","staatsminister","parl","parl","staatsminister","herr","herr","herr","staatsminister","herr","herr","herr","herr","vizepräsident","herr","vizepräsident","vizepräsident","vizepräsident","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","zusatzfrage","herr","herr","herr","frage","herr","herr","herr","frage","bundesminister","staatssekretärin","staatsminister","bundesminister","frage","bundesminister","zusatzfrage","zusatzfrage","staatssekretärin","staatssekretärin","zusatzfrage","bundesminister","frage","zusatzfrage","bundesminister","frage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","frage","bundesregierung","nachfrage","frage","frage","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","frage","frage","bundesminister","bundesminister","hintze","bundesminister","bundesminister","bundesminister","bundesminister","bundesregierung","bundesregierung","fragen","frau","billy","untersuchungsausschuss","auswärtige","ovcw","scheuer","minister"
"5","herr","zusatzfrage","herr","bundesministerium","staatssekretär","herr","dr","dr","dr","dr","beantwortung","frage","frage","abgeordneten","bundesministerium","vizepräsident","abgeordneten","vizepräsident","herr","vizepräsident","vizepräsident","abgeordneter","vizepräsident","abgeordneter","abgeordneten","bundesminister","bundesminister","beim","bundesminister","zusatzfrage","bundesminister","bundesminister","bundesminister","bundesminister","frage","frage","bundesminister","bundesminister","bundesminister","herr","frage","herr","vizepräsident","herr","herr","herr","herr","staatsminister","staatsminister","parl","herr","staatsminister","staatsminister","staatsminister","vizepräsident","herr","bundesregierung","herr","herr","herr","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","frage","frage","frage","frage","vizepräsident","frage","frage","herr","frage","frage","bundesregierung","herr","frage","bundesminister","mauss","frage","beim","beim","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","frage","bundesminister","frage","frage","staatssekretärin","bundesminister","staatssekretärin","bundesminister","frage","bundesregierung","bundesminister","bundesminister","bundesminister","staatssekretärin","staatssekretärin","staatssekretärin","nachfrage","nachfrage","nachfrage","nachfrage","staatssekretärin","staatssekretärin","staatssekretärin","staatssekretär","staatssekretär","bundesregierung","herr","staatssekretärin","bundesminister","herr","bundesminister","fragen","staatssekretäre","frau","bundesamt","amt","herr","fragen"
"6","anfragender","abgeordneter","abgeordneter","herr","gerstenmaier","bundesministerium","frage","frage","bundesministerium","frage","dr","bundesministerium","abgeordneten","frage","frage","abgeordneten","vizepräsident","frage","frage","herr","abgeordneter","frage","herr","bundesministerium","vizepräsident","dr","vizepräsident","zusatzfrage","beim","dr","frage","frage","dr","frage","beim","schmid","vizepräsident","frage","herr","frage","vizepräsident","vizepräsident","frage","vizepräsident","vizepräsident","vizepräsident","vizepräsident","dr","frage","vizepräsident","vizepräsident","bundesregierung","vizepräsident","frage","staatsminister","bundesregierung","frage","frage","abgeordneten","abgeordneten","abgeordneten","staatsminister","frage","frage","frage","frage","westphal","bundesregierung","vizepräsident","vizepräsident","bundesregierung","frage","vizepräsident","bundesregierung","kollege","bundesregierung","staatssekretärin","frage","staatsminister","beim","beim","beim","beim","zusatzfrage","frage","frage","frage","frage","frage","frage","zusatzfrage","staatsminister","bundesminister","beim","bundesminister","staatsministerin","frage","staatssekretärin","beim","staatssekretärin","staatssekretärin","bundesregierung","bundesregierung","nachfrage","bundesregierung","fragen","bundesregierung","staatssekretärin","bundesregierung","staatssekretärin","nachfrage","nachfrage","herr","bundesminister","bundesregierung","staatssekretärin","bundesregierung","herr","herr","bundesministerin","frau","verfassungsschutz","amt","untersuchungsausschusses","minister","untersuchungsausschusses","untersuchungsausschusses","bundesregierung"
"7","abgeordneter","ehlers","ehlers","zusatzfrage","abgeordneter","finanzen","herr","herr","frage","betreffend","gerstenmaier","abgeordneten","betreffend","bundesministerium","abgeordneten","abgeordneter","frage","abgeordneten","vizepräsident","frage","bundesminister","vizepräsident","abgeordneter","abgeordneten","frage","vizepräsident","dr","vizepräsident","frage","frage","abgeordneten","abgeordneten","frage","vizepräsident","vizepräsident","bundesminister","herr","herr","vizepräsident","bundesminister","beim","frage","dr","frage","dr","frage","frage","vizepräsident","dr","kollege","bundesregierung","frage","frau","abgeordneten","frage","frage","staatsminister","bundesregierung","frage","frage","frage","frage","abgeordneten","abgeordneten","bundesregierung","westphal","frage","westphal","dr","dr","rufe","klein","bundesregierung","kollege","klein","kollege","lintner","staatssekretärin","beim","staatssekretärin","frage","frage","vizepräsident","staatssekretärin","staatsminister","bundesregierung","beim","beim","staatsminister","staatsminister","beim","bundesministerin","dr","dr","dr","staatssekretärin","beim","dr","dr","nachfrage","nachfrage","staatssekretärin","nachfrage","bundesregierung","fragen","nachfrage","staatssekretärin","bundesregierung","fragen","beim","herr","herr","fragen","peter","vizepräsident","herr","roth","bundesregierung","vizepräsidentin","vizepräsidentin","minister","amt","minister","bundeskanzlerin","brandenburg","herr","zeugen","ministerium"
"8","herrn","herr","innern","frage","frage","frage","beantwortung","innern","beantwortung","abgeordneten","präsident","betreffend","vizepräsident","abgeordneter","schmid","herr","herr","herr","abgeordneten","abgeordneter","frage","bundesministerium","frage","frage","bundesministerium","beim","beim","dr","bundesregierung","herr","dr","dr","abgeordneten","abgeordneten","herr","vizepräsident","frage","vizepräsident","frage","vizepräsident","abgeordneten","abgeordneten","abgeordneten","bundesregierung","frage","dr","dr","frage","bundesregierung","dr","frage","abgeordneten","frage","vizepräsident","dr","staatsminister","kollege","abgeordneten","staatsminister","bundesregierung","bundesregierung","abgeordneten","westphal","bundesregierung","renger","abgeordneten","abgeordneten","dr","staatsminister","staatsminister","staatsminister","bundesregierung","kollege","vizepräsident","vizepräsident","vizepräsident","kollege","staatsminister","bundesminister","vizepräsident","vizepräsident","herr","staatsminister","dr","staatssekretärin","beim","bundesregierung","bundesregierung","dr","beim","dr","nachfrage","beim","staatssekretärin","bundesministerin","dr","dr","bundesregierung","fragen","beim","fragen","pau","vizepräsidentin","beim","asse","bundesregierung","beim","bundesministerin","vizepräsidentin","vizepräsidentin","bundesregierung","beim","beim","vizepräsident","herr","beantwortet","barthle","bundesministerin","staatssekretärin","roth","dank","staatssekretär","frau","fragen","amtes","fragen","maut","schröder"
"9","schreiben","finanzen","zusatzfrage","abgeordneter","bundesministerium","innern","finanzen","bundesministerium","gerstenmaier","bundesregierung","betreffend","bundesregierung","bundesministerium","gerstenmaier","abgeordneter","frage","abgeordneter","dehler","abgeordneter","abgeordneten","bundesministerium","bundesminister","abgeordneten","vizepräsident","bundesminister","frage","bundesregierung","frage","abgeordneten","bundesregierung","rufe","rufe","herr","herr","dr","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","staatsminister","dr","bundesregierung","abgeordneten","abgeordneten","bundesregierung","frau","bundesregierung","abgeordneten","dohnanyi","frau","dr","dr","dr","abgeordneten","rufe","dr","stücklen","bundesregierung","westphal","westphal","bundesregierung","bundesregierung","staatsminister","abgeordneten","dr","rufe","vizepräsident","bundesregierung","westphal","vizepräsidentin","hans","staatsminister","beantwortung","bundesregierung","staatsminister","eduard","kollege","bundesregierung","herr","herr","bundesminister","herr","bundesregierung","herr","bläss","herr","vizepräsident","herr","herr","bundesregierung","petra","bundesregierung","vizepräsident","beim","amt","innern","staatsministerin","staatsminister","zusatzfrage","beim","beim","beim","herr","nachfrage","kollegin","vizepräsidentin","beim","kollegin","herr","frau","kollegin","reaktorsicherheit","bundesregierung","hintze","nachfrage","staatssekretärin","frau","nachfrage","staatsminister","staatssekretär","dank","regierungsbefragung","ministerin","bundeskanzlerin","zeugen","bundesregierung","nachfrage"
"10","geschäftsordnung","innern","finanzen","staatssekretär","innern","abgeordneter","betreffend","post","herr","beantwortung","frage","beantwortung","bundesregierung","herr","vizepräsident","bundesministerium","bundesministerium","bundesministerium","bundesministerium","bundesministerium","abgeordneten","abgeordneten","bundesminister","bundesminister","abgeordneter","abgeordneten","frage","abgeordneten","dr","abgeordneten","herr","herr","vizepräsident","dr","abgeordneten","bundesregierung","bundesregierung","moersch","moersch","staatsminister","dr","bundesregierung","abgeordneter","rufe","schmittvockenhausen","stücklen","bundesregierung","abgeordneten","rufe","frage","abgeordneten","rufe","bundesregierung","rufe","bundesregierung","frau","vizepräsident","westphal","stücklen","staatsminister","kollege","rufe","staatsminister","westphal","spranger","staatsminister","bundesregierung","abgeordneten","abgeordneten","bundesregierung","renger","rufe","rufe","rufe","hans","beantwortung","vizepräsident","eduard","dr","hans","staatsminister","schmidbauer","dr","rufe","auswärtigen","rufe","dr","herr","beim","auswärtigen","vizepräsident","bläss","bundesministerin","bundesregierung","vizepräsident","auswärtigen","vizepräsident","rufe","rufe","staatsminister","vizepräsidentin","petra","pau","fragen","beim","beantwortet","pau","kollegin","beim","katrin","kollegin","bundesregierung","nachfrage","nachfrage","peter","frau","claudia","mittwoch","beck","bundesminister","beantworten","bericht","herrn","minister","frau","frau","amt","untersuchungsausschusses"
"11","aufhebung","präsident","genehmigung","gerstenmaier","präsident","betreffend","bundesregierung","bundesregierung","präsident","jaeger","abgeordneten","gerstenmaier","bundesministeriums","vizepräsident","bundesministeriums","jaeger","jaeger","abgeordneter","rufe","jaeger","dehler","dehler","rufe","dehler","bundesregierung","abgeordneter","abgeordneten","bundesregierung","beantwortung","rufe","bundesregierung","bundesregierung","rufe","rufe","abgeordneter","dr","rufe","dr","bundesregierung","dr","bundesminister","moersch","staatsminister","abgeordneter","bundesregierung","abgeordneten","abgeordneten","rufe","kollege","frau","rufe","vizepräsident","abgeordneter","bundesregierung","rufe","abgeordneten","abgeordneter","staatsminister","dr","dr","staatsminister","kollege","rufe","cronenberg","frau","bundesregierung","dr","vizepräsidentin","rufe","abgeordneten","fragen","kollege","beantwortung","geschäftsbereich","rufe","staatssekretärin","bundesregierung","vizepräsidentin","vizepräsident","klein","rufe","bernd","hirsch","herr","michaela","herr","vizepräsidentin","rudolf","bundesregierung","dr","rudolf","herr","vizepräsident","staatsminister","bundesregierung","beim","körper","beim","beantwortet","finanzen","beantwortet","vizepräsidentin","fragen","vizepräsidentin","vizepräsidentin","herr","petra","fragen","mittwoch","göringeckardt","mittwoch","vizepräsidentin","mittwoch","frau","frau","beim","vizepräsidentin","beantwortet","fragen","nachfrage","beantwortet","staatssekretärin","herr","amt","bundesregierung","ministerium","ministerium","frau"
"12","justiz","abgeordneten","abgeordneten","schröder","beantwortung","präsident","präsident","finanzen","bekannt","verkehr","bundesregierung","herr","hettlage","beantwortung","bundesregierung","innern","schmid","herrn","minister","dehler","rufe","fragen","dehler","rufe","parlamentarischer","bundesregierung","jahn","jahn","rufe","vizepräsident","schriftlich","vizepräsident","bundesregierung","bundesregierung","bundesregierung","herr","dr","bundesregierung","rufe","moersch","moersch","rufe","hassel","dr","dohnanyi","rufe","rufe","schmittvockenhausen","vizepräsident","rufe","kollege","abgeordneter","rufe","abgeordneter","abgeordneter","wurbs","rufe","frau","westphal","rufe","stücklen","stücklen","dr","rufe","rufe","rufe","fragen","rufe","westphal","bitte","westphal","beantwortung","klein","fragen","beantwortung","rufe","fragen","fragen","lintner","rufe","dr","vizepräsident","burkhard","finanzen","geiger","vizepräsidentin","rufe","staatsminister","otto","ludger","staatsminister","beim","kastner","herr","herr","kerstin","herr","fragen","herr","dr","staatsminister","fragen","petra","mittwoch","beantwortet","vizepräsidentin","bitte","vizepräsidentin","herr","bundesregierung","bundesministerin","katherina","naturschutz","bitte","nachfrage","innern","beim","nachfrage","dr","fragen","kollege","minister","peenewerft","ministerium","havel","berater","worden","herr"
"13","ausschuss","immunität","bundesministerium","bundesregierung","finanzen","vizepräsident","innern","beantwortung","bundesregierung","bekannt","verkehr","bekannt","herr","geschäftsbereich","herr","herrn","innern","post","jaeger","rufe","bundesregierung","bundesregierung","bundesregierung","fragen","rufe","jahn","innern","innern","vizepräsident","beantwortung","beantwortung","beantwortung","moersch","funcke","rufe","rufe","abgeordneter","auswärtigen","auswärtigen","bundesregierung","rufe","hassel","rufe","frau","rufe","frau","schoeler","frau","dohnanyi","abgeordneten","renger","kollege","kollege","wurbs","grüner","dr","windelen","würzbach","kollege","kollege","dr","westphal","kollege","kollege","dr","bitte","frau","staatsminister","bitte","rufe","abgeordneten","zusatzfragen","hans","wimmer","fragen","fragen","beantwortung","beantwortet","staatssekretärin","bundesregierung","bundesregierung","bundesregierung","rufe","staatsminister","vizepräsident","petra","anke","rufe","vizepräsident","volmer","rufe","bundesregierung","susanne","fritz","staatsminister","vizepräsident","fritz","finanzen","susanne","herr","rufe","geschäftsbereich","staatsminister","dr","dr","staatsminister","kollegin","dr","staatssekretärin","kollegin","beim","reaktorsicherheit","kollegin","herr","schriftlich","mittwoch","frau","schriftlich","schriftlich","staatssekretärin","gerne","bezüglich","auswärtigen","anfragen","angelegenheiten","bericht","bundeskanzlerin","merkel"
"14","frage","herrn","staatssekretär","präsident","post","beantwortung","gerstenmaier","betreffend","abgeordneter","vizepräsident","herr","innern","abgeordneter","bundesregierung","gerstenmaier","geschäftsbereich","rufe","rufe","dehler","schmid","auswärtigen","minister","fragen","bundesregierung","bundesministeriums","bundesministerium","abgeordneter","fragen","abgeordneter","geschäftsbereich","beantwortet","abgedruckt","schmittvockenhausen","beantwortet","abgedruckt","abgeordneter","herrn","rufe","dr","schmittvockenhausen","bundesregierung","abgeordneter","herrn","wischnewski","abgeordneter","abgeordneter","abgeordneter","abgeordneter","schoeler","bundesregierung","dr","dohnanyi","abgeordneten","zusatzfragen","renger","renger","abgeordneten","rufe","rufe","frau","rufe","frau","würzbach","beantwortung","kollege","kollege","bitte","fragen","fragen","spranger","vizepräsident","fragen","fragen","lintner","lintner","schriftlich","klein","lintner","eduard","fragen","hans","staatssekretärin","bundesregierung","fragen","rufe","dr","fuchs","dr","auswärtigen","bundesregierung","seiters","vizepräsidentin","herr","körper","fragen","innern","rudolf","lammert","bundesregierung","beantwortet","bundesministerin","beantwortet","zusatzfrage","beantwortet","kollegin","beim","herr","beantwortet","bitte","fragen","fragen","fragen","bundesregierung","staatsministerin","beantwortet","fragen","fragen","vizepräsidentin","innern","frau","auswärtigen","beantwortung","fragen","antwort","ministerin","vielen","fehler","bundeskanzleramt"
"15","ausschusses","bundesministerium","herrn","anfrage","anfrage","bundesregierung","abgeordneter","präsident","dring","herr","bekannt","herrn","finanzen","schmid","innern","bekannt","seiermann","fernmeldewesen","herrn","bekannt","minister","jaeger","bekannt","herrn","herrn","auswärtigen","arndt","köppler","fragen","fragen","vizepräsident","beantwortet","abgedruckt","abgedruckt","beantwortet","beantwortet","funcke","schmittvockenhausen","schmittvockenhausen","rufe","hassel","schmittvockenhausen","beantwortung","herrn","kollege","kollege","kollege","kollege","abgeordneter","herrn","abgeordneter","weitere","renger","kollege","kollege","abgeordneter","weiteren","dr","weitere","würzbach","würzbach","dr","frau","dr","abgeordneter","frau","spranger","schön","beantwortung","schön","echternach","dr","abgeordneten","kollegin","zusatzfragen","abgedruckt","geschäftsbereich","schriftlich","kollege","kollege","nitsch","dr","nitsch","vizepräsidentin","bundesministeriums","bitte","fragen","seiters","solms","vizepräsidentin","herr","rufe","vizepräsidentin","solms","rufe","herr","fragen","herr","vizepräsident","mittwoch","hendricks","herr","rufe","pau","herr","gerda","fragen","herr","frau","frau","eduard","frau","frau","kollegin","zusatzfrage","bundesministerin","beantwortet","fragen","beantwortet","innern","einschätzung","bekannt","auswärtige","bericht","kanzleramt","ja","nachfrage","angela"
"16","zusatzfrage","bekannt","strafverfahren","bekannt","bundesregierung","gerstenmaier","hartmann","bekannt","abgeordneten","bundespost","dring","vizepräsident","innern","präsident","bundesministers","fernmeldewesen","geschäftsbereich","minister","bekannt","herrn","jaeger","herrn","auswärtigen","bundesministeriums","fragen","schoettle","auswärtigen","auswärtigen","bundesministerium","schriftlich","saal","geschäftsbereich","fragen","schriftlich","fragen","fragen","beantwortet","herrn","abgeordneter","auswärtigen","herrn","beantwortung","haehser","beantwortung","frau","dohnanyi","stücklen","dohnanyi","zusatzfragen","renger","weitere","zusatzfragen","windelen","weitere","corterier","kollege","zusatzfragen","kollege","würzbach","beantwortung","weitere","fragen","fragen","bitte","staatsminister","fragen","würzbach","bitte","geschäftsbereich","fragen","kollege","abgeordneten","staatsministerin","zusatzfragen","dr","geschäftsbereich","zusatzfragen","renate","rufe","zusatzfragen","zusatzfragen","bundeskanzler","staatssekretärin","vizepräsident","bundesregierung","kollege","beantwortung","finanzen","hermann","amt","fragen","mittwoch","kollege","mittwoch","körper","rufe","solms","norbert","kastner","fragen","geschäftsbereich","bundesministerin","beantwortet","beantwortung","bundesministerin","hasselfeldt","bundesministerin","bitte","bundesministerin","eduard","oswald","reiche","beantwortet","beim","fragen","schriftlich","schriftlich","vizepräsident","geschäftsbereich","dr","worden","vielen","studie","auswärtige","herr","auswärtigen","vergaberecht","ja"
"17","berichterstatter","justiz","anfrage","spd","fernmeldewesen","bekannt","abgeordneten","beantworten","finanzen","abgeordneter","abgeordneter","präsident","jaeger","bundesministeriums","hettlage","hettlage","verkehr","geschäftsbereich","bundesregierung","minister","fragen","antwort","schoettle","beantworten","innern","innern","bundesministerium","schoettle","arndt","innern","fragen","fragen","schriftlich","fragen","schriftlich","finanzen","moersch","abgeordneter","beantwortet","amt","schmittvockenhausen","herrn","moersch","abgedruckt","herrn","schmittvockenhausen","renger","abgedruckt","herrn","abgeordneter","herrn","grüner","hammbrücher","herrn","frau","bitte","leber","weitere","zusatzfragen","abgeordneter","spranger","bitte","renger","fragen","würzbach","schön","kollege","riedl","schön","kollege","schön","weitere","abgedruckt","staatsminister","geschäftsbereich","grünewald","rufe","geschäftsbereich","beantwortung","nitsch","klein","kollege","auswärtigen","geschäftsbereich","amt","hendricks","bitte","hendricks","fragen","rufe","schulte","zusatzfrage","rufe","lammert","kastner","fragen","otto","vizepräsident","andres","vizepräsident","beantwortung","staatsminister","herr","innern","mittwoch","schriftlich","dr","mittwoch","göringeckardt","oswald","beantwortet","mittwoch","vizepräsidentin","fragen","kollegin","peter","hintze","ströbele","pau","claudia","regierungsbefragung","beantwortet","ministerin","einsetzung","bonn","nachfrage","ja","gerhard"
"18","genehmigung","wann","präsident","immunität","bekannt","jaeger","herrn","fernmeldewesen","verkehr","seiermann","finanzen","beantworten","bekannt","rufe","finanzen","finanzen","höcherl","bekannt","finanzen","bundesregierung","fernmeldewesen","auswärtigen","herrn","auswärtigen","beim","rufe","fragen","arndt","beantwortet","saal","reischl","dorn","abgeordneter","finanzen","geschäftsbereich","antwort","schmittvockenhausen","beantwortet","hassel","herrn","abgeordneter","beantwortet","antwort","funcke","baum","schoeler","hammbrücher","herrn","weitere","jäger","schoeler","frau","herrn","frau","leber","beantwortung","spranger","zusatzfragen","schulte","renger","abgeordneter","abgeordneter","beantwortung","schön","bitte","beantwortung","beantwortung","kollege","schriftlich","renger","beantwortung","kollegin","geschäftsbereich","schriftlich","eduard","dr","schriftlich","vizepräsident","fragen","beantwortet","hirsch","rufe","johannes","vollmer","finanzen","staatsminister","kollege","geschäftsbereich","kollege","rudolf","hendricks","dr","lammert","rudolf","beantwortet","mittwoch","hermann","mittwoch","schriftlich","auswärtigen","finanzen","mittwoch","finanzen","schriftlich","schriftlich","frau","beantwortet","schriftlich","katrin","bitte","vizepräsident","naturschutz","umwelt","beantwortet","energie","geschäftsbereich","peter","geschäftsbereich","frau","mittwoch","amt","erkenntnisse","bundeskanzlerin","gespräche","fragen","bundesregierung","giz","gerne"
"19","staatssekretär","genehmigung","vulkan","schreiben","fragestunde","verkehr","bekannt","gerstenmaier","innern","innern","innern","abgeordneter","verkehr","bekannt","herrn","post","bundesministers","sozialordnung","schmid","amts","bekannt","rufe","geschäftsbereich","finanzen","finanzen","benda","bundesministers","abgeordneter","geschäftsbereich","schmittvockenhausen","finanzen","innern","beantwortet","schmittvockenhausen","herrn","wirtschaft","abgedruckt","grüner","grüner","abgeordneter","beantwortet","antwort","schmittvockenhausen","schriftlich","stücklen","herrn","herrn","fragen","beantwortet","zusatzfragen","dohnanyi","herrn","zusatzfragen","bitte","wurbs","grüner","weitere","spranger","fragen","antwort","fragen","beantwortung","bitte","geschäftsbereich","beantwortung","voss","schön","renger","bundesministers","vizepräsidentin","bitte","geschäftsbereich","schriftlich","klein","staatssekretärin","beantwortet","beantwortet","zusatzfragen","innern","bundesministeriums","beantwortung","hirsch","geschäftsbereich","hansgeorg","innern","fragen","sozialordnung","kollege","rufe","mittwoch","finanzen","beantwortet","beantwortung","innern","rudolf","müller","mittwoch","bundesministerin","mittwoch","rufe","dr","dr","geschäftsbereich","staatsminister","bitte","geschäftsbereich","schriftlich","hansjoachim","beantwortet","bundesministerin","schriftlich","oswald","kollege","schriftlich","bitte","bitte","nachfrage","kollegin","ströbele","beck","erkenntnisse","kabinett","parlamentarische","möchte","ja","herrn","frau","rheinlandpfälzischen"
