"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundespost","bundespost","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","zwischenfrage","herr","herr","herr","zwischenfrage","herr","herr","herr","herr","herr","herr","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","herr","herr","zwischenfrage","herr","zwischenfrage","abgeordneter","herr","herr","herr","zwischenfrage","zwischenfrage","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","kollege","wort","wort","wort","wort","erteile","wort","erteile","erteile","wort","wort","wort","wort","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","ge","kollege","wort","kollege","schwöre","ei","zensus","pd","werbung","amtseid","rauchen","schwöre"
"2","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","herr","herr","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","herr","kollege","zwischenfrage","zwischenfrage","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","gestatten","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","herr","herr","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","zwischenfrage","abgeordneter","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","gestatten","abgeordneter","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","vizepräsident","bitte","vizepräsident","zwischenfrage","vizepräsident","kollege","kollege","vizepräsident","kollege","vizepräsident","kollege","kollege","zwischenfrage","zwischenfrage","wort","erteile","kollegin","erteile","kollegin","wort","erteile","wort","wort","erteile","erteile","erteile","kollege","wort","vizepräsidentin","wort","wort","vizepräsidentin","redner","wort","wort","wort","bitte","wort","wort","berufe","wort","vizepräsidentin","vizepräsidentin","wort","wort","kollege","wort","helfe","haushaltsplan","eib","dresden","rauchen","bad","ezigaretten","helfe"
"3","glaube","möchte","herrn","dr","möchte","möchte","herren","herren","herrn","minister","herrn","herrn","kollegen","dr","dr","damen","damen","präsident","herren","kollege","kollege","schäfer","bundespost","herren","herren","zwischenfrage","zwischenfrage","schmidt","zwischenfrage","zwischenfrage","gestatten","zwischenfrage","zwischenfrage","gestatten","zwischenfrage","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","herr","gestatten","abgeordneter","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","bundesminister","abgeordneter","bundesminister","abgeordneten","abgeordneter","herr","herr","abgeordneter","abgeordneter","abgeordneter","abgeordneter","abgeordneter","zwischenfrage","abgeordneter","bitte","bitte","vizepräsident","vizepräsident","zwischenfrage","vizepräsident","kollege","vizepräsident","bitte","bitte","bitte","kollege","vizepräsident","kollege","zwischenfrage","zwischenfrage","herr","wort","erteile","kollege","erteile","kollegen","erteile","kollegen","uhr","kollegen","kollegin","kollegin","kollegin","kollegin","kollegin","vizepräsidentin","wort","bitte","vizepräsidentin","wort","vizepräsidentin","bitte","bitte","bitte","redner","vizepräsident","redner","wort","kollegin","roth","redner","kollege","vizepräsidentin","erhält","vizepräsidentin","gott","erhält","freifunker","bedeutet","zigarette","gentechnik","prävention","gott"
"4","möchte","glaube","möchte","möchte","dr","herrn","möchte","ausführungen","gesagt","ausführungen","ausführungen","dr","gesagt","kollegen","damen","herren","herren","damen","damen","gebührenerhöhung","post","kollegen","post","zwischenfrage","dr","debatte","präsident","zwischenfrage","kollegen","gestatten","zwischenfrage","gestatten","gestatten","kollege","gestatten","abgeordneten","kollege","kollege","kollege","kollege","kollege","kollege","kollege","abgeordneten","abgeordneter","bundesminister","abgeordneter","abgeordneter","bundesminister","bundesminister","abgeordneter","bitte","medienbericht","abgeordneter","schön","dr","gestatten","kollege","abgeordneter","kollege","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","herr","bitte","bitte","vizepräsident","vizepräsident","bitte","bitte","bitte","zwischenfrage","bitte","bitte","kollege","vizepräsident","vizepräsident","bitte","bitte","zwischenfrage","bitte","bitte","bitte","bitte","kollegen","kollegen","zwischenfrage","zwischenfrage","kollegen","kollegin","kollegen","kollegin","kollegen","kollege","dr","kollegen","vizepräsidentin","kollegin","bitte","kollegin","bitte","kollegin","wort","kollegin","redner","vizepräsident","vizepräsident","bitte","bitte","freien","vizepräsidentin","claudia","wort","men","erhält","redner","kollegin","wahr","sachzwänge","eukommissare","ratlos","tabakwerbung","mehrzahl","cent","inflation"
"5","herrn","herren","gesagt","herrn","ausführungen","dr","dr","damen","herren","herrn","gesagt","gesagt","herrn","ausführungen","kollegen","ausführungen","kollegen","herren","kollegen","erler","herren","herren","luda","dr","gestatten","gestatten","dr","gestatten","gestatten","kollegen","vizepräsident","dr","dr","abgeordneten","dr","schmidt","vizepräsident","abgeordneter","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","kollege","abgeordneten","abgeordneter","abgeordneten","abgeordneten","gestatten","abgeordneten","bundesminister","abgeordneter","abgeordneter","bitte","abgeordneter","abgeordneter","bundesminister","dr","erlauben","abgeordneten","abgeordneten","bitte","bitte","bitte","bitte","bitte","bitte","gestatten","gestatten","abgeordneter","gestatten","gestatten","cronenberg","kollege","bohl","zwischenfrage","kollege","dieterjulius","zwischenfrage","zwischenfrage","kurzintervention","zwischenfrage","bitte","vizepräsident","gestatten","gestatten","herr","zwischenfrage","zwischenfrage","kollegen","kollegin","zwischenfrage","kollege","kollege","kollege","kollege","kollegen","kollegen","vizepräsident","bitte","bitte","kollegin","vizepräsidentin","kollegin","bitte","bitte","herr","vizepräsidentin","herr","wort","redner","vizepräsident","vizepräsident","redner","redner","karenzzeit","vizepräsidentin","redner","nächste","redner","geschäftsordnung","unterbrochen","mindestalter","kraftlos","ezigaretten","pannen","liquids","politik"
"6","herren","herrn","sagen","kollegen","herren","glaube","ausführungen","herrn","damen","gesagt","herren","herren","ausführungen","herren","herrn","kollegen","dr","dr","dr","post","damen","erler","erler","damen","opposition","dr","gestatten","mischnick","parlamentsreform","dr","kollegen","schäfer","vizepräsident","dr","vizepräsident","kollege","herrn","abgeordneten","abgeordneter","abgeordneter","abgeordneter","abgeordneter","vizepräsident","abgeordneter","bitte","abgeordneten","bitte","bitte","bitte","medien","herrn","abgeordneten","weirich","abgeordneten","bitte","gestatten","ehmke","apel","gestatten","gestatten","bitte","abgeordneten","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","gestatten","abgeordneten","abgeordneten","gestatten","cronenberg","kollege","dieterjulius","gestatten","zwischenfrage","hans","gestatten","zwischenfrage","gestatten","gestatten","gestatten","vizepräsident","vizepräsident","kollegin","kollegin","kollegin","hermann","kollege","hermann","zwischenfrage","kollegin","vizepräsident","vizepräsident","dr","kollege","dr","dr","göringeckardt","susanne","katrin","dr","redner","kollegin","vizepräsidentin","solms","redner","herr","kollegin","kollegin","redner","bitte","wort","cducsufraktion","redner","kollegin","vizepräsidentin","spdfraktion","kollege","letzte","daniel","herren","zigaretten","dummen","regierenden","devise"
"7","dr","ausführungen","dr","gesagt","glaube","herren","damen","dr","dr","glaube","minister","damen","damen","damen","ausführungen","herrn","präsident","zwischenfrage","zwischenfrage","damen","zwischenfrage","damen","schiller","herrn","koalition","damen","schmidt","dorn","geschäftsordnung","herrn","dr","vizepräsident","strauss","vizepräsident","abgeordneten","mende","abgeordneten","wehner","bitte","vizepräsident","herrn","vizepräsident","herrn","vizepräsident","kollege","bitte","herrn","kollege","luxemburg","klein","bitte","medien","bitte","herrn","bundesminister","stoltenberg","bitte","erlauben","kollege","bundesminister","redezeit","vizepräsident","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","abgeordneten","pds","abgeordneter","abgeordneter","dieterjulius","bundesminister","cronenberg","cronenberg","cronenberg","gestatten","kollegen","gestatten","dr","kollegin","dr","kollegin","kollegen","kollegen","otto","bitte","solms","gestatten","kollege","gestatten","zwischenfrage","dr","zwischenfrage","zwischenfrage","bitte","kollege","zwischenfrage","katrin","kastner","dr","erhält","zwischenfrage","herr","erhält","otto","kollegin","kollegin","erhält","schön","bitte","claudia","nächste","nächste","ver","cducsufraktion","claudia","erhält","herr","dank","kapitalausstattung","politik","tabak","pleiten","sport","wahr"
"8","antrag","dr","glaube","glaube","herrn","gesagt","herrn","gesagt","kollegen","möchte","dr","ausführungen","dr","herrn","sache","dr","sache","kollegen","präsident","herren","kollegen","dr","schmid","kollegen","zwischenfrage","kollegen","herrn","präsident","präsident","vizepräsident","herrn","herrn","herrn","redezeit","herrn","herrn","bitte","vizepräsident","herrn","bitte","bitte","herrn","dr","bitte","vizepräsident","vizepräsident","kollege","herrn","herrn","bitte","posser","bundesminister","vizepräsident","vizepräsident","herrn","herrn","minister","abgeordneten","bitte","erlauben","vizepräsident","redezeit","redezeit","redezeit","redezeit","kollege","redezeit","schäuble","stücklen","redezeit","abgeordneter","redezeit","abgeordneten","gestatten","dieterjulius","gestatten","dieterjulius","gestatten","klein","kurzintervention","klose","kollegin","dr","kurzintervention","dr","kollegin","solms","solms","vizepräsidentin","kollege","bitte","solms","vizepräsident","dr","csufraktion","dr","gestatten","schön","bitte","herr","dr","katrin","redner","redner","erhält","zwischenfrage","otto","dr","erhält","zwischenfrage","schön","zwischenfrage","schön","zwischenfrage","cducsufraktion","erhält","ten","claudia","spdfraktion","nächste","kollegen","trauerspiel","sprachlicher","problemlösung","werbeverbot","bundesinnenministeriums","antrag","lose"
"9","kollegen","gesagt","kollegen","ausführungen","dinge","kollegen","kollegen","möchte","möchte","herren","damen","kollegen","vizepräsident","präsident","präsident","präsident","ausführungen","ausführungen","mommer","präsident","erler","präsident","herren","starke","kollegen","herren","dorn","herren","schmidt","strauss","abgeordneten","abgeordneten","abgeordneten","minuten","wehner","erklärung","dr","herrn","vizepräsident","dr","vizepräsident","dr","abgeordneter","bundesminister","bundesminister","kollege","schön","bundesminister","abgeordneten","schwarzschilling","abgeordneten","herrn","schön","kühbacher","kollege","bitte","abgeordneten","stoltenberg","vizepräsident","bitte","kollege","angerechnet","kollege","kollege","cronenberg","redezeit","frau","frau","bundesminister","stücklen","juden","dr","dieterjulius","redezeit","gestatten","abgeordneter","hans","schön","dr","hirsch","klein","hirsch","kurzintervention","kollegin","kurzintervention","vizepräsidentin","hermann","hermann","otto","bitte","vizepräsidentin","bitte","dr","vizepräsident","zwischenfrage","bitte","vizepräsident","vizepräsident","spdfraktion","erteile","herr","dr","schön","zwischenfrage","dr","dr","redner","vizepräsident","vizepräsidentin","schön","herr","erhält","herr","cducsufraktion","kollegin","bitte","erhält","roth","kollegin","dank","afd","fehlte","geschäftsordnung","überwiegend","tabakindustrie","draussen","aufruf","totalitäre"
"10","sagen","kollegen","herren","sagen","damen","ausführungen","gesagt","kollegen","ausführungen","damen","kollegen","vizepräsident","präsident","zwischenfrage","herren","zwischenfrage","herrn","brese","opposition","zwischenfrage","dr","zwischenfrage","gestern","gestatten","spd","herrn","kollegen","vizepräsident","genscher","minuten","damen","spd","minuten","bitte","schmittvockenhausen","schmittvockenhausen","abgeordneter","dr","dr","herrn","dr","bitte","bitte","herrn","dr","herrn","redezeit","vizepräsident","hauff","abgeordneter","dr","vizepräsident","rundfunk","haase","vizepräsident","apel","kollege","gestatten","bundesminister","apel","ostkollegs","kollege","cronenberg","mainz","westphal","frau","angerechnet","redezeit","redezeit","schön","stücklen","kollege","ullmann","abgeordneter","cronenberg","redezeit","becker","dr","kollegen","dr","hansulrich","kollegen","klose","hirsch","burkhard","otto","gestatten","dr","hermann","vizepräsident","spdfraktion","gestatten","solms","herr","uhr","uhr","bitte","zwischenfrage","lammert","redezeit","zwischenfrage","göringeckardt","zwischenfrage","göringeckardt","herr","gerda","solms","herr","schön","dr","dr","göringeckardt","kollegin","herr","herr","herr","nächste","nächste","cducsufraktion","geschäftsordnung","dank","geschäftsordnung","gemeinnützigkeit","kommunaler","ezigarette","schon","bord","mehren"
"11","damen","sagen","damen","herren","kollegen","sagen","sagen","frage","debatte","kollegen","bundesminister","minister","herren","vizepräsident","zwischenfrage","koalition","zwischenfrage","herrn","ausführungen","dr","präsident","ausführungen","damen","schiller","gesagt","geschäftsordnung","genscher","fraktion","vizepräsident","herren","barzel","kollegen","abgeordneter","herrn","bundeskanzler","abgeordneter","schmittvockenhausen","bitte","schäfer","funcke","schön","lenz","schön","dr","herrn","dr","bundesminister","dr","genscher","herrn","minister","schwarzschilling","herrn","riedl","abgeordneten","abgeordneten","renger","bitte","apel","stoltenberg","abgelaufen","cronenberg","abgelaufen","angerechnet","schwöre","angerechnet","kollege","bundesminister","frau","angerechnet","redezeit","pdslinke","kollege","abgeordneten","abgeordneter","helmuth","klein","kleinert","hirsch","burkhard","wort","wort","hansulrich","burkhard","kollegen","dr","otto","bitte","solms","otto","hermann","otto","cducsufraktion","solms","herr","solms","vizepräsidentin","hermann","norbert","kollegen","schön","schön","herr","katrin","katrin","susanne","nächste","hermann","dr","solms","zwischenfrage","cducsufraktion","dr","roth","dank","claudia","kollegin","zwischenfrage","roth","cducsufraktion","wort","weiterführen","ausgründung","allianz","nikotin","feierlich","abgelehnt","antrag"
"12","ja","damen","ausführungen","debatte","sagen","damen","dinge","hause","vizepräsident","vizepräsident","spiegel","frage","zwischenfrage","gesagt","gesagt","opposition","debatte","hause","gestatten","schäfer","gebührenerhöhung","gestatten","zwischenfrage","debatte","bundeskanzler","schmidt","herren","genscher","abgeordneten","damen","wort","gesagt","gesagt","stücklen","kollegen","wort","kollegen","carstens","carstens","cducsu","jaeger","jaeger","frau","frau","graf","frau","vizepräsident","schön","radio","fernsehen","nordrheinwestfalen","öffentlichrechtlichen","ministerpräsident","radio","warnke","vizepräsident","vizepräsident","eid","dr","vizepräsident","schön","abgelaufen","schön","renger","helfe","renger","cronenberg","kollege","cronenberg","cronenberg","gruppe","cronenberg","redezeit","klein","staatsnotstand","abgeordneten","redezeit","heuer","ja","wort","hans","klein","burkhard","wort","hirsch","wort","dr","herr","herr","dr","solms","vizepräsidentin","bitte","bitte","spdfraktion","hermann","norbert","herr","aussengastronomie","katrin","susanne","redner","göringeckardt","nächste","nächste","nächste","dr","zwischenfrage","otto","hermann","cducsufraktion","herr","erhält","erhält","danke","rednerin","spdfraktion","spdfraktion","zwischenfrage","bitte","konstituierende","objektiv","hilfsfonds","demokratie","produkt","planbare","je","nachbesserungen"
"13","gesagt","dinge","heute","worden","gesagt","präsident","glaube","sagen","gesprochen","dr","vizepräsident","präsident","abgeordneter","fraktion","vizepräsident","vizepräsident","wehner","wort","morgen","gestatten","gestatten","herrn","gestatten","hermsdorf","schmidt","genscher","vizepräsident","herrn","regierung","fraktion","funcke","bitte","bitte","nölling","minuten","damen","wehner","müllerhermann","wehner","carstens","cducsu","graf","graf","schön","schön","schön","frau","frau","zusatzfrage","pilotprojekte","schwöre","medienpolitischen","öffentlichrechtlichen","schön","gott","lambsdorff","herrn","herrn","schily","dr","bundesminister","schön","schluss","cronenberg","kollege","westphal","renger","kreditanstalt","schön","zwischenfragen","wüppesahl","ullmann","präsident","pdslinke","friedrich","heuer","helmuth","kurzintervention","burkhard","klein","kollegin","burkhard","wort","vizepräsidentin","wort","solms","vizepräsidentin","gestatten","vizepräsident","vizepräsidentin","otto","dr","spdfraktion","hermann","fraktion","tourismuswirtschaft","schluss","vizepräsidentin","gestatten","schön","erteile","herr","erhält","herr","göringeckardt","cducsufraktion","göringeckardt","kollegin","solms","erhält","nächster","katrin","otto","nächste","zwischenfrage","kollegin","nen","dank","csufraktion","fraktion","redner","afdfraktion","allerdings","tollhaus","aussenwerbung","ratlos","dieselöl","europa"
"14","heute","antrag","frage","ja","darüber","synode","vizepräsident","glaube","glaube","worden","möchte","abgeordneter","frage","frage","fdp","sagen","gesagt","hauses","glaube","kollegen","postverwaltungsgesetzes","sagen","spd","bundesbank","präsident","präsident","fdp","kollegen","herrn","redezeit","strauss","cducsu","kollegen","spd","bitte","kollegen","althammer","funcke","franke","frau","frau","franke","vogel","herzlichen","stücklen","lambsdorff","dr","wehner","schön","kollege","eid","renger","kollege","gärtner","dr","kollege","dr","schwöre","schön","offergeld","schluss","renger","stücklen","mainzer","bundesminister","cronenberg","stücklen","jordanien","kollege","kollege","westphal","dieterjulius","abgeordnete","heuer","gansel","hans","dr","hans","präsident","ja","dr","kurzintervention","hirsch","klose","vizepräsidentin","schön","erteile","vizepräsident","dr","herr","hinsken","vizepräsident","otto","spdfraktion","gestatten","fraktion","kastner","gestatten","zwischenfrage","susanne","redezeit","frau","vizepräsident","schön","schön","kastner","zwischenfrage","erhält","hermann","otto","hermann","vizepräsidentin","nächster","danke","bitte","roth","gen","bitte","fraktion","vielen","schriftsatz","antrag","weckruf","beschäftigt","pd","hotelmeldepflicht","ezigarette","bundesregierungen"
