"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","entwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","entwurf","entwurf","entwurf","gesetz","gesetz","entwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","vermittlungsausschuss","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf"
"2","ausschuss","ausschuss","ausschuss","entwurf","gesetzentwurf","gesetzentwurf","entwurf","gesetzentwurf","gesetz","entwurf","gesetz","entwurf","entwurf","entwurf","gesetzentwurf","entwurf","entwurf","gesetz","gesetz","gesetz","entwurf","regelung","gesetz","entwurf","entwurf","entwurf","regelung","entwurf","entwurf","entwurf","entwurf","entwurf","gesetzentwurf","entwurf","entwurf","gesetzes","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzes","gesetzes","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","entwurf","gesetz","entwurf","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","regelung","gegebene","gegebene","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz"
"3","gesetzes","gesetzentwurf","entwurf","ausschuss","entwurf","entwurf","gesetzentwurf","gesetzes","entwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","regelung","regelung","gesetzes","regelung","regelung","regelung","gesetzes","entwurf","beratungen","gesetzes","gesetzes","gesetzes","entwurf","gesetzes","gesetzes","gesetzes","alterskassen","gesetzentwurf","entwurf","gesetzentwurf","gesetzentwurf","regelung","entwurf","entwurf","gesetzes","gesetzes","gesetzes","gesetzentwurf","vermittlungsausschuss","gesetzes","entwurf","gesetzes","entwurf","gesetzes","entwurf","entwurf","bundesrat","entwurf","entwurf","bundesrat","bundesrat","entwurf","gesetzentwurf","regelung","entwurf","entwurf","entwurf","entwurf","regelung","entwurf","regelung","entwurf","entwurf","regelung","regelung","entwurf","entwurf","regelung","entwurf","regelung","regelung","entwurf","entwurf","regelung","regelung","regelung","verfahren","entwurf","entwurf","regelung","regelung","regelung","regelung","regelung","entwurf","regelung","regelung","entwurf","regelung","entwurf","regelung","regelung","regelung","regelungen","regelung","regelung","regelung","regelung","regelung","regelung","regelungen","regelung","regelung","regelung","richtlinie","protokoll","gesetz","gesetz","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","verfahren","verfahren","regelung","verfahren","regelung","verfahren","anhörung","verfahren"
"4","worden","entwurf","gesetzentwurf","gesetzes","gesetzes","gesetzes","gesetzes","entwurf","gesetzes","gesetzes","bundesregierung","vorlage","bestimmungen","gesetzes","bestimmungen","gesetzentwurf","gesetzentwurf","gesetzes","gesetzes","gesetzentwurf","gesetzentwurf","lesung","gesetzentwurf","gesetzentwurf","bedenken","gesetzentwurf","abs","gesetzentwurf","ausschuss","gesetzentwurf","gesetzentwurf","gesetzes","gesetzes","gesetzes","gesetzes","vermittlungsausschusses","bundesrat","bundesrat","bundesrat","entwurf","entwurf","vermittlungsausschuss","abs","entwurf","gesetzes","bundesrates","regelung","entwurf","gesetzes","gesetzes","entwurf","gesetzes","regelung","entwurf","gesetz","vermittlungsausschusses","regelung","entwurf","regelung","regelung","regelung","regelung","entwurf","regelung","entwurf","regelung","regelung","entwurf","entwurf","regelung","abs","entwurf","regelung","entwurf","regelungen","regelung","regelung","regelungen","entwurf","entwurf","regelung","regelung","regelung","entwurf","anhörung","entwurf","entwurf","entwurf","regelung","entwurf","entwurf","regelung","regelungen","regelung","regelungen","entwurf","regelungen","entwurf","regelungen","regelungen","anhörung","regelungen","regelungen","regelungen","regelung","regelungen","regelungen","regelungen","regelung","regelung","regelungen","regelungen","protokoll","regelungen","änderungen","unternehmen","verfahren","regelungen","verfahren","anhörung","regelung","regelung","verfahren","regelung","bundesverfassungsgericht","regelung","regelung","regelung"
"5","entwurf","vorlage","gesetzes","vorlage","ausschuss","beratungen","vorliegenden","ausschuss","vorlage","vorlage","vorlage","gesetzes","regelung","regelung","entwurf","gesetzes","regelung","gesetzentwurf","vorlage","bestimmungen","bestimmungen","bestimmung","legislaturperiode","regelung","gesetzentwurf","vorlage","gesetzes","vorlage","regelung","ausschuss","gesetzes","regelung","regelung","regelung","regelung","vermittlungsausschuss","gesetzes","gesetzes","entwurf","regelung","regelung","regelung","bundesrat","regelung","regelung","entwurf","gesetzes","bundesrat","bundesrat","regelung","gesetzes","regelung","bundesrat","gesetzentwurf","regelung","regelung","bundesrat","bundesrat","abs","gesetzes","gesetzes","regelungen","gesetzes","bundesrat","gesetzliche","bundesverfassungsgericht","bundesverfassungsgericht","gesetzes","regelungen","gesetzes","gesetzgeber","gesetzes","gesetzes","regelungen","verfahren","regelungen","regelungen","entwurf","regelungen","anhörung","entwurf","regelungen","regelungen","regelungen","regelungen","regelungen","regelungen","regelungen","verfahren","verfahren","verfahren","regelungen","entwurf","regelungen","entwurf","regelungen","entwurf","regelung","entwurf","entwurf","regelungen","gesetzgeber","verfahren","verfahren","verfahren","verfahren","abs","richtlinie","abs","gegebene","gegebene","abs","bereits","änderung","regelungen","regelungen","regelungen","verfahren","unternehmen","verfahren","bundesverfassungsgericht","datenschutzgrundverordnung","richtlinie","anhörung","verfahren","regelungen","änderung","anhörung"
"6","gesetzentwurf","gesetzes","regelung","gesetzentwurf","beratungen","bundesregierung","beratungen","lesung","gesetzentwurfs","bundesregierung","regelung","bundesregierung","gesetzes","vorlage","gesetzes","bundesregierung","bestimmungen","gesetzentwurfs","gesetzentwurfs","vorlage","bundesrat","bestimmungen","bestimmungen","prüfung","regelung","regelung","gesetzentwurf","bedenken","beratungen","vorlage","vorlage","regierungsentwurf","bundesrat","beratungen","beratungen","bundesrat","bundesrates","regelung","vermittlungsausschuss","bundesrat","bundesrat","entwurf","gesetzentwurf","abs","bundesrat","regelung","bundesrat","regelung","regelung","bundesrat","vorschriften","bundesrat","gesetzes","regelung","vermittlungsausschuss","bundesrat","länder","gesetzes","gesetzes","novelle","verfahren","änderung","änderung","verfahren","grundgesetz","gesetzes","bundesrat","regelungen","bundesrat","rechtsprechung","vermittlungsausschuss","regelungen","regelungen","bundesrat","entwurf","gesetzes","gesetzes","gesetzes","gesetzes","regelungen","genehmigungsverfahren","verfahren","verfahren","anhörung","entwurf","gesetzes","anhörung","anhörung","bundesverfassungsgericht","regelungen","regelungen","anhörung","bundesrat","gesetzgeber","bundesrat","anhörung","richtlinie","anhörung","verfahren","gesetzes","verfahren","gesetzes","anhörung","entwurf","entwurf","änderungen","daten","gegebene","regelungen","abs","richtlinie","regelung","abs","verfahren","bereits","verfahren","unternehmen","anhörung","regelungen","regelungen","regelungen","bundesverfassungsgericht","regelungen","richtlinie","anhörung","anhörung","verfahren","regelungen"
"7","vorlage","regelung","lesung","beratungen","regelung","vorliegenden","ausschuss","regelung","regelung","regelung","ausschuss","bestimmungen","bundesregierung","bundesregierung","verabschiedet","lesung","bundesregierung","bestimmungen","bestimmungen","gesetzes","regelung","gesetzentwurf","regelung","anmeldungen","vorlage","bedenken","rechtsausschuss","regelung","gesetzentwurf","bundesrat","bedenken","ausschuss","lesung","beratung","bundesrat","bundestages","regelung","bundesrates","regelung","beratungen","bundesrates","bundesrat","regelung","bundesrat","beratungen","bundesrat","bundesrates","bundesrates","gesetzentwurfs","bundesrates","regelung","bundesrates","novelle","änderung","bundesrates","vermittlungsausschuss","abs","beratungen","regelungen","bundesverfassungsgerichts","bundesrat","bundesrat","verfahren","gesetzes","lesung","abs","verfahren","bundesrat","gesetzes","beratungen","regelung","art","bundesrates","gesetzes","gesetzes","verfahren","gesetzgeber","abs","abs","bundesrat","anhörung","gesetzgeber","gesetzgeber","beratungen","bundesrates","anhörung","gesetzes","gesetzes","regelungen","praxis","anhörung","gesetzes","verfahren","änderung","verfahren","bundesrat","anhörung","richtlinie","richtlinie","richtlinie","entwurf","entwurf","entwurf","gesetzes","daten","abs","richtlinie","protokoll","gegebene","vorliegenden","abs","protokoll","verfahren","vorliegenden","änderung","entwurf","entwurf","gesetzgeber","entwurf","entwurf","urteil","regelungen","bundesverfassungsgericht","regelungen","urteil","entwurf","entwurf","entwurf"
"8","regelung","worden","worden","regierungsentwurf","bedenken","ausschuss","vorlage","vorliegenden","beratungen","gesetze","bestimmungen","vorschriften","vorschriften","bestimmungen","vorlage","vorlage","lesung","vorliegenden","gesetzentwurf","gesetzentwurfs","vorlage","regierungsvorlage","gesetzes","vorlage","bestimmungen","ausschuss","beratungen","bundesrat","ausschüsse","regierungsvorlage","ausschuss","beratungen","bundesrates","lesung","abs","entwurf","beratungen","vermittlungsausschuss","beratungen","ausschuss","vorschriften","vorschriften","entwurf","bundesrates","bundesrates","abs","beratungen","beratungen","beratungen","lesung","regelungen","beratungen","verfahren","abs","beratungen","gesetzes","finanzausgleich","änderung","bundesrat","regelungen","anhörung","gesetzes","bundesverfassungsgericht","regelungen","verfahren","gesetzgeber","abs","beratungen","änderung","bundesrat","regelungen","bundesrat","abs","verfahren","abs","bundesrat","bundesverfassungsgericht","bundesrat","gesetzgeber","bundesrates","regelungen","anhörung","gesetzes","gesetzes","gesetzes","beratungen","verfahren","änderung","abs","gesetzgeber","gesetzgeber","grundgesetz","gesetzgeber","bundesrat","bundesrates","verfahren","verfahren","recht","bundesrat","gesetzgeber","gesetzgeber","anhörung","bundesverfassungsgericht","urteil","gegebene","entwurf","elena","bereits","bereits","regelungen","betroffenen","bereits","regelungen","bereits","vorliegenden","vorliegenden","künftig","entwurf","anhörung","daten","unternehmen","anhörung","entwurf","entwurf","entwurf","gesetzes","änderungsantrag","gesetzes"
"9","lesung","bundesrat","beratungen","bundesrat","vorlage","gesetzentwurfs","regelung","gesetzentwurfs","bundesregierung","bestimmungen","bereits","rechtsausschuss","vorlage","gesetzentwurfs","verabschiedung","beratungen","bedenken","gesetzen","verabschiedung","regierungsvorlage","beratungen","vorschriften","vorlage","patentamt","verabschiedung","gesetzentwurfs","bedenken","ausschuss","vorlage","legislaturperiode","regelung","verabschiedung","regierungsentwurf","ausschuss","bundesrates","fassung","abs","beratungen","bundesrates","vorliegenden","vermittlungsausschuss","beratungen","bundesrates","beratungen","begründung","beratungen","gesetzentwurfs","abs","vorschriften","beratungen","bundesrates","vorliegenden","beratungen","vermittlungsausschusses","verfahren","bundesrates","regelungen","bundesrates","beratungen","gesetzgeber","gesetzgeber","rechtsprechung","anhörung","anhörung","gesetzes","bundesrat","rechtsprechung","bundesverfassungsgericht","beratungen","regelungen","art","abs","gesetzentwurfs","anhörung","bundesrat","gesetzentwurfs","abs","art","bundesrates","bundesverfassungsgericht","bundesrat","bundesrates","anhörung","art","art","verfahren","beraten","praxis","grundgesetzes","änderung","betroffenen","vorliegenden","bundesverfassungsgerichts","vorliegenden","rechtsprechung","praxis","gesetzes","gesetzes","lesung","verfahren","änderungen","änderungen","änderungen","änderungen","vorliegenden","gegebene","vorliegenden","änderungen","protokoll","verfahren","protokoll","verfahren","daher","änderungen","verfahren","richtlinie","praxis","daten","künftig","änderungen","rechtsprechung","unternehmen","artikel","absatz","änderungen","bundesverfassungsgericht","regelungen","bundesverfassungsgericht"
"10","bundesrat","bedenken","verabschiedung","lesung","bundesregierung","bundesrat","gesetze","verabschiedung","gesetze","materie","gesetzes","gesetzentwurfs","verabschiedet","bundesrat","beratungen","gesetzentwurfs","gesetzen","gesetze","verabschieden","materie","vorliegenden","verabschiedung","reform","verabschiedung","lesung","vorliegende","bundesrat","beratungen","ausschüssen","bedenken","beraten","gesetzentwurfs","verabschiedung","regierungsvorlage","lesung","erklärung","änderung","regelungen","änderung","abs","änderung","abs","vorschriften","ausschuss","vorschriften","änderungen","vorschriften","vermittlungsausschuss","bundesrates","vermittlungsausschuss","beratungen","beraten","bundesrates","bundesrates","gesetzes","beratungen","bundesergänzungszuweisungen","beraten","gesetzgeber","bundesrat","änderung","bundesverfassungsgericht","beratungen","bundesrates","änderung","bundesverfassungsgerichts","beraten","gesetzgeber","verfahren","änderung","bundesrat","beratungen","bundesrat","abs","genehmigungsverfahren","bundesrates","art","beratungen","beratungen","beraten","gesetzgeber","bundesrat","vorliegenden","bundesrates","novelle","verfassungsrechtlich","betroffenen","vorliegenden","änderungen","bgb","gesetzes","verfahren","bundesverfassungsgericht","gesetzes","vorliegenden","änderungen","änderungen","freitag","recht","bundesverfassungsgericht","gesetzes","bundesverfassungsgericht","gesetzgeber","vorliegenden","änderungen","bereits","bereits","verfahren","verfahren","änderung","daten","richtlinie","jedoch","anhörung","transparenz","gesetzes","daten","änderungen","geregelt","rechtssicherheit","eugh","änderungen","anhörung","bundesverfassungsgericht","regelungen","änderung","gesetzes","änderungen"
"11","bundesregierung","bundesregierung","vorlage","worden","bundesrat","regelung","gesetzentwurfs","bundesrat","ausschuss","apotheke","regierungsentwurf","beratungen","gesetzliche","regierungsentwurf","bundesregierung","auffassung","einzelnen","beratungen","entwurfs","novelle","änderungen","abs","finanzgerichtsordnung","ausschüssen","rechtsausschuss","legislaturperiode","vorlage","rechtsausschuss","legislaturperiode","regelung","abs","vorlage","abs","vorlage","änderung","fraktionen","beratung","vorliegenden","vorliegenden","lesung","beratungen","bundesrates","regelungen","lesung","vorliegenden","änderung","regelungen","lesung","regelungen","gesetzentwurfs","lesung","verfahren","regelungen","beratungen","regelungen","änderung","recht","verfahren","bestimmungen","verfahren","regelungen","anhörung","regelungen","beratungen","gesetzgeber","regelungen","gesetzes","änderung","bundesverfassungsgericht","abs","lesung","verfahren","landeszentralbanken","gesetzgeber","art","bundesverfassungsgericht","anhörung","änderungen","banken","gesetzgeber","abs","gesetzes","bundesrates","verfahren","vorliegenden","insolvenzordnung","bundesrates","rechtsprechung","betroffenen","abs","bundesrat","betroffenen","recht","recht","recht","vorliegenden","betroffenen","verfahren","informationsfreiheitsgesetz","grundgesetz","bedenken","verfahren","änderung","beratungen","abs","vorliegenden","verfahren","abs","vorliegenden","betroffenen","verfahren","vorliegenden","gesetz","daten","anhörung","daten","anhörung","transparenz","änderung","sachverständigen","gericht","artikel","änderung","gesetzes","daten","änderungsantrag","änderungen","änderung"
"12","bedenken","lesung","vorgelegt","regelung","vorliegenden","bedenken","bundesregierung","bedenken","mängel","beratungen","gesetzentwurfs","ausschuss","beratungen","beratungen","lesung","ausschuss","vorlage","verabschiedet","jedoch","bundesrat","verabschieden","regelungen","verabschiedet","gesetzentwurfs","vorliegenden","regierungsentwurf","bestimmung","gesetzentwurfs","bedenken","ausschüssen","begrüssen","demokraten","ausschuss","änderung","beratung","wurde","koalitionsfraktionen","regierungsentwurf","ausschuss","vorschriften","gesetzentwurfs","lesung","vorliegende","gesetzentwurfs","beratung","verfahren","novelle","novelle","lesung","vorliegenden","klein","regelungen","änderung","gesetzes","abs","betroffenen","bundesrates","abs","bundesverfassungsgericht","änderung","vorliegenden","verfahren","novellierung","lesung","beratungen","verfahren","beratungen","beraten","gesetzgeber","gesetzgeber","gesetzes","bundesverfassungsgericht","vorliegenden","bundesrates","bundesrates","betroffenen","rechtsprechung","vorliegenden","bundesrat","abs","bundesverfassungsgericht","betroffenen","beratungen","änderung","beratungen","vorliegenden","recht","verfahren","änderung","anhörung","bundesverfassungsgericht","gesetzgeber","barwertverordnung","anhörung","gesetzgeber","gesetzes","bundesrat","bundesverfassungsgericht","betroffenen","betroffenen","grundgesetz","entscheidung","reform","anhörung","praxis","änderung","änderung","praxis","änderungen","bereits","änderung","recht","grundsätzlich","entwurf","entwurf","änderungen","richtlinie","unternehmen","gesetzes","datenschutz","entwurf","urteil","absatz","änderung","bundesverfassungsgerichts","absatz","absatz","gesetzgeber"
"13","einzelnen","behandlung","bedenken","bedenken","gesetzentwurfs","vorlage","bedenken","gesetze","legislaturperiode","regierungsvorlage","materie","verabschiedung","regierungsentwurf","ausschussberatungen","ausschuss","entwurfs","regelungen","vorlage","gesetzen","neuregelung","ausschuss","aktiengesellschaft","gesetze","legislaturperiode","regierungsentwurf","beraten","zustimmung","abs","rechtsausschuss","regierungsentwurf","lesung","beratung","beratungen","regierungsentwurf","vorliegenden","damen","ausschuss","änderung","verabschiedung","regierungsentwurf","vorliegenden","bestimmungen","änderung","änderung","abs","vermittlungsausschuss","vorliegenden","gesetzentwurfs","beratung","abs","betroffenen","gesetzentwurfs","bereits","verfahren","änderung","kleingärten","betroffenen","änderungen","bundesrates","bundesverfassungsgericht","beratungen","abs","bundesrates","gesetzgeber","bundesverfassungsgericht","begründung","gesetzliche","änderungen","novelle","änderungen","änderung","gesetzgeber","recht","gesetzentwurfs","gesetzgeber","vorliegenden","bundesrat","anhörung","anhörung","kompromiss","bundesrates","bundesverfassungsgericht","bundesrat","bundesrat","praxis","änderung","beratungen","betroffenen","gesetzes","bundesrat","änderung","änderung","praxis","richtlinie","betroffenen","lesung","bundesverfassungsgericht","bundesrat","beraten","gesetze","bundesrat","vorliegenden","grundgesetz","entscheidung","gesetzgeber","gesetzgeber","gegebene","änderung","daher","jedoch","bereits","änderung","vorliegenden","praxis","daten","anhörung","änderungen","künftig","praxis","vorliegenden","artikel","entwurf","gesetzes","urteil","gesetzes","änderungen","bundesverfassungsgericht","möglichkeit"
"14","auffassung","vorgelegt","vorliegenden","vorliegenden","worden","regierungsentwurf","regierungsvorlage","bestimmungen","materie","bedenken","bundesrat","regelung","fraktion","entwurfs","bedenken","bedenken","art","bedenken","beteiligten","regelungen","regierungsentwurf","beratungen","verabschieden","beratungen","gesetzentwurfs","regierungsvorlage","gesetze","ausschüssen","bundesrat","verabschiedung","vorliegende","rechtsausschuss","vorliegende","vorliegende","gmbh","vorschlag","bedenken","vorliegende","beratung","bundesrates","ausschuss","änderung","beratungen","beratung","änderung","beratung","änderung","entwurfs","abs","verfahren","bürger","vorschriften","rechtsprechung","grundgesetzes","vorschriften","vorlage","anhörung","begründung","änderung","anhörung","lesung","lesung","bundesrat","änderung","beraten","beratungen","bundesrates","rechtsprechung","gesetzentwurfs","verfahren","bundesrates","vorliegenden","gesetzgeber","änderung","anhörung","abs","beratungen","verfahren","änderung","vorliegenden","betroffenen","geregelt","rechtsprechung","novelle","bundesrat","beraten","gesetzgeber","beraten","art","recht","abs","bedenken","vorliegenden","praxis","bundesverfassungsgericht","gesetzentwurfs","freitag","bundesrates","bedenken","änderung","gesetze","beratungen","beraten","reach","anhörung","betroffenen","entwurf","vorliegenden","betroffenen","mediation","vorliegenden","jedoch","elektronischen","antrag","verordnung","bereits","transparenz","rechtssicherheit","transparenz","vorgaben","entscheidung","bundesverfassungsgerichts","änderungen","änderungen","änderung","verordnung","vorliegenden","umsetzung"
"15","meinung","schwierigkeiten","auffassung","bestimmungen","lösung","regierungsvorlage","ermächtigung","vorlage","bestimmungen","gesetzen","gesetzliche","vorgelegt","ausschuss","verabschiedet","schon","bestimmungen","beratungen","einzelnen","gesetze","verabschieden","regelungen","gesetzes","lesung","bestimmungen","abs","verabschiedung","grundgesetzes","lesung","verabschiedung","lesung","bundesrat","abs","vorlage","abs","vorliegende","besoldungsvereinheitlichungs","vorliegenden","verabschiedung","abs","vorliegende","abs","regierungsentwurf","geschäftsbedingungen","vorschriften","geschäftsordnung","vorschriften","begründung","regelungen","entwurfs","regelungen","sozialgesetzbuch","gesetze","lesung","beraten","rechtsprechung","regelungen","finanzausgleichs","gesetzgeber","beraten","betroffenen","bundesrates","vorliegenden","gesetzgeber","abs","geltenden","vorliegenden","änderung","abs","änderungen","haftung","koalitionsfraktionen","änderung","art","bedenken","änderungen","gesetzgeber","verfahren","änderung","verfahren","verfahren","art","änderungen","bedenken","betroffenen","begründung","änderungen","vorliegenden","bundesverfassungsgericht","bundesrat","beraten","praxis","gesetze","gesetzgebungsverfahren","beraten","anhörung","änderung","fällen","bedenken","gesetzentwurfs","praxis","bundesverfassungsgericht","schon","rechte","geregelt","geregelt","protokoll","gesetzgeber","daher","jedoch","unternehmen","umsetzung","daher","änderung","rechte","jedoch","absatz","rechtsprechung","geregelt","gesetzgeber","gesetzes","klagen","gericht","rechtssicherheit","gericht","gericht","artikel","sachverständigen","vorliegenden"
"16","notwendig","ausschüsse","bundesrat","ausschussberatungen","vorgelegt","lesung","entwurfs","verabschieden","atomkommission","regierungsentwurf","gesetze","worden","gesetzentwurfs","verabschiedung","spdfraktion","regierungsentwurf","verabschiedet","verabschiedung","entwürfe","lesung","gesetzentwurfs","publizität","vorgesehenen","bedenken","beratungen","bundesrat","bestimmungen","ausschüsse","lesung","beratungen","kraft","ausschüssen","betroffenen","verabschiedung","fassung","verabschiedung","lesung","beratung","cducsufraktion","gesetzentwurfs","herren","novelle","vermittlungsausschusses","zustimmung","regelungen","parlament","gesetzliche","vorschriften","vorliegenden","lösung","vorliegenden","lesung","beraten","vorliegenden","beraten","beraten","verfahren","neuregelung","vorliegenden","beratungen","betroffenen","gesetzgeber","gesetzliche","gesetze","bundesverfassungsgerichts","änderung","grundgesetzes","verfahren","lesung","lesung","beratungen","vorliegende","verfahren","bundesbank","gesetzentwurfs","lesung","bundesrates","bundesrates","art","gesetzes","beraten","recht","art","beraten","geregelt","gesetzentwurfes","art","gesetzentwurfes","freitag","bundesverfassungsgericht","vorliegenden","beraten","regeln","verfahren","praxis","betroffenen","entscheidung","abs","vorliegenden","anhörung","richtlinie","gesetze","geregelt","praxis","betroffenen","künftig","änderungen","jedoch","umsetzung","gesetzes","entwurf","entwurf","daten","richtlinie","rechtsprechung","transparenz","bereits","vorliegenden","änderungen","beratungen","richter","gesetzes","urteil","fälle","umsetzung","geregelt","beratungen","absatz"
"17","frage","gesetzentwurfs","möglich","gesetzentwurfs","ersten","verabschiedung","gesetzentwürfe","bundesregierung","lesung","bundesbaugesetzes","schon","regierungsentwurf","verabschiedung","fraktion","gesetzentwurfs","bereits","ersten","regierungsvorlage","einzelnen","ersten","materie","ausschüssen","ausschussberatungen","herren","ausschuss","abs","art","verabschiedung","abs","gesetzentwürfe","zügig","vorliegenden","gesetzentwurfs","beraten","namens","lesung","regelungen","entwurfs","lesung","beratung","regierungsentwurf","vermittlungsausschusses","änderungen","änderungen","gesetzentwurfs","gesetzentwurfs","lesung","verabschiedung","gesetzentwurfes","verabschiedung","bedenken","fraktion","wettbewerb","regelungen","gesetzgeber","verfahren","gesetzes","vorschriften","hebammen","abs","bundesverfassungsgericht","vorschriften","lesung","grundgesetzes","eylmann","bundesergänzungszuweisungen","regelungen","anhörung","abs","beraten","vermittlungsausschusses","grundgesetzes","beratungen","landeszentralbanken","recht","begründung","änderungen","lesung","bundesverfassungsgericht","gesetzentwurfs","änderungen","novelle","vorschriften","grundgesetzes","betroffenen","abs","begründung","beratungen","bundesrates","beratungen","freitag","praxis","beraten","bundesrates","gesetzgebung","gesetzentwurfes","recht","gesetzgeber","gesetzes","recht","recht","lesung","gesetzes","gesetzgeber","jedoch","jedoch","art","umsetzung","unternehmen","anhörung","daher","änderungen","änderungen","transparenz","praxis","bundesverfassungsgericht","geregelt","gesetzes","parlamentarischen","unternehmen","rechtssicherheit","rechtsprechung","geregelt","vorliegenden","sicht","rechtssicherheit","artikel","änderungsantrag"
