"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","beamten","abs","apotheken","wiedergutmachung","wiedergutmachung","grundgesetzes","abs","abs","nr","vermittlungsausschuss","bankenaufsicht","vermittlungsausschuss","bundesanstalt","vermittlungsausschuss","bundesrat","bundesrat","vermittlungsausschuss","vermittlungsausschusses","bundesrat","vermittlungsausschuss","vermittlungsausschuss","bundesrat","bundesrat","bundesrat","petitionsausschusses","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","absatzfonds","gemeinden","brachflächen","wohlrabe","herr","presse","presse","presse","mittelstandspolitik","wettbewerb","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","schwarzarbeit","schwarzarbeit","unternehmen","unternehmen","stahlindustrie","grundig","stahlindustrie","stahlindustrie","saarland","nordrheinwestfalen","nordrheinwestfalen","landesregierung","landesregierung","kohle","kohle","rheinhausen","nordrheinwestfalen","kohle","nordrheinwestfalen","saarland","steinkohle","region","margarethenhütte","stahlindustrie","stahlindustrie","braunkohle","eko","dzt","raumfahrtindustrie","vulkan","sket","region","banken","unternehmen","metro","kiep","sport","ladenschluss","post","post","kirch","ladenöffnungszeiten","sport","leipzig","wettbewerb","mitbestimmung","sport","offenlegung","ministererlaubnis","unternehmen","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","bafin","ezb"
"2","art","gesetz","art","wiedergutmachung","bundesrat","art","abs","staatsangehörigkeit","bundesrates","abs","bundesrates","bundesrat","bundesrat","vermittlungsausschuss","vermittlungsausschusses","bundesrates","abs","vermittlungsausschusses","vermittlungsausschuss","abs","vermittlungsausschusses","vermittlungsausschusses","steuerschwachen","bundesrates","xv","autobahntankstellen","länder","länder","länder","bund","bund","länder","gemeinde","städte","cma","erwerben","wirtschaftsstruktur","film","gemeinschaftsaufgabe","pressefreiheit","zeitungen","fusionskontrolle","mittelstand","schwarzarbeit","mittelstand","zonenrandgebiet","zonenrandgebiet","wirtschaft","bürgschaft","berufe","hauser","unternehmen","unternehmen","regionalen","stahlindustrie","unternehmen","unternehmen","werften","reuschenbach","bremen","saarland","hessen","nordrheinwestfalen","werften","stahlindustrie","nordrheinwestfalen","nordrheinwestfalen","ruhrgebiet","nordrheinwestfalen","landesregierung","wismut","möllemann","steinkohle","mecklenburgvorpommern","region","bischofferode","stahlindustrie","eisenhüttenstadt","tourismus","luft","bremer","bvs","einzelhandel","unternehmen","wettbewerb","werften","einzelhandel","expo","expo","expo","ag","wettbewerb","einzelhandel","post","wettbewerb","bafin","sparkassen","regulierungsbehörde","unternehmen","unternehmen","wettbewerb","unternehmen","kfw","banken","unternehmen","unternehmen","regulierung","bank","finanztransaktionsteuer","bank","aufsicht","regulierung","aufsicht","bankenunion","bank","einlagensicherung","bank","bank","verbraucher","verbraucherinnen","ewf","verbraucher","bank","ezb","zentralbank","bafin","wirecard","inflation"
"3","abs","abs","bundesrat","länder","grundgesetzes","bayern","vermittlungsausschuss","nr","grundgesetzes","bundesrates","vermittlungsausschusses","vermittlungsausschuss","vermittlungsausschusses","abs","bundesrates","bundesanstalt","grundgesetzes","abs","bundesrat","fürsorge","abs","bundesrat","bundesrates","vermittlungsausschuss","bildungsstätte","vermittlungsausschusses","gewerbesteuer","bund","finanzreform","länder","gemeinschaftsaufgabe","finanzschwachen","eigentümer","bund","gemeinden","blieben","gemeinschaftsaufgabe","filmwirtschaft","gescheitert","zeitungen","stiftung","klein","aktionsprogramm","auspuffanlagen","mittleren","investitionszulage","wettbewerb","tankstellen","carstens","selbständigen","wirtschaft","schweiz","schwandorf","kanadischen","reuschenbach","saar","hoffmann","bremen","unternehmen","stahlindustrie","unternehmen","landesregierung","hessen","küste","arbeitsplätze","rheinhausen","ruhrgebiet","kohle","steinkohle","saarland","ministerpräsident","nordrheinwestfalen","wilhelmshaven","werften","bremen","kali","steinkohle","bekleidungsindustrie","vorstand","dasa","werften","schiffbau","vorstand","transparenz","fusionskontrolle","schiffbau","übernahmen","holzmann","einzelhandel","zugabeverordnung","werften","sport","post","unternehmen","olympischen","girokonto","unternehmen","sports","aktionäre","basel","hedgefonds","reits","unternehmen","kfw","bank","sparkassen","finanzmärkte","finanztransaktionsteuer","bank","finanzmärkte","bank","aufsicht","bankenaufsicht","steuerzahler","steuerzahler","aufsicht","bausparkassen","verbraucher","verbraucherinnen","banken","verbraucher","kredite","ezb","sparer","bafin","verbraucher","esm","zentralbank"
"4","beamten","grundgesetzes","grundgesetzes","apotheke","abs","verfolgten","entschädigung","jugend","bundesrat","gesetzes","abs","verwaltung","abs","bundesrat","abs","vermittlungsausschuss","bundesrates","bundesrat","abs","vermittlungsausschuss","bundesrat","vermittlungsvorschlag","finanzgerichte","petition","vermittlungsausschuss","ergänzungsabgabe","bund","finanzreform","bund","ländern","ländern","schleswigholstein","städtebauförderungsgesetz","kommunalen","absatzförderung","rechtsgutachten","aachen","gemeinschaftsaufgabe","haase","klein","tageszeitungen","fernsehen","berufe","adac","berufe","mittleren","investitionszulage","pressefusionskontrolle","treuarbeit","freien","mittelstand","mittleren","mittelständischen","mittleren","regionalen","springer","saarbrücken","subventionen","bremen","unternehmen","regionen","bremen","unternehmen","nordrheinwestfalen","stahl","arbeitsplätze","regionen","stahlindustrie","jahrhundertvertrag","kohle","region","kohle","möllemann","möllemann","wismut","brüssel","urbaniak","textil","hotel","raumfahrt","bvs","werften","branche","bury","gwb","unternehmen","unternehmen","werften","übernahmen","wettbewerb","wettbewerb","unternehmen","uhr","finanzplatz","werften","markt","regulierungsbehörde","wettbewerb","gmbh","erpsondervermögen","bundesnetzagentur","wettbewerb","post","unternehmen","krise","bank","krise","finanzmärkte","anleger","krise","basel","bank","bank","aufsicht","bankenunion","schick","verbraucher","bafin","bank","verbraucherschutz","ezb","finanzkrise","commerzbank","kredite","wirecard","wirecard","banken","hauptversammlung"
"5","grundgesetzes","art","rechtsverordnungen","grundgesetzes","vermittlungsausschuss","grundgesetzes","art","vermittlungsausschuss","nr","vorschriften","bundesrat","luftverkehrsverwaltung","grundgesetzes","vermittlungsausschusses","bundesrat","sachverständigenkommission","vereinigungen","bundesrats","grundgesetzes","krankenwagen","bundesrates","bundesrates","abs","föderalismus","bundestages","bundesrat","finanzreform","ländern","vermittlungsausschusses","finanzreform","länder","ländern","sanierung","länder","absatzfondsgesetzes","paragraphen","agrarstruktur","filme","mil","journalisten","zeitungsverleger","zeitungen","unternehmen","bundeskartellamt","hauser","investitionszulagengesetzes","mittleren","diag","beton","diag","gemeinschaftsaufgabe","architekten","regionalen","handel","wirtschaftsausschuss","hoffmann","fusion","unternehmen","bundeswirtschaftsminister","fusion","stahlindustrie","krupp","seeschiffahrt","arbeitsplätze","bangemann","stahlindustrie","landesregierung","landesregierung","saarland","steinkohle","lafontaine","bergbau","bergbau","region","stahlunternehmen","fusion","bergbau","riva","gastgewerbe","eurofighter","einzelhandel","maritimen","beschäftigten","preussag","mai","divag","öffnungszeiten","banken","unternehmen","rabattgesetz","unternehmen","register","samstag","grossveranstaltungen","rostock","regulierungsbehörde","schleswigholstein","unternehmen","transparenz","banken","mitbestimmung","airbus","banken","wettbewerb","hypo","landesbanken","bank","krise","bankenabgabe","finanztransaktionsteuer","finanzaufsicht","finanzmärkte","steuerzahler","schick","aufsicht","bank","kunden","schick","bafin","bafin","einlagensicherung","ezb","verbraucher","griechenland","urteil","verbraucherinnen","anleger","hauptversammlungen"
"6","gesetzes","öffentlichen","wiedergutmachung","abs","regelung","gesetzes","gesetzes","gesetzes","bundesrats","besatzungsschäden","nr","abs","zusammenlegung","ermächtigung","grundgesetzes","petitionen","sachverständigenkommission","rechtsverordnungen","vorschlag","schulzahnpflege","begehren","erklärungen","länder","büro","abs","ladenschlussgesetzes","gemeinschaftsaufgaben","vermittlungsausschuss","vermittlungsausschuss","bundes","gemeinde","landes","grundstücke","schneider","eigentum","unpopulär","nordeifelgrenzraum","glotz","strafvollstreckung","daten","daten","zusagen","mittelstandsbericht","hauser","kleinen","forschung","fusionskontrolle","existenzgründungen","wirtschaft","mittelstand","mittleren","regionalen","kernforschungsanlage","wettbewerb","aeg","stahl","skarpelissperk","lambsdorff","wolfram","arbeitsplätze","bremen","wuppermann","saarland","hamburg","werften","bremen","stahl","arbeitsplätze","subventionen","land","arbeitsplätze","energiepolitik","kohle","grossdubrau","kohle","textil","kohlerunde","stahlindustrie","branche","stoiber","bremen","branche","grösse","schröder","jens","ag","banken","mosdorf","öffentlichrechtlichen","unternehmen","bundesbank","schauerte","wettbewerb","ag","spiele","sport","kunden","zeitungen","hauptversammlung","wettbewerb","sparkassen","reit","markt","bank","estate","bankenaufsicht","ratingagenturen","bankenabgabe","schick","regulierung","bafin","steuerzahler","regulierung","kapitalmarkt","ratingagenturen","verbraucher","konto","aufsicht","kunden","kunden","kredite","risiken","euro","verbraucherschutz","bundesbank","schuldner","haftung","zinsen"
"7","regelung","regelung","gesetzes","vermittlungsausschuss","art","abs","regelung","bundesrates","personen","staatsangehörigkeit","übereinkommen","vermittlungsausschusses","bundesrates","arbeitslosenversicherung","bundesanstalt","abs","vermittlungsausschusses","vorschlag","bundesanstalt","art","fischerei","rechtsverordnungen","lemke","kreditinstitute","beendigung","fussball","ländern","föderalismus","ländern","gemeindeverbände","kleineren","bund","städtebaubericht","städten","ernährungswirtschaft","krammig","herr","verwaltungsrat","alexander","fusionskontrolle","journalisten","presseunternehmen","wettbewerb","mittleren","mittelstandspolitik","forschungs","regionalen","wettbewerb","monierbau","wirtschaft","grüner","illegalen","wettbewerb","kanada","jochimsen","wirtschaftsminister","thomsonbrandt","bremer","lambsdorff","georgsmarienhütte","regionalpolitik","arbeitsplätze","küste","schleswigholstein","nordrheinwestfalen","landesregierung","strukturwandel","kohlepfennig","bergleute","bergbau","strukturprogramm","bundeswirtschaftsminister","bremen","lösung","brüssel","bekleidungsindustrie","subventionen","ekostahl","new","arbeitsplätze","ladenöffnungszeiten","kohle","kolb","anleger","marktwirtschaft","korea","leisler","bundesdruckerei","mosdorf","werften","markt","landesbank","verbraucher","wettbewerb","bewerbung","anleger","wettbewerb","kartellamt","hedgefonds","bank","regulierung","markt","manager","aufsichtsrat","finanzmärkte","ratingagenturen","finanztransaktionsteuer","hre","krise","markt","iii","hochfrequenzhandel","sparkassen","regulierung","schick","bafin","girokonto","anleger","produkte","kredite","bankenunion","bank","fusion","bargeld","unabhängigkeit","bank","wirtschaftsprüfer","griechenland"
"8","länder","dienst","vorschriften","art","länder","entschädigung","bundesrat","jugendlichen","statistischen","bestimmungen","volle","bundesrates","nr","grundgesetzes","vorschlag","arbeitsvermittlung","höcherl","bundesanstalt","vereinbarkeit","übersteigt","stellenpläne","bundesrats","finanzausgleich","rechtsverordnungen","personenkennzeichens","ombudsman","steuerverbund","bundesrat","gewerbesteuer","senator","vermittlungsausschuss","finanzausgleich","entwicklungsmassnahmen","ländern","kommunalen","bayern","ausstellung","filmförderung","steffen","walz","verlage","rundfunk","hauser","herr","wettbewerb","warnke","kleinen","regionalen","emstek","pieroth","insolvenzen","wettbewerb","jülich","quecksilberbatterien","firmen","bundeswirtschaftsminister","regionalen","hdw","bundesregierung","bundesregierung","strukturpolitik","stahlindustrie","fusionskontrolle","unternehmen","subventionen","stahl","belegschaft","saarland","bergbau","blüm","einigungspolitik","arbeitsplätze","wismut","verbundlösung","subventionen","reuschenbach","kohle","region","fremdenverkehrswirtschaft","branche","verbund","maritime","regionen","finanzmarktförderungsgesetz","wettbewerbspolitik","börnsen","ladenöffnungszeiten","bank","öffnungszeiten","internet","kartellamt","sports","monopolkommission","sports","verbraucher","kunden","ehrenamtlich","regulierung","rechtsform","schulsport","bundeskartellamt","unternehmens","marktwirtschaft","landesbanken","real","bafin","schick","regulierung","fonds","honorarberatung","bankenaufsicht","bankenaufsicht","finanzmärkte","fonds","dispozinsen","steuerzahler","gläubiger","kleinanleger","schick","instrumente","handwerker","bundesbank","steuerzahler","verbraucher","banken","gläubiger","finanzaufsicht","geldmenge"
"9","öffentlichen","bestimmungen","gesetz","apotheker","stiftung","bund","vermittlungsausschusses","bonn","behörden","gesetz","avavg","länder","raumordnung","länder","ermächtigung","ermächtigung","bund","grossrohre","bundesrats","grundgesetzes","rechtsverordnungen","abs","format","gesetz","kiesinger","vermittlungsausschuss","föderalismus","the","möller","kompetenzen","kommunalen","ministerpräsident","eigentum","städtebauförderungsgesetz","zmp","aufgaben","länder","wirtschaftsförderung","zwangsumtausch","filme","klein","bundeskartellamt","mittelstandes","kollege","mittlere","mittlere","verbraucher","programm","schlecht","hauser","mittelstandspolitik","ingenieure","leiharbeit","kleinen","anträge","reuschenbach","stahlindustrie","bundesregierung","saarstahl","regionen","jochimsen","saarland","bremen","schiffbau","regionen","bangemann","stahlindustrie","steinkohle","kohlepolitik","rau","saarlandes","wedemeier","bergleute","landesregierung","stahlkrise","ag","bergleute","textilindustrie","feldmann","subventionen","mecklenburgvorpommern","stahl","mitarbeiter","bank","dutyfree","werftindustrie","schreiber","rundfunk","ladenschlussgesetz","markt","exklusivlizenz","markt","ladenschluss","verbraucher","regulierung","unternehmen","unternehmensmitbestimmung","post","aktiengesellschaften","berninger","telekom","post","anleger","krise","bafin","kredite","hedgefonds","markt","gläubiger","aufsicht","regulierung","reguliert","zypern","finanzmärkte","kunden","anleger","verbraucherinnen","verbraucherschutz","finanzkrise","verbraucherpolitik","bank","verbraucherinnen","targetsalden","banken","verbraucher","zinsen","anlegerschutz","verbraucher"
"10","ländern","bundesrat","länder","gesetzes","bund","land","personen","entwurf","gesetzes","jedoch","bestimmung","bundeseigene","vorschrift","bundesrates","länder","bundesrats","verwaltungsvereinfachung","bundesrates","zuständigkeit","erlass","grundgesetzes","zivilbevölkerung","länderfinanzausgleich","goppel","unberührt","beauftragten","gemeindefinanzreform","gemeinschaftsaufgaben","körperschaftsteuer","gewerbesteuer","land","kommunalen","städte","gewerbesteuer","städtebauförderungsgesetz","bund","cma","projektförderung","entschliessungsantrag","wirtschaftliche","baum","meinungsvielfalt","presse","ausprägung","aktionsprogramm","uwg","wirtschaft","zonenrandgebiet","banken","mittleren","arbeitsplätze","kolb","illegaler","investitionszulagen","urbaniak","lammert","worden","graf","hoffmann","subventionen","ruhrgebiet","subventionen","niedersachsen","hessen","jahrhundertvertrag","regionen","montanregionen","stahl","lafontaine","energiepolitik","dörfler","subventionen","arbeitsplätze","herr","steinkohle","arbeitsplätze","bundeswirtschaftsminister","skarpelissperk","dessau","lammert","öffnungszeiten","unternehmen","werften","jens","dutyfreehandel","bvs","holzmann","internet","liberalisierung","rugmark","liberalisierung","murdoch","geschäfte","spitzensport","sport","banken","aufsichtsrat","schauerte","vorstände","ii","markt","kfw","ikb","telekom","kfw","krise","müssen","steuerzahler","finanzkrise","schick","finanzmärkte","ebene","ezb","bafin","risiken","risiken","basiskonto","finanzkrise","produkt","bank","sparer","einlagensicherung","finanzkrise","steuerzahler","euro","verbraucherschutz","verbraucher","verbraucherinnen"
"11","bund","gesetzes","regelung","ländern","bundesrates","länder","behörden","juni","personenkreis","eheschliessung","vorschrift","grundgesetzes","gesetzes","verwaltungsrat","bundestag","arbeitslosenversicherung","ermächtigung","ausfuhrgenehmigungen","bundesfinanzverwaltung","genehmigungen","vermittlungsbegehren","ermächtigungen","senatspräsidenten","the","höheren","bundesrates","kommunalen","gewerbesteuer","finanzverfassungsreform","einkommensteuer","unterschlagen","finanzhilfen","sanierungs","gemeinde","eigentümer","situation","behilflich","herr","solschenizyn","medienpolitik","hilfsmassnahmen","verleger","mittleren","automobilindustrie","mittelständischen","mittelständischen","mittlere","konzentration","wettbewerb","kleinen","krefeld","wirtschaft","kleinen","bundesrechnungshofs","skarpelissperk","ag","haase","hilfen","arbedsaarstahl","wolfram","gemeinschaftsaufgabe","unternehmen","wettbewerb","hessische","unternehmen","unternehmen","regionalen","ruhrgebietskonferenz","landesregierung","kohlepolitik","energieversorgung","saarland","bundeswirtschaftsminister","bremen","krise","gysi","kohlepfennig","steinkohle","york","unternehmen","hennemann","magdeburg","verbilligte","ag","lambsdorff","unternehmerische","kontrag","öffentlichrechtlichen","internet","liberalisierung","filialen","banken","öffnungszeiten","markt","regulierungsbehörde","heil","banken","verbraucher","mitbestimmung","girokonto","reits","entflechtung","gmbh","gmbh","aufsicht","aufsicht","unternehmen","leerverkäufe","bafin","steuerzahler","sparkassen","steinbrück","girokonto","grauen","haftung","versicherungen","steuerzahler","verbraucherinnen","anleger","restschuldversicherung","steuerzahler","bankenunion","verbraucherinnen","zinsen","staatsfinanzierung","ezb","aufsicht","prozent"
"12","bundesrat","ländern","verordnung","regelung","gesetzes","entschädigungsbehörden","beamten","eheschliessung","regelung","zuwiderhandlungen","einspruch","bundesauftragsverwaltung","ländern","arbeitsvermittlung","nr","verwaltungsrat","entwurf","ausfuhrliste","staatsminister","bundestagsdrucksache","dänischen","angerufen","lemmer","zuzüglich","rechtsverordnungen","positiven","steuern","reform","gemeindefinanzreform","gemeinschaftsaufgaben","lotsen","vermittlungsausschusses","boden","stadt","städte","schmidt","bangemann","films","walter","hirsch","meinungsvielfalt","konzentration","kleinen","aktionsprogramm","kleine","mittelstand","unlauteren","arbeitsplätze","diag","schachtschabel","welttextilabkommen","wirtschaftsausschuss","behörden","staatssekretär","wirtschaft","saarland","wirtschaftsminister","bundeswirtschaftsminister","stahlunternehmen","nordrheinwestfalen","regionalen","hessische","arbeitsplätze","bundesregierung","landesregierung","steinkohle","unternehmen","kohlepfennigs","kommission","landes","beckmann","energiepolitischen","braunkohle","wismut","arbeitsplätze","fritz","verstromung","subventionen","olderog","industrie","ringstorff","belegschaft","bitte","altersvorsorge","einstandspreis","wettbewerb","pfahls","unternehmen","signatur","verbraucher","regulierungsbehörde","sportler","ladenschlussgesetz","olympischen","uwg","konto","sparkasse","kartellrecht","gehälter","kartellamt","anbieter","korruption","transparenz","korruption","marktwirtschaft","wettbewerb","finanzmärkten","bafin","aufsicht","zentralbank","altersversorgung","regulieren","finanzagentur","abwicklung","fonds","ezb","sparkassen","ebene","finanzprodukte","wohnimmobilienkreditrichtlinie","risiken","krise","griechenland","negativzinsen","geldpolitik","aufsicht","vermögensanlagen","verbraucherschutz"
"13","bestimmungen","gesetzentwurf","condor","personen","preussischen","inanspruchnahme","beamtenrecht","mai","ansprüche","fassung","übereinkommens","kreditinstitute","anrufung","ausschuss","anrufungsbegehren","grundgesetzes","verfassung","grundgesetzes","länder","bundesrats","bundesrats","vorschlag","besoldungsgesetze","kreditinstituten","mitteln","fragen","finanzverfassung","of","verteilung","hermesdorf","gemeindefinanzreform","finanzreform","städtebauliche","raumordnung","stadt","bereich","grundstücke","waigel","anmerkungen","tageszeitungen","tageszeitung","zusagenregelung","selbständigen","presse","freien","kleinen","mittelstand","eigenkapital","unternehmens","eigenkapital","mittelständischen","warnke","illegale","firmen","stahlwirtschaft","kohlepolitik","kurzarbeit","stahl","saarland","stahlunternehmen","privatisierung","region","häfen","norden","kohlepfennig","ig","kohle","region","egkommission","egkommission","uranabbaus","ministerpräsident","kohlerunde","arbeitsplätze","klöckner","stahl","tonnen","investor","haack","dolores","schiffbau","montanunion","kohle","aktionäre","auslaufen","mietverträge","konten","doping","ladenschlussgesetzes","kunden","riesenhuber","telekom","ag","finanzmarkt","krogmann","sportförderung","berufsgenossenschaften","vereine","vorstandsvergütungen","gmbh","märkte","anleger","anbieter","risiken","finanzmarkt","steuerzahler","finanzmarkt","schick","regulierung","bafin","ebene","finanzmarktregulierung","finanzmarktregulierung","bank","regulierung","kapitalmarkt","einlagensicherung","risiken","geierfonds","versicherungen","verbraucherinnen","target","bundesbank","insolvenz","anleihen","bargeld","untersuchungsausschuss","aktionäre"
"14","entwurf","länder","erlass","bundesentschädigungsgesetzes","volksentscheid","vorschriften","vorschriften","absatz","vorschriften","mai","ländern","grundgesetz","vorschlag","energiewirtschaftsgesetzes","satz","kommission","tage","forschungsanstalt","abzuschliessen","petitionen","erlass","präsident","vermittlungsausschuss","bundesrats","vermittlungsausschusses","verbrecher","möller","bundesrates","bundesrat","zulässigen","gebühr","bundes","kommunalen","evers","aufsichtsrat","länder","seit","wirtschaftsförderungsgesetz","köhler","hilfsmassnahmen","verleger","göttingen","zeitungen","welle","schachtschabel","wirtschaft","zonenrandgebietes","betriebe","kleinen","zahl","selbständigen","kreditanstalt","windelen","herr","stahlstandorte","landesregierung","videorecorder","konzept","jochimsen","hilfen","strukturschwachen","steger","land","niedersachsen","maxhütte","ruhrgebiet","wirtschaftsförderung","hamburg","revierfernen","jahrhundertvertrages","schneeberg","ministerpräsidenten","kohlepolitik","stillegung","stahlkonferenz","salz","stahl","rexrodt","kastner","beschaffung","urbaniak","gesamtvollstreckung","umsatz","unternehmensübernahmen","graf","mosdorf","untersuchungsausschuss","olympischen","ladenöffnungszeiten","rabattgesetzes","telekom","wettbewerbsrecht","schauerte","riegert","liberalisierung","grauen","telekom","sportförderung","börsennotierten","immobilienfonds","monopol","aufsichtsrat","kredite","schäffler","enteignung","papiere","finanzkrise","finanzkrise","anlegerschutz","finanzkrise","finanztransaktionsteuer","schick","krise","risiken","ratings","einlagen","schick","einlagensicherung","gläubiger","verbrauchern","kunden","steuerzahler","anleger","krise","zinsen","finanzaufsicht","kapitalmarkt","kredite"
"15","bestimmung","entwurf","verwaltung","personalkonzession","ansprüche","bundesrat","bundesrates","regelung","bundesgesetzgeber","juni","bundesrats","aufgaben","verwaltung","reichsnährstandes","bundestages","wirkungen","pflegezulage","herabsetzung","vergangenheit","aufwendungen","nr","bemerken","irland","ergab","absatz","nachdenkens","umsatzsteuer","hochschulwesen","gemeindefinanzen","kommunalen","grundgesetzes","lemke","gesetz","finanzreform","bund","gesagt","rahmenplan","filmförderungsanstalt","bundesminister","verleger","wirtschaftliche","pressefreiheit","jaumann","unternehmen","mittlerer","kleine","wettbewerbs","gemeinschaftsaufgabe","grüner","selbständige","regionalen","lutz","wirtschaft","batterien","gelsenkirchen","burda","firma","schiffbau","nordrheinwestfalen","lammert","arbeitsplätze","emden","kartellgesetzes","norddeutschland","stahlunternehmen","bergbau","duisburg","bergbau","energiepolitik","brüssel","nordrheinwestfalen","jahrhundertvertrag","friesland","gemeinschaftsaufgabe","egkommission","textilindustrie","rexrodt","stahl","werbung","militärischen","wiese","unternehmens","herr","wettbewerb","preussag","arbeitsplätzen","liberalisierung","wettbewerb","banken","mosdorf","schiffbau","kartellamt","ladenschlussgesetzes","kunden","finanzplatz","kartellamt","gesellschaft","kunden","regulierung","fusion","banken","zeil","liberalisierung","investoren","hre","bundesbank","risiken","post","finanzmärkte","gläubiger","zöllmer","eigenkapital","sieling","abwicklungsfonds","haften","versicherten","fonds","kapitalmarkt","reisebüros","bankenverbände","musterfeststellungsklage","musterfeststellungsklage","aufsicht","aufsicht","aufsicht","wirtschaftsprüfer","insolvenz","iwf"
"16","fassung","verordnung","entwurf","bundesrat","kulturbesitz","ländern","versicherungsunternehmen","ausschuss","bundes","wiedergutmachung","arbeitslosengeld","kreditwesen","länder","rechtsverordnungen","gesetzes","namens","wertes","lippert","bund","präsident","luftverunreinigungen","petition","gesetzes","verfassungsmässigen","steuerschwachen","unterhaltungen","körperschaftsteuer","senator","einkommensteuer","vermittlungsausschuss","bundesrates","land","städtebauförderungsgesetzes","gemeindefinanzreform","nürnberg","grossen","bund","förderung","kollege","struktur","göttingen","sieglerschmidt","mittelständischen","mittelstandsbericht","zeitel","fördergebiete","wettbewerbsbeschränkungen","fusionskontrolle","arbeitsplätze","mittelstandspolitik","mittlere","gewinnsucht","schröder","wirtschaft","planungsausschuss","nordrheinwestfalen","markt","hamburg","werften","sprung","grundig","saar","landes","region","steinkohle","saarland","arbeitsplätze","regionen","haussmann","einert","ländern","renate","wedemeier","standorte","reuschenbach","stahlkrise","arbeitsplätze","brüssel","kur","dornier","ladenschlussgesetz","bremer","feldmann","beteiligungen","hgb","herr","augsburg","mayer","beschäftigten","kinderarbeit","wettbewerber","kredite","unternehmen","übernahmen","schiffbau","telekom","unternehmens","meinungsvielfalt","vorstandsgehälter","fonds","kartellamt","wohnimmobilien","preise","privaten","finanzmarktkrise","markt","dautzenberg","sparkassen","telekom","gesetz","schick","zypern","privatkundengeschäft","gläubiger","zinsen","verbraucherschutz","aufsicht","finanzmärkte","risiken","kredit","irland","finanztransaktionsteuer","kukies","euro","schuldner","kredite","bank","virtuellen"
