"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","heimkehrer","kriegsopfer","novelle","dm","novelle","geschädigten","novelle","gehobenen","kriegsopfer","kriegsopfer","kriegsopfer","häftlinge","kriegsopfer","gemeinden","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","kriegsopfer","diäten","bundestages","reichshaushaltsordnung","haag","zimmer","reichstag","bundeshauptstadt","neugliederung","sachkundenachweis","landkreis","reisebeihilfen","heroin","minus","quecksilber","spareinlagen","prüfung","verhaltensregeln","preisbindung","heizöl","wirtschaft","kernenergie","energieprogramm","kernenergie","forschung","kernenergie","kernenergie","energiepolitik","kernenergie","kernenergie","kohle","kohle","kernenergie","kernenergie","technologie","kernenergie","forschung","kommission","mikroelektronik","technik","forschung","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","kernenergie","tschernobyl","kernenergie","grossforschungseinrichtungen","forschung","forschung","dat","forschung","kernenergie","morsleben","kernenergie","energien","kernenergie","energien","merkel","trittin","ukraine","energien","trittin","transporte","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","klimaschutz","energiewende","klimaschutz","energien","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","dm","kriegsopfer","erhöhung","kriegsopfer","leistungen","kriegsopfer","hauptentschädigung","bundesversorgungsgesetz","härten","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","fürsorge","entschädigung","freien","kriegsopfer","kriegsopfer","kriegsopfer","kriegsopferversorgung","abgeordneten","vorstand","prüfungsrechte","raumfahrt","räume","reichstages","unterbringung","volksbegehren","orchester","vorstand","komitee","baustellen","demagogische","erhebungen","bardepotgesetz","steuerberater","geschäftsordnungsausschuss","unternehmen","energieversorgung","unternehmen","energieversorgung","kohle","kohle","technologie","forschung","energiepolitik","fortschreibung","energiepolitik","kohle","kernenergie","kernenergie","kohle","enquetekommission","forschung","entsorgung","enquetekommission","snr","snr","riesenhuber","technologie","steinkohle","kernenergie","eureka","tschernobyl","tschernobyl","tschernobyl","nutzung","brüter","energien","kernenergie","kernenergie","energien","kernenergie","energieversorgung","forschung","energieversorgung","technologie","de","energien","energien","kernenergie","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","ausstieg","trittin","kernenergie","energien","trittin","energiepolitik","energiepolitik","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","klimaschutz","erneuerbaren","energiepolitik","gabriel","klimaschutz","energien","klimaschutz","energien","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","klimaschutz","energien","energien","klimaschutz","energien","erneuerbaren","klimaschutzplan","klimaschutz","co","klimaschutz","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","gesetz","weihnachtsbeihilfe","novelle","leistungen","kriegerwitwen","heimkehrer","novelle","besoldungsgruppe","amtsbezeichnung","bundesversorgungsgesetz","versorgung","probst","hilfe","heimkehrer","jugendhilfe","bazille","kriegsopfern","grundrente","bazille","dm","bürohaus","aktienrechtlichen","arbeitsbedingungen","verwaltung","flugbeschränkungen","untergebracht","badenwürttemberg","kuchtner","satzung","vorstand","kohlefrachthilfe","abgetan","lippe","kündigungsfrist","steuerbevollmächtigten","argentinischen","wettbewerb","friderichs","verbraucher","kohle","fortschreibung","energie","forschungspolitik","energiepolitik","kohle","kernenergie","fortschreibung","energiepolitik","energie","forschung","energiepolitik","fernwärme","energieforschung","energiepolitik","technologie","kohle","technologie","kommission","mikroelektronik","energiepolitik","wiederaufarbeitung","brüter","forschung","wallmann","kernkraftwerke","transnuklear","tschernobyl","riesenhuber","riesenhuber","technologie","forschung","energiepolitik","tschernobyl","energien","kernenergie","industrie","kernenergie","kernenergie","mochovce","endlager","endlager","windenergie","energien","nordrheinwestfalen","bundesministerin","kernenergie","kernenergie","erneuerbaren","kernenergie","gorleben","kernenergie","grill","eeg","eeg","eeg","emissionshandel","klimaschutz","steinkohle","kernenergie","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","asse","klimaschutz","klimaschutz","energiekonzept","kernenergie","energiewende","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","energien","paris","energiewende","energiewende","energien","energiewende","energiewende","erneuerbaren","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","vermögen","schwerbeschädigten","dm","dm","bundesversorgungsgesetzes","bundesversorgungsgesetz","entschädigung","geschädigten","besoldungsgruppe","bundesversorgungsgesetzes","ausgleichszulage","bundesversorgungsgesetz","kriegsopferversorgung","hilfe","gemeinde","mehrheitsfraktionen","vorrangig","neuordnungsgesetz","kriegsopfern","bundestagsabgeordneten","gradl","prüfungsvorschriften","wissenschaftler","dorn","riegel","genscher","saarland","speisen","stiftung","sorge","kräfte","spenden","warenkorb","airbusgmbh","zusammenführung","argentinien","verbraucher","kohle","bundeskartellamt","energieprogramm","energiepolitik","energiepolitik","energie","energie","forschung","kohle","wolfram","forschung","forschung","energiepolitik","forschung","energiepolitik","stahl","enquetekommission","stahl","brüter","forschung","forschung","steger","energieversorgung","technologie","forschung","technologie","cattenom","nutzung","töpfer","kernkraftwerke","technologie","forschungspolitik","riesenhuber","wasserstoff","energien","energiepolitik","elektrofahrzeugen","brunsbüttel","kernenergie","forschung","technologie","stromeinspeisungsgesetz","energien","morsleben","umwelt","transporte","grill","transporte","energien","stadtwerke","energiepolitik","energiepolitik","kernenergie","ausstieg","erneuerbaren","strom","bergbau","energiepolitik","klimaschutz","energiepolitik","erneuerbaren","sellafield","klimaschutz","umwelt","emissionshandel","gabriel","strom","erneuerbaren","strom","kopenhagen","laufzeitverlängerung","japan","röttgen","röttgen","eegumlage","altmaier","eeg","erneuerbaren","erneuerbaren","energiewende","fracking","energien","strom","energien","erneuerbaren","energien","erneuerbaren","energiewende","energiewende","erneuerbaren","klimaschutz"
"5","kriegsopfer","entschädigung","bundesversorgungsgesetzes","heimkehrer","novelle","bundesversorgungsgesetzes","unterhaltshilfe","kriegsopferversorgung","härtefälle","gesundheit","kriegsopfern","ausgleichsrente","kriegsopfer","erhöhung","verbände","neuordnungsgesetz","probst","versorgung","rutschke","aufwandsentschädigung","abgeordneten","sonderprüfung","abgeordneten","frehsee","herr","raumes","baden","badenwürttemberg","rücktrittsrecht","prostitution","sorgen","altöle","anfrage","wirtschaft","steuerberatern","buchprüfer","marktwirtschaft","energieprogramm","preise","russe","technologie","tonnen","forschungs","technologie","energie","energie","brüter","grundlagenforschung","energiepolitik","umweltpolitik","energie","forschung","kernenergie","abfälle","schnellen","inbetriebnahme","steger","technologie","industrie","kohle","technik","wiederaufarbeitungsanlage","riesenhuber","brokdorf","ausstieg","entsorgung","kalkar","forschung","forschungs","energien","forschungs","atomenergie","töpfer","elektrofahrzeuge","risse","hoechst","morsleben","energiepolitik","energiepolitik","abfälle","sachsenanhalt","stromeinspeisungsgesetzes","strom","ahaus","atomenergie","energiepolitik","ausstieg","ausstieg","morsleben","atomenergie","erneuerbaren","enquetekommission","biomasse","hustedt","klimaschutz","eeg","trittin","energieforschung","klimaschutz","energie","naturschutz","gabriel","bali","prozent","gabriel","energie","röttgen","röttgen","erneuerbare","klimaschutz","strom","altmaier","erneuerbaren","klimaschutz","energieeffizienz","fracking","erneuerbaren","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","energien","energiewende","wasserstoff","wasserstoff","wasserstoff","klimapolitik","energie"
"6","geschädigten","bundesversorgungsgesetzes","entschädigung","kriegsgefangenen","kriegsbeschädigten","dm","kriegsopferversorgung","hauptentschädigung","fälle","kriegsopfern","bundesversorgungsgesetzes","kriegsopfern","sozialhilfe","kriegsopferversorgung","träger","probst","könen","ausgleichsrente","versorgung","unabhängigkeit","bundestagsvorstand","pflichtprüfung","forschungsanstalt","hochhaus","bracht","mm","art","gewerbe","elbrächter","ersparnis","müsste","lande","fragen","airbus","kündigungsfrist","verbänden","fusionskontrolle","wirtschaft","gesellschaften","energie","kernenergie","russe","kernenergie","kernkraftwerke","kernkraftwerke","forschung","kohle","energie","nutzung","nutzung","laermann","programm","forschungs","forschung","kernenergie","kernenergie","industrie","kohle","forschungs","forschung","uran","technologie","ausstieg","kernkraftwerke","gentechnologie","gorleben","daniels","wackersdorf","töpfer","brasilien","grundlagenforschung","kernkraftwerke","kozloduj","mosdorf","technologie","vosen","technologie","steinkohle","nutzung","grill","energien","erneuerbare","morsleben","strom","ausstieg","wiederaufbereitung","energien","strom","transporte","castortransporte","anlagen","hirche","energiepolitik","erneuerbare","emissionshandel","trittin","kernenergie","erneuerbare","energiepolitik","gabriel","klimaschutz","klimawandel","strom","energie","strom","biogas","prozent","erneuerbare","strom","energieeffizienz","energieeffizienz","strom","gorleben","strom","eeg","kwk","strom","strom","marrakesch","mieterstrom","erreichen","klimawandel","strom","energiewende","eeg","strom","strom","ausbau"
"7","entschädigung","heimkehrern","kriegsopferversorgung","ausgleichsrente","verbrieften","probst","bundesversorgungsgesetz","entschädigung","personenkreis","novelle","kriegsbeschädigten","grundrente","versorgung","oktober","selbstverwaltung","staat","neuordnungsgesetzes","beschädigten","kriegsopferausschuss","hauses","riegel","gesellschaften","sämtliche","brese","bestandsaufnahmen","neuordnung","schmittvockenhausen","befähigungsnachweis","schwarzarbeit","herr","alfred","gift","kost","tabellen","mündlichen","ehrenordnung","missbrauchsaufsicht","verbraucher","wettbewerb","wirtschaft","wolfram","steinkohle","laermann","nutzung","energiepolitischen","technologie","ausgleichsabgabe","landesregierung","steinkohle","umweltschutz","kernkraftwerke","riesenhuber","kernkraftwerke","fortschreibung","brüter","risiko","riesenhuber","industrie","technik","nutzung","gentechnologie","schnellen","atomenergie","energiepolitik","enquetekommission","wiederaufarbeitungsanlage","töpfer","töpfer","wackersdorf","dara","nutzung","energieversorgung","greifswald","riesenhuber","kernkraftwerke","gesundheitsforschung","un","forschungspolitik","forschung","atomenergie","reaktorsicherheit","regenerativen","entsorgung","morsleben","reaktorsicherheit","atomenergie","strom","kraftwärmekopplung","atommüll","ausstieg","atomenergie","eeg","energie","steinkohle","photovoltaik","emissionshandels","energie","kernenergie","trittin","öl","endlager","energieeffizienz","prozent","kraftwärmekopplung","energie","erneuerbare","fotovoltaik","klimaschutz","kernkraftwerke","durban","energie","eeg","emissionshandel","energieeffizienz","strom","energieeffizienz","klimawandel","eeg","paris","hendricks","sektoren","strom","gas","strom","strom","energie","industrie","fossilen"
"8","mark","dm","grundrente","petersen","schäden","kriegsbeschädigten","leistungen","kunze","gerecht","versorgung","schwerbeschädigten","bazille","personenkreis","fürsorge","staat","kriegsopferausschuss","vereinsgesetz","kriegsopfern","kriegsopferrechts","bezüge","rutschke","vermerk","mommer","räumen","leicht","ölkonzerne","süsterhenn","einzelhandel","warentest","fragen","revierfernen","letzteren","waffen","konten","berufsstand","finanzwirtschaftlichen","kartellnovelle","unternehmen","energie","steinkohle","forschung","wolfram","lenzer","kohle","technologie","energieversorgung","technologie","ministerpräsident","kernkraftwerke","öl","niedersachsen","kernkraftwerke","programm","kernkraftwerke","laufs","wolfram","enquetekommission","energiepolitik","grossforschungseinrichtungen","gentechnologie","technologien","laermann","technik","nutzung","energiepolitik","wiederaufarbeitung","technologie","nutzung","technologie","raumfahrt","technologie","katastrophe","kernkraftwerke","technologie","tschernobyl","grundlagenforschung","energiepolitik","industrieforschung","atomenergie","gorleben","stoffe","erneuerbaren","castortransporte","schütz","umwelt","energieversorgung","kraftwärmekopplung","trittin","kraftwärmekopplung","zwischenlager","grill","kernenergie","anlagen","müller","erneuerbare","industrie","endlager","trittin","energieeffizienz","umweltpolitik","sigmar","kohle","erneuerbare","gabriel","emissionshandel","energieeffizienz","erneuerbare","brennelementesteuer","energiekonzept","energie","industrie","cent","solarindustrie","industrie","kohle","gabriel","hendricks","ausbau","endlager","kohle","energie","ziele","kohleausstieg","emissionshandel","kohleausstieg","co","kohleausstieg","strom"
"9","leistungen","höhe","lastenausgleichsgesetzes","entschädigung","gläubiger","kriegsopferversorgung","schwerbeschädigten","lastenausgleichsgesetz","beamten","novellen","bundesversorgungsgesetz","rasch","rutschke","rutschke","könen","kriegsopfern","bazille","bundesversorgungsgesetz","witwen","monatlich","marken","kontrollrecht","weltkrieges","raumkommission","zustande","anlagen","ministerpräsident","kenntnisse","füllsender","beschränkung","preisniveaustabilität","volkspartei","verbindlich","nölling","beruf","übersenden","wirtschaft","energie","preis","wolfram","russe","energieprogramm","nutzung","bundesregierung","nutzung","energieprogramms","energieversorgung","albrecht","wolfram","laermann","kernkraftwerk","nutzung","technologien","gorleben","thtr","enquetekommission","schnellen","kernenergie","riesenhuber","braunkohle","forschungs","technik","kernkraftwerke","ausstieg","atomenergie","technologie","gutachten","daniels","wiederaufarbeitung","daniels","energieversorgung","energie","bulgarien","wissenschaftler","tanker","störfallverordnung","braunkohle","technologien","gorleben","energiepolitik","umwelt","plutonium","hague","landesregierung","entsorgung","wiederaufarbeitung","anlagen","anlagen","gorleben","endlager","energieversorgung","energieversorgung","erneuerbarer","irena","trittin","allokationsplan","emissionshandel","energie","atomenergie","kernenergie","reaktorsicherheit","kernenergie","co","erneuerbare","gorleben","ccs","eeg","strom","netzausbau","gorleben","photovoltaik","energie","backloading","energie","energie","strom","kohle","hendricks","hendricks","energiepolitik","kohleausstieg","wald","stream","klimapaket","eegumlage","nord","copreis","energieversorgung"
"10","lastenausgleichs","leistungen","leistungen","bundesversorgungsgesetz","verbindlichkeiten","kriegsopfern","ausgleichsfonds","versorgung","lastenausgleichsgesetz","pohle","beamten","versorgung","eichelbaum","kriegsgefangenenentschädigungsgesetzes","einrichtungen","freien","hilfe","sozialhilfe","berechtigten","böhm","räume","künstler","bundestages","raumbedarf","staatsoberhäupter","charakter","rheinlandpfalz","gastwirt","volksentscheid","weit","herr","verwendung","herr","gesetzlicher","gesetzlicher","verläuft","preisempfehlung","textil","grüner","energieprogramms","wirtschaftsausschuss","nutzung","technologien","entsorgung","bergbau","nutzung","energie","öl","energieversorgung","energie","landesregierung","technologie","bugl","endlagerung","snr","forschung","lenzer","wolfram","laermann","technologie","endlagerung","entsorgung","sicherheit","kohle","energieversorgung","abfälle","snr","energiepolitik","endlagerung","energie","solarenergie","nutzung","osteuropa","industrie","atomenergie","wissmann","ick","artikelgesetz","energieversorgung","mochovce","abfälle","einspeisevergütung","energiepolitik","stromeinspeisungsgesetz","atomwirtschaft","kernkraftwerke","tschernobyl","grill","ausstieg","entsorgung","trittin","hustedt","verbändevereinbarung","härtefallregelung","energieversorgung","nationalen","erneuerbare","kiotoprotokoll","energie","energiegipfel","gorleben","prozent","energie","biomasse","kernenergie","prozent","kernenergie","energie","ccs","strom","prozent","energieeffizienz","emissionshandels","eegumlage","emissionshandel","krischer","energieeffizienz","fukushima","gorleben","tihange","klimaziele","anlagen","kohle","klimawandel","energie","industrie","wasserstoff","energiewende"
"11","heimkehrer","kriegsopferversorgung","unterhaltshilfe","hausrathilfe","unterhaltshilfe","renten","heimkehrer","dienst","berechtigten","reform","wesentliche","bundesversorgungsgesetzes","probst","pensionen","sozialhilfe","gemeinden","bundessozialhilfegesetz","rutschke","neuordnungsgesetz","demokratie","bürohauses","satzung","herr","besucher","bundestages","neubau","badischen","gastronomie","bewegen","kräfte","land","reichstag","falsche","verzinsung","spareinlagen","beschuldigungen","wettbewerbs","bundeswirtschaftsminister","energieversorgung","energieforschung","tonnen","kernkraftwerke","forschungsbericht","matthöfer","narjes","bundesregierung","forschung","kernkraftwerke","anlagen","kommission","bau","industrie","kalkar","genehmigungsverfahren","projekt","schnellen","inbetriebnahme","technologien","technologien","energie","nutzung","wiederaufarbeitung","richtlinien","forschung","wallmann","nukem","energien","energie","daniels","nutzung","energie","energieträger","energie","elektroautos","töpfer","matthias","is","kohle","kohle","forschung","reaktoren","evus","energieversorgung","merkel","grill","atomkraft","atomenergie","energieversorgung","frankreich","atommüll","hustedt","kurtdieter","gas","agentur","kernenergie","ökosteuer","kelber","emissionshandel","kelber","erneuerbare","strom","erneuerbare","tonnen","verbraucher","atomenergie","energieversorgung","energie","prozent","energiewende","klimafonds","kraftwärmekopplung","ausbau","industrie","ausbau","hendricks","bullingschröter","prozent","prozent","endlagerung","anlagen","emissionshandel","ausbau","energie","klima","erneuerbare","ausbau","co","öl"
"12","vertriebenen","grundrenten","geschädigten","vorfinanzierung","kriegsopfer","leistungen","beihilfe","lastenausgleich","schwerbeschädigten","bazille","fälle","hinterbliebenen","niggemeyer","personenkreis","fürsorge","einrichtungen","fürsorge","berufsschadensausgleich","leistungen","mandat","verwaltung","abgeordneten","euphorie","untergebracht","notwendig","spiele","hofmann","rechtsausschusses","benennung","abgeordneter","drastischer","erwachsene","neugliederung","gnade","konten","berufe","aufhebung","energiekrise","zentren","nutzung","unternehmen","energieversorgung","markt","bau","energieversorgung","antarktis","schnellen","technologie","laermann","forschungs","energieversorgung","kohle","projekte","technologie","hochtemperaturreaktor","technologie","technik","steinkohle","stahl","wolfram","biotechnologie","energiepolitik","eureka","grossforschungseinrichtungen","technik","wackersdorf","schnellen","biblis","entsorgung","gorleben","energiequellen","energiepolitischen","raumfahrt","iaeo","strom","energiepolitik","energien","forschungs","energieträger","energieversorgung","klinkert","regenerativer","castortransport","gorleben","transporten","ukraine","energiepolitik","gorleben","endlager","nutzung","kraftwärmekopplung","energie","energieversorgung","erneuerbarer","biomasse","tonnen","prozent","strom","kernkraftwerke","biokraftstoffe","fell","energie","coemissionen","eeg","umwelt","co","strom","energiepolitik","klimaschutz","ausbau","asse","kilowattstunde","energie","erneuerbare","krischer","tonnen","erreichen","erneuerbare","atomenergie","netzentgelte","kohle","erreichen","versorgungssicherheit","kohleausstieg","kohle","altmaier","energiewende","erneuerbare"
"13","gesetzes","schwerbeschädigte","renten","erhöhung","höhe","kriegsbeschädigte","kriegsgefangenenentschädigungsgesetz","lehrer","entschädigung","beschädigten","vorfinanzierung","rutschke","rechtsanspruch","kriegsgefangenenentschädigungsgesetz","wohlfahrtspflege","genommen","neuordnungsgesetz","bundesarbeitsminister","probst","vorlage","vorstandes","monatlich","quote","arbeitszimmer","bedienstete","tabakanbau","altersversorgung","elbrächter","geräusch","ausreichte","industrieanlagen","staaten","zementiert","lebenserwartung","schriftlichen","bieten","kartellamt","gesellschaften","wettbewerbs","tonnen","internationalen","energieverwendung","anlagen","energieversorgung","stahl","energiepolitischen","narjes","luft","kernkraftwerken","technologie","riesenhuber","ausbau","nutzung","grossforschungseinrichtungen","betreiber","empfehlung","kernenergie","techniken","technologiepolitik","technik","brüter","wackersdorf","nutzung","technik","technologie","tschernobyl","risiken","energieeinsparung","brasilien","energieversorgung","erneuerbaren","braband","reaktoren","mayer","umwelt","catenhusen","wi","energieversorgung","tschernobyl","betrieb","landessammelstelle","energie","atomenergie","atomenergie","naturschutz","grill","energieversorgung","kernkraftwerke","erneuerbaren","hustedt","nutzung","erneuerbare","verbändevereinbarungen","energie","energie","erneuerbare","gorleben","loske","prozent","fell","erneuerbare","atomenergie","kohlekraftwerke","energiepolitik","erneuerbare","ausbau","energieeffizienz","kernenergie","ausstieg","umweltminister","ausbau","erneuerbare","eeg","netzausbau","prozent","eegumlage","kwk","bullingschröter","bullingschröter","bullingschröter","klimawandel","emissionen","nord","energie","co","gas","klima","eegumlage"
"14","erhöhung","personenkreis","lastenausgleichsgesetz","kriegsopferversorgung","bvg","gewährung","ansprüche","kather","novelle","opfer","besprechung","opfer","entschädigung","leistungen","gesellschaft","frau","sozialhilfe","dm","opfer","altersversorgung","arbeitsräume","rechtlich","brese","ausschüsse","mitfinanzierung","grösse","arbeitsbedingungen","brauereien","filmförderungsanstalt","reichstag","thoma","verlängern","ausrutscher","herr","finanzausschuss","anlagen","preisempfehlungen","steinkohle","markt","fortschreibung","energieversorgung","technologie","projekte","fortschreibung","entsorgung","narjes","lenzer","tokio","bau","grundlagenforschung","öl","energie","bmft","nutzung","solarenergie","forschungsgruppe","brüter","forschungs","probst","atomenergie","riesenhuber","nutzung","vosen","atomenergie","risiken","technik","wiederaufarbeitungsanlage","strahlenschutz","atomgesetzes","raumstation","klimakatastrophe","technologie","energieträger","energiepolitik","reaktoren","wissenschaftler","raumfahrt","braunkohle","temelin","technologie","gorleben","ahaus","la","uldall","nutzung","müller","gorleben","atomenergie","strom","energien","energiebericht","kohle","erneuerbare","subventionen","kosten","kelber","kiotoprotokoll","abfälle","energiemix","kohle","kernenergie","strom","kauch","höhn","prozent","anreizregulierung","energiepolitik","energieversorgung","energieversorgung","umwelt","eeg","industrie","netzausbau","gabriel","industrie","energie","erneuerbare","tschernobyl","abfälle","lingen","klima","grad","energiepolitik","klimaziele","ausbau","klimakrise","klimawandel","abhängigkeit"
"15","kriegsbeschädigten","erhöhung","witwen","lastenausgleich","forderungen","grundrente","kriegsopfer","hausratentschädigung","weiden","probst","prüfung","grundrenten","bundesversorgungsgesetz","geheilt","freie","gesetz","rutschke","blank","rahmen","tagegeldpauschale","bauen","pensionsrückstellungen","dabei","neubau","verwaltung","besucher","land","neuwied","grundnetzsender","billigste","registrierten","herr","presseverlautbarung","anfrage","einheitsberuf","fälle","novelle","kernenergie","marktwirtschaft","energiepolitik","bau","kernkraftwerken","industrie","hauff","fortschreibung","gorleben","nutzung","nutzung","technik","industrie","ministerpräsident","öl","gerstein","technik","studie","kalkar","nutzung","fortschreibung","forschungsförderung","strom","industrie","kohle","laermann","bevölkerung","energie","energieversorgung","wackersdorf","reaktorsicherheit","technik","projekte","strom","greifswald","energien","kernenergie","energie","krüger","endlager","technik","schröder","reaktorsicherheit","naturschutz","photovoltaik","grill","endlager","grenzwertüberschreitungen","tschernobyl","kernkraftwerke","nutzung","energieversorgung","transport","kernkraftwerke","atomenergie","nutzung","rag","anlagen","anlagen","grill","kiotoprotokolls","deutschland","energieeffizienz","energie","co","emissionshandel","kraftwerke","sigmar","hill","umwelt","atomkraftwerke","energie","iter","energiepolitik","energiepolitik","strom","cent","gabriel","co","bullingschröter","krischer","euratom","umwelt","ausbau","energie","energieversorgung","klimapolitik","industrie","stream","ziele","kohle"
"16","höhe","bundesversorgungsgesetz","versorgung","kriegsgefangenenentschädigungsgesetzes","lastenausgleich","petersen","petersen","verbesserungen","geschädigten","ausgleichsrenten","ansprüche","frau","opfer","bundesversorgungsgesetzes","barzel","träger","sozialhilfegesetz","neuordnung","rm","entschädigung","räumen","aktienrechtliche","schmid","arbeitsräume","räume","bonner","grossrichter","herr","geschäftsführung","zurückhalten","entfernung","minister","vermeidung","teilnehmer","steuerbevollmächtigte","weshalb","abschaffung","situation","industrie","verstromungsgesetz","energieprogramms","anlagen","bundesregierung","stahl","bau","forschungs","energieverwendung","hauff","technologie","importkohle","grundlagenforschung","kommission","studien","kernkraftwerken","nutzung","studie","laermann","enquetekommission","entsorgung","kernkraftwerke","probst","projekte","gentechnologie","sicherheit","steinkohle","forschung","sicherheit","entsorgung","wissenschaft","technik","tschernobyl","riesenhuber","schäfer","energie","raumfahrt","energien","kohle","standort","kernkraftwerke","hirche","bundesministerin","windkraftanlagen","ausstieg","windenergie","konrad","transporte","hustedt","energie","entsorgungskonzept","transporten","atomausstieg","jung","regenerativen","hartmann","umwelt","emissionen","kosten","endlager","anlagen","emissionshandel","marktanreizprogramm","coausstoss","preise","erneuerbarer","atomkraftwerke","energieaussenpolitik","laufzeitverlängerung","gorleben","energiepolitik","energiepolitik","erneuerbare","netzausbau","umweltminister","energiepolitik","deutschland","gebäudesanierung","ziele","netzausbau","strom","kohleausstieg","klimapolitik","kohleausstieg","preis","klimaschutzgesetz","windenergie","klimapolitik","ausbau","wasserstoff"
"17","personenkreis","novelle","ausgleichsrente","kriegerwitwen","witwen","ansprüche","lastenausgleichsgesetzes","leistungen","wehretat","ausgleichsrente","ausgleichsrenten","blank","hilfen","heimkehrerfragen","abs","beschädigung","heimkehrerfragen","kriegsopferrechts","gerechter","parlamentarischen","herr","aufgliederung","genannt","dienstag","abgeordneten","ausdrücklich","rechtsgefühl","gewerbefreiheit","wahlkreis","ruhen","bundeskanzler","wörtlich","vermehrt","preis","wirtschaftsprüfer","offen","jens","erdöl","handel","elektrizitätswirtschaft","wirtschaft","forschung","energieeinsparung","energieprogramms","wolfram","energieverwendung","snr","bundesregierung","bundesregierung","wolfram","nutzung","frankreich","technologiepolitik","kohle","gerstein","schäfer","stahl","schnellen","förderung","energieeinsparung","flugsicherung","riesenhuber","technologien","energieversorgung","gorleben","energiepolitik","energieversorgung","wiederaufarbeitung","laermann","endlagerung","faktenbericht","ausstieg","ausstieg","umwelt","energiepolitik","zentren","energieversorgung","energieträger","erneuerbaren","kurtdieter","technologie","brennelemente","zwischenlager","garzweiler","gewusst","nutzung","japan","hustedt","temelin","demonstranten","erneuerbare","erneuerbareenergiengesetz","stromerzeugung","kosten","allokationsplan","fell","energieeffizienz","energiepolitik","minister","umwelt","klimawandel","energiepolitik","hill","energiepreise","atomkraft","kohlekraftwerke","energieversorgung","energieeffizienz","netz","erneuerbare","klimaschutz","strompreise","energieeffizienz","prozent","eegumlage","kohle","wärme","deutschland","atomkraft","energie","emissionen","kohle","emissionshandel","ziele","photovoltaik","klima","emissionshandel","habeck"
