"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","abstimmung","uhr","geschäftsordnung","geschäftsordnung","geschäftsordnung","uhr","tagesordnung","geschäftsordnung","tagesordnung","präsident","präsident","kirche","herr","präsident","geschäftsordnung","präsident","kriegsopferversorgung","kriegsopfer","herr","geschäftsordnung","damen","präsident","antrag","geschäftsordnung","geschäftsordnung","geschäftsordnung","geschäftsordnung","geschäftsordnung","minuten","minuten","minuten","minuten","minuten","uhr","verhaltensregeln","wahl","geschäftsordnung","reichstag","künstler","ausstellung","kulturpolitik","künstler","abgeordneten","geschäftsordnung","enquetekommission","schulen","datenschutz","datenschutz","geschäftsordnung","datenschutz","plenarsaal","parlament","datenschutz","the","of","datenschutzbeauftragten","bericht","meeresschildkröten","hartenstein","artenschutznovelle","ostfriesland","nordsee","fremdenverkehr","nordsee","deg","arbeitsloseninitiativen","caretta","anwaltschaft","notare","tourismus","neuen","fremdenverkehr","gläubiger","tourismus","banken","dat","banken","banken","banken","tourismus","tourismus","raucher","tourismus","dutyfree","tourismus","tourismus","expo","tourismus","tourismus","tourismus","trinkgeldbesteuerung","tourismus","burgbacher","tourismus","tourismus","tourismus","tourismus","aussengastronomie","flughäfen","tourismus","tourismus","alkohol","tourismus","tourismus","tourismus","tourismus","tourismus","tourismus","tourismus","tourismus","folter","tourismus","tourismus","drogen","institut","ezigaretten","tab","institut","cannabis","cannabis","rauchen","fehlender","ballast","werbung","cannabis","sepsis","cannabis"
"2","tagesordnung","sitzung","sitzung","uhr","tagesordnung","tagesordnung","geschäftsordnung","geschäftsordnung","präsident","präsident","geschäftsordnung","dr","präsident","präsident","herr","präsident","kriegsopfer","geschäftsordnung","geschäftsordnung","präsident","damen","präsident","herren","herren","herr","ältestenrat","herren","damen","parlament","redezeit","hauses","redezeit","redezeit","redezeit","minuten","abgeordnete","uhr","minuten","uhr","kunst","uhr","künstler","abgeordneten","bundestages","datenschutz","kommission","ausland","datenschutzes","statistik","daten","bundesbeauftragten","parlament","iranischen","tätigkeitsbericht","of","traditionserlass","datenschutz","flüchtlingskommissar","tiere","meeresschildkröten","wanderfalken","gutachten","würzburg","tourismus","bayerischen","nordsee","diätenerhöhung","deg","anwälte","rsk","fremdenverkehr","bundesländern","tourismus","schuldner","wismut","versicherungen","de","gläubiger","dzt","schuldner","sekten","bnd","rauchen","rauchen","dutyfreehandel","brähmig","tourismuswirtschaft","tourismus","promille","expo","tourismuswirtschaft","hinsken","grossschutzgebieten","uhr","hotel","wassertourismus","flughäfen","band","lärm","tourismus","rauchen","nichtraucherschutz","tourismus","reisen","passivrauchen","aupairs","barrierefreiheit","kulturtourismus","sozialtourismus","barrierefreiheit","jugendtourismus","verhütung","drogen","tourismuspolitischen","tourismus","menschenrechte","eshishas","rauchen","instituts","tourismus","drogen","werbung","verantwortungslosigkeit","cannabis","rauchen","drogen","rauchen","truman"
"3","herren","uhr","antrag","sitzung","antrag","antrag","sitzung","präsident","tagesordnung","uhr","fraktion","herr","herr","antrag","geschäftsordnung","damen","geschäftsordnung","präsident","antrag","antrag","herr","herren","geschäftsordnung","damen","herren","präsident","präsident","präsident","parlamentsreform","geschäftsordnung","redezeit","uhr","wort","beantragt","wort","wort","stunde","aktuelle","herren","künstlerischen","berufe","auswärtigen","mandat","auswärtigen","mitglieder","parlament","kulturpolitik","bundesbeauftragten","statistischen","parlament","datenschutzes","bauten","iran","bundesbeauftragten","and","effizienz","the","hohen","arten","bescheinigungen","arten","emden","würzburger","urlaub","bayerische","ladenschlussgesetz","umweltverträglichkeitsprüfung","tourismus","berufsrecht","ddr","wismut","brandenburg","wismut","insolvenzordnung","fremdenverkehr","versicherungswirtschaft","un","insolvenzordnung","tourismus","gläubiger","psychogruppen","pkk","nichtraucher","saibold","olderog","mehrwertsteuersatz","hochwasser","branche","burgbacher","burgbacher","branche","biergärten","grossschutzgebiete","hinsken","urlaub","tourismuswirtschaft","fluglärmgesetz","tourismuswirtschaft","sperrzeiten","anwohner","werbung","rauchen","ziffer","tourismuswirtschaft","gastronomie","überhangmandate","hotels","lüchowdannenberg","oits","cannabis","jugendreisen","cannabis","cannabis","gleicke","drogenpolitik","cannabis","alpen","ezigarette","menschenrechte","drogen","drogenpolitik","cannabis","übersehen","privatpiloten","zigarette","legalisierung","ezigaretten","legalisierung"
"4","abstimmung","antrag","tagesordnung","antrag","sitzung","uhr","tagesordnung","rasner","damen","herren","herr","herren","herren","damen","herren","herr","kriegsopferversorgung","damen","präsident","herren","antrag","herr","damen","herr","präsident","antrag","abgeordneten","herr","ausschüsse","herren","wort","parlament","uhr","uhr","abgeordnete","geschäftsordnungsausschuss","kulturpolitik","herr","bundestages","kulturpolitik","sitzung","kunst","entschädigung","kulturpolitik","auslegung","parlaments","rahmenplan","daten","ausland","datenschutzes","datenverarbeitung","parlaments","resolution","datenschutzes","to","datenschutz","bundesbeauftragten","washingtoner","gelände","gallus","leuchtturm","ostfriesischen","umwelttag","fremdenverkehrs","staatsregierung","dalyandelta","hafen","dalyandelta","rechtsanwälte","bundesnotarordnung","urlaub","dagmar","fremdenverkehrs","pick","aktionsplan","depotstimmrecht","ick","insolvenzrecht","girokonto","dat","fremdenverkehrswirtschaft","dienste","sauer","nichtraucher","taxfreeregelung","pkk","volksfeste","brähmig","brähmig","hinsken","mosdorf","sperrzeiten","hinsken","antrag","gaststättengewerbe","bahnübergängen","flugverkehr","flughäfen","arndtbrauer","fluglärm","rauchverbot","schutz","besonderes","hinsken","rauchverbot","jugendaustausch","kulturtourismus","region","reisen","reformation","reisen","bundesstelle","substitutionsbehandlung","gäste","konsumenten","pariser","jugendliche","ezigaretten","tourismus","drogenpolitik","alkohol","gentherapie","deutschland","christkind","tabakwerbung","schwarzmarkt","prävention","linksgelbe"
"5","geschäftsordnung","damen","abstimmung","damen","uhr","sitzung","damen","uhr","herren","herr","damen","gerstenmaier","gerstenmaier","abgeordneter","hauses","antrag","damen","herren","fraktion","geschäftsordnung","herren","fraktion","dichgans","fraktion","antrag","damen","herr","herren","parlaments","damen","parlament","herren","fraktion","abgeordnete","damen","präsidium","stimmkarten","redezeit","stimmzettel","berufe","fragestunde","kommission","bundestages","amt","bundestages","verfassungsreform","auslandsschulen","parlament","daten","datenschutz","tätigkeitsbericht","daten","menschenrechtspaktes","datenschutzbeauftragten","our","kittelmann","npd","kommissar","landesregierung","arten","mitwirkungsmöglichkeiten","inseln","inseln","fremdenverkehrswirtschaft","munster","artenschutz","stösst","dalyanbucht","berufsrechts","notariat","region","alten","touristischen","pfändungsfreigrenzen","fremdenverkehrs","branche","is","dslbank","fremdenverkehr","gerichtsvollzieher","touristen","kontrolle","nichtraucherschutz","raucher","tourismus","antrag","region","mehrwertsteuersatz","alkohol","branche","tourismusbranche","abschaffung","touristische","hotel","uhr","irber","motorradfahrer","kulturtourismus","tanken","grenzwerte","gastronomie","rauchverbot","urlaub","tourismuspolitischen","leitlinien","gastfamilie","hotellerie","touristische","urlaub","barrierefreien","cannabis","gewahrsamseinrichtungen","substanzen","bundesregierung","urlaub","instituts","zigaretten","zigaretten","fabritius","jugendschutz","belegt","tabakwerbung","cannabis","geschenke","werbeverbot","alkohol","werbung","körper"
"6","sitzung","herren","geschäftsordnung","herren","abstimmung","präsident","dr","sitzung","fraktion","antrag","herren","abgeordneter","dr","gerstenmaier","kirche","herren","herren","herr","mommer","damen","ältestenrat","lesung","fraktion","lesung","ältestenrat","herren","damen","genscher","hauses","hauses","herr","wort","beantragt","damen","redezeit","erklärung","schriftführer","berufe","geschäftsordnung","uhr","herr","kulturellen","datenschutz","deutschen","anfragen","verfassung","auswärtigen","bundesdatenschutzgesetz","statistiken","meldebehörden","daten","datenschutzes","udssr","datenverarbeitung","that","vielleicht","is","meeresschildkröten","washingtoner","kommerziellen","washingtoner","dollarthafen","tietjen","oberjettenberg","kampfstoffen","caretta","einfluss","türkischen","anwalt","anwälte","dörfler","enkelmann","touristische","schuldners","touristischen","verbraucher","wi","insolvenzverfahren","urlaub","kunden","olderog","saibold","passivrauchen","nichtraucherschutzgesetz","steen","dienste","tourismusbranche","hannover","branche","brähmig","brähmig","brähmig","intakten","aussengastronomie","wassertourismus","uhr","luftverkehrswirtschaft","antrag","ingrid","fluglärmgesetz","raucher","jugendarbeitsschutzgesetz","aufklärung","tourismuspolitik","gaststätten","aupairbeschäftigung","gastronomie","barrierefreiheit","familienerholung","itb","barrierefreiheit","stelle","ländlichen","charles","konsum","astatus","rauchen","alkohol","jugendliche","legalisierung","schwarzmarkt","tabak","eu","verschlechtern","tabak","konsumenten","cent","drogen"
"7","bitte","geschäftsordnung","dr","abstimmung","übergang","herren","präsident","herren","gerstenmaier","dr","tagesordnung","damen","damen","dr","antrag","gerstenmaier","ältestenrat","kriegsopfer","herren","vorlage","präsident","antrag","antrag","haushaltsausschuss","damen","wörner","fraktion","antrag","präsident","mitglieder","damen","herr","herren","wort","aussprache","abgabe","fragestunde","uhr","diäten","mitglieder","bundestages","kulturelle","datenschutzgesetz","picard","parlament","ostdeutschen","auswärtige","bundesdatenschutzgesetzes","datenschutzes","parlaments","datenschutzbeauftragten","bundestages","vier","sicherheitsbehörden","we","sicht","katze","besuch","esterwegen","produkte","tiere","region","küste","arten","bayern","nationalparks","zerstört","nationalparks","anwaltliche","unbekannt","fremdenverkehrs","umstrukturierungsprozess","hotels","restschuldbefreiung","olderog","aufsichtsratsmandate","nich","restschuldbefreiung","bury","jo","scientology","kontrollkommission","rauchern","tourismuswirtschaft","angebote","gastgewerbe","brähmig","tourismuswirtschaft","promillegrenze","tourismuswirtschaft","hinsken","burgbacher","roth","anwohner","tourismuswirtschaft","friedrichnaumannstiftung","antrag","undine","uhr","lärm","tourismusbranche","passivrauchen","uhr","deutschlandtourismus","tourismuswirtschaft","zigaretten","hotel","hotels","jugendreisen","barrierefreie","jugendherbergen","nationalen","hotel","huber","droge","prinzipien","tourismus","drogen","gefahren","tempel","cannabiskonsum","werbeverbot","nachrichten","sozusagen","produkt","cannabiskonsum","keime","freigabe"
"8","damen","tagesordnung","damen","tagesordnung","herren","damen","herren","fraktion","sitzung","fraktion","dr","uhr","antrag","geschäftsordnung","gerstenmaier","wort","herr","antrag","damen","fraktion","kollege","ältestenrat","ältestenrat","plenum","haus","herr","antrag","minuten","mitglieder","präsident","präsident","damen","stunde","aussprache","beantragt","herren","aktuelle","stunde","wahl","stimmzettel","geschlossen","ausland","öffentlichen","hermann","bundesbeauftragten","bericht","enquetekommission","wahlrecht","datenverarbeitung","ausland","leistungsträger","bibliothek","waldburgzeil","bundesdatenschutzgesetzes","datenschutz","and","siedlung","hartling","lager","informationen","artenschutzes","wattenmeer","arten","nordsee","verbrannt","schäden","sachverständiger","region","standort","region","wegener","osten","erpwirtschaftsplan","konkurs","urlaub","bank","se","behinderte","hotel","de","feldmann","branche","tourismus","arbeitsplatz","hotels","mehrwertsteuersatzes","bayern","weltausstellung","expo","irber","irber","biergarten","gangenen","biergarten","ferienregelung","aussengastronomie","flugwirtschaft","kurth","ta","militärflughäfen","jugendliche","jugendlichen","tabak","pauschalreisen","barrierefreiheit","gastfamilien","lambsdorff","tasche","mitgliedschaft","drogen","kinder","drogen","barrierefreiheit","reisen","legalisierung","tourismus","alpenkonvention","technikfolgenabschätzung","drogen","institut","abgabe","jugendschutz","zulässt","europaweiten","ezigaretten","konsum","zahl","verfügbaren"
"9","dr","dr","hauses","hauses","dr","rasner","fraktion","grundgesetzänderung","antrag","damen","ältestenrat","antrag","abgeordneter","herren","damen","fraktionen","gerstenmaier","hauses","kriegsopferversorgung","hauses","mommer","haus","gerstenmaier","vorlage","dr","haus","moersch","hauses","redezeit","bundestages","abgeordneten","abgeordnete","damen","hauses","fahren","aussprache","damen","geschlossen","bitte","künstlern","gutachter","bericht","parlament","mitglieder","anfrage","schlussbericht","deutschen","datenverarbeitung","datenschutzbeauftragten","meldewesen","arbeit","mönchverlag","befasst","laufs","is","to","streichungsanträge","innenminister","niedersächsischen","legal","naturschutzgesetzes","niederlande","niedersachsen","kirchholz","pilotprojekt","frau","artenschutz","schanz","anwälten","dsb","steinitz","zwangsweise","thüringen","funke","touristische","gwb","mi","konkursordnung","kreditinstitute","herr","gastgewerbe","gleichstellungsstellen","rauchverbot","passivrauchen","arbeitsplätze","kontrollgremium","schaustellergewerbe","hinsken","volksfeste","mosdorf","urlaub","aussengastronomie","verehrte","gastgewerbe","tourismuspolitik","oecd","unfallverhütungsbericht","gäste","ladenöffnungszeiten","lärmschutz","tabakindustrie","uhr","überbietungswettbewerb","tourismusbranche","nichtraucherschutz","stimmgewicht","gäste","städte","familienferienstätten","barrierefreier","angebote","ausstattung","reisen","tourismusbranche","ländlichen","grundlage","jugendlichen","werbung","rauchen","konsumenten","fehlanzeige","jugendlichen","meist","überzogenen","zigaretten","abgabe","zitat","präsidentin"
"10","drucksache","bitte","herren","minuten","damen","herr","antrag","damen","dr","morgen","abgeordneter","geschäftsordnung","kriegsdienstverweigerer","vorlage","ausschuss","hauses","kriegsopfern","probst","herr","beratung","ausschuss","ausschuss","redner","präsident","minuten","minuten","hause","mitglieder","abgeordneten","parlament","abgeordnete","parlaments","aktuelle","präsident","fort","redezeit","auswärtigen","fragestunde","sitzung","auswärtige","bücher","auswärtige","mitglieder","goetheinstituts","personenkennzeichen","kulturpolitik","hammbrücher","wahlkreise","bull","geschäftsordnungsausschuss","bundesbeauftragte","statistiken","staatssekretär","bundesbeauftragte","peace","erhaltenen","rechtsextremismus","möllemann","einfuhr","frau","niedersächsischen","dollart","dokumentations","wittmann","vahlberg","carstensen","bundeskongress","köycegiz","immer","tourismus","thüringen","lpg","gaststätten","insolvenzrecht","ewen","uldall","charta","schneider","feldmann","bank","sextourismus","such","girokonto","titzestecher","butterfahrten","kollege","schäden","burgbacher","schausteller","gastronomie","trinkgeldbesteuerung","kastner","branche","angaben","branche","sperrzeiten","anwohner","brähmig","antrag","fluglärmgesetzes","uhr","jugendliche","fünf","reisenden","urlaub","wahlrecht","reisen","mehrwertsteuersätze","barrierefreiheit","lutherdekade","barrierefreien","drugchecking","antrag","tourismusausschuss","antrag","armuts","nikotin","institut","sonntagszeitung","park","kontrollierte","tabakindustrie","formen","ruhe","tabakindustrie","prävention","liquids","lotteriegesetz"
"11","uhr","drucksache","schmid","präsident","bundestages","fraktion","rasner","herr","abgeordneter","sitzung","schmid","vizepräsident","kirchen","fraktionen","abgeordneter","bazille","antrag","rasner","vorlage","beschluss","beschluss","geschäftsordnung","minuten","geschäftsordnung","verehrten","arbeitsrhythmus","redezeit","fraktion","genscher","schriftführer","herren","präsident","präsident","fragestunde","herren","mitglieder","herren","hauses","fragestunde","bundestages","nächste","sprache","daten","wahl","arbeit","auswärtige","pfeifer","wahlkreiseinteilung","amt","collet","alterspräsident","auswärtige","bundestages","datenschutzrecht","it","resolution","zeug","arten","ewgverordnung","parlaments","riss","staatsregierung","emslandlager","landschaft","landschaft","ölverschmutzung","pflanzenarten","artenschutz","wehrbereich","geordneten","tourismuspolitik","ehemaligen","beckmann","insolvenzrechts","förderung","hauptversammlung","ok","schuldner","kastner","vollstreckungsgericht","scientologen","fremdenverkehr","arbeitsplatz","branche","dutyfreeregelung","hotellerie","trinkgeld","dzt","getränk","gäste","übernachtungen","irber","wirtschaftszweige","ditmar","jugendarbeitsschutz","burgbacher","filter","deutschland","fussballweltmeisterschaft","schallschutz","urlaub","gaststätten","zwei","barrierefreiheit","passivrauchens","aupairbeschäftigungen","wowereit","website","jugendherbergen","menschen","antrag","tourismus","substitutionstherapie","gästen","crystal","konsum","ezigarette","gefahren","europarats","görlitzer","behauptet","legalisierung","vorsitzende","grundlegend","ezigarette","nanogramm","tabaksteuer","werbung"
"12","abgeordneter","schliesse","morgen","bundestages","fraktion","gerstenmaier","ältestenrat","antrag","herr","geschäftsordnung","rasner","lesung","geschäftsordnung","uhr","dr","ausschuss","fraktion","wort","bazille","wort","haus","vorlage","herr","dichgans","hause","hauses","kollegen","bundestages","fragestunde","fraktion","bauer","hauses","abgeordnete","stunde","ältestenrat","beantragt","sitzung","wahl","stunde","auswärtigen","ende","aussenpolitik","berufe","hauses","daten","volksbegehren","begegnungsschulen","amt","bundesdatenschutzgesetzes","sozialrecht","arbeitsgemeinschaften","abgeordneten","einzelnen","effizienz","for","düsseldorf","of","tiere","artenschutzes","verfügung","illegalen","hafen","umwelttages","blunck","belgien","gängig","betten","strand","mischfinanzierung","verstehen","gebühren","bundesländer","touristen","konkursordnung","gmbh","reiseveranstalter","wat","versicherungen","sparkassen","ik","touristischen","geheimdienste","passivrauchens","rauchern","monti","hinsken","burgbacher","region","hinsken","trinkgelder","trinkgeld","tourismus","getöteten","biergärten","barrierefreien","antrag","vermarkten","grüne","klimke","tourismuswirtschaft","nichtraucherschutz","hinsken","kinder","burgbacher","arbeitsstättenverordnung","aupairbeschäftigten","reduzierten","schädliche","calypso","bitv","urlaub","drogenpolitik","drogenpolitik","stelle","portugal","unabhängigkeit","menschenrechtsrat","rauchens","jugendlichen","zeulner","gescheitert","raucher","politiker","müssen","nikotin","datentreuhänder","aufruf","irgendeiner"
"13","herr","abgeordneten","vizepräsident","dr","präsident","beratung","eröffnet","punkt","mommer","ältestenrat","antrag","vorlage","beauftragte","kollege","haus","haus","probst","vorlage","plenum","sozialdemokratischen","kabinett","wort","kollege","dr","bundestages","tagesordnung","fraktionen","fraktionen","ausschusssitzungen","wahl","kollegen","fraktionen","spdfraktion","parlament","fragestunde","halbdeckung","mitglieder","herren","minuten","ausland","beendet","mittlerorganisationen","publizisten","parlament","parlamentarischen","wahl","kulturellen","kommission","tätigkeitsbericht","parlamentsreform","bundesdatenschutzgesetzes","aufgaben","aussagen","verwaltungsvorschriften","have","hindernisse","datenschutzbeauftragte","flüchtlingskommissars","dokumentations","ernst","cronenberg","projekt","pflanzen","natur","vernichtung","tourismus","kodex","türkische","ökologischen","einwohner","beckmann","sachsen","bundesländern","gläubigern","steen","aktionäre","to","bury","gastgewerbe","zwangsvollstreckung","banken","touristischen","nichtraucherinnen","philoxenia","reiseverkehr","mehrwertsteuersätze","branche","mehrwertsteuersätze","getränke","roth","tourismuspolitik","trinkgelder","dualen","sperrzeiten","burgbacher","gastronomie","lärmschutz","grünes","tankstellen","bundesinstitut","tabakwerbung","gastronomie","jugendlichen","urlaub","tourismuspolitik","aupair","paula","gäste","erholung","behinderungen","tourismuswirtschaft","nationale","methamphetamin","urlaub","regionen","steinbach","konsum","tabak","ausbauen","schwarzmarkt","freigabe","menschen","adams","nordkreuz","jugendliche","verboten","skandal","klar"
"14","abgeordneten","vizepräsident","bitte","finanzvorlagen","hauses","abgeordneter","minuten","beratung","redezeit","gerstenmaier","gerstenmaier","sitzung","vizepräsident","lesung","lesung","dr","hauses","fraktion","ausschuss","dr","abgeordnete","demokraten","haus","kollege","sache","redezeit","wort","redner","kollegen","antrag","parlaments","rawe","herr","herren","unterbrechung","uhr","redezeit","damen","ausstellung","wahl","donnerstag","enquetekommission","angehörigen","auswärtige","amt","kandidaten","lehrer","parlaments","erhebungen","statistiken","bundestages","liebe","gepflogenheiten","daten","are","ideale","parl","vereinten","aussterben","bericht","frau","ems","biotope","csu","bremen","internationalen","ladenschlussgesetz","betten","verwaltungsrichter","weise","pds","aufbau","objekte","wismut","tourismuspolitik","konkurs","ook","behinderten","wettbewerb","eidesstattlichen","urlaub","tourismuswirtschaft","verkehrsmitteln","rücksichtnahme","taxfreehandel","urlaub","touristischen","urlaub","tourismuswirtschaft","tourismusbranche","trinkgelder","uhr","zingst","antragsverfahren","touristische","unbeschrankten","auto","region","modell","heilmann","jugendlichen","jugendarbeitsschutzgesetzes","flugplätzen","touristischen","schutz","touristische","urlaub","zusätzlichen","finanzieren","luthers","thema","länderkommission","substitution","kassner","jugendschutz","kulturtourismus","jugendschutz","cannabis","bericht","substanzen","fdp","zigaretten","ungeregelte","erstaunlicherweise","aussenwerbung","konsumieren","pro","drogenpolitik"
"15","wort","jaeger","bundestages","haus","redner","ältestenrat","herr","ältestenrat","schmid","rasner","entschliessung","becker","evangelischen","hauses","vorlage","kollege","dr","neuordnungsgesetz","hause","kollege","fraktion","vorlagen","mommer","ausschüsse","beschluss","redner","dr","rasner","herren","herr","ausschuss","präsidium","geschäftsordnung","fort","vereinbarung","fahren","stimmzettel","sitzung","eid","wehrbeauftragten","damen","goetheinstitut","dienstes","kulturellen","berufe","organ","kultur","bundesbeauftragte","bundesbeauftragten","datenverarbeitung","hirsch","planung","präsidiums","datenschutzbeauftragte","as","glänzend","bundesbeauftragte","nationen","emslandlager","atommacht","bundesregierung","dollarthafens","wattenmeer","touristischen","hafen","türkische","einbussen","lebenden","immigranten","aufgekauft","hotels","orientierten","neuen","vergleichsordnung","touristen","deregulierung","behinderte","konkurs","bank","nich","saibold","nachrichtendienste","titzestecher","marketing","lady","nachrichtendienste","urlaub","tourismusbranche","mosdorf","aussengastronomie","dzt","sperrzeit","urlaub","urlaub","realschüler","brähmig","kerosinsteuer","tourismusbranche","gäste","lärmwirkungsforschung","zigarette","naturparke","kampfansage","gesundheit","rauchen","benneter","bayerischen","jahr","mitglied","natko","drogenpolitik","droge","gaststättengewerbe","ländlichen","schwarzmarkt","gesetzentwurf","armuts","tabakwerbung","herr","emmi","tabak","kinder","problem","mama","elektronische","drogenpolitik","sterben","rollenklischees"
"16","minuten","namentliche","präsident","mitglieder","vizepräsident","dr","hauses","dr","minuten","hauses","uhr","nächste","beschluss","jaeger","fraktionen","abgeordnete","fraktionen","dr","hauses","vizepräsident","hauses","gerstenmaier","regierung","fraktionen","fraktion","dr","haus","haus","moersch","uhr","fraktionen","beantragt","dr","fraktion","wagner","persönlichen","berliner","angemeldet","damen","sitzung","minuten","schulzevorberg","sonderausschuss","gewählten","datenverarbeitung","mandat","kulturelle","tätigkeitsbericht","goetheinstituts","arbeit","kapitel","arbeit","fernsprechbücher","personenbezogenen","on","verbundenheit","sorgsam","kommissars","erinnerung","parteienfinanzierungsgesetz","herr","ewen","ostfriesischen","staatsregierung","fremdenverkehr","hotel","bundesnaturschutzgesetz","wahlverhalten","ladenschlussgesetz","auslandsschulwesen","rechtsanwälte","ausreichen","debatte","zwangsvollstreckung","feldmann","bundesaufsichtsamt","behinderten","bank","new","zwangsvollstreckungsnovelle","janssen","tourismuspolitik","kastner","touristischen","erhalt","gastronomie","trinkgelder","trinkgeldbesteuerung","verkehrssicherheit","deutschlandtourismus","gastronomie","roth","menge","regelung","hinsken","global","getöteten","flugverkehr","öffnungszeiten","gäste","nichtraucher","burgbacher","nichtraucherschutz","jugendlichen","arbeitsstätten","überhangmandaten","leitlinien","esel","tourismuspolitischen","legalisierung","touristischen","personelle","urlaub","gemeinschaftsaufgabe","touristischen","alkohol","liquids","menschenrechte","offene","blienert","legalisierung","tourismus","legalisierung","konsumieren","gesundheit","verbotspolitik","tote","rennwett"
"17","hauses","abgeordneter","abgeordnete","fraktion","beratung","hauses","vizepräsident","atomgesetzes","uhr","punkt","ortsklasse","abgeordnete","vorlage","kollegen","anträge","bitten","bazille","abgeordnete","kriegsopfern","vorlagen","wort","kollege","lesung","hermsdorf","haushaltsausschuss","rasner","genscher","kollegen","woche","wort","angemeldet","mitglieder","fraktionen","redner","unterbreche","bundestag","geschlossen","steffen","redezeit","mittlerorganisationen","wischnewski","kultur","rechtsstellung","goetheinstitut","geschäftsordnungsausschusses","kultur","amt","datenschutzgesetz","wernitz","bundesdatenschutzgesetzes","sozialgesetzbuch","diäten","menschenrechtskommission","sicherheitsbereich","this","eingefallen","kunst","aussterben","wurden","denjenigen","the","niederlanden","gutachten","pflanzen","freundinnen","natur","merkwürdig","hotelprojekt","zweit","denkschrift","fremdenverkehrswirtschaft","juni","erpkredite","deregulierung","uranbergbaus","versicherungswesen","een","beteiligungen","versicherungen","vollstreckung","kolb","gremium","nichtrauchern","halo","einzelhandel","reduzierten","süddeutschland","mosdorf","fahranfänger","urlaub","burgbacher","sommerzeit","region","staffelt","wirtschaftszweig","wassersport","klimke","burgbacher","band","brinkmann","passivrauchen","nichtraucher","rauchen","brähmig","tourismuspolitischen","aupairaufenthalte","wahlumschlag","verkehrswacht","touristischen","angebote","konsum","präventionsmechanismus","burgbacher","branche","wolf","gesetzliche","elektronischen","büro","russland","reisen","studien","starken","korvetten","finanzierten","tabakwerbeverbot","produkt","gesundheitsschutz","koalitionsvereinbarung"
"18","nr","bundestages","namentliche","abgeordneten","namentliche","bitte","bitte","abgeordneter","fraktionen","abgeordneter","bundesversammlung","erklärung","kliesing","vizepräsident","schwerbeschädigten","gesichtspunkte","ausschuss","vizepräsident","abgeordnete","haus","fdpfraktion","abstimmung","hause","kollegen","schmidt","wort","woche","stunde","öffentlichkeit","parlaments","abgeordneter","angemeldet","ende","ausschüsse","sitzung","schön","abgeordneten","vizepräsident","bundespräsident","bericht","verkauf","empfehlungen","beruf","kulturaustausch","kunst","auswärtigen","staatsminister","bericht","kulturpolitik","aufgaben","parlament","persönlichkeiten","referentenentwurfs","blieb","with","systemen","anfangen","bundesaussenminister","artenschutzübereinkommen","washingtoner","roter","petition","pflanzenarten","bundesnaturschutzgesetzes","häfen","bau","dienstleistungsabend","dalyan","neubau","kumpanei","rolle","vergütung","sdag","insolvenzverfahren","antjemarie","pauschalreisen","platt","behinderungen","olderog","beteiligungen","ferntourismus","bundesnachrichtendienstes","nichtraucherschutzgesetz","touristische","verlängerung","hotels","hinsken","gastronomie","gäste","hotellerie","staatssekretär","trinkgeld","gabriele","gastronomie","reisen","anleitung","ernsthaft","touristische","irber","anwohnern","tabakwerberichtlinie","anwohner","leistungserbringer","gradistanac","überhangmandate","touristischen","tourismuspolitischen","wirtschaftliche","verfassungskonformen","drogenpolitik","mortler","barrierefreiheit","barrierefreien","staatssekretärin","entkriminalisierung","koenigs","kinder","konsum","überzeugten","legalisieren","jugendschutz","inhaltsstoffe","jugendlichen","kostenlose","bmi","kontrollierte","untaugliches","linksgelben"
