"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","amnestie","amnestie","zulassung","gericht","richter","strafe","amnestie","justiz","gericht","richter","richter","richter","justiz","ehe","justiz","justiz","richter","justiz","richter","justiz","justiz","strafrecht","justiz","rechtsprechung","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","justiz","pornographie","richter","justiz","justiz","ehe","reform","frauen","frauen","frauen","ehe","wirtschaftskriminalität","vogel","untersuchungsausschuss","rechtsausschuss","justiz","verjährung","justiz","freiheitsstrafe","erhard","freiheitsstrafe","justiz","justiz","justiz","justiz","klein","justiz","engelhard","spenden","gefangenen","roma","flick","justiz","schily","todesstrafe","todesstrafe","justiz","justiz","justiz","untersuchungsausschuss","justiz","justiz","kriminalität","kronzeugenregelung","kriminalität","kriminalität","kriminalität","vergewaltigung","justiz","justiz","justiz","justiz","kriminalität","kriminalität","justiz","täter","justiz","justiz","justiz","kriminalität","sicherungsverwahrung","sicherungsverwahrung","opfer","justiz","sicherungsverwahrung","justiz","wohnraumüberwachung","opfer","justiz","justiz","montag","justiz","daten","justiz","bundesverfassungsgericht","vorratsdatenspeicherung","sicherungsverwahrung","sicherungsverwahrung","software","sicherungsverwahrung","justiz","daten","daten","opfer","daten","daten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","rechtsstaat","rechtsstaat","polizei","sicherheitsbehörden","polizei","rechtsstaat"
"2","verfahren","rechtsausschuss","rechtsausschuss","anwaltschaft","richter","justiz","richter","gerichte","wittrock","richter","verfahren","verwaltungsgerichtsbarkeit","verjährung","richter","richter","warentests","abmahnung","gericht","rechtsprechung","gericht","bucher","weber","justiz","tier","richter","heinemann","busse","richter","freiheitsstrafe","mülleremmert","demonstrationen","vogel","strafrecht","justiz","richter","jahn","frauen","strafe","leben","verteidiger","erhard","scheidung","justiz","eyrich","justiz","justiz","vogel","mord","freiheitsstrafe","justiz","vorschrift","erhard","with","recht","with","erhard","justiz","bundesjustizminister","justiz","justiz","zwangsernährung","sinti","justiz","kronzeugenregelung","gewalt","justiz","justiz","gefangenen","vergewaltigung","untersuchungsausschuss","justiz","rehabilitierung","kriminalität","drogen","täter","justiz","justiz","justiz","justiz","kronzeugenregelung","drogen","korruption","täter","opfer","polizei","geis","opfer","instanz","opfer","geis","kronzeugenregelung","opfer","verbrechen","röttgen","opfer","opfer","bundesverfassungsgerichts","straftaten","täter","rechtspolitik","opfer","justiz","bundesverfassungsgericht","gericht","zypries","kinderpornografie","daten","justiz","daten","mediation","datenschutz","datenschutz","datenschutz","vorratsdatenspeicherung","justiz","vorratsdatenspeicherung","maas","sexuelle","amri","täter","untersuchungsausschuss","justiz","polizei","polizei","täter","polizei","verfassungsschutz","telegram"
"3","richter","justiz","verfahren","richter","justiz","gerichte","arndt","justiz","richter","verfahren","gericht","verwaltungsrichter","justiz","untersuchungshaft","rechtsprechung","jahn","richter","entwurf","bucher","diemernicolaus","verjährungsfrist","verjährung","strafe","gerichtsbarkeit","ehe","diemernicolaus","richter","kriminalität","verjährung","polizei","diemernicolaus","polizei","eyrich","ehe","kriminalität","fall","leben","justiz","fristenregelung","frau","richter","frauen","erhard","rechtspolitik","untersuchungsausschusses","vogel","de","verbrechen","strafe","strafe","strafe","vogel","erhard","auslieferung","de","häfele","richter","wirtschaftskriminalität","untersuchungsausschuss","amnestie","justiz","justiz","untersuchungsausschuss","opfer","untersuchungsausschuss","untersuchungsausschuss","engelhard","libyen","with","staatsanwaltschaft","kleinert","rüstungsexporte","kinderpornographie","justiz","justiz","drogen","straftaten","polizei","drogen","beck","richter","drogen","opfer","straftaten","justiz","straftaten","täteropferausgleich","geis","kriminalität","straftaten","geis","geis","täter","justiz","zypries","täter","zypries","justiz","hartenbach","täter","montag","richter","bundesverfassungsgerichts","datenschutz","internet","internet","internet","straftaten","mediation","justiz","daten","straftaten","informationsfreiheit","snowden","daten","straftaten","untersuchungsausschuss","daten","sicherheit","fussfessel","justiz","polizei","sicherheitsbehörden","sicherheitsbehörden","rechtsstaat","rechtsstaat","sicherheitsbehörden","justiz"
"4","gericht","richter","urteil","justiz","richtern","gerichten","justiz","richter","seifert","bundesverfassungsgericht","anwalt","jahn","verbrechen","gericht","rechtsausschuss","rechtsprechung","rechtsausschuss","güde","gericht","jahn","verjährung","rechtsausschuss","strafrechtsreform","tiere","justiz","hauser","justiz","wiederholungsgefahr","täter","diemernicolaus","reform","richter","schutz","scheidung","wiederholungsgefahr","staatsanwaltschaften","schutz","schutz","lebens","ehe","straftaten","ehegatten","rechtsausschuss","freiheitsstrafe","verteidiger","richter","justizminister","aufhebung","makler","hartmann","freiheitsstrafe","hillermeier","freiheitsstrafe","with","verjährung","engelhard","versorgungsausgleich","urteile","flick","parteien","engelhard","with","spenden","engelhard","ungehorsam","center","with","strafe","richter","untersuchungsausschusses","staatsanwaltschaft","kinkel","opfer","straftaten","straftaten","straftaten","polizei","with","kriminalität","kriminalität","gewalt","täter","gewalt","justiz","straftaten","telefonüberwachung","ströbele","däublergmelin","straftaten","opfer","straftaten","justiz","sexuellen","straftaten","straftaten","straftaten","rechtspolitik","fingerabdruck","stalking","straftaten","rechtspolitik","bundesverfassungsgericht","gehb","bundesverfassungsgericht","kauder","datenschutz","rechtspolitik","opfer","vorratsdatenspeicherung","straftaten","justiz","opfer","gesetzentwurf","nsa","menschenhandel","sicherheit","straftaten","menschenhandel","straftaten","polizisten","anschlag","stgb","kriminalität","sicherheit","staatsanwaltschaft","straftaten","bundespolizei","straftaten"
"5","art","gerichte","richter","gericht","urteil","gefängnis","bundeswehr","rechtsausschuss","verurteilten","verhandlung","justiz","rechtsausschuss","jahn","rechtsausschuss","bundesgerichtshofs","bundesjustizminister","fälle","strafe","gerichte","rechtsausschuss","verlängerung","diemernicolaus","entwurf","tieren","diemernicolaus","busse","gerichte","diemernicolaus","justiz","richter","justizminister","lenz","reform","reform","haftrechts","kommission","pornographie","jahn","frau","zeugnisverweigerungsrecht","verteidiger","indikation","gericht","recht","überwachung","de","bundesjustizminister","unverjährbarkeit","erhard","rechtsausschuss","vogel","rechtspolitik","strafe","strafvollzug","makler","bad","emmerlich","engelhard","ehe","strafaussetzung","bewährung","untersuchungsausschusses","brauchitsch","with","untersuchungsausschusses","akten","strafe","with","urteil","engelhard","kiel","opfer","rechtsstaat","organisierten","with","verjährung","täter","täter","geis","richter","opfer","hauptverhandlungshaft","kriminalität","täter","beck","rechtspolitik","justiz","verbrechen","geis","kriminalität","justiz","beck","straftaten","stünker","dnaanalyse","justiz","ströbele","dnaanalyse","dnaanalyse","journalisten","leutheusserschnarrenberger","telekommunikationsüberwachung","hessen","sicherungsverwahrung","kinderpornografie","grundrechte","opfer","montag","straftaten","computer","täter","sicherungsverwahrung","justiz","bürger","staatsanwaltschaft","verfassungsschutz","vorratsdatenspeicherung","prostitution","opfer","untersuchungsausschuss","polizei","straftaten","polizisten","täter","straftaten","täter","straftaten","sicherheitsbehörden"
"6","bestimmung","straffreiheitsgesetz","fälle","anwalt","fälle","rechtsprechung","arrest","verfahren","urteile","gerichte","jahn","arndt","verfahren","bundesjustizminister","wittrock","urteil","verfahren","bundesverfassungsgericht","bundesgerichtshof","justiz","verbrechen","ersatzdienst","strafrechts","richter","gericht","bundesjustizminister","güde","straftaten","strafrecht","justiz","polizei","entschädigung","mülleremmert","arndt","straftaten","praxis","lebens","leben","schwangerschaftsabbruch","justiz","strafgesetzbuches","arzt","überwachung","bundesjustizminister","verfahren","erhard","richter","täter","rechtsausschuss","vogel","gericht","strafe","vogel","strafbar","recht","schmude","generalbundesanwalt","parteienfinanzierung","schröder","untersuchungsausschuss","justizminister","untersuchungsausschuss","untersuchungsausschusses","sinti","staatsanwaltschaft","de","untersuchungsausschuss","de","todesstrafe","with","untersuchungshaft","bundesjustizminister","straftaten","opfer","kriminalität","täter","organisierten","de","drogenpolitik","däublergmelin","kriminalität","beck","vergewaltigung","verbrechen","sicherheit","stgb","kronzeugenregelung","täter","pofalla","stgb","sicherheit","täter","opfer","opferschutz","strafverfahren","ströbele","richter","zypries","kriminalität","opfer","rechtsausschuss","telefonüberwachung","zypries","bundesverfassungsgerichts","daten","gesetz","justiz","richter","täter","daten","gesetzentwurf","stgb","menschenhandel","edward","täter","itsicherheit","justiz","nein","polizisten","ströbele","vorratsdatenspeicherung","karlsruhe","sicherheit","straftaten","polizisten","justiz","rechtsstaat","kriminalität"
"7","recht","handlungen","gerichte","rechtsausschuss","notstand","gericht","strafrechts","gericht","arndt","rechtsausschuss","rechtsprechung","instanz","rechtsausschuss","schäffer","bundesgerichtshof","unlauteren","strafverfahren","gerichts","richter","strafprozessordnung","benda","arndt","täter","heinemann","gerichte","rechtsprechung","strafrechts","polizei","diemernicolaus","lenz","strafrecht","reform","schriften","ehegatten","rechtsausschuss","insbesondere","frau","gesellschaft","fristenlösung","straftaten","kronzeugen","versorgungsausgleich","vogel","strafe","gefangenen","emmerlich","with","justiz","hartmann","straftaten","rechtsausschuss","justiz","schmude","rechtshilfe","bürgerlichen","rechtspolitik","urteil","emmerlich","hannover","parteienfinanzierung","bundesjustizminister","rechtsstaat","staatsanwaltschaft","kleinert","verurteilung","untersuchungshaft","de","roma","opfer","richter","entschädigung","illegalen","illegalen","unrecht","stgb","stgb","strafe","strafe","täter","rechtsstaat","beck","richter","strafrecht","lauschangriff","gendatei","beck","amnestie","statut","täter","richter","sicherungsverwahrung","straftaten","justiz","strafverfahren","täter","kauder","kauder","opfer","graffiti","urteil","zypries","hartenbach","straftaten","vorratsdatenspeicherung","datenschutz","opfer","missbrauch","schutz","montag","täter","strafe","gesetzentwurf","abgeordnetenbestechung","aufklärung","maas","mayer","edathy","täter","sicherheitsbehörden","straftaten","breitscheidplatz","ersatzfreiheitsstrafe","europol","justiz","strafrecht","geldwäsche","anschlag","geldwäsche"
"8","bestimmungen","freiheitsentziehung","straffreiheit","entwurf","rechtsausschuss","gerichtsbarkeit","gerichte","strafe","bundesjustizminister","arndt","rechtsanwalt","ehrenamtlichen","rechtsprechung","verfahren","scheidung","lieferprämie","unangemessenheit","verteidiger","entwurf","kanka","richter","zeugen","diemernicolaus","tierschutzgesetzes","hauser","gerichte","strafrecht","verbrechen","strafrechts","demonstrationen","richter","jahn","entwurf","härteklausel","diemernicolaus","wirtschaftskriminalität","eyrich","strafrechtsreform","mutter","erhard","wirtschaftskriminalität","frau","bekämpfung","ehe","de","lenz","rechtsausschuss","gerechtigkeit","rechtsberatung","bewährung","paragraphen","rechtsordnung","haft","menge","händler","schwalbach","staatsanwaltschaft","klein","bundesjustizminister","spender","strafaussetzung","verletzten","engelhard","roma","justiz","document","kleinert","engelhard","de","gewalt","engelhard","richter","unrecht","verbrechen","strafe","heroin","stgb","opfer","gewalt","leutheusserschnarrenberger","täter","verfahren","strafe","polizei","bekämpfung","kriminalität","kriminalität","richter","richter","jugendliche","opfer","geldstrafe","fälle","sicherungsverwahrung","richter","strafe","bundesverfassungsgericht","gehb","menschenhandel","bundesverfassungsgericht","bundesverfassungsgericht","pressefreiheit","montag","urteil","richter","daten","straftaten","gesetzentwurf","fälle","quellentkü","bundesverfassungsgericht","daten","wirtschaftskriminalität","justiz","bka","bsi","täter","gesetzentwurf","verfassungsschutz","sicherheit","sicherheitsbehörden","forum","verfassungsschutz","zitis","stuttgart","gefährder","gewalt","rechtsextremismus"
"9","rechtsausschuss","straftaten","rechtspfleger","rechtsprechung","verfahren","strafe","rechtsprechung","vorschrift","sozialgerichtsbarkeit","wirtschaftsstrafgesetzes","urteil","oberverwaltungsgericht","strafverfolgung","hauptverhandlung","böhm","verfahren","kanka","diemernicolaus","gerichten","grundsatzrevision","verfahren","jahn","sonderausschuss","jahn","busse","südkorea","gericht","verbrechensbekämpfung","taten","demonstration","hirsch","mülleremmert","recht","titel","entwurf","bundestages","reform","strafrechts","ungeborenen","entscheidung","bad","vogel","verteidiger","kleinert","eyrich","zwangsernährung","erhard","mordverjährung","anwalt","verfahren","kleinert","straftaten","täter","geltende","schwenk","emmerlich","lepsius","volksgerichtshof","justizminister","bewährung","hungerstreik","rechtspolitik","zeugen","rechtspolitik","mayer","wiedergutmachung","straftaten","firmen","wiedergutmachung","strafe","opfer","unrecht","strafrecht","heuer","de","rechtsstaat","meyer","bekämpfung","rechtsstaat","korruption","vergewaltigung","schmidtjortzig","drogen","organisierten","richter","justizreform","straftaten","herta","gewalt","polizei","beck","van","missbrauch","täter","brigitte","straftäter","röttgen","gericht","alfred","zypries","nešković","strafprozessordnung","kauder","justiz","gesetzentwurf","kauder","leutheusserschnarrenberger","täter","gesetzentwurf","onlinedurchsuchung","straftaten","bundesverfassungsgericht","informationsfreiheitsgesetz","ströbele","untersuchungsausschuss","ströbele","strafbar","selbstbestimmung","täter","amri","sicherheit","sicherheitsbehörden","straftaten","richter","justiz","sicherheit","plattform","täter"
"10","abs","entscheidung","straftaten","gerichte","bestimmungen","geldstrafe","strafrecht","rechtsprechung","entscheidet","sachen","instanz","gericht","bundesgerichtshof","jahn","ehegatten","fällen","gericht","mülleremmert","rechtsmittel","bundesgerichtshof","jahn","richter","heinemann","strafe","heinemann","verletzung","rechtsprechung","haft","güde","aufforderung","bestraft","hirsch","ehe","gericht","haftgrund","strafvorschriften","strafrecht","einführungsgesetzes","abtreibung","bundesjustizminister","überwachung","beratung","emmerlich","rechtsausschuss","verteidigerüberwachung","stgb","kleinert","strafverfolgung","prozesskostenhilfe","lebenslangen","urteil","verhältnismässigkeit","bad","straftaten","olderog","kreditvermittler","volksgerichtshofs","strafrechtlichen","staatsanwaltschaft","staatsanwaltschaft","gerichte","emmerlich","parteien","de","pater","with","kronzeugenregelung","kronzeugenregelung","entschädigung","kiel","strafe","strafrecht","rehabilitierung","rechtsstaat","verjährung","opfer","geis","verbrechen","heroin","meyer","strafverfahren","straftaten","straftaten","geis","geis","täter","geis","verfahren","ströbele","pick","täter","strafe","zypries","zypries","stünker","bundesverfassungsgericht","brigitte","urteil","gehb","montag","jerzy","journalisten","strafprozessordnung","gehb","opfer","bundesverfassungsgerichts","bundesverfassungsgericht","daten","gewalt","rechtspolitik","genitalverstümmelung","staatsanwaltschaft","abmahnungen","datenschutz","stgb","bnd","ermittlungen","stgb","rechtsstaat","opfer","behörden","sicherheit","forum","waffen","taten","kriminalität","quellentkü","polizei"
"11","grundgesetzes","bedenken","gericht","rechtsanwalt","fällen","neumayer","tatbestand","gerichten","rechtsprechung","justiz","oberlandesgericht","bürger","arndt","strafprozessordnung","frau","ehe","gerichte","justiz","senat","revision","gerechtigkeit","recht","bundesjustizminister","tieres","bundesjustizminister","recht","staatsgeheimnis","hirsch","schuld","gewalttätigkeiten","schutz","bundesjustizminister","strafe","gerichte","verbrechensbekämpfung","auffassung","fristenlösung","strafgesetzbuch","schwangerschaft","strafverfahren","leben","recht","gerichte","schutz","straftaten","bundesjustizminister","friedmann","verjährungsfrist","recht","vorschrift","justiz","hausbesetzungen","hansjochen","todesstrafe","werbung","sachbeschädigung","bundesgerichtshofs","untersuchungsausschuss","akten","flick","emmerlich","richter","kleinert","gericht","verfahren","ofd","journalisten","sinti","gericht","de","untersuchungsausschusses","with","täter","richter","rechtsstaat","bekämpfung","with","magdeburg","leutheusserschnarrenberger","rechtspolitik","straftaten","geis","geis","schmidtjortzig","prävention","meyer","strafverfahren","polizei","rechtsausschuss","täter","rechtspolitik","stgb","röttgen","opfern","kauder","anordnung","straftaten","ströbele","polizei","bundesverfassungsgerichts","bundesverfassungsgerichts","onlinedurchsuchung","leutheusserschnarrenberger","richter","montag","straftaten","datenschutz","schöffen","rechtsprechung","opfer","opfer","täter","opfer","rechtsstaat","strafbar","gesetzentwurf","gespeichert","straftaten","justiz","notz","stgb","richter","karlsruhe","strafbar","strafen","terrorismus","täter","vorratsdatenspeicherung"
"12","fällen","rechtsprechung","strafe","verfahren","bestimmung","strafen","rechtsstaatlichen","strafen","tätigkeit","wirtschaftsstrafgesetz","strack","anwaltszwang","verjährungsfristen","reform","jahn","richter","bundesgerichtshof","rechtsausschuss","senats","haftgrund","gerichte","bundesjustizminister","strafvollzug","tierschutz","strafrecht","koreanischen","zeugen","heinemann","verbrechen","stgb","erhard","gerichte","strafrechts","richters","erhard","verfolgung","strafe","strafgesetzbuches","indikation","richter","kriminellen","leben","penner","überwachung","besuchsüberwachung","with","generalbundesanwalt","mörder","straftaten","engelhard","straftaten","recht","gewalt","rechtsstaat","wohnungsvermittlung","versorgungsausgleich","volksgerichtshof","sozialtherapie","kleinert","strafvollzug","strafe","engelhard","roma","strafverfahren","sinti","staatsanwaltschaft","zeugnisverweigerungsrecht","untersuchungsausschuss","ehe","geldwäsche","firmen","illegale","ermittler","rehabilitierung","kinderpornographie","organisierten","opfer","straftaten","ehe","bundesverfassungsgericht","geis","missbrauch","polizei","strafrecht","meyer","polizei","richter","urteile","statut","strafverfahren","ströbele","essen","rechtspolitik","schutz","ströbele","richter","menschenhandel","bundesverfassungsgerichts","montag","pressefreiheit","urteil","zypries","rechtspolitik","zypries","gesetz","seiten","täter","internet","richter","sicherungsverwahrung","menschenhandel","rechtspolitik","bundesbehörden","untersuchungsausschuss","straftaten","aufklärung","strafbarkeit","nachrichtendienste","gefährder","kontrolle","straftaten","verfassungsschutz","zoll","rechtsextremismus","kinderpornografie","bundespolizei","europol","buschmann"
"13","gerichte","verfahren","rechtsprechung","beschlagnahme","acht","rechtsausschuss","bestraft","staatsautorität","ehrenamtlichen","bundesverfassungsgerichts","bundesjustizminister","bundesverwaltungsgericht","gerichte","gerichte","zerrüttung","arndt","rechtsstaatlichen","strafrecht","reischl","güde","verfolgung","gerechtigkeit","strafgesetzbuch","niekisch","rechtsausschuss","köppler","bundesjustizminister","aufklärungsquote","strafrechtsreform","bürger","verfahren","strafrechtsreform","bundesjustizminister","mindeststrafe","bundesjustizminister","bayerl","strafrechts","einführungsgesetz","kind","lenz","frau","lenz","unterhalt","richter","richter","eyrich","hartmann","völkermord","strafrechtlichen","gericht","götz","schmude","justizminister","ausland","geschäft","kreditnehmer","scheidung","rechtspolitik","rechtspolitik","parteispenden","freiheitsstrafe","kleinert","flickkonzerns","rechtsausschuss","rupert","engelhard","sharpeville","freiheitsstrafe","strafvollzug","hdw","gansel","justizminister","richter","organisierte","geis","geldwäsche","verbrechen","organisierten","opfer","sabine","däublergmelin","sicherheitsdienste","korruption","beck","verbrechen","rechtsstaat","polizei","stgb","däublergmelin","verfahren","volker","volker","ströbele","hartenbach","straftat","nachträgliche","opfer","täter","essen","ströbele","stünker","bundesverfassungsgerichts","stünker","vater","straftaten","grundgesetz","sexuellen","vorratsdatenspeicherung","datenschutz","bundesverfassungsgericht","urteil","gericht","presse","überwachung","kinderpornografie","gespeichert","strafe","sexuellen","kriminalität","daten","gefährder","recht","behörden","passwörter","rechtsextremismus","rechtsextremismus","rechtsextremismus","sicherheit"
"14","gesetzes","greve","fällen","pressefreiheit","rechtsprechung","bundesgerichtshof","verfahren","kommunistischen","benda","senat","staatsanwaltschaft","werber","staatsanwaltschaft","bundesgerichtshof","justiz","angeklagten","wittrock","reform","entscheidung","bucher","rechtsprechung","güde","entwurfs","tierschutzgesetz","ordnungswidrigkeiten","bgb","strafverfahren","schlager","bewährung","schutz","mord","rechtspolitik","justiz","fällen","vogel","mikat","entwurf","strafrechtsreformgesetzes","arzt","kindes","beschuldigten","ungeborenen","verfahren","emmerlich","vogel","anwaltschaft","gerichte","taten","gericht","mord","fälle","rechtsstaat","fälle","vogel","auftraggeber","verbraucher","geschiedenen","untersuchungsausschusses","untersuchungsausschusses","gericht","richter","strafaussetzung","flickkonzern","rechtsstaat","kleinert","vergewaltigung","untersuchungsausschüsse","arztwahl","strafe","vergewaltigung","akten","bachmaier","organisierten","verjährung","opfer","strafverfolgung","verfolgung","leutheusserschnarrenberger","militärjustiz","organisierten","schmidtjortzig","gewalt","verbrechen","drogenpolitik","schmidtjortzig","staatsanwaltschaft","rechtsstaat","sachbeschädigung","beck","jugendlichen","pick","strafrecht","kindern","missbrauch","opferschutz","stünker","schutz","strafprozessordnung","straftatbestand","strafverfolgung","täter","sicherungsverwahrung","journalisten","onlinedurchsuchung","gehb","gesetzentwurf","sperren","onlinedurchsuchung","justiz","richter","kronzeugenregelung","videokonferenztechnik","straftaten","freiheit","datenschutz","gesetz","rechtsstaat","ausbeutung","notz","bnd","amri","gesetzentwurf","bundespolizei","verfassungsschutz","richter","behörden","sicherheit","behörden"
"15","fälle","fälle","rechtsausschusses","rechtspflege","schweigegebot","instanz","rechtspfleger","wittrock","entwurf","bundesrichter","rechtspflege","rechtsausschusses","begangen","staatsanwaltschaft","gerichte","strafverfahren","fällen","angeklagten","fällen","verteidiger","schuld","jehovas","freiheitsstrafe","jaeger","fälle","richter","rechtsausschuss","täter","verjährungsfrist","strafe","benda","gericht","schützen","freiheitsstrafe","reform","lenz","schwangerschaft","frau","entscheidung","strafverfolgung","eyrich","lebens","ausschluss","gesetzgeber","lenz","verfahren","rechtsprechung","schuld","lenz","verurteilten","stgb","strafvollzug","jahren","richter","wirtschaftskriminalität","recht","rechtspolitik","unrecht","juristen","richter","hannover","rechtsausschuss","schily","untersuchungsausschuss","engelhard","opfer","stgb","hungerstreik","engelhard","strafverfolgung","ermittlungen","exporte","kinkel","täter","strafrecht","heuer","vermögen","meyer","verbrechen","herta","meyer","kriminalität","therapie","meyer","schily","schwere","gerichte","schutz","verbrechen","instanz","verbrechen","pick","missbrauchs","rechtspolitik","gericht","gericht","ministerin","gesetzentwurf","justiz","fälle","brigitte","leutheusserschnarrenberger","täter","telekom","rechtsstaat","kronzeugenregelung","kinderpornografie","demail","zpo","menschenhandel","warnschussarrest","funkzellenabfrage","strafe","grundrechte","schutz","rechtsstaat","gesetz","strafrecht","maas","justiz","daten","angeklagten","clankriminalität","kriminalität","stgb","taten","internet","innenpolitik"
"16","rechtsprechung","art","greve","bundesrechtsanwaltsordnung","vorschriften","reichsabgabenordnung","vorschrift","staatssicherheit","befehl","bewährt","arndt","richtern","schäffer","revision","diemernicolaus","bundesdienststelle","bundesgerichtshofs","richtern","fälle","reform","gericht","justizminister","reform","bundesjustizminister","bundesgerichtshof","souveränität","rechtsweg","haftgrund","mord","reform","gerichte","recht","lenz","rechtsprechung","jahn","bekämpfung","ungeborenen","freiheitsstrafe","beratung","rechtspflege","recht","richter","angeklagten","lenz","untersuchungsausschüsse","gerichte","fällen","recht","with","erhard","täter","richter","bundesjustizminister","platz","verbraucher","rechtspolitischen","with","verurteilung","strafbar","bundesverfassungsgericht","verbrechen","bewährung","rechtsstaat","straftaten","roma","ehe","strafrecht","straftaten","vollmer","däublergmelin","illegalen","rechtsstaat","drogen","geldwäsche","richter","drogenpolitik","strafrecht","verbrechensbekämpfungsgesetz","unrecht","täter","ehe","beschleunigte","prävention","däublergmelin","urteile","hartenbach","essen","ströbele","gericht","journalisten","strafverfolgungsbehörden","verbrechen","strafrecht","sexuellen","bundesministerin","freiheitsstrafe","lauschangriff","bundesverfassungsgericht","kauder","kauder","ministerin","schutz","rechtsberatung","anwaltsnotariat","bundesverfassungsgericht","gericht","gesetz","menschenrechte","internet","gesetzentwurf","lischka","gerichte","strafbar","urteil","generalbundesanwalt","terrorismus","heiko","schutz","nachrichtendienste","rechtsstaat","strafrecht","pakt","kriminalstatistik","netzdg","netzdg","gesetz","amri","bereich"
"17","entscheidung","bestimmungen","gefängnis","bestimmungen","entwurf","steuerhinterziehung","bestimmung","bestimmung","verletzt","rechtsprechung","urteile","gerichtsbarkeit","mord","verteidiger","rechtsausschusses","staatsanwälte","schutzhütten","jahn","rechtsanwalt","beschuldigten","arndt","dr","tat","verbrechen","finanzamt","korea","mülleremmert","kriminalpolizei","begangen","täter","straftaten","diemernicolaus","vogel","diemernicolaus","gerichte","gesetzes","arzt","frauen","schutz","recht","schwalbach","geschieden","geschiedenen","urteil","enquetekommission","weber","strafgesetzbuches","entscheidung","strafrecht","strafgesetzbuches","wirkung","täter","mörder","gewalt","schmude","teilzahlungsbanken","bayern","richter","richter","freiheitsstrafe","rechtspolitik","de","einflussnahme","staatsanwaltschaft","recht","strafe","presse","strafgesetzbuches","stiftung","umweltstrafrecht","with","straftaten","staatsanwaltschaft","freigabe","gerichte","verjährungsfrist","massenkriminalität","drogen","strafe","bundesministerin","strafverfolgung","polizei","sexuelle","schutz","edzard","rausch","beck","kriminalität","gerichte","gericht","urteile","schutz","sachbeschädigung","strafprozess","strafprozessordnung","stgb","van","brigitte","fingerabdruck","vorratsdatenspeicherung","gericht","fällen","schutz","grundrecht","berufung","strafverfahren","löschen","rechtspolitik","bundesverfassungsgericht","datenschutz","gewalt","strafe","polizei","usa","schützen","nsa","polizei","polizei","ströbele","gefährder","täter","täter","daten","netz","kontrolle","hasskriminalität","kriminalität","generalbundesanwalt"
