"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","beratung","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","beratung","beratung","drucksache","beratung","drucksache","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","ausschuss","ausschuss","beratung","beratung","beratung","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","ausschuss","beratung","ausschuss","beratung","beratung","drucksache","drucksache","ausschuss","beratung","ausschuss","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","pd","pd","ja","volksparteien","bürger"
"2","beratung","drucksache","beratung","ausschuss","drucksache","beratung","ausschuss","beratung","drucksache","beratung","beratung","drucksache","drucksache","beratung","drucksache","iv","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","ewg","beratung","rates","rates","rates","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","beratung","ausschuss","drucksache","drucksache","drucksache","beratung","ausschuss","beratung","ausschuss","drucksache","beratung","beratung","ausschuss","drucksache","ausschuss","ausschuss","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","aussprache","drucksache","drucksache","drucksache","drucksache","tagesordnung","dutschke","griechenlandhilfe","ndiaga","ja","nämlich","mbits","wunsch"
"3","ausschuss","ausschuss","drucksache","beratung","beratung","ausschuss","beratung","punkt","beratung","tagesordnung","punkt","ausschuss","ausschuss","ausschuss","ausschusses","beratung","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","berichterstatter","drucksache","berichterstatter","berichterstatter","berichterstatter","enthaltungen","beratung","beratung","rates","beratung","rates","beratung","verordnung","ausschuss","verordnung","berichterstatter","berichterstatter","beratung","berichterstatter","verordnung","verordnung","ewg","beratung","beratung","beratung","beratung","beratung","tagesordnung","drucksache","beratung","beratung","ausschuss","drucksache","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","ausschuss","ausschuss","beratung","drucksache","drucksache","beratung","ausschuss","ausschuss","beratung","beratung","beratung","beratung","beratung","drucksache","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","überweisungsvorschlag","überweisungsvorschlag","beratung","beratung","beratung","beratung","beratung","aussprache","überweisungsvorschlag","überweisung","aussprache","aussprache","überweisungsvorschlag","beratung","überweisung","überweisung","verdachtsfall","anmeldung","neustart","gleis","bewegungen","anscheinend"
"4","drucksachen","überweisung","punkt","tagesordnung","tagesordnung","punkt","tagesordnung","berichterstatter","tagesordnung","rufe","rufe","punkt","tagesordnung","eingebrachten","berichterstatter","tagesordnung","ausschuss","ausschuss","ausschuss","enthaltungen","ausschuss","ausschusses","berichterstatter","ausschuss","ausschuss","ausschuss","ausschusses","gegenprobe","berichterstatter","tagesordnung","berichterstatter","beratung","berichterstatter","verordnung","berichterstatter","rates","berichterstatter","rates","ausschuss","ausschuss","ausschuss","ausschuss","ewg","comment","verordnung","tagesordnung","eingebrachten","tagesordnung","entwurfs","tagesordnung","beratung","tagesordnung","entwurfs","drucksachen","aussprache","aussprache","tagesordnung","tagesordnung","aussprache","aussprache","aussprache","aussprache","aussprache","beschlussempfehlung","tagesordnung","fraktion","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","beschlussempfehlung","aussprache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","aussprache","überweisungsvorschlag","aussprache","aussprache","aussprache","abgeordneter","aussprache","überweisungsvorschlag","fraktion","beschlussempfehlung","abgeordneter","überweisungsvorschlag","abgeordneter","beratung","beratung","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","abgeordneter","abgeordneter","überweisung","überweisung","drucksache","überweisung","überweisung","überweisung","überweisungsvorschlag","beratung","rudi","versuch","antrag","hofreiter","auseinanderzusetzen","sprachpolizei","einigung"
"5","tagesordnung","punkt","überweisung","punkt","punkt","berichterstatter","punkt","ausschuss","überweisung","entwurfs","tagesordnung","überweisung","punkt","tagesordnung","tagesordnung","ausschuss","tagesordnung","tagesordnung","ausschusses","ausschuss","enthaltungen","enthaltungen","gegenprobe","ausschusses","ausschusses","gegenprobe","gegenprobe","enthaltungen","gegenprobe","ausschuss","tagesordnung","verordnung","tagesordnung","beratung","ausschuss","ewg","rates","ewg","tagesordnung","rates","rates","ewg","comment","ewg","comment","berichterstatter","tagesordnung","entwurfs","eingebrachten","drucksachen","überweisungsvorschlag","drucksachen","gesetzes","berichterstatter","tagesordnung","überweisungsvorschlag","aussprache","antrag","tagesordnung","tagesordnung","tagesordnung","tagesordnung","fraktion","fraktion","fraktion","aussprache","überweisungsvorschlag","beschlussempfehlung","fraktion","drucksachen","drucksachen","überweisungsvorschlag","entwurfs","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","drucksachen","aussprache","überweisungsvorschlag","überweisungsvorschlag","fraktion","überweisungsvorschlag","eingebrachten","berichterstattung","überweisungsvorschlag","aussprache","aussprache","überweisungsvorschlag","aussprache","überweisungsvorschlag","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","aussprache","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","abgeordneten","überweisungsvorschlag","fcomment","überweisungsvorschlag","fraktion","überweisungsvorschlag","beschlussempfehlung","abgeordneten","fcomment","fcomment","fcomment","abgeordneter","abgeordneter","abgeordneten","abgeordneten","ausschüsse","aussprache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","federführung","antrags","eukommissare","knappschaft","modelle","schulterschluss","coronaimpfpass","überzeugen"
"6","punkt","rufe","tagesordnung","rufe","überweisung","tagesordnung","berichterstatter","tagesordnung","punkt","ausschuss","ausschuss","tagesordnung","eingebrachten","entwurfs","punkt","punkt","eingebrachten","punkt","gewünscht","punkt","tagesordnung","ausschuss","enthaltungen","punkt","enthaltungen","enthaltungen","enthaltungen","ausschuss","tagesordnung","verordnung","ausschuss","ausschuss","ausschuss","ewg","verordnung","nr","eingebrachten","beratung","eingebrachten","tagesordnung","verordnung","rates","ausschuss","ausschuss","ausschuss","beschlussempfehlung","comment","eingebrachten","tagesordnung","berichterstatter","eingebrachten","beschlussempfehlung","ältestenrates","beschlussempfehlung","beschlussempfehlung","tagesordnung","entwurfs","aussprache","ältestenrat","ältestenrat","fraktion","fraktion","tagesordnung","aussprache","aussprache","überweisungsvorschlag","tagesordnung","tagesordnung","überweisungsvorschlag","entwurfs","eingebrachten","drucksachen","eingebrachten","eingebrachten","drucksachen","eingebrachten","entwurfs","berichterstattung","antrags","aussprache","aussprache","überweisungsvorschlag","fraktion","überweisungsvorschlag","drucksachen","federführendcomment","entwurfs","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","entwurfs","abgeordneter","fcomment","fcomment","fcomment","fcomment","fcomment","überweisungsvorschlag","aussprache","fcomment","aussprache","fcomment","abgeordneter","fraktion","fcomment","fraktion","aussprache","abgeordneter","abgeordneter","fcomment","fcomment","weiterer","weiterer","überweisungsvorschlag","beratung","ausschüsse","beratung","beratung","beratung","überweisung","ausschüsse","beratung","ausschüsse","zeitungsverlage","allgäu","ziel","nannte","gelte"
"7","drucksache","tagesordnung","rufe","berichterstatter","berichterstatter","entwurfs","rufe","gesetzes","entwurfs","punkt","enthaltungen","eingebrachten","rufe","punkt","bericht","gewünscht","punkt","gewünscht","enthaltungen","tagesordnung","gewünscht","bericht","beschlossen","eingebrachten","gegenprobe","ausschusses","ausschuss","eingebrachten","gewünscht","rates","gesetzes","berichterstatter","eingebrachten","ausschuss","rates","überwiesen","verordnung","überwiesen","entwurfs","ewg","berichterstatter","verordnung","berichts","beratung","berichts","entwurfs","entwurfs","berichterstatter","berichterstatter","entwurfs","einverstanden","ältestenrat","überweisungsvorschlag","tagesordnung","ältestenrat","eingebrachten","berichterstatter","ältestenrat","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksachen","geschäftsordnung","tagesordnung","beschlussempfehlung","überweisungsvorschlag","drucksachen","fraktion","berichterstatter","tagesordnung","gesetzes","aussprache","eingebrachten","entwurfs","überweisungsvorschlag","eingebrachten","drucksachen","eingebrachten","fraktion","aussprache","aussprache","entwurfs","ausschusscomment","fraktion","eingebrachten","abgeordneten","fcomment","abgeordneten","abgeordneter","eingebrachten","abgeordneten","abgeordneter","eingebrachten","abgeordneten","abgeordneten","fcomment","beschlussempfehlung","überweisung","abgeordneter","abgeordneter","fcomment","fcomment","fraktion","beschlussempfehlung","überweisung","abgeordneten","abgeordneten","abgeordneten","abgeordneten","überweisung","überweisungsvorschlag","beratung","fcomment","aufgeführten","aufgeführten","aufgeführten","aufgeführten","abgeordneter","abgeordneter","erschienen","meerestechnik","unfallzahlen","arbeitszeitverkürzung","geld","entscheidet","ukraine"
"8","gesetzes","entwurfs","entwurfs","überweisung","rufe","rufe","aussprache","ausschusses","rufe","eingebrachten","eingebrachten","gegenprobe","entwurfs","gegenprobe","eingebrachten","berichterstatter","berichterstatter","enthaltungen","rufe","ausschusses","ausschusses","berichterstatter","punkt","entwurfs","verordnung","punkt","tagesordnung","tagesordnung","entwurfs","punkt","gegenprobe","eingebrachten","gegenprobe","berichterstatter","tagesordnung","ausschuss","entwurfs","berichts","gesetzes","eingebrachten","berichts","tagesordnung","überwiesen","berichts","überwiesen","drucksachen","überweisungsvorschlag","überweisungsvorschlag","schreiben","eingebrachten","haushaltsausschuss","unterrichtung","eingebrachten","aussprache","drucksachen","entwurfs","ausschusses","fraktion","entwurfs","fraktion","ältestenrat","ältestenrat","drucksachen","tagesordnung","antrags","beschlussempfehlung","eingebrachten","aussprache","aussprache","eingebrachten","entwurfs","beschlussempfehlung","aussprache","drucksachen","entwurfs","aussprache","drucksachen","tagesordnungspunkt","beschlussempfehlung","entwurfs","drucksachen","drucksachen","drucksachen","fraktion","fraktion","entwurfs","tagesordnungspunkt","tagesordnungspunkt","überweisung","abgeordneter","aussprache","überweisungsvorschlag","überweisung","abgeordneten","entwurfs","abgeordneter","eingebrachten","abgeordneter","weiterer","entwurfs","fraktion","aussprache","überweisungsvorschlag","abgeordneten","abgeordneter","überweisungsvorschlag","abgeordneten","fraktion","weiterer","aussprache","aussprache","überweisungsvorschlag","überweisung","abgeordneten","ausschüsse","fcomment","ausschüsse","ausschüsse","interfraktionell","zp","jugend","erste","lahm","kraftlos","vitamin","impfstoff","ngos","sonntags"
"9","rufe","aussprache","gesetzes","entwurfs","entwurfs","überweisung","überweisung","gewünscht","beschlossen","überweisung","berichterstatter","gewünscht","berichterstatter","überweisung","gegenprobe","eingebrachten","ausschusses","berichterstatter","tagesordnung","gewünscht","punkt","gegenprobe","ausschusses","drucksachen","tagesordnung","tagesordnung","punkt","entwurfs","ausschuss","eingebrachten","enthaltungen","tagesordnung","gesetzes","tagesordnung","eingebrachten","schreiben","tagesordnung","berichterstatter","ausschusses","entwurfs","überwiesen","berichts","beratung","überwiesen","beratung","überweisungsvorschlag","berichterstatter","beschlussempfehlung","überweisungsvorschlag","comment","aussprache","verordnung","tagesordnung","gewünscht","ausschusses","ältestenrates","drucksachen","geschäftsordnung","eingebrachten","ältestenrates","entwurfs","berichterstatter","ältestenrat","berichterstatter","antrag","antrags","entwurfs","geschäftsordnung","tagesordnung","überweisungsvorschlag","gesetzes","widerspruch","beschlussempfehlung","entwurfs","aussprache","gesetzes","tagesordnungspunkt","entwurfs","abgeordneten","gesetzes","antrags","eingebrachten","antrags","drucksachen","eingebrachten","eingebrachten","federführendcomment","fraktion","abgeordneten","fcomment","eingebrachten","entwurfs","tagesordnungspunkt","überweisung","tagesordnungspunkt","beschlussempfehlung","abgeordneter","beschlussempfehlung","fraktion","tagesordnungspunkt","tagesordnungspunkt","abgeordneten","aussprache","beschlussempfehlung","abgeordneten","weiterer","abgeordneter","aussprache","aussprache","weiterer","weiterer","beschlussempfehlung","fcomment","interfraktionell","interfraktionell","interfraktionell","interfraktionell","tagesordnung","ausschüsse","weiterer","fraktion","antrag","grünen","finanzminister","interkommunale","brüssel","unkenntnis","heuchelei"
"10","ausschusses","gesetzes","berichterstatter","ausschusses","gesetzes","ausschusses","entwurfs","bericht","gegenprobe","handzeichen","gesetzes","rufe","enthaltungen","enthaltungen","enthaltungen","überweisung","entwurfs","gegenprobe","punkt","rufe","berichterstatter","punkt","handzeichen","rufe","drucksachen","eingebrachten","entwurfs","punkt","eingebrachten","gesetzes","eingebrachten","überwiesen","enthaltungen","berichts","entwurfs","berichts","gesetzes","tagesordnung","verordnung","verordnung","ausschusses","eingebrachten","beschlussfassung","rat","rat","eingebrachten","ältestenrates","ältestenrates","drucksachen","beschlussempfehlung","ältestenrates","ausschusses","beschlussempfehlung","ausschusses","berichterstatter","gesetzes","eingebrachten","ältestenrates","ältestenrates","entwurfs","gewünscht","gesetzes","beschlossen","ausschusses","überweisungsvorschlag","ältestenrat","aussprache","drucksachen","ältestenrates","berichterstatter","fraktion","tagesordnungspunkt","tagesordnung","tagesordnungspunkt","berichterstattung","tagesordnungspunkt","aussprache","gesetzes","eingebrachten","drucksachen","eingebrachten","antrags","eingebrachten","berichterstattung","entwurfs","gesetzes","gesetzes","fcomment","eingebrachten","überweisung","abgeordneten","aussprache","entwurfs","eingebrachten","beschlussempfehlung","eingebrachten","entwurfs","überweisung","überweisungsvorschlag","beschlossen","abgeordneten","beschlussempfehlung","abgeordneten","aussprache","überweisung","fcomment","fraktion","weiterer","überweisung","überweisung","überweisung","fraktion","fraktion","tagesordnungspunkt","aufgeführten","beratung","tagesordnung","interfraktionell","abgeordneter","abgeordneten","weiterer","living","ausserhalb","mutlos","umkehr","bundesrepublik","impfpflicht","interessen"
"11","betreffend","haus","aussprache","aussprache","ausschusses","gesetzes","beschlossen","entwurfs","gesetzes","enthaltungen","entwurfs","entwurfs","gegenprobe","rufe","gewünscht","ausschusses","gewünscht","rufe","eingebrachten","gegenprobe","gegenprobe","eingebrachten","eingebrachten","gesetzes","berichts","entwurfs","rufe","gewünscht","gesetzes","entwurfs","rufe","gesetzes","entwurfs","eingebrachten","änderung","änderung","berichts","beschlussfassung","drucksachen","gesetzes","tagesordnung","entwurfs","endgültigen","tagesordnung","rechtzeitige","berichts","gesetzes","federführend","gesetzes","überweisungsvorschlag","ältestenrat","einverstanden","aussprache","einverstanden","einverstanden","beschlussempfehlung","gesetzes","überweisungsvorschlag","beschlossen","gewünscht","eingebrachten","drucksachen","entwurfs","entwurfs","eröffne","ältestenrates","geschäftsordnung","ältestenrat","entwurfs","aussprache","ausschusses","eingebrachten","tagesordnungspunkt","antrags","gesetzes","drucksachen","gesetzes","abgeordneten","fraktion","antrags","entwurfs","entwurfs","federführendcomment","gesetzes","gesetzes","tagesordnungspunkt","überweisung","überweisung","tagesordnungspunkt","eingebrachten","fcomment","gesetzes","rufe","entwurfs","abgeordneten","entwurfs","beschlussempfehlung","weiterer","berichterstattung","fraktion","beschlussempfehlung","weiterer","überweisung","weiterer","aussprache","berichterstattung","interfraktionell","überweisung","beschlussempfehlung","fraktion","tagesordnungspunkt","interfraktionell","zp","aufgeführten","beschlossen","tagesordnung","abgeordneter","beschlossen","zp","tagesordnung","einverstanden","berichtes","drucksache","modelle","betätigung","grüne","zurückgezogen","kernaufgabe"
"12","aussprache","einverstanden","betreffend","bericht","aussprache","bericht","gesetzes","schriftlicher","aussprache","gesetzes","ausschusses","beschlossen","überweisung","beschlossen","ausschuss","wort","bericht","ausschusses","beschlossen","berichterstatter","rufe","entwurfs","tagesordnung","handzeichen","wünscht","rufe","eingebrachten","gesetzes","rufe","überwiesen","betr","berichts","verordnung","änderung","überwiesen","beschlussfassung","ewg","änderung","änderung","ausschusses","änderung","ausschusses","rat","beschlussfassung","beschlussfassung","ältestenrates","federführend","ältestenrat","änderung","änderung","überweisen","rufe","erste","berichts","gewünscht","einverstanden","beschlussempfehlung","gesetzes","beschlussempfehlung","gesetzes","gesetzes","eingebrachten","tagesordnungspunkt","tagesordnungspunkt","rufe","geschäftsordnung","tagesordnungspunkt","ältestenrates","berichterstatter","gesetzes","tagesordnung","fraktion","drucksachen","fraktion","tagesordnungspunkt","berichterstattung","berichterstattung","ausschusses","entwurfs","tagesordnungspunkt","berichterstattung","berichterstattung","ausschusses","aussprache","ausschusses","antrags","abgeordneten","abgeordneter","abgeordneter","fraktion","tagesordnungspunkt","fraktion","eingebrachten","weiterer","gesetzes","überweisung","gesetzes","tagesordnungspunkt","fcomment","antrags","antrags","überweisung","weiterer","überweisung","weiterer","drucksachen","antrags","beschlussempfehlung","fraktion","beschlussempfehlung","beschlussempfehlung","entwurfs","beschlussempfehlung","tagesordnung","einverstanden","rufe","beschlossen","tagesordnungspunkt","tagesordnung","entwurfs","begrüsse","vorgeschlagen","brauchen","verdichtung","kommunalen","grundvoraussetzungen","erwachsene","spielen"
"13","berichterstatter","betreffend","ausschusses","eröffne","federführend","gewünscht","gewünscht","rufe","eingebrachten","gegenprobe","wünscht","aussprache","gewünscht","gesetzes","entwurfs","beschlossen","gegenprobe","eingebrachten","berichterstatter","eingebrachten","entwurfs","tagesordnung","rufe","wer","eingebrachten","gewünscht","drucksachen","ausschusses","handzeichen","berichterstatter","entwurfs","entwurfs","rufe","überwiesen","berichts","endgültigen","überwiesen","vorlage","beschlossen","betr","drucksachen","änderung","berichterstatter","endgültigen","endgültigen","ausschusses","gemäss","beschlossen","gemäss","schreiben","drucksachen","beschlossen","haushaltsausschuss","beschlossen","beschlossen","ältestenrat","ältestenrat","bundestages","gesetzes","eingebrachten","ausschusses","entwurfs","überweisungsvorschlag","gesetzes","beschlossen","entwurfs","gesetzes","beschlossen","eingebrachten","tagesordnung","tagesordnungspunkt","entwurfs","interfraktionell","berichterstattung","fraktion","fraktion","erste","fraktion","federführendcomment","federführendcomment","gesetzes","federführendcomment","entwurfs","federführendcomment","tagesordnungspunkt","abgeordneten","beschlussempfehlung","eingebrachten","entwurfs","entwurfs","gesetzes","berichterstattung","interfraktionell","fraktion","überweisung","weiterer","überweisung","eingebrachten","ausschusscomment","abgeordneten","überweisung","antrags","tagesordnungspunkt","antrags","tagesordnungspunkt","tagesordnungspunkt","aufgeführten","antrags","interfraktionell","tagesordnungspunkt","fraktion","aussprache","aussprache","fcomment","tagesordnungspunkt","vorgeschlagen","interfraktionellen","abgeordneten","abgeordneten","ausschüsse","antrag","weiterer","deutschem","leitern","ähnliches","vollstrecker","ungeimpfte","ungeimpften"
"14","antrag","schliesse","erste","gesetzes","beschlossen","beschlossen","ausschusses","gegenprobe","enthaltungen","berichterstatter","handzeichen","enthaltungen","gesetzes","gewünscht","dritte","rufe","überweisung","beschlossen","gegenprobe","handzeichen","eingebrachten","rufe","wahleinspruch","gegenprobe","rufe","mittelstandsfragen","gewünscht","rufe","punkt","betr","beschlossen","ewg","punkt","betr","rufe","rechtzeitig","änderung","eingebrachten","rates","änderung","betr","drucksachen","betr","nr","vorlage","gesetzes","beschlussempfehlung","gesetzes","ältestenrates","geschäftsordnung","entwurfs","berichts","bericht","wort","entwurfs","berichterstatter","tagesordnungspunkt","eingebrachten","fraktion","beschlussempfehlung","berichterstatter","geschäftsordnung","geschäftsordnung","berichts","gemäss","beschlossen","federführendcomment","antrags","tagesordnungspunkt","ausschusses","aussprache","antrags","federführend","gesetzes","tagesordnung","tagesordnung","abgeordneten","berichts","gesetzes","fraktion","abgeordneten","tagesordnungspunkt","berichterstattung","ausschusscomment","berichts","überweisung","fraktion","entwurfs","gesetzes","tagesordnungspunkt","ausschusscomment","weiterer","beschlossen","gesetzes","abgeordneter","rechtsausschuss","weiterer","entwurfs","entwurfs","eingebrachten","weiterer","bündnisses","antrags","tagesordnungspunkt","interfraktionell","bündnis","weiterer","tagesordnungspunkt","antrags","interfraktionell","tagesordnung","überweisungsvorschlag","entwurfs","rufe","entwurfs","beschlossen","rufe","abgeordneter","beschlossen","verbraucherschutz","fraktionen","überwiesen","grundbedürfnisse","vereinbarung","whistleblowing","schwedische","explizit","anzugehen"
"15","entwurfs","ausschusses","schlage","haus","bericht","aussprache","widerspruch","einleitung","gewünscht","bitte","gegenprobe","ausschusses","ausschusses","berichterstatter","rufe","gegenprobe","aussprache","überweisung","entwurfs","wünscht","wünscht","gesetzes","entwurfs","enthaltungen","bericht","gesetzes","gesetzes","angenommen","wer","gewünscht","handzeichen","gegenprobe","änderung","nr","gegenprobe","rat","ausschusses","rat","antrags","drucksachen","entwurfs","gesetzes","vorlage","berichterstatter","berichterstatter","verordnung","drucksachen","comment","ausschusses","ausschusses","beschlossen","berichterstatter","einverstanden","ältestenrat","eingebrachten","haushaltsausschuss","einverstanden","entwurfs","berichterstatter","berichterstatter","überweisungsvorschlag","überweisungsvorschlag","berichterstatter","geschäftsordnung","überweisung","eingebrachten","ältestenrates","berichterstatter","federführendcomment","tagesordnungspunkt","überweisungsvorschlag","beschlossen","fraktion","tagesordnung","ausschusses","abgeordneten","fraktion","abgeordneter","tagesordnungspunkt","erste","federführendcomment","abgeordneten","abgeordneten","abgeordneten","abgeordneter","beschlussempfehlung","berichterstattung","sammelübersicht","interfraktionell","weiterer","überweisung","fcomment","fraktion","beschlussempfehlung","rufe","fraktion","tagesordnungspunkt","antrags","eingebrachten","abgeordneter","sammelübersicht","tagesordnungspunkt","eingebrachten","interfraktionell","eingebrachten","eingebrachten","beschlussempfehlung","interfraktionell","tagesordnungspunkt","antrags","interfraktionell","aufgeführten","drucksachen","eröffne","rufe","tagesordnungspunkt","abgeordneten","interfraktionellen","weiterer","aufgeführten","widerspruch","berichts","aufsichtspflicht","zwingend","küste","chronisch","kindern","sosehr"
"16","haus","erste","einverstanden","gewünscht","gewünscht","haus","bericht","überschrift","berichterstatter","ausschusses","gewünscht","berichterstatter","bitte","ausschusses","berichts","entwurfs","enthaltungen","wort","bericht","entwurfs","drucksachen","gewünscht","berichts","tagesordnung","entwurfs","handzeichen","angenommen","handzeichen","ausschusses","enthaltungen","verordnung","betr","berichts","beschlussfassung","punkt","vorlage","rufe","endgültigen","ältestenrates","beschlossen","beschlussfassung","überweisungsvorschlag","rechtzeitig","vorlage","änderung","federführend","änderung","ausschusses","beschlussempfehlung","gesetzes","gewünscht","entwurfs","drucksachen","verordnung","antrag","widerspruch","beschlossen","beschlossen","drucksachen","beschlossen","beschlossen","tagesordnungspunkt","eingebrachten","eingebrachten","grünen","federführendcomment","ältestenrat","ausschusses","ältestenrat","beschlossen","änderung","gesetzes","ältestenrat","abgeordneten","antrags","überweisung","ausschusses","aussprache","überweisung","berichterstattung","abgeordneter","abgeordneter","tagesordnungspunkt","ausschusses","abgeordneten","rechtsausschuss","antrags","antrags","antrags","drucksachen","fraktion","tagesordnungspunkt","abgeordneter","tagesordnungspunkt","interfraktionell","tagesordnungspunkt","fraktion","fraktion","antrags","interfraktionell","eingebrachten","interfraktionell","sammelübersicht","rufe","entwurfs","ausschusscomment","einverstanden","tagesordnung","aufgeführten","tagesordnung","ausschüsse","tagesordnung","eingebrachten","interfraktionellen","tagesordnung","interfraktionellen","vorgeschlagen","weiterer","entwurfs","gesetzes","digitale","einverstanden","durchschlagen","faulheit","grenzkontrollen","jähriger","warnt","weichenstellungen"
