"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","auswärtigen","john","amt","amt","bundesgrenzschutz","bonn","dienst","besoldungsgruppe","beamten","beamten","münchen","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","beamten","dienstes","dienst","beamten","beamten","dienst","beamten","benda","beamten","genscher","genscher","genscher","genscher","genscher","genscher","dienst","bundesgrenzschutz","oldenburg","dienst","dienst","teilzeitbeschäftigung","dienst","dienst","beamten","beamten","beamten","dienst","nebentätigkeit","juristen","beamten","beamten","beamten","beamten","beamte","beamten","dienst","dienst","dienst","dienst","auswärtigen","dienst","dienst","dienst","sport","beamten","dienst","sport","sport","dienst","neuen","sport","sport","kultur","sport","sport","kommunen","kulturpolitik","kommunen","kommunen","kommunen","kommunen","bremen","kommunen","stiftungen","ehrenamt","kommunen","kommunen","engagement","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","sport","sport","kommunen","kommunen","sport","kommunen","kommunen","kommunen","kommunen","kommunen","behinderung","sport","menschen","kommunen","sport","sport","barrierefreiheit","sport","schwimmen","behinderungen","sport","behinderungen","ehrenamt","thw","behinderungen","sport","sport"
"2","ministerium","amt","bundesinnenminister","auswärtigen","beamten","bundesgrenzschutzes","bonner","beamten","beamten","bundesgrenzschutz","zivilen","dienstes","dienst","dienst","dienst","innern","dienst","dienst","dienstes","dienst","dienst","dienst","bundeskriminalamt","dienstes","dienst","angestellte","verbesserungen","dienstes","vergütungsgruppe","beamten","genscher","genscher","dienstes","innern","bundesgrenzschutz","innern","innern","innern","innern","innern","bundesgrenzschutzes","schaumburglippe","öffentlichen","dienstes","dienst","beamten","öffentlichen","beamte","dienst","dienst","dienstes","dienst","öffentlichen","dienst","dienstes","dienst","schäfer","dienst","dienst","beamten","beamten","dienstes","öffentlichen","dienst","beamten","sport","öffentlichen","dienst","beamtenversorgung","dienstes","dienst","neuen","neuen","dienst","neuen","doping","kulturelle","kultur","kommunen","verwaltung","kommunen","gemeinden","sport","gemeinden","gemeinden","kommunen","vereine","sport","kommunen","gemeinden","kommunalen","sport","gemeinden","sport","leipzig","gemeinden","gewerbesteuer","prävention","kommunalen","kommunalen","sport","doping","kommunen","sport","sport","kommunen","gewerbesteuer","gewerbesteuer","kommunalen","aktionsplan","behinderung","kommunen","kommunen","behinderung","behinderungen","kommunen","kommunen","behinderung","behinderungen","inklusion","teilhabe","esport","gemeinnützigkeit","stiftung","stiftung","menschen","vereine","behinderung"
"3","verwaltung","beamten","verfassungsschutz","verwaltung","verwaltung","kontrolle","bundesbauten","hochschullehrer","dienst","zivilen","bundesinnenminister","sportstätten","innenausschuss","kühlthau","matzner","höcherl","harmonisierungsnovelle","dienstes","dienst","dienstes","schmittvockenhausen","öffentlichen","gscheidle","dienst","gscheidle","beamten","stufe","dienst","beamte","dienstes","innern","innern","dienst","dorn","bundesgrenzschutzes","mandel","dienst","öffentlichen","dienst","bund","beamten","niedersachsen","dienstes","riedl","beamten","öffentlichen","beamten","dienst","beamte","dkp","öffentlichen","beamten","dienst","öffentlichen","clemens","öffentlichen","beamte","diäten","dienstes","öffentlichen","öffentlichen","auswärtigen","kulturpolitik","dienstes","olympischen","dienstes","beamten","beamten","öffentlichen","auswärtigen","öffentlichen","dienst","öffentlichen","bund","sports","neuen","kulturellen","kulturpolitik","bund","gemeinden","verwaltung","kommunalen","kommunalen","verwaltung","städte","saarland","gemeinden","kommunen","ehrenamtlich","kommunalen","gemeinden","enquetekommission","kommunalen","gemeinden","gemeinden","kommunalen","kommunalen","sport","städte","schulsport","bund","kommunen","parr","olympischen","bund","behinderungen","kommunalen","kommunalen","bund","behinderung","sport","menschen","behinderung","behinderungen","menschen","behinderung","doping","behinderungen","menschen","sport","menschen","behinderungen","behinderung","engagement","helferinnen","sport","menschen","behinderungen"
"4","aufgaben","ministerium","innern","beamten","bergmeyer","bundesinnenminister","planstellen","amt","personal","amt","schmitt","innern","einzelplan","einfachen","kühlthau","dienstes","gscheidle","höcherl","gscheidle","beamte","innenausschuss","innenausschuss","dienst","besoldungsgruppe","innenausschuss","dienst","beamten","schmittvockenhausen","dienstes","wagner","beamte","verbrechensbekämpfung","besoldung","becker","sicherheit","polizei","beamten","länder","dienstes","bundesinnenminister","dienstes","beamten","gerster","öffentlichen","öffentlichen","dienstes","verfassungsschutz","öffentlichen","berger","berger","beamten","beamte","dienstes","landgericht","beamte","beamte","dienst","entschädigung","nebentätigkeit","dienstes","dienstes","beamten","goetheinstitut","auswärtige","auswärtigen","auswärtigen","dienstes","dienstes","dienst","beamten","dienstes","öffentlichen","dienstes","beamten","bund","sports","neuen","kommunen","kommunalen","öffentlichen","öffentlichen","bund","sportförderung","bund","kommunalen","bund","bund","doping","engagement","kommunale","vereine","kommunen","gewerbesteuer","gewerbesteuer","gewerbesteuer","sport","gemeinden","sports","gemeinden","gewerbesteuer","spielsucht","sportler","olympischen","spiele","bundesbeteiligung","ehrenamtlichen","sport","unterkunft","gemeinden","sport","behinderungen","sport","menschen","kommunen","sport","doping","behinderung","menschen","eingliederungshilfe","sportausschuss","behinderung","gemeinnützigkeit","feuerwehren","menschen","behinderungen","teilhabe","barrierefreiheit","menschen"
"5","innern","abteilung","bundesamt","ministerium","innern","aufgaben","bauten","dienstes","ministerium","beamte","dienst","turn","innern","innern","schröder","weihnachtsgeld","dienstes","gscheidle","innern","doppelversorgung","höcherl","dienstes","innenausschuss","öffentlichen","dienstes","öffentlichen","brück","besoldungsgruppe","dienst","öffentlichen","bundeskanzleramtes","bundeskriminalamt","öffentlichen","dienstes","innern","dienst","länder","dienstes","beamten","öffentlichen","wahlrecht","dienstes","innenausschuss","beamten","beamte","riedl","verfassungstreue","vorbereitungsdienst","dienstes","öffentlichen","beamte","öffentlichen","beamten","dienstes","funktionen","dienstes","beschwerdesumme","beamten","nebentätigkeiten","abgeordneten","beamte","auswärtige","beamten","öffentlichen","beamte","athleten","bezüge","öffentlichen","sport","öffentlichen","beamten","sports","aufbau","öffentlichen","sportstätten","öffentlichen","kulturförderung","neuen","sportbericht","kommunalen","gemeinden","städte","gemeinden","aufgaben","selbstverwaltung","länder","kommunalen","engagement","kommunalen","geoinformationen","selbstverwaltung","bürgerschaftlichen","gewerbesteuerumlage","kommunalen","olympischen","kommunale","gewerbesteuereinnahmen","kommunalen","hückeswagen","sport","parr","engagement","spiele","kommunalen","kommunalen","sports","gemeinden","sport","kommune","kommunalen","olympischen","behinderungen","olympischen","inklusion","behinderung","sports","sportler","kommunen","behinderung","barrierefreiheit","inklusion","athleten","werkstätten","behinderungen","helfer","behinderung","stiftung","bevölkerungsschutz"
"6","auswärtigen","amts","innenminister","beamte","ministerien","amt","beamten","lehrer","beamte","ministerium","innern","beamten","schmitt","mittleren","innern","schmittvockenhausen","bundesinnenminister","innenausschuss","höcherl","höcherl","beamte","schmittvockenhausen","brück","fortbildung","beamtenschaft","innern","öffentlichen","innenausschuss","tarifverhandlungen","genscher","dienstes","beamten","innern","nienberge","polizei","ländern","dienstes","bund","auslieferung","beamten","vereinbarung","innenausschuss","gehobenen","anwärterbezüge","bund","liedtke","kommunisten","dienstes","öffentlichen","dienstes","ministerialzulage","dienstes","plakate","beamte","bundesgrenzschutz","broschüren","dienstes","verschwendung","öffentlichen","parlament","nebentätigkeit","einfachen","dienstes","kulturpolitik","öffentlichen","doping","besoldungsgruppe","beamte","beamte","auswärtige","sportstätten","verwaltung","beamten","länder","personal","kultur","bgs","gemeinden","gemeinden","modernisierung","dienst","kommunale","verwaltung","länder","kommunale","ländern","stiftungen","olympischen","enquetekommission","bund","stiftungen","engagements","gemeindefinanzreform","enquetekommission","spiele","arbeitsgemeinschaften","ehrenamtlich","städte","entlastung","kommunale","gemeinden","ehrenamtlich","kommunalen","sports","unterkunft","kommunalen","bund","gemeinden","behinderungen","behinderungen","menschen","nada","behinderungen","unbehindertenrechtskonvention","teilhabe","olympischen","menschen","unbehindertenrechtskonvention","bundesteilhabegesetz","schwimmunterricht","anfrage","teilhabe","menschen","games","bevölkerungsschutz","ehrenamtlichen","behinderung","ahrtal"
"7","amt","dienst","beamten","bundesinnenminister","organisation","fonds","nachtragshaushaltsplan","besoldungsgruppe","besoldung","bevölkerungsschutz","verfassungsschutz","bundesrechnungshof","notstandsplanung","dienstes","dienstes","verbeamtung","besoldung","innern","schmittvockenhausen","schmittvockenhausen","rechnungsprüfung","besoldung","dienstes","innenausschuss","besoldung","bundesgrenzschutz","innenausschuss","öffentlichen","besoldungsgruppe","innern","bundeskanzleramt","sofortprogramm","wagner","öffentlichen","länder","deutschland","polizei","dienst","öffentlichen","berger","innern","dienst","beamten","berger","grenzkommission","innenausschuss","dienstes","innenausschuss","spitzenamt","beamte","sparkassen","nebentätigkeiten","sparguthaben","richter","ware","kühbacher","wertgrenzen","grüne","beamte","dkp","entschädigung","beamte","auswärtigen","ausland","verfassungstreue","olympischen","eingangsbesoldung","sports","dienstes","zulagen","sportanlagen","dienstes","bundesländern","bundesländern","ländern","bund","einrichtungen","kommunalen","sports","kommunale","staat","öffentlichen","bund","öffentlichen","bund","gemeinden","kommunale","sports","sport","städte","gewerbesteuer","sports","städte","gewerbesteuerumlage","bewerbung","trägerschaft","arbeitsgemeinschaften","gemeinden","bürgermeister","gemeinden","kommunalen","stiftungen","prävention","sportler","engagement","werkstätten","unterkunft","bund","behinderung","grundsicherung","bima","engagement","teilhabe","sport","inklusion","sportler","integrationsfirmen","eingliederungshilfe","teilhabe","menschen","bundesteilhabegesetz","special","invictus","invictus","menschen","stiftung","behinderungen","inklusion"
"8","beamte","ministeriums","maier","dienststelle","verwaltungsreform","auswärtigen","beamte","bevölkerungsschutz","fonds","aufgaben","schäfer","beamte","kühlthau","innenausschuss","überleitung","zivilen","höcherl","erhöhung","öffentlichen","bundesbeamtengesetzes","weihnachtszuwendungen","bundesregierung","ländern","beamte","beamte","angestellten","dienstes","besoldung","iii","schäfer","öffentlichen","dienst","beamte","verbrechensbekämpfung","innenminister","bund","sicherheit","beamten","bundesinnenminister","länder","innenausschuss","bundesgrenzschutz","bund","nivellierung","dienstes","beamte","bewerber","berger","nebentätigkeit","bundesverfassungsgerichts","zulage","dienstlichen","beschäftigten","amtsgericht","bundesgrenzschutzes","stolze","leiter","kleinert","fröhlich","disziplinarverfahren","urheber","mitarbeiter","goetheinstituts","verhaltensregeln","dienstes","spitzensport","einkommensentwicklung","beamtenversorgung","sports","bediensteten","lambinus","bund","kommunen","aufgaben","kommunen","mitarbeiter","übergangsfinanzierung","bundes","kommunale","städte","kommunalen","altschulden","dienst","kommunalen","dienst","kommunalen","übungsleiterpauschale","spitzensport","ehrenamtlichen","geodaten","kommunale","vereine","spitzenverbände","kommission","rostock","städte","städte","gewerbesteuer","prävention","bund","sportwetten","ehrenamt","bewegung","eingliederungshilfe","bedarfsgemeinschaften","bund","kommunale","kommunale","sport","unbehindertenrechtskonvention","spiele","ehrenamt","sportler","eingliederungshilfe","bundesteilhabegesetz","spiele","integrationsbetriebe","bundesteilhabegesetz","kommunen","athleten","teilhaben","olympics","games","behinderung","gemeinnützigkeit","betreuungsrecht","organisationen","bbk"
"9","ministerien","auswärtige","menzel","aufgaben","beamte","personal","ritzel","vockenhausen","ritzel","verwaltung","bundesanstalt","angestellte","vockenhausen","erhöhung","bundesamt","dienst","beamte","brück","besoldung","versorgungsempfänger","innern","sachverständigenrat","öffentlichen","brück","ländern","polizei","besoldungsneuregelungsgesetzes","verbesserungen","amtsbezeichnung","bundesinnenminister","dienst","kriminalpolizei","genscher","dienst","beamten","kartei","bund","ländern","innenausschuss","dienstes","polizei","öffentlichen","berger","innenausschuss","bundesgrenzschutz","bundesgrenzschutz","beamte","bewerber","gehobenen","wittmann","transmigranten","bediensteten","bediensteten","landgerichten","beamter","besoldung","öffentlichen","marburgcomment","diäten","kleinert","geistigen","öffentlichen","zulage","amtes","diäten","messel","strukturbericht","auswärtigen","richter","ehepartner","zollverwaltung","bundesländern","bund","personal","bundesländern","vbl","ländern","selbstverwaltung","spitzensport","aufgaben","reform","verwaltung","sports","bgs","beamten","aufgaben","vereinen","stiftungsrecht","gemeinden","rössel","städte","bürgerschaftliches","kommission","grossveranstaltungen","kommunalen","sportförderung","kommunale","vereine","schulen","städte","monopol","engagements","staatsvertrag","gemeinden","sports","kommunale","kosten","städte","städte","bund","kommunalen","inklusion","design","teilhabe","unbehindertenrechtskonvention","kommunalen","kommunalen","doping","sports","schwimmbäder","gesellschaft","menschen","inklusion","barrierefreiheit","bundesteilhabegesetz","betreuung","transparenzregister","zivilschutz"
"10","ministeriums","dienstes","mann","ministerien","auswärtigen","überführung","ministerium","auswärtigen","bonn","innenministerium","haushaltsausschuss","bundesinnenminister","zivilen","ortszuschlag","beamtengruppen","angestellten","brück","matzner","beamtenrechts","überleitung","dienstes","beamtenbesoldung","dorn","verwaltung","miessner","goetheinstituts","unteroffiziere","besoldungsneuregelungsgesetz","ii","besoldungsrückstandes","schäfer","polizei","gehobenen","bundeskriminalamt","inneren","länder","inneren","verwaltung","länder","ländern","dienst","bundesgrenzschutzes","neugliederung","ländern","zulagen","berger","dkp","verfassungstreue","teilzeitbeschäftigung","erschwerniszulage","not","bedienstete","erkel","wehrstrafgerichtsbarkeit","bediensteten","ruhestand","bundesbeamtengesetzes","öffentlichen","beurlaubung","verhaltensregeln","besoldung","amtes","beamte","tätigkeiten","auswärtige","grube","verhältnisse","sportanlagen","alterssicherungssysteme","thw","mittleren","mitarbeiter","mitarbeiter","beamte","richter","dienst","bund","sports","ländern","altschulden","altschulden","dienst","öffentlichen","dienst","öffentlichen","dienst","öffentlichen","sportler","tätigkeit","sport","vereinen","engagieren","kommunale","städte","städte","bund","gewerbesteuerumlage","gesundheitsförderung","aktion","spitzenverbände","prävention","sports","bund","behinderungen","länder","gewerbesteuerumlage","städte","kommune","kommunale","gemeinden","bund","ehrenamtlich","sports","behinderten","eingliederungshilfe","menschen","sports","barrieren","unbehindertenrechtskonvention","kommunen","barrieren","barrierefreiheit","freifunk","ehrenamtlichen","teilhabe","budget","gemeinnützigkeit","katastrophenschutz"
"11","angelegenheiten","aufgaben","schmidtwittmack","ministeriums","ministerium","innern","provisorium","zivilen","bundesinnenminister","bundesgrenzschutzes","verwaltung","personal","heimatdienst","beamtengehälter","berufsbeamtentums","vorschuss","bundesbesoldungsgesetzes","besoldung","bundesinnenminister","innenausschuss","besoldung","brück","besoldungsordnung","schmittvockenhausen","spdbundestagsfraktion","beamte","schmittvockenhausen","innenausschusses","angestellten","beamte","abteilung","öffentlichen","vereinheitlichung","schaulustige","gewalt","minister","schäfer","beamte","beamte","besoldung","öffentlichen","volksentscheid","länder","besoldung","bundesinnenminister","überstunden","regelanfrage","bundesverfassungsgerichts","besoldungsstrukturgesetz","regenspurger","einzelfallprüfung","staatssekretär","abgaben","broll","rechts","besoldungsanpassung","versorgung","broschüre","berufsbeamtentums","schöfberger","einfachen","mittleren","bediensteten","beamten","sportorganisationen","sports","gehobenen","gehobenen","linearisierung","besoldung","mitarbeiter","schäuble","kultur","einrichtungen","sportanlagen","ioc","dienst","kulturellen","öffentlichen","bund","bund","aufgaben","städte","verschlankung","rössel","bundes","städte","engagements","engagements","scheelen","gemeindefinanzreform","gemeinden","bund","gemeindefinanzreform","sport","organleihe","berufsgenossenschaften","kommunale","aufgaben","piltz","kommunale","nada","länder","werkstätten","bürgerschaftlichen","fussball","bedarfsgemeinschaften","bundesbeteiligung","inklusion","behinderte","unbehindertenrechtskonvention","unbehindertenrechtskonvention","beiräte","behinderte","kommunalen","rekommunalisierung","kommunale","behinderte","gesetz","dlrg","teilhabeausweis","verein","abgabenordnung","sport","hilfswerk","betreuer","vereinen","katastrophenhilfe"
"12","abteilung","beamte","amt","innenminister","bonn","ministerium","kontrolle","aufgaben","einrichtungen","schmitt","korruption","zivilen","bundeszentrale","beamte","bundesbeamtengesetzes","bevölkerungsschutz","einfachen","öffentlichen","ortskräfte","öffentlichen","öffentlichen","beamte","bundesinnenminister","berufsunteroffiziere","disziplinarrecht","bediensteten","beamte","beamte","besoldungsneuregelungsgesetz","besoldungsrückstand","hörmann","schäfer","innenausschuss","minister","bundesinnenminister","bundesminister","bundesinnenminister","zentralstelle","polizei","polizei","länder","gerster","verwaltung","bund","riedl","besoldung","bundesverfassungsgerichts","vorbereitungsdienstes","rechtspfleger","broll","besoldung","riedl","teilnahme","angestellten","seoul","einstweiligen","kühbacher","marburg","angestellten","npd","kleinert","ausland","rose","amt","tätigkeiten","beamten","dienstrechts","sportorganisationen","beamtenversorgungsgesetzes","beamte","kostenpauschale","ländern","beamte","mitarbeiter","aufbau","spitzensport","öffentlichen","einrichtungen","kultur","einrichtungen","dienstes","länder","vereine","ländern","reform","öffentlichen","aufgaben","gemeinden","ehrenamtliche","uwejens","ehrenamtlich","staat","gewerbesteuereinnahmen","kommunale","bund","sports","engagement","sportförderung","besser","städten","schuldnerberatung","parr","unterkunft","peking","bürgerschaftliches","doping","bundes","gemeindefinanzkommission","länder","inklusion","grundsicherung","bund","unbehindertenrechtskonvention","sotschi","beteiligung","bewerbung","gemeinden","gabriele","beeinträchtigungen","athletinnen","barrierefreiheit","behinderung","teilhabe","budget","ehrenamtlichen","engagement","inklusion","werkstätten"
"13","bundesinnenminister","handbuch","verfassungsschutzamt","innern","bundesinnenminister","abteilung","verwaltung","bundesinnenminister","verwaltung","bundesinnenminister","bevölkerungsschutz","öffentlichen","schäfer","beamtenschaft","beamtenrechtlichen","beamte","mittleren","beamtenschaft","beamte","dorn","angestellten","gscheidle","besoldungsreform","unteroffiziere","bundesgrenzschutz","innenausschuss","besoldungsneuregelungsgesetz","laufbahn","bat","mittleren","versetzt","dorn","dorn","beamten","dienst","freie","öffentlichen","polizei","berger","bundeskriminalamt","bgs","neugliederung","wendig","bundesinnenminister","ländern","cbesoldung","bundesverfassungsgericht","jentsch","regenspurger","polizeizulage","bewerber","kriterium","mittleren","berufungssumme","braunschweig","tarifverhandlungen","ehefrau","monatsgehalt","entschädigung","ans","nebentätigkeiten","besoldung","auswärtige","mitarbeiter","grenzaufsichtsdienst","spiele","berufsbeamtentum","sportler","ruhestand","stellenzulage","beamte","kulturarbeit","ländern","dienstes","mitarbeiter","plan","purps","kunst","neuen","selbstverwaltung","beamten","kanther","kommunale","städte","länder","rössel","länder","vereine","feuerwehr","finanzkraft","ehrenamt","ehrenamtlich","gemeindefinanzen","olympischen","gewerbesteuerumlage","städten","bund","länder","bund","sprintstudie","sports","bürgerschaftlichen","behinderungen","ioc","anpassungsformel","vereine","kommission","kosten","senator","menschen","gemeinden","kommunalen","inklusion","barrieren","doping","behinderungen","antidopinggesetz","sprache","behinderte","dosb","ausweis","athletinnen","unbehindertenrechtskonvention","ehrenamtlich","contergan","ehrenamt","sportstätten","teilhabe"
"14","minister","dienststelle","bundesamtes","menzel","aufgaben","beamten","abteilung","professoren","einrichtung","informationsamt","schröder","staatssekretär","heye","gehobenen","beamte","bundesinnenminister","besoldungserhöhungsgesetz","wuermeling","studienkommission","verbesserungen","zivilbeschäftigten","anpassung","studienkommission","überleitung","verbesserungen","schmittvockenhausen","harmonisierung","richter","beförderung","berger","aufgaben","dienstes","bundeskriminalamt","beamtinnen","bgs","institution","landschaftspflege","bundesinnenminister","bundesgrenzschutz","innenausschuss","wahlkreiseinteilung","waffen","grundgesetzes","wendig","enquetekommission","hochschullehrerbesoldung","beschluss","ausbildung","bundesinnenminister","bewerber","kühbacher","broll","aufforderung","landgerichte","braunen","gewerkschaften","zusatzversorgung","verheyen","tätigkeiten","eingangsbesoldung","bernrath","anhörung","ministerialzulage","einkünfte","sportpolitik","betreuung","diäten","wohngebieten","altersversorgung","lowack","lutz","richter","verwaltung","personelle","diätenerhöhung","bundesländern","bundes","bund","verwaltung","kanther","dienstrechtsreform","ländern","selbstverwaltung","kanther","versorgungsrücklage","sanierungshilfen","stiftungsrecht","riegert","vereine","gewerbesteuer","gewerbesteuerumlage","sportler","einnahmen","sports","freiberufler","optionsgesetz","kommune","ländern","landrat","unterkunftskosten","detlef","engagieren","kosten","olympische","heizung","vereinen","länder","sports","aktionsplan","kosten","inklusion","teilhabe","sportgrossveranstaltungen","sportler","barrierefreiheit","kommunale","integrität","werner","teilhabebericht","schwimmbad","sport","vereine","ehrenamtlich","organisationen","ehrenamt","einrichtungen","betroffenen","einrichtungen"
"15","polizei","staatssekretär","material","amtes","auswertung","verwaltung","bundeshauptstadt","besoldungsordnung","remilitarisierung","gutachten","tit","haushaltsausschuss","bereitschaftspolizeien","anhebung","verbesserungen","ministerien","öffentlichen","bevölkerungsschutz","innenminister","besoldung","gscheidle","ländern","bundeskriminalamtes","verbesserungen","öffentlichen","bundesgrenzschutzes","gscheidle","miessner","schmittvockenhausen","freitag","ruhestand","innenminister","richterbesoldung","innenministerkonferenz","polizeilichen","staates","bundesgrenzschutz","schäfer","inneren","beamte","wahlkreise","landes","miltner","bundesgrenzschutz","simitis","länder","grundordnung","regenspurger","einstellung","mitgliedschaft","zeiten","öffentliche","bitte","zivilsachen","stiftung","angestellten","angelegenheiten","angestellten","arbeiter","treuepflicht","eigentums","amt","ausland","kultur","frau","sportler","öffentlichrechtlichen","berufssport","schäuble","verheugen","abgeordnetengesetzes","länder","richter","sport","kultur","übergangsfinanzierung","kommunen","ländern","leistungssport","dienstrechts","schlanker","versorgungsbericht","länder","schlanker","aufgaben","finanzausgleich","organisationen","ehrenamtlich","kommunale","konnexitätsprinzip","sport","ehrenamt","selbstverwaltung","spitzensport","kommunale","ort","sport","gemeindefinanzreform","schokolade","länder","länder","gesellschaft","detlef","engagement","dosb","behinderung","sports","spitzenverbände","integrationsfachdienste","vermittlungsausschuss","öpp","grundsicherung","betreuungsbehörde","olympischen","trainiert","sportlerinnen","kommune","werkstätten","sportanlagen","korte","athleten","olympischen","anerkennung","ehrenamtskarte","engagement","unbehindertenrechtskonvention","ehrenamt","inklusiven"
"16","dienst","wurde","amtes","personal","menzel","beamte","ministeriums","abteilung","sowjetunion","ausland","staatssekretär","ca","iv","bundesamt","übergeführt","weihnachtsgeldes","schmittvockenhausen","schmittvockenhausen","arbeiter","innern","personenkreis","bundesbeamten","schmittvockenhausen","miessner","innenausschusses","ländern","vierten","lehrer","köppler","tarifverhandlungen","besondere","schneider","zulagen","benda","verbrechensbekämpfung","dienstes","verbrechensbekämpfung","datenschutz","gehobenen","innenministerkonferenz","pensky","landesregierung","beamte","stufenlehrer","innern","beamtenstellen","lehrer","beamtenverhältnisses","verfassungsfeindlich","pauschalierung","geschädigte","dienstliche","sparbuch","gerster","planstellen","beschäftigten","stolze","diätenerhöhung","kühbacher","bundesgrenzschutz","beamter","botschaften","verhaltensregeln","aussenpolitik","abgeordnete","amt","arbeiter","bundesverwaltungsgerichts","sportbericht","mitarbeiter","personal","beamten","kulturelle","verwaltung","dienst","goldenen","teilzeitbeschäftigung","kommunale","verschlankung","kultur","einrichtungen","selbstverwaltung","betreuer","staat","stadt","verwaltung","jahrproblem","bürgerschaftlichen","kumpf","geoinformationswesen","engagement","kommunalen","länder","bund","reform","kommunaler","stadt","städten","kommunale","kunert","sportförderung","vereine","sportwetten","bund","bundes","ehrenamtlich","stadt","kommission","gewerbesteuer","kommunale","dienstleistungskonzessionen","vereine","barrierefreiheit","behinderter","behinderte","kommune","werkstätten","sport","fans","olympischen","schwerbehindertenausweis","fifa","engagement","bundesteilhabegesetz","bericht","vereine","hochwasser","budget"
"17","staatssekretär","haushaltsausschuss","bundesminister","amts","kontrolle","ministeriums","organisation","schmitt","personelle","planstellen","bundesamt","planstellen","haushaltsausschuss","bezüge","aufklärung","überleitung","bezüge","angestellten","berufsbeamtentums","beamtenrecht","weihnachtsgeld","bundesgrenzschutz","miessner","planstellen","verwaltung","gscheidle","wuermeling","besoldungsordnung","innenausschusses","spillecke","ehmke","beamte","laufbahn","beamte","innere","öffentlichen","bundes","wasser","minister","verbrechensbekämpfung","kpi","art","ländern","besoldungsgruppe","finanzverfassung","grenzkommission","einstellungsbehörden","richter","oberinspektoren","innenausschuss","handlung","dienstvorgesetzten","stellenvermehrungen","streitwert","sehen","regenspurger","wahrgenommen","bundestagspräsidenten","gewerblichen","angeregt","einkommensentwicklung","besoldungsgruppe","mexiko","ehepartner","treuepflicht","amtes","regelanfrage","bernrath","berufsbeamtentums","ruhegehaltsfähige","entschädigung","staatsanwälte","verwaltungen","besoldung","dienstes","kommunen","kulturpolitik","länder","breitensport","körper","kultur","uelhoff","kommune","rössel","städten","sport","gemeinnützigen","ehrenamt","ehrenamtlicher","sportler","enquetekommission","engagierten","gemeinde","riegert","gemeindefinanzreform","grundgesetzänderung","versicherungsschutz","präventionsgesetz","städten","sportunterricht","bewegung","bürgerschaftliches","sports","kommunale","behinderungen","gemeinden","kommunalfinanzen","bundes","rekommunalisierung","ix","sportler","sports","doping","sportlerinnen","bund","werkstätten","inklusion","behinderter","werkstätten","medaillen","bentele","games","umwelthilfe","gesellschaft","eingliederungshilfe","werkstätten","katastrophenschutz","rheinlandpfalz"
