"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","auswärtigen","berlin","saar","saar","saar","auswärtigen","auswärtigen","flüchtlinge","unterhaltshilfe","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","vertriebenen","innerdeutsche","novelle","innerdeutsche","flüchtlinge","unterhaltshilfe","argentinien","kulturpolitik","seeschiffahrt","steiner","sport","bundeskanzleramtes","sport","bundesbank","stiftung","shb","dkp","film","film","stoffe","umweltpolitik","lebensmitteln","medien","nordsee","übereinkommen","hamburg","umweltschutz","wolfgramm","umweltschutz","umweltschutz","umweltschutz","umwelt","umwelt","umweltschutz","umwelt","nordsee","umwelt","töpfer","töpfer","umwelt","umwelt","umwelt","umwelt","umwelt","rio","umwelt","umwelt","umwelt","umwelt","umwelt","naturschutz","umwelt","umwelt","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umwelt","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","umweltpolitik","naturschutz","umweltpolitik","nachhaltigkeit","reach","umweltpolitik","umwelt","natur","entwicklungsländer","entwicklungsländern","budgethilfe","nachhaltige","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","afrika","entwicklungszusammenarbeit","afrika","entwicklung","deg","afrika","afrika","afrika","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","bundesregierung","auswärtigen","bundesregierung","auswärtigen","berliner","auswärtigen","berliner","berlin","fernsehen","saarlandes","saarländischen","französischen","amts","hauptentschädigung","hauptentschädigung","rehs","vertriebenen","zone","unterhaltshilfe","flüchtlinge","vertriebene","wiedergutmachung","huyn","räume","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","flüchtlinge","novelle","herold","flüchtlinge","fircks","aufbaudarlehen","spiele","argentinischen","auswärtigen","sports","wienand","guillaume","chef","sports","schüler","olympischen","spartakus","beschwerdestelle","stiftung","luft","sport","umweltschutz","cadmium","elbe","gutachten","antarktis","wasser","seeschiffahrt","hamburg","wald","umwelt","nordsee","umweltschutz","tempolimit","nordsee","wallmann","umweltschutz","töpfer","umwelt","umwelt","töpfer","töpfer","enquetekommission","enquetekommission","enquetekommission","umwelt","naturschutz","rio","töpfer","enquetekommission","merkel","umwelt","genehmigungsverfahren","merkel","natur","merkel","umwelt","umwelt","umweltpolitik","nachhaltigkeit","umwelt","gentechnik","umweltpolitik","enquetekommission","umwelt","gentechnik","umwelt","gentechnik","reach","umwelt","umwelt","reach","natur","vielfalt","entwicklungsländern","natur","entwicklungsländern","beirat","haiti","entwicklung","entwicklungszusammenarbeit","entwicklungspolitik","wasser","bmz","entwicklung","entwicklungspolitik","entwicklung","entwicklung","fluchtursachen","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","pakt","entwicklungszusammenarbeit","indien","entwicklungszusammenarbeit","globalen","globalen","hunger"
"3","deutschen","berliner","auswärtigen","bundesregierung","bundesregierung","deutschen","berlins","amt","rundfunkanstalten","berlin","saarland","auswärtigen","scherpenberg","flüchtlinge","unterhaltshilfe","vertriebene","toiletten","vertriebene","novelle","unterhaltshilfe","kriegsgeschädigte","flüchtlinge","vertriebenen","zimmer","becher","flüchtlinge","heimatvertriebenen","geschädigten","entschädigung","herr","beziehungen","gleichstellung","lastenausgleichs","unterhaltshilfe","fircks","offergeld","vertriebenen","sportförderung","zeugen","ehmke","schüler","sportbericht","tourismus","sportorganisationen","msb","schirmer","konrad","filme","umwelt","stoffe","umweltschutz","umwelt","elbe","ta","gewässerschutz","luft","seeschiffahrt","waldsterben","natur","wald","autos","umweltschutz","umwelt","umweltschutz","umwelt","industrie","umweltschutz","umweltpolitik","umweltpolitik","nordsee","wälder","töpfer","naturschutz","ostsee","umweltschutz","töpfer","verwertung","umweltpolitik","umweltpolitik","merkel","bse","naturschutz","naturschutz","naturschutz","naturschutz","nachhaltigkeit","ökologische","umweltpolitik","umweltpolitik","umwelt","enquetekommission","globalisierung","ökologischen","wald","gentechnik","umwelt","umwelt","tourismus","wälder","umwelt","sachalin","entwicklungsländer","wälder","entwicklungsländer","entwicklungszusammenarbeit","entwicklung","entwicklungsländer","entwicklungsländern","entwicklungsländern","niebel","entwicklung","entwicklungsländern","entwicklungszusammenarbeit","entwicklung","afrika","nachhaltige","entwicklungszusammenarbeit","palmöl","entwicklung","entwicklungspolitik","entwicklungspolitik","migration","menschenrechte","afrika","who","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit"
"4","alliierten","amts","deutschen","fremdenlegion","anfrage","bundesregierung","bundesregierung","deutschen","berliner","saarländischen","saarländische","bundesrepublik","französischen","vertriebenen","novelle","vertriebenen","luftfahrtunternehmen","vertriebenen","flüchtlinge","weber","entschädigung","entschädigung","graf","hochhaus","vertriebene","heimkehrer","gleichstellung","schäden","häftlinge","unterhaltshilfe","barm","innerdeutsche","beziehungen","ausgleichsfonds","kriegsschadensrente","herold","flüchtlinge","sport","untersuchungsausschuss","sports","bnd","sporthilfe","werbeagentur","sportvereine","dsb","berliner","nachlass","filmförderung","chemikalien","umwelt","bestrahlung","nordsee","stoffe","luft","gewässer","ta","paritätisch","luft","waldsterben","umwelt","auto","benzin","luft","industrie","naturschutz","umweltpolitik","umweltpolitik","naturschutz","umweltschutz","gentechnik","tropischen","schmidbauer","umweltpolitik","industrieländer","töpfer","naturschutz","umweltpolitik","feige","umweltschutz","umweltschutz","merkel","umweltschutz","merkel","umwelt","umweltpolitik","ökologische","klimaschutz","enquetekommission","haag","nachhaltigkeit","umwelt","johannesburg","ökologische","gentechnisch","trittin","nachhaltigkeit","trittin","wald","trittin","nachhaltigkeit","naturschutz","ostsee","naturschutz","nutzung","nachhaltige","entwicklungsländern","niebel","niebel","entwicklung","entwicklung","kinderarbeit","niebel","entwicklungsländern","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungspolitik","kuba","entwicklungspolitik","menschenrechte","müller","entwicklungszusammenarbeit","äthiopien","müller","globale","müller","lieferkettengesetz","entwicklungspolitik"
"5","berliner","bundesregierung","amerikanischen","röchling","deutschen","alliierten","deutschen","amts","anstalten","französischen","schneider","saarland","van","novelle","vertriebenen","lastenausgleichsgesetz","vertriebene","flüchtlingen","hirsch","milliarden","heimatvertriebenen","hauptentschädigung","lemmer","dorn","vertriebenen","vertriebenen","sowjetzonenflüchtlinge","vertriebene","kriegsgefangenen","flüchtlinge","vermögen","fircks","herold","präferenz","olympischen","schüsse","herr","seeleute","schäuble","bundeskanzleramt","bundesnachrichtendienstes","sportvereine","behindertensport","sport","hochschulen","beschwerden","adenauers","sport","umweltschutz","industrie","umweltpolitik","medienpolitischen","abfallbeseitigung","stoffe","wolfgramm","global","luft","umwelt","ökologischen","luft","umweltpolitik","luft","stoffe","umweltpolitik","grundwasser","umweltschutz","industrie","reaktorsicherheit","gentechnologie","anlagen","umweltschutz","naturschutz","töpfer","enquetekommission","feige","verpackungsverordnung","umweltschutz","töpfer","massnahmen","reaktorsicherheit","umweltpolitik","umweltpolitik","umweltpolitik","kioto","nachhaltigkeit","ökologischen","ökologischen","nachhaltige","trittin","klimaschutz","klimaschutz","klimaschutz","nachhaltigkeit","verpackungsverordnung","ökologisch","reach","umweltschutz","nachhaltige","klimaschutz","umweltschutz","umweltschutz","schutz","biodiversität","meere","entwicklung","meere","zusammenarbeit","zusammenarbeit","wasser","entwicklungsländern","entwicklungsländern","entwicklungspolitik","meeresforschung","nachhaltigkeit","nachhaltige","welt","globalen","kekeritz","afrikanischen","wirtschaftliche","bmz","müller","nachhaltigkeit","weltweit","globalen","welt","entwicklungszusammenarbeit","welt"
"6","deutsche","amt","berliner","alliierten","alliierten","amerikanischen","stadt","kahnackermann","werbefernsehen","frankreich","bundesgebiet","scherpenberg","amt","geschädigten","geschädigten","flüchtlinge","staatssekretär","gleichstellung","verfolgten","schäden","vertriebenen","rehs","entschädigung","verwaltung","kriegsgeschädigte","mick","vertriebenen","kriegsgeschädigte","geschädigten","zusatzfrage","ddr","vertriebenen","ddr","altreifen","lastenausgleichsgesetz","zonengrenze","auswärtige","evers","guillaume","nollau","waffengeschäften","sportförderung","stern","berlin","vds","staatssekretär","filmtheater","filmwirtschaft","sports","olympischen","umwelt","schwarzschilling","freitag","volmer","elbe","hamburg","handelsflotte","späth","umweltpolitik","umweltpolitik","zimmermann","wald","umweltpolitik","chemischen","pflanzenschutzmittel","stoffe","nordsee","fckw","industrie","industrie","schutz","gentechnik","ökologischen","töpfer","gentechnik","umweltpolitik","gentechnik","ökologische","lippold","vielfalt","umweltschutz","reaktorsicherheit","nachhaltigen","umweltschutz","nachhaltige","umweltschutz","loske","entwicklung","nachhaltigkeit","natur","gentechnik","nachhaltige","naturschutz","wälder","umweltschutz","natur","industrie","band","stoffe","nachhaltige","vielfalt","meere","schutz","rohstoffe","entwicklungspolitik","nachhaltigkeit","entwicklungspolitik","nachhaltige","zusammenarbeit","bmz","wirtschaftliche","entwicklung","zusammenarbeit","afrikanischen","weltweit","armut","afrika","nachhaltige","fluchtursachen","müller","globalen","globale","globalen","welt","entwicklungsländern","weltweit","menschenrechte","weltweit"
"7","kommission","auswärtige","stadt","deutschen","auswärtigen","amts","bundesrepublik","hallstein","werbung","auswärtigen","saarlandes","französische","staatssekretär","amts","wyler","kriegsgeschädigte","erstellten","heimatvertriebenen","juden","ansprüche","lemmer","schäden","schäden","raumkommission","heimatvertriebenen","unterhaltshilfe","korspeter","novelle","lastenausgleichsfonds","fircks","reddemann","hauptentschädigung","durchführung","flaggen","lastenausgleichsgesetzes","innerdeutsche","isländischen","landgerichte","ehmke","guillaumes","bundeskanzleramt","vereine","rechnungsprüfungsausschuss","herr","dkp","beschwerdemöglichkeiten","filmwirtschaft","films","luft","medien","asbest","industrie","duve","emissionen","duve","umwelt","schiffssicherheit","umweltpolitik","pflanzen","ehmke","tempolimit","auto","ta","rhein","wallmann","nordsee","antarktis","umweltschutz","stoffe","stoffe","lippold","ökologischen","stoffe","konferenz","umweltpolitik","ökologischen","industrie","lippold","coemissionen","umweltpolitik","naturschutz","verpackungsverordnung","wald","klimaschutz","merkel","enquetekommission","wasser","gentechnik","ökosteuer","umweltpolitik","natur","umweltpolitik","ökologisch","novelle","klimaschutz","holz","stoffe","reach","industrie","stoffe","schutz","entwicklungsländern","arten","klimawandel","entwicklungsländer","antrag","entwicklungsländern","entwicklungspolitik","nachhaltigkeit","kinderarbeit","niebel","afrika","armut","uruguay","ebola","weltweit","nachhaltige","weltweit","müller","zusammenarbeit","global","migranten","tansania","globalen","lieferkettengesetz","lieferkettengesetz","welt","afrika"
"8","auswärtigen","staatssekretär","amts","anfrage","dienstgruppen","berliner","alliierten","amtes","programm","saarland","französischen","staatssekretär","deutschen","rehs","rutschke","lastenausgleich","hauptentschädigung","grenzgänger","vertriebene","regierungsentwurf","geschädigten","unterhaltshilfe","auslandsvertretungen","untergebracht","körperbehinderung","hassel","mick","traktateigentümer","vertriebenen","sowjetzonenflüchtlinge","novelle","beziehungen","hein","stipendien","patentamt","beziehungen","picard","deutschen","untersuchungsausschusses","bnd","akten","sportkonferenz","nouhuys","auszeichnung","sportbund","sport","films","pflanzen","stoffen","chemikaliengesetz","luft","medienpolitische","geldern","umwelt","ddr","umweltpolitik","umweltschutz","schäden","wald","waldsterben","wald","umweltpolitik","industrie","stoffe","natur","naturschutz","stoffe","stoffe","schäden","umweltschutz","töpfer","reaktorsicherheit","reaktorsicherheit","ökologischen","ökologischen","dsd","ökologischen","verbraucher","klimaschutz","natur","ökologische","verordnung","rio","bundesministerin","wald","naturschutz","tourismus","ökologische","ökologisch","ökologischen","globalisierung","konferenz","trittin","natur","verpackungsverordnung","antrag","chemiepolitik","tierversuche","naturschutz","beirat","artenvielfalt","arten","indonesien","vielfalt","nachhaltigkeit","entwicklungsländer","wald","wirtschaftliche","rohstoffe","wirtschaftliche","zusammenarbeit","weltweit","hunger","abkommen","hunger","nachhaltigkeit","armut","staaten","wirtschaftliche","nachhaltigkeit","welt","globalen","eritrea","migration","gesundheit","menschenrechte","staaten","globale"
"9","hohen","deutschen","bremerhaven","amts","amts","amt","auswärtigen","deutsche","kühn","saarländische","frankreich","van","französische","schäden","zwangslage","geschädigten","centre","korspeter","entschädigung","personen","einrichtungshilfe","vertriebenen","bauern","gradl","kunstamtes","schäden","hassel","reparationsschädengesetz","gleichstellung","flüchtlingen","marx","lastenausgleichsgesetzes","wiedergutmachung","betroffenen","unterhaltshilfeempfänger","mende","kontingente","brt","zeuge","verfassungsschutz","carstens","stiftung","sport","sporthilfe","rcds","sports","wahlzeit","bundesimmissionsschutzgesetzes","chemischen","umweltschutzes","medien","chloramphenicol","nordseegutachten","hartenstein","umwelt","handelsflotte","schiffbau","grossfeuerungsanlagenverordnung","benzin","zimmermann","schäden","nordsee","natur","natur","umweltschutzes","chemischen","asbest","industrie","natur","natur","ökologischen","umweltpolitik","umweltschutz","laufs","natur","feige","naturschutz","umweltschutz","naturschutz","angela","ökologischen","schutz","umweltschutz","frau","enquetekommission","loske","naturschutz","ökologischen","naturschutz","entwicklung","ökosteuer","emissionshandel","paziorek","ökologisch","kiotoprotokoll","wald","chemikalien","naturschutz","ansatz","überwachung","biologischen","umwelt","novelle","nachhaltige","krankheiten","klimawandel","bmz","holz","meere","zusammenarbeit","bmz","hunger","welt","nachhaltige","entwicklungsländern","afrikanischen","nachhaltigkeit","zusammenarbeit","zusammenarbeit","weltweit","entwicklungsländern","staaten","nachhaltige","kinderarbeit","hunger","globale","globale","bmz"
"10","worden","hohen","alliierten","berliner","britischen","deutsche","sitz","auswärtige","auswärtigen","bundesrepublik","eingliederung","saarlandes","botschaft","lastenausgleichsgesetz","kriegssachgeschädigten","mischnick","lastenausgleichsgesetz","lastenausgleich","israel","novelle","schäden","verfolgten","frank","flüchtlinge","rehs","lastenausgleichs","verbesserungen","ansprüche","heimatvertriebenen","entschädigung","damm","sowjetzonenflüchtlinge","petitionsausschusses","fircks","münchen","erklärt","vergesslichkeit","reeder","verdacht","untersuchungsausschuss","verdacht","sportbund","reiseveranstalter","bundesinstituts","jusohochschulgruppen","kollege","filmförderung","volmer","blei","schwarzschilling","umweltschutzes","stoffe","umwelt","schadstoffe","gewässerschutzes","duve","ausreichend","bundesinnenminister","zimmermann","tempolimit","nordsee","stoffe","technik","hauff","umweltpolitik","grenzwerte","naturschutz","nordsee","fckw","gentechnologie","pvc","gentechnologie","schäfer","naturschutz","genehmigungsverfahren","umweltschutz","produkte","produkte","enquetekommission","massnahmen","nordsee","caspersmerk","boden","umweltplan","umweltschutz","lippold","trittin","gesundheit","lippold","ökologische","tobinsteuer","entwicklung","klimaschutz","umwelt","dosenpfand","grüne","klimaschutz","holz","holz","entwicklung","umweltpolitik","maritime","umwelt","biodiversität","antrag","delfine","entwicklung","bmz","indien","wald","weltweit","antrag","globalen","weltweit","welt","entwicklungspolitik","welt","globalen","staaten","aktionsplan","globale","entwicklungspolitik","beschaffung","menschenrechte","entwicklungspolitik","entwicklungsländern","indigene","zusammenarbeit"
"11","verhandlungen","berlins","deutsche","amt","staatssekretär","viermächtestatus","hauptstadt","rom","rundfunk","bundesgebiet","fremdenlegion","amts","saarland","staatssekretär","zone","vertriebenenausschuss","zahlungen","mischnick","böhm","geschädigten","gleichstellung","milliarden","gleichstellung","arbeitsräume","pullach","lastenausgleich","vertriebene","lastenausgleichsgesetzes","bände","vertriebenenministeriums","flüchtlinge","herold","betroffenen","innerdeutsche","geschädigten","registrierung","lastenausgleichsgesetz","bundessportplan","minderheit","einstellung","vereine","schäuble","broschüre","marken","november","sportbund","wahltag","ta","medien","stoffen","öffentlichrechtlichen","umweltschutz","verschmutzung","stoffen","nordsee","umweltschutzes","hartenstein","natur","luft","tonnen","benzin","formaldehyd","umweltschutzes","naturschutz","tempolimit","reaktorsicherheit","umweltverträglichkeitsprüfung","hartenstein","naturschutz","umweltpolitik","natur","natur","schmidbauer","elbe","ökologische","verwertung","caspersmerk","lebensmittel","reaktorsicherheit","bundesministerin","gutachten","bundesministerin","homburger","enquetekommission","ökologische","nachhaltige","homburger","arten","ökologischen","ökologisch","klimapolitik","umwelt","energie","entwicklungsländern","tourismus","industrie","gutachten","ökologischen","chemikalien","gabriel","nachhaltigkeit","antrag","gabriel","wald","umwelt","globalen","kopp","afrika","polarforschung","rohstoffe","rohstoffen","millionen","niebel","müller","nachhaltigkeit","rohingya","globale","entwicklungszusammenarbeit","weltweit","entwicklungszusammenarbeit","entwicklung","global","welt","bmz","weltweit","who","indigenen","entwicklung"
"12","bundesrepublik","notopfer","gelände","gefangenen","berlins","staatssekretär","lufthansa","berliner","van","bundesregierung","saarbevölkerung","frankreich","kaiser","werner","lastenausgleichsgesetz","auswärtigen","besonders","eichelbaum","reich","vertriebenen","mio","geschädigten","novelle","arbeitszimmer","hauptentschädigung","lastenausgleichsgesetz","promille","lastenausgleichsgesetz","lenz","gleichstellung","quick","ddr","ehemals","genscher","vertriebenen","dpameldung","folgten","orgass","baeuchle","bundesnachrichtendienstes","vorgänge","olympischen","van","spiele","kommunisten","deutschen","veröffentlichung","immissionswerte","umweltschutzes","bundesregierung","stoffe","chemische","schutz","internationale","übereinkommen","hartenstein","seeberufsgenossenschaft","zimmermann","massnahmen","massnahmen","hauff","massnahmen","wallmann","reaktorsicherheit","töpfer","umweltminister","natur","schäden","wasser","technik","naturschutz","umweltschutz","verpackungsverordnung","umweltschutz","rio","ökologische","enquetekommission","ökologischen","ozon","ökologischen","flächen","angela","bodenschutz","nachhaltigkeit","ökologischen","entwicklung","lippold","natur","ökologische","bonn","gentechnisch","rio","energien","innovationsklausel","gentechnisch","wälder","chemischen","stoffe","tropischen","industrie","gabriel","klimawandel","klimawandel","schutz","müssen","nachhaltigkeitsstrategie","who","entwicklungsländer","wirtschaftliche","weltweit","antrag","ökologische","antrag","müssen","globalen","globalen","staaten","sdgs","entwicklungsländern","nachhaltigkeitsstrategie","minister","bmz","afrikanischen","millionen","welt","staaten","covax","krisen"
"13","interpellation","amerikanischen","verhandlungen","französischen","amt","berlins","bonn","mannheim","scherpenberg","eingliederung","saarbrücken","bundesgebiet","frankreich","betroffenen","hausratentschädigung","novelle","personenkreis","sowjetischen","bundesentschädigungsgesetz","hirsch","pensionskasse","schätzungen","vertriebene","raumbedarf","stempel","sowjetzonenflüchtlinge","ausgleichsfonds","kriegs","missachtung","pullach","illustrierten","flüchtlingen","entschädigungsregelung","lastenausgleichsgesetzes","ehemals","staatsangehörigkeit","einreisenden","breitensport","verfahren","untersuchungsausschusses","vorgang","akten","bundeskanzleramt","bukowskij","beschwerden","herr","filmabgabe","umweltpolitik","sportbericht","sportler","huber","rundfunk","see","schutz","spranger","hamburger","seeleute","benzin","grossfeuerungsanlagenverordnung","grünen","bundesregierung","bundesregierung","schönberg","chemiepolitik","reaktorsicherheit","störfallverordnung","reaktorsicherheit","schutz","ökologischen","ökologischen","ökologische","schäfer","umweltminister","globalen","produktion","industrie","stoffe","naturschutz","verbraucher","nordsee","wattenmeer","ökologische","nachhaltigkeit","flächen","frau","natur","gentechnik","gentechnisch","homburger","homburger","umweltschutz","ökologische","ökologie","trittin","holz","gentechnisch","naturschutz","grüne","entwicklungsländern","entwicklungsländer","klimawandel","biologischen","artenvielfalt","umwelt","rohstoffe","nachhaltigen","odaquote","nachhaltigkeit","nachhaltige","waldstrategie","entwicklungspolitik","armut","ziele","soziale","mädchen","menschen","entwicklungsländern","textilbündnis","bmz","afrikanischen","weltweit","migrationspakt","ländern","china","müller","hunger","völker","millionen"
"14","besatzungsmacht","alliierten","anfrage","hallstein","amerikanischen","anfrage","botschaft","kulturabteilung","staatssekretär","übergangszeit","berlin","saarbrücken","fremdenlegion","lastenausgleich","rehs","heimatvertriebenen","lebens","kriegsgeschädigte","bundesrepublik","wiedergutmachung","novelle","sowjetzonenflüchtlinge","abgeordnetenhauses","dienststellen","kübler","kriegsgeschädigte","kriegsgeschädigte","traktatgeschädigten","windelen","betroffenen","verordnung","heimatvertriebenen","bundesausgleichsamt","spareinlagen","flüchtlinge","dübber","kiel","schiffe","aussage","bundesnachrichtendienst","bundesnachrichtendienst","sportorganisationen","bundesnachrichtendienst","sportler","sportbundes","bundesministerium","rhöndorf","sportvereine","sportförderung","baum","klärschlamm","bundesregierung","gutachtens","laufs","bundesregierung","schiffe","spranger","ministerpräsident","ehmke","bundesregierung","automobilindustrie","ta","schadstoffe","massnahmen","stoffe","natur","fckw","umweltminister","gentechnik","naturschutz","knabe","hartenstein","wismut","entwicklungsländer","wald","hartenstein","wald","rio","ökologische","homburger","reaktorsicherheit","kampeter","frau","ökologische","holz","nachhaltigkeitsstrategie","umweltschutz","trittin","konferenz","nutzung","ökologischen","ökologischen","verpackungsverordnung","entwicklungsländer","entwicklungsländern","ökologische","kiotoprotokoll","fortschrittsbericht","erhalt","schutz","entwicklungsländer","maritimen","antrag","entwicklung","konferenz","nutzung","wirtschaftliche","klimawandel","weltweit","armut","rohstoffe","zusammenarbeit","weltweit","menschen","kekeritz","ungleichheit","weltweit","new","völker","staaten","compact","welt","entwicklung","zusammenarbeit","ländern","armut","ländern","schulze"
"15","stadt","kommission","besatzungsmacht","berlins","deutsche","ausländischen","brandt","bundesregierung","schuldner","amt","conrad","fremdenlegion","saar","auszahlung","flüchtlingen","kuntscher","schäden","sowjetzonenflüchtlinge","hauptentschädigung","vertriebene","dr","hirsch","bundesentschädigungsgesetz","entschädigung","besetzten","rehs","schmidt","mick","korspeter","bundesregierung","fircks","lastenausgleichsgesetz","heimatauskunftsstellen","herr","personenkreis","regierung","innern","spiele","beweisaufnahme","metzger","waffenhandel","sportvereinen","reisenden","bundesamtes","schoeler","innerdeutschen","erben","anleitung","fernsehen","dick","verwendung","bucht","bundesregierung","kadmium","bremen","hauff","grossfeuerungsanlagenverordnung","hauff","schäden","stoffe","luft","autos","wasser","luft","hauff","schäden","luft","müssen","trinkwasser","verbrennung","handeln","schutz","sanierung","umweltpolitik","anlagen","ökologisch","kreislaufwirtschaftsgesetz","caspersmerk","industrie","ökologische","hirche","ökologischen","wälder","gentechnik","natur","ökologie","klimaschutzpolitik","schutz","gesundheit","gentechnisch","nachhaltige","nachhaltigen","globalisierung","nachhaltigkeit","arbeitsplätze","wassertourismus","holz","antrag","dött","chemikalien","dött","biodiversität","vielfalt","müssen","afrika","wald","klimawandel","armut","trinkwasser","arktis","arktis","wirtschaftliche","globale","welt","zusammenarbeit","liberia","nachhaltigkeitsstrategie","wirtschaftliche","welt","welt","menschenrechte","weltweit","hunger","perspektive","menschen","bmz","indigener","müller"
"16","berlins","anfrage","entschädigung","auswärtige","hallstein","hallstein","forderungen","amerikanischen","bundesgebiet","deutschen","französische","österreichischen","meyer","merkatz","merkatz","korspeter","dr","gesetzentwurf","ansprüche","bundesrückerstattungsgesetz","besatzungszone","lastenausgleichs","bundesvertriebenengesetzes","frehsee","entschädigung","vertriebene","zuständigen","vertriebenen","schäden","geschädigten","flüchtlingsvermögens","personenkreis","flüchtlinge","eingliederung","freiherr","demokratischen","überhaupt","lastenausgleichsgesetz","schelklingen","sportkonferenz","waffengeschäfte","spiele","fremdenverkehrswirtschaft","weitere","reiseveranstalter","behindertensport","fernsehen","medien","bundesimmissionsschutzgesetz","chemischen","lärm","öffentlichrechtlichen","wolfgramm","klärschlamm","fischer","wolfgramm","umweltschutzes","badenwürttemberg","pcb","umweltschutzes","natur","bleifreies","wasserhaushaltsgesetz","chemie","grenzwerte","normalbenzin","uvp","lennartz","antarktis","bundesimmissionsschutzgesetz","massnahmen","massnahmen","natur","ökologisch","reaktorsicherheit","natur","ökologische","klaus","bse","lippold","angela","homburger","bodenschutzgesetz","angela","entwicklung","klimaschutz","ökosteuer","umweltschutz","rio","trittin","ökologische","haag","entwicklungsländern","waldbesitzer","chemikalien","hochwasserschutz","natur","entwicklung","kosten","ostsee","klimawandels","meer","hektar","arten","wasser","entwicklungszusammenarbeit","wattenmeer","kopp","internationalen","welt","rio","internationalen","wirtschaftliche","hunger","müller","entwicklungsländern","bmz","afrika","globalen","nachhaltige","entwicklungshilfe","internationale","globale","menschen","menschenrechte","entwicklung","internationale","süden"
"17","anfrage","hallstein","abkommen","staatssekretär","verhandlungen","auswärtige","sender","bert","staatsvertrag","conrad","bundesrepublik","berlin","bundesregierung","vertriebene","bundesvertriebenengesetzes","französische","erweiterungsbau","lastenausgleichsgesetz","personen","bundesentschädigungsgesetz","sowjetzonenflüchtlinge","zone","lastenausgleichsgesetz","kriegs","ostmüller","geschädigten","rehs","bundesversorgungsgesetz","wurden","lastenausgleich","entschädigung","dreiundzwanzigsten","lastenausgleichsgesetzes","freiherr","novelle","abstammung","feststellen","schiffen","untersuchungsausschüsse","bundesamt","beteiligung","ehmke","grabert","verhaftet","postgilde","arbeitnehmer","gedenkstätte","tiere","industrie","luft","schäden","geldern","hamburg","grossfeuerungsanlagen","april","ökologie","gehandelt","waldschäden","stoffe","wasser","wiederaufarbeitung","natur","tempolimit","baum","luft","baum","ökologischen","baum","reaktorsicherheit","schutz","erdatmosphäre","technik","weltweit","konvention","klausdieter","caspersmerk","abfall","massnahmen","kennzeichnung","frau","natur","boden","naturschutzes","hustedt","nachhaltigen","energie","nachhaltigen","nutzung","sachverständigenrat","pfand","nachhaltigkeit","deutschland","koalitionsvereinbarung","konferenz","studie","nutzung","nachhaltigkeit","klimaschutz","entwicklungsländer","lärm","bundesnaturschutzgesetz","naturschutz","schwellenländer","krankheiten","maritimen","gegebene","raabe","fonds","völker","afrika","internationalen","raabe","bmz","millionen","internationale","staaten","ziele","welt","marshallplan","hunger","staaten","nationen","länder","entwicklungsländern","willy","minister","entwicklungs","feministische"
