k,start,end
1,1954-12-08,1955-06-23
1,1989-11-15,1990-05-31
1,1990-12-20,1991-06-21
1,1995-06-21,1995-12-08
1,1996-01-17,1996-07-09
1,1999-06-08,1999-12-03
1,2002-10-17,2003-03-20
1,2014-05-21,2014-12-05
2,2014-12-17,2015-07-03
2,2018-06-06,2018-12-14
3,1990-12-20,1991-06-21
3,2018-06-06,2018-12-14
4,1954-12-08,1955-06-23
4,1972-12-13,1973-06-20
5,1954-05-06,1954-11-19
5,1994-11-10,1995-06-02
5,1998-10-26,1999-05-07
5,2002-10-17,2003-03-20
5,2021-10-26,2022-06-03
6,1954-12-08,1955-06-23
6,1957-10-15,1958-05-09
6,1972-01-19,1972-06-23
6,1972-12-13,1973-06-20
6,1975-10-22,1976-05-14
6,1983-03-29,1983-10-14
6,1989-11-15,1990-05-31
6,1990-12-20,1991-06-21
6,1991-09-03,1992-01-24
6,1998-10-26,1999-05-07
6,2017-10-24,2018-05-18
7,1953-10-06,1954-04-30
7,1972-12-13,1973-06-20
7,2012-09-11,2013-03-22
7,2021-10-26,2022-06-03
8,1960-02-10,1960-07-01
8,1974-09-18,1975-03-21
8,1975-04-09,1975-10-17
8,1986-01-15,1986-06-27
8,1987-09-09,1988-03-11
9,1957-10-15,1958-05-09
9,1958-12-09,1959-06-25
9,1966-12-09,1967-06-30
9,1974-09-18,1975-03-21
9,1975-10-22,1976-05-14
9,1983-10-26,1984-05-04
9,1992-02-12,1992-07-22
9,1998-10-26,1999-05-07
9,2006-05-19,2006-12-01
9,2009-10-27,2010-05-21
9,2014-05-21,2014-12-05
9,2019-01-16,2019-06-28
10,1953-10-06,1954-04-30
10,1965-10-19,1966-05-06
10,1970-09-16,1971-02-12
10,1972-12-13,1973-06-20
10,1978-09-01,1979-02-16
10,1981-09-09,1981-11-12
10,1981-11-13,1982-03-12
10,1989-11-15,1990-05-31
10,1990-12-20,1991-06-21
10,1994-11-10,1995-06-02
10,1998-10-26,1999-05-07
10,2009-04-22,2009-09-08
10,2009-10-27,2010-05-21
10,2013-04-17,2013-09-03
10,2013-10-22,2014-05-09
10,2019-01-16,2019-06-28
10,2020-02-12,2020-08-07
10,2020-09-09,2021-03-26
10,2021-10-26,2022-06-03
11,1954-12-08,1955-06-23
11,1962-12-12,1963-06-28
11,1974-02-13,1974-07-25
11,1974-09-18,1975-03-21
11,1975-10-22,1976-05-14
11,1979-03-07,1979-09-21
11,1998-10-26,1999-05-07
11,2017-10-24,2018-05-18
12,1954-12-08,1955-06-23
12,1957-03-20,1957-08-29
12,1960-02-10,1960-07-01
12,2013-10-22,2014-05-09
12,2014-05-21,2014-12-05
12,2017-10-24,2018-05-18
12,2021-10-26,2022-06-03
13,1954-05-06,1954-11-19
13,1966-12-09,1967-06-30
13,1967-09-06,1968-01-26
13,1969-10-20,1970-03-20
13,1972-12-13,1973-06-20
13,1974-09-18,1975-03-21
13,1975-10-22,1976-05-14
13,1976-12-14,1977-06-24
13,1979-09-26,1980-03-21
13,1983-03-29,1983-10-14
13,1990-12-20,1991-06-21
13,1994-11-10,1995-06-02
13,1998-10-26,1999-05-07
13,2002-10-17,2003-03-20
13,2005-10-18,2006-05-11
13,2013-10-22,2014-05-09
13,2019-01-16,2019-06-28
14,2017-10-24,2018-05-18
15,1954-05-06,1954-11-19
15,1954-12-08,1955-06-23
15,1956-09-27,1957-03-15
15,1957-03-20,1957-08-29
15,1999-12-15,2000-07-07
15,2008-09-16,2009-03-27
16,1954-05-06,1954-11-19
16,1956-02-02,1956-07-07
16,1992-02-12,1992-07-22
16,1992-09-08,1993-03-05
16,2014-05-21,2014-12-05
17,1954-05-06,1954-11-19
17,1955-06-28,1956-01-20
17,1982-11-24,1983-01-20
17,1983-03-29,1983-10-14
17,1995-06-21,1995-12-08
17,1998-10-26,1999-05-07
17,2017-10-24,2018-05-18
18,1954-12-08,1955-06-23
18,1983-03-29,1983-10-14
18,1994-11-10,1995-06-02
19,1990-12-20,1991-06-21
20,1954-12-08,1955-06-23
20,1956-09-27,1957-03-15
20,1976-12-14,1977-06-24
20,1990-12-20,1991-06-21
20,1995-06-21,1995-12-08
20,1998-10-26,1999-05-07
20,1999-06-08,1999-12-03
20,2009-10-27,2010-05-21
20,2018-06-06,2018-12-14
