k,start,end
1,1954-05-06,1954-11-19
1,1954-12-08,1955-06-23
1,1956-09-27,1957-03-15
1,1957-03-20,1957-08-29
1,1981-09-09,1981-11-12
1,1983-03-29,1983-10-14
2,1983-03-29,1983-10-14
4,1959-09-15,1960-01-27
4,1982-03-24,1982-06-25
4,1983-03-29,1983-10-14
4,2008-02-13,2008-06-27
7,1954-12-08,1955-06-23
7,1972-12-13,1973-06-20
7,1974-02-13,1974-07-25
7,1974-09-18,1975-03-21
7,1991-09-03,1992-01-24
9,1956-09-27,1957-03-15
9,1990-12-20,1991-06-21
9,2021-10-26,2022-06-03
10,1954-12-08,1955-06-23
10,1960-02-10,1960-07-01
10,1986-01-15,1986-06-27
10,1987-09-09,1988-03-11
11,1964-02-05,1964-07-29
11,2020-02-12,2020-08-07
11,2020-09-09,2021-03-26
12,1954-12-08,1955-06-23
12,1958-12-09,1959-06-25
12,1992-02-12,1992-07-22
12,1998-10-26,1999-05-07
12,2006-05-19,2006-12-01
12,2009-10-27,2010-05-21
12,2014-05-21,2014-12-05
12,2019-01-16,2019-06-28
13,1954-05-06,1954-11-19
13,1998-10-26,1999-05-07
13,2018-06-06,2018-12-14
14,1955-06-28,1956-01-20
14,1995-06-21,1995-12-08
15,1972-12-13,1973-06-20
15,1974-09-18,1975-03-21
15,1975-10-22,1976-05-14
15,1976-12-14,1977-06-24
15,1998-04-01,1998-10-16
15,2008-09-16,2009-03-27
16,1954-05-06,1954-11-19
17,1982-11-24,1983-01-20
17,1983-03-29,1983-10-14
18,2002-10-17,2003-03-20
19,1989-11-15,1990-05-31
19,1996-01-17,1996-07-09
20,1956-02-02,1956-07-07
21,1994-11-10,1995-06-02
21,1998-10-26,1999-05-07
21,2021-10-26,2022-06-03
22,1954-05-06,1954-11-19
22,1965-10-19,1966-05-06
22,1970-09-16,1971-02-12
22,1972-12-13,1973-06-20
22,2013-04-17,2013-09-03
22,2013-10-22,2014-05-09
22,2019-01-16,2019-06-28
23,1990-12-20,1991-06-21
25,1954-12-08,1955-06-23
25,1957-10-15,1958-05-09
26,1983-10-26,1984-05-04
26,1998-10-26,1999-05-07
26,2001-08-29,2002-03-21
26,2013-10-22,2014-05-09
26,2015-07-17,2016-01-29
26,2021-10-26,2022-06-03
27,1990-12-20,1991-06-21
28,2021-10-26,2022-06-03
29,1962-12-12,1963-06-28
29,1972-12-13,1973-06-20
29,1975-10-22,1976-05-14
29,1979-03-07,1979-09-21
30,1954-12-08,1955-06-23
30,1966-12-09,1967-06-30
30,1972-12-13,1973-06-20
30,1975-10-22,1976-05-14
30,1983-03-29,1983-10-14
30,1990-12-20,1991-06-21
30,1994-11-10,1995-06-02
30,1998-10-26,1999-05-07
30,2002-10-17,2003-03-20
30,2005-10-18,2006-05-11
30,2013-10-22,2014-05-09
32,1998-10-26,1999-05-07
32,2021-10-26,2022-06-03
