"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","möchte","schon","glaube","möchte","dinge","schon","möchte","müssen","möchte","müssen","sagen","schon","sagen","möchte","glaube","sagen","möchte","schon","müssen","möchte","demokraten","vorschläge","demokraten","bemerkungen","demokraten","begrüssen","genau","verbraucher","parlaments","bauer","schiff","unfallverhütung","hauptversammlung","unfälle","argentinien","herold","wohlrabe","steiner","beweisaufnahme","möhring","kalender","abgeordneten","parlament","geschäftsordnung","enquetekommission","parlament","parlament","statistik","geschäftsordnung","parlament","parlament","bundestages","libanon","the","usregierung","de","dienste","de","kultur","unesco","auswärtigen","polizei","auswärtigen","sport","zimmermann","datenschutz","sport","polizei","verfassungsschutz","diestel","sport","unterlagen","aufarbeitung","sport","ddr","daten","ddr","dzt","ddr","untersuchungsausschuss","bnd","sport","enquetekommission","dat","bgs","vereine","sport","ehrenamt","sport","vereine","enquetekommission","sport","sport","leipzig","de","ehrenamtlich","ro","fussballweltmeisterschaft","schulsport","sport","sport","sport","sport","sport","sport","sport","sport","pid","behinderung","organspende","behinderung","sport","behinderung","behinderungen","sport","sport","barrierefreiheit","sport","de","behinderungen","sport","betreuer","behinderungen","menschen","behinderungen","menschen","behinderung"
"2","möchte","glaube","möchte","möchte","schon","schon","möchte","schon","schon","sagen","schon","müssen","müssen","müssen","schon","sagen","glaube","glaube","müssen","möchte","glaube","müssen","möchte","bemerkungen","ganz","binnen","uwg","darauf","parlamentsreform","möchte","würzburg","selten","unfälle","aktionär","morgigen","erläuterungen","visagebühren","film","zeugen","untersuchungsausschuss","verdacht","kalenders","entschädigung","dienstag","parlament","parlament","bundesverfassungsgericht","europäischen","parlament","parlament","bundestages","demokratie","parlament","rechnungshof","of","protokollvermerk","la","de","la","kunst","datenschutz","verfassungsschutz","daten","polizei","verfassungsschutz","datenschutz","datenschutzbeauftragten","datenschutz","sport","ausländer","sport","köppe","akten","ddr","datenschutz","akten","datenschutz","enquetekommission","sport","aufarbeitung","sekten","pkk","sportförderung","bgs","enquetekommission","pkk","übungsleiterpauschale","bundesdruckerei","ehrenamtlich","hamburg","enquetekommission","kirch","engagements","grossveranstaltungen","baukultur","dat","berufsgenossenschaften","sport","längere","sport","parr","doping","parr","olympischen","sports","wittstock","spenden","heide","kind","behinderungen","menschen","menschen","behinderung","menschen","menschen","institut","doping","behinderung","behinderungen","dat","teilhabe","esport","wahlrecht","games","behinderungen","menschen","sterben","menschen"
"3","ausschuss","schon","glaube","schon","glaube","möchte","dinge","dinge","glaube","glaube","möchte","schon","glaube","schon","durchaus","möchte","müssen","sagen","glaube","schon","heute","glaube","müssen","verabschiedung","gesetz","bemerkungen","gesetz","eigentlich","legislaturperiode","verbraucher","begrüsst","entscheidung","unfallverhütungsbericht","natur","unfallverhütung","argentinischen","berliner","ausbeutesatz","wienand","zeugen","kontrollratsgesetz","film","mandat","parlaments","untersuchungsausschuss","parlaments","verfassungsgericht","wahl","statistiken","parlaments","mitglieder","plenarsaal","freie","bundesrechnungshof","and","dennoch","et","vertraulichkeit","et","personalausweis","schäfer","sprache","verfassungsschutz","zimmermann","sportler","polizei","baumann","polizei","penner","datenschutz","schäuble","akten","stasi","polizei","ddr","verfassungsschutz","bgs","koko","willy","enquetekommission","akten","kontrolle","sports","sekten","de","aufarbeitung","vereinen","doping","ehrenamtlichen","sportler","vereinen","engagement","vereinen","suu","olympischen","un","unfallversicherung","un","protokollen","sprintstudie","monopol","sportler","olympischen","spiele","dosb","delfine","sportanlagen","sports","leben","sport","behinderung","beschneidung","menschen","behinderungen","sport","menschenrechte","behinderung","behinderungen","menschen","un","menschen","athleten","behinderungen","opfer","bundesteilhabegesetz","behinderung","sport","sport"
"4","antrag","ausschuss","sagen","dinge","müssen","glaube","müssen","sagen","möchte","schon","glaube","durchaus","sagen","möchte","glaube","schon","möchte","müssen","möchte","glaube","schon","möchte","bemerkungen","vorlage","bericht","opposition","fassen","selbstzweck","standardisierung","ja","erhielt","bayerisches","unfallgeschehen","veba","eindrücke","information","ddr","liter","schäuble","untersuchungsausschusses","ermittlungsverfahren","dienstkleidung","landesbank","lenz","berufe","kommission","wahl","parlaments","statistischen","mitglieder","wahl","bundestages","parlamentarischen","rechnungsprüfungsausschuss","to","of","les","getreide","erklärung","kulturpolitik","sicherheitsbehörden","zimmermann","datenschutz","dienst","daten","datenschutzbeauftragten","zimmermann","zimmermann","schengener","schäuble","such","unterlagen","aufarbeitung","enquetekommission","verfassungsschutz","aufarbeitung","akten","sed","ddr","seddiktatur","ddr","dienste","enquetekommission","stiftung","is","bundesgrenzschutz","ehrenamtlichen","olympischen","enquetekommission","schäden","ehrenamt","sport","spitzensports","kyi","spiele","is","versicherungsschutz","to","ramsauer","sportunterricht","spielsucht","parr","staatsvertrag","sports","sportler","sports","parteien","kyritzruppiner","eltern","unbehindertenrechtskonvention","sport","sport","olympischen","inklusion","behinderung","behinderung","sportler","menschen","behinderung","wi","behinderung","behinderungen","behinderung","invictus","leistungen","betreuung","barrierefreiheit","behinderungen"
"5","schon","vielleicht","dinge","worden","worden","worden","glaube","glaube","dinge","müssen","sagen","glaube","möchte","ja","darüber","mehr","diskussion","schon","punkte","heute","müssen","vorlage","entscheidende","müssen","schon","erweist","möchte","möglicherweise","eichgesetz","fraktionen","lassen","erklären","sicherheitsbeauftragten","charakter","häuslichen","legende","senat","herr","untersuchungsausschuss","verdacht","kommission","bericht","dienstes","schäfer","parlaments","verfassung","parlaments","klepsch","europäischen","abgeordneten","alterspräsident","bauten","deutschen","bundesrechnungshofes","our","to","le","la","le","ausweis","bundesgrenzschutz","dienst","sicherheit","kultur","zimmermann","sport","daten","innenminister","schäuble","schengener","daten","gerster","gerster","sed","akten","dienste","bundesgrenzschutz","sport","such","untersuchungsausschuss","enquetekommission","such","aufarbeitung","psychogruppen","ick","dienste","sportvereine","enquetekommission","getränk","doping","ehrenamtlich","engagements","vereine","aung","bewerbung","ok","engagement","kt","initiative","sports","sportwetten","nada","schulsport","peking","spitzensport","nordhorn","lärm","kinderlärm","behinderung","menschen","behinderungen","behinderungen","behinderungen","sport","inklusion","doping","integrationsbetriebe","unbehindertenrechtskonvention","bundesteilhabegesetz","ok","inklusion","special","menschen","behinderung","betroffenen","sport","suizid","suizid"
"6","dinge","darauf","ja","sagen","darüber","sagen","sagen","müssen","sagen","dinge","dinge","möchte","worden","glaube","müssen","müssen","kurz","heute","heute","sagen","darauf","schritt","ganz","sagen","möchte","schon","ganz","festen","grundpreiskennzeichnung","damen","lauterbach","grösstenteils","anstalt","kapitalerhöhung","senats","akuten","erleichterungen","ausbeutesätze","untersuchungsausschusses","ausschuss","federführung","reichstagsgebäude","bundestages","abgeordneten","untersuchungsausschusses","verfassungsreform","bundesverfassungsgerichts","verfassung","bundesverfassungsgericht","parlamentarischen","geschäftsordnung","parlamentarischen","wurde","bemerkungen","that","vorgehens","que","et","irreführend","künstler","kultur","bundesinnenminister","zevis","kulturpolitik","dkp","verfassungsschutz","polizei","waffenschmidt","datenschutz","verfassungsschutzes","dienste","verfassungsschutz","sed","geschichte","daten","bundesbeauftragten","informationelle","schalckgolodkowski","plutonium","daten","bundesbeauftragten","mitarbeiter","kemper","aufarbeitung","aufarbeitung","flugblatt","übungsleiter","spitzensport","sport","riegert","sport","bürgerschaftlichen","ehrenamt","sports","rostock","to","sport","rp","märz","schulsports","sports","sports","bewegung","sportler","olympischen","fussball","sports","sportpolitik","präimplantationsdiagnostik","barrierefreien","olympischen","nada","sportler","unbehindertenrechtskonvention","teilhabe","sports","integrationsfirmen","bundesteilhabegesetz","eingliederungshilfe","is","anfrage","olympics","werkstätten","menschen","contergan","betreuer","behinderung","sterben"
"7","sagen","dinge","müssen","müssen","dinge","müssen","worden","worden","natürlich","minister","ausschüssen","vielleicht","dinge","worden","worden","worden","heute","gesetze","vielleicht","probleme","rechnungsprüfung","schon","punkte","schritt","vorschläge","möchte","bemerkungen","vorgenommenen","gesetz","vorangekommen","wahren","bereits","unfällen","westpakistan","gesetz","geschäftsbedingungen","wohlrabe","probebrände","ehmke","ehmke","worden","leyhausen","rechtsstellung","klage","parlamentarischen","wahl","enquetekommission","deutschen","parlaments","verfassung","präsidenten","geschäftsordnung","mitglieder","gerster","we","arbeiten","qui","angabe","aufbereitet","kulturellen","auswärtige","tiedge","zimmermann","auswärtige","hirsch","daten","wahlrecht","innern","ausländer","innern","hirsch","staatssicherheit","köppe","staatssicherheit","sports","kontrollkommission","informationen","mfs","brandt","mikrozensus","psychogruppen","kemper","sportsicherung","scientology","stiftung","enquetekommission","ehrenamt","sports","engagement","entlein","ehrenamtliche","sports","ehrenamtlich","san","sport","wi","unfallkassen","ko","thema","fussballweltmeisterschaft","sportvereine","dopingbekämpfung","sportwetten","ioc","parr","heide","parteiengesetz","wittstock","behinderungen","barrierefreiheit","entscheidung","unbehindertenrechtskonvention","sports","teilhabe","unbehindertenrechtskonvention","olympischen","sports","doping","teilhabe","för","sport","teilhabe","vergütung","barrierefreiheit","eingliederungshilfe","unbehindertenrechtskonvention","behinderungen","sterbehilfe"
"8","ja","ja","gerade","ganz","sagen","darauf","heute","ja","worden","worden","ja","dinge","heute","immerhin","sagen","darüber","schon","einzelnen","debatte","diskussion","diskussion","gesetz","mehr","sollten","glaube","wenigen","damen","verursachen","werbung","fürchte","ausreicht","neutrale","häuslichen","förderung","verspielen","vertraulichen","beziehungen","brennereiordnung","zeuge","vernehmung","elbgrenze","vizepräsident","öffentlichen","bundesverfassungsgericht","lenz","bundesverfassungsgericht","parlamentarischen","parteien","lenz","collet","bundesrechnungshof","hauses","sekunde","rechnungshofes","libanon","düstere","en","gewahrt","machtverhältnisse","fälschungssicheren","bundeskriminalamt","ausland","kontrollkommission","innenminister","verfassungsschutzes","datenschutzbeauftragte","datenverarbeitung","daten","beamten","daten","innern","aufarbeitung","ddr","akten","mfs","pkk","ddr","seddiktatur","sports","datenschutz","stasiunterlagengesetz","kontrollkommission","anfrage","bundesgrenzschutz","un","kontrollgremium","sport","kampfhunde","getränke","dopingopfer","übungsleiterpauschale","landesbank","engagement","spitzensport","architektur","nich","bürgerschaftlich","ite","mündet","olympischen","anbieter","besitz","sports","lama","detlef","siegenburg","sponsoring","spenden","embryo","siegenburg","spiele","inklusion","unbehindertenrechtskonvention","behinderten","bundesteilhabegesetz","spiele","menschen","sprache","sports","vun","dat","behinderung","wahlrechtsausschlüsse","opfern","grünenthal","budget","selbstbestimmung","leben"
"9","heute","ganz","darüber","wirklich","heute","darüber","sollten","vielleicht","ja","ja","durchaus","worden","durchaus","durchaus","sollten","durchaus","problem","parlament","diskussion","problem","gebiet","heute","öffentlichkeit","lösung","damen","entschlossen","bedeuten","breite","kilogramm","feststellen","bereitschaft","pflege","unfallhäufigkeit","karachi","zahl","möglichkeit","clay","verwaltungsrat","minderheit","zeuge","nr","volksarmee","sonderausschuss","verfassungsgericht","bundestages","organ","wähler","amt","wahl","europäischen","gewählt","fraktionen","wirklich","libanesischen","is","semantik","dans","werk","einfacher","datenschutz","datenschutzbeauftragten","auswärtige","hirsch","kulturarbeit","innenminister","speicherung","bundesdatenschutzbeauftragten","datenschutzbeauftragten","innern","hirsch","dienst","schäuble","mitarbeiter","stasi","sportstätten","doping","verfassungsschutz","kommission","brandts","kommission","kapitalentschädigung","ddr","ddr","bundesgrenzschutzes","wi","nachrichtendienste","hauptamtlichen","sportler","ehrenamtliche","galileo","engagements","bürgerschaftliches","sportförderung","olympischen","sports","för","versichert","lle","kofinanzierung","parr","detlef","dopings","detlef","tibet","spitzensportler","bombodrom","parteienfinanzierung","autonomie","zulassung","barrierefreie","unbehindertenrechtskonvention","leben","inklusion","barrieren","doping","sportler","antidopinggesetz","barrieren","unbehindertenrechtskonvention","en","bundesteilhabegesetz","barrierefreiheit","invictus","entschädigungsrecht","conterganstiftung","teilhabe","leben","selbsttötung"
"10","herr","worden","ganz","darüber","gerade","notwendig","vielleicht","gerade","darauf","natürlich","worden","beraten","sollten","vielleicht","ja","gewisse","vielleicht","mehr","unserer","keineswegs","sagen","verabschiedung","sagen","darauf","investieren","dach","ausschussberatungen","gibt","erwähnen","bundesminister","sieben","amt","unfallforschung","aktien","unfallforschung","unserem","innerdeutsche","brennereien","verdacht","feststellungen","schröder","spenden","parlament","wahl","untersuchungsausschüsse","parlamentarischen","beamten","wahlrecht","verfahren","parlamentsreform","rechnungsprüfungsausschuss","wahl","gegensätzliche","parlament","it","nachträge","nous","republik","erhöhten","ausweises","kulturpolitik","polizei","kulturpolitik","sprache","bürger","hirsch","penner","volkszählung","daten","gerster","akten","stasi","archive","dienste","schalck","sport","enquetekommission","aufarbeitung","untersuchungsausschuss","sed","untersuchungsausschusses","gremium","vereinigungskriminalität","kemper","seddiktatur","kontrolle","ehrenamtliche","riegert","tätigkeit","sportlerinnen","ehrenamtlichen","vereine","behindertensport","riegert","ioc","een","unfallversicherungsschutz","itz","bände","studie","wettmonopol","kampf","spielsucht","dalai","spielverordnung","doping","parteispenden","olympischen","menschen","leben","organspender","eltern","sportgrossveranstaltungen","behinderte","behinderte","pariser","integrität","sport","gesetz","nich","de","olympischen","games","sport","teilhabe","betreuten","tod","inklusion"
"11","ganz","darüber","worden","vielleicht","notwendig","sollten","ganz","zeit","vielleicht","problem","ganz","minister","minister","überlegen","problem","sehen","sprechen","worden","probleme","dinge","vorschläge","punkte","natürlich","problem","einzelnen","wahlkreis","parlament","erachtens","handel","freitag","panoramasendung","wort","unfallgeschehens","regionen","gewerkschaftsbund","etwa","reddemann","birckholtz","beweisaufnahme","steiner","festzustellen","kollege","tourismus","bundestages","bürgerinitiativen","mitglieder","europäischen","bundestages","hauses","ausschüsse","bundesrechnungshofes","abgeordneten","ostdeutschland","mainzcomment","peace","abspielt","ce","europa","löffler","neuen","polizei","kontrollkommission","bürger","dienstes","bundesinnenminister","innenminister","verfassungsschutz","hirsch","bgs","ausländern","innenausschuss","sports","behörde","kommission","aufarbeitung","geheimdienste","polizei","arbeit","sportbericht","heym","aufarbeitung","verfassungsschutz","berninger","standorte","nich","sport","gemeinnützige","hunde","feuerwehr","ehrenamtlichen","engagement","ehrenamtlich","ehrenamtes","enquetekommission","spielen","ik","tätige","le","vorwiegend","kunert","staatsvertrag","dosb","spiele","olympische","danckert","delfinen","parteiengesetzes","baunutzungsverordnung","paare","inklusion","entscheidungslösung","teilhabe","betreuungsbehörde","sportler","trainiert","instituts","inklusion","budget","behinderte","sport","teilhabeausweis","athletinnen","betreuung","budget","behinderung","ehegatten","selbsttötung","suizidhilfe"
"12","gerade","sagen","wirklich","wohl","ja","wäre","ja","dafür","gerade","vielleicht","eindruck","natürlich","ja","dinge","natürlich","fraktionen","immer","lösung","sprechen","debatte","demokraten","darauf","schon","richtung","diskussion","fehlinvestitionen","erachtens","sollten","gesetze","vorschlagsliste","bereits","beispiel","hochschulplanung","unternehmen","abbruch","kam","general","kollege","baeuchle","film","verdächtigungen","heinrichs","parlaments","grundgesetzes","enquetekommission","schlussbericht","schäfer","wahlkreise","bundestages","geschäftsordnungsausschuss","parlamentarischen","parlaments","gesamtdeutsche","normal","for","machenschaften","pour","haltenden","wort","personalausweises","verfassungsschutz","amt","goetheinstitut","sicherheit","datenschutz","athleten","innenminister","penner","polizeibeamten","such","informationstechnik","innern","stasiunterlagengesetz","opfer","köppe","behörde","bundesbeauftragten","schalck","spitzensport","geschichte","rehabilitierung","bundesnachrichtendienst","breitensport","kanther","ook","geheimdienste","tätigen","ehrenamtlich","kumpf","schaumweinsteuer","bürgerschaftlichen","murdoch","sportstätten","geoinformationen","olympia","sport","ehrenamtlichen","io","anträge","übernommen","bewegung","danckert","prävention","bewerbung","hochschulsport","kyritzruppiner","spende","anwohner","entscheidung","aktionsplan","beschneidung","betroffenen","barrierefreiheit","olympischen","sportförderung","astatus","werkstätten","behinderte","fans","ik","athleten","games","teilhabe","traumaambulanzen","kompetenzzentren","betreuungsrecht","hilfe","selbstbestimmung"
"13","müssen","antrag","darauf","eben","durchaus","fragen","fragen","gewisse","schnell","darüber","natürlich","teil","gewisse","sollten","vielleicht","natürlich","seite","vielleicht","durchaus","einzelnen","keineswegs","immer","fülle","möchte","begrüssen","gedanken","bemerkung","immer","möglichkeit","zurückgeht","opposition","enquetekommission","berufskrankheiten","erscheinen","transport","regierung","menschlichen","graf","aussage","minderheit","dinge","reichstag","angehörigen","art","anfragen","parteien","urteil","rat","einzelangaben","bundestages","hauses","hauptstadt","regelungen","rechnungshofs","have","pessimistische","une","le","ähnliches","kulturelle","datenschutzes","dienstes","personalausweis","ausland","volkszählung","bundesinnenminister","datenschutzbeauftragte","wahlrecht","einbürgerung","innenausschuss","sportstätten","sed","dienste","vergangenheit","polizei","mfs","selbstbestimmung","bgs","kontrollkommission","tätigkeitsbericht","scientology","bundesnachrichtendienstes","vereine","zwischenbericht","nu","pkg","jugendoffiziere","ehrenamt","vereine","sportausschuss","hospizarbeit","riegert","klaus","breitensport","paralympics","vun","ehrenamtliche","ar","linkspartei","sportarten","sportförderung","athleten","riegert","spitzensport","karriere","vereine","anwohner","gelände","frauen","intersexualität","leben","kindes","doping","sotschi","gesellschaft","bewerbung","sportanlagen","werkstätten","sportanlagen","hebbt","teilhaben","wm","berufsbetreuer","xiv","bundesteilhabegesetzes","werkstätten","sterbehilfe","assistierten"
"14","darüber","wirklich","eben","fragen","darauf","hause","darüber","viele","zeit","unterhalten","problem","heute","vielleicht","sehen","parlament","heute","sehen","problem","immer","hätte","konsumenten","sagen","diskussion","gerade","demokraten","erzielt","unlauteren","bemerkungen","täglichen","tiefen","wichtiges","beachtet","zahl","mittelständischen","streiks","offergeld","grenzverkehr","büchler","verfahren","bericht","vizepräsidenten","herr","beruf","staatspraxis","auslegung","grundgesetz","grundgesetzes","mitglieder","ämter","arbeit","schriftführer","kolleginnen","herr","bundesrechnungshofs","are","willkürlich","nos","mais","europäische","schäfer","november","sicherheitsbehörden","sicherheitsbehörden","amt","sportlerinitiative","innern","innern","spranger","hirsch","datenschutzbeauftragten","mitarbeiter","verwaltung","staatssicherheit","kontrollkommission","innenausschuss","geschichte","sicherheit","geschichte","marschewski","bundesbeauftragten","mfs","zivilschutz","kollege","diktatur","wat","gremium","sportvereinen","vereine","sozialversicherungspflicht","staat","riegert","ehrenamtliche","susanne","burma","mecklenburgvorpommern","en","vereine","at","dieckmann","fussball","staatlichen","besitzstrafbarkeit","monopol","sportbericht","mayer","parr","sportpolitik","spiele","verbot","itb","organe","juden","ringen","eingliederungshilfe","barrieren","sportlerinnen","unbehindertenrechtskonvention","dopingopfer","athleten","barrierefreiheit","un","spiele","europawahl","bundesteilhabegesetz","leistungsberechtigten","inklusion","betroffenen","werkstätten"
"15","regierung","heute","angelegenheit","durchaus","wirklich","vielleicht","wirklich","fragen","sollten","darauf","gewisse","ja","ganz","eigentlich","tun","vielleicht","gewisse","sollten","beratungen","durchaus","fülle","freien","defizitär","begrüssen","immer","praktisch","sagen","zeit","gesetzes","gesetzes","scheuen","entstanden","sicherheitsingenieuren","kampfhandlungen","sozialdemokraten","abrechnung","erläuterungen","filmwirtschaft","vogel","filme","verfahren","worden","chancengleichheit","missbilligungsantrag","mitglieder","bundesrat","wahltag","bundespräsidenten","mitglieder","wechselschichtdienst","bundesrechnungshofs","verwaltung","minuten","beanstandungen","on","verbundenheit","il","pretoria","hängt","hirsch","kulturellen","hellenbroich","bundesinnenminister","terroristen","sportbericht","doping","bundesinnenminister","ausländer","gerster","nöbel","neusel","polizei","überprüfung","ddrgeschichte","sed","daten","innern","akten","bnd","diktatur","gauckbehörde","uelhoff","vereinigungsbedingten","religionsfreiheit","ok","verfassungsschutz","organisationen","privatisierung","alkohol","biersteuer","tätigen","sportler","gemeinnützige","vereine","olympiabewerbung","spraken","engagierte","pl","freiwillig","gerster","glücksspiel","detlef","kunert","athleten","sportarten","sportausschuss","breitensport","lärm","embryonen","behinderte","organspendeausweis","betreuung","betreuung","rüffer","eingliederungshilfe","prinzipien","nada","barrierefrei","teilhabebericht","to","ausweis","menschen","unbehindertenrechtskonvention","gewalttaten","stiftung","betreuungsrechts","inklusion","tod"
"16","frage","dingen","fragen","natürlich","ganz","ganz","problem","darauf","wirklich","ministers","behandeln","wahrscheinlich","beamten","schwierigkeiten","getan","dinge","worden","dinge","zeit","gesetze","immer","bemerkungen","glaube","versuchen","müssen","darauf","kurz","untauglich","befristung","hause","zwischenruf","kräfte","betriebsärzte","haushaltsausschuss","anstalt","bundesgebiet","reisen","filme","schelklingen","aufklärung","ausstellung","berger","berufe","bundesliste","anfrage","verfassungsgericht","kommission","bürger","statistische","rechte","grundgesetzes","müller","berlin","präsidenten","as","unlösbar","je","said","deshalb","maschinenlesbarkeit","personalausweis","innenminister","ströbele","kunst","kontrollkommission","gespeichert","bundesbeauftragten","verfassungsschutz","bund","polizei","gerster","ehemaligen","opfer","täter","schweigepflicht","tätigkeit","aufarbeitung","köppe","wienand","arbeit","bgs","geheimdienste","lohmann","ddr","mer","kontrollkommission","riegert","dopingbekämpfung","engagements","athleten","psychogruppen","wiesheu","organisationen","spiele","bauen","wat","bürgerschaftliches","fm","tatsachen","turin","wetten","dopingmitteln","sportvereine","sportlerinnen","sportlerinnen","stadion","olympischen","antrag","schwangerschaft","rollstuhlfahrer","sportler","sports","sportlerinnen","behinderter","paralympics","behinderungen","bundesteilhabegesetz","rüffer","beeinträchtigungen","sportausschuss","barrieren","barrierefreien","inklusion","gesetz","contergangeschädigten","bundesteilhabegesetz","suizidhilfe","inklusiven"
"17","wäre","wäre","meinung","zeit","natürlich","zeit","schnell","minister","wohl","ausschüssen","müsste","beschäftigen","form","ganze","gebracht","schwierigkeiten","ersten","diskussion","einzelnen","punkte","entscheidende","worden","werk","scheint","gerade","ganz","überlegen","verwaltet","leistungswettbewerb","enquetekommission","bemerkung","durchaus","berufsgenossenschaften","erpmitteln","hinzuzufügen","ehrenordnung","bundesregierung","verfasser","kleinert","ausschusses","minderheit","herold","mandats","landeslisten","grossen","schäfer","verfassung","europäische","karl","parteien","parlaments","bundestag","präsidenten","herr","this","beispielen","pas","reis","erstaunlicherweise","maschinenlesbaren","datenverarbeitung","bundesamt","bnd","sicherheitsbehörden","verfassung","blens","inneren","ostdeutschen","nöbel","spranger","verfassungsschutz","mfs","massenorganisationen","polizisten","staatssicherheit","köppe","bundesbeauftragte","verfassungsschutz","vorstand","rehabilitierung","behörde","behörde","ehrenamt","arbeit","zwischenbericht","kollegen","stiftung","sportausschuss","aufwandsentschädigung","getränke","schmerztherapie","ehrenamt","kollegen","sportliche","planen","bi","unfallversicherungsrechtlichen","är","thierse","verantwortungsvoll","antrag","mengen","jugendlichen","sportförderung","athleten","olympischen","wohngebieten","bewegung","paaren","schliessung","inklusion","wahlrecht","spiele","sportlerinnen","nada","athleten","mutlu","lösekrugmöller","institut","athleten","gesellschaft","barrierefreie","betreuungsvereine","werkstätten","unbehindertenrechtskonvention","vormundschafts","selbstbestimmtes","budget"
"18","vielleicht","müssen","heute","heute","sollten","dingen","zeit","wahrscheinlich","punkte","gerade","darauf","darauf","eindruck","heute","zeit","diskussion","gut","gerade","gewisse","begrüssen","sollten","wäre","demokraten","näher","fülle","vorlage","belastung","gleichberechtigt","fertigpackungen","haushaltsbefugnisse","schreibt","ferner","fachkräften","kapitalbeteiligungsgesellschaften","beider","hierin","reiseverkehrs","aktuellen","untersuchungsausschüsse","wallmann","behauptungen","wallmann","bundesverfassungsgericht","urteil","untersuchungsverfahren","gewaltenteilung","wahlrecht","gemeinschaft","statistikbereinigung","deutschen","stimmkarte","bibliothek","schuld","unifil","with","sachgerechte","ne","völkermord","rechtsgeschäfte","personalausweisgesetz","kriminalität","bundesamtes","strafprozessordnung","ostdeutschen","innern","penner","volkszählungsurteil","innenausschuss","wahlrecht","penner","informationen","sonderbeauftragten","polizei","diktatur","bundesgrenzschutz","polizei","bürger","bericht","pkk","zwerenz","tätigkeitsbericht","auflösung","herr","handlungsempfehlungen","ne","akten","kollege","belegschaft","bürgerschaftlichen","schädigungen","sterben","engagieren","breitensport","sportler","stiftung","se","ehrenamt","ra","einvernehmlich","wende","oddset","radsport","glücksspiel","bewegung","spiele","fans","bewerbung","antidopingorganisationen","befruchtung","intersexuellen","ethikrat","jüdischen","inklusive","behindertenrechtskonvention","olympischen","menschen","fussball","werner","rüffer","spraak","sprache","sports","betreuerinnen","eingliederungshilfe","behinderte","assistenzhunde","lebens","entscheidung"
"19","worden","wohl","durchaus","gerade","gar","wirklich","angelegenheit","hause","mehr","durchaus","jedenfalls","zeit","massnahmen","natürlich","darauf","einfach","ganz","gewisse","einfach","bald","ganz","schaffen","darauf","öffentlichkeit","reihe","beratungen","gibt","überlegungen","bundesrechnungshof","dahrendorf","wenigstens","weitere","hubraumsteuer","sparen","gefahr","kontinuierlich","betreuung","unterhaltungsfilm","bericht","präsidenten","aufklärung","drüben","urlaub","eid","parlamentarische","kandidaten","wahlberechtigten","abgeordneten","feuerwehr","sitzungen","deutschen","präsident","vorstellungen","wehrstrafgerichtsbarkeit","by","revolution","un","ehmke","winzer","personalausweise","bund","bundesnachrichtendienst","datenverarbeitung","daten","inneren","sportler","dienst","bundesinnenminister","waffenschmidt","bundesinnenminister","stasi","mitarbeiter","informationen","ehemaligen","innern","vergangenheit","überprüfung","bundesgrenzschutz","new","ehemaligen","informationen","mfs","regierungs","bahnpolizei","en","dat","de","bürgerschaftliches","ehrenamtlicher","trinken","hospizbewegung","kirchgruppe","bürgerschaftlichen","klaus","münchen","minderheiten","kaupa","na","beim","katzen","präventionsgesetz","mittel","doping","tibeter","sportförderung","ehrenamtlichen","käuflich","liegenschaft","heide","luftbodenschiessplatzes","tod","sportförderung","ioc","spiele","werkstätten","antidopinggesetz","behinderte","behinderter","werner","wat","schwerbehindertenausweis","fifa","spiele","sozialgesetzbuch","luftverkehrswirtschaft","eingliederungshilfe","sportstätten","arbeitsmarkt"
