"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","grundgesetzes","verfassung","rechtsausschuss","richter","bundesverfassungsgericht","richter","arndt","wehrbeauftragten","volksbefragung","gericht","richter","richter","richter","gericht","ehe","justiz","schloss","richter","jahn","jahn","justiz","justiz","strafrecht","justiz","ehe","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","vogel","pornographie","richter","justiz","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","vogel","vogel","verteidiger","justiz","justiz","verjährung","justiz","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","richter","verjährung","rechtspolitik","richter","justiz","justiz","parteien","justiz","justiz","flick","justiz","gewalt","gewalt","polizei","polizei","polizei","untersuchungsausschuss","hafenstrasse","justiz","kriminalität","kriminalität","straftaten","kriminalität","kriminalität","kriminalität","justiz","justiz","justiz","justiz","justiz","kriminalität","kriminalität","justiz","täter","justiz","justiz","forschung","stammzellen","sicherungsverwahrung","sicherungsverwahrung","opfer","opfer","sicherungsverwahrung","stammzellen","wohnraumüberwachung","opfer","justiz","justiz","patientenverfügung","justiz","datenschutz","datenschutz","daten","daten","sicherungsverwahrung","daten","software","datenschutz","justiz","daten","vorratsdatenspeicherung","opfer","daten","daten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","polizei","rechtsstaat","polizei","sicherheitsbehörden","polizei","rechtsstaat"
"2","grundgesetz","grundgesetz","rechtspfleger","zulassung","richter","bundesverfassungsgericht","richter","gerichte","verfassung","bundesverfassungsgericht","gericht","rechtsausschuss","verjährung","untersuchungshaft","richter","rechtsprechung","jahn","gericht","bucher","richter","bucher","rechtsausschuss","entwurf","tier","diemernicolaus","heinemann","busse","richter","freiheitsstrafe","mülleremmert","diemernicolaus","justiz","strafrecht","ehe","richter","strafvorschriften","leben","strafe","leben","verteidiger","straftaten","scheidung","wirtschaftskriminalität","bundesjustizminister","überwachung","vogel","vogel","mord","freiheitsstrafe","strafe","erhard","todesstrafe","justiz","justiz","justiz","erhard","justiz","urteile","polizei","spenden","kleinert","untersuchungsausschuss","untersuchungsausschuss","kronzeugenregelung","volkszählung","untersuchungsausschuss","gewalt","gewalt","gewalt","gewalt","untersuchungsausschuss","rehabilitierung","justiz","drogen","kronzeugenregelung","straftaten","justiz","polizei","vergewaltigung","kronzeugenregelung","drogen","korruption","täter","opfer","polizei","geis","ströbele","untersuchungsausschuss","kriminalität","pid","forschung","opfer","verbrechen","straftaten","klonen","opfer","justiz","straftaten","täter","rechtspolitik","opfer","justiz","bundesverfassungsgericht","daten","daten","datenschutz","internet","opfer","sicherungsverwahrung","internet","sicherungsverwahrung","datenschutz","datenschutz","daten","daten","vorratsdatenspeicherung","straftaten","straftaten","amri","polizisten","opfer","justiz","rechtsstaat","polizei","rechtsextremismus","polizei","gewalt","rechtsextremismus"
"3","art","grundgesetzes","grundgesetzes","grundgesetz","bundesverfassungsgerichts","wahl","justiz","wehrbeauftragte","grundgesetz","volksbefragung","verfahren","verwaltungsrichter","justiz","rechtsausschuss","rechtsprechung","jahn","abmahnung","entwurf","rechtsprechung","rechtsausschuss","verjährungsfrist","weber","strafe","jahn","rechtsprechung","diemernicolaus","justiz","verbrechensbekämpfung","verjährung","polizei","reform","richter","eyrich","justiz","kriminalität","stark","schutz","reform","fristenregelung","frau","verteidiger","frauen","verteidiger","verteidiger","justiz","verteidiger","justizminister","verbrechen","strafe","justiz","freiheitsstrafe","rechtsordnung","abschaffung","todesstrafe","with","justiz","versorgungsausgleich","wirtschaftskriminalität","untersuchungsausschuss","amnestie","bewährung","with","parteien","gewalt","schily","polizei","straftaten","libyen","justiz","justiz","gansel","rüstungsexporte","straftaten","straftaten","justiz","drogen","polizei","justiz","kriminalität","kriminalität","gewalt","drogen","kriminalität","straftaten","justiz","straftaten","opfer","geis","straftaten","stammzellen","kriminalität","stammzellen","täter","röttgen","justiz","täter","zypries","fingerabdruck","hartenbach","täter","rechtspolitik","montag","gehb","telekom","justiz","internet","vorratsdatenspeicherung","daten","internet","daten","daten","opfer","informationsfreiheit","snowden","justiz","verfassungsschutz","untersuchungsausschuss","sexuelle","opfer","täter","anschlag","straftaten","sicherheitsbehörden","sicherheitsbehörden","täter","gewalt","verfassungsschutz","telegram"
"4","gesetz","art","richter","bundesverfassungsgericht","grundgesetz","grundgesetzes","strafe","richter","volksbegehren","verfassung","anwalt","verwaltungsgerichtsbarkeit","verfahren","justiz","rechtsausschuss","verfahren","kapfinger","jahn","gericht","gericht","verjährung","verjährung","justiz","gerichtsbarkeit","justiz","hauser","gerichte","wiederholungsgefahr","täter","diemernicolaus","erhard","lenz","schutz","scheidung","wiederholungsgefahr","staatsanwaltschaften","frauen","gefangenen","frau","ehe","strafgesetzbuches","ehegatten","justiz","eyrich","gefangenen","rechtsausschuss","kleinert","aufhebung","hartmann","hartmann","vorschrift","erhard","klein","landgericht","straftaten","schwalbach","geschiedenen","kleinert","juristenausbildung","justiz","strafaussetzung","rechtsstaat","justiz","rechtsstaat","grünen","center","demonstrationen","gefangenen","urteil","polizei","kiel","richter","organisierten","organisierten","täter","justiz","straftaten","with","drogen","däublergmelin","opfer","täter","gewalt","täter","sicherheit","telefonüberwachung","täteropferausgleich","däublergmelin","geis","embryonen","embryonalen","täter","sexuellen","justiz","zypries","justiz","embryonalen","justiz","dnaanalyse","straftaten","montag","opfer","montag","bundesverfassungsgericht","patientenverfügung","grundrechte","datenschutz","straftaten","vorratsdatenspeicherung","opfer","täter","straftaten","internet","nsa","untersuchungsausschuss","straftaten","täter","täter","sicherheit","fussfessel","untersuchungsausschuss","polizei","verfassungsschutz","gewalt","hass","rechtsextremismus","straftaten","sicherheitsbehörden"
"5","bundesverfassungsgericht","bundesverfassungsgericht","gerichte","anwaltschaft","grundgesetzes","grundgesetz","rechtsprechung","justiz","volksbefragungen","grundgesetz","justiz","arndt","verbrechen","richter","wittrock","richter","rechtsausschuss","strafe","justiz","diemernicolaus","verlängerung","ersatzdienst","strafrechtsreform","jaeger","gericht","bundesjustizminister","richter","kriminalität","justiz","richter","strafrecht","polizei","recht","reform","entwurf","jahn","frau","justiz","lebens","straftaten","kriminellen","indikation","erhard","rechtspolitik","inhaftierten","bundesjustizminister","bundesjustizminister","gerechtigkeit","rechtsausschuss","bewährung","gericht","justiz","erhard","amtsgericht","untergebrachten","schmude","generalbundesanwalt","bundesjustizminister","engelhard","parteienfinanzierung","bundesjustizminister","richter","schily","kleinert","rechtsstaat","justiz","untersuchungsausschuss","demonstrationen","strafe","gansel","hamburger","illegalen","bnd","justiz","kriminalität","verjährung","täter","strafe","drogenpolitik","beck","kriminalität","hauptverhandlungshaft","opfer","justiz","straftaten","rechtspolitik","justiz","zeugen","richter","justiz","kronzeugenregelung","forschung","straftaten","opferschutz","straftaten","straftaten","richter","zypries","stalking","opfer","bundesverfassungsgericht","selbstbestimmung","zypries","patientenverfügung","zypries","kinderpornografie","opfer","datenschutz","straftaten","straftaten","datei","täter","abmahnungen","aufklärung","staatsanwaltschaft","sicherheit","vorratsdatenspeicherung","menschenhandel","straftaten","straftaten","polizei","sicherheitsbehörden","kriminalität","täter","rechtsstaat","straftaten","sicherheitsbehörden","straftaten"
"6","richter","gesetz","art","grundgesetzes","gericht","gericht","strafrechts","rechtsausschuss","grundgesetzes","grundgesetzes","rechtsprechung","jahn","rechtsausschuss","arndt","bundesgerichtshofs","entscheidung","verfahren","bundesverfassungsgericht","entwurf","zeugnisverweigerungsrecht","benda","diemernicolaus","strafrechts","verfahren","richter","busse","güde","diemernicolaus","diemernicolaus","demonstration","verfahren","entschädigung","mülleremmert","arndt","straftaten","fall","pornographie","vollzug","schwangerschaftsabbruch","justiz","leben","arzt","überwachung","strafe","verfahren","zwangsernährung","generalbundesanwalt","täter","strafrechtlichen","vogel","straftaten","vogel","freiheitsstrafe","de","wirtschaftskriminalität","bad","staatsanwaltschaft","parteienfinanzierung","flick","flick","engelhard","polizei","spenden","with","demokratie","volkszählung","justiz","justiz","strafvollzug","staatsanwaltschaft","justiz","kinkel","richter","verbrechen","with","heuer","organisierten","täter","geis","rechtsstaat","richter","schmidtjortzig","polizei","verbrechen","meyer","stgb","kronzeugenregelung","patentamt","täter","menschenwürde","embryonen","geis","missbrauch","strafverfahren","dnaanalyse","ströbele","rechtspolitik","dnaanalyse","alfred","zypries","zypries","telekommunikationsüberwachung","straftaten","sicherungsverwahrung","internet","gesetz","rechtspolitik","internet","datenschutz","computer","strafe","daten","abgeordnetenbestechung","untersuchungsausschuss","menschenhandel","ströbele","justiz","daten","sicherheitsbehörden","untersuchungsausschuss","straftaten","karlsruhe","straftaten","rechtsextremismus","polizisten","rechtsstaat","rechtsextremismus","opfer"
"7","verfassung","bundesverfassungsgerichts","grundgesetz","bundesverfassungsgerichts","wahl","bundesverfassungsgerichts","strafrecht","rechtsausschusses","greve","bundesverfassungsgerichts","rechtsanwalt","instanz","jahn","rheinlandpfalz","jahn","oberstaatsanwalt","untersuchungsausschuss","güde","gerichte","strafprozessordnung","verbrechen","zeugen","heinemann","gegenseitigkeit","hauser","rechtsprechung","strafrecht","verbrechen","strafrechts","lenz","richter","reform","entwurf","titel","haftrechts","schutz","lebens","strafrechts","fristenlösung","kindes","recht","versorgungsausgleich","rechtsausschuss","recht","straftaten","strafprozessordnung","de","unverjährbarkeit","straftaten","lebenslangen","justiz","rechtspolitik","strafe","with","richter","emmerlich","scheidung","engelhard","ehe","spender","justizminister","untersuchungsausschusses","demokratie","untersuchungsausschuss","boykott","untersuchungshaft","strafe","rechtsstaat","gericht","untersuchungsausschusses","gewalt","staatsanwälte","illegalen","polizei","strafe","bekämpfung","strafe","opfer","opfer","korruption","beck","beck","europol","lauschangriff","prävention","beck","amnestie","herta","ströbele","menschlichen","geis","strafe","opfer","stünker","klonens","strafe","embryonen","opfer","kriminalität","bundesverfassungsgerichts","täter","richter","journalisten","vorratsdatenspeicherung","kinderpornografie","bundesverfassungsgericht","justiz","justiz","täter","datenschutz","internet","sicherungsverwahrung","wirtschaftskriminalität","bürger","täter","aufklärung","edathy","polizei","polizisten","opfer","sicherheitsbehörden","stgb","polizisten","hass","rassismus","hass","bundespolizei","justiz"
"8","recht","entscheidung","greve","gericht","gesetz","art","grundgesetzes","gericht","verfassungswidrig","verfassungswidrig","instanz","oberverwaltungsgericht","arndt","bundesjustizminister","grundgesetz","fällen","richter","gerichts","richter","justiz","gerechtigkeit","jahn","täter","diemernicolaus","gerichte","jahn","strafrechts","straftaten","strafrecht","justiz","justizminister","mülleremmert","reform","ehegatten","diemernicolaus","praxis","strafrecht","leben","abtreibung","vogel","erhard","vogel","kleinert","schutz","rechtsausschuss","emmerlich","hartmann","justiz","erhard","straftaten","rechtsausschuss","strafe","de","auslieferung","de","engelhard","urteil","richter","kleinert","untersuchungsausschuss","strafe","verletzten","brauchitsch","straftaten","gesetze","oberfinanzdirektion","journalisten","firmen","richter","hdw","staatsanwaltschaft","rechtsstaat","täter","geldwäsche","untersuchungsausschuss","täter","stgb","de","verbrechen","richter","täter","verfahren","strafrecht","organisierten","gendatei","kriminalität","straftaten","polizei","opfer","geis","straftaten","renesse","ströbele","sicherungsverwahrung","strafverfahren","kauder","stammzellforschung","gehb","montag","montag","nešković","journalisten","bundesverfassungsgerichts","justiz","kauder","patientenverfügung","missbrauch","täter","montag","täter","straftaten","stiftung","polizei","internet","sicherheitsbehörden","vleute","verfassungsschutz","stgb","verfassungsschutz","ströbele","justiz","ersatzfreiheitsstrafe","gewalt","straftaten","verfassungsschutz","täter","hass","gewalt"
"9","gericht","richter","rechtsausschusses","justiz","volksentscheid","arndt","gerichte","wahl","volksentscheid","arndt","urteil","ehrenamtlichen","verjährungsfristen","urteil","ehegatten","urteil","empfehlungsschreiben","verteidiger","bundesgerichtshof","bundesgerichtshof","jahn","güde","sonderausschuss","entwurf","strafrecht","koreanischen","gericht","haft","taten","reform","demonstrationen","jahn","ehe","gericht","verbrechensbekämpfung","wirtschaftskriminalität","strafrechts","strafrechtsreform","mutter","strafverfahren","kleinert","frau","mündlichen","justiz","vogel","erhard","with","mordverjährung","strafrechts","rechtsausschuss","götz","straftaten","schmude","berufungssumme","verjährungsfrist","versorgungsausgleich","emmerlich","strafrechtlichen","demonstrationen","bewährung","hannover","emmerlich","untersuchungsausschusses","polizei","demokratischen","vergewaltigung","de","straftaten","with","rechtsstaat","untersuchungsausschusses","straftaten","rechtsstaat","rechtsstaat","stgb","rechtsstaat","verbrechen","verbrechen","täter","herta","polizei","polizei","drogen","meyer","richter","meyer","kriminalität","instanz","pofalla","embryonalen","import","straftaten","rechtspolitik","opfern","ströbele","nachträgliche","ströbele","strafprozessordnung","justiz","bundesverfassungsgericht","bundesamt","telefonüberwachung","stünker","bundesverfassungsgerichts","montag","opfer","straftaten","schutz","notz","justiz","waffen","waffen","schutz","edward","straftaten","mayer","sicherheitsbehörden","verfassungsschutz","täter","sicherheit","breitscheidplatz","sicherheit","europol","sicherheit","straftaten","rassismus","anschlag","hanau"
"10","entscheidung","recht","gesetz","entwurf","verfassung","justiz","rechtspfleger","wittrock","verfassungsmässig","richter","jahn","gericht","rechtsprechung","rechtsprechung","bundesgerichtshof","gewalt","zeugen","rechtsausschuss","bestimmung","kanka","richter","richter","diemernicolaus","tiere","ordnungswidrigkeiten","gesetzgeber","bundesjustizminister","polizei","verbrechen","demonstrationen","hirsch","hirsch","schriften","härteklausel","haftgrund","verfolgung","eyrich","schutz","ungeborenen","strafverfolgung","frau","beratung","recht","lenz","verteidigerüberwachung","eyrich","bundesanwaltschaft","strafverfolgung","recht","mord","paragraphen","recht","hansjochen","recht","recht","sachbeschädigung","eintragungsgrenze","untersuchungsausschuss","juristen","strafaussetzung","rechtspolitik","rechtspolitik","wirtschaftskriminalität","engelhard","staat","vermummung","kleinert","pressefreiheit","de","terrorismus","polizei","exporte","rehabilitierung","freigabe","de","organisierten","meyer","bekämpfung","heroin","leutheusserschnarrenberger","rechtsstaat","richter","straftaten","europol","geis","polizei","richter","ströbele","beck","stgb","sicherungsverwahrung","geldstrafe","fälle","täter","enquetekommission","anordnung","röttgen","gericht","graffiti","vorratsdatenspeicherung","leutheusserschnarrenberger","patientenverfügungen","rechtspolitik","selbstbestimmung","richter","straftaten","täter","onlinedurchsuchung","fälle","onlinedurchsuchung","gesetzentwurf","polizei","menschenhandel","ströbele","maas","polizei","maas","nachrichtendienste","rechtsstaat","amri","gewalt","verfassungsschutz","sicherheit","hetze","gewalt","gefährder","rechtsstaat","extremismus"
"11","bestimmung","justiz","gericht","anwalt","reform","wahlmännergremium","gericht","grundgesetz","barzel","demokratie","rechtspflege","bürger","strafverfolgung","schäffer","entscheidung","ehegatten","herrn","strafrecht","geltenden","grundsatzrevision","gerichte","arndt","strafvollzug","tieren","heinemann","ehe","reform","heinemann","güde","gewalttätigkeiten","mord","rechtspolitik","strafe","mindeststrafe","rechtsausschuss","mikat","reform","strafgesetzbuches","schwangerschaft","bundesjustizminister","kronzeugen","leben","gerichte","überwachung","verteidigern","kleinert","richter","verjährungsfrist","anwalt","engelhard","kleinert","schweiz","haft","fällen","weissekragentäter","kleinert","verkehrszentralregister","parteien","demonstranten","staatsanwaltschaft","verbrechen","de","rechtsstaat","strafverfahren","untersuchungsausschuss","akten","engelhard","gansel","vergewaltigung","kiel","raf","strafrecht","staatsanwaltschaft","richter","rechtsstaat","bad","kanther","verbrechensbekämpfungsgesetz","leutheusserschnarrenberger","organisierten","strafverfahren","geis","strafe","schmidtjortzig","beck","justizreform","geis","aufklärung","pid","präimplantationsdiagnostik","adulten","schutz","justiz","missbrauch","täter","zypries","menschenhandel","bundesverfassungsgerichts","menschenhandel","journalisten","stünker","hartenbach","strafprozessordnung","gericht","opfer","grundgesetz","bürgerrechte","vorratsdatenspeicherung","netzneutralität","quellentkü","justiz","staatsanwaltschaft","opfer","freiheit","polizei","informationen","polizei","sexuellen","kriminalität","meinungsfreiheit","behörden","opfer","extremismus","opfer","hanau","hetze","opfer","kriminalität"
"12","rechtsausschuss","rechtsausschuss","rechtsprechung","verfassung","art","rechtsausschuss","vorschrift","rechtsprechung","rat","urteil","arndt","rechtsprechung","bundesgerichtshof","verfahren","frau","angeklagten","worden","diemernicolaus","rechtsmittel","güde","rechtsprechung","gerechtigkeit","strafgesetzbuch","richter","gesetzgeber","korea","zeugen","schlager","schuld","aufforderung","juristen","strafrecht","strafrechts","gerichte","bundesjustizminister","lenz","ungeborenen","einführungsgesetzes","arzt","rechtsstaat","rechtsordnung","lenz","kunz","justizminister","besuchsüberwachung","anwaltschaft","friedmann","mörder","vogel","verurteilten","fälle","täter","recht","strafvollzug","täter","justizminister","beschwerdesumme","staatsanwaltschaft","justizminister","klasen","gerichte","spenden","staatsanwaltschaft","staatsanwaltschaft","rechtsbruch","recht","kronzeugenregelung","terroristen","polizisten","richter","kriminalität","illegale","ermittler","organisierte","verjährung","heroin","geis","organisierten","rechtsstaat","opfer","schmidtjortzig","kriminalität","geis","polizei","inneren","rechtsstaat","polizei","verbrechen","gericht","embryo","schutz","strafrecht","strafrecht","kauder","richter","gericht","schutz","täter","polizei","strafverfolgung","opferschutz","entscheidung","leutheusserschnarrenberger","gehb","gesetz","kauder","sexuellen","opfern","strafe","rechtspolitik","opfer","rechtspolitik","informationen","usa","nsu","sicherheitsbehörden","ermittlungen","bundespolizei","gefährder","kontrolle","stgb","täter","karlsruhe","halle","extremismus","polizisten","rassismus","hass"
"13","bundesverfassungsgerichts","gewalt","recht","art","bundesjustizminister","mehrheit","rechtsstaatlichen","bestimmung","gesetzentwurf","juristen","strack","richtern","gerichte","hauptverhandlung","arndt","bundessozialgerichts","justiz","mülleremmert","vorschrift","haftgrund","verfolgung","recht","reform","tierschutzgesetz","busse","richter","staatsgeheimnis","haftgrund","verjährungsfrist","bürger","strafverfolgung","gerichte","bundesjustizminister","fällen","haftrecht","bekämpfung","abtreibung","freiheitsstrafe","kind","lenz","überwachung","recht","penner","ehe","stammheim","richter","rechtspolitik","völkermord","engelhard","vorschrift","täter","schmude","iran","ausland","strafrechtlich","gerechtigkeit","klein","emmerlich","bundesjustizminister","juristenausbildung","with","engelhard","verfahren","rechtspolitik","auseinandersetzung","staatsanwaltschaft","untersuchungsausschüsse","polizeibeamten","täter","firmen","untersuchungshaft","untersuchungsausschuss","kinkel","opfer","richter","stgb","with","straftaten","unrecht","täter","däublergmelin","beschleunigte","korruption","beck","schmidtjortzig","täter","strafverfahren","täter","polizei","straftaten","menschenwürde","stgb","missbrauchs","rechtspolitik","brigitte","stünker","straftaten","bundesverfassungsgericht","gehb","richter","stalking","willen","kauder","zypries","gesetzentwurf","selbstbestimmung","schutz","montag","gewalt","sicherungsverwahrung","genitalverstümmelung","stgb","informationsfreiheitsgesetz","datenschutz","stgb","bsi","gespeichert","gewalt","anschlag","gewalt","gefährder","verschlüsselung","rechtsextremismus","justiz","strafrecht","extremismus","täter","täter"
"14","bestimmungen","bundesjustizminister","richters","rechtsausschuss","senat","verfassung","bestraft","grundgesetzes","justiz","wilhelmi","oberlandesgericht","werber","verjährungsfrist","bundesverfassungsgericht","grundgesetzes","strafverfahren","fällen","angeklagten","schutz","entwurf","verfahren","jehovas","bundesjustizminister","gerichte","bundesjustizminister","verletzung","rechtsprechung","hirsch","strafrechtsreform","stgb","bestraft","bundesjustizminister","justiz","freiheitsstrafe","jahn","kleinert","fristenlösung","strafgesetzbuch","indikation","verteidigers","beschuldigten","ungeborenen","angeklagten","gesetzgeber","richter","strafrecht","rechtsausschuss","schuld","verbrechen","mindestverbüssungsdauer","vogel","lebenslangen","vogel","kriminalität","makler","landgericht","prozessordnung","gerichte","akten","cdu","richter","bewährung","recht","de","politischen","ofd","zeugnisverweigerungsrecht","gesetze","recht","straftaten","hamburg","rechtspfleger","stavenhagen","bekämpfung","strafrecht","polizei","strafrecht","verjährung","kanther","rechtspolitik","strafverfolgung","verbrechen","therapie","geis","bekämpfung","bundeszentralregister","staatsanwaltschaft","stammzellen","schutz","untersuchungsausschuss","leben","van","schutz","sexuellen","kauder","stgb","kauder","ströbele","straftatbestand","fälle","bundesverfassungsgerichts","strafprozessordnung","täter","grundrecht","straftaten","gesetzentwurf","notz","rechtspolitik","evaluierung","rechtsstaat","menschenhandel","funkzellenabfrage","straftaten","digitalen","datenschutz","terrorismus","strafbar","selbstbestimmung","notz","notz","vorratsdatenspeicherung","behörden","lübcke","zitis","taten","taten","grundordnung","demokratie"
"15","abs","entscheiden","geschäfte","bestimmungen","verfassungsrechtliche","weber","verfahren","juristen","wittrock","gesetzentwurf","bundesjustizminister","rechtsausschusses","mord","strafprozessordnung","böhm","wittrock","person","richtern","recht","recht","schuld","landesjustizverwaltungen","entwurfs","strafe","geschieden","grünwald","strafverfahren","aufklärungsquote","mord","täter","bundesjustizminister","erhard","jahn","diemernicolaus","gerichte","kommission","schwangerschaft","frau","entscheidung","schutz","richter","ehepartner","strafrechts","kleinert","justizminister","justizminister","gericht","recht","kleinert","schwere","stgb","strafvollzug","griechenland","verhängt","rechtszersplitterung","personalausweises","bundesgerichtshofs","volksgerichtshof","gewalttäter","juristen","volksgerichtshof","kleinert","flickkonzerns","terroristen","kleinert","kleinert","stgb","untersuchungsausschuss","libyen","strafverfolgung","akten","justizminister","organisierte","verjährung","kommerzielle","geldwäsche","bekämpfung","organisierte","strafe","strafrecht","straftaten","straftaten","vergewaltigung","schutz","urteile","volker","rechtsstaat","statut","däublergmelin","kriminalität","menschlichen","justiz","sachbeschädigung","schutz","stünker","freiheitsstrafe","opfer","richter","straftaten","stalking","jerzy","onlinedurchsuchung","daten","richter","ströbele","bundesverfassungsgerichts","abkommen","gesetzentwurf","stgb","polizei","polizei","sicherheitsbehörden","wlan","überwachung","strafbar","bnd","opfer","gesetzentwurf","ströbele","stgb","täter","kriminalstatistik","forum","internet","hetze","verfassungsschutz","hetze","faeser"
"16","bundesjustizminister","gesetzgeber","verfassungsrecht","recht","gesetzgeber","wahlmännergremiums","arreststrafe","verfassung","wilhelmi","politischen","anwälte","gerichtsbarkeit","grundgesetz","reform","rechtsausschusses","sachen","untersuchungsausschüsse","justiz","gesetzgeber","rechtsausschusses","recht","verbrechen","rechtsprechung","bundesjustizminister","verfahren","gerichte","mülleremmert","täter","bewährung","strafe","jahn","diemernicolaus","bürger","richters","vogel","reform","strafe","strafvollzugs","schutz","strafprozessordnung","rechtsstaat","lebens","geschiedenen","freiheitsstrafe","rechtsstaatlichen","trennscheibe","verjährung","taten","justizminister","begehen","strafrechts","rechtsstaat","freilassung","rechtsprechung","olderog","rechtspolitischen","volksgerichtshof","rechtspolitik","schröder","parteispenden","rechtsstaat","parteien","politischen","lappas","faschismus","document","material","terrorismus","engelhard","strafe","illegalen","bundesjustizminister","drogen","illegalen","geis","aufklärung","opfer","leutheusserschnarrenberger","polizei","geis","vergewaltigung","gewalt","prävention","verjährung","kanther","schwere","hanschristian","richter","verbrechen","verfahren","justiz","embryonen","dnaanalyse","straftat","menschenwürde","hartenbach","patentrecht","brigitte","fingerabdruck","gericht","straftaten","straftaten","opfer","straftaten","gehb","kronzeugenregelung","löschen","demail","polizei","sicherheitsbehörden","korruption","strafrecht","bürger","schützen","bka","itsicherheit","strafbarkeit","sicherheitsbehörden","justiz","bnd","sicherheit","forum","bundespolizei","verfassungsschutz","stuttgart","islamismus","kriminalität","islamismus"
"17","justiz","gericht","justiz","entscheidung","bundesregierung","gewählt","art","entscheidung","todesstrafe","volksbefragungen","bucher","verwaltung","bundesjustizminister","entscheidung","abs","sei","unangemessenheit","kanka","senat","verteidiger","gericht","justizminister","freiheitsstrafe","zeitungen","frau","entwurf","rechtsweg","strafe","mülleremmert","entwurf","recht","rechtsprechung","sexualität","fälle","lenz","delikten","fristenregelung","strafrechtsreformgesetzes","beratung","namensrecht","bad","geschieden","strafverfolgung","rechtsausschuss","beschuldigten","weber","strafe","mordes","strafgesetzbuch","gericht","dezember","lambinus","fälle","rechtshilfe","götz","fällen","erhard","fischer","hannover","richter","freiheitsstrafe","strafaussetzung","flickkonzern","opfer","gesinnung","polizeibeamten","strafrecht","kronzeugenregelung","staatsanwaltschaft","umweltstrafrecht","firmen","strafrechtlichen","polizei","ddr","koko","strafverfolgung","vermögen","geis","rechtspolitik","lanfermann","gerichte","sicherheitsdienste","verbrechen","drogenpolitik","gewalt","rausch","kiep","schutz","gerichte","ströbele","opfer","menschenwürde","kindern","ströbele","ethik","richter","montag","graffiti","speicherung","rechtsausschuss","gehb","pressefreiheit","ströbele","onlinedurchsuchung","rechtsstaat","seiten","sperren","richter","piltz","menschenhandel","kronzeugenregelung","opfern","notz","geheimdienste","behörden","täter","schutz","strafe","nachrichtendienste","wohnungseinbrüche","amri","kriminalität","behörden","waffen","staatsanwaltschaft","islamistischen","plattform","verfassungsschutz"
