"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","millionen","dm","dm","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro"
"2","haushalt","millionen","dm","millionen","haushalt","millionen","millionen","millionen","dm","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","millionen","millionen","milliarden","milliarden","millionen","millionen","milliarden","millionen","milliarden","milliarden","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden"
"3","millionen","haushalt","haushalt","haushalt","millionen","einzelplan","haushalt","haushalt","haushalt","haushalt","milliarden","haushalt","milliarden","gemeinden","milliarden","haushalt","milliarden","milliarden","milliarden","bundespost","milliarden","milliarden","millionen","milliarden","milliarden","finanzplanung","millionen","milliarden","milliarden","millionen","milliarden","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","gemeinden","millionen","millionen","haushalt","millionen","millionen","haushalt","millionen","millionen","haushalt","millionen","haushalt","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","stoltenberg","millionen","haushalt","millionen","nachtragshaushalt","haushalt","millionen","millionen","haushalt","haushalt","haushalt","millionen","haushalt","haushalt","millionen","haushalt","bundesbank","haushalt","prozent","haushalt","haushalt","millionen","haushalt","millionen","haushalt","millionen","haushalt","haushalt","haushalt","haushalt","haushalt","jahr","haushalt","haushalt","haushalt","jahr","haushalt","prozent","haushalt","schulden","haushalt","haushalt","millionen","haushalt","geld","haushalt","schulden","haushalt","milliarden","investitionen","milliarden","millionen","haushalt","millionen","haushalt","milliarden","geld","haushalt","geld","haushalt","geld","haushalt"
"4","haushaltsausschuss","haushaltsausschuss","einzelplan","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","milliarden","einzelplan","millionen","tit","haushalt","millionen","haushalt","milliarden","gemeinden","milliarden","haushalt","haushalt","haushalt","milliarden","haushalt","jahr","haushalt","haushalt","haushalt","millionen","gemeinden","finanzplanung","gemeinden","finanzplanung","haushalt","haushalt","finanzplanung","gemeinden","haushalt","zahlen","haushalt","haushalt","haushalt","haushalt","ausgaben","ausgaben","°o","ausgaben","bund","haushalt","haushalt","ausgaben","haushalt","jahr","millionen","haushalt","ausgaben","millionen","haushalt","millionen","haushalt","stoltenberg","jahr","stoltenberg","stoltenberg","haushalt","jahr","stoltenberg","stoltenberg","haushalt","jahr","jahr","millionen","haushalt","jahr","millionen","haushalt","jahr","millionen","millionen","millionen","jahr","millionen","millionen","bund","millionen","waigel","millionen","millionen","millionen","millionen","haushalt","millionen","jahr","millionen","dm","millionen","millionen","millionen","jahr","millionen","haushalt","schulden","jahr","jahr","haushalt","millionen","millionen","schulden","krise","millionen","millionen","schuldenbremse","millionen","schulden","millionen","geld","millionen","millionen","millionen","millionen","geld","millionen","länder","geld","geld","schuldenbremse","geld","kommunen","geld","millionen","geld"
"5","einzelplan","einzelplan","haushaltsausschuss","einzelplan","ausgaben","haushalt","ausgaben","haushaltsausschuss","ausgaben","haushaltsausschuss","haushaltsausschuss","bundesfinanzminister","bundesfinanzminister","haushalt","betrag","haushaltsausschuss","bundesfinanzminister","ausgaben","bundesfinanzminister","haushalt","bundespost","haushalt","möller","ausgaben","ausgaben","ausgaben","finanzplanung","gemeinden","finanzplanung","möller","finanzplanung","finanzplanung","ausgaben","haushalt","finanzplanung","haushalt","ausgaben","ausgaben","ausgaben","ausgaben","nachtragshaushalt","jahr","ausgaben","haushalt","millionen","ausgaben","ausgaben","millionen","jahr","bund","bund","jahr","jahr","einzelplan","nachtragshaushalt","jahr","finanzplanung","haushalt","haushalt","jahr","jahr","jahr","zahlen","jahr","jahr","stoltenberg","haushalt","haushalt","jahr","jahr","millionen","jahr","jahr","neuen","jahr","jahr","jahr","haushalt","jahr","jahr","länder","jahr","jahr","jahr","haushalt","jahr","jahr","jahr","jahr","haushalt","jahr","jahr","jahr","jahr","jahr","millionen","jahr","prozent","jahr","prozent","koalition","prozent","jahr","jahr","geld","geld","geld","geld","haushalt","jahr","millionen","geld","millionen","geld","investitionen","haushalt","geld","länder","geld","bund","millionen","millionen","millionen","investitionen","bund","millionen","nachtragshaushalt","schuldenbremse"
"6","ausgaben","tit","ausgaben","tit","haushalts","tit","bonn","tit","bundesfinanzminister","milliarden","ausgaben","ausgaben","ausgaben","bundesfinanzminister","erhöhung","bundesfinanzminister","ausgaben","bund","bund","gebührenerhöhung","ausgaben","höhe","ausgaben","gemeinden","haushalts","mittelfristigen","bund","ausgaben","möller","haushalt","ausgaben","ausgaben","haushalt","finanzplanung","haushaltsausschuss","bund","haushaltsausschuss","bund","jahr","bund","jahr","öffentlichen","leicht","jahr","ausgaben","bund","jahr","jahr","ausgaben","haase","jahr","ausgaben","matthöfer","haushaltsausschuss","jahr","ausgaben","jahr","jahr","stoltenberg","haushalt","haushalt","stoltenberg","rund","haushalt","bundesfinanzminister","jahr","millionen","bund","ausgaben","nachtragshaushalt","haushalt","neuen","ausgaben","einheit","neuen","bund","einzelplan","gemeinden","bund","waigel","kommunen","prozent","haushalt","waigel","jahr","ausgaben","sparen","höhe","ausgaben","geld","euro","prozent","prozent","prozent","prozent","ausgaben","prozent","millionen","ausgaben","koalition","millionen","geld","koalition","geld","millionen","prozent","jahr","jahr","jahr","geld","haushalt","jahr","prozent","mittel","geld","kommunen","mittel","bund","kommunen","geld","investitionen","bund","investitionen","millionen","millionen","jahr","jahr","millionen"
"7","tit","kap","haushaltsplan","haushalts","bundesfinanzminister","haushaltsausschusses","haushaltsausschuss","bundesfinanzminister","jahr","kap","bundesfinanzminister","ritzel","haushaltsausschuss","ausgaben","haushalt","ausgaben","bundeshaushalt","haushalts","möller","ausgaben","haushalts","haushaltsausschuss","bundespost","bundeshaushalt","finanzplanung","steuererhöhungen","ausgaben","haushalt","bund","ausgaben","höhe","mittel","mittel","bund","jahr","rund","bund","jahr","bund","gemeinden","höhe","rund","jahre","öffentlichen","bundes","jahr","haushaltsausschuss","konsolidierung","bund","ausgaben","ausgaben","haushalts","haushalt","jahr","höhe","häfele","rund","ausgaben","zahlen","bundesfinanzminister","bundesfinanzminister","bundesfinanzminister","geld","apel","neuverschuldung","bund","neuverschuldung","ausgaben","zahlen","rund","waigel","ausgaben","neuen","bundesländer","länder","länder","bund","neuen","waigel","bund","gemeinden","waigel","prozent","prozent","waigel","bundeshaushalt","eichel","prozent","investitionen","ausgaben","prozent","haushalt","ausgaben","höhe","eichel","prozent","eichel","schulden","prozent","millionen","prozent","schulden","geld","haushalt","jahr","neuverschuldung","prozent","sparen","geld","prozent","schuldenbremse","schulden","haushalt","jahr","schulden","geld","investitionen","mittel","mittel","kommunen","mittel","mittel","jahr","schulden","schulden","schuldenbremse","bund","schulden"
"8","haushaltsplan","haushaltsplan","haushalts","ausgaben","einzelplan","ausgaben","bundesfinanzminister","kap","april","einzelplan","tit","haushaltsausschuss","gemeinden","bund","höhe","tit","rund","haushaltsausschuss","ausgaben","haushaltsausschuss","bund","erhöhung","hessen","jahr","haushaltsausschuss","jahr","finanzreform","mittelfristigen","haushalt","mittelfristigen","bundesfinanzminister","haushalts","rund","erhöhung","haushalts","jahr","haushalts","bundes","haushaltsausschuss","bundeshaushalt","finanzplanung","haushalt","zahlen","bund","apel","verschuldung","höhe","haase","haushaltsausschuss","matthöfer","bundeshaushalt","einzelplan","riedl","haushalts","ausgaben","bundeshaushalt","einzelplan","finanzplanung","bundeshaushalt","ausgaben","ausgaben","subventionen","finanzminister","dienstag","apel","ausgaben","ausgaben","gemeinden","finanzpolitik","geld","kosten","mittel","bundeshaushalt","ausgaben","bundesländern","ausgaben","haushaltsausschuss","kommunen","kommunen","ausgaben","prozent","ausgaben","millionen","bundeshaushalt","ausgaben","prozent","schulden","mittel","prozent","höhe","ausgaben","ausgaben","mittel","schulden","schulden","kürzungen","schulden","geld","eichel","bundeshaushalt","bundeshaushalt","millionen","ausgaben","bundeshaushalt","investitionen","minus","koalition","schuldenbremse","schulden","schulden","prozent","prozent","jahr","kommunen","mittel","schulden","kommunen","jahr","bund","mittel","prozent","jahr","haushalt","kommunen","haushalt","kommunen","kommunen","sondervermögen"
"9","kap","betrag","tit","mittel","haushaltsausschusses","betrag","vogel","ausgaben","rüstung","ausgaben","kap","gemeinden","mittel","haushaltsausschuss","ausgaben","haushalts","jahr","jahr","haushaltsausschuss","haushalts","haushaltsausschuss","bundeshaushalt","bund","bund","jahr","bundesfinanzminister","haushalt","bund","finanzreform","bundesfinanzminister","haushaltsausschuss","höhe","zahlen","mittel","gemeinden","strauss","bundeshaushalt","finanzplanung","rund","jahr","althammer","jahre","rund","bundeshaushalt","jahr","investitionen","gemeinden","finanzminister","bundes","bundesfinanzminister","matthöfer","matthöfer","zinsen","kürzung","milliarde","stoltenberg","haushaltsausschuss","zahlen","ausgaben","investitionen","rund","apel","jahren","bundesfinanzminister","ausgaben","bundesfinanzminister","bundesfinanzminister","kommunen","bundeshaushalt","ausgaben","ausgaben","bundeshaushalt","bundesländern","haushalt","dienstag","bundeshaushalt","bundeshaushalt","waigel","bundeshaushalt","bundeshaushalt","jahr","bundeshaushalt","bundesfinanzminister","ausgaben","bund","mittel","bundeshaushalt","schulden","höhe","mittel","mittel","geld","austermann","geld","bundeshaushalt","höhe","ausgaben","ausgaben","höhe","ausgaben","mehrwertsteuererhöhung","koalition","schulden","ausgaben","prozent","haushalt","ausgaben","prozent","prozent","schuldenbremse","jahr","mittel","ausgaben","investitionen","jahr","bund","jahr","prozent","investitionen","prozent","bund","investitionen","bund","mittel","nachtragshaushalt","mittel","haushalt","investitionen"
"10","haushaltsausschusses","haushaltsausschusses","bundesrechnungshofs","haushaltsplan","mittel","bundesfinanzminister","haushalts","milliarden","rüstungsausgaben","titel","jahr","haushalts","einzelplan","einzelplan","rund","titel","betrag","gemeinden","haushalts","bund","möller","mittel","gemeinden","haushalts","höhe","haushalt","haushaltsausschuss","jahr","ausgaben","haushalts","rund","jahre","bund","steuererhöhungen","bund","jahre","finanzplanung","länder","länder","rund","haushalt","bund","jahren","bundesfinanzminister","haushalt","haushaltsausschuss","bund","bundesfinanzminister","höhe","geld","bundesfinanzminister","riedl","bundeshaushalt","höhe","bund","zahlen","mittelfristige","öffentlichen","finanzplanung","apel","apel","zahlen","subventionen","ausgaben","zahlen","apel","finanzpolitik","rund","jahre","bund","steuererhöhungen","bundesländer","einzelplan","schulden","bundeshaushalt","bundesländer","november","dienstag","ausgaben","kommunen","ausgaben","bund","finanzminister","höhe","bundeshaushalt","höhe","ausgaben","ausgaben","einzelplan","prozent","schulden","investitionen","schulden","eichel","ausgaben","mittel","einzelplan","öffentlichkeitsarbeit","bundeshaushalt","mehrwertsteuererhöhung","ausgaben","steinbrück","steinbrück","koalition","ausgaben","steuersenkungen","wachstum","ausgaben","investitionen","einzelplan","nachtragshaushalt","ausgaben","mittel","einzelplan","etat","jahr","etat","kommunen","länder","investitionen","jahr","länder","prozent","investieren","jahr","investitionen","investitionen","mittel"
"11","betrag","ausgaben","haushaltsausschusses","haushaltsausschusses","bundeshaushalt","summe","bindungsermächtigungen","betrag","etzel","ansatz","haushalts","finanzminister","jahr","haushalts","länder","jahr","haushalts","länder","jahr","bundeshaushalt","jahr","betrag","länder","höhe","gemeinden","jahre","jahr","bundes","haushaltsausschuss","dring","haushalts","rund","betrag","höhe","ausgaben","steuererhöhungen","länder","rund","einzelplan","bundes","bund","höhe","jahr","apel","öffentlichen","bundes","dienstag","°o","matthöfer","finanzpolitik","bundes","bund","häfele","ausgaben","zahlen","schulden","matthöfer","finanzen","bund","finanzminister","bundeshaushalt","bundeshaushalt","stoltenberg","zahlen","höhe","rund","bundeshaushalt","zahlen","bund","mittel","finanzierung","länder","länder","finanzierung","finanzminister","einsparungen","ausgaben","schulden","einzelplan","finanzminister","haushalt","kommunen","bund","finanzminister","höhe","waigel","höhe","kürzungen","mittel","bund","investitionen","höhe","eichel","mittel","finanzminister","geld","geld","mittel","millionen","geld","geld","mittel","prozent","erhöhung","steinbrück","investitionen","mittel","mittel","höhe","mittel","ausgaben","einzelplan","steuererhöhungen","ausgaben","mehr","investieren","einzelplan","investitionen","jahr","jahr","scholz","kommunen","investieren","bund","investitionen","bund","schulden","ausgaben"
"12","ministerium","ausserordentlichen","mittel","betrag","verwaltung","haushaltsplan","bundeshaushalt","haushalts","haushaltsplan","bundesfinanzminister","einzelplan","ausserordentlichen","tit","tit","jahr","betrag","bund","bundes","betrag","jahr","bundeshaushalt","bundesfinanzminister","haushalts","haushaltsausschuss","steuererhöhungen","finanzpolitik","länder","finanzreform","haushalts","erhöhung","althammer","jahr","jahre","milliarde","milliarde","gemeinden","gemeinden","bundeshaushalt","öffentlichen","öffentlichen","rund","bundes","bund","haushaltsausschuss","investitionen","rund","haushalts","bundes","einzelplan","haushalt","haase","hoppe","neuverschuldung","geld","grössenordnung","nachtragshaushalt","kürzungen","bundesfinanzminister","rund","rund","zahlen","bund","höhe","jahre","rund","bremen","gemeinden","länder","haushalts","haushaltsausschuss","bundesfinanzminister","rund","bund","bundesländern","bundesländer","rund","höhe","ausgaben","mittel","einzelplan","waigel","einzelplan","kommunen","bund","länder","einzelplan","prozent","investitionen","geld","schulden","höhe","schulden","neuverschuldung","finanzminister","einzelplan","investitionen","höhe","höhe","kampeter","steinbrück","steinbrück","ausgaben","bundeshaushalt","schulden","koalition","jahr","schulden","schulden","mittel","neuverschuldung","mehr","mehr","mehr","schulden","null","prozent","schulden","haushalt","investieren","ländern","mehr","mehr","mittel","schuldenbremse","länder","etat","scholz","jahr"
"13","ministeriums","haushalts","betrag","summe","rechnungsjahr","mittel","rechnungsjahr","mittel","dmark","betrag","ansatz","mittel","erhöhung","höhe","bundes","möller","bundes","bundeshaushalt","höhe","post","höhe","ausgaben","bundeshaushalt","steuererhöhungen","erhöhung","ergänzungsabgabe","erhöhung","investitionen","länder","strauss","leicht","bundeshaushalt","haushalts","bundeshaushalt","jahre","finanzen","rund","haushalts","gemeinden","finanzplanung","bundes","bundeshaushalt","haushalt","gemeinden","finanzen","haushalts","haase","finanzpolitik","bundeshaushalt","schulden","häfele","finanzminister","bundesfinanzminister","bund","erhöhung","neuverschuldung","finanzminister","bundeshaushalt","dezember","nachtragshaushalt","finanzminister","finanzpolitik","jahre","finanzminister","erhöhung","zahlen","finanzminister","stoltenberg","neuverschuldung","bundeshaushalt","zahlen","geld","haushaltsausschuss","finanzminister","bund","finanzminister","finanzminister","rund","höhe","gemeinden","bundes","höhe","ausgaben","einzelplan","geld","haushaltsentwurf","mittel","milliarde","schulden","finanzminister","bundeshaushalt","mittel","einzelplan","austermann","mittel","eichel","mittel","investitionen","einnahmen","einnahmen","höhe","mehrwertsteuererhöhung","einzelplan","höhe","bundeshaushalt","schuldenbremse","höhe","einzelplan","zahlen","ausgaben","zahlen","neuverschuldung","herren","mehr","einzelplan","mittel","bund","ausgaben","prozent","land","investieren","bundeshaushalt","länder","jahr","mittel","schulden","schuldenbremse","einzelplan"
"14","haushalts","mittel","kap","kap","vorbemerkungen","kap","vorwegbewilligungen","vogel","haushaltsjahr","haushalts","vogel","tit","haushalts","rund","mittel","kürzung","länder","vogel","bundeshaushalt","defizit","betrag","bund","bundesfinanzminister","rund","bund","bund","höhe","erhöhung","jahr","bundeshaushalt","mittel","leicht","mittelfristigen","ausgaben","zahlen","hoch","jahr","öffentlichen","bundeshaushalt","länder","öffentlichen","jahren","bundes","leicht","länder","öffentlichen","bundes","bundeshaushalt","jahre","höhe","finanzminister","haushaltsausschuss","einsparungen","bundeshaushalt","rund","bundesfinanzminister","ausgaben","neuverschuldung","einzelplan","zahlen","höhe","finanzminister","kosten","bundes","geld","finanzminister","bund","mittel","weng","zahlen","finanzieren","bundesländern","bundesländer","höhe","ausgaben","waigel","neuen","finanzminister","gemeinden","schulden","bundeshaushalt","mittel","höhe","geld","zahlen","finanzminister","kürzungen","geld","austermann","einnahmen","nächsten","jahre","geld","ausgaben","neuverschuldung","schulden","austermann","verschuldung","zahlen","höhe","konsolidierung","bundeshaushalt","dienstag","steigen","mehr","millionen","neuverschuldung","krise","steuersenkungen","mehr","finanzieren","koalition","dienstag","etat","ausgaben","länder","bundeshaushalt","ländern","schäuble","mehr","kommunen","einzelplan","mehr","null","investieren","ausgaben","ausgaben","etat"
"15","mittel","ministerium","rechnungsjahr","ausserordentlichen","ausserordentlichen","vorwegbewilligung","höhe","haushaltsausschusses","bindungsermächtigungen","jahr","haushaltsausschusses","rechnungsjahr","betrag","schoettle","einnahmen","einzelplan","einnahmen","ausserordentlichen","ländern","möller","haushaltsplan","rund","höhe","möller","kürzungen","höhe","bundesfinanzminister","länder","dring","jahre","jahr","bund","jahr","länder","öffentlichen","höhe","bundes","gemeinden","höhe","jahre","jahre","steuererhöhungen","bundeshaushalt","haushalte","finanzpolitik","finanzen","bundeshaushalt","verschuldung","haase","bundes","haushalts","bundeshaushalt","bund","bundes","westphal","mark","einnahmen","carstens","geld","schulden","haushaltsausschuss","investitionen","schulden","neuverschuldung","milliarde","gemeinden","steuerreform","haushaltsausschuss","waigel","waigel","finanzpolitik","waigel","finanzminister","öffentlichen","einheit","höhe","bundes","einheit","länder","haushaltsausschuss","höhe","kürzungen","länder","schulden","rund","haushalts","bund","rund","bundeshaushalt","austermann","eichel","finanzieren","höhe","haushalts","austermann","subventionen","dienstag","zahlen","haushalte","mittel","schulden","konjunktur","mittel","finanzminister","mittel","nachtragshaushalt","krise","mehr","neuverschuldung","etat","verschuldung","schuldenbremse","vier","prozent","kommunen","null","haushaltsberatungen","kosten","mehr","schäuble","bundeshaushalt","ausgaben","kommunen","etat","höhe","nächsten","mittel","nachtragshaushalt"
"16","aufgaben","ansatz","reichshaushaltsordnung","ordentlichen","etat","haushalts","betrag","ansatz","jahre","mittel","betrag","jahr","finanzminister","jahr","finanziellen","bund","rechnungsjahr","ländern","rund","tit","mittel","schätzungen","osswald","bundeshaushalts","möller","haushalts","haushalts","jahre","höhe","rund","jahre","haushaltsausschuss","höhe","öffentlichen","rund","finanzplanung","einzelplan","erhöhung","finanzplanung","verschuldung","gemeinden","apel","öffentlichen","finanzen","finanzminister","gemeinden","bundesfinanzminister","matthöfer","geld","finanzminister","geld","geld","westphal","rund","neuverschuldung","haushalts","zahlen","apel","öffentlichen","jahre","jahre","rund","bundesfinanzminister","finanzpolitik","schulden","finanzplanung","rund","jahre","nachtragshaushalt","haushalts","haushalts","höhe","geld","länder","mittel","mittel","kürzungen","länder","rund","prozent","ländern","geld","bundeshaushalt","rund","mittel","etat","investitionen","bundeshaushalt","rund","investitionen","einzelplan","bundesfinanzminister","finanzminister","dm","dienstag","konsolidierung","bundeshaushalt","austermann","haushaltspolitik","haushalte","nettokreditaufnahme","investitionen","investitionen","entlastung","nächsten","konjunkturpaket","sparen","koalition","mehr","koalition","mittel","bundeshaushalt","politik","null","investieren","mehr","ausgaben","mehr","etat","investieren","länder","investieren","ausgaben","ausgaben","scholz","länder","höhe","investieren"
"17","bundesministeriums","titel","rund","ansatz","bundes","titel","rund","jahr","rechnungsjahr","haushaltsplan","bundeshaushalt","lenz","schäfer","einnahmen","milliarde","gemeinden","höhe","betrag","mittel","mittel","minderausgaben","insgesamt","jahr","subventionen","investitionen","finanzreform","mittelfristigen","haushalts","strauss","gemeinden","hermsdorf","bundes","leicht","jahr","bundes","mittelfristigen","höhe","zahlen","bundes","althammer","mittel","einsparungen","betrag","jahre","nettokreditaufnahme","bundeshaushalt","rund","haushalts","bundesfinanzminister","steuern","mittel","höhe","höhe","haase","geld","haushaltsentwurf","haushalts","bund","nächsten","neuverschuldung","geld","ausgaben","gestiegen","geld","finanzminister","steuerreform","zahlen","höhe","mittel","höhe","bundeshaushalt","bund","haushalts","mittel","einzelplan","neuen","rund","bundes","schulden","mittel","schulden","länder","koalition","mittel","kommunen","geld","finanzminister","finanzminister","nächsten","eichel","austermann","bundeshaushalt","investitionen","defizit","höhe","finanzminister","kürzungen","haushaltsausschuss","kürzen","finanzminister","mittel","höhe","einnahmen","einnahmen","dienstag","höhe","einzelplan","bundeshaushalt","bundeshaushalt","sparen","sparen","etat","steinbrück","bundeshaushalt","bundeshaushalt","höhe","investieren","höhe","bundeshaushalt","jahren","ausgaben","etat","bundeshaushalt","prozent","milliarde","investieren","milliarde","ergänzungshaushalt"
"18","abteilung","abteilung","fehlbetrag","aufgaben","haushaltsjahr","vogel","haushaltsausschusses","ritzel","bundeshaushalt","haushaltsausschusses","haushaltsjahr","betrag","april","mittel","verfügung","höhe","mittel","körperschaftsteuer","länder","rund","conring","möller","rund","kürzung","bundesfinanzminister","bundes","strauss","rund","bundesfinanzminister","höhe","einzelplan","erhöhung","erhöhung","jahre","höhe","zuweisungen","erhöhung","höhe","jahre","haushaltsausschuss","bundeshaushalt","mehrwertsteuer","haushaltsausschuss","rund","bundeshaushalt","jahre","schulden","schulden","mittel","nachtragshaushalt","dienstag","bundesbank","zahlen","zahlen","finanzierung","rund","kürzung","finanzpolitik","kürzungen","höhe","investitionen","jahre","einkommen","rund","haushalt","bundeshaushalt","bundes","bundeshaushalt","subventionen","finanzminister","rund","finanzierung","einheit","geld","höhe","weng","länder","bund","bundes","länder","neuen","finanzminister","steuerschätzung","haushalts","finanzierung","saarland","einsparungen","jahre","eichel","bundeshaushalt","geld","september","bundesfinanzminister","bundeshaushalt","geld","haushaltsausschuss","finanzminister","finanzminister","nachtragshaushalt","finanzpolitik","haushalte","finanzminister","höhe","mehr","steuersenkungen","ausgaben","schuldenbremse","investitionen","koalition","investitionen","investitionen","politik","höhe","milliarde","prozent","nachtragshaushalt","prozent","bundes","ländern","erhöhen","etat","stellen","finanzminister","einzelplan","nächsten","einzelplan","prozent","bundeshaushalt"
"19","rechnungsjahr","aufgaben","ordentlichen","bund","summe","fonds","einzelplan","höhe","kosten","ritzel","gemeinden","einzelplan","bundeshaushalt","ausserordentlichen","haushaltsausschuss","bundes","nachtragshaushalt","tit","bundes","stoltenberg","nachtragshaushalt","verfügung","betrag","betrag","bundes","erhöhung","finanzminister","strauss","jahre","mittelfristige","zahlen","möller","fortschreibung","haushalts","bundeshaushalt","grössenordnung","jenninger","bundesfinanzminister","mittel","höhe","zahlen","haushaltsausschuss","finanzminister","bundes","rund","bundesfinanzminister","verschuldung","bund","haushalts","zinsen","jahre","bundes","september","kürzungen","haushalts","bund","stoltenberg","rund","jahre","bund","einkommen","geld","zinsen","subventionen","investitionen","neuverschuldung","länder","investitionen","rund","november","neuen","steuererhöhungen","mittel","bundes","bundesfinanzminister","bundesfinanzminister","bundesländern","höhe","geld","bundes","haushalte","einsparungen","haushaltslöcher","bundesbank","nächsten","länder","sparpaket","eichel","dienstag","mehr","konsolidierung","regierungszeit","einnahmen","zahlen","bundesfinanzminister","zahlen","minderausgabe","eigenheimzulage","bundesfinanzminister","erhöhung","einnahmen","konsolidierung","finanzminister","zahlen","höhe","steinbrück","bundeshaushalt","kürzen","ausgaben","krise","schneider","sparen","damen","bund","milliarde","schäuble","länder","schäuble","einzelplan","dienstag","schulden","zukunft","zusätzlich","bundeshaushalt","null","bundeshaushalt","finanzminister","haushaltsberatungen"
