k,start,end
1,1967-09-06,1968-01-26
1,1972-12-13,1973-06-20
1,1975-10-22,1976-05-14
1,1983-03-29,1983-10-14
1,1994-11-10,1995-06-02
1,1998-10-26,1999-05-07
1,2013-10-22,2014-05-09
4,2002-10-17,2003-03-20
6,1954-05-06,1954-11-19
6,1954-12-08,1955-06-23
6,2008-09-16,2009-03-27
7,1979-03-07,1979-09-21
10,1962-12-12,1963-06-28
11,1989-11-15,1990-05-31
11,1991-09-03,1992-01-24
13,1990-12-20,1991-06-21
13,2017-10-24,2018-05-18
14,1954-05-06,1954-11-19
15,1955-06-28,1956-01-20
16,1954-05-06,1954-11-19
16,1972-12-13,1973-06-20
16,2013-04-17,2013-09-03
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
17,1998-10-26,1999-05-07
18,1954-12-08,1955-06-23
18,1998-10-26,1999-05-07
18,2001-08-29,2002-03-21
18,2021-10-26,2022-06-03
19,1956-02-02,1956-07-07
19,1957-10-15,1958-05-09
19,1982-03-24,1982-06-25
19,1982-11-24,1983-01-20
19,1984-05-24,1984-11-16
19,2014-05-21,2014-12-05
23,1954-12-08,1955-06-23
23,1957-10-15,1958-05-09
25,1990-12-20,1991-06-21
29,1958-12-09,1959-06-25
29,1992-02-12,1992-07-22
29,1998-10-26,1999-05-07
29,2006-05-19,2006-12-01
29,2009-10-27,2010-05-21
29,2014-05-21,2014-12-05
29,2019-01-16,2019-06-28
