k,start,end
1,1966-12-09,1967-06-30
1,1967-09-06,1968-01-26
1,1969-10-20,1970-03-20
1,1972-12-13,1973-06-20
1,1974-09-18,1975-03-21
1,1975-10-22,1976-05-14
1,1976-12-14,1977-06-24
1,1979-09-26,1980-03-21
1,1983-03-29,1983-10-14
1,1990-12-20,1991-06-21
1,1994-11-10,1995-06-02
1,1998-10-26,1999-05-07
1,2002-10-17,2003-03-20
1,2005-10-18,2006-05-11
1,2013-10-22,2014-05-09
1,2014-12-17,2015-07-03
1,2019-01-16,2019-06-28
2,1960-02-10,1960-07-01
2,1974-09-18,1975-03-21
2,1975-04-09,1975-10-17
2,1977-09-07,1978-01-20
2,1986-01-15,1986-06-27
2,1987-09-09,1988-03-11
3,1995-06-21,1995-12-08
3,2017-10-24,2018-05-18
4,1999-06-08,1999-12-03
4,2001-08-29,2002-03-21
4,2002-10-17,2003-03-20
4,2014-05-21,2014-12-05
5,1954-12-08,1955-06-23
6,1954-05-06,1954-11-19
6,1954-12-08,1955-06-23
6,1956-09-27,1957-03-15
6,1957-03-20,1957-08-29
6,1981-09-09,1981-11-12
6,1994-11-10,1995-06-02
6,2008-09-16,2009-03-27
7,1972-12-13,1973-06-20
7,1975-10-22,1976-05-14
7,1979-03-07,1979-09-21
8,1990-06-01,1990-11-22
9,1956-09-27,1957-03-15
10,1962-12-12,1963-06-28
10,1983-03-29,1983-10-14
10,1994-11-10,1995-06-02
10,2012-09-11,2013-03-22
10,2021-10-26,2022-06-03
11,1989-11-15,1990-05-31
11,1991-09-03,1992-01-24
11,2014-12-17,2015-07-03
13,1990-12-20,1991-06-21
13,1991-09-03,1992-01-24
13,2015-07-17,2016-01-29
13,2017-10-24,2018-05-18
13,2021-10-26,2022-06-03
14,1954-05-06,1954-11-19
14,1997-09-09,1998-03-27
15,1954-12-08,1955-06-23
16,1953-10-06,1954-04-30
16,1965-10-19,1966-05-06
16,1969-10-20,1970-03-20
16,1972-12-13,1973-06-20
16,1978-09-01,1979-02-16
16,1999-12-15,2000-07-07
16,2009-04-22,2009-09-08
16,2009-10-27,2010-05-21
16,2013-04-17,2013-09-03
16,2013-10-22,2014-05-09
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
16,2021-10-26,2022-06-03
17,1954-05-06,1954-11-19
17,1994-11-10,1995-06-02
17,1998-10-26,1999-05-07
17,2002-10-17,2003-03-20
17,2018-06-06,2018-12-14
17,2021-10-26,2022-06-03
18,1954-12-08,1955-06-23
18,1983-03-29,1983-10-14
18,1990-12-20,1991-06-21
18,1998-10-26,1999-05-07
18,2001-08-29,2002-03-21
18,2010-12-16,2011-07-08
18,2013-10-22,2014-05-09
18,2017-10-24,2018-05-18
18,2021-10-26,2022-06-03
19,1956-02-02,1956-07-07
19,1957-10-15,1958-05-09
19,1982-03-24,1982-06-25
19,1982-11-24,1983-01-20
19,1984-05-24,1984-11-16
19,1999-06-08,1999-12-03
19,2009-10-27,2010-05-21
19,2014-05-21,2014-12-05
20,1954-12-08,1955-06-23
22,1954-12-08,1955-06-23
22,1972-12-13,1973-06-20
22,1991-09-03,1992-01-24
22,2017-10-24,2018-05-18
23,1954-12-08,1955-06-23
23,1957-03-20,1957-08-29
23,1957-10-15,1958-05-09
23,1960-02-10,1960-07-01
23,1972-01-19,1972-06-23
23,1972-12-13,1973-06-20
23,1974-02-13,1974-07-25
23,1974-09-18,1975-03-21
23,1975-10-22,1976-05-14
23,1983-03-29,1983-10-14
23,1991-09-03,1992-01-24
23,1995-06-21,1995-12-08
23,1998-10-26,1999-05-07
24,1954-12-08,1955-06-23
24,1956-09-27,1957-03-15
24,1990-12-20,1991-06-21
24,1996-01-17,1996-07-09
24,1998-10-26,1999-05-07
24,1999-06-08,1999-12-03
24,2005-10-18,2006-05-11
24,2009-10-27,2010-05-21
24,2018-06-06,2018-12-14
25,1954-05-06,1954-11-19
25,1972-12-13,1973-06-20
25,1990-12-20,1991-06-21
25,1993-09-29,1994-04-15
26,1967-09-06,1968-01-26
26,1983-10-26,1984-05-04
26,1992-02-12,1992-07-22
26,1992-09-08,1993-03-05
26,2010-12-16,2011-07-08
27,2001-02-07,2001-07-06
27,2008-02-13,2008-06-27
28,2017-10-24,2018-05-18
29,1954-12-08,1955-06-23
29,1957-10-15,1958-05-09
29,1958-12-09,1959-06-25
29,1966-12-09,1967-06-30
29,1992-02-12,1992-07-22
29,1994-11-10,1995-06-02
29,1998-10-26,1999-05-07
29,2006-05-19,2006-12-01
29,2009-10-27,2010-05-21
29,2014-05-21,2014-12-05
29,2019-01-16,2019-06-28
