"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","demokratie","amnestie","amnestie","bundesprüfstelle","stahlhelm","kirche","kirche","kirche","kirche","evangelischen","gießen","beweis","kirche","kirche","gemeinden","staat","könen","ärzte","verbraucher","werbung","verbraucher","werbung","veröffentlichung","bezeichnungen","wein","sport","sport","olympischen","wein","olympischen","schriftsteller","umweltschutz","liter","umweltschutz","spiele","voraussagen","landschaftspflege","bund","umweltschutz","sport","gewässer","sport","abwasserabgabe","kernkraftwerke","plutonium","antarktis","kernkraftwerke","luft","umwelt","umweltschutz","cadmium","nordsee","nordsee","abfälle","hamburg","umweltschutz","wolfgramm","umweltschutz","umweltschutz","buschhaus","umwelt","umweltschutz","umweltschutz","umwelt","nordsee","umwelt","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","umwelt","rio","umwelt","umwelt","umwelt","umwelt","merkel","naturschutz","umwelt","umwelt","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umweltpolitik","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","klimaschutz","emissionshandel","umweltpolitik","klimaschutz","reach","umweltpolitik","umwelt","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","umwelt","umwelt","klimaschutz","klimaschutz","klimaschutz","fracking","klimaschutz","fracking","klimaschutz","klimaschutz","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz"
"2","todesstrafe","straftaten","freiheit","kirche","goslar","evangelischen","zivilehe","evangelischen","heinemann","kirche","musterung","verteidigung","evangelischen","evangelischen","freien","freien","gemeinden","butter","werbung","arzneimittel","beyer","arzneimittel","werbung","orchester","winzer","sports","sportmedizin","sport","satzung","spiele","spiele","umwelt","benzin","umweltschutzes","abfallbeseitigung","rundfunk","umweltschutz","wald","luft","sports","bodensee","kernenergie","abgabe","entsorgung","kernkraftwerke","schwarzarbeit","antarktis","bundesimmissionsschutzgesetzes","stoffe","umweltpolitik","lebensmitteln","umweltschutz","gutachten","laufs","wolfgramm","luft","umweltschutz","wald","umwelt","umweltschutz","umweltschutz","benzin","nordsee","umweltschutz","umwelt","töpfer","umwelt","umwelt","umwelt","umwelt","umweltschutz","töpfer","umweltpolitik","umwelt","naturschutz","töpfer","verwertung","umweltpolitik","umwelt","umwelt","naturschutz","naturschutz","naturschutz","merkel","umwelt","umwelt","ökologische","nachhaltigkeit","umwelt","klimaschutz","umweltpolitik","klimaschutz","ökologischen","wald","emissionshandel","klimaschutz","klimaschutz","nachhaltigkeit","klimaschutz","klimaschutz","naturschutz","klimawandel","bali","gabriel","gabriel","meere","kopenhagen","holz","cancún","durban","klimaschutz","fracking","umwelt","umwelt","hendricks","klimaschutz","paris","klimaschutz","klimaschutzplan","umwelt","co","klimaschutz","klimaschutz","co","klimawandel","nachhaltigkeit","klimaschutzgesetz","nachhaltigkeit"
"3","demokratischen","taten","straftaten","schrift","wiedergutmachung","wehrpflicht","strafe","wehrpflicht","evangelischen","merten","territorialverteidigung","beleidigt","kirchen","kirchen","gemeinde","freie","sozialhilfe","sozialhilfe","verbrauchers","gesundheit","lebensmitteln","beirat","frau","bayerischen","weines","leibeserziehung","sportförderung","spiele","weingesetz","flammenpfennig","olympischen","umweltschutzes","blei","umwelt","olympischen","fernsehanstalten","naturschutz","waldes","umweltbundesamt","kernenergie","umweltschutz","sports","behindertensport","kernenergie","jentsch","antarktisvertrag","schäfer","umweltschutz","strahlenbelastung","stoffe","umweltschutz","elbe","stoffe","endlagerung","gewässerschutz","ta","hamburg","waldsterben","umweltpolitik","umwelt","umweltpolitik","tempolimit","luft","umweltpolitik","umweltschutz","industrie","umweltpolitik","umweltpolitik","umweltpolitik","nordsee","lippold","schmidbauer","töpfer","ostsee","töpfer","rio","töpfer","enquetekommission","umweltpolitik","merkel","merkel","merkel","merkel","umwelt","naturschutz","ökologische","umwelt","umweltpolitik","umweltpolitik","umwelt","klimaschutz","johannesburg","umwelt","verpackungsverordnung","umweltpolitik","trittin","reach","umwelt","umwelt","umwelt","klimaschutz","emissionshandel","gabriel","klimawandel","emissionshandel","klimawandel","umwelt","umwelt","meere","wald","asbest","klimaschutz","hochwasserschutz","klimawandel","umwelt","umwelt","umwelt","umwelt","marrakesch","hendricks","umwelt","klimawandel","klimawandel","klima","co","umwelt","klimapolitik","klima"
"4","freiheit","handlungen","wiedergutmachung","inhaftierten","trauung","konkordat","ordnung","wehrpflichtigen","synode","synode","unrecht","kirche","kriegsdienstverweigerer","gehaltssumme","jugendhilfe","gesamtplanung","fürsorge","heilverfahren","wettbewerb","verbraucher","satzung","katalog","kurlbaumbeyer","schulhoff","säure","spiele","werbung","sports","sport","sport","künstler","wasser","bleigehalt","umweltprogramm","umweltschutzes","umweltschutz","kompetenz","umweltschutz","reinhaltung","sportkonferenz","stoffe","anlagen","abwasserabgabengesetz","kernkraftwerken","dsb","satelliten","betrieb","kernkraftwerke","sport","umwelt","bestrahlung","schiffe","abfallbeseitigung","wolfgramm","gewässer","umwelt","spranger","luft","waldsterben","wald","zimmermann","umwelt","umwelt","industrie","grundwasser","umweltpolitik","umweltschutz","naturschutz","umweltschutz","umweltschutz","ökologischen","naturschutz","reaktorsicherheit","industrieländer","umweltschutz","naturschutz","umweltpolitik","töpfer","klimaschutz","umweltschutz","umweltpolitik","umweltschutz","natur","naturschutz","umweltpolitik","nachhaltigkeit","klimaschutz","ökologische","haag","trittin","natur","umweltpolitik","ökologische","ökologisch","trittin","umwelt","trittin","wald","trittin","reach","gabriel","umwelt","co","natur","umwelt","naturschutz","wald","naturschutz","umwelt","waldstrategie","energiesparlampen","holz","meeresforschung","emissionshandel","lima","hendricks","hendricks","hendricks","paris","barbara","klimawandel","umwelt","emissionshandel","klimawandel","klimakrise","co","klimawandel","umwelt"
"5","staat","begangen","legion","wiedergutmachung","stuhl","gewissen","arndt","unterhaltssicherungsgesetz","kirchen","pressereferat","fink","gruppen","vereinigungen","heiligen","verbände","kirche","freien","fachlich","raumordnungspolitik","hamm","frau","arzneimitteln","stiftung","lebensmittel","weingesetz","vereinen","goldenen","sportförderung","vorstand","schwarmstedt","atü","luft","gramm","abfallbeseitigung","umweltschutz","umwelt","umwelt","landschaftspflege","leistungssport","sportförderung","wasch","abfälle","gewässer","anlagen","atomgesetzes","radioaktiven","kw","ta","chemikalien","industrie","luft","chemischen","elbe","übereinkommen","wasser","spranger","niedersachsen","umwelt","natur","nordsee","autos","luft","stoffe","wallmann","naturschutz","umweltschutz","nordsee","reaktorsicherheit","stoffe","anlagen","töpfer","ökologischen","ökologischen","töpfer","feige","dsd","naturschutz","ökologische","umweltschutz","reaktorsicherheit","pvc","umweltpolitik","umweltpolitik","umweltschutz","merkel","ökologischen","loske","ökologischen","trittin","ökologische","umwelt","emissionshandel","naturschutz","novelle","umwelt","naturschutz","umwelt","trittin","wälder","umweltschutz","klimawandel","tonnen","naturschutz","umwelt","klima","delfine","klimawandel","vielfalt","prozent","arktis","rio","baustoffe","hochwasser","klimapolitik","klimapolitik","lima","klimawandel","naturschutz","umwelt","nachhaltigkeitsstrategie","erreichen"," grad","emissionen","klimapaket","klima","klimakrise","ziele","kreislaufwirtschaft"
"6","politischen","unrecht","strafe","urteile","reichskonkordats","zenker","bundeswehr","evangelische","christlichen","heiland","derartige","auto","beauftragten","vereinigungen","staat","sozialhilfe","staat","berufsgenossenschaften","verbraucheraufklärung","arzneimittelgesetz","verwaltungsrat","krankheiten","schiller","trennung","weinbau","sportstätten","sports","sportbund","weinwirtschaft","olympische","kohlensäuredruck","prinz","pro","industrie","künstler","genscher","schneider","umwelt","umweltschutzes","vereine","industrie","nutzung","wasser","olympischen","kernkraftwerken","laufs","kernkraftwerken","umweltpolitik","umweltschutz","chemikaliengesetz","lebensmittel","chemische","duve","bundesregierung","spranger","umweltpolitik","hartenstein","späth","wald","umweltpolitik","auto","umweltpolitik","umweltpolitik","chemischen","stoffe","stoffe","industrie","umweltschutz","ökologischen","stoffe","enquetekommission","umweltpolitik","enquetekommission","ökologischen","umweltpolitik","verpackungsverordnung","umweltschutz","feige","maßnahmen","natur","umweltschutz","reaktorsicherheit","umweltschutz","kioto","nachhaltigkeit","loske","naturschutz","ökosteuer","ökosteuer","umweltpolitik","umweltschutz","trittin","ökologisch","wälder","ökologisch","industrie","umweltschutz","band","mechanismen","beirat","reaktorsicherheit","naturschutz","tonnen","tonnen","automobilindustrie","umwelt","emissionen","cancún","chemikalien","kormoran","arktis","jagd","hersteller","baerbock","ziele","meere","konferenz","paris","hendricks","naturschutz","klimapolitik","ziele","bepreisung","emissionshandel","green","klimawandel","co","klimawandel"
"7","verbrechen","mann","condor","strafe","verstöße","wehrdienst","eheschließung","bundeswehr","arndt","geistlichen","katholischen","partei","beistand","fleiß","selbstverwaltung","cdu","sozialhilfegesetz","hamm","verbraucherpolitik","beyer","konsumenten","hamm","schmücker","kritik","orchester","olympischen","kubitza","sportler","naßverbesserung","schmid","sport","lärm","gruhl","gruhl","abfallbeseitigungsgesetz","sage","naturschutzes","grundgesetzänderung","gruhl","wald","umwelt","kernkraftwerken","schädlichkeit","kernkraftwerk","mengen","abfälle","umwelt","pflanzen","kernkraftwerken","chemischen","umweltpolitik","schäden","nordseegutachten","zwischenlagerung","duve","hartenstein","bremen","umweltpolitik","luft","luft","tempolimit","wald","ta","ibbenbüren","natur","nordsee","stoffe","fckw","industrie","umweltpolitik","pvc","reaktorsicherheit","naturschutz","naturschutz","natur","umweltpolitik","feige","lippold","naturschutz","umweltpolitik","ökologische","verordnung","wald","klimaschutz","umweltschutz","umweltschutz","ökologischen","trittin","ökologisch","nachhaltigkeit","trittin","rio","trittin","umwelt","kiotoprotokoll","tonnen","kiotoprotokoll","reach","kelber","nachhaltigkeit","umweltpolitik","co","umwelt","coemissionen","klimawandel","nutzung","prozent","kopenhagen","kormoran","umwelt","fracking","eu","emissionshandel","fracking","fracking","paris","grad","erdgas","phosphor","reaktorsicherheit","emissionshandel","emissionen","klima","klimapolitik","nachhaltigkeit","klima","nachhaltigkeit","klimakrise"
"8","menschen","verkehrsdelikte","cillien","staat","geistlichen","kirchen","staat","einführung","rat","kirchlichen","verlautbarung","möglichkeiten","betreuung","beträchtliche","träger","gesellschaft","prinzip","herstellungsdatum","beyer","bestellungen","raumordnungspolitik","heilbehandlung","bier","hochsprache","kurlbaumbeyer","leibesübungen","rechnungsprüfungsausschuß","sportrat","stiftung","leistungszentren","prinz","industrie","umweltschutz","luft","umwelt","besondere","umweltschutzes","stoffe","taluft","bund","innern","endlagerung","sport","sportorganisationen","strahlenbelastung","beitritt","strahlenschutzverordnung","kernkraftwerk","anlagen","stoffen","asbest","bucht","abfälle","radioaktiver","ddr","umweltschutzes","schweizerischen","großfeuerungsanlagenverordnung","pflanzen","zimmermann","wald","auto","industrie","rhein","pflanzenschutzmittel","naturschutz","fckw","nordsee","fckw","industrie","schutz","umweltschutz","stoffe","enquetekommission","genehmigungsverfahren","feige","caspersmerk","umweltschutz","lippold","homburger","nordsee","bundesministerin","boden","bundesministerin","wald","naturschutz","trittin","nachhaltige","ökologische","ökosteuer","ökosteuer","nachhaltige","ökosteuer","innovationsklausel","verpackungsverordnung","emissionshandels","industrie","tierversuche","industrie","industrie","tonnen","zertifikate","coemissionen","meere","batterien","klimawandels","konferenz","biologischen","kältemittel","röttgen","waldstrategie","natur","backloading","hendricks","emissionshandel","climate","ziele","klimaschutzplan","klärschlamm","hochwasser","emissionen","umweltpolitik","umwelt","klimaschutzgesetz","industrie","klimapolitik","klima","co"
"9","schutz","amnestiegesetz","straffreiheit","verurteilt","eheschließung","kriegsdienstverweigerung","schwarzhaupt","wehrdienst","pius","seelsorge","anordnung","evangelischen","beauftragte","grundsätzliche","könen","fallen","kommunale","hausfrau","markt","arzneimitteln","werbung","behandlungen","gesundheitswesen","arzneimittel","hofmann","sportstättenbau","bundesrechnungshof","münchen","werbung","organisationskomitee","sozialenquete","abwässer","verminderung","abfälle","abfall","bisher","diplomaten","naturschutz","errichtung","gewässer","stufe","sportförderung","anlagen","kerntechnischen","uran","vertrag","entsorgung","immissionswerte","stoffen","umweltschutzes","gesundheit","stoffe","geldern","antarktis","elbe","hauff","göttingen","bundesinnenminister","benzin","ehmke","nordsee","ibbenbüren","natur","stoffe","umweltpolitik","buschhaus","asbest","stoffe","naturschutz","naturschutz","wälder","enquetekommission","schäfer","umweltpolitik","ökologischen","ökologischen","wald","ökologischen","ozon","bundesministerin","genehmigungsverfahren","caspersmerk","bodenschutz","umweltplan","holz","energie","wasser","arten","nachhaltigkeit","ökologisch","klimapolitik","energien","nachhaltigkeit","natur","arbeitsplätze","allokationsplan","minister","emissionshandel","dött","stoffe","natur","coemissionen","kauch","emissionshandel","naturschutz","wälder","wattenmeer","klimawandel","co","naturschutz","gramm","hektar","emissionshandels","backloading","paris","geräte","naturschutz","erdgasförderung","barbara","pariser","klima","erreichen","klimaschutzgesetz","klimaziele","umwelt","kreislaufwirtschaft","industrie","klimapolitik"
"10","recht","bundesjustizminister","innenminister","nationalsozialismus","fälle","staat","trauung","christlichen","heilige","sed","butter","gleichwertigen","landesregierungen","auftrag","gesellschaft","hinunter","organisationen","strobel","ware","tierärzte","päckchen","bestimmte","warentest","probst","hauptzollamt","sportbund","plan","leistungszentren","prinz","bundesleistungszentrum","schriftstellern","gewässer","umweltschutzes","bund","gruhl","wäre","bund","sports","bundes","sportpolitik","reinigungsmitteln","sporthilfe","abfälle","blei","millirem","antarktischen","sender","umweltschutzes","luft","sport","umwelt","bundesregierung","laufs","lagerung","anfrage","global","anmerkung","schäden","ökologischen","waldsterben","benzin","formaldehyd","technik","natur","industrie","chemischen","naturschutz","lennartz","natur","ökologischen","natur","schäfer","ökologische","elbe","produktion","umweltschutz","stoffe","klaus","reaktorsicherheit","vielfalt","bundesministerin","angela","homburger","angela","natur","enquetekommission","lippold","stoffe","naturschutz","ökologischen","ökologische","umwelt","klimaschutz","waldbesitzer","allokationsplan","reach","paziorek","kiotoprotokoll","naturschutz","emissionshandel","marktanreizprogramm","gabriel","klimawandel","nutzung","co","wald","röttgen","biodiversität","klimawandel","klimawandel","nutzung","ökologische","geräte","nachhaltigkeit","klimawandel","erdgasförderung","klimakonferenz","barbara","klimakonferenz","hochwasserschutz","klimaziele","ministerin","ziele","umwelt","klimaneutralität","coausstoß","umwelt","ziele"
"11","strafe","politischen","mann","verbrechen","heiligen","konkordats","obligatorischen","strafe","christen","bischof","landesverteidigung","kraftfahrzeug","religionsgemeinschaft","minister","kirche","mission","bundessozialhilfegesetz","zugelassen","warentestinstitut","verpackung","wein","steueraufwandes","geburtsdatum","frau","schwefliger","goldenen","sportliche","müller","olympischen","komitee","wittgenstein","abfallbeseitigung","umwelt","landschaftspflege","verwertungsgesellschaften","dr","rheins","landschaft","stoffe","bundessportplan","umweltschutzes","kernkraftwerke","vierten","atomgesetz","baum","entsorgungsvorsorge","hague","volmer","kernkraftwerke","chemische","abfälle","unfälle","strahlenbelastung","atomgesetzes","nordsee","technik","luft","hauff","schäden","tempolimit","automobilindustrie","nordsee","schönberg","hauff","hauff","störfallverordnung","ökologische","hartenstein","schmidbauer","reaktorsicherheit","ökologische","hartenstein","umweltschutz","konferenz","wald","verwertung","ökologischen","klinkert","coemissionen","angela","wattenmeer","verpackungsverordnung","bodenschutzgesetz","frau","ökologische","lippold","energie","nachhaltigkeitsstrategie","dass","homburger","emissionshandel","haag","energien","holz","umweltschutz","nachhaltigkeit","flexiblen","naturschutz","kosten","überwachung","umweltschutz","natur","emissionen","autos","umweltgesetzbuch","natur","wälder","kältemittel","diesel","china","grenzwerte","ökologischen","produkte","ziele","naturschutz","konferenz","klimaforschung","ziele","ziele","dualen","sektoren","klimaziele","preis","pariser","wasserstoff","copreis","copreis","klimaanpassung"
"12","kemritz","meinungsstreit","fälle","evangelischen","kesselring","gewissensentscheidung","katholischen","gebot","bundeswehr","nationalsozialismus","innerhalb","michael","gewissensgründen","herr","barzel","programm","verbänden","ware","käufer","käufer","einfluß","gefährlichen","verbraucher","ausdrücke","spezialität","sportlichen","olympiade","wörner","verbraucher","verein","sportförderung","schriftsteller","luft","umweltpolitik","stoffe","abwegig","umweltprogramm","gewässer","zuständigkeit","förderung","rheinschutzkommission","sportvereine","schäfer","störfälle","radioaktiven","entsorgung","leistung","technischen","umweltschutzes","dick","huber","chemischer","umwelt","baum","gewässerschutzes","elbe","bund","benzin","zimmermann","kraftwerk","hauff","autos","umweltschutzes","naturschutz","töpfer","umweltminister","natur","industrie","luft","bundesimmissionsschutzgesetz","naturschutz","maßnahmen","schmidbauer","weltweit","ökologische","ökologische","reaktorsicherheit","naturschutz","enquetekommission","nordsee","reaktorsicherheit","boden","rio","reaktorsicherheit","mehl","klimaschutz","umweltschutz","dass","lippold","natur","nachhaltigkeit","umweltschutz","paziorek","pfandpflicht","umweltminister","wald","bundesumweltminister","kiotoprotokolls","holz","nachhaltige","allokationsplan","arten","konferenz","vielfalt","ostsee","schutz","klima","schwabe","automobilindustrie","wälder","natur","flächen","flächen","bergrecht","co","tonnen","staaten","wasserrahmenrichtlinie","naturschutz","bau","naturschutz","klimapolitik","plastik","ziele","emissionshandel","pariser","generationen","natur"
"13","gesetz","menschen","verfassung","kläger","versammlungsgesetz","reichskonkordat","geistlichen","marx","heiligen","christen","religiösen","polizeilicher","kirchliche","schwarzhaupt","wohlfahrtspflege","opferbereitschaft","hilfe","qualität","kollegin","elbrächter","markt","hanielniethammer","schlechtwetterzeit","mundartliche","arzneimittel","brennbuch","memorandum","sportlichen","weine","bundesminister","schober","internationale","bleigehalts","naturschutz","industrie","amerika","umweltpolitik","anlagen","bundesimmissionsschutzgesetz","anlagen","umweltpolitik","sportbericht","nutzung","schäfer","hague","schäfer","cogema","anleitung","chemischen","unterausschuß","schutz","umwelt","ddr","genehmigungsverfahren","laufs","großfeuerungsanlagenverordnung","zusammenhang","badenwürttemberg","großfeuerungsanlagenverordnung","umweltschutzes","luft","stoffe","schmidbauer","chemiepolitik","reaktorsicherheit","reaktorsicherheit","reaktorsicherheit","emissionen","auto","verbrennung","schäden","bernd","feige","fckw","klausdieter","hartenstein","grenzwerte","verbraucher","ökologische","frau","hirche","kampeter","nachhaltigkeit","flächen","frau","ökologie","homburger","enquetekommission","ökologischen","umweltschutz","naturschutzes","ökologische","energie","trittin","homburger","nationalen","homburger","nachhaltige","minister","naturschutz","minister","meere","ziele","müssen","umweltpolitik","nachhaltige","co","illegalen","emissionen","rebsorten","prozentziel","verpackungsverordnung","wasser","braunkohle","aktionsprogramm","mikroplastik","dekarbonisierung","niedersachsen","ministerin","klimaschutzplan","umweltpolitik","pariser","klimaziele","copreis","klimaschutzgesetz","klimaziele","müssen","klimaneutralität"
"14","polizei","platowamnestie","begangen","angenfort","sittlichen","synode","kirchlichen","täter","evangelische","tagung","miltenberg","revisionismus","münster","auftrags","sozialhilfe","ergänzend","hintertreffen","haltbarkeitsdauer","frau","apothekenpflichtige","vorstand","mittel","einfluß","sauerstoff","branntwein","gemeinden","herr","trainingszentren","weines","deutschen","komponisten","stoffe","spiele","lärm","innern","anstalten","raumordnung","bundes","umwelt","wyhl","bleigehalt","vereine","novelle","kerntechnischer","gmbh","gorleben","luft","stoffe","sports","chemikalien","untersuchungen","schutz","freitag","technik","geldern","wolfgramm","biologischen","wälder","baum","offleben","grenzwerte","großfeuerungsanlagenverordnung","wasser","baum","luft","chemische","verordnung","schäfer","schäden","abfälle","knabe","natur","verpackungsverordnung","laufs","sanierung","ökologisch","abfall","verpackungsverordnung","angela","ökologischen","sachverständigenrat","ökologische","bundesministerin","hustedt","reaktorsicherheit","umweltminister","ökosteuer","schutz","homburger","pfand","ökologischen","nachhaltigkeitsstrategie","verpackungsverordnung","pfand","holz","ökosteuer","chemiepolitik","stoffe","jürgen","loske","zertifikate","bullingschröter","klimapolitik","biodiversität","coausstoß","co","naturschutz","ziele","durban","hektar","dow","flächenverbrauch","entsorgung","eu","natur","wertstoffgesetz","nagoyaprotokoll","deutschland","verpackungsgesetz","natur","ministerin","klima","nachhaltigkeit","erreichen","grünen","ziele","technologien","klimawandels"
"15","partei","metzger","gefängnis","juden","päpstlichen","pfarrer","strafrechts","befehlen","kollegin","hilfsorganisationen","durchsetzung","versicherungscharakter","kriegsdienstverweigerern","opposition","kräfte","kommunale","traurigen","arzt","unlauteren","rezeptpflicht","kollegin","abgabe","utah","angeraten","coburg","sportbewegung","näher","bundeszentrale","spiele","flüchtlingen","schaumwein","sofortprogramm","abgase","wasser","müller","auflagen","enquetekommission","sport","umweltpolitik","sportvereine","chemische","radioaktiver","abwassers","nutzung","umgebung","satellit","antarktisvertrag","tiere","schutz","luft","bundesgesundheitsamt","prüfung","wolfgramm","ta","cadmium","biologischen","hafen","zimmermann","maßnahmen","albrecht","natur","ta","schadstoffe","chemische","tempolimit","normalbenzin","ozonschicht","umweltminister","trinkwasser","natur","anlagen","ökologische","trinkwasser","umweltschutz","fckw","reaktorsicherheit","kreislaufwirtschaftsgesetz","produkte","industrie","ökologische","flächen","schutz","naturschutzes","nachhaltigkeit","nachhaltige","ökologisch","klimaschutzpolitik","naturschutz","rio","paziorek","ökologisch","kiotoprotokoll","dass","verpackungen","industrie","kelber","stoffe","holz","emissionshandel","gabriel","sigmar","eva","wälder","reach","emissionen","autos","vielfalt","erreichen","fracking","holz","antrag","wald","verschleiß","umweltschutz","internationalen","meer","ressourcen","verbot","klimawandel","verpackungsgesetz","maßnahmen","emissionshandel","sektoren","preis","wirtschaft","emissionshandel","emissionshandel","naturschutz"
"16","art","politische","schutze","unrecht","personenstandsgesetz","dönitz","kirchliche","sittlichen","staat","kismetglauben","grunde","erlebte","wehrdienstverweigerer","feiertag","fürsorge","gerstenmaier","kirche","verletzten","verbände","ärzte","staatssekretär","krankheitskatalog","niederlassungsfreiheit","kulturpolitische","frau","tankstellengewerbes","hergestellt","deutschen","erzeuger","grad","schaumweinsteuer","gemeinden","je","verursacherprinzip","abfälle","dokumentarisch","konkurrierende","sportförderung","sport","umweltschutz","gramm","gewässer","endlagerung","offenburg","hanau","plutonium","gorleben","laufs","schäfer","tierversuche","stoffe","wasser","verschmutzung","gorleben","schoeler","hektar","großfeuerungsanlagenverordnung","natur","nordsee","ettlingen","verursacherprinzip","natur","wasserhaushaltsgesetz","chemie","grenzwerte","natur","ökologischen","bundesumweltminister","reaktorsicherheit","hartenstein","schmidbauer","verwertung","umweltminister","ökologisch","rio","caspersmerk","ökologische","klimaschutz","rio","bundesregierung","diuron","homburger","nachhaltigen","ökologische","nachhaltigen","merkel","ökologisch","umweltschutz","sachverständigenrat","bonn","paziorek","konferenz","homburger","umweltpolitik","dosenpfand","holz","emissionshandel","fortschrittsbericht","projektbezogenen","klimawandel","nairobi","prozent","emissionshandel","kfzsteuer","biomasse","holz","ziele","prozent","emissionshandel","klimapolitik","naturschutz","ied","klimawandel","ambitionierte","tonnen","erdgas","nachhaltigkeitsstrategie","reaktorsicherheit","pariser","band","copreis","hambacher","future","cobepreisung","ziele","industrie","klimaneutralität","natürlichen"
"17","bestraft","straffreiheitsgesetz","demokratischen","gefängnis","tann","marine","strafrecht","befehl","vater","umgliederung","ddr","goethes","kirchlichen","wiesbaden","kirchen","riegel","selbstverwaltung","lebensmittel","dezember","gesundheitliche","mertes","gewässer","krankheiten","welle","apotheken","wein","statistiken","mexiko","deutschen","weingesetz","lebensunterhalt","saynwittgensteinhohenstein","luftverschmutzung","programm","mülheim","dokumentarischen","luft","länder","schädlichen","waldes","benzinbleigesetzes","sportkonferenz","schadeinheit","radioaktiven","steinkohlenkraftwerken","nutzung","innern","sport","technik","schutz","ökologischen","unfällen","gutachtens","stoffe","april","nordsee","umweltschutzes","ministerpräsident","pcb","maßnahmen","schäden","technik","tempolimit","luft","wallmann","grenzwerte","tonnen","baum","wasser","technik","erdatmosphäre","erdatmosphäre","sanierung","konvention","reaktorsicherheit","umweltminister","enquetekommission","schutz","bundesministerin","lippold","angela","ministerin","schutz","coemissionen","enquetekommission","nachhaltigkeitsstrategie","lenkungswirkung","energie","klimaschutzprogramm","nachhaltigkeitsstrategie","kiotoprotokoll","wälder","koalitionsvertrag","nachhaltigkeit","kiotoprotokolls","natur","umweltminister","chemikalien","homburger","chemikalien","artenvielfalt","maritime","automobilindustrie","naturschutz","umweltschutz","ökologische","prozentziel","wälder","kormoranmanagement","fischerei","flüsse","nutzung","schäden","prozent","baerbock","dass","gradziel","fracken","baerbock","co","kohleausstieg","natur","fridays","coemissionen","gebäudeenergiegesetz","nachhaltig","grünen","klimaziele"
