"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","punkt","tagesordnung","tagesordnung","uhr","tagesordnung","sitzung","tagesordnung","tagesordnung","tagesordnung","krankenanstalten","uhr","kirche","beamten","evangelischen","beamten","beamten","beamten","beamten","beamten","dienst","dienst","bundeskriminalamt","beamten","beamten","beamten","dienst","beamten","beamten","beamten","genscher","genscher","dienst","genscher","genscher","besoldungsvereinheitlichungs","genscher","genscher","genscher","bund","bundesgrenzschutz","oldenburg","innenausschuss","dienstes","teilzeitbeschäftigung","höcherl","beamten","datenschutz","bundesinnenminister","daten","datenschutz","nebentätigkeit","asylbewerber","ausländer","ausländer","beamten","beamten","türkei","türkei","türkei","auswärtigen","auswärtigen","afghanistan","auswärtigen","ausländer","afghanistan","kurden","flüchtlinge","ausländer","ausländer","juden","kulturarbeit","asylbewerber","asylbewerber","asylbewerber","asylbewerber","ausländer","ausländer","ausländer","ausländer","ausländer","ausländer","ausländer","staatsangehörigkeit","ausländer","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","integration","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","rechtsextremismus","rechtsextremismus","integration","integration","integration","integration","polizei","integration","integration","flüchtlinge","rechtsextremismus","rechtsextremismus","rechtsextremismus","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","afghanistan","flüchtlinge","migration","menschen","flüchtlinge","integration","migranten","deutschland","menschen"
"2","tagesordnung","sitzung","sitzung","sitzung","sitzung","sitzung","uhr","grundgesetzänderung","uhr","fraktion","geschäftsordnung","herr","innenausschuss","dienst","kirche","weihnachtsgeld","harmonisierungsnovelle","dienst","dienst","dienst","beamten","beamten","beamten","dienst","dienst","angestellten","beamten","dienst","vergütungsgruppe","dienst","beamten","benda","dienstes","umweltschutz","innern","genscher","innern","innern","innern","länder","innern","schaumburglippe","gerster","dienst","dienst","bundeskriminalamt","feuerschutzsteuer","beamten","baum","bundesgrenzschutz","bundesbeauftragten","beamten","bundesamt","integration","asylbewerber","dienst","ausländern","türkischen","chile","kultur","auswärtige","sprache","auswärtigen","flüchtlinge","flüchtlinge","auswärtigen","flüchtlinge","aussiedler","aussiedler","ausländern","ausländer","schäuble","ausländer","schengener","ausländer","ausländer","flüchtlinge","ausländern","staatsangehörigkeit","innenminister","sonntagwolgast","flüchtlinge","flüchtlinge","ausländer","kanther","integration","zuwanderung","asyl","npd","zuwanderung","schily","schily","schily","zuwanderungsgesetz","bundesinnenminister","schily","bundesinnenminister","brandenburger","integration","schäuble","terrorismus","rassismus","schäuble","schäuble","schäuble","integration","griechenland","gewalt","zuwanderung","migranten","integration","npd","npd","staatsbürgerschaft","deutschland","flüchtlingen","menschen","integration","integration","flüchtlinge","migration","flüchtlinge","flüchtlinge","migration","grenze","menschen","migration","geflüchteten"
"3","drucksache","tagesordnung","drucksache","uhr","tagesordnung","uhr","tagesordnung","rasner","geschäftsordnung","uhr","ältestenrat","herren","beamten","kühlthau","kühlthau","vorschuss","dienst","dienstes","gscheidle","doppelversorgung","weihnachtszuwendungen","öffentlichen","dienst","dienstes","innenausschuss","dienstes","verbesserungen","verbrechensbekämpfung","angestellten","genscher","innern","verbrechensbekämpfung","beamten","innern","bundesgrenzschutzes","länder","dienst","länder","dienst","ländern","bundesgrenzschutzes","niedersachsen","daten","riedl","beamte","innern","dienst","innenausschuss","beamten","beamten","spranger","dienst","verfahren","ausländischen","türkei","ausländer","bundesamt","bericht","menschenrechte","afghanistan","folter","dienst","goetheinstitut","sprache","auswärtigen","türkei","ausländer","ausländer","staatsangehörigkeit","schäuble","jüdischen","minderheit","ausländerfeindlichkeit","asylrecht","flüchtlinge","asylrecht","asylbewerber","staatsangehörigkeit","flüchtlinge","flüchtlinge","staatsangehörigkeit","kanther","innenminister","staatsbürgerschaft","aussiedler","staatsbürgerschaft","ausländer","marschewski","zuwanderung","deutschland","bundesinnenminister","deutschland","bosbach","ausländer","sicherheit","bundesinnenminister","npd","tor","bundesinnenminister","sicherheit","sicherheit","rechtsextremismus","bundespolizei","zuwanderung","hdj","thw","flüchtlinge","bundespolizei","deutschland","integration","nazis","rassismus","flüchtlinge","flüchtlingen","roma","menschen","integration","menschen","menschen","menschen","familiennachzug","migranten","migration","migranten","flüchtlinge","deutschland","ortskräfte","ukraine"
"4","punkt","drucksache","punkt","punkt","berufe","ältestenrat","punkt","sitzung","sitzung","sitzung","präsident","präsident","kriegsdienstverweigerer","einfachen","matzner","dienst","gscheidle","wuermeling","öffentlichen","dienstes","stiftung","innenausschuss","gscheidle","öffentlichen","gscheidle","dienst","innenausschuss","innenausschuss","dienst","dienstes","beamte","innern","öffentlichen","umweltschutzes","bundesgrenzschutz","innern","beamten","grundgesetzänderung","umweltschutz","wald","übereinkommen","innenausschuss","abwasserabgabe","innenausschuss","datenschutz","bund","feuerwehren","baum","bgs","asylbewerber","datenschutzes","asylbewerber","asyl","ausländern","datenschutz","ausländerpolitik","türkei","türkische","türkischen","ausländer","chile","afghanistan","folter","asyl","asyl","flüchtlinge","flüchtlingen","afghanistan","flüchtlinge","übersiedler","innern","aussiedler","asylrecht","flüchtlinge","asylrecht","asyl","abschiebung","einbürgerung","abschiebung","sonntagwolgast","flüchtlinge","innenminister","integration","kanther","land","schily","flüchtlinge","card","marschewski","gewalt","marschewski","uhl","integration","integration","kaplan","zuwanderung","sicherheit","sicherheitsbehörden","schily","polizei","antiterrordatei","schäuble","sicherheit","terrorismus","migranten","sicherheitsbehörden","staatsangehörigkeit","migranten","zwangsheirat","deutschland","zuwanderung","flüchtlinge","deutschland","staatsangehörigkeit","flüchtlingen","deutschland","flüchtlingen","flüchtlingen","land","zuwanderung","menschen","pakt","staatsangehörigkeit","menschen","migranten","moria","staatsbürgerschaft","registrierung"
"5","sitzung","überweisung","uhr","überweisung","bundestages","punkt","geschäftsordnung","uhr","fraktion","antrag","fraktion","dr","evangelischen","dienstes","beamten","dienstes","dienstes","öffentlichen","beamtenrechts","bundesbeamtengesetzes","zivilbeschäftigten","dienstes","öffentlichen","fortbildung","miessner","angestellte","brück","dienstes","besoldungsgruppe","öffentlichen","dienstes","umweltschutz","innern","umweltprogramm","sicherheit","sicherheit","bund","bund","länder","innern","beamten","bundesgrenzschutz","öffentlichen","bund","beamten","spranger","beamte","sicherheitsbehörden","datenschutz","innenausschuss","tätigkeitsbericht","beamte","asylrecht","ausländerpolitik","asylverfahren","integration","datenschutz","bundesinnenminister","bundesinnenminister","kunst","türkei","auswärtige","kulturpolitik","kultur","menschen","auswärtige","irak","asylbewerber","übersiedler","flüchtlinge","gerster","kulturelle","asyl","asyl","asyl","staatsangehörigkeit","bürgerkriegsflüchtlinge","ausländerbeauftragten","kanther","kanther","ausländern","sonntagwolgast","staatsangehörigkeit","flüchtlinge","zuwanderung","ausländer","bundesinnenminister","ausländer","innenminister","ausländischer","integration","integration","zuwanderungsgesetz","staatsangehörigkeit","integration","innenminister","integration","bundesinnenminister","innenminister","innenminister","datei","winkler","bundesinnenminister","integrationspolitik","innenminister","polizisten","abkommen","deutschland","flüchtlingen","verfassungsschutz","deutschland","residenzpflicht","antisemitismus","deutschland","menschen","asylbewerber","deutschland","herkunftsstaaten","flüchtlingen","land","bamf","bamf","asylbewerber","staatsangehörigkeit","griechenland","griechenland","asyl","flüchtlinge"
"6","betreffend","uhr","überweisung","drucksache","drucksache","wehrpflichtgesetzes","ältestenrat","fraktion","redezeit","ältestenrat","haus","fraktionen","krankenanstalten","mittleren","überleitung","zahlung","brück","erhöhung","dienstes","versorgungsempfänger","gscheidle","anpassung","innenausschuss","beamte","dienstes","öffentlichen","stufe","schmittvockenhausen","besoldungsneuregelungsgesetz","innern","abteilung","sofortprogramm","genscher","abfallbeseitigung","länder","hinaus","sicherheit","umweltschutz","dienstes","gewässer","schäfer","beamten","datenschutzgesetz","länder","innern","länder","öffentlichen","datenschutzes","spranger","datenschutzes","innern","innern","flüchtlinge","türken","einbürgerung","asylrechts","ausländer","menschenrechte","film","kulturpolitik","amt","ausland","auswärtige","auswärtige","asylrecht","ausländer","ausländern","kurden","einbürgerung","innern","gebühren","kulturellen","schäuble","asylverfahren","deutschland","flüchtlinge","deutschland","lebenden","schmalzjacobsen","asylbewerber","schmalzjacobsen","schmalzjacobsen","staatsbürgerschaft","rassismus","spätaussiedler","doppelte","innenminister","deutschland","gewalt","flüchtlinge","innenminister","innenminister","strobl","schily","umzug","flughafen","zuwanderungsgesetz","datenschutz","stadler","integration","npd","migration","innenminister","migranten","zuwanderung","migranten","asylverfahren","polizisten","integration","staatsangehörigkeit","frankfurt","antisemitismus","staatsangehörigkeit","optionspflicht","asylbewerber","beck","asyl","land","staatsbürgerschaft","einwanderungsgesetz","land","menschen","integration","seehofer","menschen","flüchtlinge","flüchtlinge","integration"
"7","beratung","betreffend","einverstanden","nächste","ältestenrat","wehrpflichtgesetz","vizepräsidenten","atomgesetzes","mitglieder","präsident","uhr","fraktion","kirchen","innenausschuss","antrag","weihnachtsgeldes","besoldung","besoldung","besoldung","beamte","beamte","besoldung","brück","besoldungsgruppe","besoldung","bundesgrenzschutz","unteroffiziere","besoldungsgruppe","dienstes","wagner","öffentlichen","beamten","besoldung","verursacherprinzip","polizei","umwelt","länder","wald","beamten","bundes","gewässer","bundesgrenzschutzes","schäfer","beamten","gerster","nordrheinwestfalen","datenschutz","bundesinnenminister","daten","bundesgrenzschutzes","datenschutzbeauftragten","baum","zirndorf","kinder","asylrecht","hirsch","datenschutzbeauftragten","flüchtlingskommissar","ausländer","auswärtigen","amtes","ausländischen","goetheinstituts","dienst","auswärtige","amt","irakischen","zimmermann","ausländern","gerster","aufnahme","ausländer","flüchtlinge","abkommen","asylrechts","schengener","ausländerinnen","staatsbürgerschaft","ausländergesetzes","einbürgerung","integration","marschewski","jelpke","integration","flüchtlinge","staatsangehörigkeitsrecht","integration","rüttgers","deutschland","rechtsextremismus","ausländer","leutheusserschnarrenberger","bundesinnenminister","deutschland","innenminister","polizei","terrorismus","terrorismus","datei","stadler","integration","npd","sicherheitsbehörden","npd","terrorismus","schäuble","innenminister","deutsch","asylbewerber","extremismus","extremismus","asylbewerber","rechtsextremismus","menschen","staatsangehörigkeit","zuwanderung","land","einstufung","deutschland","deutschland","migranten","familiennachzug","deutschland","miri","deutschland","migration","migranten","geflüchtete"
"8","drucksachen","einverstanden","beratung","schliesse","punkt","fraktionen","minuten","punkt","wahl","rasner","provokation","vizepräsident","anhebung","antrag","vorlage","überleitung","einfachen","matzner","antrag","schmittvockenhausen","weihnachtsgeld","gräber","dienstes","brück","beamtenschaft","beamte","öffentlichen","besoldung","bat","bundesinnenminister","dienst","bundeskriminalamt","gehobenen","bund","beamten","neuregelungsgesetz","landschaftspflege","landschaftspflege","wahlkreiskommission","innenausschuss","bodensee","volksentscheid","gehobenen","anwärterbezüge","öffentlichen","höcherlbericht","dienstes","innenminister","innenausschuss","polizei","daten","arbeitserlaubnis","ausländer","baum","ausländerfeindlichkeit","ausländerfeindlichkeit","verfassungsschutz","innenminister","folter","kurden","menschenrechte","dienstes","menschenrechte","kulturpolitik","ausländern","dienst","türkei","türkei","kurden","aussiedler","ausländergesetz","minderheiten","hoyerswerda","zuwanderung","zuwanderung","einbürgerung","ausländern","schmalzjacobsen","asylbewerber","ausländergesetzes","einbürgerung","rückkehr","lebenden","sonntagwolgast","einwanderungsland","zuwanderung","rüttgers","schily","extremismus","marschewski","bosbach","versammlungsrecht","deutschland","grindel","zuwanderungsgesetz","integration","polizei","stadler","ausländer","winkler","sicherheitsbehörden","innenminister","terrorismus","innenminister","staatsangehörigkeit","wahlrecht","wahlrecht","staatsangehörigkeit","wolff","flüchtlinge","flüchtlinge","sicherheitsbehörden","wolff","rechtsextremismus","beck","mittelmeer","migration","sicheren","migration","abschiebungen","integration","land","asyl","deutschland","griechischen","griechischen","menschen","polen"
"9","uhr","beratung","betreffend","bundestages","september","morgen","eröffnet","atomgesetz","punkt","damen","damen","haus","iv","ortszuschlag","kirchen","weihnachten","besoldungserhöhungsgesetz","gscheidle","berufsbeamtentums","öffentlichen","schmittvockenhausen","schmittvockenhausen","besoldungsreform","schmittvockenhausen","öffentlichen","bundesbehörden","besoldungsneuregelungsgesetzes","öffentlichen","iii","besoldungsrückstandes","versetzt","kriminalpolizei","wagner","naturschutz","innenminister","ländern","polizei","stoffe","öffentlichen","öffentlichen","innenausschuss","abfälle","beamten","öffentlichen","bund","dienst","riedl","daten","statistischen","bundesinnenminister","bundesbeauftragte","bundesinnenminister","ausländerbehörden","türkei","ausländern","ausländern","flüchtlinge","hohen","ausländischen","türkischen","unesco","flüchtlinge","sowjetunion","künstler","amt","grube","asylbewerber","asyl","integration","sprache","sowjetische","innern","gewalt","genfer","politisch","zuwanderung","jelpke","ausländerinnen","schengener","bürgerkriegsflüchtlinge","marschewski","cornelie","özdemir","marschewski","härte","kinder","jelpke","green","ausländer","ausländer","deutschland","beckstein","innenminister","kemper","digitalfunk","terrorismus","sicherheitsbehörden","strobl","koschyk","terrorismus","schäuble","migranten","integrationsplan","flüchtlinge","flüchtlinge","terrorismus","migranten","polizei","veit","gewalt","demokratie","deutschland","aufenthaltsgesetz","migration","sinti","asyl","kommen","innenminister","schutz","familiennachzug","zuwanderung","asyl","einwanderung","personen","grenzen","inseln","ausländerzentralregister","migration"
"10","fraktion","erste","schliesse","berufe","fraktionen","beratung","berufe","grundgesetzergänzung","minuten","herren","tagesordnung","erklärung","kühlthau","anhebung","beamtengruppen","besoldung","lehrer","brück","volksschullehrer","verbesserungen","besoldung","beamtenbesoldung","besoldungsordnung","innenausschuss","beamte","besoldung","dienstes","innenausschusses","ii","schmittvockenhausen","minister","polizei","dorn","landschaftspflege","bgs","polizei","dienstes","waldes","bund","schäfer","bundes","länder","dienst","innern","bundesgrenzschutz","bka","innern","polizei","statistik","penner","datenverarbeitung","ausländer","asylverfahren","asylbewerber","asyl","baum","dienst","folter","innenminister","ausländern","ausländischen","ausländer","menschenrechtspolitik","flüchtlingen","bundesrepublik","dienstes","wahlrecht","afghanischen","aussiedlern","ausländerrecht","schäuble","innenpolitik","ausländern","grundgesetzes","menschen","asylrechts","innenminister","integration","abschiebehaft","asylrecht","aussiedler","flüchtlingen","ausländern","asylbewerberleistungsgesetz","ausländerrecht","bundesinnenminister","asylrecht","menschen","bundesinnenminister","familienbericht","verfassungsschutz","vereinigungen","ausländer","bosbach","stokar","luftsicherheitsgesetz","innenminister","wiefelspütz","einbürgerung","ausländer","polizei","flüchtlinge","stokar","datenschutz","sicherheit","abkommen","rechtsextremismus","integrationskurse","polizei","bundeszentrale","migration","innenminister","flüchtlingen","asylbewerber","optionspflicht","integration","kommunen","deutschland","staatsangehörigkeit","integration","subsidiär","asylverfahren","zuwanderung","geflüchtete","asylsystem","lesbos","integration","kommunen"
"11","ältestenrat","schliesse","nächste","beratung","nächste","minuten","beschlussunfähigkeit","ältestenrat","präsident","fraktionen","antrag","vereinbarung","präsident","bezüge","religionsgemeinschaften","ruhestand","öffentlichen","verbesserungen","versorgungsanstalt","überleitung","öffentlichen","sachverständigenrat","bundesinnenminister","verwaltung","disziplinarrecht","benda","besoldungsneuregelungsgesetz","besoldungsneuregelungsgesetz","tarifverhandlungen","schäfer","ruhestand","dienst","innenausschuss","umweltprogramms","schäfer","beamten","naturschutz","ländern","bundes","kompetenz","dienstes","landesregierung","datenschutz","besoldung","länder","innenausschuss","innenausschuss","bundesbeauftragten","bundesgrenzschutzes","datenschutz","polizei","bötsch","arbeitserlaubnis","datenschutz","ausländerbehörden","bundesinnenminister","ausländerpolitik","asyl","asylbewerber","künstler","europarates","türkei","möllemann","kunst","europäischen","afghanen","kurdischen","ausländern","bundesrepublik","deutschen","einreise","grenzen","menschen","ausländer","gewalt","politisch","asylverfahren","ausländischen","innenminister","flüchtlingen","cornelie","jelpke","marschewski","aussiedler","ausländern","türkei","flüchtlingen","bundesinnenminister","schily","schily","zuwanderungsgesetz","toleranz","bevölkerung","beck","bundesgrenzschutz","datenschutz","koschyk","polizei","warndatei","bundesinnenminister","innenminister","pass","inneren","böhmer","bundesinnenminister","datenschutz","veit","zuwanderung","kilic","sicherheitsbehörden","verfassungsschutz","integration","ausländer","beck","migration","einwanderung","asylverfahren","asylverfahren","abschiebungen","migration","deutschland","seehofer","geflüchtete","abschiebung","migration","fachkräfteeinwanderungsgesetz","personen","ukrainischen"
"12","abgeordneten","schlage","ältestenrat","ältestenrat","überweisung","geschäftsordnung","rasner","präsident","hauses","beratung","herr","geschäftsordnung","beistand","fraktion","herr","antrag","bundesbesoldungsgesetzes","angestellten","schoettle","personenkreis","angestellten","gscheidle","dorn","berufsunteroffiziere","innenausschusses","bundesgrenzschutzes","schmittvockenhausen","lehrer","schmittvockenhausen","berger","prinz","öffentlichen","laufbahn","kompetenz","dienst","schutz","umweltschutz","umwelt","bundesgrenzschutz","waldes","polizei","neugliederung","länder","nivellierung","verwaltungen","polizei","datenschutzes","innern","bundesgrenzschutz","baum","dienst","nebentätigkeiten","anerkennung","spranger","schöfberger","spranger","familienzusammenführung","türken","chilenischen","ausländerpolitik","kulturellen","kultur","flüchtlinge","asylbewerber","familienangehörigen","messel","asyl","genfer","ausländerpolitik","lebenden","mainz","flüchtlinge","bundesinnenminister","grundgesetzänderung","seiters","deutschland","ausländergesetzes","ausländergesetz","land","ausländern","ausländerrecht","strafgefangenen","sonntagwolgast","menschen","innenminister","einbürgerung","asyl","asylrecht","menschen","bundesinnenminister","stadler","waffenrecht","sicherheitsbehörden","strobl","zuwanderung","bosbach","beamten","informationen","sicherheitsbehörden","halberstadt","daten","jelpke","wahlrecht","winkler","migrantinnen","daten","deutschland","rechtsextremismus","italien","npd","kolbe","bundespolizei","menschen","verfassungsschutz","asylbewerberleistungsgesetz","unterbringung","flucht","asylbewerber","leben","einwanderung","asylverfahren","herkunftsstaaten","duldung","geflüchteten","inseln","integration","migrationspolitik","deutschland"
"13","minuten","ältestenrat","entwurfs","betreffend","bekanntzugeben","vizepräsidenten","herren","beratung","wahlgang","namens","nachholbedarfs","antrag","beauftragte","tarifklasse","herren","schmittvockenhausen","harmonisierung","wagner","innenausschuss","beamtenrecht","dienstes","bundesregierung","studienkommission","unteroffiziere","zulage","polizei","zweiten","verbesserungen","tätigkeiten","beamte","ministerium","dienstes","beamte","umwelt","bundesinnenminister","minister","verbrechensbekämpfung","landschaft","innenausschuss","abwasserabgabe","baum","dienstes","bund","besoldungsgruppe","daten","hübner","bundesdatenschutzgesetz","bund","innern","spranger","sicherheitsbehörden","dienstes","bötsch","dregger","baum","datenschutz","zirndorf","ausländer","zimmermann","chile","menschenrechtsverletzungen","amt","rose","ausländer","folter","afghanischen","giftgas","flüchtlingen","wahlrecht","hämmerle","waffenschmidt","leben","asylbewerbern","flüchtlingskonvention","grundgesetzes","verfolgte","sonntagwolgast","ausländische","abgeschoben","schmalzjacobsen","abschiebung","integration","bürgerkriegsflüchtlinge","einbürgerung","einwanderung","gesellschaft","land","innenminister","einwanderung","herkunft","rechtsextremismus","gesellschaft","innern","richtlinie","bundeskriminalamt","binninger","stokar","befriedeten","eidesleistung","grindel","bleiberechtsregelung","sicherheit","piltz","wolff","npd","prüm","sicherheit","ausländer","polizisten","linksextremismus","polizei","asylbewerberleistungsgesetz","sprache","frontex","asyl","flüchtlingspolitik","maizière","sichere","integrationskurse","abgeschoben","schutz","flüchtlingen","migranten","migrationspolitik","staatsangehörigkeit","personen","politik","schutz"
"14","antrag","anfrage","berufe","einverstanden","einverstanden","heutige","hauses","interfraktionellen","morgen","geschäftsordnung","schmücker","sitzung","betreuung","kirche","einfachen","bundesbesoldungsgesetzes","versorgungsempfänger","kinderzuschläge","ländern","brück","höcherl","beamte","bundeskriminalamtes","kriegerwitwen","technikerzulage","bediensteten","beamte","polizei","bewährungsaufstieg","mittleren","dorn","dorn","vereinheitlichung","länder","inneren","öffentlichen","ländern","gewässer","polizei","badenwürttemberg","wasch","gerster","abgabe","berger","riedl","beamten","baum","beamte","datenschutzes","wendig","bundesinnenminister","dienstlichen","bundesverwaltungsgericht","hirsch","verfahren","beamte","innern","bundesrepublik","ausländerpolitik","menschenrechte","minderheiten","möllemann","kultur","bundesrepublik","asylrechts","kultur","integration","aussiedlern","penner","mainz","deutsche","sprache","ausschreitungen","asylrechts","ausländern","polen","asylrechts","deutschland","innern","integration","kanther","rückführung","kinder","schmalzjacobsen","staatsbürgerschaft","rüttgers","asylrechts","ausländergesetzes","land","beck","sicherheit","antisemitismus","koschyk","asyl","beamten","stokar","ausländer","neonazis","schleuserkriminalität","fussballweltmeisterschaft","trennungsgebot","polizei","polizei","dağdelen","bundespolizei","kriminalität","syrien","maizière","ausländer","integrationskurse","extremismusklausel","verfassungsschutz","hartfrid","zuwanderung","maizière","kommunen","asylbewerber","asyl","maizière","flüchtlingen","herkunftsstaaten","zuwanderung","abschiebung","integration","türkei","lager","land","aufnahme"
"15","haus","heutigen","heutigen","heutige","übergang","abgeordneten","fraktion","vereinbarung","fraktionen","beraten","bundesversammlung","ministerpräsident","tarifklasse","beamtengehälter","verbesserungen","versorgungsempfänger","änderung","beamtenbesoldung","dorn","besoldung","punkt","brück","einheitlichkeit","miessner","stufe","meermann","gscheidle","beamte","amtsbezeichnung","günzburg","schäfer","innenminister","bundeskriminalamt","programm","ländern","teil","bundeskriminalamt","anlagen","umweltbundesamt","umweltschutz","umweltschutz","dienst","ländern","liedtke","wendig","polizeiliche","länder","spranger","riedl","dienst","hirsch","bediensteten","zahl","ausländischer","kurden","ausländische","länder","innenausschuss","beamten","sacharow","maier","deutsch","sonn","ausland","politischen","erlischt","irakische","spranger","aufnahme","übersiedlern","sowjetunion","asylbewerber","land","verfahren","land","grundgesetzes","ulla","land","sonntagwolgast","menschen","özdemir","ausländern","asylbewerber","doppelte","ausländerpolitik","pass","marieluise","flüchtlinge","rassismus","ausländische","npd","özdemir","innenpolitik","bundesinnenminister","bka","kontrollen","inneren","sicherheit","zuwanderung","leben","wieland","bundesinnenminister","migranten","bundesinnenminister","sicherheitsbehörden","altfallregelung","abschiebung","einbürgerung","malta","türkischen","kampf","behörden","bleiberechtsregelung","flüchtlingspolitik","herkunftsstaaten","migration","flüchtling","marokko","beck","punktesystem","afd","migrationspakt","personen","flüchtlingen","geflüchteten","westbalkanregelung","seehofer","ukrainische"
"16","gesetzes","bundestages","fraktion","morgen","beratung","freitag","gestern","damen","mommer","morgen","herren","nächste","fraktion","gehobenen","dienst","lieferprämie","schmittvockenhausen","beamtenschaft","beamte","strukturellen","weihnachtsgeldes","bund","wagner","verbesserungen","ländern","staatssekretär","lineare","besoldungsordnung","ortsklasse","besoldungsrückstand","einstweiligen","schäfer","richterbesoldung","öffentlichen","bund","abgeordneter","bundes","bundes","luft","wyhl","länder","schäfer","neugliederung","bundesgrenzschutz","bausparer","innenministerkonferenz","bund","bka","berger","asylverfahren","dienstes","öffentlichen","beamten","februar","länder","innern","bundesinnenminister","asylrecht","integration","afghanischen","vereinten","asylbewerber","kulturellen","dienstes","tun","asyl","ausländerrecht","auswärtigen","deutschen","menschen","menschen","deutschen","grundgesetzänderung","schäuble","verfolgte","ausländern","einbürgerung","jelpke","bürgerkriegsflüchtlinge","cornelie","asylbewerber","zurückkehren","schmalzjacobsen","cornelie","asylbewerberleistungsgesetz","westerwelle","kanther","einwanderung","antisemitismus","innenminister","flüchtlinge","demonstrationen","sicherheit","terrorismus","extremisten","bevölkerung","innere","stokar","deutschland","innern","verfassungsschutz","wiefelspütz","onlinedurchsuchung","deutschland","migration","migrantinnen","ausländer","extremismus","ausländerbehörden","türkei","grundordnung","zuwanderung","identität","integration","rassismus","asylbewerbern","müssen","asylpaket","bleibeperspektive","beck","asyl","integration","staatsbürgerschaft","afd","land","aufnahme","grenzen","ehrenamtlichen"
"17","herren","abgeordneten","schlage","anfrage","morgen","eröffnet","vereinbarung","heute","schmid","haus","gerstenmaier","rednerliste","herr","erhöhung","berufsbeamtentums","hinblick","stellenpläne","besoldungsgruppen","innenminister","vorlage","arbeiter","verbesserungen","april","versorgungsbezüge","innern","innenausschuss","wuermeling","bundeskriminalamt","bahnpolizeibeamten","tarifverhandlungen","bundesgrenzschutz","umweltschutzes","abfallstoffe","gemeinden","verbrechensbekämpfung","nämlich","bundesgrenzschutz","naturschutz","bundesinnenminister","gruhl","bgs","öffentlichen","dienstes","ländern","dienstes","innenminister","besoldung","bundesdatenschutzgesetz","beamte","schoeler","bundesdatenschutzgesetzes","asylrecht","fälle","lebenden","hirsch","gemeinden","ausländischen","auswärtigen","pinochet","zimmermann","duve","kulturpolitik","stiftung","asylrecht","humanitären","ausland","auswärtigen","wahlrecht","asylbewerber","auswärtigen","gemeinden","lebenden","asylrechts","schengen","asylkompromiss","asylkompromiss","flüchtlingen","migranten","einbürgerung","staatsbürgerschaft","ghana","ausländergesetzes","kanther","özdemir","zeitlmann","innenminister","deutschland","uhl","gesellschaft","menschen","erwin","bundesinnenminister","inneren","marschewski","inneren","innern","stadler","wunsiedel","zuwanderungsgesetz","verfassung","bleiberecht","dağdelen","rassismus","migrantinnen","grindel","bundespolizei","wolff","grindel","migranten","menschen","rechts","nsu","migranten","doppelte","integration","staatsangehörigkeit","bamf","schutz","abschiebung","staatsangehörigkeit","seehofer","sicheren","abschiebungen","innenminister","aussengrenzen","migrationspolitik","evakuierung","bundespolizei"
