"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","gesetz","bundesrat","bundesrat","bundesrat","gesetz","gesetz","vermittlungsausschuß","bundesrates","apotheke","vermittlungsausschuß","bankenaufsicht","apotheke","vermittlungsausschuß","vermittlungsausschuß","bundesrat","rezeptpflicht","saarländischen","wahlkreise","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","bundesbahn","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","post","bundesbahn","verkehr","bundesbahn","verkehr","post","fernmeldewesen","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","post","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","bundespost","werften","bundesbahn","bremen","bahn","bundesbahn","bundesbahn","bundesbahn","werften","bahn","bundespost","bundesbahn","verkehr","bahn","bundespost","bundesbahn","krause","verkehr","krause","bahn","bahn","transrapid","bahn","bahn","post","post","bahn","bahn","bahn","bahn","schiene","bahn","bahn","bahn","ag","bahn","bau","verkehr","maut","bahn","bahn","bahn","verkehr","verkehr","bahn","verkehr","bahn","bahn","bahn","bahn","bahn","stuttgart","bahn","verkehr","bahn","ramsauer","lärmschutz","bahn","pkwmaut","maut","infrastruktur","verkehr","infrastruktur","fahren","mobilität","fahrverbote","bahn","bahn","bahn","mobilität","bahn","mobilität"
"2","gesetzes","bundesregierung","gesetz","vermittlungsausschuß","gesetz","gesetzes","vermittlungsausschuß","gesetz","bundesrat","gesetz","bundesrat","bundesrat","apotheker","bundesrat","vermittlungsausschusses","bundesrates","bundesrates","grenzgänger","wahlkreis","verkehrsträger","müllerhermann","verkehrs","verkehr","seebohm","verkehr","bundesbahn","verkehr","bundesbahn","verkehr","börner","bundesbahn","bundesbahn","fernmeldewesen","post","fernmeldewesen","lemmrich","haar","verkehr","post","fernmeldewesen","verkehr","bundespost","bahn","zeittakt","bahn","haar","bundespost","bundespost","bundespost","bundespost","verkehrspolitik","post","mahne","bahn","mahne","seeschiffahrt","post","bremen","bahn","bundesbahn","bundesbahn","bahn","bundespost","bundespost","straßen","bundesbahn","post","bundespost","bundesbahn","bundesbahn","telekom","bahn","tempolimit","verkehrspolitik","verkehr","verkehrspolitik","transrapid","bahn","verkehr","strecke","verkehr","ag","ag","ag","post","verkehr","bahn","transrapid","ag","schiene","verkehr","verkehr","verkehr","bahn","schiene","schiene","verkehr","verkehr","seeschifffahrt","bahn","schiene","bahn","tempolimit","verkehr","ag","verkehr","verkehr","bahn","stuttgart","bahn","bürgerbeteiligung","bahn","straßen","infrastruktur","infrastruktur","infrastruktur","vw","infrastruktur","bundesverkehrswegeplan","dobrindt","grenzwerte","fahrzeuge","mobilität","mobilität","scheuer","bahn","schiene","schiene"
"3","bundesregierung","entwurf","gesetzes","gesetz","vermittlungsausschuß","bundesrat","bundesrat","vermittlungsausschusses","bundesregierung","gesetzentwurf","vermittlungsausschusses","verwaltung","kanka","vermittlungsausschusses","bundesrates","ortsklasse","bundesrat","vermittlungsausschuß","neueinteilung","verkehrspolitik","bleiß","schönberg","seebohm","verkehr","leber","börner","börner","börner","börner","post","fernmeldewesen","post","post","fernmeldewesen","verkehr","verkehr","bundesbahn","verkehrspolitik","fernmeldewesen","verkehr","post","post","verkehr","bundespost","post","verkehr","verkehr","post","mahne","straßen","verkehr","bundespost","bundesverkehrsminister","mahne","bundespost","deutsche","bundesbahn","hdw","bundespost","saarland","bundespost","bundespost","verkehrssicherheit","post","autobahnen","verkehr","bundesbahn","bahn","bahn","schiene","post","verkehr","autobahnen","bahn","verkehrspolitik","bahnreform","bahnreform","unternehmen","verkehrspolitik","transrapid","ag","wissmann","post","verkehr","ag","bau","ag","strecke","schiene","ag","bahn","schiene","bahn","wohnungswesen","verkehr","verkehr","bau","wohnungswesen","mertens","bau","ag","bau","autobahnen","db","verkehr","flugsicherung","schiene","verkehr","verkehr","bau","tempo","bau","bahn","verkehr","dobrindt","infrastrukturabgabe","verkehr","dobrindt","schiene","verkehr","öpnv","mobilität","fahrverbote","schiene","verkehr","schiene","mobilität","öpnv"
"4","bundesrat","bundesrat","rechtsverordnungen","länder","bundesregierung","wiedergutmachung","bundesregierung","hochschullehrer","grundgesetzes","arzneimittelgesetz","bundesrates","luftverkehrsverwaltung","vermittlungsausschuß","bundesrates","bundesrat","arzneimitteln","arzneimittel","bundesrat","hannover","verkehr","verkehr","verkehr","dring","dring","börner","leber","leber","leber","bundesverkehrsminister","fernmeldewesen","börner","fernmeldewesen","bundesbahn","börner","bundespost","zuweisungen","post","haar","bundesbahn","bundesbahn","bundesbahn","bahn","jung","wrede","bundespost","post","post","wrede","verkehr","straßenbau","ruhnau","hauff","bahn","bundesverkehrsminister","poststellen","handelsflotte","deutsche","bremer","post","bundespost","post","post","verkehr","werften","schiffbauindustrie","bundespost","telekommunikation","post","österreich","verkehr","kretkowski","reichsbahn","straßen","krause","schiene","schiene","telekom","verkehrspolitik","ag","verkehr","transrapid","verkehr","verkehr","wissmann","transrapid","schiene","transrapid","verkehr","verkehr","verkehr","schiene","bau","ag","bau","bahn","ag","wohnungswesen","bau","bau","stadtentwicklung","db","stadtentwicklung","verkehr","ag","db","bau","ag","schiene","ag","stuttgart","ramsauer","verkehr","verkehr","mobilität","lkwmaut","pkwmaut","dobrindt","bahn","dobrindt","mobilität","fahrverbote","grenzwerte","schiene","auto","mobilität","scheuer","fahren","bahn"
"5","art","gesetzentwurf","bundesregierung","gesetzes","gesetzes","bundesregierung","gesetzes","bundesrat","gesetzentwurf","entwurf","gesetzentwurf","vermittlungsausschuß","bundesrat","gesetz","abs","arzneimittelgesetz","contergan","saarlandes","ostfriesland","müllerhermann","verkehrspolitik","güter","tarife","müllerhermann","ramms","verkehrspolitischen","straße","straßen","leber","bundesbahn","post","leber","börner","bundesbahn","leber","nürtingen","fernmeldewesen","post","autobahnen","haar","gscheidle","verkehr","post","post","zeittakt","bundespost","bahn","verkehr","straßen","mondscheintarif","bundespost","verkehr","jobst","bundespost","deutschen","post","deutschen","hamburg","zonenrandgebiet","bundespostminister","verkehr","senfft","post","küste","verkehrssicherheit","strecke","wettbewerb","deutschen","schiene","flugsicherung","bundesbahn","schiene","wilhelmshaven","flugsicherung","feige","verkehr","post","telekom","schiene","wissmann","bahn","telekommunikation","strecke","post","schiene","müntefering","verkehr","bau","db","strecke","wohnungswesen","bodewig","wohnungswesen","ag","stolpe","häfen","schiene","maritimen","kapitän","friedrich","verkehr","ag","ag","schiene","tiefensee","stadtentwicklung","stadtentwicklung","mobilität","maritimen","stadtentwicklung","verkehr","schlichtungsstelle","pkwmaut","dobrindt","maut","dobrindt","fahrzeuge","stuttgart","bahn","bahn","luft","luft","grenzwerte","scheuer","bürgerbeteiligung","verkehr","scheuer","auto"
"6","länder","gesetzes","entwurf","grundgesetzes","bundesrates","grundgesetzes","bundesrates","grundgesetzes","gesetz","bundesbaugesetzes","entwurf","bundesrates","apotheken","arzneimitteln","krankheiten","arzneimittelgesetzes","arzneimitteln","saarland","wahlkreises","bleiß","bundesverkehrsminister","straßen","deutschen","verkehrspolitik","bundesverkehrsminister","straße","verkehrspolitischen","trennscheibe","straßen","leber","leber","börner","leber","gemeinden","bundesbahn","fernmeldewesen","verkehrspolitik","bahn","technologie","bundespost","haar","verkehrspolitik","fernmeldewesen","nahbereich","gscheidle","bahn","fernmeldewesen","mahne","post","verkehr","deutsche","bahn","bundespost","verkehr","merker","reeder","postminister","bundespost","verkehr","postminister","deutschen","verkehr","straßen","bahn","schiffbau","öpnv","deutsche","deutsche","verkehrspolitik","straße","bahn","verkehrspolitik","kmh","verkehrsträger","bahn","bundesverkehrswegeplan","verkehr","verkehr","lärm","ag","telekom","transrapid","schiene","verkehrspolitik","verkehrspolitik","ag","post","klimmt","bau","db","bau","wohnungswesen","lkwmaut","bundesverkehrswegeplan","bau","bahnreform","ag","häfen","wohnungswesen","mobilität","bau","db","stadtentwicklung","privatisierung","schiene","häfen","verkehrspolitik","elektromobilität","schiene","elbe","reeder","schiene","schiene","schiene","verkehr","bahn","digitale","digitale","verkehr","auto","bahn","scheuer","fahrzeuge","verkehr","ausbau","auto","verkehr","verkehr"
"7","entwurf","grundgesetzes","bundestag","apotheken","entwurf","vermittlungsausschusses","vermittlungsausschusses","bundesrates","erlaß","bundesrat","arzneimitteln","bundesregierung","bundesrates","arzneimittel","seidl","durchgang","bundestages","bundesrates","vermittlungsausschuß","werkfernverkehr","bahn","seebohm","straße","tarife","straße","deutschen","bundesverkehrsminister","strecke","verkehrspolitik","strecke","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","lemmrich","haar","deutschen","technologie","lauritzen","forschung","jung","verkehrspolitik","jung","bundespost","einführung","antrag","fernmeldewesen","gscheidle","fernmeldewesen","lärmschutz","mondscheintarifs","schulte","personennahverkehr","lufthansa","verkehrspolitik","verkehr","schiffe","glasfaser","bundesbahn","deutschen","post","fläche","hoffie","deutschen","deutsche","bundesbahn","straße","zonenrandgebiet","verkehr","straße","verkehrspolitik","infrastruktur","post","feige","öpnv","straßen","bundesbahn","promille","strecke","telekom","telekom","telematik","bahn","transrapid","altmann","verkehr","pallas","bau","ag","strecke","bau","post","staatsvertrag","strecke","schiene","wohnungswesen","wohnungswesen","stolpe","stolpe","goldmann","schiene","netz","großmann","db","stadtentwicklung","bau","verspätung","bau","projekt","bau","ramsauer","elbe","stuttgart","tempolimit","flughafen","straßen","straßen","straße","fahrzeuge","maut","maritimen","automobilindustrie","städten","scheuer","elektromobilität","verkehrsminister","kraftstoffe","auto","euroticket"
"8","grundgesetzes","länder","länder","bundesregierung","gesetzentwurf","entwurf","rechtsverordnung","länder","bundeswasserstraßen","apothekengesetz","gesetzes","vermittlungsausschusses","apothekers","apotheken","anrufungsbegehren","rechtsverordnung","nebenwirkungen","wörter","wahlkreiseinteilung","wettbewerb","seebohm","hansing","bahn","bundesverkehrsminister","straßenverkehrsordnung","bundesverkehrsminister","straßen","straße","verkehrs","kollege","saar","lemmrich","mineralölsteuer","mineralölsteuer","gebührenerhöhung","post","hauff","personennahverkehr","bundespost","verkehrspolitik","jung","gscheidle","personennahverkehr","fernmeldewesen","verkehr","fahrzeuge","verkehrspolitik","straßenverkehr","wrede","km","personennahverkehr","mahne","post","hauff","deutsche","schiffahrt","verkabelung","schiffbau","deutsche","bahn","dollinger","lkw","bedarfsplan","deutschen","geschwindigkeit","fläche","verkehr","zonenrandgebiet","straßen","bundespost","breitbandverkabelung","bundespost","verkehr","schiene","verkehrssicherheit","krause","postreform","postreform","flughäfen","donau","telekommunikation","postbank","db","schiene","wissmann","ibrügger","müntefering","hamburg","wohnungswesen","wohnungswesen","bodewig","donau","verkehrspolitik","großmann","minister","bundesverkehrswegeplan","db","maritime","börnsen","verkehrsträger","investitionen","achim","hofreiter","bau","flugsicherung","elektromobilität","straße","fahren","maritime","ag","flughafen","maritimen","autobahnen","pkwmaut","schiene","verkehr","kraftfahrtbundesamt","automobilindustrie","mobilität","automobilindustrie","diesel","auto","elektromobilität","automobilindustrie","planung","öpnv","fahrzeuge","infrastruktur"
"9","gesetzentwurf","bundestag","vermittlungsausschuß","apotheke","grundgesetzes","vermittlungsausschuß","grundgesetzes","bundestag","gesetzes","apotheken","gesetz","länder","vermittlungsausschusses","grundgesetzes","gesetzes","arzneimittel","verantwortung","rechtsverordnungen","niedersachsen","bundesverkehrsminister","straßenbau","hübner","kosten","bahn","straßen","ramms","eisenbahn","verkehrspolitischen","eisenbahn","deutsche","straßenbau","straßen","lemmrich","apel","gscheidle","angespannten","herr","fluglotsen","hauff","personennahverkehr","bundesminister","zeittakt","vehar","bundespostminister","fernmeldewesen","wrede","bundesverkehrsminister","leber","verkehrspolitik","fernmeldewesen","mahne","verkehrspolitik","kölnbonn","straßenbau","verkehrsausschuß","fischer","verkehr","norddeutschen","eisenbahner","verkabelung","deutsche","straßen","ausbau","norden","küste","post","börnsen","weiss","flugsicherung","weiss","telekommunikation","krause","verkehrspolitik","straßen","öpnv","straße","binnenschiffahrt","post","promille","telekommunikation","postfilialen","ausbau","lärm","postgesetz","filialen","transrapid","ibrügger","wohnungswesen","verkehrspolitik","binnenschifffahrt","lkwmaut","schweiz","post","post","bundesverkehrswegeplan","bau","strecke","port","angelika","tiefensee","stadtentwicklung","hofreiter","verkehrssicherheit","bahnreform","großmann","ag","mobilität","bau","stadtentwicklung","schiene","bau","stadtentwicklung","verkehrssicherheit","straßen","bahn","lkwmaut","automobilindustrie","vw","digitale","infrastruktur","saubere","autos"," mikrogramm","infrastruktur","lärmschutz","infrastruktur","infrastruktur","bus"
"10","bundestag","art","gesetzentwurf","entwurf","rechtsverordnung","bayern","ermächtigung","bundesregierung","entwurf","bundesverfassungsgerichts","ländern","bundeseigene","verpachtung","gesetzes","rechtsverordnung","bundesrats","abs","lothringen","wahlkreiskommission","verkehrswirtschaft","berufsverkehr","personenverkehr","seiermann","verkehrs","beförderungsteuer","ausbau","verkehrspolitik","bundesverkehrsminister","programm","staatssekretär","lemmrich","verkehrsbericht","bedarfsplan","straßenbau","gebührenerhöhungen","fehlbeträge","bundespost","fernmeldewesen","verkehrsausschuß","folgekosten","deutschen","fernmeldewesen","km","nahbereiche","wrede","straßen","deutschen","strecken","verkehrssicherheit","tourismus","straßen","ausbau","verkehr","verkehrsminister","sonderzüge","seeleute","seeschiffahrt","koschnick","verkabelung","fläche","verkehrsminister","verkehrspolitik","autobahnen","norddeutschland","schleswigholstein","schiene","ausbau","schwarzschilling","nachtfahrverbot","post","straße","ausbau","telekom","bundesbahn","bundesverkehrswegeplan","verkehrsträger","verkehrspolitik","ag","wissmann","schiene","binnenschiffahrt","elbe","bahnreform","bahnreform","verkehrsminister","wohnungswesen","wohnungswesen","schiene","transrapid","netz","db","bundesverkehrswegeplan","schiene","achim","straße","straße","gleicke","package","bahn","straße","verkehrspolitik","schiene","bau","finanzierungsvereinbarung","stadtentwicklung","ausbau","stuttgart","ag","db","db","projekt","flughafen","ramsauer","ber","digitale","schiene","schiene","schiene","fahren","maritime","fahrzeuge","automobilindustrie","elektrokleinstfahrzeuge","fahren","schiene","a ","verkehrssicherheit","planungsbeschleunigung"
"11","vermittlungsausschuß","bundesrates","art","wiedergutmachung","regelung","ländern","gesetzentwurf","soldatenversorgungsgesetz","länder","bundesbaugesetz","regelung","kreditinstitute","dittrich","landesregierungen","vorschlag","zustimmung","nachweis","arzneimittel","einheit","straßenverkehr","tarife","verkehrsprobleme","bundesverkehrsminister","börner","kraftfahrzeugsteuer","kollege","deutschen","bundesminister","deutschen","elektrifizierung","straßen","gemeinden","straßen","pf","müllerhermann","vorfinanziert","wittrock","bundesverkehrsminister","wittrock","nahverkehr","ktk","km","deutschen","bahn","straßen","km","wrede","poststellen","bahn","autobahn","bahn","fernmeldewesen","vorstand","deutschen","strecke","deutschen","pfeffermann","bund","vorstand","bund","hoffie","saar","straßenbau","straßen","verkehr","straßenbau","kunden","unternehmen","weiss","öpnv","anbieter","verkehrsträger","geschwindigkeit","verkehrs","bundesbahn","ausbau","promillegrenze","postbank","telekommunikation","post","kombinierten","strecke","wettbewerb","ausbau","ferner","schmidt","schmidt","antistauprogramm","straße","mehdorn","hilsberg","ag","straße","strecke","verkehrsinfrastruktur","db","maut","schiene","promille","infrastruktur","infrastruktur","projekt","infrastruktur","tiefensee","fehmarnbeltquerung","privatisierung","carsharing","stadtentwicklung","elbe","hafen","infrastruktur","schiffe","bau","lkwmaut","verkehrsinfrastruktur","bundesstraßen","volkswagen","bundesverkehrswegeplan","straßen","fahrzeuge","städten","verkehr","verkehr","kraftstoffe"," kmh","verkehrswende","öpnv","fahren"
"12","vorlage","vorlage","lesung","bundestag","vermittlungsausschusses","bundesrates","art","gesetzes","lebensmittelüberwachung","arzneimitteln","arzneimittel","luftverkehrs","arzneimittel","rechtsverordnungen","bundesrats","vermittlungsausschuß","verkehr","senats","ostfriesischen","bahn","dring","entgelte","verkehrsträger","seehäfen","kraftfahrer","oberpfalz","müllerhermann","autobahn","straße","bundesminister","verfügung","müllerhermann","verkehrspolitik","werkfernverkehr","herr","bezahlen","straßenbau","schulte","straßen","bahn","vorstand","lemmrich","jobst","verkehr","übungen","deutschen","haar","hoffie","verkehrs","verkehrssicherheit","nahverkehr","gscheidle","deutsche","strecken","personal","schiffbau","netze","aufträge","jobst","deutschen","privatisierung","km","daubertshäuser","verkehr","deutschen","deutsche","flughäfen","telekommunikation","luftverkehr","strecke","auto","telekommunikation","verkehrswege","auto","straße","reichsbahn","postunternehmen","rechtsform","straßen","informationsgesellschaft","wettbewerb","donau","strecken","transrapid","straße","verkehrspolitik","straße","post","dass","transrapid","strecke","ausbau","stolpe","db","bahnreform","stolpe","verkehrsinfrastruktur","mertens","alkoholmissbrauch","db","straße","tempelhof","schiene","leistungs","achim","tonnen","ramsauer","ramsauer","stresstest","straße","maritimen","maritime","infrastruktur","bundesverkehrswegeplan","bundesstraßen","bahnreform","manipulationen","autos","pkwmaut","carsharing","nachrüstung","bahn","städten","öpnv","straßen","verkehrsminister","straßen","ländlichen"
"13","bundesrats","ländern","bundesrates","vermittlungsausschusses","bundesrats","bundestag","bundestag","entwurf","zuständigkeiten","gesetzes","bundesregierung","bundesauftragsverwaltung","erlaubnis","apotheke","ides","rechtsverordnungen","rezept","wirtschaftssicherstellungsgesetz","lothringen","verkehrs","personenverkehr","abwanderung","km","deutschen","tarife","strecken","programm","taxifahrer","verkehrspolitischen","unfälle","bundesverkehrsminister","straßenbau","ausbauplan","öffentlichen","bundesminister","übliche","forschung","bundespost","personennahverkehr","hoffie","bundespost","dollinger","verkehrspolitik","minuten","verkehrsminister","autobahn","verkehrsminister","bundespostminister","lärm","bundesbahn","straßenbau","gebührenerhöhung","autobahn","milz","öffnungszeiten","bundesbahn","verkehrspolitik","grobecker","paterna","finanzhilfen","paterna","pkw","hoffie","hamburg","unfälle","deutschen","dienste","verkehrspolitik","alpen","lkw","schiene","straßen","region","bundesverkehrsminister","verkehrsträger","elbe","schiene","wissmann","post","ausbau","kiper","altmann","straßen","strecke","straßenverkehr","steenblock","lothar","verkehrspolitik","schmidt","bahnreform","straße","straße","iris","projekte","harmonisierung","verkehrsinfrastruktur","investitionen","beckmeyer","staatssekretärin","ag","verkehrsinfrastruktur","flughafen","straßen","flugsicherung","börsengang","projekt","db","verkehrspolitik","lärm","mobilität","bürger","reeder","straße","brandenburg","wilms","autofahrer","alexander","mobilität","straße","straße","fahren","schiene","grenzwert","autos","fahren","straßen","ausbau","straße"
"14","abs","zustimmung","rechtsverordnung","bundes","länder","art","erlaß","verabschiedung","rechtsverordnung","bundesregierung","revisionsklausel","grundgesetz","streichung","abs","länder","zugeteilt","länder","herford","bundestagswahlkreise","verkehrsträgern","seibert","genehmigungen","seibert","verkehrsträger","verkehrs","bundesminister","bahn","deutschen","müllerhermann","deutschen","gebaut","verkehrspolitik","bundesfernstraßen","kollege","deutschen","gleiche","mineralölsteuer","lemmrich","verkehrspolitik","deutschen","deutsche","deutschen","haar","eid","verkehrssicherheit","bundesfernstraßen","verkehrsausschuß","deutschen","straßenbau","hoffie","autobahn","lemmrich","deutschen","personennahverkehr","bayern","flagge","medienpolitik","metz","postminister","personennahverkehr","verkehrspolitik","straßenbau","autobahn","verkehrspolitik","verkehrstoten","weiss","zonenrandgebietes","wettbewerb","lkw","verkehrsträger","mitarbeiter","straße","post","mobilität","ausbau","lkw","wissmann","postunternehmen","flughafen","börnsen","schiene","verkehrspolitik","schmidt","promille","strecke","lothar","hochwasser","schmidt","bahnreform","mertens","verkehrsträger","binnenschifffahrt","mertens","mertens","verkehrspolitik","schmidt","straßen","maut","lippold","ausbau","tiefensee","transrapid","tempolimits","hofreiter","minister","fahrgäste","projekt","straße","schlichtung","infrastruktur","planfeststellungsverfahren","projekt","brandenburg","verkehrspolitik","collect","nutzerfinanzierung","kühn","behrens","alexander","radverkehr","infrastruktur","diesel","autos","verkehrswende","auto","autobahnen","ländlichen","verkehrspolitik"
"15","ländern","änderung","bund","ländern","wiedergutmachung","bundesrats","rechtsverordnungen","gesetzentwurf","bundesrats","regelungen","sicherungsklausel","gesundheitsausschuß","grundgesetzes","wegekosten","grundgesetzes","abs","ärztlichen","vermittlungsausschusses","landeshauptstadt","güterfernverkehr","vorstand","bundesbahngesetz","straßen","straßenbau","strecke","scheel","deutsche","bundesstraße","bahn","straßen","bundesminister","eisenbahn","verkehrsbericht","ollesch","defizit","stark","staatssekretär","hauff","schulte","personennahverkehrs","herr","verkehrsminister","strecken","deutschen","bundesfernstraßen","ausbau","hoffie","antrag","fernmeldewesen","ausbau","hoffie","gebühren","flughafens","post","nachkalkulation","fernmeldewesen","fahrlässig","senat","dollinger","öpnv","unternehmen","deutschen","dollinger","fernmeldewesen","tempolimit","warnke","schiene","straßen","verkehrsminister","fläche","deutsche","telekom","klausdieter","mecklenburgvorpommern","autobahnen","stendal","daubertshäuser","aktiengesellschaft","altmann","straße","bury","telekom","kilometer","verkehrsträger","öpnv","albert","strecke","schleswigholstein","klimmt","hennigsdorf","stephan","verkehrspolitik","verkehrsinfrastruktur","straße","lkwmaut","maut","projekt","ag","hansmichael","projekte","straßen","strecke","kmh","großmann","finanzierungsvereinbarung","hinterlandanbindung","beckmeyer","verkehrssicherheit","wsv","weißbuch","schiffe","ferlemann","ag","lärmschutz","erhalt","behrens","autos","krischer","plan","güterwagen","schiene","fahren","straße","straße","fahrverbote","ausbau","busse","wissing"
"16","bundesminister","gesetzentwurfs","bundesrats","apotheker","abs","länder","abs","bundesrats","wasserhaushaltsgesetz","enteignung","apotheke","gesetzes","gesetzes","anhörverfahren","gesetz","vorschriften","ministerium","saarländische","kommission","beförderungsteuer","straßen","schiene","bahnsteigsperren","mineralölsteuer","fahrzeuge","beim","dienstag","müllerhermann","autobahn","bundesstraßen","autobahn","verkehrs","öffentlichen","straßen","bahn","verantwortung","bundesminister","technologie","gebühren","deutsche","zielvorgaben","haar","straßmeir","bundesminister","deutschen","straßmeir","antrag","straße","verkehrslärm","uhr","fläche","deutschen","ländlichen","jobst","spielsalons","lufthansa","kupfer","deutsche","strecken","km","km","straße","fernmeldewesen","schiffbau","küstenländern","haar","deutschen","fernmeldewesen","flughäfen","straßen","mittwoch","straßenbau","bundespost","ausbau","tanker","saale","ag","aktiengesellschaften","straße","hamburg","telekommunikationsgesetz","schiene","dürr","gila","brenner","bundesverkehrswegeplan","verkehrspolitik","ausbau","albert","goldmann","netz","lkwmaut","straßen","stolpe","blank","investitionen","friedrich","börnsen","trunkenheitsfahrten","verkehrsinfrastruktur","verkehrsprojekte","netz","tiefensee","straße","mobilität","zug","verkehrsträger","fluggesellschaften","bundesstraßen","projekt","flugrouten","bundesverkehrsminister","autofahrer","ag","straße","kfzsteuer","mobilität","auto","verkehrspolitik","elbe","autoindustrie","saubere","auto","nahverkehr","städten","verkehrspolitik","straße","ausbau"
"17","zustimmung","entwurfs","abs","bundesrats","bundestag","mai","verpflichtungen","ländern","beauftragten","vorlage","grundgesetzes","vorschlag","schmid","touristikunternehmen","übertragbarer","scharnhorst","rechtsverordnungen","rastatt","conring","straßen","verkehrsträger","lösung","müllerhermann","strecken","hofmann","gerstenmaier","verbotsliste","werkfernverkehr","imle","verkehrspolitischen","kanal","verkehrsminister","straßenbau","güterfernverkehr","vizepräsident","leistungen","deutschen","müllerhermann","verkehrssicherheit","herr","zusatzfrage","jobst","öpnv","zeittaktes","damm","strecken","jobst","oberpostdirektion","hoffie","flensburger","personennahverkehrs","fläche","führungsstruktur","vorstand","schiffahrt","ausflaggen","paritätisch","deutschen","verkehrspolitik","deutsche","schiene","verkehrssicherheit","straße","straßenbau","raserei","güter","münchen","strecke","schweiz","ausbau","markt","öpnv","bundesbahn","straße","unfälle","km","bau","postgewerkschaft","promillegrenze","projekt","strecke","autofahrer","ferner","straße","österreich","altmann","albert","investitionsprogramm","güterverkehr","schmidt","maut","projekte","db","verkehrsinfrastruktur","güterverkehr","verkehrsträger","ausbau","küste","friedrich","brücken","börsengang","friedrich","anton","infrastruktur","mehdorn","schiene","elektromobilität","stadt","schifffahrtsverwaltung","badenwürttemberg","maritime","see","lärm","digitale","brücken","digitale","fahren","projekt","gastel","verkehrsminister","verkehr","verkehrsminister","fahren","straßen","strecke","elektromobilität","autobahnen","straßen"
"18","beratung","bund","verordnung","gesetzentwurf","bundestages","bund","verwaltungsgerichtsordnung","abs","todesstrafe","baurechts","personalvertretungsgesetzes","aufgaben","betreiben","luftverkehrsverwaltung","kreditwesen","nutzung","vermittlungsausschuß","eisenbahnunternehmer","arzneimittel","binnenschiffahrt","straße","fahrplan","verkehrs","seibert","müllerhermann","vierjahresplan","km","ramms","schiene","herr","bauen","mineralölsteuer","apel","deutschen","wittrock","herr","schulte","forschung","luftverkehr","gscheidle","verkehrsausschuß","schulte","deutsche","zeitzählung","deutsche","verkehrslärm","deutsche","strecke","verkehrslärmschutzgesetz","landschaft","verkehrsminister","minister","flughafen","deutsche","börnsen","ausflaggung","reeder","rawe","kanal","saarlandes","bund","verkehrsmittel","straßenverkehr","senfft","jobst","schulte","postreform","straße","zimmermann","telekommunikation","ablieferung","strecke","unfälle","daubertshäuser","günther","telekom","wismar","telekommunikation","ausbau","wettbewerb","verkehrsträger","vignette","verkehrsausschuß","kilometer","altmann","strecke","badenwürttemberg","dm","verkehrsminister","börnsen","kurt","variante","angelika","angelika","ag","verkehrspolitik","bundesverkehrswegeplan","verkehrsinfrastruktur","fahrerlaubnis","straßen","hübner","münchen","eigentum","achim","reifen","fernverkehr","fahren","schlichtung","schlichtungsstelle","verkehrspolitik","bürgerinnen","schlichtung","anwohner","erhalt","lkw","einnahmen","bahn","leidig","ag","digitale","autos","grenzwert","luft","verkehrspolitik","straße","fahrzeuge","straßenverkehr","elektromobilität"
