"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beratung","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","drucksache","drucksache","drucksache","beratung","beratung","beratung","ausschuss","ausschuss","beratung","ausschuss","drucksache","beratung","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","vorsorgeprinzip","for","lobbyregister","lobbyregister","transparenz","transparenz"
"2","bitte","rufe","rufe","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","rates","beratung","rates","rates","rates","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","drucksache","drucksache","beratung","beratung","ausschuss","drucksache","beratung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","beratung","beschlussempfehlung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschüsse","gesetzentwurf","innovationsprinzip","future","amthor","transparenz","film","truman"
"3","nr","gegenprobe","gesetzes","rufe","rufe","berichterstatter","ausschuss","berichterstatter","beratung","rufe","rufe","ausschuss","ausschuss","ausschuss","punkt","beratung","beratung","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","berichterstatter","drucksache","berichterstatter","berichterstatter","gegenprobe","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","rates","ausschuss","rates","berichterstatter","ausschuss","ausschuss","ausschuss","verordnung","verordnung","ewg","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","drucksache","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","drucksache","drucksache","drucksache","beratung","ausschuss","ausschuss","beratung","beratung","beratung","drucksache","beratung","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beratung","beratung","beratung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","stimmen","stimmen","future","fridays","philipp","lobbyismus","antidopinggesetz","film"
"4","rufe","aussprache","berichterstatter","berichterstatter","ausschuss","ausschuss","tagesordnung","punkt","tagesordnung","tagesordnung","enthaltungen","rufe","eingebrachten","eingebrachten","berichterstatter","ausschuss","ausschuss","ausschuss","drucksache","enthaltungen","ausschuss","enthaltungen","berichterstatter","ausschuss","ausschuss","ausschuss","tagesordnung","berichterstatter","gegenprobe","ausschuss","berichterstatter","rates","berichterstatter","beratung","berichterstatter","verordnung","rates","verordnung","ausschuss","berichterstatter","beratung","rates","ewg","comment","verordnung","tagesordnung","entwurfs","tagesordnung","tagesordnung","tagesordnung","tagesordnung","drucksachen","entwurfs","drucksachen","tagesordnung","gesetzes","beschlussempfehlung","tagesordnung","aussprache","aussprache","aussprache","beschlussempfehlung","aussprache","ausschuss","tagesordnung","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","stimmt","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beschlussempfehlung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","beratung","linke","for","greta","strenz","interessenvertretung","filmförderung","moldauer"
"5","drucksachen","gesetzes","drucksache","ausschuss","punkt","rufe","punkt","tagesordnung","überweisung","gegenprobe","gegenprobe","überweisung","punkt","punkt","bericht","tagesordnung","tagesordnung","tagesordnung","ausschusses","ausschuss","enthaltungen","gegenprobe","enthaltungen","ausschusses","ausschusses","gegenprobe","enthaltungen","enthaltungen","berichterstatter","tagesordnung","tagesordnung","verordnung","tagesordnung","verordnung","ausschuss","ewg","berichterstatter","ewg","tagesordnung","rates","ewg","ewg","ausschuss","ewg","ausschuss","beschlussempfehlung","tagesordnung","berichterstatter","berichterstatter","entwurfs","überweisungsvorschlag","tagesordnung","ältestenrates","beschlussempfehlung","beschlussempfehlung","tagesordnung","tagesordnung","aussprache","tagesordnung","beschlussempfehlung","beschlussempfehlung","aussprache","beschlussempfehlung","aussprache","aussprache","aussprache","überweisungsvorschlag","fraktion","fraktion","drucksachen","eingebrachten","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","eingebrachten","drucksachen","beschlussempfehlung","überweisungsvorschlag","fraktion","fraktion","fraktion","überweisungsvorschlag","angenommen","aussprache","aussprache","stimmt","stimmt","stimmt","enthaltungen","stimmt","aussprache","aussprache","aussprache","stimmt","stimmt","aussprache","enthaltungen","beschlussempfehlung","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","beratung","fraktion","stimmt","stimmt","stimmt","stimmt","wer","aussprache","ausschuss","stimmt","beratung","beratung","wer","stimmt","fraktion","fraktion","fridays","chile","lobbyregisters","fussabdruck","kinos","korruption"
"6","gegenprobe","enthaltungen","punkt","punkt","berichterstatter","punkt","rufe","ausschuss","punkt","enthaltungen","ausschuss","gegenprobe","tagesordnung","tagesordnung","ausschusses","punkt","punkt","punkt","enthaltungen","punkt","ausschusses","ausschuss","gegenprobe","eingebrachten","enthaltungen","enthaltungen","ausschusses","tagesordnung","tagesordnung","verordnung","gegenprobe","ausschuss","ausschuss","ausschuss","rates","nr","eingebrachten","beratung","eingebrachten","verordnung","verordnung","berichterstatter","comment","ausschuss","comment","berichterstatter","comment","entwurfs","entwurfs","eingebrachten","einverstanden","beschlussempfehlung","gesetzes","tagesordnung","aussprache","entwurfs","berichterstatter","ältestenrates","beschlussempfehlung","tagesordnung","tagesordnung","tagesordnung","tagesordnung","fraktion","fraktion","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","fraktion","berichterstatter","tagesordnung","entwurfs","eingebrachten","drucksachen","überweisungsvorschlag","drucksachen","berichterstattung","aussprache","aussprache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","enthaltungen","überweisungsvorschlag","eingebrachten","aussprache","aussprache","enthaltungen","stimmt","gesetzentwurf","beschlussempfehlung","enthaltungen","gesetzentwurf","enthaltungen","aussprache","stimmt","stimmt","überweisungsvorschlag","fraktion","enthaltungen","stimmt","stimmt","stimmt","enthaltungen","fraktion","enthaltungen","fraktion","wer","wer","wer","ausschuss","beratung","beratung","aussprache","stimmt","stimmt","stimmt","ausschuss","entschliessungsanträge","dagegen","greta","antrag","mecklenburgvorpommern","aktienoptionen","tätigkeit","konsequenz"
"7","erheben","bitte","bitte","aussprache","handzeichen","gewünscht","aussprache","gewünscht","rufe","bitte","bitte","punkt","rufe","gegenprobe","tagesordnung","berichterstatter","eingebrachten","enthaltungen","gewünscht","tagesordnung","tagesordnung","bericht","punkt","entwurfs","verordnung","tagesordnung","ausschuss","ausschuss","handzeichen","rates","ausschuss","berichterstatter","eingebrachten","ewg","verordnung","ausschuss","verordnung","überwiesen","entwurfs","entwurfs","berichterstatter","verordnung","berichts","berichts","berichts","entwurfs","eingebrachten","überweisungsvorschlag","eingebrachten","berichterstatter","haushaltsausschuss","ältestenrat","überweisungsvorschlag","berichterstatter","ältestenrat","überweisungsvorschlag","drucksachen","ältestenrat","eingebrachten","ältestenrat","eingebrachten","ältestenrat","fraktion","drucksachen","antrags","tagesordnung","eingebrachten","tagesordnung","drucksachen","eingebrachten","gesetzes","beschlussempfehlung","eingebrachten","drucksachen","eingebrachten","entwurfs","tagesordnungspunkt","eingebrachten","antrags","eingebrachten","drucksachen","aussprache","drucksachen","entwurfs","drucksachen","fraktion","überweisungsvorschlag","enthaltungen","enthaltungen","wer","angenommen","enthaltungen","enthaltungen","überweisungsvorschlag","angenommen","aussprache","gesetzentwurf","abgeordneten","stimmen","fcomment","stimmt","stimmt","enthaltungen","enthaltungen","wer","stimmt","wer","stimmt","enthaltungen","fraktion","überweisungsvorschlag","fraktion","fraktion","beschlussempfehlung","fraktion","beratung","fraktion","fraktion","fraktion","fraktion","stimmkarte","beratung","risiken","henryk","aserbaidschan","amthor","filme","schmutziges"
"8","angenommen","angenommen","entwurfs","tagesordnung","gegenprobe","tagesordnung","bitte","ausschusses","gegenprobe","entwurfs","eingebrachten","enthaltungen","enthaltungen","rufe","enthaltungen","gewünscht","ausschusses","gewünscht","punkt","gewünscht","gewünscht","ausschusses","handzeichen","rufe","tagesordnung","ausschusses","gegenprobe","eingebrachten","entwurfs","eingebrachten","enthaltungen","eingebrachten","gegenprobe","berichterstatter","tagesordnung","überwiesen","entwurfs","berichts","gesetzes","eingebrachten","berichts","tagesordnung","überwiesen","beratung","überwiesen","berichts","überweisungsvorschlag","eingebrachten","ältestenrates","drucksachen","aussprache","einverstanden","eingebrachten","ausschusses","gewünscht","ältestenrates","eingebrachten","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","ältestenrat","berichterstatter","berichterstatter","berichterstatter","geschäftsordnung","beschlussempfehlung","tagesordnung","aussprache","aussprache","entwurfs","drucksachen","drucksachen","aussprache","aussprache","berichterstattung","drucksachen","entwurfs","tagesordnungspunkt","drucksachen","entwurfs","aussprache","drucksachen","aussprache","fraktion","fraktion","federführendcomment","stimmt","angenommen","angenommen","angenommen","stimmen","angenommen","wer","stimmt","enthaltungen","angenommen","enthaltungen","enthaltungen","angenommen","enthaltungen","aussprache","wer","wer","wer","überweisungsvorschlag","wer","überweisungsvorschlag","wer","wer","enthaltungen","fraktion","enthaltungen","enthaltungen","tagesordnungspunkt","stimmen","fraktion","aussprache","aussprache","aussprache","dagegen","schriftführerinnen","angenommen","thunberg","kirchentag","bmwi","korruption","novelle","erstaunlich"
"9","punkt","punkt","tagesordnung","entwurfs","gesetzes","entwurfs","gesetzes","entwurfs","enthaltungen","ausschuss","tagesordnung","eingebrachten","gegenprobe","entwurfs","gegenprobe","ausschusses","berichterstatter","berichterstatter","tagesordnung","ausschusses","gegenprobe","berichterstatter","ausschusses","wer","gegenprobe","eingebrachten","rufe","entwurfs","eingebrachten","entwurfs","gesetzes","tagesordnung","entwurfs","berichts","eingebrachten","schreiben","tagesordnung","berichterstatter","drucksachen","ewg","tagesordnung","eingebrachten","beschlussfassung","überwiesen","beratung","eingebrachten","ältestenrates","ältestenrates","überweisungsvorschlag","beschlussempfehlung","ältestenrates","unterrichtung","tagesordnung","ältestenrat","drucksachen","aussprache","aussprache","eingebrachten","ältestenrat","eingebrachten","entwurfs","eingebrachten","drucksachen","ausschusses","überweisungsvorschlag","antrags","aussprache","drucksachen","tagesordnungspunkt","berichterstatter","entwurfs","tagesordnungspunkt","gesetzes","berichterstattung","aussprache","gesetzes","überweisungsvorschlag","ausschusses","eingebrachten","gesetzes","eingebrachten","ausschusses","ausschusses","drucksachen","stimmen","eingebrachten","tagesordnungspunkt","wer","überweisungsvorschlag","aussprache","wer","wer","stimmen","angenommen","eingebrachten","überweisungsvorschlag","stimmen","wer","abgeordneten","stimmt","wer","gegenstimmen","aussprache","angenommen","enthaltungen","angenommen","aussprache","überweisungsvorschlag","überweisungsvorschlag","aussprache","tagesordnungspunkt","abgeordneten","angenommen","fraktion","aussprache","stimmen","stimmen","stimmen","überweisungsvorschlag","gesetzentwurf","sitzung","abstimmung","vorsorge","fortentwicklung","risiken","lobbyisten","abgeordneten","moldau"
"10","gesetzes","wer","ausschuss","ausschusses","entwurfs","gesetzes","gegenprobe","gesetzes","entwurfs","überweisung","handzeichen","tagesordnung","entwurfs","enthaltungen","eingebrachten","eingebrachten","gewünscht","ausschusses","gegenprobe","gegenprobe","berichterstatter","rufe","rufe","punkt","drucksachen","punkt","eingebrachten","punkt","gewünscht","berichterstatter","betr","überwiesen","gesetzes","tagesordnung","berichts","berichts","gesetzes","änderung","ausschusses","tagesordnung","überwiesen","berichts","beratung","rat","beschlussfassung","überweisungsvorschlag","berichterstatter","beschlossen","schreiben","comment","beschlossen","gewünscht","beschlussempfehlung","aussprache","einverstanden","eingebrachten","gesetzes","beschlossen","entwurfs","ältestenrates","gesetzes","gesetzes","entwurfs","tagesordnung","eröffne","ältestenrat","entwurfs","ältestenrates","ältestenrates","überweisungsvorschlag","fraktion","widerspruch","tagesordnungspunkt","entwurfs","entwurfs","aussprache","berichterstattung","entwurfs","fraktion","drucksachen","berichterstattung","eingebrachten","eingebrachten","ausschusses","berichterstattung","stimmt","entwurfs","überweisungsvorschlag","wer","stimmen","gesetzentwurf","stimmen","fraktion","fcomment","stimmt","wer","angenommen","angenommen","gegenstimmen","tagesordnungspunkt","überweisungsvorschlag","überweisungsvorschlag","angenommen","abgeordneter","angenommen","gegenstimmen","fcomment","angenommen","abgeordneten","überweisungsvorschlag","abgeordneten","abgeordneter","empfiehlt","stimmen","tagesordnungspunkt","tagesordnungspunkt","enthält","enthält","dagegen","angenommen","fraktionen","beschlussempfehlung","tagesordnungspunkt","ausschuss","krise","film","regeln","rollenklischees"
"11","hand","entwurfs","erheben","gegenprobe","tagesordnung","gegenprobe","gewünscht","gegenprobe","gewünscht","punkt","punkt","gewünscht","berichterstatter","überweisung","ausschuss","enthaltungen","bericht","rufe","rufe","berichterstatter","punkt","eingebrachten","beschlossen","drucksachen","eingebrachten","entwurfs","entwurfs","ausschusses","ausschuss","überwiesen","eingebrachten","gesetzes","enthaltungen","änderung","überwiesen","änderung","ewg","eingebrachten","rates","gesetzes","eingebrachten","änderung","endgültigen","tagesordnung","rat","drucksachen","federführend","beschlussempfehlung","drucksachen","überweisungsvorschlag","eingebrachten","berichts","berichterstatter","gewünscht","widerspruch","beschlussempfehlung","ausschusses","entwurfs","ältestenrates","entwurfs","berichterstatter","tagesordnungspunkt","eingebrachten","berichts","überweisung","ältestenrates","tagesordnungspunkt","ausschusses","tagesordnung","aussprache","tagesordnung","beschlossen","tagesordnung","antrags","tagesordnungspunkt","berichterstattung","aussprache","gesetzes","abgeordneten","fraktion","antrags","berichterstattung","berichterstattung","gesetzes","ausschusses","tagesordnungspunkt","enthaltungen","tagesordnungspunkt","tagesordnungspunkt","überweisungsvorschlag","aussprache","empfiehlt","überweisungsvorschlag","gesetzentwurf","überweisungsvorschlag","stimmen","wer","überweisungsvorschlag","wer","angenommen","tagesordnungspunkt","abgeordneter","stimmen","aussprache","stimmen","empfiehlt","enthaltungen","tagesordnungspunkt","aussprache","angenommen","abgeordneter","angenommen","abgeordneter","überweisungsvorschlag","dagegen","überweisungsvorschlag","angenommen","tagesordnungspunkt","angenommen","enthält","wer","wer","innovation","linke","einfluss","abgeordneten","korruption","finanzkriminalität"
"12","aussprache","einleitung","einleitung","gewünscht","enthaltungen","ausschusses","beschlossen","bericht","eingebrachten","eingebrachten","gesetzes","handzeichen","bitte","beschlossen","gewünscht","aussprache","gegenprobe","gegenprobe","eingebrachten","eingebrachten","eingebrachten","punkt","tagesordnung","tagesordnung","wünscht","mittelstandsfragen","drucksachen","gesetzes","einstimmig","punkt","handzeichen","gegenprobe","rufe","eingebrachten","änderung","beschlussfassung","berichts","beschlussfassung","rufe","ausschusses","ausschusses","entwurfs","betr","endgültigen","rechtzeitige","ältestenrates","gesetzes","gesetzes","gesetzes","gesetzes","ältestenrat","berichterstatter","ältestenrat","einverstanden","berichterstatter","ältestenrat","entwurfs","widerspruch","berichterstatter","gewünscht","gewünscht","fraktion","ältestenrat","eingebrachten","beschlossen","eröffne","gesetzes","ältestenrat","berichterstatter","gesetzes","ausschusses","gesetzes","drucksachen","tagesordnungspunkt","gesetzes","tagesordnungspunkt","gesetzes","fraktion","gesetzes","tagesordnungspunkt","entwurfs","entwurfs","entwurfs","berichterstattung","empfiehlt","entwurfs","gesetzentwurf","fraktion","gesetzentwurf","fraktion","eingebrachten","eingebrachten","abgeordneten","eingebrachten","wer","abgeordneten","eingebrachten","gesetzentwurf","gesetzentwurf","gesetzentwurf","angenommen","angenommen","gegenstimmen","überweisungsvorschlag","bündnis","bündnis","tagesordnungspunkt","abgeordneter","fcomment","tagesordnungspunkt","angenommen","dagegen","dagegen","angenommen","angenommen","angenommen","tagesordnungspunkt","dagegen","tagesordnungspunkt","stimmen","schriftführer","bündnis","ausschuss","grünen","brauchen","abgeordnete","nebentätigkeiten","abgeordneten"
"13","tagesordnung","schliesse","gegenprobe","enthaltungen","aussprache","aussprache","entwurfs","bitte","gesetzes","gesetzes","wünscht","beschlossen","gesetzes","berichterstatter","rufe","überweisung","enthaltungen","eingebrachten","wünscht","rufe","entwurfs","tagesordnung","eingebrachten","enthaltungen","berichts","gesetzes","gewünscht","rufe","gesetzes","gesetzes","rufe","berichts","ausschusses","betr","gegenprobe","endgültigen","überwiesen","rat","verordnung","änderung","änderung","ausschusses","rat","beschlussfassung","endgültigen","ausschusses","gemäss","federführend","gemäss","gemäss","drucksachen","verordnung","bericht","berichts","ausschusses","einverstanden","ältestenrat","gesetzes","gesetzes","gesetzes","ausschusses","rufe","tagesordnungspunkt","entwurfs","ältestenrat","eingebrachten","federführendcomment","entwurfs","eingebrachten","ausschusses","tagesordnungspunkt","eingebrachten","berichterstattung","fraktion","fraktion","fraktion","abgeordneten","gesetzentwurf","federführendcomment","berichterstattung","ausschusses","abgeordneter","tagesordnungspunkt","angenommen","eingebrachten","sammelübersicht","gesetzes","abgeordneten","eingebrachten","gesetzentwurf","fraktion","fraktion","fcomment","abgeordneten","tagesordnungspunkt","eingebrachten","abgeordneten","abgeordneter","empfiehlt","wer","fcomment","aussprache","abgeordneter","tagesordnungspunkt","tagesordnungspunkt","gesetzentwurf","abgeordneten","abgeordneten","angenommen","abgeordneter","enthaltungen","stimmen","abgeordneten","dagegen","enthält","dagegen","dagegen","überweisungsvorschlag","gesetzentwurf","empfiehlt","drucksache","tagesordnungspunkt","fdp","wahlprüfung","schädigung","kino","transparenzregeln","scheinwerfer"
"14","ausschuss","handzeichen","angenommen","handzeichen","zuzustimmen","handzeichen","handzeichen","rufe","handzeichen","handzeichen","ausschusses","entwurfs","wünscht","gesetzes","entwurfs","handzeichen","gesetzes","wort","berichterstatter","wort","gesetzes","entwurfs","berichts","gewünscht","wer","rufe","punkt","gewünscht","rufe","betr","entwurfs","betr","verordnung","überwiesen","rufe","vorlage","rufe","tagesordnung","ältestenrates","drucksachen","entwurfs","drucksachen","berichterstatter","vorlage","vorlage","verordnung","drucksachen","comment","änderung","änderung","gewünscht","entwurfs","widerspruch","beschlossen","berichts","gewünscht","gewünscht","einverstanden","beschlossen","berichterstatter","fraktion","überweisungsvorschlag","beschlossen","gesetzes","rufe","entwurfs","ältestenrates","berichterstatter","entwurfs","tagesordnungspunkt","aussprache","entwurfs","beschlossen","gesetzes","ausschusses","abgeordneten","ausschusses","abgeordneten","entwurfs","antrags","abgeordneten","tagesordnungspunkt","abgeordneten","enthaltungen","gegenprobe","gesetzes","federführendcomment","stimmen","stimmen","empfiehlt","entwurfs","ausschusses","tagesordnungspunkt","fraktion","entwurfs","gesetzentwurf","tagesordnungspunkt","stimmen","aussprache","eingebrachten","stimmen","abgeordneten","tagesordnungspunkt","gegenstimmen","fcomment","abgeordneter","angenommen","aussprache","abgeordneter","dagegen","aussprache","empfiehlt","bündnis","fraktionen","bündnis","überweisung","überweisungsvorschlag","angenommen","eingebrachten","bündnis","abstimmung","stimmt","itplanungsrat","broder","linke","spenden","abgeordnete","wurde"
"15","berichterstatter","erheben","überschrift","bericht","gewünscht","wer","berichterstatter","einleitung","aussprache","wünscht","gewünscht","aussprache","handzeichen","gewünscht","dritte","entwurfs","aussprache","bericht","verordnung","handzeichen","drucksachen","gesetzes","wer","gegenprobe","schriftlichen","gewünscht","einstimmig","einstimmig","punkt","gewünscht","beschlossen","nr","punkt","nr","gesetzes","bitte","änderung","endgültigen","überweisungsvorschlag","beschlossen","beschlussfassung","gesetzes","vorlage","nr","berichterstatter","gesetzes","änderung","mitberatend","beschlussempfehlung","haus","entwurfs","beschlossen","einverstanden","widerspruch","haus","berichterstatter","einverstanden","rufe","drucksachen","rufe","überweisungsvorschlag","drucksachen","überweisungsvorschlag","tagesordnungspunkt","entwurfs","rufe","rufe","tagesordnungspunkt","ausschusses","tagesordnung","überweisungsvorschlag","antrags","antrags","tagesordnung","abgeordneten","tagesordnung","gesetzentwurf","abgeordneter","tagesordnungspunkt","federführendcomment","gesetzes","federführendcomment","antrags","ausschusscomment","gesetzentwurf","abgeordneten","angenommen","gesetzentwurf","fcomment","fcomment","empfiehlt","abgeordneten","angenommen","wer","stimmen","fcomment","empfiehlt","empfiehlt","abgeordneter","fraktion","gesetzentwurf","bündnisses","überweisungsvorschlag","fcomment","gegenstimmen","abgeordneten","abgeordneter","fcomment","tagesordnungspunkt","abgeordneten","fcomment","aussprache","drucksachen","bündnis","grünen","enthält","gesetzentwurf","bündnis","enthält","tagesordnungspunkt","federführung","entschliessungsantrag","fitko","erstaunlicherweise","ehrgefühl","nüsslein","nebeneinkünfte","medialen"
"16","überschrift","berichterstatter","aussprache","zuzustimmen","überschrift","wünscht","enthaltungen","schriftlicher","bitte","ausschusses","entwurfs","bitte","gewünscht","bericht","wer","beschlossen","entwurfs","überweisung","bericht","bitte","rufe","handzeichen","entwurfs","berichts","punkt","wünscht","wünscht","wer","wer","enthaltungen","verordnung","ewg","änderung","beschlussfassung","entwurfs","rat","ausschusses","vorlage","beschlossen","ältestenrates","drucksachen","antrags","rechtzeitig","berichterstatter","änderung","federführend","haushaltsausschuss","ältestenrat","aussprache","haushaltsausschuss","haus","haus","aussprache","verordnung","eingebrachten","rufe","überweisungsvorschlag","beschlussempfehlung","widerspruch","ausschusses","drucksachen","entwurfs","gesetzes","ältestenrat","eingebrachten","berichterstatter","ältestenrat","antrags","ältestenrat","ausschusscomment","ausschusscomment","fraktion","fraktion","ausschusses","antrags","erste","erste","berichts","überweisung","ausschusscomment","tagesordnungspunkt","abgeordneten","federführendcomment","aussprache","stimmt","überweisung","wer","eingebrachten","überweisung","abgeordneten","überweisungsvorschlag","abgeordneter","gesetzentwurf","abgeordneter","fcomment","tagesordnungspunkt","fcomment","fcomment","fraktion","stimmen","gegenstimmen","fcomment","fcomment","stimmen","grünen","dagegen","dagegen","bündnis","dagegen","stimmen","dagegen","tagesordnungspunkt","grünen","rufe","gesetzentwurf","bündnis","eingebrachten","eingebrachten","entwurfs","grünen","bitte","antrag","drucksache","thunberg","stimulieren","verhaltensregeln","lobbyregister","blickt"
