"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","umdruck","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","gegenprobe","umdruck","umdruck","umdruck","gegenprobe","antrag","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","antrag","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","wünscht","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","gegenprobe","gegenprobe","enthaltungen","wünscht","wünscht","handzeichen","wünscht","wer","wünscht","wünscht","wünscht","wünscht","antrag","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","abstimmung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","dat","stimmt","stimmt","stimmen","stimmen","stimmen","stimmen","stimmen","stimmen","stimmen","stimmen","abstimmung","änderungsantrag","geoinformationen","änderungsantrag","rückschritt","ladenöffnungszeiten","ir","uhr","de","ladenschluss","ro","juni","heimrecht","generalstreik","dresden","zensus","gysi","geodaten","akkreditierungsstelle","spenden","ethikrat","überhangmandate","überhangmandate","rechtsschutz","wahlrecht","demokratie","geschäftsordnung","demokratie","institut","parteien","demokratie","sponsoring","parteien","afd","demokratie","demokratie","afd","demokratie","demokratie","afd","afd"
"2","antrag","bitte","ziffer","bitte","umdruck","änderungsantrag","bitte","gegenprobe","antrag","gegenprobe","handzeichen","gegenprobe","umdruck","umdruck","umdruck","antrag","umdruck","gegenprobe","antrag","antrag","antrag","gegenprobe","gegenprobe","antrag","antrag","änderungsantrag","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","gegenprobe","wünscht","wünscht","wünscht","wünscht","antrag","gegenprobe","wünscht","wünscht","gegenprobe","handzeichen","gegenprobe","wünscht","handzeichen","wünscht","zuzustimmen","handzeichen","zuzustimmen","handzeichen","zuzustimmen","zuzustimmen","wünscht","wünscht","wünscht","wer","wer","enthaltungen","wer","stimmt","stimmt","wer","wer","stimmt","wer","wer","wer","enthaltungen","wer","stimmt","wer","wer","stimmt","enthaltungen","änderungsantrag","gegenprobe","änderungsantrag","enthaltungen","enthaltungen","stimmt","änderungsantrag","stimmt","änderungsantrag","sekten","rückschritte","uhr","uhr","sonn","dat","öffnungszeiten","le","forderung","entbürokratisierung","sozialcharta","brücke","brücke","gregor","zensus","lebendspende","parteien","ethikrates","wahlrecht","wahlrecht","krings","überhangmandate","transparenz","abgeordneten","transparenz","menschenrechte","spenden","wahl","institut","npd","demokratie","afd","grundgesetz","demokratie","afd","afd","demokratie","demokratie"
"3","gegenprobe","antrag","bitte","ziffer","ziffer","gegenprobe","handzeichen","handzeichen","abstimmung","antrag","gegenprobe","bitte","handzeichen","gegenprobe","handzeichen","gegenprobe","änderungsantrag","änderungsantrag","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","enthaltungen","änderungsantrag","änderungsantrag","umdruck","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","umdruck","umdruck","wort","bitte","antrag","bitte","antrag","zuzustimmen","zuzustimmen","enthaltungen","wünscht","zuzustimmen","handzeichen","enthaltungen","wünscht","enthaltungen","enthaltungen","zuzustimmen","zuzustimmen","handzeichen","handzeichen","wer","handzeichen","wer","wünscht","wünscht","zuzustimmen","handzeichen","wer","stimmt","handzeichen","drucksache","abstimmung","wer","wer","stimmt","stimmt","wer","enthaltungen","enthaltungen","beschlussempfehlung","beschlussempfehlung","angenommen","de","beschlussempfehlung","enthaltungen","enthaltungen","gegenprobe","gegenprobe","enthaltungen","stimmt","gegenprobe","stimmt","änderungsantrag","stimmen","wer","geodaten","psychogruppen","satelliten","einzelhandel","di","hotel","un","ladenschlusses","lle","differenzierten","heimgesetz","vermutung","unesco","volkszählung","staatssicherheit","invest","welterbestätten","spende","ethikbeirat","stimmgewicht","bundesverfassungsgericht","partei","parteien","informationsfreiheit","minderheitenrechte","richter","instituts","menschenrechtsrat","grundgesetz","parteien","demokratie","grundgesetz","parteien","afd","meinungsfreiheit","wahlkreise","bundestag","meinungsfreiheit","bundestag"
"4","ziffer","abstimmung","antrag","gegenprobe","gegenprobe","ziffer","gegenprobe","umdruck","umdruck","bitte","bitte","handzeichen","bitte","handzeichen","ziffer","änderungsantrag","enthaltungen","antrag","ziffer","bitte","gegenprobe","handzeichen","änderungsantrag","wer","wer","gegenprobe","enthaltungen","änderungsantrag","handzeichen","bitte","bitte","bitte","handzeichen","änderungsantrag","zuzustimmen","damen","zuzustimmen","zuzustimmen","wünscht","zuzustimmen","handzeichen","antrag","handzeichen","handzeichen","handzeichen","zuzustimmen","zuzustimmen","handzeichen","zuzustimmen","zuzustimmen","bitte","wer","zuzustimmen","wer","zuzustimmen","wer","zuzustimmen","bitte","handzeichen","handzeichen","zuzustimmen","handzeichen","wünscht","wünscht","antrag","stimmt","gegenprobe","abstimmung","abstimmung","änderungsantrag","drucksache","drucksache","angenommen","enthaltungen","wer","beschlussempfehlung","wer","angenommen","änderungsantrag","änderungsantrag","stimmt","enthaltungen","abstimmung","enthaltungen","stimmt","abstimmung","abstimmung","wer","stimmen","abstimmung","abgelehnt","verzögert","samstag","en","gaststättengewerbe","is","wiese","to","en","xi","vorgeschlagene","sri","dresden","ddr","germany","senne","parteiengesetz","spenden","parteien","partei","wahlrecht","wahl","kammern","demokratie","wahl","pariser","partei","grundgesetzes","demokratie","partei","antrag","stiftungen","verfassung","parteien","partei","grundgesetz","grundgesetz","partei"
"5","nr","gegenprobe","abstimmung","handzeichen","änderungsantrag","handzeichen","ziffer","enthaltungen","handzeichen","ziffer","antrag","ziffer","antrag","enthaltungen","antrag","handzeichen","antrag","enthaltungen","änderungsantrag","handzeichen","bitte","ziffer","handzeichen","gegenprobe","gegenprobe","enthaltungen","gegenprobe","enthaltungen","enthaltungen","umdruck","einzelplan","handzeichen","änderungsantrag","zuzustimmen","änderungsantrag","bitte","handzeichen","handzeichen","zuzustimmen","bitte","bitte","handzeichen","zuzustimmen","zuzustimmen","berichterstatter","enthaltungen","handzeichen","zuzustimmen","gegenprobe","handzeichen","angenommen","enthaltungen","angenommen","angenommen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","gegenprobe","angenommen","wer","zuzustimmen","änderungsantrag","drucksache","wer","gegenprobe","abstimmung","handzeichen","drucksache","drucksache","beschlussempfehlung","angenommen","drucksache","angenommen","angenommen","enthaltungen","beschlussempfehlung","gesetzentwurf","stimmen","gegenprobe","drucksache","drucksache","drucksache","drucksache","drucksache","wer","enthaltungen","pds","abstimmung","wer","wer","durchsetzen","ladenschlussgesetz","au","jugendarbeitsschutz","ok","ladenöffnungszeiten","un","experimente","elisabeth","bringen","lanka","zensusvorbereitungsgesetz","havemann","überhangmandate","akkreditierung","sponsoring","ethische","mandate","stimmgewicht","wahl","wählen","parteien","wahl","bundesverfassungsgericht","karenzzeit","wahl","richter","parteiengesetz","bundesverfassungsgericht","grundgesetzes","grundgesetz","artikel","rundfunk","abgeordneten","parteien","grundrechte","freiheit"
"6","abstimmung","enthaltungen","gegenprobe","abstimmung","antrag","antrag","änderungsantrag","antrag","enthaltungen","enthaltungen","wer","antrag","ziffer","bitte","bitte","wer","ziffer","handzeichen","handzeichen","zuzustimmen","handzeichen","antrag","umdruck","handzeichen","bitte","bitte","handzeichen","ziffer","wer","handzeichen","änderungsantrag","änderungsantrag","bitte","stimmenthaltungen","wort","gegenprobe","wünscht","bitte","enthaltungen","handzeichen","antrag","enthaltungen","antrag","bitte","enthaltungen","drucksache","drucksache","bitte","wer","drucksache","drucksache","drucksache","nr","enthaltungen","angenommen","beschlussempfehlung","rufe","wahl","angenommen","bitte","bitte","angenommen","handzeichen","stimmt","bitte","drucksache","angenommen","drucksache","angenommen","handzeichen","angenommen","abstimmung","beschlussempfehlung","drucksache","abstimmung","drucksache","angenommen","drucksache","abstimmung","drucksache","angenommen","stimmt","stimmt","wer","beschlussempfehlung","änderungsantrag","wer","abgelehnt","enthaltungen","jork","änderungsanträge","pristina","geschäfte","ei","realschüler","to","wann","rp","preisdifferenz","se","assistenz","dresdner","leonhard","mandanten","informationen","organspende","parteiengesetzes","ethikbeirates","vorschlag","wähler","abgeordnetenbestechung","vergrösserung","spenden","abgeordnete","karenzzeit","astatus","demokratie","volksbegehren","menschenrechte","grundgesetzes","bundesverfassungsgericht","artikel","grundgesetzes","partei","wahlrecht","abgeordneten","parteien","meinungsfreiheit"
"7","hand","änderungsantrag","mehrheit","antrag","bitte","bitte","antrag","ziffer","bitte","handzeichen","änderungsantrag","zuzustimmen","wer","änderungsantrag","wer","enthaltungen","wer","wer","enthaltungen","änderungsantrag","enthaltungen","wer","angenommen","bitte","handzeichen","wer","wer","handzeichen","änderungsantrag","wer","abstimmung","enthaltungen","enthaltungen","wer","wünscht","herren","enthaltungen","wer","handzeichen","enthaltungen","enthaltungen","bitte","bitte","drucksache","drucksache","wer","bitte","drucksache","angenommen","wer","abstimmung","angenommen","rufe","gegenprobe","rufe","gegenprobe","gegenprobe","handzeichen","wer","wer","angenommen","bitte","drucksache","zuzustimmen","handzeichen","handzeichen","drucksache","angenommen","handzeichen","gegenprobe","fraktion","dagegen","änderungsantrag","stimmenthaltungen","gegenprobe","stimmenthaltungen","stimmenthaltungen","abstimmung","wahl","wer","koalitionsfraktionen","wer","wer","gegenprobe","abstimmung","drucksache","abgelehnt","stimmt","abgelehnt","pds","devisenumsatzsteuer","sabbat","verbraucher","enn","einzelhandel","wi","verödung","pl","witzig","heimaufsicht","salz","bürgerentscheid","waldschlösschenbrücke","birthler","daten","welterbekonvention","parteispenden","fragestellungen","bundesverfassungsgericht","parteien","demokratie","wahlrechts","bürger","mitglieder","plenum","prinzipien","parteiengesetz","gewählt","wahl","parteienfinanzierung","partei","islam","parteien","öffentlichrechtlichen","thüringen","partei","artikel","grundgesetz"
"8","umdruck","mehrheit","änderungsantrag","änderungsantrag","handzeichen","wer","enthaltungen","wer","ziffer","änderungsantrag","ziffer","wünscht","enthaltungen","ziffer","enthaltungen","ziffer","handzeichen","bitte","wer","wer","wer","bitte","bitte","abstimmung","anlage","handzeichen","bitte","bitte","ziffer","herren","enthaltungen","wort","abstimmung","bitte","bitte","anlage","änderungsantrag","enthaltungen","abstimmung","wer","wer","wer","wer","wer","bitte","bitte","berichterstatter","wer","drucksache","angenommen","gegenprobe","gegenprobe","enthaltungen","bitte","bitte","rufe","angenommen","drucksache","bitte","gegenprobe","gegenprobe","ausschussfassung","zuzustimmen","angenommen","gegenprobe","änderungsantrag","handzeichen","änderungsantrag","beschlussempfehlung","angenommen","änderungsantrag","stimmen","gegenprobe","abstimmung","drucksache","abstimmung","abstimmung","dagegen","drucksache","abstimmung","wer","handzeichen","beschlussempfehlung","abgelehnt","angenommen","wahlvorschlag","pds","wahl","pds","geoinformationswesen","galileo","bescheuert","öffnungszeiten","ch","haupt","nich","werktagen","ar","korruptionsbekämpfung","übereinstimmungen","ethnische","waldschlösschenbrücke","iaa","lafontaine","aussenwirtschaft","überhangmandate","parteienfinanzierung","deutschen","abgeordneten","mandat","parteien","transparenz","bürgerinnen","opposition","ausschusssitzungen","wahl","teilfinanzierung","menschenrechte","instituts","grundgesetz","npd","grundgesetzes","partei","grundgesetz","parteien","demokratischen","grundgesetzes","demokratischen"
"9","erheben","zuzustimmen","enthaltungen","wer","wer","abstimmung","wer","abstimmung","wer","wünscht","wünscht","enthaltungen","änderungsantrag","wer","änderungsantrag","zustimmen","bitte","ziffer","gebe","ziffer","wünscht","enthaltungen","wer","entschliessungsantrag","siehe","zuzustimmen","angenommen","abstimmung","bitte","änderungsantrag","handzeichen","siehe","wer","handzeichen","enthaltungen","abstimmung","wort","änderungsantrag","wer","angenommen","drucksache","drucksache","drucksache","enthaltungen","wort","angenommen","wer","rufe","bitte","rufe","enthaltungen","berichterstatter","stimmt","drucksache","gegenprobe","einstimmig","bitte","geschäftsordnung","gegenstimmen","abstimmung","änderungsantrag","stimmt","angenommen","gegenprobe","stimmt","antrag","beschlussempfehlung","bitte","fraktion","fraktion","gegenprobe","änderungsantrag","abstimmung","dagegen","antrag","gesetzentwurf","enthaltungen","stimmenthaltungen","gegenprobe","angenommen","abstimmung","abgelehnt","angenommen","koalitionsfraktionen","wer","wahl","drucksache","bitte","einzelplan","antrag","antrag","sachverstand","ladenschlussgesetzes","fen","jugendarbeitsschutzgesetzes","för","ladenschlussgesetz","kt","verpflichtungserklärung","un","söder","vaatz","jan","tätigkeit","bfai","britischen","rüttgers","mitglieder","demokratie","bonn","abgeordneten","beck","partei","hasselmann","bürger","mitglieder","personen","volksentscheid","parteienfinanzierung","verfassung","yücel","chemnitz","demokratischen","artikel","demokratischen","bundestages","bundestag","mehrheit"
"10","angenommen","herren","hand","enthaltungen","angenommen","enthaltungen","abstimmung","wünscht","angenommen","zuzustimmen","zuzustimmen","änderungsantrag","angenommen","angenommen","wünscht","bitte","angenommen","angenommen","bitte","wünscht","einzelplan","angenommen","wünscht","einzelplan","zuzustimmen","wünscht","abstimmung","wort","angenommen","ziffer","wort","einzelplan","zuzustimmen","wort","wer","änderungsantrag","wer","mehrheit","wort","änderungsantrag","wort","angenommen","rufe","stimmenthaltungen","wer","berichterstatter","wort","angenommen","rufe","bitte","wer","abstimmung","gegenstimmen","rufe","nr","abstimmung","drucksache","abstimmung","abstimmung","antrag","abstimmung","änderungsantrag","bitte","abstimmung","wünscht","bitte","änderungsantrag","fraktion","bitte","abstimmung","abstimmung","antrag","dagegen","stimmen","handzeichen","dagegen","drucksache","empfiehlt","pds","pds","änderungsantrag","koalitionsfraktionen","änderungsantrag","pds","koalitionsfraktionen","schriftführer","dagegen","enthaltungen","cducsu","schriftführerinnen","stimmt","flut","ladenschluss","schaf","lockerung","een","is","itz","monstranz","sgb","hauptberichterstatter","weltkulturerbe","unesco","robert","batterien","transplantationsgesetz","käuflich","stellungnahmen","negativen","karlsruhe","bundesverfassungsgericht","bundestagswahl","handwerkskammern","grundgesetz","wahlbeteiligung","gesetzentwurf","einnahmen","lobbyisten","spenden","artikel","enquetekommission","parteienfinanzierung","volk","verfassung","wahl","artikel","verfassung","parteien"
"11","mehrheit","hand","zuzustimmen","wünscht","enthaltungen","gewünscht","ziffern","angenommen","zustimmen","wer","enthaltungen","wer","wünscht","zuzustimmen","zuzustimmen","einzelplan","abstimmung","zuzustimmen","angenommen","enthaltungen","angenommen","zuzustimmen","abstimmung","enthaltungen","ziffer","angenommen","siehe","wer","wort","damen","ziffer","wer","wünscht","ziffer","handzeichen","angenommen","angenommen","angenommen","drucksache","drucksache","einstimmig","änderungsantrag","angenommen","abstimmung","antrag","wort","angenommen","nr","ausschussfassung","beratung","rufe","bitte","bitte","berichterstatter","gegenstimmen","angenommen","abstimmung","stimmen","rufe","gegenstimmen","drucksache","dagegen","gegenprobe","bitte","zuzustimmen","angenommen","bitte","gegenprobe","änderungsantrag","wünscht","handzeichen","ausschussfassung","stimmenthaltungen","gesetzentwurf","dagegen","empfiehlt","gesetzentwurf","enthaltungen","angenommen","grünen","beschlussempfehlung","pds","entschliessungsantrag","handzeichen","gesetzentwurf","abgelehnt","fraktion","gestimmt","dagegen","geoinformation","einzelplan","fülle","einzelhandels","eg","nachtruhe","ik","dienstleistung","en","ladenschluss","heimgesetzes","abweichende","stadt","dresdner","dresdner","standortmarketing","spender","rechenschaftsbericht","parteien","lobbyismus","vorschlag","wahlen","bundesverfassungsgericht","informationsfreiheitsgesetz","hauptausschuss","bundesverfassungsgerichts","steinbach","menschenrechte","wahlrecht","bericht","ausschluss","artikel","bundesverfassungsgericht","grundrechte","wahlrecht","bundestag","meinungsfreiheit","freiheit","bürger"
"12","enthaltungen","angenommen","wer","zuzustimmen","wünscht","angenommen","angenommen","zuzustimmen","änderungsantrag","angenommen","angenommen","angenommen","zuzustimmen","zustimmen","angenommen","abstimmung","zustimmen","wünscht","nr","angenommen","zuzustimmen","nr","zuzustimmen","ziffer","enthaltungen","präsident","zuzustimmen","angenommen","zustimmt","abstimmung","herren","herren","wort","enthaltungen","abstimmung","siehe","abstimmung","wort","änderungsantrag","wort","gewünscht","abstimmung","beratung","rufe","geschäftsordnung","rufe","rufe","berichterstatter","berichterstatter","berichterstatter","gewünscht","beratung","aufgerufenen","einzelplan","drucksache","nr","ausschussfassung","schriftführer","änderungsantrag","rufe","rufe","drucksache","abstimmung","änderungsantrag","fraktion","wünscht","fraktion","wünscht","gegenprobe","dagegen","dagegen","gegenprobe","stimmen","gegenprobe","änderungsantrag","stimmen","un","stimme","fraktion","abgelehnt","pds","stimmenthaltungen","handzeichen","abstimmung","stimmenthaltungen","pds","entschliessungsantrag","antrag","fraktion","fraktion","abstimmung","weiteres","samstagen","de","schaustellergewerbe","vun","uhr","at","abgewälzt","ergebnisqualität","knappe","mücke","registergestützten","willentlich","volkszählung","behörde","willensbildung","gruppenantrag","neuheitsschonfrist","oppermann","subjektiven","demokratie","verwaltung","parlament","gewählt","tätigkeit","mitglieder","bundesrichter","attac","geschäftsordnung","deutschen","antrag","wahl","grundgesetzes","antifa","verfassung","partei","abgeordneten"
"13","zuzustimmen","damen","angenommen","mehrheit","abstimmen","zustimmen","wünscht","änderungsantrag","gewünscht","rufe","abstimmung","abstimmung","zustimmen","wünscht","gebe","abgelehnt","abstimmen","abstimmung","zuzustimmen","abstimmung","abstimmung","wünscht","ziffer","zuzustimmen","wünscht","damen","anlage","herren","abstimmung","abgelehnt","wer","abstimmung","damen","wünscht","herren","wer","einzelplan","drucksache","einzelplan","danke","änderungsantrag","stimmenthaltungen","berichterstatter","einzelplan","rufe","gewünscht","beschlussempfehlung","beschlussempfehlung","änderungsantrag","ausschussfassung","wort","rufe","enthält","abstimmung","art","schlussabstimmung","änderungsantrag","gegenprobe","antrag","drucksache","ausschussfassung","rufe","nr","dagegen","angenommen","zuzustimmen","wünscht","einzelplan","wünscht","abgelehnt","mehrheit","beschlussempfehlung","gesetzentwurf","handzeichen","stimmenthaltungen","handzeichen","gegenprobe","änderungsantrag","beschlussempfehlung","beschlussempfehlung","entschliessungsantrag","abstimmung","koalitionsfraktionen","stimmenthaltungen","entschliessungsantrag","angenommen","cducsu","drucksache","fdp","anwesend","cducsu","enthält","sonntag","ess","ferienregelung","en","klaus","io","leipzig","heime","davon","ltte","volles","volksentscheid","bundesagentur","produktpiraterie","politischen","lebenswissenschaften","mandat","beck","gesetzentwurf","partei","politischen","bundestages","bürgerinnen","unabhängigkeit","transparenz","institut","sponsoren","demokratischen","direkte","partei","politischen","wahlkreise","bundestages","grundgesetzes","politische","deutschen"
"14","herren","handzeichen","erheben","rufe","zuzustimmen","wort","gewünscht","gewünscht","abgelehnt","abstimmung","mehrheit","rufe","mehrheit","gewünscht","zustimmen","angenommen","gebe","gebe","abstimmung","abstimmen","ziffer","gebe","fraktion","siehe","wort","siehe","wort","damen","zuzustimmen","wort","angenommen","damen","herren","damen","stimmenthaltungen","frau","herren","ziffer","stimmenthaltungen","stimmenthaltungen","angenommen","wort","mehrheit","gewünscht","gewünscht","änderungsantrag","gewünscht","ausschussfassung","beratung","beschlussempfehlung","beratung","ausschussfassung","dagegen","einstimmig","abstimmung","bitte","einzelplan","fraktion","ausschussfassung","aufgerufenen","mehrheit","gegenprobe","mehrheit","beschlussempfehlung","mehrheit","abgelehnt","zuzustimmen","beschlussempfehlung","dagegen","mehrheit","abgelehnt","rufe","handzeichen","änderungsantrag","gruppe","gegenprobe","dagegen","enthält","abgelehnt","koalitionsfraktionen","nr","fraktion","pds","beschlussempfehlung","bitte","bitte","schriftführerinnen","namentliche","abstimmen","fdp","psychomarkt","abschluss","wiese","si","fdp","spraken","tradition","ite","speicherung","erwartungshaltung","übereinkommens","elbtal","völkerrecht","stasi","aufarbeitung","organ","bundestagspräsidenten","kreisverband","stimmgewichts","hartmann","wahlrechtsschutz","abgeordneten","abgeordnetenbestechung","fraktionen","volksentscheid","übergangsgeld","cruz","bundestages","obersten","staatlichen","abgeordnete","politischen","abgeordneten","bundestages","grundrechte","parlament","demokratischen","wahl"
"15","wünschen","abgelehnt","handzeichen","angenommen","lasse","abgelehnt","zuzustimmen","rufe","wünscht","abgelehnt","zustimmen","gewünscht","gewünscht","abstimmung","abstimmen","mehrheit","abs","wort","zustimmen","mehrheit","wort","abstimmung","abgelehnt","angenommen","nr","abstimmung","herren","zustimmen","gewünscht","nr","damen","anlage","angenommen","danke","damen","fraktion","damen","einstimmig","angenommen","abstimmung","rufe","rufe","stimmenthaltungen","wort","beratung","antrag","änderungsantrag","beratung","beschlussempfehlung","abstimmung","einstimmig","beschlussempfehlung","stimme","ausschussfassung","schlussabstimmung","drucksache","berichterstatter","wer","drucksache","geschäftsordnung","aufgerufenen","mehrheit","dagegen","fraktion","rufe","einzelplan","abgelehnt","antrag","zuzustimmen","beschlussempfehlung","wünscht","entschliessungsantrag","gegenstimmen","ausschussfassung","gesetzentwurf","gruppe","gegenstimmen","handzeichen","grünen","fraktion","grünen","angenommen","abgelehnt","angenommen","handzeichen","fraktion","beschlussempfehlung","gegenstimmen","änderungsanträge","stimmen","bundesverwaltungsamt","verunglückten","verbraucherinnen","sor","feiertagen","wat","föderalismuskommission","na","anfang","antrag","regelung","kompromiss","stehende","thomas","geodateninfrastruktur","dresden","nordrheinwestfalen","ethik","krings","volker","bundestagswahl","abgeordnetenbestechung","gesetzentwurf","sitte","grundgesetz","gesetzliche","zuwendungen","richterwahlausschusses","richter","verfassungsfeindliche","parteien","demokratischen","menschenrechte","politischen","grundgesetz","abgeordnete","abgeordneten","bundestages"
"16","damen","wünschen","abgelehnt","abgelehnt","mehrheit","wünscht","siehe","ausschussfassung","mehrheit","einzelplan","einzelplan","abs","abgelehnt","wort","gewünscht","gebe","mehrheit","abgelehnt","stimmen","wort","mehrheit","gewünscht","zustimmt","fraktion","herren","wort","wünscht","zuzustimmen","nr","stimmen","entschliessungsantrag","abgelehnt","zustimmen","herren","ziffer","abgeordnete","mehrheit","rufe","herren","einstimmig","danke","einstimmig","danke","angenommen","abstimmung","einstimmig","aussprache","einstimmig","abstimmung","schlussabstimmung","mehrheit","einzelplan","vorschrift","stimmt","beschlussempfehlung","gesetz","beratung","mitglieder","beschlussempfehlung","beschlussempfehlung","fraktion","abstimmung","rufe","rufe","stimmen","fraktion","antrag","mehrheit","enthaltung","ausschussfassung","stimmen","wahlvorschlag","entschliessungsantrag","gruppe","stimmen","ausschussfassung","änderungsantrag","ausschussfassung","einzelplan","einzelplan","abgelehnt","grünen","antrag","bündnis","antrag","stimmkarte","fdp","geschäftsordnung","entschliessungsantrag","geschäftsordnung","steuerberatern","staustufe","werktagen","ie","gesundheitsschutz","bi","sonntagsschutz","fm","bundeswirtschaftsminister","gerda","einrichtungen","regierungspräsidium","freistaat","unterlagen","mikrozensus","lebendspenden","bundestagspräsident","themen","ruppert","negativen","abgeordnete","wähler","volksentscheid","karenzzeit","parteien","wechsel","parteienfinanzierung","wahlbeteiligung","transparenz","parteiverbot","demokratischen","religionsfreiheit","demokratische","bundestag","bundestagswahl","grundrechte","absatz","medien"
"17","änderungsantrag","erheben","herren","gewünscht","abgelehnt","siehe","abgelehnt","zustimmen","zuzustimmen","zustimmen","rufe","fassung","wort","abgelehnt","abgelehnt","fraktion","rufe","zustimmen","fassung","nr","abstimmen","zustimmen","zahlreichen","wünscht","angenommen","herren","einzelplan","präsident","stimmen","angenommen","zuzustimmen","zuzustimmen","ziffer","abstimmung","danke","präsident","gewünscht","beschlossen","rufe","rufe","beratung","ziffer","änderungsantrag","änderungsantrag","angenommen","beratung","beratung","wort","wort","wort","berichterstatter","wort","vorschriften","dagegen","vorschriften","neinstimmen","nr","rufe","einzelplan","fraktion","stimmt","aufgerufenen","fraktion","mehrheit","aussprache","beschlussempfehlung","grünen","dagegen","antrag","stimmen","bitte","abgelehnt","kommen","abgelehnt","ausschussfassung","gegenstimmen","stimmen","gegenprobe","schriftführer","empfiehlt","fraktion","bitte","empfiehlt","fraktion","abgelehnt","stimmkarten","ausschussfassung","schriftführer","antrag","bitte","hanspeter","larmoyanz","cityprivileg","un","gastgewerbe","minderheiten","ladenschlusszeiten","ko","hilfebedürftigen","definition","ausschusssitzung","bau","köhler","anwalt","stimmgewicht","organe","gegenleistung","beirates","zweitstimmen","negative","wähler","gesetzentwurf","volksabstimmungen","rechte","bundestages","bundestages","sponsoring","brandt","sokabau","politischen","politischen","verfassung","parlamentarischen","abgeordnete","cdu","wahlrecht","medien","geschäftsordnung"
